14934+0.21774i,14064+0.21368i,14779+0.20458i,14515+0.21153i,15646+0.22174i,14168+0.22288i,14733+0.20988i,14692+0.2093i,14412+0.21644i,14819+0.21616i,14572+0.20514i,14551+0.2171i,14453+0.21461i,14489+0.20901i,14334+0.207i,14473+0.20551i,13888+0.20695i,13329+0.21643i,14227+0.20723i,14494+0.20323i,14052+0.20945i,14145+0.21181i,13787+0.21039i,13959+0.21319i,14286+0.21526i,13715+0.21094i,13595+0.20596i,13908+0.21714i,13673+0.21229i,13802+0.21547i,13541+0.21093i,13973+0.21548i,14225+0.21124i,13366+0.20779i,13464+0.22088i,13566+0.21417i,13661+0.21481i,13484+0.20519i,13284+0.21322i,13604+0.21038i,14019+0.2125i,13666+0.21803i,13373+0.21433i,13798+0.21041i,13610+0.20657i,13220+0.21201i,13706+0.22258i,13311+0.2125i,13448+0.20359i,13332+0.20425i,13655+0.20816i,13436+0.2097i,13470+0.20954i,13499+0.21531i,13804+0.21144i,12756+0.20878i,13666+0.20789i,13539+0.21307i,13644+0.2043i,13189+0.2076i,13988+0.21636i,13561+0.20845i,13051+0.21191i,13441+0.21201i,13314+0.20456i,13014+0.20992i,12671+0.21574i,13133+0.21385i,12688+0.21866i,13103+0.2127i,12993+0.21301i,12509+0.21306i,12723+0.21024i,12614+0.21231i,12371+0.21891i,12995+0.21485i,12826+0.21168i,13069+0.21473i,12598+0.22131i,12696+0.21314i,12651+0.21222i,12413+0.22701i,13088+0.21763i,12322+0.21277i,12566+0.22018i,12246+0.20687i,12187+0.21866i,12618+0.21943i,12457+0.21851i,12339+0.22173i,12088+0.22022i,12183+0.21705i,12498+0.22334i,12053+0.22461i,12457+0.21908i,12213+0.21873i,12153+0.2201i,12205+0.22396i,12528+0.22271i,12071+0.22375i,12130+0.21677i,12278+0.22305i,12045+0.22434i,12038+0.21824i,11900+0.22216i,11774+0.23071i,11655+0.22143i,11655+0.21875i,11740+0.2232i,12105+0.22374i,11457+0.23252i,11954+0.2247i,11275+0.22419i,11549+0.22792i,11484+0.22916i,11593+0.22194i,11244+0.22475i,11303+0.22717i,11380+0.21527i,11231+0.23539i,11051+0.23452i,11328+0.23063i,11247+0.22408i,11143+0.23933i,11141+0.23266i,10912+0.23292i,11082+0.23565i,10905+0.23316i,11385+0.22428i,11384+0.2371i,11071+0.22829i,10682+0.23548i,10855+0.22953i,10821+0.23235i,10689+0.24192i,10700+0.24468i,10798+0.23706i,10594+0.23635i,10218+0.24608i,10451+0.24207i,10595+0.24597i,10434+0.24992i,10508+0.24574i,10130+0.24214i,10471+0.23817i,10178+0.23726i,10346+0.25194i,10095+0.24811i,9551.2+0.25217i,9568.5+0.23848i,9979.7+0.24614i,10002+0.25513i,10047+0.24907i,9923.1+0.25391i,9953.9+0.25698i,9924.9+0.25443i,9679.2+0.26113i,9255.5+0.25425i,9380+0.25574i,9707.8+0.26287i,9349+0.25704i,9528.3+0.25886i,9519.2+0.26337i,9247.1+0.26125i,8982.8+0.26912i,9226.3+0.25765i,9258+0.25736i,9263.1+0.26288i,9631.1+0.27286i,8732.6+0.27009i,8898.6+0.26729i,9147.9+0.27364i,9032.1+0.27908i,8958.9+0.27329i,9130.4+0.27293i,9133.8+0.27519i,8800.9+0.26448i,9238.2+0.27202i,8891.8+0.27943i,8860.4+0.27228i,8725.2+0.27758i,9034.9+0.27444i,8880.7+0.28196i,8671.4+0.27527i,8631.9+0.28171i,8396.5+0.28428i,8479+0.28365i,8649+0.28002i,8512.7+0.28818i,8220.1+0.29312i,8917.7+0.2937i,8424+0.29165i,8275.1+0.30107i,8581.8+0.29576i,8249.8+0.29406i,8277.4+0.29137i,8250.2+0.28817i,8169+0.29398i,8013.7+0.29983i,8251.8+0.3014i,8291.9+0.3012i,7980.1+0.29317i,8127.7+0.30095i,8363.1+0.29956i,8362+0.3052i,8325.5+0.30412i,8006.5+0.29535i,8117.2+0.31039i,8024.2+0.3031i,8001.5+0.3007i,7952.2+0.30735i,8019.2+0.3091i,8090.5+0.3112i,8263.3+0.3135i,8242.8+0.30806i,8021.2+0.31198i,8015+0.31839i,7557.1+0.3073i,7658.3+0.31926i,8100.3+0.31567i,7980.1+0.32226i,7671.7+0.32237i,7703.2+0.33059i,7800.3+0.33243i,7724.1+0.32675i,7765.7+0.31088i,7608.6+0.32901i,7738.3+0.31878i,7636+0.32875i,7565.9+0.33456i,7607.1+0.34112i,7526.6+0.33158i,7446.3+0.32652i,7576.4+0.33503i,7799.3+0.33542i,7586+0.33993i,7753.1+0.33634i,7706.7+0.33937i,7458.1+0.34278i,7497.3+0.33462i,7613.2+0.33768i,7555.7+0.3449i,7723.6+0.34055i,7604.5+0.34134i,7579.7+0.34707i,7442.3+0.34702i,7616.1+0.34683i,7776.3+0.34304i,7396.4+0.33616i,7634.5+0.35549i,7477.2+0.35681i,7508+0.35364i,7489+0.35579i,7479+0.3735i,7281.7+0.34171i,7277.8+0.34818i,7375.4+0.35586i,7399.8+0.36204i,7482.7+0.36466i,7681.3+0.36919i,7220.2+0.34464i,7536.9+0.34928i,7406.4+0.36396i,7718.9+0.36432i,7308.3+0.36767i,7413+0.36758i,7280.7+0.35919i,7410.8+0.3594i,7206.3+0.38032i,7290.6+0.37055i,7478.6+0.37049i,7491.9+0.37129i,7483.7+0.37974i,7298.5+0.36965i,7171.5+0.37528i,7255+0.37538i,7457.8+0.37737i,7476.1+0.37675i,7446.1+0.37798i,7325+0.39058i,7234.1+0.38095i,7581.9+0.39283i,7222.3+0.3917i,7228.4+0.39334i,7482.5+0.37657i,7421.9+0.40163i,7274.9+0.40513i,7286.5+0.38294i,6941.4+0.39124i,7359.6+0.39759i,7312.1+0.39173i,7269.2+0.3845i,7134.5+0.39222i,7316.3+0.39987i,7070.2+0.40114i,7134.2+0.3971i,7355.6+0.40463i,7284.8+0.41212i,7250+0.41069i,7319.4+0.41702i,7286.3+0.42029i,7217.8+0.40963i,7456.9+0.4071i,7208.1+0.42017i,7227.2+0.4255i,7351.8+0.41758i,7088+0.42118i,6998.2+0.41981i,7310.9+0.42086i,7318.5+0.43754i,7322.2+0.42397i,7279+0.42664i,6995.4+0.42084i,7357.8+0.42535i,7263.1+0.41847i,7186.4+0.43356i,6979.5+0.43276i,7146.6+0.42304i,7165+0.41611i,6863.2+0.42368i,7024.2+0.42506i,6916.8+0.43918i,6933.7+0.43903i,7272.7+0.43944i,7171.4+0.43754i,6943.9+0.4419i,7291.7+0.45914i,7090.9+0.43066i,7174.4+0.44995i,7116.3+0.43774i,7436.4+0.42827i,7072.4+0.43902i,7052.8+0.45529i,7161.7+0.44743i,7251.3+0.46104i,7231.2+0.45297i,7286.9+0.46441i,7493.7+0.46964i,7299.3+0.46186i,6948.9+0.45946i,7023.2+0.45919i,7209+0.46077i,7000.8+0.46368i,7104.2+0.4729i,6990+0.47361i,7135.6+0.4847i,7092.8+0.4725i,6955+0.46219i,7164.9+0.47458i,7191.1+0.47002i,7389.9+0.48135i,7266.1+0.47961i,7092.8+0.49011i,7193.8+0.47421i,6895.6+0.47604i,6911.1+0.48897i,7053+0.48645i,6916.9+0.4994i,7171.9+0.49254i,7253.5+0.48647i,7166.3+0.50029i,7156+0.49128i,7151.9+0.49513i,6977.1+0.48994i,7251+0.49524i,7078.1+0.49331i,7059.6+0.4745i,6946.5+0.49455i,6956+0.50869i,7053+0.53261i,7017.2+0.51191i,6874.8+0.51138i,6906.8+0.51846i,7217+0.5242i,6995.8+0.50484i,7301.6+0.5452i,7110.8+0.51521i,7262.9+0.52126i,7025.6+0.5388i,6895.1+0.51054i,7150.5+0.53754i,7103.6+0.54053i,7242.9+0.5476i,7008.2+0.54788i,7112.7+0.53565i,6918.4+0.55015i,7036.8+0.54564i,6973.9+0.53019i,7110+0.54851i,7255+0.56009i,7233.8+0.54503i,6951.3+0.5413i,7153.9+0.58859i,7185.9+0.55095i,7200.8+0.54905i,6880+0.57196i,6971.1+0.5696i,7279.9+0.57275i,7211.9+0.55206i,7173.4+0.59707i,7155.9+0.55709i
14715+0.20794i,14842+0.21178i,14804+0.20854i,14467+0.20761i,14850+0.20232i,14501+0.21126i,14333+0.21215i,14464+0.20622i,14495+0.20905i,14295+0.20721i,14396+0.20246i,14231+0.20795i,14052+0.21301i,14071+0.21256i,14528+0.20965i,14299+0.21302i,14168+0.21263i,13805+0.21505i,13855+0.20271i,14498+0.21017i,14208+0.20893i,13768+0.19755i,14206+0.20931i,13950+0.21226i,13584+0.20751i,14277+0.21313i,13576+0.20137i,13751+0.21159i,14149+0.21112i,13553+0.21205i,13518+0.20675i,13639+0.20565i,13724+0.20708i,13698+0.20897i,13643+0.20884i,14074+0.21359i,13730+0.20487i,13248+0.20281i,14385+0.21527i,13723+0.2071i,13319+0.21358i,14038+0.20417i,13469+0.21102i,13031+0.215i,13439+0.21959i,13425+0.2133i,13202+0.20899i,13175+0.21337i,13821+0.20926i,13567+0.20971i,13457+0.217i,13441+0.20761i,13159+0.21137i,13317+0.2085i,13395+0.21764i,13259+0.21148i,12719+0.20915i,12914+0.2109i,13402+0.21912i,13717+0.21225i,13134+0.21633i,13326+0.21622i,13380+0.20677i,13294+0.2128i,12930+0.21035i,13442+0.20998i,12760+0.21449i,13585+0.21381i,13116+0.20983i,13448+0.21452i,13125+0.21005i,13184+0.21595i,12639+0.21461i,12796+0.21507i,12822+0.21395i,12595+0.21355i,13031+0.22262i,12510+0.22554i,13171+0.21622i,12676+0.21267i,12937+0.21288i,12580+0.21991i,12779+0.22018i,12767+0.21478i,12481+0.2202i,12412+0.22213i,12749+0.21847i,12521+0.21905i,13370+0.21722i,12070+0.22632i,12578+0.21541i,13043+0.22092i,12434+0.21539i,12066+0.21133i,12191+0.21476i,12420+0.21829i,12659+0.22664i,12232+0.21907i,12437+0.21559i,12285+0.21803i,11989+0.21836i,12188+0.21824i,11757+0.22451i,11874+0.22403i,11854+0.22401i,11290+0.22528i,12302+0.22825i,12039+0.22293i,11828+0.22552i,11768+0.22112i,11623+0.22451i,11554+0.22952i,12216+0.22021i,11615+0.22013i,11845+0.23355i,11120+0.23648i,11212+0.22916i,11670+0.22931i,11899+0.24177i,11366+0.22092i,11209+0.22631i,11077+0.22556i,11223+0.24107i,11002+0.23059i,11378+0.23811i,11182+0.23784i,11223+0.23187i,11081+0.23286i,10746+0.23787i,10913+0.23463i,10917+0.24082i,10894+0.23772i,10825+0.2377i,10554+0.24188i,10976+0.23626i,11040+0.23865i,10534+0.23588i,10373+0.23631i,10570+0.24933i,10561+0.24648i,10685+0.23092i,10326+0.24554i,10464+0.23819i,10065+0.24921i,10204+0.24883i,9987.5+0.23881i,10293+0.25358i,10424+0.24085i,9782.3+0.24192i,9999+0.247i,10226+0.2436i,9574.8+0.25276i,10113+0.2485i,9585.7+0.25264i,9471.6+0.25434i,9911.3+0.25622i,9337.1+0.25322i,9607.6+0.26615i,9800.7+0.25742i,9834.4+0.25319i,9476.2+0.26681i,9787.7+0.26418i,9555+0.25821i,9562.7+0.25784i,9490.8+0.26458i,9556.8+0.26176i,9423.6+0.26913i,9100.5+0.26669i,9524+0.26739i,9134.9+0.27017i,9104.2+0.27104i,9093.4+0.26951i,9165.4+0.27793i,9127.7+0.28046i,8645+0.27001i,9018+0.26886i,8713+0.27777i,9016.2+0.27695i,8943.6+0.27151i,8752.3+0.2767i,8686.4+0.28012i,9190.4+0.27656i,8856.7+0.27443i,8945.5+0.27576i,8717.5+0.27871i,8739.3+0.28326i,8613.2+0.30094i,8482.9+0.28491i,9021.5+0.27961i,8627.8+0.28099i,8680.6+0.29006i,8588.1+0.28756i,8491.6+0.29872i,8040+0.28167i,8466.7+0.28836i,8321.3+0.28442i,8194.3+0.29183i,8199.5+0.2901i,8225.6+0.29064i,8493.3+0.29136i,8547.3+0.29602i,7985.3+0.29557i,8354.3+0.30663i,8204.6+0.30304i,8259.5+0.29351i,8039.8+0.29225i,8040.2+0.31015i,8208.2+0.31937i,8098.4+0.2932i,8323.2+0.31533i,7937.8+0.30984i,8136.8+0.31188i,8104.1+0.30983i,7967.8+0.3121i,7830+0.32148i,7938.6+0.31792i,7784.5+0.30788i,7888.2+0.31409i,8074+0.32055i,7953.9+0.30857i,7700.6+0.32007i,7782+0.32808i,8030.6+0.31714i,7942+0.33089i,7840.3+0.33343i,7940.7+0.32537i,7897.1+0.32629i,7682.5+0.32841i,7738.5+0.32473i,7992.7+0.32962i,8126.7+0.32726i,7779.6+0.34072i,8099.2+0.33332i,7546.2+0.33771i,7453+0.33159i,7684.6+0.34444i,7850.5+0.33535i,7760.4+0.33443i,7708.9+0.35058i,7621+0.33668i,7510.5+0.34464i,7778.3+0.35533i,7573.4+0.34302i,7459.4+0.35403i,7533.6+0.34079i,7864.4+0.35071i,7633.4+0.33923i,7581.5+0.35088i,7343+0.34678i,7437.3+0.35312i,7338.4+0.35815i,7747.6+0.34946i,7470.8+0.35626i,7643.4+0.35747i,7514.9+0.35144i,7413.2+0.36033i,7690.3+0.36112i,7253+0.36126i,7411.2+0.35751i,7385+0.35403i,7362.8+0.35581i,7349.3+0.36344i,7422.3+0.36214i,7367.2+0.36507i,7450.9+0.37532i,7468.2+0.36496i,7458.6+0.36638i,7102+0.35198i,7106+0.3687i,7261.1+0.36624i,7352.4+0.36781i,7248.2+0.37843i,7449.9+0.39329i,7374+0.3766i,7240.2+0.37585i,7311.7+0.36518i,7276.3+0.38533i,7225.5+0.38456i,7448.8+0.3902i,7412.6+0.36582i,7212.1+0.39124i,7347.4+0.38553i,7349+0.39542i,7303.2+0.38198i,7250.3+0.38744i,7402.6+0.39347i,7347.6+0.39261i,7211.3+0.39314i,7291.4+0.38286i,7282+0.40241i,7236.2+0.40876i,7329.6+0.39418i,7222.4+0.39656i,7276+0.40602i,7195.2+0.4049i,7488+0.40996i,7349.9+0.39713i,7150+0.40693i,7209.4+0.39302i,7002.1+0.41584i,7108.2+0.42574i,6893.9+0.4137i,7211.6+0.40508i,7266.8+0.40603i,7329.5+0.41442i,6966.6+0.39503i,7159.1+0.42601i,7223.3+0.41822i,7293.5+0.4074i,7397+0.41288i,7194.8+0.41865i,7208.3+0.40659i,7403.3+0.42901i,7470.6+0.43778i,7181.2+0.41904i,6927.6+0.42856i,7206.3+0.43876i,7036.2+0.43799i,7180.7+0.42582i,7279.3+0.43619i,7132.4+0.45161i,7251.4+0.4357i,7201.8+0.43882i,7184.9+0.44345i,7071.7+0.43385i,7207.8+0.45897i,7110.3+0.43473i,7118.3+0.44084i,7103.8+0.45083i,7130.2+0.44271i,7083.6+0.4376i,7022.5+0.4382i,7069.9+0.44259i,7041+0.45115i,6968.9+0.45519i,7187.4+0.44806i,7296.2+0.44382i,7079.8+0.44621i,7085+0.44916i,7050.7+0.45604i,6962.3+0.44525i,7210.4+0.4846i,7445.4+0.46291i,7120.5+0.46469i,7136.6+0.46198i,6850.9+0.47185i,6948.6+0.45575i,7460.1+0.47314i,7178.2+0.48833i,6879.5+0.48252i,7189.6+0.48098i,7139.5+0.47671i,7218.8+0.47522i,7001.4+0.49211i,7353.6+0.48296i,7040.7+0.49237i,7264+0.49954i,7148.8+0.4855i,7198.9+0.49264i,7304.1+0.48118i,7127.5+0.50965i,7036.1+0.49232i,6972.8+0.49749i,7076+0.50339i,6978.1+0.5046i,7016.9+0.5018i,6982.7+0.50443i,7607.9+0.54377i,7262.9+0.51891i,6917.7+0.50668i,7010.4+0.52i,7166.1+0.51743i,7048.4+0.50855i,7096.7+0.53184i,7155.8+0.52375i,7187.7+0.52985i,6864.3+0.52581i,7032.5+0.50605i,6903.8+0.52603i,7208.6+0.5289i,7128+0.52369i,6784.2+0.53622i,6954.6+0.54977i,7334.8+0.53513i,7257.3+0.55145i,6887+0.54276i,7123.9+0.55084i,7182.2+0.55454i,7181.8+0.54576i,7138.8+0.52641i,6919+0.56662i,6990.3+0.55903i,7297+0.54758i,6947+0.55409i,7144.8+0.55943i,6943.3+0.54613i,7028.8+0.56352i,7004.9+0.56522i,6925.1+0.57665i,6771.8+0.57424i,7174+0.56504i
14758+0.21126i,14548+0.21i,14806+0.20613i,14887+0.21469i,14695+0.21017i,14222+0.2122i,14169+0.21683i,14637+0.21127i,14334+0.20103i,14068+0.21173i,15072+0.21333i,14434+0.20796i,14348+0.21431i,14208+0.21824i,13903+0.20872i,14235+0.20211i,14352+0.21068i,14186+0.21372i,14430+0.21378i,13975+0.21024i,14181+0.20517i,13764+0.20869i,14052+0.21806i,14228+0.20869i,13805+0.21704i,14719+0.21132i,13799+0.2047i,14181+0.21191i,14210+0.20689i,13931+0.208i,14195+0.20847i,13796+0.20937i,14073+0.21269i,13500+0.20825i,13468+0.2131i,13826+0.20411i,13191+0.21089i,13884+0.21182i,13251+0.20461i,13889+0.2106i,13527+0.21683i,13395+0.2119i,13705+0.21485i,13339+0.21295i,14296+0.2051i,13648+0.2106i,13287+0.20811i,13625+0.22151i,13256+0.21407i,13300+0.22022i,13576+0.21134i,13575+0.21198i,13685+0.2113i,13068+0.21322i,13764+0.20718i,13262+0.21662i,12794+0.2151i,13484+0.21345i,13058+0.21261i,13266+0.21672i,13394+0.21136i,13625+0.21274i,12961+0.21121i,13378+0.21402i,13363+0.21361i,13758+0.20633i,12974+0.21321i,13083+0.21993i,13093+0.21335i,13030+0.2172i,12808+0.21606i,12557+0.21395i,12694+0.21164i,12985+0.20977i,12632+0.20826i,12288+0.21429i,13133+0.21434i,12748+0.21079i,13185+0.21441i,13083+0.21725i,12658+0.22056i,12947+0.21561i,12997+0.22401i,12623+0.21541i,12712+0.21827i,12784+0.21587i,12730+0.22177i,12564+0.21813i,12176+0.21261i,12094+0.21255i,12387+0.21119i,12951+0.22174i,11850+0.21374i,12302+0.21158i,12182+0.22417i,12221+0.21939i,11982+0.21755i,11863+0.22192i,12047+0.22411i,12422+0.22575i,12077+0.2191i,11755+0.22221i,12243+0.22054i,11934+0.22517i,12145+0.21649i,11948+0.22407i,11827+0.22759i,11738+0.22031i,11850+0.22649i,11694+0.22844i,11350+0.22045i,10949+0.2281i,11395+0.22505i,11819+0.2269i,11442+0.22329i,11447+0.23038i,11113+0.22782i,11598+0.22214i,11529+0.23228i,11134+0.22277i,11390+0.23394i,11379+0.23429i,10941+0.23403i,11033+0.22929i,10773+0.23759i,11114+0.23774i,11364+0.22834i,11128+0.23421i,11143+0.24009i,11077+0.23166i,10826+0.2374i,11492+0.24261i,11264+0.23943i,10765+0.24105i,10562+0.24474i,10597+0.23291i,10770+0.23266i,10152+0.24229i,10296+0.23721i,10417+0.23997i,10359+0.2444i,10119+0.23785i,9883.3+0.24266i,10408+0.24189i,10330+0.24876i,10385+0.25177i,9999.2+0.24342i,10105+0.24516i,10343+0.25615i,10026+0.24794i,10066+0.24761i,9895.7+0.24905i,9898.3+0.25826i,9980.7+0.2592i,9613+0.25516i,9558+0.25707i,9771+0.2626i,9878.5+0.26019i,9527.4+0.25526i,9190.3+0.25628i,9246.6+0.26431i,9673.6+0.2611i,9390.5+0.26202i,9724.8+0.26926i,9298.8+0.26398i,9134.5+0.26612i,9442.8+0.2697i,8983.2+0.26854i,9069.6+0.26478i,9336.5+0.26932i,9124.6+0.27192i,9416+0.26624i,8836.5+0.26427i,8875.1+0.26786i,9114.5+0.2611i,9018+0.26917i,9137.8+0.26969i,8908.4+0.27019i,8752.5+0.27488i,8799.8+0.27438i,9006.3+0.28133i,9100.9+0.2777i,8930+0.26847i,8823.4+0.2833i,8616.2+0.28613i,8802.6+0.28905i,8693.1+0.2876i,8475.4+0.27893i,8516.3+0.28724i,8695.7+0.28263i,8422+0.30531i,8371.9+0.30028i,8612.6+0.28694i,8405.4+0.28993i,8476.4+0.30017i,8096.7+0.30506i,8475.2+0.29097i,8299.3+0.29698i,8344.7+0.30334i,8451.6+0.29511i,8226+0.30263i,8243.8+0.30607i,8088.4+0.30312i,8225.6+0.3097i,7936.8+0.30233i,8143.2+0.28914i,8315.6+0.32147i,8054.5+0.30715i,7996.4+0.30877i,7990.1+0.30682i,8291.3+0.30324i,7919.6+0.30903i,7971.6+0.31946i,8298+0.30546i,7853.6+0.31584i,7877.2+0.32612i,8179+0.31817i,7991.6+0.31354i,8006+0.32386i,7891.2+0.33i,7957.9+0.31808i,7894.6+0.32684i,7758.5+0.32031i,8175.9+0.31885i,7937.7+0.32823i,8022.6+0.32739i,7378.4+0.31949i,7826.1+0.32775i,8036.4+0.33632i,7795.9+0.32871i,7467.2+0.34148i,7713.4+0.32005i,7746.5+0.332i,7579.9+0.33564i,7546.8+0.32443i,7374.9+0.33204i,7535.5+0.33848i,7390.6+0.33519i,7379.3+0.34987i,7579.4+0.34702i,7661.4+0.34595i,7400.8+0.34941i,7785+0.32771i,7528.4+0.3385i,7568.6+0.3382i,7577.3+0.34924i,7562.5+0.34537i,7322.4+0.34767i,7428.8+0.33944i,7489.6+0.34797i,7518+0.35747i,7566.8+0.36078i,7363.1+0.34659i,7449.6+0.36356i,7650.1+0.35398i,7358.8+0.34514i,7539.9+0.35723i,7257.2+0.35577i,7153.2+0.36236i,7391.7+0.37213i,7208.9+0.3685i,7424.6+0.36319i,7502.5+0.37239i,7231.5+0.37445i,7204.5+0.35808i,7277.5+0.37247i,7212.7+0.37066i,7424.9+0.37046i,7439.8+0.36176i,7500.4+0.37243i,7453.7+0.3654i,7348.4+0.38043i,7483.9+0.37438i,7058+0.36791i,7356.4+0.38331i,7386.9+0.37384i,7642.3+0.38018i,7435.5+0.37763i,7141.1+0.3872i,7450.7+0.3971i,7217.3+0.3718i,7525.6+0.38753i,7121.1+0.38235i,7163.1+0.39687i,7362.7+0.39095i,7307.2+0.38384i,7412.4+0.39417i,7226+0.39121i,7245.2+0.38688i,7363.6+0.40608i,7611+0.4003i,7129.1+0.39912i,7098.8+0.39386i,7145.6+0.39332i,7292.2+0.39227i,7330.5+0.40886i,7380.6+0.40354i,7316.7+0.41957i,7231.6+0.40477i,7476.7+0.38703i,7151.7+0.42862i,7146.5+0.40542i,7034.6+0.41782i,6904.3+0.40598i,7287.3+0.41386i,7292.7+0.41621i,7298+0.40574i,7228.6+0.40468i,7307.3+0.41647i,7286.2+0.41588i,7236.6+0.43061i,6902.3+0.40724i,6921.1+0.43158i,7240.1+0.41974i,7394.8+0.42824i,6949.4+0.41968i,6976.1+0.43798i,7086.4+0.42103i,7087.7+0.42528i,7290.6+0.43803i,7209.5+0.43889i,7170.2+0.42838i,7239.6+0.43087i,7006.5+0.43002i,7282.5+0.44952i,6904.4+0.44098i,7190.3+0.4383i,7261.2+0.44741i,7128.7+0.44161i,7245.6+0.45564i,7214.1+0.44733i,7276.9+0.44277i,7164.3+0.46505i,7114.9+0.44623i,7417.9+0.45312i,7201.8+0.44952i,7178.3+0.46264i,7136.3+0.46286i,7306.1+0.44842i,7162+0.44446i,7135.3+0.48236i,7264.1+0.4659i,7080.2+0.47245i,7277.7+0.4692i,7355.9+0.46295i,6839.8+0.46513i,7094.8+0.47024i,7001.2+0.48808i,6890.5+0.47227i,6981.4+0.47403i,7023.4+0.48477i,6968.9+0.47389i,7130.3+0.49391i,6850.9+0.50253i,6988.7+0.49303i,7261.8+0.50131i,7037.9+0.49029i,7087.3+0.48578i,7148+0.49696i,7058.3+0.49643i,7487.4+0.49676i,7207.4+0.49394i,7030.4+0.49682i,7184.7+0.49397i,6840.3+0.5043i,7040.7+0.50836i,7113.8+0.51469i,7228.8+0.49558i,6883.5+0.516i,7142.7+0.50304i,7274+0.51483i,7115.1+0.51914i,7203.8+0.53395i,7058.8+0.502i,7239+0.51217i,7270.9+0.51755i,7305.3+0.51714i,6935.1+0.5376i,6898.9+0.53662i,7153.6+0.52981i,7042.4+0.55522i,7037+0.53318i,6956.4+0.52843i,7006.1+0.55758i,7032.8+0.53366i,7024+0.55088i,6900.4+0.55197i,6897.6+0.54573i,6826.8+0.55508i,7183.3+0.54367i,7129.5+0.55512i,7248.2+0.55682i,7230.6+0.55619i,6991+0.55918i,7054.1+0.57163i,7073.8+0.55438i,7059.3+0.57948i,7022+0.56071i,7219.6+0.57154i,7028.4+0.56412i,6869.7+0.57657i
