14835+0.20746i,15092+0.21i,15097+0.22167i,14501+0.20152i,14809+0.21104i,14414+0.20785i,14170+0.21803i,14533+0.20794i,14585+0.2167i,14803+0.19949i,14234+0.20673i,14257+0.20578i,14451+0.20674i,14159+0.20786i,14304+0.20807i,13984+0.21473i,14559+0.21576i,13879+0.20574i,14173+0.21781i,13825+0.20919i,14482+0.21353i,14173+0.20806i,14551+0.20744i,14100+0.21014i,13779+0.20794i,14059+0.20998i,13847+0.21615i,14207+0.21684i,13645+0.20875i,13543+0.21365i,14417+0.20962i,14024+0.21922i,13764+0.21876i,13229+0.2138i,13506+0.20752i,13420+0.20664i,13430+0.21056i,13662+0.20849i,13461+0.20611i,13688+0.20877i,13442+0.20208i,13973+0.21501i,13482+0.20889i,13162+0.20182i,13609+0.21313i,13355+0.21073i,13839+0.2155i,13569+0.21603i,13118+0.21269i,12920+0.20719i,13080+0.21439i,13546+0.21444i,13143+0.20766i,13071+0.21147i,13243+0.20446i,13484+0.21227i,13358+0.21792i,13159+0.20766i,13374+0.2126i,13412+0.21651i,13093+0.20435i,13131+0.21419i,12653+0.22139i,13066+0.21767i,12903+0.21261i,13000+0.21844i,12681+0.21402i,12509+0.21256i,13005+0.22078i,12773+0.21904i,12735+0.21592i,12670+0.21164i,12625+0.21549i,12800+0.21635i,12304+0.21062i,12826+0.21548i,12357+0.20585i,12408+0.22237i,12567+0.21834i,12589+0.2116i,12781+0.22851i,11850+0.21643i,12454+0.2167i,12290+0.21376i,12961+0.22167i,12533+0.21576i,12100+0.21951i,12352+0.21556i,12228+0.219i,12257+0.22099i,12125+0.21925i,11523+0.21356i,12262+0.22164i,11865+0.21189i,11660+0.21866i,12068+0.2212i,11841+0.22825i,11848+0.22288i,11571+0.22154i,11918+0.21361i,11784+0.22211i,11917+0.22366i,11527+0.22674i,11778+0.22514i,11866+0.22385i,11710+0.22798i,12158+0.22023i,11508+0.22454i,11949+0.23024i,11807+0.2262i,11802+0.22427i,11191+0.22357i,11485+0.22863i,11210+0.22211i,10798+0.2273i,11063+0.23269i,10924+0.22854i,11114+0.22994i,11052+0.22898i,11008+0.23339i,10883+0.22087i,10846+0.23074i,10892+0.22293i,10814+0.22942i,10593+0.23655i,10634+0.23975i,10427+0.23823i,10736+0.23521i,10967+0.22414i,10733+0.2424i,10544+0.24094i,10429+0.23619i,10425+0.23589i,10318+0.23602i,10360+0.23539i,10609+0.23336i,10169+0.23227i,10298+0.24592i,10019+0.23295i,10266+0.24213i,10458+0.23473i,9731+0.23627i,10168+0.23925i,10087+0.24731i,9767.5+0.24134i,9624.4+0.24449i,9641.7+0.25411i,9899.8+0.23963i,9526.9+0.24995i,9705.1+0.2538i,9475.7+0.2494i,9384.8+0.24512i,9616.5+0.25625i,9337+0.2514i,9484.4+0.2556i,9617.9+0.25703i,9610.5+0.24554i,9199.3+0.2459i,9372.8+0.25412i,9256.9+0.2588i,8980.9+0.25234i,9108.7+0.26227i,9232.8+0.25895i,9083+0.26566i,8990.7+0.25628i,9127.8+0.26434i,9008.4+0.25868i,8907.2+0.26525i,8850.6+0.26862i,9104.4+0.263i,8837.3+0.26285i,8949.4+0.26424i,8698.2+0.26816i,8502.3+0.25615i,8562.2+0.26302i,8716.7+0.2694i,8666.4+0.26832i,8734.5+0.2643i,8364.2+0.27016i,8576.4+0.26331i,8695.6+0.2754i,8561.9+0.28642i,8671.4+0.28232i,8387.1+0.27321i,8588+0.27048i,8592.6+0.27733i,8495.8+0.28406i,8410+0.28378i,8358.2+0.28167i,8427+0.2835i,8259.1+0.28285i,8085.6+0.2823i,8281.1+0.27809i,8386.3+0.28533i,8110.4+0.28445i,8101.9+0.28185i,8289.9+0.2806i,8016+0.28905i,7880.7+0.2863i,8181.6+0.29385i,8626.2+0.29888i,8133.8+0.29653i,8159+0.29644i,8049.1+0.28588i,8135.6+0.29615i,8097.7+0.29284i,8129.1+0.29734i,8193.5+0.29896i,7844.6+0.28783i,8130.7+0.297i,8165.9+0.29452i,8014.3+0.29787i,8096+0.29493i,7559.7+0.29706i,8097.2+0.2967i,7576.2+0.30854i,7782.8+0.31133i,7675.3+0.30382i,7791+0.28988i,7765.3+0.29838i,7849.8+0.3139i,7544.3+0.31313i,7534.1+0.30256i,8067.2+0.30601i,7650.4+0.31365i,7876.7+0.31388i,7524.1+0.31005i,7432.8+0.32505i,7581+0.31216i,7537.3+0.31655i,7468.5+0.31366i,7642.5+0.31214i,7445.6+0.31787i,7594.4+0.32693i,7840.8+0.31392i,7319.3+0.31454i,7589.5+0.32507i,7318.7+0.30701i,7616.5+0.32861i,7399.1+0.32405i,7636.6+0.33359i,7479.1+0.32882i,7481.5+0.32579i,7790.1+0.3352i,7482+0.32231i,7560.6+0.32481i,7520.2+0.31593i,7801.1+0.3245i,7641.1+0.33037i,7376.3+0.32201i,7467+0.31912i,7608+0.32403i,7504.2+0.33699i,7334.1+0.32385i,7783.3+0.34611i,7671.8+0.33369i,7528.8+0.34427i,7349.2+0.34086i,7368.5+0.34614i,7428.3+0.3433i,7402.6+0.34054i,7301.9+0.34363i,7438.7+0.35091i,7072.9+0.34142i,7395.7+0.34718i,7283.2+0.3418i,7359.5+0.35604i,7605.5+0.35635i,7154.4+0.34443i,7403+0.35254i,7461.7+0.35174i,7288.5+0.36124i,7328.2+0.35016i,6878.2+0.35099i,7178.8+0.35624i,7243.3+0.35669i,7154.3+0.36553i,7214.7+0.35291i,7230.9+0.3626i,7498.1+0.37094i,7425.2+0.3695i,7515.4+0.36854i,7262.4+0.35921i,7089.9+0.35984i,7308.9+0.37694i,7271.5+0.37163i,7262.9+0.3732i,7357.1+0.37225i,7321.5+0.368i,7063.7+0.37328i,7047.1+0.3796i,7307.8+0.37287i,7150.4+0.36354i,7125.7+0.36308i,7101.6+0.39163i,7117.6+0.36812i,7330.1+0.36532i,7520.1+0.37909i,7150.1+0.37901i,7295.4+0.37589i,7102.1+0.38089i,7032+0.38824i,7154+0.37947i,7167.5+0.38228i,7285.7+0.38204i,7034.8+0.40002i,7140.6+0.38831i,7119.8+0.38907i,6953.9+0.38296i,7109.9+0.39621i,7237.7+0.39476i,7206.5+0.40715i,7106+0.39048i,7264.1+0.39826i,7175.4+0.41304i,7122.6+0.4132i,7198.2+0.40406i,7477.6+0.41662i,7059.6+0.40643i,7218.3+0.42105i,7297+0.40977i,7074.7+0.4031i,7043.6+0.4008i,7169.4+0.40196i,7261.7+0.41009i,7114+0.41217i,7193.9+0.42222i,7068+0.41646i,7032.3+0.41378i,7132.7+0.42495i,7232.4+0.4175i,7296.8+0.41172i,7074.9+0.43077i,7239.7+0.41675i,7231.9+0.42824i,7161.7+0.42218i,7197.5+0.42284i,7219.2+0.42293i,7274.9+0.42397i,6957.3+0.42916i,7026.1+0.42627i,7221.1+0.44349i,6928.9+0.42743i,7007.1+0.41228i,7094.8+0.44259i,7294.5+0.42274i,6952.3+0.43958i,7274.7+0.44343i,6872.9+0.42985i,6823.2+0.43195i,6945.2+0.45066i,7117.6+0.46208i,7243.6+0.44778i,7024.6+0.44579i,7198.9+0.45171i,7449.4+0.45914i,7146+0.43277i,7222.8+0.46375i,6903.5+0.45127i,7227.3+0.45488i,7362.1+0.4551i,7047.3+0.46608i,7072+0.44447i,7388.6+0.46625i,7226.4+0.47716i,7028.7+0.46489i,7370.8+0.46965i,7301.9+0.46865i,6992.7+0.48506i,7010.4+0.47076i,6846.3+0.4957i,6960.5+0.48196i,7109.5+0.46219i,6956+0.48354i,7205.5+0.48901i,7185+0.49852i,7127+0.47928i,7149.7+0.47353i,7161.2+0.50439i,7050.6+0.49615i,7244.4+0.48412i,7074+0.49678i,6995.3+0.48326i,6972.8+0.50165i,6931.7+0.50344i,7013.1+0.51863i,7103.6+0.49532i,7013.8+0.50367i,7005.3+0.49834i,7026.3+0.4928i,7270.6+0.52472i,7130.8+0.49889i,7094.4+0.51937i,7243.5+0.52007i,6945.1+0.52473i,6845.7+0.5059i,7102+0.513i,7279.1+0.52878i,6924.6+0.52331i,7083.4+0.53051i,6987+0.50698i
14943+0.21622i,14793+0.22219i,14725+0.20512i,14510+0.2111i,15008+0.20883i,14545+0.21531i,14368+0.20934i,14832+0.20825i,14586+0.20475i,14856+0.21494i,14776+0.20858i,14141+0.20606i,13815+0.21286i,14345+0.20574i,14451+0.20661i,13954+0.2143i,13767+0.21078i,14049+0.20284i,13883+0.21246i,13651+0.21395i,13618+0.20981i,13752+0.21327i,14193+0.21528i,13626+0.20474i,13628+0.2102i,13883+0.21248i,13461+0.20412i,13936+0.21468i,13495+0.20184i,13779+0.21164i,13881+0.21381i,13802+0.21362i,13361+0.21461i,14029+0.20547i,13499+0.21993i,13400+0.20539i,13988+0.2149i,14141+0.21377i,14018+0.20772i,13566+0.21491i,13341+0.21652i,13349+0.21664i,13761+0.21842i,13360+0.21363i,13667+0.21177i,13120+0.20943i,14002+0.21267i,13768+0.21182i,13000+0.21847i,13586+0.20879i,13318+0.20551i,13545+0.21641i,13444+0.21325i,13458+0.2152i,13049+0.20801i,13036+0.21079i,13242+0.2163i,13021+0.20873i,13215+0.21184i,13017+0.20939i,12757+0.21456i,13098+0.2056i,12713+0.21197i,12816+0.2156i,13052+0.21591i,12884+0.21168i,12972+0.21207i,12520+0.22097i,13139+0.21017i,12705+0.22361i,12806+0.21162i,12982+0.21552i,13078+0.21367i,12905+0.21074i,12445+0.21354i,12283+0.21145i,12918+0.22121i,12686+0.2165i,12701+0.21535i,12522+0.21983i,12547+0.22225i,11997+0.21324i,12361+0.22142i,12349+0.21386i,12106+0.21353i,12591+0.21758i,13067+0.21426i,12502+0.22279i,12263+0.21579i,11985+0.21775i,12426+0.21734i,11885+0.21109i,11947+0.21655i,12264+0.21789i,11996+0.22024i,11958+0.22664i,12172+0.22078i,11693+0.21871i,11879+0.22313i,11727+0.22436i,11679+0.21803i,11823+0.22243i,11469+0.21833i,11405+0.22003i,11830+0.22575i,11848+0.22364i,11786+0.22727i,11749+0.22471i,11413+0.22195i,11386+0.22758i,11161+0.22503i,11763+0.2286i,11238+0.21776i,11106+0.2292i,11335+0.23038i,11378+0.2315i,11073+0.22777i,11448+0.2383i,11100+0.23377i,10992+0.22239i,11013+0.23775i,10932+0.23095i,10804+0.23549i,10465+0.23477i,10855+0.23473i,10910+0.23409i,10191+0.23208i,10660+0.23326i,10800+0.22894i,10901+0.23489i,10289+0.23238i,10454+0.23491i,10438+0.23646i,9959.2+0.23523i,10320+0.23656i,10340+0.24165i,10486+0.24629i,9782+0.23555i,9991+0.23731i,9844.2+0.235i,9976.8+0.25171i,10411+0.23569i,9805+0.24224i,9988.6+0.25117i,9624.4+0.24621i,9835.4+0.25187i,9881.1+0.24948i,9522.4+0.25821i,9910.2+0.25072i,9627.5+0.25119i,9493.2+0.25621i,9848.7+0.24768i,9277.3+0.25047i,9535.6+0.2562i,9500.5+0.24795i,9516.9+0.25789i,9506.4+0.25639i,9610.6+0.25068i,9064.7+0.25162i,9275.6+0.25025i,9507.2+0.26047i,9302.7+0.2528i,9104.4+0.25562i,8936.3+0.25078i,8975.6+0.2645i,9117.9+0.27264i,8854+0.2673i,8694.7+0.2574i,8949.3+0.26893i,8812.1+0.25614i,8875.8+0.26133i,8778.6+0.26839i,8682.7+0.27167i,8821.2+0.27344i,8945.1+0.27339i,8702.9+0.26862i,8879.4+0.27811i,8459.3+0.27635i,8564+0.27804i,8583.6+0.25862i,8414.6+0.27718i,8752.9+0.26735i,8424.1+0.27529i,8511+0.27598i,8327+0.27775i,8371.3+0.27787i,8246.5+0.28045i,8244.6+0.27323i,8342+0.27435i,8364.1+0.27933i,8140.6+0.28132i,8404.1+0.28032i,8375+0.27887i,8216.5+0.29062i,8098.7+0.29883i,8063+0.29187i,8007.9+0.29063i,8095.2+0.30007i,8090.5+0.28942i,8140.2+0.28679i,7925.2+0.29465i,8400.9+0.28741i,8040.2+0.29184i,8138.2+0.28924i,7972.3+0.29056i,7993.1+0.29828i,8013.8+0.29445i,7997.6+0.29283i,7916.3+0.29783i,7771.5+0.3009i,7953.6+0.29442i,7915.5+0.29273i,7705.8+0.28911i,8085.5+0.28743i,7977.3+0.29921i,8004.7+0.31482i,7955.1+0.31155i,7577.4+0.30614i,7570.1+0.31172i,7845.1+0.31102i,7742.6+0.30848i,7976+0.30243i,7738.5+0.30683i,7750+0.31396i,7744.9+0.30732i,7426.7+0.31203i,7739.4+0.31729i,7802.1+0.30958i,7512.9+0.31106i,7964.8+0.31107i,7852.1+0.30716i,7886.3+0.30714i,7671.4+0.31819i,7701.2+0.32393i,7755.9+0.313i,7754.9+0.3252i,7861.5+0.33035i,7585.9+0.3229i,7527.9+0.32953i,7966.7+0.32146i,7631.7+0.34023i,7274+0.32625i,7289.8+0.32975i,7366.7+0.33511i,7578.1+0.33953i,7551.6+0.33632i,7258.9+0.33594i,7203.9+0.33493i,7899.6+0.35171i,7233.8+0.32908i,7366.9+0.33286i,7374.7+0.32707i,7284.4+0.33778i,7542.8+0.33589i,7521.3+0.33779i,7524.9+0.33159i,7491.3+0.34755i,7202.4+0.34575i,7273.6+0.33123i,7214.9+0.33596i,7246.3+0.34168i,7262.9+0.33389i,7311.9+0.34591i,7346.6+0.34231i,7433.5+0.35586i,7232.6+0.35821i,7079.9+0.34439i,7357+0.3634i,7280.8+0.34661i,6982+0.35294i,7356+0.36616i,7156+0.35912i,7066+0.34791i,7376.7+0.36018i,7222.9+0.35065i,7090.8+0.34112i,7180.1+0.35383i,7338.7+0.37037i,7292.5+0.35989i,7217+0.35567i,7590.4+0.36518i,6824+0.36749i,7251.3+0.35652i,7173.3+0.3604i,7311.9+0.36976i,7251.6+0.3679i,6886.4+0.37233i,7351.7+0.36448i,7210.1+0.3722i,7376.7+0.37823i,7121.9+0.3784i,7070.6+0.36989i,7079.4+0.37041i,7135.6+0.38178i,7304.5+0.3914i,7305+0.37855i,7337.8+0.38854i,7219+0.36958i,7014.9+0.3845i,7109.2+0.3773i,7523.4+0.38497i,7412+0.37799i,7153.7+0.39969i,7015.8+0.38808i,7248.6+0.38807i,7088.5+0.38908i,7390.3+0.3869i,6834.8+0.39733i,7032.2+0.40399i,7166.6+0.40251i,7164.2+0.3954i,7275.4+0.39205i,7271.3+0.40511i,6994.5+0.40389i,6962.7+0.4037i,7133.7+0.39343i,7081.4+0.39472i,7354.2+0.38687i,7089.4+0.40875i,7389.1+0.40146i,7261.6+0.42172i,6945.6+0.41481i,7087.9+0.41507i,7294+0.40053i,6910.6+0.41998i,7153.2+0.39561i,7098.5+0.42357i,6988.3+0.41913i,7197.7+0.42748i,7158.2+0.41276i,7159.3+0.41326i,7119.3+0.41424i,7110.9+0.42643i,7291+0.42168i,7037.4+0.4218i,7212.6+0.4346i,7311.5+0.43563i,7161.4+0.41798i,6976.8+0.42552i,7297.9+0.44115i,7215.4+0.44949i,7003.2+0.43067i,7277.2+0.4379i,7052.6+0.43101i,6997+0.42746i,7235.4+0.43568i,7015.7+0.43728i,7136.6+0.45927i,7025+0.45168i,6991+0.43095i,7120.3+0.44504i,6797.8+0.45669i,7319.9+0.45908i,7032+0.4416i,7117.8+0.44177i,6989.1+0.46213i,7260.7+0.45692i,7216.9+0.45354i,6984.5+0.45967i,7056+0.45075i,7076.4+0.46174i,7271+0.45156i,7237+0.46812i,7129.9+0.47401i,7299.8+0.48316i,7330.8+0.47411i,7060+0.46303i,7116.7+0.46177i,7001.6+0.46362i,7153.9+0.46341i,7144.9+0.49909i,7219.9+0.46782i,7007.3+0.47687i,7063.3+0.4848i,7290.2+0.48987i,7039.8+0.49389i,6985.8+0.47798i,6867.1+0.48601i,7005.6+0.48268i,7258.7+0.50541i,7016+0.49782i,6896+0.48399i,7346.8+0.49542i,7314+0.50731i,6975.8+0.50671i,6899.6+0.49979i,7289.4+0.48881i,7122.7+0.5138i,7028.2+0.51545i,7076.3+0.49743i,7005.8+0.51678i,7331+0.51394i,7100+0.5149i,6817.8+0.52473i,7036.5+0.52927i,7006.9+0.52909i,6851.8+0.53035i,7103.9+0.53495i,6951.2+0.52455i,7018.2+0.50575i,7092+0.53847i
15031+0.21062i,14996+0.21133i,14928+0.21109i,13901+0.20884i,14252+0.20942i,14573+0.21189i,14315+0.20432i,14517+0.21047i,14018+0.20807i,14441+0.20252i,14542+0.21243i,14517+0.2047i,13747+0.21435i,14103+0.22049i,14517+0.20892i,13678+0.20806i,14376+0.21414i,14395+0.21483i,14436+0.21567i,13671+0.21391i,14093+0.21643i,13977+0.21627i,13885+0.21143i,13813+0.21556i,13741+0.20857i,14194+0.20805i,13746+0.20758i,13754+0.20524i,13548+0.2117i,14629+0.20377i,13797+0.20646i,14192+0.20705i,13551+0.20949i,13394+0.2068i,13736+0.20798i,13866+0.21067i,13197+0.20913i,13243+0.21293i,13827+0.21294i,13492+0.21641i,13115+0.20723i,13583+0.21647i,13540+0.21492i,12799+0.20746i,13261+0.20951i,13389+0.21975i,13643+0.20434i,13303+0.21663i,12987+0.20476i,13039+0.21246i,13627+0.2138i,13127+0.20658i,13409+0.20928i,13419+0.21602i,13310+0.21571i,13302+0.20967i,13009+0.21189i,12948+0.22151i,12859+0.2057i,13027+0.21219i,13374+0.20586i,12896+0.21099i,13246+0.21261i,13036+0.20736i,13086+0.21319i,13137+0.21961i,12952+0.21056i,12747+0.21925i,12497+0.22053i,12533+0.21656i,12619+0.21592i,12598+0.21812i,12182+0.22852i,12095+0.21908i,12983+0.21188i,13151+0.2099i,12514+0.21566i,12434+0.21905i,13282+0.21383i,12517+0.21527i,12739+0.22056i,12039+0.22448i,12206+0.2139i,12367+0.21276i,12006+0.21944i,12285+0.21814i,12217+0.21775i,11648+0.22246i,12051+0.21224i,11961+0.21704i,12497+0.22451i,11899+0.22474i,12182+0.21601i,11647+0.22389i,12527+0.21746i,11602+0.22151i,12490+0.21875i,11523+0.21759i,11764+0.21696i,11806+0.22004i,12254+0.22005i,11909+0.23422i,11590+0.22406i,11745+0.21472i,11684+0.225i,11697+0.22584i,11652+0.22411i,11272+0.21719i,11169+0.22256i,11467+0.22223i,11273+0.23213i,11187+0.22694i,11469+0.2252i,11443+0.22954i,11229+0.2261i,11034+0.22265i,11135+0.22351i,11016+0.2207i,10718+0.23478i,10932+0.22747i,10797+0.23556i,10854+0.23562i,10953+0.23038i,10786+0.22613i,11042+0.2336i,10523+0.24356i,10408+0.23006i,10557+0.22651i,10303+0.23304i,10523+0.24588i,10376+0.22713i,9917.1+0.23685i,10421+0.23847i,10236+0.24258i,9818.8+0.23635i,9724.5+0.23725i,10214+0.23168i,10188+0.2392i,10213+0.25079i,10183+0.247i,9951.9+0.25031i,10195+0.24219i,9967+0.24057i,9714.3+0.24248i,9833.2+0.24849i,9695.9+0.24584i,10086+0.24473i,9708.1+0.25261i,9451.4+0.24318i,9747+0.24735i,9647.7+0.24769i,9543.2+0.24308i,9219.1+0.25274i,9581.7+0.24958i,9718.7+0.25602i,9709.8+0.25596i,9621.2+0.25493i,9296.9+0.25557i,9362.4+0.2492i,9321.6+0.26109i,9287.1+0.25456i,8989.3+0.25924i,9212.2+0.2685i,9001.1+0.26535i,8711.5+0.25089i,9012.2+0.26455i,8584.1+0.27054i,9442.5+0.2649i,8981.6+0.26661i,8984.3+0.26306i,8862.2+0.26684i,9064+0.25946i,8692.3+0.26704i,8887+0.25646i,8922.3+0.27011i,8688.9+0.26656i,8783.2+0.27135i,8238.5+0.27146i,8310.6+0.26836i,8507.5+0.27196i,8513.7+0.26721i,8323+0.27386i,8465.5+0.27823i,8603.2+0.27678i,8610.8+0.27386i,8278.9+0.27081i,8312.1+0.27744i,8568.3+0.27922i,8501.7+0.28743i,8419.2+0.27178i,8295.5+0.2808i,8427.3+0.2842i,8168.8+0.28352i,8366.9+0.28094i,8108.1+0.28427i,7859.3+0.28185i,8005.5+0.28575i,8005.8+0.28487i,7807.4+0.29767i,8051.4+0.28192i,7994.3+0.29066i,7977.4+0.2859i,8149.2+0.29896i,8045.6+0.29746i,8044.6+0.30525i,8000.9+0.2947i,7798+0.30686i,7987.6+0.29605i,8153.7+0.29493i,7647.2+0.30405i,7635.7+0.29544i,7735.1+0.2985i,7806.7+0.29126i,7671+0.30264i,7734.2+0.30765i,8046.5+0.30205i,7987.2+0.30847i,7764.3+0.31096i,7775.5+0.31119i,7791.2+0.311i,7939.6+0.30516i,7797.3+0.31222i,8180.8+0.3046i,7899.9+0.31928i,7612.8+0.30986i,7590.7+0.31522i,7371.5+0.31421i,7870.5+0.32215i,7584.3+0.31256i,7689+0.31348i,7687.5+0.30578i,7762.6+0.31829i,7598.5+0.31525i,7500.1+0.31882i,7806.8+0.32028i,7417.8+0.32018i,7773.4+0.30993i,7583.4+0.31684i,7652.2+0.31729i,7513.8+0.32521i,7466+0.33581i,7390.4+0.33042i,7594.7+0.32806i,7521.1+0.31604i,7871.1+0.32196i,7510.8+0.31942i,7512.4+0.32718i,7488.1+0.32777i,7679.5+0.32416i,7236.9+0.32986i,7378.4+0.34132i,7521.2+0.33691i,7226.3+0.34274i,7200.4+0.32069i,7611.3+0.33205i,7679.2+0.34056i,7440.3+0.33998i,7519.7+0.34204i,7561+0.35249i,7398.7+0.34264i,7315.9+0.35084i,7448.4+0.34763i,7452.5+0.347i,7474.5+0.34104i,7373.7+0.35137i,7512.1+0.34605i,7093.8+0.34913i,7515.6+0.347i,7340.5+0.3629i,7144+0.35628i,7407.5+0.35171i,7201+0.3476i,7613.3+0.34863i,7553.4+0.36103i,7296.6+0.35336i,7421+0.35085i,7351.6+0.36747i,7328.8+0.36491i,7239.7+0.36317i,7064.9+0.36491i,7106.5+0.36273i,7296.9+0.3662i,7135.6+0.36682i,7031.7+0.37726i,7227.8+0.37015i,7222.1+0.37485i,7120.4+0.37156i,7090.9+0.38529i,7177.5+0.36183i,7166.7+0.3691i,7001.7+0.37719i,7101.4+0.37277i,7425.7+0.37018i,7018.1+0.37603i,7043.2+0.38923i,7185.6+0.37596i,7277.1+0.38673i,7219.2+0.37306i,7492.3+0.38869i,7237.1+0.38624i,7467.7+0.37387i,7109.5+0.38282i,7093.5+0.38948i,7280.7+0.38811i,6900.5+0.37867i,7422.9+0.38405i,7226.7+0.39469i,6939.9+0.38849i,7201.6+0.38499i,7130.4+0.39474i,7255.5+0.39506i,7291.8+0.39117i,7317.8+0.38643i,7292.4+0.38892i,7169.8+0.4009i,7092.6+0.40979i,7517.8+0.41186i,6934.3+0.40408i,7137.5+0.41654i,7012.3+0.42227i,7451.4+0.41503i,7141.7+0.4105i,7112.8+0.40515i,7070.9+0.40178i,7129.6+0.418i,7051.9+0.41331i,7189.9+0.43723i,7232.1+0.4166i,7365.9+0.41873i,7130.3+0.42155i,7119+0.4135i,7164.3+0.41628i,6906.9+0.41434i,7195.8+0.42197i,7175.8+0.43131i,7006.6+0.43221i,7087.1+0.42312i,7049.5+0.4315i,7034.6+0.42319i,7498+0.42815i,6963+0.4317i,7105.9+0.42855i,6987.6+0.43889i,7021.4+0.44192i,7317.9+0.43407i,7189+0.4408i,7084.5+0.42527i,7179.5+0.45176i,7263.6+0.45627i,7189.9+0.43444i,7077.3+0.4467i,7072+0.45598i,7133.3+0.44076i,7158.5+0.43817i,7187.4+0.44891i,7212.1+0.44824i,7053.9+0.45749i,7223.9+0.46272i,7259+0.4714i,6910.8+0.46167i,7112.1+0.46824i,6723.6+0.47464i,7107.2+0.45876i,6824.9+0.45773i,7106+0.47756i,7268.6+0.47005i,7382.9+0.45121i,7182.6+0.46647i,6840.8+0.48644i,6977.1+0.47559i,7364.7+0.45643i,7177.3+0.4643i,7243.1+0.48845i,7032.8+0.46149i,7215.8+0.49843i,6877.4+0.47442i,7049.1+0.47085i,7113.8+0.48477i,7250.5+0.49466i,7229.7+0.48042i,6916.5+0.48626i,6960+0.48114i,6920.9+0.50184i,6897+0.49404i,7173.7+0.4867i,7083.2+0.5149i,7090.5+0.50553i,7193.2+0.50947i,7260.8+0.49009i,7147.8+0.51746i,7033.6+0.51524i,7123.3+0.50703i,7102.2+0.52024i,7240.7+0.50669i,6951+0.52825i,6976.8+0.53898i,7014.1+0.49604i,7216.4+0.5218i,7385.4+0.52427i,7023.4+0.52889i,7251.2+0.52202i
