14057+0.20687i,14188+0.21601i,14516+0.21535i,14296+0.21634i,14449+0.20416i,14517+0.22111i,14259+0.20745i,14488+0.21026i,14219+0.21009i,13691+0.20654i,13831+0.20426i,14109+0.20809i,13857+0.20534i,14082+0.21485i,14035+0.20723i,14190+0.20694i,13927+0.20801i,13846+0.20573i,14699+0.21486i,14187+0.20408i,14253+0.21248i,14101+0.20326i,14137+0.2081i,13807+0.21667i,13670+0.21117i,13682+0.21425i,13988+0.21329i,13744+0.2035i,13924+0.21474i,13534+0.20833i,13482+0.2093i,13584+0.21291i,13839+0.20968i,14096+0.21165i,13439+0.21297i,13523+0.20767i,13752+0.21026i,13606+0.21219i,13935+0.21892i,13508+0.2071i,13745+0.20947i,13382+0.21857i,13572+0.20807i,13406+0.20466i,13698+0.21102i,13245+0.21325i,13491+0.21367i,12833+0.21103i,13135+0.21948i,13338+0.20618i,13215+0.21454i,13567+0.21218i,13436+0.20913i,13499+0.21277i,13360+0.21285i,13343+0.21157i,13036+0.21312i,12715+0.21033i,13045+0.21343i,13318+0.20559i,12993+0.20924i,13116+0.21813i,13075+0.2138i,13345+0.21079i,13712+0.21365i,12564+0.21151i,12587+0.20718i,13438+0.20995i,12988+0.21383i,12923+0.20653i,12712+0.21813i,12804+0.21984i,13118+0.21296i,13015+0.21601i,13415+0.21165i,13289+0.21211i,12465+0.21357i,12443+0.21882i,12571+0.2153i,12347+0.22231i,12558+0.21706i,12504+0.21013i,12373+0.21483i,12833+0.21953i,12519+0.21589i,12335+0.21407i,12541+0.22559i,12148+0.20726i,12039+0.21944i,12016+0.21302i,12744+0.20922i,12709+0.21177i,12529+0.21468i,12018+0.21189i,12010+0.218i,11997+0.21835i,12101+0.22263i,11951+0.21967i,12185+0.21974i,11857+0.2209i,12310+0.22287i,12196+0.21453i,12337+0.22953i,11806+0.20867i,12111+0.22184i,11883+0.22917i,11502+0.22797i,12038+0.22371i,12057+0.21789i,12108+0.22655i,11588+0.23014i,12000+0.23359i,11235+0.22271i,11929+0.22863i,11497+0.23088i,12097+0.22957i,11634+0.21922i,11525+0.22864i,11471+0.23097i,11327+0.23315i,11436+0.22612i,11142+0.23191i,11469+0.23216i,11209+0.23154i,11008+0.22595i,11195+0.23551i,10659+0.22727i,10671+0.22138i,11408+0.23478i,10447+0.23517i,11227+0.23341i,11014+0.23689i,11169+0.2371i,10911+0.23727i,10896+0.2354i,10873+0.23391i,10668+0.23459i,10879+0.22958i,10882+0.23449i,10261+0.24306i,10328+0.24419i,10269+0.24376i,10520+0.24412i,10094+0.24514i,9898.8+0.25176i,10114+0.24295i,10316+0.24785i,10169+0.24866i,10028+0.24772i,10252+0.25256i,9936.3+0.25594i,10036+0.24406i,10107+0.25752i,9761.1+0.25004i,9746.4+0.25668i,10077+0.25459i,9717.2+0.25875i,9658+0.24878i,9561.7+0.25763i,9596.3+0.26624i,9785.6+0.25165i,9477+0.26298i,9715.6+0.25707i,9684.1+0.25773i,9384.2+0.26853i,9571.3+0.26603i,9428.9+0.25981i,9342.6+0.273i,9257.1+0.26036i,9503.5+0.27756i,9247.4+0.2623i,8993.3+0.2737i,8790.4+0.27137i,9122.3+0.27051i,9120.5+0.26775i,9446.9+0.28013i,9303.2+0.26723i,8926.2+0.28198i,8880.1+0.27468i,9033.4+0.27018i,8463.3+0.27934i,9020.9+0.2846i,8970.6+0.28154i,8408+0.28317i,8931.9+0.28389i,8507.5+0.28551i,8429.4+0.28258i,8376.5+0.29213i,8532.4+0.28256i,8696.2+0.28066i,8286.8+0.28737i,8547.6+0.27852i,8540.5+0.29188i,8340.8+0.28839i,8432.1+0.29274i,8396.3+0.29359i,8100.4+0.30505i,8305.5+0.29845i,8199.1+0.29689i,8151.7+0.29478i,8330.6+0.30993i,8377.1+0.2965i,8438.3+0.29125i,7962.1+0.30076i,8210.3+0.30466i,8199.5+0.29814i,7962.4+0.31087i,8133.6+0.31289i,8091+0.30062i,7880.5+0.29679i,7887.2+0.302i,8162.5+0.3186i,7882.8+0.31351i,8085.6+0.31448i,7902.4+0.30828i,7829.1+0.31184i,7901.6+0.31892i,7888.3+0.31757i,7898.8+0.30659i,7868.5+0.31503i,7923.1+0.31801i,7770.7+0.32248i,7865.7+0.3311i,7899.8+0.31558i,7555.3+0.32242i,7886.7+0.31835i,7739.6+0.3349i,7575.8+0.31596i,7877.4+0.3161i,7407.3+0.32641i,7524.8+0.32688i,7916.7+0.3177i,7732+0.33566i,7966.4+0.33987i,7817.5+0.33171i,7766.4+0.34157i,7447.2+0.33729i,7431+0.33735i,7856.5+0.3439i,7384.1+0.34155i,7537.4+0.34171i,7349.9+0.3485i,7467.3+0.35462i,7589.9+0.3466i,7402.8+0.34769i,7560.9+0.33748i,7539.1+0.34397i,7294.1+0.33586i,7576.2+0.34304i,7416.8+0.34545i,7655.1+0.35049i,7369.7+0.35661i,7532+0.34707i,7720.7+0.35193i,7043+0.33944i,7580.9+0.37159i,7206.2+0.35892i,7375.6+0.36139i,7440+0.37631i,7443.8+0.37175i,7359.9+0.35984i,7378.6+0.36604i,7412.5+0.37567i,7369.9+0.37308i,7396.4+0.36607i,7308.8+0.37194i,7462.4+0.37113i,7170+0.35804i,7382.9+0.37913i,7292.2+0.37181i,7335.2+0.36561i,7250.9+0.38414i,7472.4+0.39286i,7274.3+0.37138i,7167.7+0.37077i,7352+0.39618i,7207.2+0.38386i,7109.9+0.38081i,7181.7+0.37404i,7000.7+0.37642i,7530.8+0.38919i,7091.8+0.38497i,7217.6+0.37709i,7309.5+0.37618i,7447.7+0.38254i,7141.3+0.39277i,7132.9+0.38984i,7318.7+0.39691i,7379.9+0.3878i,7085.6+0.39262i,7203.5+0.39501i,7384.4+0.39398i,7176.1+0.38039i,7565.4+0.39298i,7044.4+0.41934i,7271.9+0.39573i,7455.5+0.39225i,7186.7+0.40856i,7236.2+0.41953i,7068.3+0.41771i,7118.4+0.40223i,7171+0.41105i,6971.6+0.39423i,7009.7+0.41177i,7220.9+0.41174i,7334.8+0.42776i,6919+0.41089i,7155.4+0.42645i,7343.4+0.41766i,7212.3+0.42434i,7402+0.42084i,7191.1+0.41432i,7154.5+0.40964i,7191.4+0.43215i,7079.7+0.42793i,6969.3+0.41358i,7207.3+0.43605i,7260.1+0.4418i,7074.2+0.43504i,7197+0.44006i,7137.5+0.42628i,6945.5+0.43876i,7280.1+0.44479i,7140.8+0.44033i,7005.3+0.43287i,7082+0.44551i,7287.2+0.43915i,7123.3+0.44266i,7141.3+0.43291i,7053.4+0.44028i,7011.7+0.45235i,7306.6+0.45716i,7180.3+0.45025i,7213.3+0.44459i,6977.6+0.45213i,6908.5+0.44875i,7114.2+0.44762i,7285.3+0.46347i,7151.9+0.45067i,6756.2+0.46266i,7300.5+0.46876i,7167.3+0.46629i,6935.4+0.4501i,7243.5+0.46995i,7255.5+0.47491i,7483.1+0.47432i,7043.4+0.48043i,7075.9+0.48058i,6920.2+0.48281i,7145.2+0.49556i,7238.4+0.46711i,7275.7+0.48687i,7126.9+0.4697i,7210.7+0.47871i,6913.5+0.50305i,6915.1+0.49542i,7483.8+0.48918i,7186.3+0.49383i,7257.5+0.49395i,7358.8+0.48607i,7296.3+0.4849i,6868.3+0.49006i,7002.4+0.50324i,7132.4+0.49744i,6983.6+0.49537i,7066.7+0.49838i,7192.6+0.51177i,7281.7+0.5071i,7153.9+0.51356i,7346.8+0.51i,7037.8+0.50666i,7234.6+0.53226i,7099.1+0.53854i,7275.7+0.51415i,6921.5+0.51118i,6991.7+0.53013i,6972.1+0.5113i,7166.5+0.5082i,7030+0.54007i,6835.8+0.52718i,7176.8+0.53167i,6890.4+0.51407i,6885.3+0.52572i,7166.4+0.5327i,6938+0.52985i,7227.3+0.53232i,7077.3+0.55006i,7133.1+0.55141i,7098.5+0.55197i,7047.6+0.54701i,7208.2+0.55232i,6936.2+0.54867i,6995.7+0.5623i,7091.4+0.56985i,7107.1+0.54426i,7072.2+0.55903i,6997.4+0.5592i,6965.7+0.57702i,6933.1+0.55482i,6955.6+0.56384i,7158.3+0.54962i
14528+0.20687i,14221+0.20567i,14004+0.20941i,14150+0.20284i,14442+0.20761i,13810+0.20738i,14974+0.2082i,13522+0.2106i,14367+0.20566i,14580+0.20911i,14113+0.20939i,14222+0.2093i,14299+0.20533i,14063+0.20688i,14000+0.21413i,14103+0.20527i,13729+0.21664i,14112+0.21903i,13975+0.21604i,13855+0.21416i,13970+0.2063i,13780+0.21873i,13264+0.21239i,13641+0.2127i,13516+0.21451i,13930+0.21482i,14135+0.20128i,13807+0.21119i,13998+0.20816i,14051+0.20933i,13606+0.20533i,13623+0.21291i,13913+0.21066i,13730+0.21441i,13890+0.21147i,14087+0.20611i,13921+0.21853i,13791+0.21968i,13739+0.21567i,12986+0.21106i,13779+0.20523i,13363+0.20911i,13791+0.20228i,13621+0.21233i,13519+0.21096i,13546+0.2092i,13931+0.2073i,13374+0.20173i,13518+0.21675i,13438+0.21585i,13483+0.21137i,13115+0.21369i,13285+0.2113i,13403+0.21517i,13234+0.20843i,13668+0.20939i,13446+0.22338i,13508+0.20952i,13140+0.21256i,13576+0.21997i,13158+0.21346i,13270+0.20882i,13433+0.20989i,13374+0.21769i,13411+0.20788i,12876+0.20534i,12851+0.20985i,13007+0.21443i,12602+0.22164i,12822+0.21871i,12838+0.21075i,13000+0.21316i,13200+0.21474i,13192+0.2126i,12966+0.21415i,12586+0.2156i,12563+0.21519i,12834+0.21647i,12685+0.22124i,12503+0.22156i,12555+0.21889i,12677+0.20797i,12533+0.209i,12867+0.21223i,12387+0.21319i,12194+0.21563i,12853+0.22358i,12619+0.21575i,12607+0.22096i,12683+0.22258i,12629+0.21067i,12227+0.22599i,12024+0.21388i,12042+0.22019i,12141+0.22063i,11932+0.22061i,12496+0.23079i,12170+0.21763i,12089+0.23031i,11609+0.21184i,11809+0.21822i,12143+0.22021i,11743+0.22603i,12222+0.23091i,12329+0.21951i,12048+0.22363i,12036+0.23009i,11947+0.22094i,12286+0.22885i,11422+0.22123i,11703+0.22217i,11636+0.22256i,11987+0.22241i,11657+0.22461i,11350+0.23021i,11716+0.2305i,11634+0.2377i,11342+0.22273i,11138+0.23592i,10872+0.23726i,10983+0.23587i,11395+0.225i,11359+0.22744i,11049+0.23639i,10979+0.23161i,11217+0.23408i,10874+0.23638i,10988+0.23243i,10655+0.23278i,10542+0.23765i,10960+0.23733i,10974+0.23179i,10710+0.24263i,10822+0.23709i,10792+0.24788i,10505+0.23037i,10752+0.24568i,10973+0.24328i,10210+0.24525i,10299+0.24263i,10363+0.23919i,10473+0.2456i,10625+0.24753i,10246+0.24801i,10048+0.24971i,10148+0.24647i,10302+0.25197i,9970.1+0.25473i,9700.4+0.2505i,9569.6+0.24543i,10084+0.24939i,10129+0.2457i,9664.4+0.24585i,9895.3+0.25296i,9779.9+0.2576i,9680.8+0.25404i,9597.9+0.25251i,9771+0.25284i,9717.2+0.26448i,9529.2+0.26128i,9248.4+0.25171i,9522.4+0.25033i,9330.3+0.26656i,9612.9+0.27298i,9385.7+0.26746i,9407.6+0.25951i,9300.1+0.2637i,9199.9+0.26556i,9399.8+0.26727i,9283.7+0.2712i,9246.8+0.27117i,9290.6+0.2693i,9208.6+0.27386i,8851.4+0.27683i,9056.3+0.2801i,8821.3+0.26128i,8730.7+0.27433i,9142.2+0.27861i,8687.1+0.27425i,8761.3+0.27931i,8670.6+0.2756i,9042.4+0.28843i,8758.3+0.2848i,8578.4+0.28177i,8464.2+0.28028i,8559+0.28237i,8800.1+0.27022i,8768.5+0.28821i,8660.7+0.29018i,8487.3+0.283i,8345+0.3016i,8525.3+0.29744i,8474.8+0.28901i,8623.5+0.29026i,8411.2+0.30293i,8595.2+0.2963i,8178.6+0.29975i,8158.2+0.30347i,8388.1+0.29725i,8228.2+0.2954i,8385.5+0.3016i,8354.1+0.30278i,8429.7+0.2919i,8461.8+0.30077i,7950.3+0.29675i,8304.6+0.30915i,8329.6+0.31123i,7726.7+0.305i,7946.4+0.31203i,7781.6+0.31789i,8257.6+0.31339i,7960.7+0.31229i,8001.3+0.30947i,8007.3+0.31477i,8072.1+0.31402i,7678.6+0.31074i,8073.2+0.31328i,8075.4+0.31536i,7889.1+0.31725i,8045+0.3258i,8063.9+0.32375i,7909.3+0.32464i,7894.8+0.3198i,7750.2+0.31551i,7679.9+0.3266i,7663.1+0.31082i,8056.1+0.33178i,7768.5+0.32271i,7784.4+0.32439i,7599.1+0.31906i,7920.1+0.33165i,7588.9+0.31768i,7712.6+0.32225i,7741.2+0.33472i,7830.4+0.34051i,7633.2+0.337i,7589.4+0.33636i,7650.7+0.33837i,7807+0.34043i,7755.4+0.33199i,7618.1+0.34357i,7838.6+0.34105i,7394.1+0.35124i,7477.6+0.34189i,7240.8+0.34827i,7977.7+0.34137i,7552.2+0.34547i,7573.8+0.35223i,7525.2+0.34795i,7638.2+0.35497i,7245.3+0.34688i,7535.9+0.33785i,7541.4+0.35077i,7589.5+0.35729i,7529.1+0.35604i,7553.6+0.3598i,7279.7+0.38087i,7604.5+0.35497i,7474.2+0.36681i,7523.2+0.3664i,7281.5+0.34324i,7247.1+0.38032i,7239.7+0.3656i,7347.2+0.3764i,7291.1+0.36412i,7253.8+0.37239i,7382.5+0.36893i,7152.8+0.36905i,7107.8+0.36645i,7244+0.38088i,7488+0.36616i,7197.4+0.38369i,7111.8+0.38604i,7212.9+0.38415i,7336.9+0.39177i,7476.5+0.37401i,7621.5+0.38362i,7338.4+0.38401i,7315.8+0.37322i,7262.6+0.3863i,7490.3+0.39354i,7294+0.38328i,7415.9+0.37367i,7285.8+0.39578i,7294.3+0.38112i,7441.9+0.38685i,7044.6+0.39115i,7236.7+0.39283i,7159.7+0.39904i,7270.2+0.40274i,7356.1+0.4031i,7155.9+0.38306i,7070.5+0.39493i,7064.6+0.40117i,7167.3+0.40782i,7121.7+0.41708i,7204.5+0.41434i,7212.8+0.4029i,6989.3+0.40767i,7262.1+0.40512i,7170.4+0.40713i,7221.7+0.41495i,7219.8+0.42237i,7042.8+0.40278i,7186.5+0.41383i,7437.2+0.40898i,7215.2+0.41694i,7103.2+0.41828i,7058.6+0.41266i,7200.3+0.42824i,7332.4+0.42277i,7417.5+0.42118i,7238.2+0.4341i,7308.4+0.43638i,7184.3+0.43992i,6889.3+0.42737i,7138+0.42898i,7083.1+0.42431i,7011.2+0.43444i,7094.2+0.43771i,7369.2+0.43397i,7288.2+0.44571i,6946.8+0.44122i,7120.4+0.45638i,7120.7+0.44437i,7169.9+0.45493i,7342.8+0.43725i,7198.1+0.4579i,7004.6+0.43473i,6981.2+0.453i,6985.8+0.4648i,7229.4+0.46981i,6975.2+0.44814i,7215+0.4705i,7081.4+0.45066i,7254.4+0.45664i,7116.9+0.44984i,7057.6+0.46465i,7094.4+0.46381i,7295.3+0.47191i,7033.8+0.46813i,7026.4+0.46562i,7131.6+0.4674i,7295.3+0.46625i,7365.4+0.46382i,7404.3+0.47031i,7152.5+0.46804i,6992.8+0.48007i,6863.8+0.4787i,7118.3+0.46214i,7233.4+0.47759i,7221.2+0.47417i,7167.2+0.47611i,6838.9+0.47586i,6992.3+0.51068i,6963.5+0.49023i,7224.1+0.47916i,7234.6+0.482i,7106.9+0.48412i,7106.4+0.49011i,7059.2+0.49764i,6908.1+0.49939i,7134+0.51476i,7172.6+0.51765i,6914.4+0.50443i,7092.7+0.51391i,7022+0.50865i,7048.1+0.50026i,7279.9+0.5121i,6994.1+0.5028i,7014.9+0.49837i,7039.2+0.51694i,7055.3+0.53141i,7135.5+0.52468i,7011.6+0.51504i,7073+0.51283i,7019.3+0.53301i,7025+0.51228i,6957.4+0.52995i,7141.1+0.52387i,7098+0.53616i,7143.7+0.5203i,7300.1+0.53652i,7001.2+0.53931i,6920.6+0.54633i,6994.2+0.54477i,7454.8+0.52377i,7176.1+0.55546i,6849.4+0.53836i,6977.4+0.54532i,7087.1+0.55306i,6860.4+0.5534i,6965.7+0.55229i,7015.6+0.55776i,7207+0.55251i,7197.7+0.55566i,6910.9+0.5638i,7046.7+0.56622i,7234.6+0.56104i,6896.1+0.5681i,7156.3+0.57348i
14471+0.20015i,14590+0.21539i,14378+0.20911i,15083+0.21587i,14902+0.21428i,14451+0.20818i,14075+0.20998i,14378+0.20775i,14024+0.21092i,14865+0.20986i,14422+0.21029i,14609+0.21585i,14073+0.20386i,14068+0.20261i,13639+0.21151i,14069+0.21352i,13814+0.21256i,13863+0.20781i,14344+0.21041i,13924+0.20813i,14134+0.21795i,13209+0.20797i,14000+0.21309i,14003+0.20599i,13617+0.21006i,13570+0.21386i,13555+0.20728i,14022+0.21183i,13606+0.21528i,14080+0.21271i,13812+0.21254i,13624+0.21697i,13420+0.20542i,13434+0.20611i,13510+0.21495i,13244+0.21487i,13534+0.21112i,13744+0.21534i,13342+0.2115i,13602+0.21427i,13618+0.21219i,13637+0.20749i,13445+0.21207i,13234+0.20948i,13289+0.217i,13260+0.21534i,13813+0.20823i,13524+0.20793i,13532+0.21064i,13446+0.21146i,13208+0.22157i,13718+0.2134i,13434+0.2096i,13352+0.21196i,13127+0.21263i,13158+0.21626i,12826+0.20994i,13146+0.21142i,13448+0.21081i,13402+0.21532i,13237+0.2235i,13130+0.20672i,13342+0.20235i,13507+0.21026i,13138+0.2132i,13264+0.20985i,12522+0.21126i,12920+0.21574i,13195+0.2089i,12372+0.22144i,13296+0.20827i,13189+0.2226i,13215+0.21039i,12669+0.21471i,13022+0.21983i,12983+0.21287i,12847+0.22399i,12923+0.21985i,12590+0.21763i,12751+0.21656i,12707+0.21569i,12570+0.21409i,12551+0.2113i,12600+0.21688i,12861+0.22274i,12625+0.21802i,12623+0.21906i,12381+0.21927i,12362+0.21859i,12434+0.21788i,12006+0.21367i,11967+0.21729i,12160+0.22426i,12737+0.21278i,12399+0.21254i,12300+0.21658i,12314+0.21849i,12378+0.21482i,12275+0.2208i,12202+0.22753i,12075+0.21114i,11528+0.223i,12086+0.21899i,12081+0.22917i,12113+0.22547i,11989+0.22575i,12143+0.22848i,11515+0.22508i,11937+0.22466i,11727+0.2289i,11465+0.22669i,11884+0.22953i,11606+0.22395i,11672+0.22909i,11602+0.22827i,11395+0.23017i,11175+0.23461i,11346+0.22601i,11384+0.22708i,11373+0.23357i,11491+0.23214i,10817+0.22351i,11180+0.22663i,11262+0.23344i,11530+0.22551i,10497+0.23747i,11203+0.23952i,10731+0.23749i,10964+0.24381i,10895+0.23713i,10892+0.23798i,10720+0.23583i,10767+0.23391i,11052+0.24125i,10941+0.24013i,10437+0.23782i,10088+0.24267i,10598+0.24567i,10474+0.23767i,10370+0.24107i,10639+0.24693i,10380+0.25619i,10331+0.24483i,10464+0.23633i,10021+0.25297i,10679+0.25592i,10096+0.24519i,9832.9+0.25357i,9979.3+0.25192i,10391+0.25211i,9961.7+0.25032i,9917.1+0.24826i,9650.1+0.25734i,9899.9+0.25277i,9765.4+0.25123i,9646.7+0.25325i,9588.5+0.26565i,9861.1+0.25586i,9487.6+0.26089i,9764.8+0.25845i,9219.6+0.26205i,9476.5+0.25885i,9241+0.26669i,9364+0.26817i,9276+0.26527i,9221.8+0.26279i,9239+0.26364i,9328.3+0.26528i,9220.3+0.26954i,8860.6+0.26702i,9189.8+0.26977i,9570.6+0.27051i,8989.2+0.26371i,9028.3+0.27254i,8729+0.26786i,8800.1+0.2652i,8869.3+0.27404i,8986.4+0.27294i,9016.8+0.27109i,8747+0.27904i,8852.8+0.2848i,8883.6+0.27384i,8992.6+0.27746i,8778.5+0.279i,8675.1+0.28715i,8625.7+0.29034i,8652.4+0.28801i,8542+0.28015i,8433.5+0.28201i,8481.7+0.29012i,8395.7+0.2839i,8636.6+0.28642i,8265.3+0.28878i,8337.1+0.29194i,8477.2+0.29405i,8547.2+0.2964i,8220.4+0.29991i,8279+0.29914i,7853+0.29137i,8230.7+0.28886i,8450.6+0.30853i,8270.9+0.29209i,8107.2+0.31386i,8146.2+0.31077i,7921+0.31073i,8134.3+0.30274i,8288.9+0.30732i,8029+0.30065i,8092.6+0.31257i,8148.9+0.29621i,7768.6+0.31905i,8075.6+0.30312i,8187.1+0.32062i,7764.7+0.32273i,7901.2+0.31418i,7758.1+0.31902i,7768.2+0.31641i,7908.7+0.32277i,7950.8+0.31517i,7757.1+0.31904i,7705.7+0.31521i,7895.5+0.31721i,7628.2+0.31818i,7580.1+0.33156i,7791.6+0.3179i,8006.7+0.32219i,7645.7+0.31448i,7597.2+0.33325i,7842.9+0.33164i,7773.2+0.33013i,7646.4+0.32453i,7677.2+0.33142i,7547.6+0.33664i,7749.8+0.33378i,8060.4+0.35046i,7811.9+0.33665i,7645.1+0.33553i,7568.6+0.33773i,7661.9+0.324i,7544.3+0.3414i,7601.1+0.33943i,7224.9+0.34718i,7600.4+0.34517i,7406.8+0.3466i,7611.2+0.33886i,7585+0.349i,7704.5+0.33927i,7432.4+0.33659i,7355.8+0.33924i,7312.2+0.3441i,7599.5+0.34637i,7523.2+0.34782i,7613.9+0.34594i,7330.7+0.34912i,7614.9+0.34935i,7367.2+0.35964i,7237.1+0.36008i,7572+0.36584i,7459.9+0.35433i,7360.4+0.36185i,7373.8+0.36818i,7650.7+0.3643i,7428.2+0.36436i,7329.7+0.36294i,7519.5+0.3605i,7391.6+0.35964i,7598.3+0.36929i,7479.1+0.37275i,7430.2+0.37269i,7153.4+0.36874i,7409.3+0.37583i,7878.5+0.37898i,7404.4+0.38272i,7331.6+0.38461i,7466.4+0.38268i,7257.5+0.378i,7101.8+0.38546i,7391.9+0.38803i,7192.2+0.36237i,7504.2+0.38329i,6956.6+0.38503i,7125.9+0.37961i,7186.4+0.39542i,7320.1+0.38677i,7085.6+0.39686i,7134.7+0.37952i,7448.7+0.38858i,7156.4+0.38052i,7105.2+0.38129i,7317+0.38469i,7206.5+0.39584i,7393.3+0.38915i,7305.3+0.39563i,7041.5+0.39569i,7133.1+0.4123i,6942.8+0.38323i,7428.3+0.41341i,7216.6+0.41165i,7395.6+0.39666i,7130.8+0.39996i,7254.9+0.41009i,6927+0.40807i,7245.9+0.40943i,7125.6+0.41462i,7443.9+0.40804i,7316.3+0.40893i,7044.1+0.42547i,7146.4+0.41048i,7284.4+0.41715i,7354.1+0.42425i,7197.6+0.42388i,7223.7+0.42946i,7402.7+0.41314i,7307.3+0.41458i,7063.2+0.43462i,7139.2+0.43806i,7083+0.42295i,7059.7+0.43744i,7062.6+0.43195i,7007.5+0.44419i,7188+0.42819i,7484.8+0.45051i,7027.3+0.43123i,7270.2+0.44899i,7158.3+0.4398i,7203.3+0.44235i,7291.7+0.43912i,7036.9+0.43374i,7376.4+0.43817i,7340+0.44392i,7252.2+0.45829i,7265.9+0.45597i,7345.5+0.44256i,7000.3+0.45576i,6899.9+0.45682i,6905.4+0.4731i,7177.5+0.46608i,7054.5+0.46957i,6861.1+0.47435i,6941.9+0.48526i,6982+0.47072i,7319.6+0.47188i,7110.1+0.4825i,7362.7+0.46612i,7215.6+0.47804i,6994.6+0.4725i,7356.4+0.46911i,7143.5+0.46955i,7431.3+0.47249i,7164.2+0.49311i,7222.3+0.48427i,7210.5+0.48593i,7148.6+0.48241i,7035+0.49485i,7059.4+0.48766i,6904.4+0.49552i,7175+0.46245i,6909.2+0.48998i,7160.7+0.49948i,6912.8+0.49498i,7293.7+0.47631i,6686.4+0.51817i,7231.8+0.48856i,7203.1+0.50068i,7249.5+0.50266i,7209.9+0.50307i,7068+0.51735i,6951.9+0.49653i,7163.2+0.51404i,6892.5+0.49626i,7049.6+0.5182i,7078.1+0.5075i,7081.2+0.53218i,7093.2+0.51742i,7160.3+0.51064i,7008.3+0.52408i,7037.2+0.51647i,7225.8+0.52833i,7149.5+0.54784i,6895.7+0.52497i,6933.6+0.53992i,7184.8+0.54223i,6999.5+0.54019i,7131.1+0.53567i,7195.8+0.54026i,6864.1+0.53651i,7086.7+0.53769i,7160.9+0.5315i,7139+0.55852i,6827.7+0.54755i,7138.6+0.54607i,7094.6+0.55208i,6696.1+0.54811i,7123.3+0.54963i,7355.6+0.565i,7146.2+0.57581i,7181.6+0.57722i,7033.7+0.58107i,6934.2+0.57493i,7335.4+0.54895i,7220.3+0.57814i
