14483+0.20593i,14883+0.20393i,14552+0.2035i,14165+0.21139i,14454+0.2155i,14580+0.20795i,14524+0.20936i,14460+0.20924i,14374+0.21041i,14407+0.20598i,14191+0.20444i,14247+0.20208i,14437+0.20704i,14576+0.21097i,14423+0.21199i,14023+0.21961i,14342+0.21156i,14046+0.21599i,13963+0.21913i,14031+0.21144i,13769+0.20473i,13840+0.20708i,13941+0.21129i,14191+0.20616i,13859+0.21234i,14242+0.20026i,13476+0.21065i,13559+0.21283i,13783+0.20987i,13604+0.20894i,14030+0.21386i,13657+0.20377i,13650+0.20929i,13653+0.20929i,13545+0.20759i,14161+0.21325i,13523+0.21971i,13925+0.20667i,13482+0.21285i,13605+0.20543i,13305+0.20871i,13457+0.20632i,13176+0.2099i,13157+0.20953i,13740+0.21269i,13470+0.21361i,13473+0.20449i,13240+0.20353i,13698+0.21042i,13597+0.20727i,13592+0.20195i,13028+0.21098i,13118+0.21682i,13075+0.21549i,13584+0.21037i,13403+0.20511i,13260+0.21743i,13132+0.21157i,13071+0.20896i,13275+0.21409i,14122+0.20684i,13052+0.22585i,13318+0.2099i,13304+0.21031i,13528+0.2081i,12785+0.21151i,12707+0.21396i,12978+0.21393i,13004+0.21171i,13131+0.21998i,12712+0.20734i,13249+0.21864i,12818+0.21145i,13128+0.21712i,12936+0.21124i,13006+0.2097i,12782+0.21i,12632+0.21552i,12667+0.21171i,12188+0.21494i,13106+0.21343i,12794+0.22014i,12867+0.22053i,12554+0.21092i,12811+0.21958i,12519+0.21554i,12875+0.21986i,12331+0.21529i,12793+0.21579i,12521+0.22503i,12113+0.22037i,12146+0.21988i,12479+0.21616i,12214+0.21738i,12326+0.21425i,12514+0.21112i,12064+0.22942i,12326+0.22164i,12827+0.21988i,12330+0.22022i,11992+0.22318i,11928+0.22328i,11959+0.22703i,11843+0.2191i,12093+0.22273i,11734+0.23383i,11722+0.22213i,11965+0.22521i,11997+0.22603i,11741+0.22039i,11854+0.22826i,11603+0.23021i,11919+0.22348i,11794+0.23963i,11553+0.23104i,11343+0.22674i,11676+0.23141i,11056+0.23381i,11632+0.22423i,11530+0.22707i,11268+0.23114i,11552+0.23434i,10890+0.23256i,10663+0.22331i,10936+0.23491i,10877+0.23534i,10931+0.23695i,11402+0.23278i,11028+0.2443i,10725+0.22773i,10959+0.23652i,10618+0.23158i,10849+0.23906i,10882+0.23866i,10413+0.24418i,10382+0.24002i,10770+0.2478i,10543+0.24513i,10684+0.23864i,10383+0.23667i,10603+0.25345i,10343+0.23725i,10183+0.24887i,10367+0.24322i,10203+0.2498i,10025+0.2537i,9876.7+0.25037i,10232+0.249i,10293+0.25127i,9984.2+0.253i,10020+0.25523i,9721.2+0.25534i,10255+0.25708i,10310+0.24932i,9750.3+0.24761i,9798.9+0.26128i,9658.4+0.25901i,9402.4+0.25843i,9485.8+0.2493i,9354+0.25569i,9718.6+0.25659i,9684.4+0.26407i,9295.1+0.26466i,9641.7+0.25852i,9605.5+0.26147i,9045.5+0.26266i,9276.5+0.27558i,9290.6+0.2621i,8895.9+0.275i,9183.4+0.26669i,9663+0.27096i,8828.3+0.27359i,9484+0.26924i,8855.6+0.26785i,8931.7+0.28293i,8929.7+0.27981i,8932.7+0.28092i,8540.3+0.28335i,8730.9+0.27697i,8904.1+0.2772i,8642.9+0.27353i,8947.9+0.27658i,8993.8+0.28881i,8698.5+0.28154i,8645.6+0.29489i,8733.7+0.28119i,8585+0.28969i,8611.3+0.28946i,8737.5+0.2797i,8599.5+0.28632i,8571.6+0.28156i,8416.4+0.29544i,8496.8+0.29099i,8084.7+0.28831i,8438+0.29001i,8473.9+0.29464i,8288.7+0.2926i,8589+0.29474i,8285.1+0.30089i,8651.5+0.30815i,8227.7+0.3084i,8142.6+0.30814i,8157.6+0.29759i,8093.8+0.3019i,8200.9+0.295i,7983.5+0.31139i,8109.6+0.29558i,8045.8+0.30357i,8071.2+0.31172i,8010.1+0.31922i,8128.3+0.30223i,8183.9+0.31518i,8053.8+0.31954i,8102.4+0.31261i,7829+0.31363i,7714.4+0.30369i,8061.1+0.32402i,7865.8+0.30931i,7898.6+0.30671i,8151.9+0.31814i,7832.4+0.30332i,7936+0.32735i,7990+0.32977i,7465.7+0.33222i,7748.1+0.32862i,7518+0.3286i,7940+0.32147i,7709.5+0.33276i,7758.2+0.32031i,7492.2+0.31908i,7719.4+0.32529i,7710.3+0.33835i,7782.3+0.3249i,7748.1+0.3345i,7833.5+0.34403i,7559.5+0.33683i,7584.1+0.33741i,7564.6+0.33819i,7610.7+0.31669i,7483.3+0.33321i,7448.5+0.3463i,7672.5+0.34156i,7495+0.34207i,7712.1+0.337i,7905+0.34943i,7746.1+0.34921i,7650.3+0.33971i,7729.9+0.35591i,7643.1+0.3555i,7625.9+0.3439i,7539.6+0.3567i,7589+0.34074i,7706.4+0.35641i,7455.7+0.34624i,7807.2+0.35096i,7537.3+0.35801i,7404.1+0.34842i,7607.2+0.34854i,7537+0.3736i,7314.8+0.37129i,7458.5+0.36732i,7176.8+0.36469i,7424.7+0.36026i,7391.4+0.36581i,7213.3+0.36311i,7243.7+0.37093i,7457.1+0.37273i,7339.4+0.37244i,7570.5+0.35593i,7354.7+0.38283i,7278.9+0.3831i,6996.8+0.37382i,7472.8+0.37089i,7285.3+0.37028i,7194.7+0.38649i,7252+0.38744i,7027+0.37697i,7404.5+0.37854i,7263.5+0.37855i,7331+0.38834i,7549+0.39518i,7170.1+0.36803i,7412.8+0.40095i,7324.5+0.3771i,7373.1+0.37441i,7248.2+0.38398i,7296+0.38285i,7380.9+0.37346i,7148.5+0.3969i,7479.2+0.41211i,7110.7+0.39348i,7248.6+0.39647i,7267.4+0.40298i,7171.3+0.40221i,7207.2+0.39794i,7117.5+0.40516i,7130+0.39173i,7204.1+0.41704i,7150.6+0.42073i,7325.6+0.41227i,7154.1+0.41179i,7003.5+0.42451i,7310.1+0.42454i,7497.5+0.42045i,7433.1+0.4237i,7322.2+0.39607i,7036.6+0.41719i,7126.8+0.42192i,7286.1+0.41584i,7079.5+0.41567i,7305.3+0.42153i,7087+0.42931i,6877.1+0.43482i,7185.7+0.42462i,7182.1+0.42032i,7153.2+0.41649i,7169+0.41818i,7402.9+0.43894i,7195.1+0.43649i,7254.7+0.44268i,6873.5+0.43319i,7187.8+0.43985i,7190.5+0.44012i,7302.2+0.42734i,7003.4+0.43494i,7197.4+0.43755i,7001.4+0.4219i,7011.3+0.46433i,7257.6+0.46782i,7129.1+0.44187i,6948.8+0.45305i,7171.3+0.46248i,7111+0.43646i,7274.7+0.4441i,7266+0.44996i,7265.3+0.4531i,7116.8+0.45578i,7319+0.44555i,6873.3+0.45291i,7214.4+0.48038i,7074.2+0.45155i,7147.2+0.45924i,6955.6+0.47098i,7061.1+0.46475i,6788.2+0.48133i,6885.7+0.47519i,7268.1+0.47682i,7343.1+0.47257i,7233.1+0.47596i,7108.7+0.49305i,7294.4+0.5047i,7044+0.48091i,7137.9+0.49151i,7005.7+0.48778i,7032.5+0.47247i,7174.6+0.4595i,7037.8+0.50855i,7070.2+0.48306i,7169.6+0.49248i,7327.4+0.48724i,7037.5+0.49501i,7153.5+0.47981i,7122.4+0.51106i,7288.3+0.50033i,7057.2+0.5005i,7196.2+0.50192i,7173.7+0.50945i,6898+0.51554i,7306+0.51454i,7184.3+0.51422i,7223.8+0.49346i,6933.8+0.52617i,7004.4+0.50964i,6995.7+0.52762i,6983.1+0.50642i,7073.1+0.52616i,7182+0.53733i,7291.9+0.50704i,7132.6+0.53277i,7051.5+0.54137i,7029.1+0.5443i,7105.4+0.54143i,7247.9+0.52875i,7479.1+0.52466i,6929.3+0.54853i,7294.1+0.53809i,7150.8+0.55982i,7004.1+0.54671i,7020.3+0.54679i,7111.9+0.54538i,7078.4+0.56365i,7182.9+0.54808i,6900.1+0.55217i,7128.5+0.5419i,7059.4+0.54971i,7061.4+0.56084i,7153.5+0.58587i,6997.9+0.56289i,7133.7+0.55604i,6940.9+0.57699i,7009.2+0.57618i
14836+0.21282i,14670+0.21298i,13764+0.20179i,14405+0.21937i,14631+0.21484i,14140+0.21851i,14090+0.2094i,13918+0.21812i,14235+0.20735i,14073+0.21142i,14101+0.20993i,14555+0.20871i,14146+0.21424i,14474+0.2152i,14395+0.21406i,14656+0.21037i,14240+0.2162i,13724+0.20408i,14112+0.20907i,13623+0.21041i,13907+0.21202i,14363+0.20045i,13567+0.21141i,13883+0.21012i,14013+0.21196i,13968+0.21357i,13698+0.21058i,14132+0.21016i,14174+0.20285i,13779+0.21526i,14220+0.21315i,14114+0.21415i,13493+0.21579i,13658+0.21607i,13998+0.20966i,13979+0.20499i,13612+0.20774i,13559+0.21733i,13509+0.21103i,13583+0.20603i,13367+0.20956i,13887+0.21632i,13779+0.21052i,13263+0.20999i,13843+0.20849i,13583+0.21407i,13610+0.21211i,13471+0.21559i,13628+0.21421i,13635+0.21418i,13874+0.2132i,13626+0.20705i,13635+0.2073i,13347+0.20631i,12671+0.21228i,13523+0.21784i,13147+0.21075i,13634+0.21865i,13072+0.20827i,13117+0.21072i,12850+0.1998i,12860+0.21395i,12984+0.21595i,12493+0.20932i,12957+0.21144i,13038+0.21863i,12923+0.20779i,13439+0.21402i,12804+0.20994i,13378+0.21915i,12679+0.21481i,13131+0.21477i,12986+0.21681i,12429+0.21773i,12767+0.20885i,12762+0.21658i,12981+0.21783i,12728+0.22213i,12521+0.21271i,13118+0.22244i,12735+0.21548i,12716+0.21347i,12808+0.21451i,12594+0.21018i,12377+0.21618i,12328+0.21767i,12768+0.22279i,12745+0.21063i,12533+0.22502i,12267+0.21049i,12365+0.217i,12513+0.21581i,12598+0.22517i,12028+0.21293i,12842+0.22054i,12563+0.21461i,12434+0.22115i,12173+0.23214i,12377+0.21254i,11718+0.21527i,11978+0.21946i,11976+0.22847i,11928+0.2189i,11783+0.2163i,11829+0.21909i,11505+0.21911i,11784+0.22815i,11677+0.22982i,11874+0.2253i,11420+0.23223i,11410+0.22539i,11468+0.2254i,11495+0.22958i,11640+0.22932i,11903+0.22442i,11210+0.22597i,11199+0.23302i,11261+0.231i,11517+0.23094i,11657+0.22726i,11253+0.22933i,11805+0.22848i,10891+0.23073i,11419+0.22612i,11185+0.21466i,11072+0.23091i,10741+0.23645i,10941+0.23974i,11045+0.23537i,11223+0.23324i,10746+0.23805i,10914+0.23497i,10529+0.24106i,10836+0.23181i,10573+0.23683i,10746+0.23995i,11112+0.24177i,10678+0.24275i,10351+0.24088i,10841+0.23882i,10316+0.23788i,10257+0.24039i,10027+0.2414i,10357+0.24568i,9951.3+0.23975i,10434+0.23823i,9942.7+0.25357i,10170+0.2401i,9947.5+0.24846i,10188+0.24303i,9916.9+0.25283i,10078+0.24403i,9610.8+0.25161i,9735.5+0.25509i,9839.2+0.24754i,9647.3+0.2561i,9392.2+0.24893i,9838.5+0.25414i,9288+0.25502i,9270.6+0.25381i,9349.4+0.25842i,9368.2+0.26393i,9531.8+0.26785i,9636.6+0.2651i,9658.1+0.25835i,9536+0.26645i,9360.4+0.26457i,9330.1+0.27059i,9436.8+0.27099i,9593+0.26055i,8945.5+0.26622i,9153.9+0.27717i,9239.3+0.27603i,9330.5+0.27223i,8817.9+0.27605i,9071.9+0.28063i,9324.9+0.27617i,8991.6+0.2668i,8961.5+0.2773i,8446.3+0.27922i,9167.3+0.28654i,8837.4+0.27799i,8676.6+0.2946i,8564+0.29166i,8881.6+0.28948i,8648.6+0.28555i,8564.9+0.28067i,8490.1+0.29354i,8575.2+0.2844i,8493.2+0.27528i,8436.8+0.28612i,8744.5+0.29093i,8549+0.28849i,8484.8+0.27917i,8496.1+0.29351i,8682.2+0.29207i,8567.1+0.2916i,8400.9+0.30462i,8471+0.29813i,8257.5+0.28668i,8210.1+0.3053i,8328.2+0.29306i,8287.7+0.30922i,7846.2+0.29533i,8141.9+0.29864i,8184.4+0.31175i,8049+0.30591i,7937.3+0.29907i,8076.1+0.32568i,7758.3+0.31128i,7961.4+0.31254i,8140.8+0.30151i,7923.5+0.31584i,7916.3+0.32007i,7972.1+0.30851i,7950.7+0.31567i,7976.8+0.30268i,7932+0.32144i,8002.9+0.30756i,7624.5+0.32135i,7834.5+0.32436i,7789.4+0.32362i,7994+0.32349i,7930.9+0.32854i,7703.4+0.31944i,8058.4+0.32343i,7871.4+0.33143i,7818.5+0.32452i,7860.6+0.32356i,7633.1+0.3273i,7622.8+0.33193i,7416.7+0.32349i,7799.4+0.33489i,7968.8+0.34105i,7960+0.34431i,7713.2+0.33681i,7547.6+0.33536i,7536.8+0.33659i,7721.3+0.34121i,7500.2+0.33467i,7658.7+0.33619i,7738+0.32937i,7488.5+0.33771i,7391.2+0.34131i,7684.4+0.35201i,7609.1+0.35142i,7657.4+0.35207i,7687.4+0.34277i,7471.4+0.37071i,7547.2+0.34434i,7439.5+0.35031i,7413.7+0.34949i,7521.9+0.36128i,7341.4+0.35122i,7658.5+0.35011i,7344.4+0.35286i,7169.8+0.35825i,7494.4+0.35821i,7478+0.36256i,7356.2+0.3635i,7277.3+0.35924i,7318.5+0.3797i,7749.4+0.36163i,7144.7+0.36206i,7506.5+0.37167i,7566.7+0.37651i,7435.6+0.36063i,7528.9+0.36934i,7475.7+0.37415i,7132.7+0.37343i,7386.1+0.37473i,7275.5+0.38004i,7260.8+0.38338i,7255.4+0.37314i,7305+0.36214i,7361.4+0.37995i,7567.6+0.38624i,7220.9+0.36465i,7182.9+0.38198i,7381.6+0.38313i,7433.2+0.38943i,7161.3+0.38706i,7073.9+0.38276i,7326.6+0.38665i,7218.5+0.38233i,7112.3+0.40056i,7321+0.39252i,7448+0.39475i,7327.6+0.41516i,7443.9+0.39518i,7242.7+0.3998i,7623.8+0.4147i,7377.8+0.41508i,7343.9+0.39866i,7320+0.4077i,7385.2+0.4088i,7466.7+0.4056i,7215.5+0.38676i,7172.9+0.39251i,7404.8+0.41063i,7117+0.39969i,7103.6+0.41412i,7137.7+0.41417i,7351+0.40339i,7478.9+0.40836i,7228+0.39968i,7395.6+0.42983i,7221.5+0.41738i,7159.8+0.4212i,7295.6+0.41586i,7056.6+0.42693i,7108.6+0.44264i,6840.6+0.42253i,7330.7+0.42461i,7151.6+0.42965i,7101.7+0.42946i,7121.6+0.44323i,7142.3+0.43713i,7498.7+0.41738i,7411.6+0.43325i,7339.7+0.44623i,7400.6+0.43311i,7086.5+0.44902i,7324.2+0.43694i,6819.8+0.4624i,7197.6+0.44365i,7297+0.44174i,6968.1+0.44607i,7080.4+0.43938i,7093.9+0.44749i,7451.4+0.4476i,7022.3+0.43536i,7110.5+0.46959i,7086.2+0.46742i,7158.4+0.46669i,7246.2+0.4675i,6953+0.44159i,7091.5+0.45296i,7065+0.47514i,6863.1+0.47112i,7070.9+0.47493i,6968.6+0.45184i,7093.7+0.46495i,7161.6+0.47081i,6941.9+0.46285i,7069.4+0.47081i,7380.9+0.47027i,7217.9+0.47211i,6958.5+0.47331i,6881.7+0.48021i,7199.2+0.49377i,7019.6+0.46535i,7207.7+0.48511i,7101+0.50023i,6990.6+0.48135i,7245+0.48763i,7260.9+0.49968i,6789.4+0.48451i,7057+0.49249i,7107+0.5032i,7078.6+0.49334i,7053.2+0.51495i,7139.7+0.49579i,7171+0.5136i,7306.5+0.49554i,7055.2+0.50581i,7052.5+0.49687i,7136.8+0.49572i,7293.7+0.50348i,6939+0.50577i,7266.3+0.52202i,7195.9+0.53001i,7339.3+0.53197i,7047.7+0.51909i,7023.7+0.50291i,6987.5+0.51962i,7134.6+0.51818i,7191.2+0.53358i,7261.2+0.53733i,7337.3+0.53139i,7266.2+0.53486i,7381.1+0.54054i,7236.7+0.53069i,7059.8+0.56414i,7010.2+0.53839i,7081.8+0.54701i,6907.7+0.51497i,7179+0.54198i,7291.8+0.52198i,7202.6+0.55337i,7206.8+0.54552i,6930+0.54454i,7133.7+0.54703i,7091.1+0.57882i,7128.5+0.5853i,7029.7+0.5525i,6979.4+0.56766i,6971.1+0.56098i,7023.7+0.56302i,6947.5+0.55571i,6777.3+0.57954i
14775+0.20719i,14701+0.2073i,14770+0.2059i,14877+0.20702i,14306+0.21412i,14518+0.2048i,14676+0.21131i,14281+0.20519i,14459+0.20765i,14099+0.2074i,14404+0.21202i,14296+0.21508i,13867+0.21221i,13732+0.21324i,14223+0.213i,13778+0.2169i,14014+0.21103i,14432+0.20998i,13749+0.2066i,13750+0.21388i,14038+0.20818i,13668+0.20713i,13902+0.20726i,14201+0.20641i,13418+0.21134i,14265+0.21182i,14436+0.20474i,13409+0.21225i,14211+0.21446i,13961+0.20287i,13898+0.20416i,13870+0.21017i,14007+0.21136i,13713+0.21189i,13909+0.21013i,13070+0.20138i,13643+0.21363i,13417+0.21929i,13262+0.20893i,13749+0.21502i,13248+0.21471i,13544+0.20742i,13764+0.21397i,13232+0.20924i,13825+0.21287i,13980+0.21257i,13621+0.21579i,14060+0.21122i,13728+0.21854i,13239+0.21744i,13623+0.21175i,13140+0.21019i,12827+0.21096i,13392+0.21062i,13267+0.21383i,13329+0.21602i,13382+0.20611i,13201+0.22139i,13874+0.21402i,13122+0.21309i,13114+0.21673i,13399+0.21337i,13454+0.22317i,12958+0.20718i,12874+0.20781i,13262+0.21116i,13194+0.216i,12671+0.21258i,13414+0.21087i,13376+0.21694i,12953+0.21378i,13473+0.21593i,12999+0.20718i,12965+0.21747i,12861+0.21798i,13007+0.21472i,12576+0.21325i,12795+0.21336i,12692+0.22381i,12814+0.21746i,13099+0.2213i,12507+0.22128i,12362+0.21658i,12844+0.22414i,12128+0.22878i,12957+0.22294i,12495+0.22883i,12477+0.22234i,12615+0.22069i,12352+0.21613i,12652+0.21299i,12823+0.21535i,12506+0.21297i,12212+0.21796i,12261+0.22761i,11540+0.22164i,12130+0.21522i,12280+0.22095i,12418+0.2171i,12439+0.2186i,11838+0.22101i,11923+0.2237i,11584+0.223i,12484+0.22574i,11731+0.22i,12244+0.22232i,11287+0.22429i,11549+0.22536i,12048+0.21873i,12249+0.22578i,11431+0.22564i,11862+0.23214i,11181+0.22166i,11713+0.22679i,11664+0.23521i,11591+0.22359i,10922+0.22439i,11463+0.22461i,10999+0.23279i,11060+0.23518i,11449+0.23205i,11328+0.23158i,10648+0.23394i,11429+0.22816i,11136+0.23806i,11200+0.2283i,10887+0.23609i,10935+0.23429i,10964+0.23672i,10622+0.23224i,10738+0.23372i,10620+0.23233i,10886+0.2401i,10742+0.23566i,10765+0.23613i,10359+0.24085i,10906+0.23864i,10321+0.25041i,10489+0.23792i,10719+0.24198i,10442+0.24411i,10557+0.24588i,10367+0.23831i,10511+0.24593i,10338+0.24452i,10325+0.24593i,10063+0.25178i,9926.8+0.25689i,10204+0.25337i,9502.5+0.24841i,9865.3+0.25599i,9963.3+0.25633i,9838.8+0.2511i,9936.8+0.25054i,9390.4+0.24912i,9537.5+0.25859i,9757.1+0.25752i,9469.6+0.26347i,9671.1+0.25696i,9459.1+0.25799i,9342.8+0.26185i,9437.5+0.25921i,9652.9+0.2631i,9626.1+0.26236i,9348.6+0.25825i,9373.2+0.25828i,9435.2+0.26031i,9254.4+0.26429i,9365.2+0.26773i,9124.8+0.26656i,8877+0.27575i,8983.3+0.27326i,9262.4+0.27316i,9089.7+0.27019i,9353.4+0.26652i,8891.2+0.2713i,8947+0.2822i,8678.3+0.2843i,8949.1+0.27086i,9107.5+0.28027i,8775.8+0.2767i,8511.7+0.27668i,8947.5+0.27907i,8725.2+0.27762i,8642.1+0.27404i,8424.7+0.2879i,8503.3+0.28329i,8558.7+0.28705i,8704.4+0.28101i,8417.3+0.28253i,8496.5+0.28531i,8605.5+0.29217i,8403.1+0.28158i,8326+0.29654i,8440.7+0.29237i,8334+0.29898i,8194.6+0.28885i,8338.2+0.30037i,8267+0.30527i,8292.9+0.30085i,8286.3+0.29769i,7966+0.30176i,8262.7+0.30674i,8033.3+0.29577i,8264.3+0.30224i,8250.8+0.29495i,7954+0.29306i,8160.9+0.3009i,7884.1+0.30041i,7986.1+0.31382i,8462.2+0.30064i,8033.1+0.29592i,7965.7+0.31249i,7855.5+0.32002i,8110.1+0.31108i,8035.1+0.31125i,8254.5+0.31096i,7844.9+0.31151i,7935.8+0.32094i,7743.7+0.32774i,7885.8+0.3206i,7560.3+0.31155i,7819.6+0.32102i,7737.1+0.32512i,7645+0.32308i,7846.4+0.32063i,7927.1+0.32742i,7851.5+0.33252i,7785.3+0.31962i,7333.1+0.33206i,7391.7+0.32141i,7497.8+0.32005i,7526.4+0.3286i,7564.1+0.34173i,7529.7+0.34265i,7559.8+0.33946i,7813.8+0.33688i,7517.1+0.33325i,7548.3+0.32989i,7707.2+0.33595i,7549.7+0.31933i,7599.3+0.33635i,7714.5+0.34469i,7571.2+0.34164i,7539.8+0.34961i,7338.3+0.34759i,7625.1+0.35992i,7647.5+0.34014i,7500+0.3418i,7361.6+0.34932i,7678+0.35016i,7442.1+0.34956i,7761.4+0.3485i,7570.4+0.3724i,7290.9+0.37085i,7465.6+0.34607i,7506.7+0.36195i,7496.7+0.35646i,7279.4+0.35943i,7321.7+0.37676i,7417.5+0.36577i,7192.7+0.37581i,7455.5+0.36752i,7604.8+0.35281i,7384.5+0.37285i,7305.2+0.35991i,7189.8+0.36788i,7508.2+0.37626i,7313+0.36892i,7241.7+0.36992i,7421.4+0.38956i,7395+0.38716i,7212.6+0.38023i,7263.9+0.37715i,7410.3+0.38294i,7180.9+0.37649i,7213.1+0.39672i,7525.5+0.37975i,7359.6+0.37658i,7300.2+0.38331i,7414.7+0.38365i,7366+0.38995i,7122.2+0.37559i,7337.9+0.39908i,7310.5+0.3792i,7406.2+0.38851i,7164.9+0.41223i,7235.9+0.40016i,7330.3+0.39092i,7374.3+0.39321i,7431.1+0.39221i,7198.1+0.37735i,7306.3+0.41257i,7306.1+0.39138i,7234.5+0.40522i,7023.9+0.40654i,6977.8+0.41373i,7135.2+0.4103i,7270.9+0.41006i,7383.1+0.41477i,7228+0.40899i,7299.2+0.4167i,7137.4+0.41874i,7416.3+0.42599i,7125.7+0.4273i,7415+0.41762i,7259.3+0.42737i,6997.6+0.41152i,7096+0.4148i,7524.8+0.4208i,7170.6+0.40623i,7176.5+0.41963i,7189.5+0.4232i,6892.3+0.42419i,7038.6+0.41474i,7091.9+0.41652i,7135.4+0.43235i,7088.7+0.4334i,6990+0.42729i,7103.6+0.42994i,6911.1+0.42748i,7291.3+0.43402i,7266.5+0.43258i,7425.8+0.44487i,6811.6+0.44525i,6954.6+0.44246i,7172.4+0.44463i,7080.1+0.43918i,7138.3+0.43018i,7202.1+0.45758i,7121.6+0.44981i,7117.9+0.44391i,6833.1+0.46048i,7117.3+0.44934i,6892.9+0.44822i,7004+0.45418i,7329.1+0.46951i,7190.7+0.46925i,7063.5+0.46866i,7168.6+0.46269i,7155.6+0.4709i,6924.8+0.47i,7164.9+0.4752i,7251.2+0.46943i,7112.2+0.47993i,6916.6+0.47942i,6805.1+0.47964i,7372+0.47331i,7522.9+0.47634i,6927+0.48802i,7094.5+0.47785i,7279+0.48626i,7111.4+0.48036i,6877.3+0.49698i,7216.6+0.4856i,7118+0.48911i,7394.4+0.50419i,6980.5+0.50062i,7280.5+0.49623i,7222.4+0.48583i,7282.9+0.49311i,7131.3+0.50599i,6961.7+0.51652i,7393.7+0.50723i,7511.2+0.48696i,7047.2+0.51394i,7035.5+0.48554i,7116+0.49699i,7182.6+0.50614i,6949.9+0.51038i,7158.2+0.51561i,7239.9+0.51501i,7007.8+0.52837i,7196+0.50878i,6917.3+0.52607i,7170.2+0.51743i,7100.2+0.5237i,7184.3+0.53074i,7199.5+0.53046i,7279.5+0.52965i,7274.1+0.54138i,7063.7+0.53428i,6960.5+0.53471i,7392.4+0.53065i,7057+0.55461i,7135.4+0.56008i,7102.5+0.54896i,7260.7+0.5513i,7164.9+0.52913i,7060.2+0.5634i,6837.6+0.56478i,7079.5+0.54239i,6907.6+0.54306i,7031.1+0.55626i,7200.8+0.57299i,7046.4+0.54738i,7111.6+0.58042i,7184.9+0.57827i,7183.6+0.55604i,7060.7+0.57258i,7210+0.57205i
