14640+0.211i,14661+0.20491i,14746+0.20825i,14267+0.21253i,15026+0.20552i,14345+0.20664i,14475+0.21864i,14550+0.21177i,14600+0.21379i,14147+0.20835i,14103+0.21333i,14036+0.20871i,14128+0.20873i,14168+0.21633i,13933+0.2097i,14110+0.20956i,14288+0.20786i,13967+0.21083i,14458+0.20965i,14205+0.21314i,14104+0.20543i,13708+0.21112i,14032+0.20984i,13877+0.21561i,13645+0.20976i,14060+0.21204i,13798+0.20687i,14283+0.20724i,14006+0.21967i,14493+0.21001i,13782+0.21176i,13935+0.20699i,13767+0.2138i,13556+0.21094i,13629+0.21852i,13830+0.21382i,13580+0.20571i,13173+0.20979i,13651+0.20826i,13394+0.2049i,13825+0.21307i,13619+0.2117i,13521+0.21263i,13240+0.21211i,13512+0.20709i,13682+0.21553i,12935+0.20719i,13559+0.20754i,13536+0.20693i,13420+0.20978i,13297+0.20895i,13379+0.21207i,13629+0.2139i,13505+0.21772i,13367+0.2154i,12891+0.20493i,13102+0.21193i,13185+0.21565i,13119+0.209i,13335+0.21298i,13606+0.21071i,12956+0.21528i,13180+0.21206i,13289+0.21774i,12970+0.21043i,12974+0.22094i,12959+0.21915i,13065+0.21188i,13055+0.20676i,13341+0.21828i,13095+0.21301i,12593+0.21208i,13192+0.21926i,13057+0.22579i,12678+0.20974i,13041+0.21562i,12573+0.21721i,12989+0.21791i,12268+0.22259i,12393+0.22372i,12468+0.21796i,12541+0.21427i,12024+0.21194i,12387+0.22237i,12738+0.22101i,12327+0.22411i,12812+0.22509i,12112+0.21703i,11907+0.22269i,12060+0.21878i,12396+0.22491i,12307+0.2218i,12099+0.21908i,12064+0.22209i,11453+0.21738i,12198+0.21387i,12192+0.22263i,12277+0.22001i,11931+0.22136i,11782+0.21726i,11947+0.22381i,11456+0.22933i,12212+0.23157i,11701+0.22852i,11848+0.222i,11908+0.23524i,11925+0.21985i,11868+0.22091i,11746+0.22517i,11681+0.22288i,11587+0.2297i,11035+0.22742i,11533+0.2189i,11391+0.23384i,11368+0.22303i,11478+0.22598i,11038+0.23641i,11365+0.22884i,10846+0.22804i,11238+0.22317i,11091+0.23535i,10830+0.23024i,10876+0.23168i,11126+0.22603i,10931+0.23824i,11055+0.24271i,10874+0.23132i,10773+0.24146i,10924+0.23137i,10781+0.23184i,10743+0.23658i,10738+0.23334i,10562+0.24033i,10550+0.24361i,10273+0.24182i,10487+0.2503i,10568+0.25043i,10430+0.2486i,10508+0.24028i,10178+0.24303i,10320+0.24704i,10400+0.24132i,10196+0.24671i,9955.6+0.25162i,10090+0.24047i,9664.3+0.24061i,9549.8+0.24442i,10274+0.25863i,10180+0.25123i,9868.6+0.24737i,9544.8+0.25008i,9534.7+0.25767i,9767.6+0.25477i,9841.1+0.24945i,9529.6+0.25248i,9989.4+0.25727i,9452.4+0.25478i,9378.1+0.24596i,9778.7+0.25442i,9570.4+0.26039i,9510+0.25412i,9077.5+0.25265i,9427.2+0.2561i,9516+0.25877i,9318.8+0.26107i,9140.4+0.26956i,9247.1+0.26305i,9116.5+0.26561i,8843.8+0.25829i,8812.4+0.27278i,9134.6+0.26635i,9345.8+0.26182i,9070.8+0.27023i,9091+0.27092i,8877.6+0.26945i,8734.2+0.26725i,8750.9+0.27557i,8794.6+0.26952i,8555.8+0.26534i,8848.1+0.27639i,8684.7+0.27445i,8759.1+0.27725i,8428.1+0.28473i,8170.9+0.28266i,8554.6+0.28049i,8588.6+0.27681i,8770.6+0.27916i,8410.3+0.27716i,8304.3+0.28065i,8458.3+0.27886i,8175.3+0.28213i,8347.8+0.28482i,8484.6+0.29185i,8364.5+0.28769i,8119.9+0.29184i,8246.8+0.29211i,8323+0.29242i,8397.6+0.29168i,8247+0.29342i,8458.4+0.28368i,7833.2+0.2968i,8279.2+0.29585i,7980.9+0.30046i,7747.8+0.29211i,8266.6+0.29218i,8183.8+0.29404i,8253.7+0.30077i,7837.7+0.30472i,7479.4+0.2971i,8065.6+0.3085i,7994.5+0.30682i,7800.8+0.31359i,7946+0.30702i,8034.5+0.30937i,7932.6+0.31354i,7604.1+0.30367i,8026.7+0.30694i,7825.7+0.31508i,8060.2+0.31873i,8006.3+0.29986i,7741.9+0.30994i,7780.8+0.31479i,7601+0.31802i,7672.4+0.3197i,7849.5+0.3182i,7667+0.30784i,7750.4+0.32321i,7718.7+0.31995i,7763.8+0.31819i,7747.2+0.31958i,7500.9+0.31096i,7352.8+0.32632i,7485.7+0.32571i,7774.8+0.31061i,8032.9+0.32068i,7585.2+0.32884i,7596.5+0.33i,7527.5+0.32488i,7710.5+0.32206i,7444.1+0.3196i,7451.7+0.33679i,7479.8+0.32864i,7471.3+0.33598i,7518.5+0.33671i,7455.7+0.33754i,7500.7+0.33283i,7549.8+0.32988i,7260.1+0.33799i,7542.9+0.35203i,7504+0.33774i,7313.8+0.35464i,7531.7+0.3393i,7640.3+0.34894i,7416.7+0.35669i,7264.5+0.34141i,7410.9+0.34166i,7132.8+0.34902i,7443.5+0.34372i,7382.3+0.3552i,7102.8+0.35033i,7267.9+0.35963i,7183.8+0.35469i,7349.8+0.35639i,7406.2+0.34696i,7615.6+0.35711i,7394.6+0.3712i,7211.9+0.36062i,7347.6+0.36239i,7518.9+0.36606i,7217.4+0.36886i,7305+0.34998i,7423.2+0.36316i,7264.8+0.35917i,7506.6+0.36313i,7194+0.3641i,7271.6+0.3668i,7382.6+0.3707i,7338.6+0.37425i,7310.6+0.38106i,7369.3+0.37272i,7279.3+0.36249i,7049.7+0.37313i,7165.8+0.39054i,7463+0.37175i,7374.7+0.36406i,7490.6+0.37066i,7379.1+0.36197i,6987.7+0.38088i,7330.6+0.37397i,7249.6+0.37854i,7506+0.36743i,7441.3+0.38301i,7416.9+0.37224i,7264.1+0.39504i,7117.2+0.3932i,7059.9+0.39287i,7051.3+0.39787i,7186.8+0.39374i,7336.9+0.38795i,7315.1+0.38828i,7416.1+0.3909i,6972.8+0.38241i,7300.3+0.41622i,7370.2+0.40161i,7169.1+0.40036i,7298.4+0.38433i,7030.8+0.40666i,7313.8+0.40147i,7247.1+0.40454i,7354.8+0.41466i,7080.5+0.40081i,7345.2+0.39227i,7121+0.39426i,7033.5+0.4156i,7050+0.4388i,7236.5+0.41163i,6970.6+0.41164i,7273.8+0.43585i,7223.7+0.42581i,7121.2+0.42621i,6965+0.41543i,6966.5+0.40793i,7282.3+0.42839i,7225.9+0.41458i,7145.2+0.43896i,6809.5+0.42708i,7217.5+0.43301i,7092+0.42804i,7288.4+0.41867i,7165.6+0.43531i,7212.6+0.42431i,7070.4+0.43586i,7157.6+0.43329i,7429.1+0.42532i,7150.4+0.43947i,7107.1+0.4505i,7071.4+0.42805i,6899.5+0.43156i,7183.8+0.43982i,7229.9+0.44748i,6990.8+0.44941i,7016.1+0.45579i,7274.4+0.45983i,6978+0.45299i,7338.8+0.45509i,6837.7+0.45224i,7357.9+0.46406i,6922.7+0.45982i,6952.7+0.46733i,7189+0.45751i,7019.7+0.45126i,6863.6+0.45009i,7034.4+0.46316i,7322.9+0.45784i,7253.7+0.46352i,7043.8+0.46187i,6963.6+0.47766i,7168.4+0.47122i,7007.5+0.48008i,6920.2+0.47939i,7069.9+0.48216i,7055+0.47746i,7316.3+0.49242i,7431.9+0.4929i,6986.4+0.48711i,7225+0.49041i,7159.4+0.47868i,7078+0.49031i,6968.8+0.48562i,6936+0.48612i,7148.4+0.481i,6949.5+0.49195i,7174.4+0.50131i,7313.2+0.51516i,7215.1+0.50102i,7171.8+0.51267i,6956.2+0.49297i,7145+0.50305i,7073.5+0.48942i,6954+0.50945i,7096.9+0.51243i,7101+0.50937i,7143.7+0.51562i,7140.4+0.50043i,7015.4+0.53252i,7081.5+0.51955i,6908.6+0.52969i,7185.1+0.53091i,7062.9+0.53305i,7216.6+0.55002i,7201.1+0.51028i,7272.8+0.52009i,7027.6+0.54906i,7054.8+0.53094i,7323.2+0.55029i,6820.1+0.5436i,7086.1+0.54676i,7068.5+0.56516i,7101.7+0.54458i,7069.8+0.55715i,6591.8+0.56042i
14176+0.21039i,14216+0.22157i,14440+0.21117i,15407+0.20894i,14843+0.20833i,14318+0.21594i,14324+0.20862i,14645+0.20478i,14110+0.21234i,14760+0.19956i,14421+0.21027i,14243+0.20972i,14199+0.20883i,14561+0.21378i,14082+0.21439i,14108+0.21963i,14851+0.21122i,14518+0.20749i,14182+0.20839i,13715+0.21187i,14053+0.20646i,13945+0.21658i,13499+0.21524i,13612+0.21459i,14328+0.21386i,13914+0.21741i,13686+0.21952i,14352+0.215i,13681+0.2168i,13823+0.21165i,13528+0.21499i,13643+0.21828i,14071+0.21372i,13817+0.21024i,13838+0.2163i,13183+0.21335i,13557+0.21478i,13607+0.20553i,13407+0.21446i,13465+0.2061i,14085+0.2115i,13220+0.20893i,13618+0.20258i,13289+0.21125i,13676+0.21316i,13701+0.21593i,13496+0.21213i,13577+0.20415i,13369+0.20826i,12953+0.21731i,13661+0.21926i,13634+0.21173i,13008+0.20693i,13425+0.21562i,12790+0.21165i,13297+0.2125i,13165+0.21628i,13465+0.22137i,13476+0.2166i,13272+0.21354i,12798+0.21876i,13374+0.21131i,13125+0.2074i,12828+0.21123i,12790+0.20479i,13062+0.21305i,13100+0.21326i,13476+0.2152i,12755+0.21816i,12818+0.22422i,12824+0.21131i,12955+0.20922i,13019+0.21402i,12447+0.2157i,12584+0.21606i,12796+0.21502i,12709+0.21114i,12817+0.21172i,12868+0.21829i,12610+0.2168i,12416+0.20898i,12733+0.21558i,12476+0.20854i,12305+0.21786i,12806+0.22295i,12289+0.21476i,12237+0.22177i,12239+0.21819i,12103+0.21419i,11804+0.21825i,12438+0.2209i,12507+0.21957i,12177+0.21541i,12257+0.22721i,12390+0.21728i,12512+0.22467i,12150+0.22471i,11906+0.21852i,11932+0.21616i,12066+0.22056i,11612+0.21554i,12205+0.21509i,11762+0.22152i,11875+0.22203i,11812+0.22769i,11816+0.22378i,11658+0.22886i,11366+0.23081i,11787+0.22708i,11856+0.2293i,11701+0.22664i,11475+0.22371i,11365+0.2245i,11369+0.22205i,11128+0.2219i,11155+0.23267i,11078+0.2302i,11202+0.23408i,11491+0.22525i,11107+0.22602i,11197+0.23154i,11302+0.23356i,10973+0.23646i,11023+0.22906i,11174+0.2369i,10429+0.22751i,10642+0.22758i,10486+0.23014i,10956+0.23065i,10909+0.23383i,10603+0.24151i,10446+0.232i,10741+0.23121i,10399+0.2485i,10512+0.24077i,10666+0.24256i,10491+0.23459i,10595+0.24686i,10243+0.2459i,10364+0.24534i,10392+0.23962i,10076+0.23959i,10003+0.2437i,10110+0.24087i,10478+0.24896i,10210+0.24402i,10038+0.2525i,9945.9+0.24324i,9713.7+0.2474i,9805.1+0.24657i,9578.1+0.25329i,9991+0.24917i,9354.8+0.25552i,9739.1+0.25606i,9373.5+0.24775i,9918.4+0.25854i,10032+0.255i,9491.8+0.26054i,9346.6+0.26485i,9514.7+0.25551i,9251.2+0.25173i,9463.8+0.25414i,9283.1+0.26704i,9206.8+0.26377i,9176.3+0.26535i,9332+0.26173i,9156.9+0.2618i,9199.5+0.2717i,9171.3+0.27202i,9221.8+0.26283i,9289+0.26073i,8716.9+0.26107i,8955.2+0.26614i,8795.8+0.26722i,8719.7+0.26314i,8604.5+0.27147i,8648.5+0.26435i,8615.2+0.27691i,8880.2+0.27053i,8693.1+0.28025i,8958.9+0.27768i,8573.6+0.28188i,8675.6+0.27775i,8432.2+0.27782i,8779.9+0.27782i,8507.9+0.27506i,8763.2+0.27602i,8462.8+0.28528i,8704.3+0.28369i,8246.4+0.27955i,8477.3+0.27361i,8560.2+0.28358i,8293.5+0.2839i,8044.6+0.29062i,8031.9+0.29182i,8263.5+0.28536i,8307.2+0.29509i,7836.5+0.29494i,8374.4+0.29193i,7886.5+0.29529i,8137.7+0.28855i,8199.4+0.29028i,8102.1+0.29654i,7936.4+0.29989i,8087.2+0.29396i,8218.1+0.31115i,8364.2+0.29444i,8154.2+0.30001i,7700.9+0.29878i,7780.6+0.3124i,7899.9+0.30624i,7908.2+0.30339i,8009.7+0.30345i,7877.9+0.31113i,8012.6+0.30339i,8190.4+0.30832i,7775.3+0.30915i,8037.9+0.2936i,7770.5+0.30439i,7715.2+0.3187i,7788.8+0.30811i,7659.3+0.30653i,7596.4+0.30023i,7813.6+0.31335i,7658+0.31911i,7685.7+0.32322i,7686.5+0.32214i,7698.4+0.32183i,7694+0.30945i,7648.5+0.31371i,7798.8+0.32776i,7521+0.31682i,7524.3+0.32022i,7522.8+0.32648i,7357.6+0.32998i,7434.1+0.32512i,7749.9+0.34365i,7637.4+0.31444i,7631.9+0.33387i,7443.7+0.33073i,7399.4+0.32736i,7177.3+0.3347i,7321.7+0.33862i,7680.7+0.33714i,7715.5+0.3366i,7804.6+0.34371i,7528.3+0.33393i,7605.1+0.3455i,7457.7+0.33773i,7544.6+0.34327i,7385.3+0.34583i,7493.8+0.33368i,7312+0.34184i,7507.4+0.34559i,7573.3+0.34451i,7616.9+0.33986i,7476.3+0.36022i,7229+0.35267i,7390.3+0.34431i,7495+0.35234i,7385.5+0.34954i,7497.2+0.35609i,7523.3+0.35148i,7510.4+0.3654i,7314.9+0.35858i,7438.5+0.3568i,7680.8+0.34929i,7153.4+0.35276i,7240.8+0.35743i,7469.9+0.35693i,7278.8+0.35993i,7331.2+0.36569i,7324.2+0.36537i,7476.4+0.36904i,7234+0.36626i,7409.2+0.36393i,7320.7+0.3724i,7323.1+0.36988i,7350.8+0.3756i,7346.2+0.37003i,7459.1+0.38324i,7325.8+0.37319i,7412.2+0.36116i,7356.1+0.38558i,7224.7+0.37317i,7292.3+0.38088i,6994.4+0.37983i,7236.3+0.38139i,7218.5+0.38798i,7207.4+0.38937i,7236.6+0.38996i,7109.6+0.38382i,7219.2+0.38498i,7434.4+0.38335i,6982.7+0.39106i,7433.2+0.38987i,7340.7+0.38954i,7133.2+0.39479i,7121.3+0.38873i,7058.6+0.39833i,7135+0.38945i,7149.2+0.40056i,7100.3+0.40565i,7139.4+0.40917i,7295.5+0.40551i,7484.7+0.4009i,7064.3+0.40705i,7343.7+0.39585i,7022.2+0.40162i,7170.3+0.41725i,7105.2+0.41593i,7027.8+0.40166i,7009.5+0.4079i,7197+0.41116i,6852+0.41422i,7315.2+0.4201i,7250.3+0.4251i,7192.4+0.4181i,7191.3+0.43039i,7339.7+0.42677i,7306.1+0.43152i,7124.7+0.4192i,7331.5+0.4154i,7249.4+0.41166i,7172.6+0.4271i,6977.6+0.43169i,6986.3+0.42211i,7102.9+0.438i,7049.4+0.44482i,7005.9+0.43932i,7188.9+0.43298i,7122.3+0.43002i,7292.9+0.43435i,7146.3+0.44854i,7099.8+0.43487i,7215.5+0.44254i,7084.2+0.4415i,7157.9+0.43381i,7354.2+0.45393i,7142+0.44707i,7070.1+0.43087i,7040.3+0.4494i,7157+0.4417i,7194.7+0.45894i,7313.9+0.45391i,7071.1+0.45125i,7057.5+0.45091i,7016.1+0.4523i,7173.7+0.45144i,7009+0.4526i,7271.2+0.45142i,7208.1+0.46784i,7112.8+0.47517i,7186.3+0.46436i,7127.3+0.4733i,6850+0.47097i,7124.5+0.47534i,7177.2+0.46659i,6777.8+0.47324i,7161.9+0.45466i,7142.1+0.47828i,7398.9+0.47499i,7204.1+0.48054i,6927.4+0.47724i,7389.6+0.48542i,7242.3+0.49184i,6995.2+0.48844i,7062.3+0.49642i,7090.2+0.50059i,6697+0.4969i,7233+0.4924i,6925.9+0.51407i,6936.7+0.5105i,7325.7+0.48534i,7041.2+0.51358i,7445.3+0.50299i,7364.5+0.50636i,7343.8+0.48507i,7226.2+0.51029i,7191.2+0.50654i,7044.3+0.52306i,7029.8+0.51554i,7014.5+0.53525i,7229.5+0.51906i,6989+0.49364i,7141.6+0.53187i,7130.9+0.52688i,7021.7+0.51346i,7183.4+0.54408i,6833.5+0.54945i,7081+0.52055i,7372.5+0.54335i,7056.5+0.5256i,6823.4+0.52823i,6779.8+0.53558i,7208.3+0.54374i,7063.9+0.54768i,7267.6+0.53144i,6904.4+0.5441i,7273.9+0.53559i,7179.7+0.56001i
15038+0.21487i,14546+0.20876i,14934+0.21365i,14033+0.20971i,14414+0.20838i,14318+0.20676i,14764+0.20998i,14599+0.20993i,14499+0.21142i,14904+0.21118i,14650+0.20833i,14487+0.21484i,14433+0.20352i,14114+0.21252i,14131+0.2124i,14039+0.21104i,14508+0.21285i,13919+0.21575i,14685+0.20912i,13823+0.20605i,13978+0.20778i,13975+0.21274i,14260+0.21945i,13805+0.21255i,13776+0.20353i,14266+0.20946i,14001+0.21413i,13616+0.21128i,14015+0.21601i,13643+0.22205i,13890+0.21364i,13428+0.2139i,13859+0.21665i,13859+0.21286i,13574+0.21123i,13469+0.19806i,13962+0.20499i,13745+0.2132i,13162+0.2099i,13823+0.21059i,13353+0.2083i,13674+0.21317i,13504+0.21385i,13455+0.21442i,13580+0.21792i,13185+0.21658i,13167+0.21051i,14155+0.20839i,13623+0.21466i,13233+0.20744i,13397+0.21431i,13358+0.21154i,12601+0.21158i,13977+0.21273i,13241+0.21472i,13653+0.21204i,13619+0.21665i,13271+0.21314i,13487+0.2076i,12857+0.21295i,13205+0.21616i,13173+0.21511i,13555+0.20855i,12911+0.21398i,13140+0.21951i,12850+0.21703i,13057+0.20795i,12828+0.21507i,12971+0.21443i,12911+0.21317i,12837+0.22159i,12884+0.21782i,12644+0.21691i,12487+0.21395i,12868+0.21071i,12733+0.21541i,12759+0.21358i,12631+0.21528i,12567+0.21018i,12571+0.21145i,12349+0.21602i,12536+0.21813i,12871+0.21316i,13326+0.21606i,12368+0.20969i,12843+0.22282i,12808+0.21501i,12688+0.2148i,12514+0.2188i,12386+0.22182i,12332+0.22091i,12263+0.22028i,12272+0.21218i,11433+0.22444i,11522+0.23179i,12138+0.22514i,11850+0.21294i,12079+0.22424i,11852+0.22033i,11817+0.22257i,12302+0.22245i,11881+0.22433i,11688+0.21999i,11903+0.22529i,11632+0.22299i,11710+0.21851i,11769+0.22343i,11358+0.23194i,11719+0.22577i,11257+0.22358i,11924+0.21904i,11834+0.23177i,11220+0.22247i,11226+0.22115i,10881+0.22501i,11267+0.23034i,11623+0.22375i,11578+0.23611i,11010+0.22658i,10978+0.23357i,10811+0.23754i,10698+0.23133i,10827+0.23075i,10983+0.23201i,10741+0.23675i,10992+0.23896i,11216+0.2268i,10769+0.22955i,10776+0.23341i,10523+0.23969i,10816+0.23471i,10415+0.2365i,10565+0.24299i,10500+0.23682i,10160+0.24116i,10572+0.23462i,10271+0.23622i,10512+0.23953i,10339+0.24179i,10584+0.24028i,9806.8+0.25375i,9908.4+0.25005i,10326+0.24373i,10248+0.23836i,10055+0.24371i,10318+0.24075i,10328+0.25047i,10112+0.24928i,9869+0.2546i,9708.4+0.24677i,9512.1+0.25247i,9541.7+0.25512i,9869.5+0.25149i,9856.6+0.24961i,9452.6+0.24711i,9622.5+0.25457i,9816+0.25671i,9399+0.25269i,9736.5+0.25698i,9582.6+0.25986i,9304.3+0.2612i,9456.6+0.25354i,9245.3+0.25931i,9238.3+0.2489i,9315.6+0.2636i,9022+0.26271i,9260.9+0.27178i,9259.4+0.26409i,8899.3+0.25376i,8661+0.25313i,8697.3+0.27413i,8935.5+0.26609i,9350.7+0.27225i,8872.8+0.26457i,8758.3+0.27224i,8958.1+0.27409i,8981.7+0.27061i,9097.8+0.27059i,8763.4+0.27203i,8756.6+0.27319i,8733.2+0.27586i,8950+0.27249i,8233.5+0.27672i,8594.2+0.28154i,8704+0.27395i,8905.7+0.28627i,8399.6+0.27817i,8411.5+0.28814i,8207.8+0.28141i,8414+0.27615i,8487.3+0.29314i,8476.2+0.2872i,8637.9+0.28186i,8408+0.29699i,8385.2+0.29487i,8142.6+0.2858i,8265.7+0.28567i,8192.5+0.29713i,8444.1+0.29083i,8117.5+0.29748i,8370.9+0.29649i,8031.8+0.29995i,8020.8+0.3016i,8345.6+0.29427i,8045.5+0.29833i,8247.4+0.29331i,8413.9+0.29736i,7824+0.29759i,8176.9+0.29297i,7740+0.30435i,7905.1+0.30118i,8198.9+0.29861i,8051.5+0.31157i,7888.9+0.30002i,7872.4+0.31342i,7610.5+0.30385i,7856.9+0.3134i,7829.7+0.3076i,7792.6+0.31464i,7782.8+0.31622i,7541.9+0.30941i,7522.1+0.30596i,7665.7+0.30772i,7787.1+0.30715i,7722.1+0.31716i,7461.5+0.30243i,7801.2+0.31382i,7515.6+0.31073i,7303.7+0.32501i,7694.4+0.31793i,7684.5+0.32297i,7737.4+0.32401i,7383.2+0.31136i,7688.3+0.32993i,7508.9+0.32635i,7646.2+0.33038i,7782.6+0.33994i,7579.8+0.33138i,7569.1+0.33459i,7284.4+0.33174i,7369.3+0.33558i,7714.1+0.3292i,7400+0.33444i,7564.6+0.34935i,7656+0.34379i,7274.3+0.33404i,7196.2+0.34023i,7622.9+0.34704i,7278.4+0.34306i,7234.2+0.3481i,7381+0.35222i,7526.3+0.3417i,7666.8+0.3393i,7391.7+0.34934i,7380.8+0.33538i,7339.1+0.33939i,7573.7+0.35132i,7642.8+0.36323i,7434.4+0.34915i,7319+0.34726i,7460.2+0.35306i,7276.7+0.35165i,7357.3+0.36336i,7262.8+0.36111i,7412.6+0.34216i,7428.1+0.34869i,7171.1+0.36133i,7428.3+0.3578i,7068.9+0.35807i,7356+0.36158i,7316.6+0.36657i,7280.1+0.36344i,7522.7+0.36475i,7363+0.36614i,7090.9+0.3666i,7583.6+0.36187i,7451.7+0.36472i,7320.9+0.37871i,7192.8+0.35515i,7223.1+0.38161i,7111.3+0.36992i,7083.5+0.37791i,7280.7+0.37046i,7229.4+0.36644i,7326.1+0.37873i,7439.7+0.38283i,7164.3+0.37543i,7234.6+0.37273i,7133.3+0.38021i,7298.9+0.38494i,7156.6+0.39025i,7165.7+0.39046i,7273.4+0.38497i,7365+0.38526i,7391.4+0.39096i,7099.6+0.38775i,6946.2+0.39326i,7230.7+0.39779i,7091.5+0.39042i,6950.3+0.39522i,7444.1+0.38192i,7168.5+0.39601i,7052.7+0.40503i,7057+0.41095i,7093.9+0.3964i,6860.3+0.40867i,7355.4+0.40213i,7135.1+0.40688i,7224.2+0.39743i,7249.8+0.39584i,7167.6+0.42111i,7249.4+0.41843i,7100.5+0.40736i,7290.2+0.41386i,7153.9+0.40672i,6929.3+0.41972i,7232.2+0.43784i,7129.7+0.42557i,7513.4+0.418i,7077+0.39938i,6905.3+0.43007i,7072.1+0.41181i,7215+0.42466i,7233+0.42247i,7022.4+0.42598i,7247.5+0.42189i,7022+0.42281i,7247.5+0.41608i,7188.4+0.42771i,6949.1+0.4329i,7251.7+0.43625i,7398.2+0.44106i,7128.8+0.44223i,6974.4+0.42616i,7039.3+0.4502i,7428.3+0.45013i,7189.1+0.43885i,7127.8+0.44549i,7287.1+0.44548i,7149.1+0.45677i,7223.6+0.46208i,7235.7+0.44409i,7082.4+0.44585i,6924.6+0.46214i,7136.4+0.4682i,6984.4+0.46199i,7024+0.47431i,6967.8+0.46108i,7299.8+0.45384i,7079.3+0.46183i,7115.8+0.47213i,7056.8+0.45487i,7134.5+0.47666i,6944+0.46148i,7327.8+0.45369i,7179.4+0.48741i,7061.8+0.48946i,7127.8+0.47648i,7130.5+0.47103i,7242.7+0.47494i,7310.3+0.47695i,7175+0.46897i,7068.4+0.48356i,7243.1+0.48442i,7048.7+0.47478i,6921.3+0.47376i,7081.3+0.48611i,7063.1+0.48384i,7073.8+0.48854i,7255+0.52381i,6875.5+0.51317i,7059.6+0.48924i,6958.8+0.50434i,7126.3+0.50073i,7270.2+0.50247i,7137.4+0.50521i,6931.3+0.50668i,6892.7+0.50785i,7174.3+0.50437i,7096.9+0.51147i,7226.2+0.51022i,7003.9+0.51526i,6973.2+0.50378i,7166.5+0.52469i,7346.5+0.50328i,6890+0.53201i,7200.1+0.53017i,7137.4+0.52397i,6918.2+0.54316i,6736+0.53521i,7261.7+0.54611i,7083.3+0.53779i,7228.6+0.53649i,7223.9+0.5227i,6985.6+0.55846i,7211.5+0.54586i,7092+0.52359i,7225.4+0.53756i,6865.7+0.55555i,6952.1+0.55243i,7127.3+0.54501i
