14733+0.20179i,14691+0.21332i,14656+0.21391i,14433+0.20941i,14923+0.20877i,14403+0.20595i,14433+0.20701i,14842+0.21117i,14362+0.20378i,14533+0.21454i,14338+0.21205i,13915+0.21345i,13990+0.21698i,14706+0.21042i,13970+0.21007i,14444+0.20726i,13921+0.21166i,14285+0.21083i,13532+0.20175i,13937+0.20839i,13877+0.20691i,13679+0.20971i,14302+0.21122i,13955+0.20615i,13691+0.20024i,14087+0.20791i,13867+0.21398i,13714+0.20532i,14044+0.20976i,13849+0.21107i,13727+0.20444i,13830+0.20279i,14210+0.21555i,13431+0.20708i,13855+0.21359i,13735+0.20572i,13754+0.21184i,13747+0.21333i,13649+0.20346i,13650+0.20833i,14010+0.20094i,13507+0.21253i,12882+0.20926i,13625+0.20834i,13608+0.2113i,14081+0.20554i,13638+0.20612i,13796+0.20704i,13590+0.20757i,13715+0.21072i,13762+0.20943i,13047+0.21116i,13492+0.20698i,12461+0.2129i,13549+0.21497i,13431+0.21201i,13529+0.20265i,12809+0.20676i,12826+0.21309i,13418+0.20494i,13395+0.22331i,13313+0.20965i,13376+0.21599i,13328+0.22508i,13607+0.20637i,13312+0.22088i,12822+0.21176i,13304+0.21611i,13398+0.2217i,12893+0.21541i,12872+0.21588i,13474+0.2202i,13144+0.21082i,12783+0.21296i,13194+0.21488i,13056+0.21267i,12581+0.22092i,12538+0.21737i,12809+0.22069i,12671+0.22186i,12228+0.2124i,12577+0.21225i,12397+0.21689i,12836+0.22156i,12118+0.21874i,12870+0.22298i,12534+0.21729i,12779+0.22407i,11934+0.22289i,12705+0.21963i,12242+0.23053i,12324+0.22518i,12938+0.21776i,12822+0.22755i,12246+0.22474i,11883+0.22399i,12196+0.21601i,12075+0.22549i,12043+0.21713i,12010+0.22439i,11785+0.2229i,12035+0.22015i,11527+0.22157i,11811+0.21491i,11942+0.21124i,12095+0.22343i,11594+0.22732i,11647+0.22157i,11828+0.21927i,11471+0.21947i,11990+0.2219i,11861+0.22746i,11376+0.22951i,11491+0.22911i,11692+0.2271i,11337+0.23515i,11434+0.22688i,11254+0.22661i,11393+0.22111i,10971+0.22913i,11138+0.23162i,10690+0.23048i,11064+0.2311i,11195+0.23072i,11204+0.2308i,11219+0.23592i,11224+0.24313i,10925+0.24274i,10947+0.23531i,11106+0.23115i,10517+0.23569i,10578+0.23505i,10381+0.23216i,10790+0.23234i,10767+0.23438i,10729+0.23664i,10449+0.23672i,10570+0.24069i,10372+0.23703i,10390+0.24676i,10421+0.24626i,10340+0.24744i,10267+0.24735i,10187+0.25315i,10177+0.24644i,10007+0.2496i,10270+0.25204i,9962.7+0.24996i,10028+0.24684i,9845.3+0.25531i,9649.8+0.24545i,10016+0.25412i,10108+0.26341i,9894.3+0.25438i,9744.8+0.25364i,9611+0.25736i,9605.4+0.25346i,9752.8+0.25416i,9797.5+0.24706i,9273.3+0.25418i,9627.3+0.25641i,9214.6+0.24993i,9458.9+0.25384i,9531.5+0.26815i,9310.2+0.2695i,9648.7+0.25942i,9292.4+0.2591i,9235.3+0.26555i,8916.8+0.25855i,9609+0.27105i,8894.4+0.27183i,9174.9+0.26502i,8938.4+0.27403i,8848.9+0.2766i,9332.8+0.27059i,9111.1+0.27396i,8836.1+0.28164i,8914.4+0.28058i,8847.8+0.2757i,8761.4+0.27462i,8600.9+0.26687i,8693.4+0.27828i,8589+0.28303i,8849.8+0.27236i,8588.8+0.29265i,8518+0.28072i,8634+0.27662i,8430.9+0.28512i,8475.9+0.28768i,8456.6+0.28665i,8174.5+0.29351i,8144.1+0.29078i,8322.3+0.28894i,8620.3+0.29324i,8358+0.28145i,8131.2+0.28762i,8471.7+0.28586i,8257.9+0.30495i,8397.3+0.29692i,8313.7+0.29044i,8388.1+0.29575i,8139+0.29342i,8055.8+0.30518i,8248.6+0.3059i,8047.1+0.30228i,7977+0.30455i,7918.4+0.30549i,7992.6+0.2984i,7723.4+0.31912i,7965.9+0.30716i,8224.9+0.31428i,8173.1+0.30986i,8091.7+0.31362i,7985.9+0.31153i,7854.4+0.32787i,8033.3+0.31113i,7804.7+0.3166i,7692.2+0.31831i,7580.8+0.30876i,7803.8+0.32715i,7831.6+0.32054i,7719.7+0.32367i,8059.9+0.3295i,7867.3+0.32348i,7767.3+0.32905i,7700.3+0.31149i,7690.7+0.33144i,7869.3+0.32206i,7799.3+0.33325i,7762.2+0.32189i,7572.3+0.32851i,7650.4+0.33988i,8015.3+0.32964i,7574.3+0.32549i,7689.1+0.33303i,7502.8+0.32456i,7565.7+0.3219i,7697+0.33993i,7608.5+0.33997i,7689.4+0.32469i,7509.8+0.32918i,7780.2+0.3388i,7434.4+0.34518i,7627.7+0.34882i,7652.1+0.34824i,7467.2+0.34294i,7314.3+0.3458i,7471.6+0.35487i,7447.3+0.34144i,7323.3+0.35545i,7498.4+0.3585i,7498.5+0.35547i,7560.2+0.34188i,7490+0.35579i,7494.1+0.35403i,7429+0.34527i,7406.3+0.35555i,7615.2+0.35429i,7315.9+0.35405i,7466.9+0.35081i,7705.2+0.35732i,7483.6+0.37535i,7350.2+0.36962i,7477.9+0.3674i,7345+0.37168i,7454.5+0.35065i,7284.5+0.38418i,7435.7+0.36287i,7259.1+0.37592i,7305.6+0.37502i,7411.7+0.37332i,7214.2+0.37295i,7498.2+0.37973i,7354.9+0.38807i,7605+0.39211i,7051.4+0.38821i,7431.6+0.37338i,7135.9+0.37455i,7291.4+0.38484i,7412+0.39638i,7153+0.39023i,7509.7+0.38788i,7188.5+0.39003i,7365+0.38383i,7237.5+0.40026i,7191.8+0.38615i,7136.8+0.38449i,7320.6+0.39119i,7284.7+0.40383i,7536.1+0.40357i,7339.5+0.40997i,7344.7+0.41467i,7234.2+0.4028i,7355.8+0.3984i,7140+0.40937i,7294.7+0.40006i,7120.7+0.40572i,6984.2+0.40481i,6999.8+0.38917i,7372.2+0.41i,7038+0.41319i,7192.3+0.41052i,7320.5+0.40433i,7226.5+0.41469i,7078.2+0.41093i,7347.3+0.41385i,7169.1+0.42519i,7218.1+0.41065i,7209.3+0.43035i,7147.3+0.41723i,7127.9+0.42839i,6930.7+0.43338i,7324.4+0.42523i,7150.2+0.42566i,7052.6+0.44494i,7093.5+0.4285i,7162.8+0.42227i,7181+0.42391i,7224.8+0.44945i,7040.8+0.41779i,7016.9+0.42534i,7091.8+0.43745i,7263.3+0.43057i,7277.2+0.42766i,7214+0.42201i,7088.4+0.4423i,6987.8+0.43442i,6872+0.44023i,6916.1+0.44092i,7058.8+0.45699i,7449.4+0.44636i,7218.1+0.44014i,6903.2+0.45637i,6753+0.45819i,7167.1+0.46027i,7156.3+0.44239i,7214+0.44951i,6892.6+0.46162i,7056.9+0.45501i,6961.8+0.46199i,6863.8+0.45713i,7005+0.46405i,7184.6+0.47362i,7042.1+0.46541i,7241.8+0.47807i,7054+0.46052i,6955.2+0.47854i,7109.4+0.4827i,7212.4+0.47459i,7250.3+0.47497i,7132.4+0.47581i,7052.7+0.47958i,7226+0.48659i,7037.9+0.49976i,7161.1+0.48227i,7049.9+0.50778i,7184.5+0.48294i,7388.9+0.49374i,7088+0.4935i,7210.7+0.50512i,7151.9+0.50945i,7135.8+0.49443i,6949.9+0.49626i,7052.7+0.5055i,7141.4+0.51234i,7076.4+0.50894i,7125.1+0.50952i,7202.3+0.51406i,7348.7+0.50707i,7094.9+0.48989i,7002.1+0.53523i,7215.5+0.53514i,6998.2+0.50979i,7044.8+0.54677i,7354.9+0.51625i,6972.8+0.53233i,7046.5+0.51921i,7064.6+0.5281i,6919+0.516i,6912.7+0.52175i,6976.4+0.535i,6934.1+0.53309i,7087.1+0.5305i,7068.7+0.5301i,6966+0.5479i,7103+0.53306i,7076.5+0.53696i,6966+0.55824i,7262.7+0.5481i,6900.2+0.56243i,7204+0.52323i,7243.5+0.54764i,7174.6+0.57228i,7034.9+0.5582i,6930+0.54849i,7065+0.55811i,7071.6+0.55399i,6908.9+0.55404i,7193.3+0.57301i,6990.5+0.5864i,7188.8+0.57635i
14778+0.21414i,14821+0.21095i,14480+0.20814i,13999+0.2084i,14709+0.20878i,14415+0.21068i,14223+0.21093i,14035+0.21152i,14323+0.20862i,14379+0.21219i,14145+0.20972i,14370+0.21571i,14039+0.21013i,14251+0.21694i,14371+0.20626i,13981+0.21287i,14420+0.21112i,14244+0.20773i,14019+0.21078i,13927+0.20904i,13368+0.21563i,14482+0.20764i,14271+0.21371i,13495+0.20481i,14195+0.21534i,14359+0.20534i,14212+0.21469i,13812+0.21095i,13638+0.20559i,13991+0.21402i,13902+0.21174i,13693+0.20593i,13767+0.21223i,13704+0.2096i,13376+0.20593i,13952+0.20676i,14036+0.212i,14046+0.20179i,13623+0.20691i,13862+0.21832i,13820+0.21023i,13370+0.20262i,14096+0.21656i,13478+0.21226i,13263+0.20826i,13598+0.21683i,13567+0.21885i,13595+0.20757i,13196+0.21408i,13057+0.2129i,13196+0.21984i,13409+0.21329i,12865+0.20858i,13119+0.21536i,13661+0.21159i,13399+0.21182i,13285+0.20995i,13002+0.2139i,13391+0.21576i,13326+0.21668i,13074+0.21124i,13176+0.213i,13183+0.20729i,12967+0.21296i,12832+0.2071i,13075+0.21516i,13251+0.20714i,12976+0.21291i,12755+0.21533i,13438+0.21438i,13229+0.22032i,12824+0.22277i,12694+0.21458i,12596+0.2114i,12862+0.21698i,13275+0.2125i,13214+0.21255i,12643+0.21816i,13168+0.21659i,12413+0.2164i,13116+0.21714i,12999+0.2165i,12326+0.21968i,12618+0.20953i,12965+0.21844i,12630+0.21934i,12953+0.22286i,12512+0.21487i,12187+0.22082i,12724+0.2219i,12309+0.21481i,12397+0.22065i,12557+0.22704i,12598+0.21422i,12022+0.22095i,12491+0.21401i,11904+0.21412i,11784+0.21991i,12185+0.21784i,11753+0.22279i,12108+0.21575i,11732+0.21349i,12267+0.22712i,11975+0.22497i,11940+0.22301i,11902+0.22776i,11769+0.22124i,11909+0.222i,11807+0.22824i,11752+0.22638i,11966+0.23042i,11144+0.22549i,11643+0.22257i,11450+0.22095i,11185+0.2257i,11182+0.23444i,11303+0.22204i,11607+0.21974i,11208+0.2282i,11625+0.23247i,11342+0.23223i,11421+0.23366i,11412+0.23342i,11017+0.22516i,10465+0.23105i,11289+0.22929i,10958+0.23826i,10982+0.22312i,10623+0.23575i,10553+0.23759i,10716+0.23989i,10444+0.23735i,10702+0.23702i,10728+0.23952i,10438+0.23397i,10435+0.23704i,10899+0.24463i,10689+0.24079i,10529+0.23815i,10616+0.25074i,10503+0.2456i,10100+0.24767i,10138+0.24522i,10307+0.24758i,10335+0.24643i,10204+0.25442i,9870.9+0.24871i,10047+0.24251i,9871+0.26313i,9733.8+0.25318i,9948.4+0.25674i,10313+0.25434i,9876.3+0.2561i,10252+0.25355i,9812.1+0.24885i,9816.3+0.24908i,9970.1+0.25614i,9583.4+0.26083i,9160.2+0.25248i,9686.8+0.2558i,9825.8+0.25786i,9565.3+0.26196i,9453.1+0.27039i,9361.3+0.25495i,9203.3+0.26141i,9452.6+0.25951i,9267.5+0.26324i,9095.7+0.2734i,9287.6+0.26079i,9182.1+0.27156i,8959.2+0.27605i,9129.5+0.26617i,8770.3+0.27049i,8417.2+0.26771i,8817.8+0.27936i,9277.7+0.26409i,8846.3+0.26582i,8957.2+0.27102i,8611.4+0.28343i,8688.5+0.27299i,8804.9+0.28487i,8838.8+0.27663i,8786.5+0.27377i,8853.3+0.27295i,8735+0.27646i,8866.2+0.2901i,8534+0.28484i,8243+0.28614i,8507.3+0.27538i,8522.1+0.28723i,8319.8+0.27996i,8611.2+0.2963i,8409.1+0.29388i,8655.9+0.29452i,8416.5+0.28359i,8336.6+0.29761i,8348.3+0.29694i,8307.8+0.29776i,8369.5+0.29357i,8287+0.2956i,8294.6+0.31122i,8078.8+0.30169i,8139.6+0.30299i,8313.1+0.30048i,8378.7+0.30189i,8098.4+0.30619i,8160.5+0.32181i,8280.2+0.31368i,7851.7+0.30393i,7853.6+0.32536i,7688.1+0.30571i,8229.9+0.29933i,7881.4+0.3158i,8026.5+0.31849i,8118.2+0.3179i,7984.9+0.31621i,7787.6+0.30795i,7660.8+0.31816i,7883.3+0.31869i,8182.6+0.32789i,7940.9+0.31645i,7604.1+0.32581i,8099.4+0.31633i,7842.5+0.3283i,7831.8+0.32713i,7597.2+0.33459i,7624.2+0.31411i,7471.1+0.33755i,7465.1+0.33434i,7876.4+0.32487i,7548.4+0.3416i,7859.9+0.32855i,7745.1+0.32573i,7651+0.33206i,7580.6+0.3313i,7684.8+0.3352i,7608.8+0.32898i,7596.1+0.33698i,7648+0.34187i,7739.1+0.33869i,7517.5+0.33858i,7462.1+0.34122i,7457.9+0.33817i,7764.3+0.34288i,7565.7+0.34124i,7806.5+0.35188i,7326.9+0.33746i,7586+0.34694i,7782.2+0.3351i,7623.7+0.34651i,7503.8+0.34898i,7285.5+0.34254i,7275.8+0.35467i,7320.7+0.34582i,7426.3+0.33926i,7266.3+0.35088i,7210+0.36704i,7572.3+0.34979i,7665.8+0.36025i,7359.4+0.36025i,7290.2+0.36588i,7425.9+0.36743i,7540.5+0.35668i,7480.1+0.34823i,7332.4+0.36486i,7164.1+0.3629i,7288.2+0.36145i,7551.4+0.37102i,7363.2+0.37821i,7473.2+0.36359i,7175.1+0.36085i,6969+0.37901i,6995+0.38186i,7680+0.38008i,7445.4+0.37725i,7382.5+0.38474i,7310.8+0.37263i,6971.4+0.38714i,7246.8+0.37874i,7231.8+0.39322i,7142+0.38182i,7105.3+0.38462i,7344.1+0.38726i,7461.2+0.38453i,7315.1+0.39269i,7188.4+0.38725i,7343.7+0.39362i,7265.1+0.39309i,7255.4+0.409i,7227+0.39925i,7445.7+0.39091i,7038.4+0.39931i,7278+0.3961i,7133.5+0.39502i,7334.3+0.40802i,7288.8+0.39857i,7352.3+0.40205i,7264.6+0.40695i,7262.2+0.39525i,7200.7+0.41453i,7203.7+0.40827i,7159.8+0.40903i,7382.6+0.40375i,7240+0.39588i,7455.9+0.40563i,7149+0.42507i,7308.1+0.41745i,7192.1+0.41625i,7381.9+0.42153i,7030.3+0.42209i,7212.8+0.42169i,7161.2+0.42324i,7174.8+0.42754i,7231.7+0.42513i,7151.2+0.42064i,7230.3+0.42439i,6966.8+0.42204i,7270.7+0.43163i,7603.2+0.43059i,7060.6+0.43746i,7160.3+0.44044i,7355.1+0.44347i,7082.8+0.42931i,7100.7+0.42834i,7264.7+0.44915i,7066.1+0.44684i,7101.9+0.45023i,7087.7+0.43656i,7151.5+0.45272i,7265.5+0.44319i,7339.6+0.45201i,7096.8+0.45903i,7075.5+0.43564i,6952.7+0.45465i,7167+0.4744i,7084.5+0.45121i,7026.8+0.45018i,7056.1+0.4654i,7100+0.45074i,7270.2+0.48373i,7188.1+0.46626i,7294.3+0.45039i,7087.2+0.45754i,7093.4+0.47324i,6954+0.46851i,7105.8+0.4628i,6960.8+0.47364i,7066.5+0.47443i,6945.5+0.47758i,7148.9+0.49159i,7010.2+0.46007i,6866.2+0.48789i,7134.7+0.48454i,7163+0.48781i,7229.3+0.48048i,7046+0.47604i,7217.9+0.49574i,7375.6+0.48303i,7161.8+0.49869i,7149.2+0.48137i,7109.1+0.51011i,7015.8+0.50114i,7097.4+0.51171i,6968+0.49525i,6765.7+0.50509i,7328.8+0.5151i,7096.5+0.5057i,7012.7+0.51343i,7292.1+0.51107i,7075.6+0.51512i,7006.5+0.50492i,7331.7+0.52876i,7355.7+0.52331i,7209.8+0.5321i,7296.7+0.52055i,7331.6+0.53741i,7015.2+0.53338i,7054.7+0.53517i,6805.1+0.54195i,7003.1+0.52811i,6821.4+0.55071i,6878.3+0.54413i,6897.2+0.53281i,7002.8+0.53555i,6960.8+0.54004i,6998.6+0.53686i,6949.2+0.54443i,7085.7+0.54122i,7347+0.56144i,6970.4+0.54563i,7172.2+0.54779i,6825.3+0.54424i,7219.7+0.56122i,6998.4+0.5612i,7344.9+0.56715i,7167.4+0.56238i,7226.9+0.54897i,6982.9+0.59936i,7328.4+0.55926i,7269.1+0.56581i,7026.6+0.5718i
14916+0.2122i,14865+0.20667i,14823+0.20459i,14842+0.2137i,14479+0.21077i,14999+0.21557i,14918+0.20749i,14174+0.21031i,14392+0.21149i,14129+0.20638i,14617+0.21484i,14408+0.21276i,13745+0.20896i,14328+0.21121i,14416+0.2138i,14099+0.21349i,13913+0.21711i,14021+0.21627i,13609+0.2118i,14106+0.2145i,13827+0.21107i,14682+0.20921i,13841+0.20628i,14048+0.21083i,13811+0.20925i,14037+0.21463i,13806+0.21112i,14390+0.20595i,13364+0.21361i,13438+0.21333i,13616+0.21065i,13765+0.21289i,13791+0.2162i,13417+0.21129i,13764+0.21161i,13394+0.21422i,13438+0.2082i,13629+0.21111i,13865+0.21377i,14008+0.21178i,13705+0.21112i,13477+0.20664i,13682+0.21239i,13167+0.21375i,13349+0.20969i,13399+0.21406i,13471+0.20772i,13203+0.21242i,13203+0.20827i,13269+0.20775i,13428+0.21649i,13110+0.21287i,13038+0.20913i,14076+0.21131i,14285+0.21602i,13294+0.21788i,12980+0.2153i,13144+0.21746i,13154+0.21554i,13124+0.20993i,12850+0.22944i,13288+0.21733i,13021+0.20922i,12955+0.21366i,13869+0.21189i,12654+0.21077i,12856+0.21414i,13183+0.22686i,12884+0.21602i,12617+0.20958i,13102+0.21142i,13057+0.21331i,13039+0.21369i,12667+0.21558i,12811+0.21918i,12481+0.21934i,12766+0.22158i,12888+0.21293i,12634+0.21238i,12897+0.21184i,12962+0.21179i,12471+0.21499i,12441+0.21312i,12490+0.2144i,12399+0.22172i,12382+0.21264i,12294+0.20961i,12822+0.21055i,12597+0.21386i,12935+0.21527i,12191+0.21934i,12131+0.21965i,12144+0.21817i,12368+0.21659i,12324+0.21361i,12230+0.2191i,12047+0.22125i,12302+0.2197i,12468+0.22459i,12023+0.22398i,11854+0.22577i,12145+0.22047i,12018+0.22192i,11965+0.21494i,11738+0.21911i,11907+0.22608i,11824+0.2274i,11578+0.22077i,11221+0.22781i,11374+0.22889i,11275+0.23069i,11665+0.22523i,11567+0.22438i,11436+0.23511i,11953+0.21418i,11427+0.22832i,11395+0.22273i,11292+0.23137i,11244+0.22511i,11207+0.23477i,11107+0.22786i,11294+0.23557i,11453+0.22387i,11399+0.23692i,11215+0.23203i,11150+0.2407i,11003+0.23316i,10657+0.2387i,10939+0.23907i,11238+0.22877i,10859+0.23872i,10960+0.23871i,10711+0.23001i,10686+0.23486i,10628+0.24265i,10518+0.23936i,10821+0.24518i,10695+0.24485i,10164+0.24933i,10556+0.24569i,10425+0.24671i,10015+0.2498i,10199+0.24402i,10083+0.24725i,10333+0.24668i,10319+0.24291i,9952.2+0.2442i,10129+0.2395i,10331+0.2429i,10002+0.25546i,9670.5+0.23884i,9709.6+0.25041i,10150+0.25731i,10033+0.2427i,9759.8+0.25262i,9832.6+0.26535i,9778.2+0.25688i,9796.5+0.2533i,9646.5+0.25307i,9658.1+0.25899i,9335.1+0.25336i,9218.1+0.25296i,9424.3+0.26134i,9143.6+0.26558i,9289.6+0.27415i,9457.4+0.26266i,9155.5+0.26468i,9599.8+0.26102i,9073.5+0.25982i,8900+0.26292i,9445.3+0.26694i,9163.9+0.28684i,8734.6+0.26895i,9411.6+0.27304i,9122.9+0.27181i,8895.1+0.27567i,8749.4+0.26853i,8597.8+0.28199i,9123.8+0.27992i,8931.8+0.27932i,8765.2+0.27876i,8692.2+0.27078i,8906.6+0.28519i,8619.8+0.28064i,8698.6+0.27934i,8756+0.27148i,8710.6+0.29206i,8517.7+0.27922i,8458.3+0.28305i,8666.3+0.28381i,8709.4+0.28299i,8522.3+0.28036i,8455.8+0.29557i,8249.6+0.29414i,8451.6+0.29177i,8371.7+0.29923i,8223.3+0.29656i,8080.4+0.29064i,8183.2+0.29362i,8151.7+0.30222i,8242.6+0.29568i,8178.7+0.29936i,7949.3+0.30152i,8212.9+0.30165i,8096.6+0.30156i,7870.2+0.30299i,8004.7+0.3001i,8034.6+0.30374i,8125.3+0.29983i,8109.5+0.31203i,7996.2+0.29793i,8021.7+0.30473i,8072.7+0.30819i,7743.9+0.30539i,7839.3+0.30743i,7992.4+0.3122i,8174.2+0.32568i,7885.8+0.31789i,7932.5+0.31207i,7867.4+0.32076i,7501.8+0.31919i,8026.2+0.31338i,7757.3+0.32719i,7905.1+0.30434i,7979.1+0.32554i,7762.8+0.31442i,7965.2+0.34049i,7615.1+0.33509i,7566.1+0.32089i,7662.9+0.32004i,7782.9+0.33024i,7795.2+0.3247i,7846.3+0.32945i,7477.8+0.32355i,7742.3+0.32766i,7734+0.33246i,7633+0.34185i,7724.9+0.34015i,7879.5+0.33144i,7568.4+0.33098i,7574.3+0.33798i,7710.9+0.33512i,7402+0.34597i,7253.4+0.35481i,7581.4+0.33979i,7650.8+0.35353i,7052.2+0.34678i,7429+0.34424i,7654+0.3424i,7745.3+0.35059i,7367.8+0.35455i,7389.6+0.34182i,7381.3+0.35026i,7533.7+0.33983i,7620+0.37187i,7465.4+0.35552i,7612.4+0.36805i,7112.6+0.36468i,7273+0.34862i,7488.3+0.35458i,7419.5+0.35768i,7405.5+0.36246i,7488.5+0.35487i,7509.2+0.36634i,7168.3+0.37296i,7464+0.37832i,7528.3+0.3664i,7061.4+0.37351i,7195.7+0.37157i,7261.1+0.37578i,7309.7+0.36678i,7450.3+0.36134i,7163.1+0.38856i,7400+0.36671i,7370.4+0.38213i,7311.8+0.39743i,7016.1+0.37606i,7385.9+0.40206i,7561.3+0.38651i,7139.3+0.38193i,7322.6+0.38212i,7235.7+0.38997i,7494.8+0.39863i,7280+0.38967i,7123.2+0.37781i,7177.3+0.38716i,7138.8+0.38307i,7259.6+0.40712i,7465.2+0.39206i,7024.2+0.39878i,7000.3+0.39956i,7288.2+0.38978i,7136.4+0.40785i,7250+0.40377i,7303.1+0.39882i,7137.8+0.39304i,7328.4+0.40821i,7303.5+0.40861i,7351.3+0.41538i,7097+0.41951i,7338.4+0.42078i,7401.5+0.41027i,7291.1+0.4173i,7231.4+0.4048i,7107.8+0.40963i,7291.7+0.41703i,6812+0.40925i,7012.3+0.42402i,7040.8+0.43005i,7237+0.42667i,6893.8+0.41983i,7234.1+0.42364i,7295.8+0.40681i,7117.5+0.44206i,7229.6+0.40482i,6811.6+0.41785i,7070.1+0.41976i,7396.2+0.43697i,7146.3+0.43345i,7273.8+0.41126i,7061.9+0.44033i,7068.2+0.43032i,7019.1+0.44029i,7209.1+0.44429i,7099.7+0.44192i,7042.8+0.4425i,6758.9+0.43908i,7303.6+0.43712i,7319.8+0.45675i,7268.1+0.45188i,7242.1+0.4568i,7194.9+0.44871i,7014.8+0.43508i,7127.6+0.44751i,7047.3+0.44781i,7358.6+0.47416i,7043.5+0.4493i,7118.4+0.4795i,7134.7+0.4524i,7123.7+0.47608i,7154.5+0.48218i,7009.9+0.45446i,7167.3+0.46451i,7053.7+0.46468i,7206.3+0.4625i,7129.9+0.465i,7005.9+0.47386i,7209.3+0.47437i,7215.5+0.49224i,7260.5+0.48268i,7447.9+0.47978i,7146.1+0.47764i,7331.1+0.48347i,7068.7+0.48663i,6944+0.48658i,7249.9+0.49057i,7281.9+0.49333i,6983+0.49583i,7281.8+0.48586i,7194.4+0.51065i,7067+0.47416i,7091.5+0.50664i,7302.2+0.48928i,6940.5+0.49309i,7016.6+0.5008i,6901.2+0.49424i,7328.9+0.49945i,7404.4+0.50406i,7314.1+0.52723i,6936.2+0.52021i,7220.5+0.51007i,7059.4+0.53097i,7081.2+0.50093i,6954.5+0.51819i,7017.6+0.516i,7145.2+0.50631i,7000.7+0.53187i,7087.7+0.52778i,7312.3+0.52931i,7407.6+0.54137i,7180.2+0.52306i,6889.8+0.553i,7088.9+0.5222i,7009.4+0.55532i,7057.1+0.55327i,6989.2+0.54901i,7071.6+0.53346i,7180.7+0.54951i,7261.7+0.53827i,7165.2+0.56004i,6974.9+0.54256i,7052.8+0.5561i,7212.8+0.55114i,7094.4+0.54933i,7174.2+0.57776i,7142.4+0.59027i,7005+0.58425i,6833.4+0.56075i,6969.2+0.55758i,6924+0.54465i,7170.8+0.58509i
