14946+0.21204i,14783+0.20598i,14629+0.20898i,14754+0.21642i,14751+0.20485i,14679+0.20799i,14201+0.21181i,13948+0.21908i,14135+0.20889i,14181+0.21533i,14207+0.20874i,14350+0.20777i,14211+0.20977i,15174+0.20846i,13937+0.21005i,13844+0.21453i,14920+0.21637i,14306+0.21821i,14142+0.21257i,13632+0.21483i,14326+0.20973i,13957+0.21401i,13443+0.2117i,13921+0.21617i,13805+0.21205i,13347+0.21676i,14082+0.21081i,13316+0.21335i,14045+0.20798i,14181+0.21684i,13448+0.21413i,13943+0.20836i,13543+0.20632i,13919+0.20805i,14052+0.2028i,13494+0.20849i,13823+0.21383i,13923+0.20646i,13776+0.21599i,14105+0.21622i,13361+0.21004i,13122+0.20967i,13762+0.21505i,13542+0.20708i,13604+0.21176i,13313+0.21154i,13857+0.21254i,13396+0.20609i,13439+0.209i,13314+0.21236i,13519+0.21563i,13678+0.21199i,13625+0.21408i,13156+0.21666i,13350+0.21118i,13474+0.20985i,12991+0.21754i,13443+0.20441i,13304+0.21278i,13379+0.21172i,12833+0.21208i,13145+0.22233i,12973+0.21319i,13231+0.21278i,12925+0.21231i,13460+0.20415i,12854+0.21281i,12945+0.20856i,12633+0.21583i,13150+0.21784i,12935+0.2242i,12826+0.21625i,13128+0.21028i,12814+0.21501i,12851+0.21483i,12529+0.21624i,12675+0.21109i,13171+0.2081i,12659+0.21501i,13285+0.21986i,12688+0.21565i,12801+0.21508i,12912+0.22448i,12561+0.21303i,12635+0.21014i,12741+0.21713i,12594+0.21308i,12101+0.21201i,12339+0.21599i,12154+0.21693i,12541+0.22193i,12724+0.22051i,12794+0.22178i,12429+0.21423i,12203+0.22009i,12616+0.22024i,12556+0.21345i,11873+0.21615i,12302+0.21271i,12426+0.22272i,12147+0.2231i,12165+0.22519i,12504+0.21706i,11818+0.21529i,12131+0.22214i,11598+0.22874i,12005+0.21836i,11356+0.22657i,11628+0.22749i,11878+0.224i,11300+0.23054i,11524+0.22033i,12105+0.23197i,11828+0.23288i,11268+0.23405i,11562+0.2296i,11430+0.22776i,11287+0.22221i,11235+0.22889i,11189+0.22547i,11208+0.22863i,11150+0.22794i,11092+0.2321i,11084+0.22546i,10864+0.23336i,11099+0.23439i,11017+0.23191i,11255+0.23208i,10932+0.23839i,11046+0.23777i,10782+0.23811i,11008+0.24626i,10900+0.23824i,11141+0.24796i,10723+0.24124i,10364+0.24426i,10666+0.23764i,10519+0.23605i,10755+0.2439i,10087+0.24036i,10597+0.24424i,10278+0.24916i,10282+0.25848i,10337+0.24522i,10101+0.24164i,10164+0.25189i,10095+0.25956i,10450+0.24731i,10008+0.24771i,9776.6+0.24882i,9762.8+0.24658i,10041+0.24857i,9765.1+0.25607i,9896+0.26046i,9594.4+0.25895i,9693.8+0.25285i,9860.1+0.25583i,9593.8+0.25794i,9605.5+0.25985i,9424.2+0.24729i,9812.3+0.26009i,9527.4+0.26425i,9345.2+0.26125i,9433.1+0.26056i,9328.7+0.26228i,9040.9+0.26244i,8983.7+0.26634i,9303.9+0.27115i,9195.4+0.26611i,9195.5+0.27268i,9187+0.2746i,8970.4+0.264i,9094.5+0.26907i,9002.8+0.27861i,8968.8+0.2754i,9207.1+0.2807i,8954.1+0.27465i,8912.1+0.28134i,8943.7+0.27074i,8749.9+0.27257i,8993.4+0.27507i,8690.8+0.28191i,8869.1+0.27763i,8745.2+0.27812i,8603.7+0.28368i,8466.1+0.28509i,8535.1+0.2797i,8585.5+0.2883i,8336.2+0.28685i,8198.2+0.29545i,8504.8+0.28995i,8382+0.30257i,8485.9+0.29226i,8539.8+0.28842i,8675.7+0.2811i,8311.6+0.30234i,8581.1+0.29317i,8539+0.29927i,7866.2+0.30194i,8310.5+0.29597i,8011.1+0.2955i,8161+0.29958i,8147.8+0.29657i,8364.6+0.30275i,7716+0.31054i,8408.5+0.30682i,8009.1+0.30544i,8062.6+0.2995i,8311.5+0.30912i,8089+0.30859i,8072+0.31236i,7888.1+0.31289i,8050.4+0.30268i,7939.1+0.31318i,7818.5+0.30914i,7730.5+0.30338i,7801.1+0.31815i,8008.3+0.31399i,8027.9+0.30801i,7921.9+0.31502i,7988.7+0.32081i,7713.8+0.31416i,7641.1+0.31706i,7916.9+0.32563i,7801.1+0.32873i,7762.4+0.33249i,7731.1+0.33006i,7750+0.32304i,7981.3+0.32702i,7547.3+0.32035i,7741.6+0.34221i,7730.4+0.32517i,7439.5+0.33795i,7656+0.33441i,7673.4+0.32484i,7508.9+0.33505i,7502.2+0.32436i,7585.2+0.33502i,7585.6+0.33873i,7687.4+0.34186i,7798.8+0.33378i,7466.2+0.34435i,7704.2+0.34518i,7671.3+0.35211i,7717.4+0.33509i,7247.9+0.33899i,7438.8+0.34406i,7417.4+0.34829i,7435.4+0.34605i,7455.5+0.34598i,7684.4+0.35854i,7415.6+0.34239i,7188.8+0.35545i,7292.7+0.35098i,7224.2+0.35341i,7495.1+0.36593i,7660.6+0.35133i,7340.2+0.3782i,7617.3+0.35619i,7268.4+0.36981i,7368.4+0.36516i,7489+0.34794i,7505.2+0.37795i,7475.9+0.37024i,7468.4+0.36787i,7485+0.36752i,7333.1+0.36227i,7328.9+0.3578i,7437.9+0.38953i,7385.2+0.36485i,7349.5+0.37951i,7451.4+0.37622i,7359.3+0.38372i,7119.2+0.3855i,7492.7+0.36948i,7232.1+0.37104i,7288+0.37186i,7301.1+0.39345i,7249.6+0.37949i,7396.4+0.37201i,7258+0.38469i,7187.9+0.39079i,7168.7+0.38707i,7138+0.38999i,7280.3+0.39029i,7264.4+0.40251i,7394.4+0.38281i,7171.8+0.3808i,7373.1+0.4044i,7460.5+0.39378i,7012.2+0.41169i,7021.2+0.39831i,7198.6+0.39495i,7330.9+0.39341i,7315.3+0.41009i,7345.8+0.40672i,7165.8+0.40226i,7047.6+0.4146i,7191.9+0.39274i,7313.1+0.39829i,7241.3+0.41909i,7060.7+0.3906i,7278.1+0.40455i,6910.5+0.4032i,7223.3+0.40704i,7156.2+0.4064i,7304+0.40859i,7538.8+0.42018i,7279.9+0.41147i,7139.6+0.40471i,7253.1+0.41958i,7200.7+0.4208i,7083.7+0.42724i,7063.1+0.43393i,6972.6+0.42333i,7260.2+0.4283i,7090.4+0.43604i,7227.6+0.42785i,7368.3+0.42457i,7367.9+0.42723i,7194.4+0.44439i,7334.2+0.44503i,7254.6+0.43785i,7238.8+0.44277i,7172.6+0.43427i,7153.3+0.45533i,7107+0.44986i,6898.2+0.44307i,7097.4+0.46617i,6920.2+0.44873i,7185.4+0.44138i,6996+0.45449i,7180.3+0.44358i,7185.8+0.4488i,7095.4+0.45649i,6929.9+0.45243i,7406.9+0.45013i,7285.7+0.44941i,7258.5+0.45933i,7230+0.45668i,6882.5+0.46869i,7029.5+0.47844i,7163.7+0.4588i,7232.7+0.46695i,7192.8+0.4822i,6926.6+0.46588i,7122.8+0.4705i,7088.1+0.46708i,7026.1+0.46362i,7120.7+0.46637i,6963.3+0.47332i,7238+0.4712i,7068.1+0.49242i,7131.4+0.48459i,6969.6+0.47914i,7226.5+0.47944i,6901.9+0.51321i,6912.6+0.49671i,6996.3+0.50067i,6817.2+0.50839i,6784.3+0.49144i,6965.8+0.5058i,7194.5+0.51083i,7087+0.49976i,7093.8+0.49025i,7100.6+0.51216i,7125+0.51613i,7187+0.50667i,7273.6+0.50591i,7408.3+0.50569i,7080.9+0.50879i,6934.4+0.5118i,7020.2+0.51341i,7176.8+0.52232i,6950.5+0.50443i,7252.2+0.52219i,7034.6+0.49979i,7240.5+0.51737i,7016+0.51351i,7057.7+0.55347i,6866.2+0.53899i,7085.1+0.53294i,6999.4+0.52806i,6972.6+0.54952i,7257.5+0.52889i,7128.2+0.56164i,7064.8+0.54196i,7109.1+0.54665i,6948.5+0.55682i,6999.5+0.5351i,6882.2+0.55646i,7121.5+0.5593i,7020.4+0.55446i,7028.7+0.55215i,6961.5+0.56307i,6928+0.55084i,7151.5+0.57649i,7040.9+0.5732i,7121.8+0.55205i,7006.2+0.55529i,7083+0.58962i
14733+0.20972i,15080+0.21523i,14483+0.21248i,14288+0.21115i,14284+0.21153i,14461+0.20524i,14578+0.20648i,14232+0.2133i,14240+0.21242i,14311+0.20942i,14197+0.21188i,13748+0.21919i,14220+0.21523i,13802+0.21417i,14253+0.21071i,14101+0.21564i,14419+0.21717i,13611+0.20989i,13975+0.20913i,13673+0.21459i,14076+0.20944i,13925+0.20468i,14076+0.21438i,14282+0.20623i,13803+0.20421i,14060+0.21075i,13717+0.21208i,13819+0.21067i,13745+0.20992i,13316+0.21363i,13950+0.2107i,14210+0.21148i,13958+0.21058i,13596+0.21567i,13715+0.20571i,13894+0.21333i,13714+0.21459i,13079+0.21012i,13784+0.21476i,13754+0.21383i,13717+0.20521i,13198+0.21589i,13696+0.20957i,13818+0.20618i,13080+0.21164i,13620+0.2088i,13249+0.21259i,13698+0.22051i,13064+0.21294i,13569+0.21346i,13368+0.20885i,13107+0.21356i,13764+0.21664i,13292+0.21308i,13553+0.21335i,12848+0.20928i,13272+0.21449i,13386+0.21388i,13165+0.22117i,12630+0.21347i,12916+0.21266i,13305+0.21194i,13518+0.21278i,12953+0.20842i,13393+0.21688i,13100+0.21397i,13105+0.20799i,13177+0.21021i,13283+0.21349i,13402+0.21547i,12770+0.22305i,13078+0.21382i,12538+0.20934i,13079+0.21758i,12843+0.21437i,12757+0.20822i,12497+0.21451i,12894+0.20973i,12798+0.21354i,12625+0.21203i,12765+0.21407i,12619+0.2249i,12758+0.21397i,12576+0.21436i,12648+0.2174i,12910+0.21533i,12630+0.21849i,12495+0.20801i,12765+0.22719i,12955+0.21427i,12475+0.21513i,12252+0.22358i,12157+0.22053i,12346+0.22477i,12726+0.22773i,12241+0.21901i,12319+0.22469i,12159+0.22177i,12374+0.21688i,12096+0.23505i,11931+0.21996i,11489+0.21753i,11652+0.22778i,11800+0.21847i,11866+0.22847i,11682+0.22418i,11720+0.22104i,11553+0.23303i,11800+0.22469i,11959+0.22165i,11284+0.22543i,11705+0.23018i,11538+0.22596i,11737+0.22493i,11715+0.23563i,11612+0.2316i,11510+0.22294i,11794+0.22876i,11394+0.22943i,11646+0.23077i,11074+0.22426i,11176+0.22821i,10891+0.22616i,11464+0.23129i,11321+0.23853i,11195+0.23012i,10934+0.24004i,10761+0.23261i,11204+0.2366i,11049+0.23985i,10882+0.24304i,10860+0.24221i,10577+0.23699i,10490+0.23362i,10581+0.23862i,10987+0.23882i,10413+0.24427i,10475+0.234i,10542+0.24142i,10468+0.25948i,10480+0.23404i,10492+0.23724i,10296+0.25275i,10483+0.24613i,10627+0.25256i,9964.1+0.25058i,9964.8+0.25378i,10160+0.24355i,9910.4+0.24183i,9915.9+0.25142i,9766.6+0.24997i,9821.2+0.25639i,9869.9+0.25705i,9558.8+0.24336i,9632.5+0.25363i,9600.5+0.2593i,9769.9+0.25902i,9589.2+0.24719i,9765.6+0.26528i,9829.2+0.25351i,9843.8+0.2595i,9685.8+0.25587i,9520.8+0.26008i,9482.3+0.26626i,9654.3+0.26559i,9526+0.26512i,9553.5+0.26178i,9186.3+0.262i,9214.4+0.26934i,9040.9+0.2699i,9274.2+0.26642i,9221.3+0.2676i,8977.5+0.26325i,9147.3+0.26684i,8994.4+0.26678i,8701.1+0.26653i,9273.4+0.25994i,8873.6+0.28313i,8652.2+0.2674i,8910.9+0.27602i,8645.4+0.2879i,8902.7+0.27486i,8670.5+0.27874i,8669.8+0.2838i,8706.2+0.27721i,8736.2+0.2863i,8430.7+0.27926i,8786+0.28229i,8855.7+0.28431i,8508.6+0.28429i,8615.5+0.28991i,8422.1+0.28814i,8567.8+0.29376i,8248.6+0.30011i,8437.5+0.28536i,8591.5+0.29092i,8347.7+0.29418i,8361.2+0.29088i,8504.8+0.29483i,8233.8+0.30208i,8214.7+0.2969i,8318.5+0.29989i,8246.2+0.30465i,8243.7+0.30219i,8025.3+0.30447i,8242.9+0.3054i,8105.6+0.30676i,8326.3+0.29336i,7850.6+0.31206i,8078.2+0.3006i,7945.8+0.31053i,8210+0.30815i,7965.9+0.31386i,8208+0.31108i,7851+0.30708i,8091.1+0.31085i,7784.8+0.32047i,8009.2+0.32902i,7881.7+0.31021i,7938.9+0.30994i,7758.9+0.31677i,7949.5+0.3169i,7791.5+0.33405i,7901.9+0.32236i,7822.6+0.32245i,7940.4+0.32735i,7698.2+0.33153i,7765.6+0.3285i,7739.4+0.32477i,7646.7+0.33015i,7751.8+0.32969i,7730+0.32029i,7595.7+0.34274i,7551.1+0.32337i,7651.1+0.32602i,7489.3+0.3264i,7566.7+0.33318i,7539.3+0.33523i,7769+0.32985i,7972.9+0.34119i,7353.3+0.34534i,7594.6+0.33908i,7743.6+0.35396i,7480+0.34262i,7721.6+0.34918i,7916.9+0.33809i,7560+0.33139i,7725.9+0.35459i,7455+0.33655i,7458.7+0.34779i,7415.5+0.35551i,7210.7+0.35684i,7683.4+0.36074i,7578.7+0.35098i,7189.9+0.3625i,7383+0.34296i,7097.5+0.35558i,7037.4+0.36228i,7419.4+0.35804i,7251+0.35446i,7370.5+0.36417i,7565.2+0.35962i,7390.5+0.34947i,7277.5+0.37697i,7515.8+0.35849i,7486.4+0.37357i,7157.3+0.36842i,7457.4+0.36007i,7488.6+0.38215i,7389.3+0.37873i,7223.9+0.37954i,7259.6+0.36464i,7454.8+0.36734i,7317.6+0.37259i,7188.5+0.37663i,7427.4+0.37211i,7171+0.35602i,7523.6+0.38559i,7360.5+0.37593i,7220.7+0.38652i,7416.1+0.38071i,7433.9+0.38836i,7353.3+0.37409i,7338.5+0.39767i,7372.5+0.3885i,7490.4+0.38939i,7282.6+0.3802i,7047.4+0.39627i,7027.2+0.38947i,7183+0.3936i,7282.9+0.39863i,7298.8+0.39675i,7185.3+0.38694i,7335+0.40896i,7413.1+0.40349i,7593.3+0.38455i,7184.6+0.41531i,7169.4+0.41311i,7294+0.40082i,7313.3+0.38536i,7310.2+0.42144i,7271.6+0.40471i,7228+0.40348i,7105.3+0.41697i,7263.8+0.40586i,7198.3+0.40369i,7181.3+0.40148i,7156.8+0.41398i,7378.8+0.4186i,6910.4+0.41423i,7191.6+0.41376i,7506.5+0.4229i,7026.2+0.41866i,7072.7+0.42635i,7128.4+0.4235i,7058.5+0.43015i,7435.9+0.4424i,6905+0.44i,7447.8+0.43684i,7062.6+0.43643i,7157.4+0.44364i,7267+0.44317i,7239.1+0.44942i,7159.8+0.43598i,7135.7+0.44428i,7184.1+0.45797i,7207.1+0.44721i,7182.3+0.45237i,7123.5+0.4538i,7170.9+0.44432i,7189+0.46008i,6994.7+0.46025i,7060.4+0.46136i,7222.7+0.45121i,6840.2+0.45857i,7199.6+0.46012i,7174.5+0.45494i,7231+0.44883i,7141+0.44985i,7088.2+0.46071i,7002.5+0.46951i,7399.9+0.47761i,7096.1+0.44543i,7089.5+0.47181i,7073.3+0.47203i,6902.9+0.46334i,7065.6+0.48679i,7127.2+0.48585i,7145.7+0.46515i,7027.3+0.47509i,6976+0.49339i,7311.5+0.4871i,7045.9+0.48023i,7263.9+0.48834i,7283.5+0.47661i,6916.7+0.48553i,6966.7+0.50921i,7182.8+0.50298i,7141.4+0.48237i,7375.5+0.49074i,6938.2+0.47793i,7170.8+0.49421i,6868.2+0.49751i,6950+0.52545i,6948.8+0.50444i,7178.2+0.50335i,7087.5+0.51442i,7250.4+0.50501i,7141.4+0.5109i,7280.3+0.50305i,7057.7+0.51015i,7266+0.4985i,7152.4+0.51924i,6841.9+0.5337i,6687.1+0.54057i,6910.5+0.51529i,7132+0.54812i,7153.8+0.5363i,7296.6+0.51006i,6877.9+0.52985i,6989.9+0.52971i,6984.7+0.5506i,7129.7+0.52608i,7106.7+0.53653i,7014.4+0.51708i,7036.9+0.54467i,6976.4+0.5413i,7184.7+0.54583i,7111.4+0.54442i,7222.4+0.553i,7207+0.56495i,6768.1+0.54784i,7092.7+0.55536i,7113.6+0.5639i,7276+0.55925i,7082.8+0.56289i,7124.6+0.57475i,7078.2+0.55069i,7157.2+0.56027i,7114.5+0.56812i,6859+0.60565i
14607+0.20642i,14511+0.20212i,14628+0.21315i,14813+0.20327i,14517+0.2151i,14361+0.21049i,14256+0.20866i,14040+0.20757i,14626+0.20489i,13849+0.21036i,14509+0.2055i,14229+0.20984i,14451+0.21447i,14362+0.2054i,13934+0.20991i,13575+0.22187i,14010+0.20672i,13768+0.21104i,13930+0.20312i,13504+0.21031i,13486+0.21018i,13720+0.2068i,14209+0.20516i,13038+0.213i,13952+0.20254i,14015+0.20924i,13614+0.21183i,13635+0.20883i,13264+0.20643i,13078+0.20922i,13713+0.20922i,13878+0.20836i,12959+0.2101i,13737+0.21093i,13412+0.21877i,13589+0.21024i,13470+0.21457i,13664+0.20726i,13892+0.202i,13188+0.20567i,13601+0.2095i,13038+0.21118i,14205+0.22005i,13713+0.21262i,13344+0.20811i,13477+0.21457i,13639+0.21291i,13327+0.21563i,13237+0.21504i,13643+0.21926i,12999+0.21155i,13500+0.20856i,13522+0.21459i,13103+0.21859i,13110+0.20945i,13243+0.21568i,13165+0.20461i,13322+0.20939i,12753+0.20661i,13019+0.21329i,13413+0.21367i,13293+0.21386i,13059+0.21931i,13260+0.21939i,12806+0.21449i,13159+0.20711i,13064+0.21011i,12736+0.21012i,13175+0.2113i,12940+0.21887i,13065+0.21784i,12962+0.20622i,12719+0.21166i,13037+0.21791i,12600+0.21577i,12506+0.21367i,12408+0.22112i,13242+0.21972i,12814+0.20662i,12962+0.20704i,12684+0.20906i,12574+0.21665i,12868+0.22194i,13137+0.21268i,12276+0.21897i,12116+0.21962i,13109+0.21774i,12318+0.21811i,11737+0.22184i,12391+0.22518i,12369+0.21863i,13063+0.21045i,11908+0.21596i,12316+0.22118i,12494+0.22221i,12245+0.22287i,11599+0.2193i,12350+0.22582i,12506+0.21742i,12007+0.22481i,11589+0.21688i,12085+0.22379i,12188+0.22612i,12358+0.22875i,11748+0.22032i,11795+0.22291i,11883+0.22285i,11920+0.22919i,11674+0.21766i,11504+0.22302i,11399+0.22493i,11390+0.21908i,11515+0.23257i,11811+0.22355i,12035+0.22468i,11662+0.22719i,11057+0.22636i,11331+0.23319i,11280+0.2264i,11026+0.22768i,11492+0.23734i,11541+0.2195i,11163+0.23365i,11216+0.22891i,10940+0.23003i,10795+0.22777i,11429+0.229i,10787+0.23717i,11032+0.23194i,10925+0.23693i,11022+0.23187i,10709+0.23907i,11164+0.23344i,10988+0.23165i,10729+0.24654i,10482+0.2384i,10756+0.24245i,10457+0.24447i,10588+0.24734i,10199+0.24092i,10260+0.23951i,10296+0.23692i,10146+0.24213i,10009+0.24739i,10306+0.24755i,10199+0.24384i,10449+0.24944i,10165+0.24531i,9980.7+0.2473i,9955.4+0.24895i,10135+0.25588i,10198+0.25806i,9702.8+0.25485i,9793.1+0.24607i,9735.5+0.25944i,9857.9+0.24563i,9640.8+0.26177i,9748.1+0.25501i,9596+0.25989i,9929+0.25037i,9324+0.26186i,9152.7+0.26353i,9539.3+0.27363i,9289.7+0.2572i,9187.1+0.25948i,9169.5+0.26225i,9019.9+0.26474i,9286.7+0.26331i,8942.8+0.26434i,9495.7+0.2616i,8985.6+0.25562i,9292.4+0.27044i,9118.8+0.2675i,9157.3+0.2687i,9196.2+0.26594i,8556.8+0.27128i,8870.1+0.2737i,9000+0.27419i,8889+0.27727i,9188.6+0.28439i,8492.5+0.27315i,8771.8+0.28262i,8879.2+0.28214i,8689.8+0.28428i,8877.6+0.28013i,8632.7+0.28913i,8694.1+0.28284i,8649.8+0.27568i,8482.6+0.28318i,8689.9+0.29293i,8712.3+0.30223i,8262.3+0.29677i,8301.9+0.28804i,8698.2+0.28946i,8528+0.28618i,8344.5+0.30198i,8230.7+0.28545i,8100.3+0.29663i,8084.8+0.29983i,7948.1+0.30087i,8089.8+0.2953i,8157.7+0.28972i,8181.2+0.30497i,8245+0.30483i,8416.2+0.30374i,8019.6+0.30518i,8086.7+0.29642i,8144.8+0.30347i,8184.9+0.3153i,8003.8+0.30884i,8057.8+0.30059i,8007.2+0.30581i,8023.1+0.30771i,7700.2+0.30727i,7768.3+0.31459i,8042.1+0.30027i,8194.7+0.31414i,8020.5+0.30989i,8058.5+0.31293i,7930.7+0.32952i,7681.3+0.31923i,7628.9+0.31304i,7865.6+0.32062i,7865.4+0.31469i,7623.4+0.32015i,7979.9+0.32878i,7727.1+0.33288i,7889.2+0.32493i,7701.4+0.31968i,7838.3+0.33507i,7775.9+0.33652i,7917.5+0.34144i,7708+0.32881i,7447.9+0.33277i,7489.6+0.32523i,7884.7+0.33781i,7434.5+0.33043i,7841.5+0.34457i,7643.3+0.33678i,7348.3+0.33828i,7736.4+0.34667i,7802.4+0.34565i,7692.6+0.33433i,7586.1+0.34625i,7693+0.34531i,7428.1+0.34681i,7571.4+0.35313i,7383.4+0.35508i,7478.7+0.33935i,7419+0.35845i,7444.7+0.34461i,7501.4+0.34309i,7646.8+0.36068i,7282+0.3662i,7526.2+0.35379i,7376.5+0.34575i,7499.1+0.34838i,7304+0.34899i,7405.1+0.35963i,7301.8+0.36657i,7503.8+0.35939i,7518.4+0.37692i,7286+0.36201i,7214.1+0.37607i,7304.1+0.36938i,7564.3+0.3701i,7656.7+0.36275i,7137.4+0.36962i,7239.3+0.37488i,7093.2+0.37585i,7351.5+0.3742i,7350.2+0.38067i,7477.3+0.37863i,7089.3+0.38952i,7464.4+0.37697i,7291.6+0.38345i,7327.1+0.39492i,7344.8+0.38571i,7319.7+0.37841i,7068.7+0.3742i,7166.4+0.37439i,7322.6+0.38103i,7317.6+0.37977i,7125.8+0.37966i,7379.2+0.40245i,7450.1+0.39861i,6979.4+0.38398i,7435.6+0.38008i,7095.3+0.37795i,7490+0.38577i,6978.1+0.40839i,7034.1+0.39699i,6978.6+0.39652i,7281.1+0.39192i,7289.3+0.4124i,7200.2+0.40244i,7205.1+0.39586i,7332.9+0.39949i,7133+0.42011i,7381.4+0.41948i,7370.3+0.40386i,7083.3+0.41154i,7232.5+0.4042i,7352.4+0.40141i,7224.4+0.41054i,7277.8+0.41331i,7062.4+0.42135i,7036.9+0.43055i,7345.5+0.41552i,7185.1+0.42405i,7135.6+0.41247i,7149+0.43471i,7282.1+0.43649i,6988.2+0.42556i,6990.8+0.40012i,7350.2+0.43069i,7046.2+0.43411i,7064.6+0.42786i,7218.5+0.45036i,6848+0.42493i,7109.4+0.43411i,7349.1+0.43428i,7430.2+0.44291i,7104.9+0.42866i,7029.7+0.44647i,7210.2+0.434i,7058.5+0.43406i,7261+0.45276i,7082.4+0.46719i,7311.7+0.44642i,7084.9+0.45819i,7195.8+0.44326i,7019.8+0.45615i,7202.5+0.44646i,7041.2+0.44625i,7140.5+0.4519i,7028.5+0.46926i,7030.7+0.46007i,7152.1+0.45772i,7103.5+0.46363i,7440.7+0.4741i,7273+0.47231i,7170.1+0.46712i,7102.8+0.47998i,7031.8+0.46751i,7151.9+0.46549i,7242.4+0.47367i,7015.8+0.48653i,6996.6+0.49195i,7174+0.47981i,7059.5+0.46937i,7187.2+0.47434i,7227+0.4955i,7119.1+0.46757i,7084.3+0.48106i,7272.8+0.50191i,6959.2+0.48629i,7082.2+0.49366i,7063.9+0.50695i,6963.7+0.50476i,7269.9+0.48973i,6787+0.49365i,7349.3+0.51081i,6755.2+0.5081i,7039.7+0.51097i,7173.4+0.49422i,7086.2+0.51215i,7112.2+0.50215i,7199.8+0.50445i,7050+0.50087i,7290.2+0.5051i,6949.1+0.52174i,7136.5+0.51154i,6850.4+0.53107i,7088.3+0.52533i,7136.7+0.51692i,6747.6+0.532i,7166.3+0.52248i,7182.6+0.5441i,7218.2+0.5439i,7003.3+0.53782i,7201.1+0.53091i,6987.1+0.54247i,6931.4+0.54636i,7242.7+0.53727i,7037.7+0.5342i,7191.9+0.54323i,7028.9+0.55172i,7148.9+0.55702i,6997.6+0.55289i,7022.2+0.55476i,6856+0.55387i,7131.8+0.57657i,6824.7+0.55022i,7052+0.55184i,7113.4+0.56972i,6927.5+0.55884i,7170.1+0.5767i,7127.7+0.55384i,7051.6+0.57851i,7148.5+0.5499i
