14714+0.21285i,14463+0.21497i,14442+0.2097i,14244+0.21358i,14192+0.204i,14564+0.2131i,14567+0.21248i,14133+0.21662i,14626+0.21477i,14633+0.21204i,14680+0.20885i,13677+0.20855i,13736+0.20813i,13972+0.20876i,14126+0.20309i,14295+0.21634i,14111+0.20824i,13117+0.21236i,13689+0.21238i,13772+0.21281i,14392+0.21036i,13446+0.2192i,14048+0.2114i,14276+0.21413i,14158+0.21182i,13739+0.21459i,13286+0.21012i,13561+0.20378i,13448+0.20996i,13317+0.21149i,14056+0.2135i,13761+0.20913i,13370+0.20727i,13339+0.20706i,13784+0.20747i,13662+0.20319i,13125+0.20783i,13525+0.21067i,13673+0.21029i,13569+0.21735i,13040+0.21533i,13518+0.20599i,13137+0.21411i,12955+0.21021i,13317+0.21328i,13217+0.20898i,13529+0.21065i,13569+0.20915i,13225+0.21149i,13565+0.21294i,13169+0.21397i,13591+0.2072i,13139+0.21231i,13238+0.2155i,12977+0.2129i,12753+0.20934i,13092+0.22021i,12967+0.21466i,12756+0.21307i,12873+0.22147i,12742+0.21454i,13079+0.20762i,13133+0.21902i,12851+0.20699i,12969+0.21642i,12624+0.21602i,12628+0.21533i,12535+0.21464i,12802+0.21275i,12734+0.21042i,12559+0.21641i,12735+0.21318i,12458+0.21497i,12349+0.20977i,12983+0.21571i,11955+0.21992i,12920+0.21429i,12037+0.22009i,11961+0.21346i,11542+0.22287i,12033+0.21795i,11961+0.2145i,12127+0.22085i,11878+0.21815i,12357+0.22401i,11929+0.21574i,12216+0.21868i,11974+0.21454i,12074+0.21656i,11843+0.21782i,12120+0.21719i,12091+0.21864i,11374+0.21795i,11829+0.22129i,11925+0.22151i,11670+0.22228i,11434+0.21526i,11581+0.23342i,11608+0.22755i,11505+0.22416i,11338+0.22833i,11831+0.22138i,11135+0.22849i,11350+0.22861i,11509+0.22488i,11443+0.23046i,10978+0.22287i,11185+0.2282i,11184+0.2341i,10930+0.22858i,10928+0.23189i,10766+0.22436i,10893+0.23351i,11120+0.23451i,11020+0.21758i,10321+0.23044i,10797+0.22996i,10423+0.22818i,10731+0.23532i,10696+0.23087i,10480+0.23364i,10338+0.23232i,10524+0.23263i,10235+0.2269i,10331+0.22503i,10295+0.22864i,9783.1+0.23182i,10010+0.23319i,10102+0.23578i,10036+0.23558i,10023+0.23328i,9806.2+0.23493i,9912.6+0.23719i,10177+0.23618i,10089+0.23436i,10097+0.24104i,10058+0.24269i,9719.2+0.24206i,9526.8+0.23748i,9383.9+0.24451i,9454.5+0.2379i,9582.2+0.24969i,10060+0.24743i,9914.8+0.24063i,9817.7+0.2419i,9489.4+0.24311i,9283.3+0.24866i,9157.9+0.23828i,9509.3+0.25004i,9183.5+0.24512i,9139.9+0.24527i,8940.4+0.24971i,9332.8+0.24734i,8719.8+0.25232i,9093.3+0.25053i,9156.9+0.24868i,9032.9+0.25636i,9067.7+0.25148i,8991.7+0.2565i,8913+0.25171i,8485.4+0.25602i,9040.8+0.25072i,8866.9+0.2478i,8456+0.25259i,8635.5+0.24583i,8644.1+0.25064i,8390.9+0.258i,8520.3+0.25233i,9048.3+0.26228i,8575.8+0.26017i,8690.3+0.26273i,8601.5+0.25174i,8438.3+0.27023i,8461.1+0.26016i,8439.3+0.26092i,8563.3+0.26809i,8120.4+0.26073i,8348.8+0.25973i,8372.8+0.26658i,8125.8+0.26136i,8398.3+0.27065i,8244.9+0.2726i,8251.3+0.27234i,8263.4+0.26873i,7976.1+0.26278i,8353.7+0.26676i,8173.1+0.27227i,8511.6+0.26642i,8112.2+0.27681i,8161+0.281i,8180.4+0.2689i,7895.5+0.27074i,8075.2+0.27106i,7964.5+0.27793i,8042.7+0.27443i,8051.2+0.28663i,8082.1+0.27387i,7735.3+0.27199i,7903.8+0.27642i,7773.6+0.2739i,7897.8+0.27863i,7787.5+0.28248i,7963+0.2815i,7638.9+0.27965i,7759.4+0.27549i,7869.1+0.29226i,7882.6+0.29002i,7521.7+0.28383i,7719.2+0.27074i,8002.6+0.28766i,7814+0.27888i,7647.4+0.29297i,7715.7+0.28684i,7564.4+0.29351i,7602.6+0.2834i,7598.7+0.2998i,7734.7+0.28567i,7630.9+0.28566i,7563.9+0.30368i,7776.1+0.29529i,7600.2+0.29048i,7509+0.30142i,7607.4+0.29801i,7580.4+0.30378i,7618.1+0.28956i,7531.3+0.30224i,7549.2+0.30011i,7579.7+0.29834i,7426+0.28935i,7445.5+0.30065i,7361.3+0.30355i,7486.6+0.29887i,7642.4+0.30514i,7158.6+0.30479i,7514.5+0.31659i,7406.4+0.29975i,7448.6+0.31065i,7521.5+0.30616i,7477.3+0.30777i,7404.8+0.31186i,7522.7+0.31144i,7365.7+0.30786i,7430.1+0.31314i,7225.3+0.30019i,7449.3+0.31375i,7161.1+0.29986i,7250.6+0.31552i,7353.1+0.31719i,7365.2+0.31781i,7282.9+0.32276i,7398.5+0.32063i,7234.5+0.3172i,7416.6+0.31826i,7296.5+0.31166i,7309.1+0.30799i,7381.9+0.32187i,7445+0.32799i,7258.8+0.31004i,7366.5+0.31674i,7243.6+0.33367i,7479+0.32274i,7262.7+0.32154i,7272.2+0.3271i,7302.3+0.32549i,7089.8+0.3208i,7242.4+0.32688i,7416.7+0.32954i,7246.8+0.3383i,7163.5+0.32637i,7281.6+0.33019i,7448.2+0.33968i,7150.4+0.32677i,7043.6+0.33108i,7130.5+0.33109i,7150.6+0.34455i,7001.8+0.33757i,7193+0.33626i,7157.4+0.3362i,7606.5+0.33924i,7146.3+0.34052i,7447.2+0.33836i,7128.5+0.34616i,7304.3+0.34322i,7188.3+0.34276i,7247+0.3374i,7436.8+0.35574i,7104.2+0.34238i,7105.9+0.35463i,7156+0.35944i,6950.6+0.34555i,7255.5+0.35151i,7345.2+0.35092i,7088.7+0.34354i,7169.1+0.35721i,7377.7+0.34817i,7092.8+0.36166i,7123.9+0.35489i,7119.3+0.35817i,7249+0.35149i,7009.7+0.35245i,6974.5+0.35474i,7060.6+0.35973i,7107.7+0.35703i,7419.5+0.36464i,7368.6+0.35899i,7193.4+0.36273i,7000.1+0.369i,7002.3+0.37501i,7013.9+0.3655i,7326.3+0.36183i,7137.8+0.36665i,7070.5+0.37349i,7185+0.37926i,6791.6+0.35881i,7032.2+0.36886i,7170.5+0.37098i,7093.3+0.37291i,7025.6+0.36922i,7109+0.38176i,7205.5+0.37644i,7002.5+0.38275i,7017.9+0.37056i,7397.1+0.37033i,6641.6+0.38265i,7232.9+0.38497i,7179.1+0.38575i,7002.9+0.36926i,7065.6+0.39894i,7164.8+0.37506i,7029.6+0.3846i,7013.7+0.38627i,7120.1+0.39855i,7043+0.3798i,7193.7+0.39701i,7026+0.38985i,7340.3+0.38378i,7368.8+0.38612i,7238.9+0.39385i,7281+0.40083i,6963.8+0.40353i,7098.2+0.39967i,7088+0.39326i,7020.6+0.38474i,7204.2+0.39249i,6903.7+0.40416i,7112.3+0.40576i,7209.2+0.40767i,7184.9+0.40101i,7101.3+0.40091i,7095.8+0.40711i,7045.9+0.40679i,7144.3+0.40744i,7050.2+0.41727i,7317.3+0.42545i,7187.4+0.41518i,7088+0.41944i,6896.3+0.41611i,6935.5+0.41064i,7118.3+0.41489i,7113.3+0.41077i,7307.5+0.41558i,7138.1+0.45225i,7069.1+0.42589i,7229.9+0.42134i,7000.5+0.42206i,7150.1+0.43389i,6960.1+0.42996i,7064.9+0.43659i,7153.2+0.43929i,7045.6+0.44825i,7263.5+0.44889i,7141.5+0.44023i,7142.7+0.43564i,7022.7+0.43439i,6971.4+0.44375i,7171.4+0.4348i,7259.9+0.44871i,7031.1+0.44454i,6932.3+0.43513i,7068.9+0.44825i,7003.9+0.474i,7117+0.47126i,6964.4+0.45614i,7023.3+0.45625i,6976.7+0.44104i,7122+0.46895i,6975.1+0.47351i,7154.1+0.46715i,7032.9+0.45028i,6882.5+0.48235i,6949.3+0.47583i,7171.8+0.47632i,7096.8+0.45736i,6945+0.4844i,7142.1+0.46859i,7058.9+0.47889i,7063.8+0.47094i,7153.6+0.46824i,7009.6+0.47191i,6994.9+0.47822i,7098.4+0.47731i
14719+0.20691i,14966+0.21524i,13911+0.20904i,14612+0.21418i,14738+0.20996i,14401+0.21533i,14074+0.21244i,14475+0.2059i,14216+0.21596i,14920+0.20548i,14536+0.20771i,14310+0.20752i,14272+0.20625i,13938+0.20884i,14186+0.22006i,14399+0.20745i,14183+0.21378i,13905+0.20794i,14222+0.21272i,14045+0.21322i,13936+0.21141i,13583+0.20831i,13621+0.21024i,13690+0.2152i,13972+0.20356i,14370+0.20804i,13724+0.20794i,13140+0.2078i,13061+0.21375i,13384+0.21156i,13344+0.19864i,14040+0.21502i,13712+0.21111i,13769+0.20995i,13528+0.21742i,13535+0.21638i,13620+0.21464i,13756+0.20478i,13619+0.21351i,13410+0.21719i,13820+0.20348i,13453+0.21286i,13527+0.21706i,13467+0.21337i,13472+0.21328i,12790+0.21487i,13029+0.21275i,13010+0.21566i,12896+0.20715i,13468+0.21907i,12665+0.20923i,12791+0.21155i,13110+0.21427i,12988+0.21263i,13271+0.21493i,13259+0.21227i,12594+0.21736i,12993+0.21738i,13015+0.21353i,12759+0.21098i,12590+0.21093i,12601+0.21608i,12964+0.22154i,13039+0.21639i,12600+0.21501i,12590+0.21442i,12233+0.22248i,12955+0.21256i,12445+0.21175i,12575+0.20596i,12226+0.21556i,12054+0.21852i,12494+0.22191i,12628+0.21473i,12697+0.21169i,12255+0.21757i,12173+0.21104i,12805+0.21951i,12046+0.21612i,11862+0.21344i,12648+0.22384i,11653+0.21627i,12222+0.21909i,11950+0.22074i,12106+0.21732i,12242+0.22278i,11719+0.21291i,11812+0.21772i,11810+0.22394i,12133+0.22392i,11890+0.21381i,11639+0.23083i,11665+0.21914i,11695+0.22568i,11260+0.21078i,11547+0.22459i,11918+0.22555i,11636+0.22451i,11535+0.23036i,11301+0.21969i,11238+0.22634i,11098+0.2248i,11580+0.22828i,11145+0.21608i,11335+0.22619i,11238+0.22317i,11314+0.22488i,11410+0.22665i,10860+0.22903i,10958+0.22066i,10489+0.2266i,10864+0.23279i,10694+0.22246i,10738+0.23339i,10528+0.22623i,10813+0.23913i,10594+0.23267i,10826+0.22839i,11102+0.23861i,10351+0.23195i,10386+0.22957i,10273+0.2415i,10407+0.22884i,10018+0.23344i,10484+0.23727i,10716+0.23443i,10276+0.23381i,10065+0.23681i,10124+0.23242i,10096+0.2224i,10403+0.23202i,9910.9+0.24201i,10170+0.23872i,9821.6+0.23725i,9891.7+0.2297i,10026+0.24199i,10051+0.24385i,9777.8+0.23357i,9655+0.23842i,9450.4+0.24262i,9587.2+0.24586i,9339.5+0.23641i,9360.1+0.23687i,9766.8+0.24705i,9442.2+0.24195i,9325.6+0.23742i,9720+0.23694i,9466.2+0.25131i,9320.9+0.24298i,9168.4+0.24306i,9409.4+0.23694i,9226.6+0.24472i,9646.1+0.2497i,8995.5+0.24946i,9145.4+0.24774i,8787.5+0.25195i,9019.4+0.26175i,9257.1+0.24747i,8988.8+0.2592i,9000.5+0.251i,8627.6+0.25313i,8887.2+0.25501i,8651.7+0.24824i,8783.5+0.25785i,8644.9+0.25773i,8594.8+0.25105i,8399.6+0.25768i,8490.6+0.26252i,8581.1+0.26062i,8556.2+0.2623i,8195.7+0.25026i,8442.7+0.2558i,8219.7+0.25884i,8606.6+0.26316i,8480.4+0.2605i,8427.4+0.26262i,8429.6+0.26913i,8375+0.2734i,8257.3+0.26841i,8340.1+0.27067i,8311.7+0.27293i,8567.9+0.2696i,8440.7+0.26676i,8183+0.27189i,8042.1+0.2781i,8264.4+0.26822i,8233.6+0.26213i,8148.7+0.26889i,8026.2+0.26394i,8325+0.27177i,8182.8+0.27051i,7829.7+0.28061i,8384.1+0.283i,8216.5+0.27078i,8057+0.28254i,7810.8+0.27153i,8070.9+0.28363i,8008.8+0.27385i,7749.1+0.27777i,7659.4+0.27457i,8010.3+0.27603i,8017.8+0.27852i,7750.9+0.28715i,8017+0.28175i,7946.3+0.27575i,7688.3+0.29189i,7671.6+0.28897i,7828.4+0.27724i,7570.2+0.2901i,7628.9+0.29389i,7719.8+0.28736i,7745.6+0.28932i,7703.6+0.28732i,7776.1+0.2974i,7790.2+0.29421i,7557+0.29897i,7473.1+0.28566i,7663.4+0.28963i,7670.2+0.3041i,7604.8+0.30092i,7457.8+0.30504i,7548.5+0.29048i,7471.2+0.30245i,7542.5+0.30719i,7654.5+0.3057i,7527.5+0.30711i,7561.3+0.30386i,7382.8+0.30729i,7529.4+0.2974i,7464.8+0.30541i,7288.2+0.3007i,7664.5+0.31187i,7615.7+0.30971i,7703+0.30499i,7289.1+0.28786i,7517.5+0.30015i,7512+0.29735i,7407.5+0.30281i,7302.7+0.30353i,7510.6+0.31787i,7262.8+0.31001i,7530.4+0.3097i,7267.5+0.30957i,7181.9+0.30743i,7198.1+0.3097i,7538.5+0.30542i,7114.5+0.3188i,7433+0.3182i,7331.6+0.31652i,7302+0.31246i,7252+0.30366i,7228.5+0.31859i,7350.7+0.30328i,7495.3+0.31926i,7286.5+0.32915i,7320.5+0.3261i,7702.8+0.31671i,7437+0.32954i,7071.4+0.31451i,7298.3+0.32131i,7440.8+0.31463i,7165.6+0.31865i,7354.5+0.32128i,7540.7+0.33157i,7251.6+0.32822i,7198.3+0.3103i,7316.4+0.32873i,7451.4+0.33667i,7250.2+0.33336i,7452.5+0.33072i,7209.5+0.33101i,7377.1+0.34531i,6937.7+0.33597i,7356.3+0.33568i,7121.1+0.32883i,7178.9+0.34673i,7434.9+0.34198i,7255.2+0.32517i,7302.7+0.34582i,7039.5+0.33431i,7097.3+0.35073i,7116.9+0.33451i,7345.9+0.35155i,7037.4+0.34377i,7150.9+0.34177i,7228.2+0.34048i,7380.2+0.33887i,7298.9+0.35593i,7008.9+0.36218i,7237.2+0.3595i,7184.6+0.35778i,7010.4+0.35734i,7023.1+0.35247i,7125.2+0.34917i,7326.1+0.36624i,7152.7+0.35848i,7226.3+0.36537i,6878.1+0.35462i,7245.7+0.34965i,7044.2+0.36062i,7233.5+0.35771i,7148.2+0.36999i,7213.4+0.34426i,6938.3+0.35658i,7251.4+0.35736i,7043.5+0.36044i,7442.6+0.36069i,7153.6+0.35363i,7256+0.37214i,7024.8+0.36386i,7005.9+0.38375i,7183.4+0.37595i,7101.5+0.36499i,7059.5+0.37045i,7131.2+0.37701i,7124.7+0.36623i,7045.9+0.36761i,7170.3+0.37069i,7011.8+0.37396i,7123.6+0.36716i,7042.2+0.37035i,7066.7+0.37533i,7242.2+0.39009i,7127.8+0.39316i,6849.9+0.37681i,7033.4+0.38877i,6958.1+0.38574i,7259.4+0.38336i,7197.4+0.38469i,7102.9+0.38216i,7352.4+0.38924i,7181.5+0.39216i,7099+0.3854i,7136.9+0.39374i,7177.3+0.40162i,7088.5+0.39017i,6999.4+0.39353i,7070.4+0.38946i,6765.4+0.3889i,7015.7+0.39552i,7308+0.38126i,7403.6+0.40492i,7152.2+0.39749i,7202+0.39638i,7151.8+0.39956i,6986.2+0.41758i,7070.8+0.40255i,7076.9+0.40567i,7143+0.41773i,7202.1+0.4001i,6972.5+0.41877i,6955.7+0.40931i,6836.4+0.42778i,7093.6+0.40367i,6780+0.40439i,7123.3+0.42256i,7000.1+0.40699i,6856.3+0.42922i,7103.2+0.40443i,6921.4+0.41642i,7272.2+0.42327i,6832+0.4046i,7005.4+0.42862i,7263.2+0.41683i,7162.2+0.4296i,7070.4+0.42117i,7466.3+0.43126i,7286.8+0.43022i,7100.3+0.44432i,7099.5+0.43668i,6883.9+0.4324i,6897.1+0.43051i,7182.8+0.45132i,6793.7+0.44065i,7016.3+0.44513i,7157.8+0.44183i,7094.6+0.45158i,7051.3+0.43488i,7185.9+0.44932i,7072.8+0.43984i,6932.7+0.45865i,7332.7+0.44701i,7171.2+0.4448i,7462.6+0.43533i,7048.9+0.44983i,6967.2+0.46034i,6848.2+0.46516i,7278.7+0.46911i,7059.2+0.4654i,7297.1+0.46785i,7164.6+0.43795i,7111.3+0.47879i,6901.9+0.46i,7464.7+0.4829i,6982.7+0.47298i,7139.7+0.47139i,7004.6+0.47515i,7085.7+0.48542i,6940.9+0.48041i,6877.7+0.48324i,6969.7+0.4708i
14987+0.21003i,14976+0.21095i,14461+0.20738i,14474+0.20546i,14291+0.20316i,14480+0.2074i,14487+0.20835i,14492+0.21228i,14532+0.20746i,14359+0.20657i,14463+0.21102i,13943+0.21388i,13886+0.21651i,14266+0.2157i,14050+0.20715i,13683+0.2152i,14086+0.21427i,14495+0.20528i,14018+0.2146i,13577+0.21251i,14046+0.20747i,14458+0.20685i,13821+0.21581i,13744+0.21849i,13963+0.2074i,13820+0.20657i,13640+0.21346i,14075+0.21592i,13746+0.21458i,13764+0.21858i,14044+0.21444i,13743+0.21145i,13531+0.21415i,13789+0.20507i,13535+0.20275i,13284+0.21301i,13554+0.20847i,13409+0.21005i,13388+0.21134i,13906+0.21458i,13705+0.20922i,13495+0.21475i,13270+0.20873i,13355+0.21824i,13111+0.20948i,12816+0.21311i,13253+0.22129i,13404+0.2135i,13128+0.21203i,13003+0.21369i,13111+0.20857i,13092+0.21247i,13090+0.20603i,12823+0.20659i,13146+0.21004i,13628+0.21818i,13157+0.20987i,13209+0.21987i,12769+0.21466i,13034+0.20901i,12520+0.212i,12878+0.22152i,13007+0.21363i,13081+0.21524i,12740+0.21173i,12890+0.20887i,12834+0.22162i,12581+0.21611i,13071+0.21198i,12612+0.21516i,12476+0.21395i,12780+0.21454i,12327+0.2043i,12067+0.21374i,12473+0.20791i,12416+0.21755i,12020+0.21056i,12195+0.21262i,12370+0.22111i,12307+0.21518i,12040+0.21669i,11847+0.21247i,11866+0.21882i,12171+0.21281i,12466+0.22065i,11633+0.22267i,12445+0.22031i,11808+0.21733i,11630+0.22223i,11455+0.21707i,11477+0.22233i,11754+0.21703i,11301+0.22096i,12093+0.2243i,11770+0.22124i,11556+0.22275i,11494+0.21612i,11568+0.22288i,11626+0.21701i,11808+0.2259i,11612+0.22261i,11504+0.22063i,11539+0.2174i,10667+0.22525i,11586+0.22371i,11071+0.22492i,11059+0.22517i,11074+0.23107i,10974+0.22769i,11096+0.22407i,10880+0.22814i,10902+0.22188i,11026+0.21993i,10765+0.22131i,10851+0.22796i,10514+0.22334i,10573+0.22009i,10529+0.23822i,10463+0.22454i,10348+0.23881i,10680+0.2298i,10278+0.22649i,10625+0.23108i,10497+0.23144i,10340+0.2264i,10150+0.23075i,10260+0.233i,10088+0.23957i,10025+0.22848i,10126+0.23208i,9903.6+0.23354i,10102+0.23302i,9786.6+0.23787i,10141+0.23322i,10012+0.24155i,9761.2+0.2446i,10022+0.24054i,10254+0.24249i,9749.6+0.24597i,9378.1+0.24594i,9580.1+0.23603i,9457.1+0.23942i,9714.7+0.24766i,9461.5+0.24735i,9622.7+0.25015i,9469+0.23878i,9315.6+0.25017i,9327.7+0.24091i,9304.2+0.2453i,9203.3+0.24875i,9241.7+0.2433i,9077+0.24119i,9205.6+0.24973i,9110.2+0.24826i,9406.4+0.24718i,8953.2+0.2551i,9113.3+0.24749i,9163.7+0.24374i,9139.9+0.25089i,8866.3+0.26676i,8963+0.24903i,9039.2+0.25734i,8772.7+0.26001i,8650+0.25709i,8623.6+0.25193i,8584+0.25201i,8750.5+0.25081i,8680.6+0.26851i,8684.6+0.25743i,8490.4+0.25104i,8363.7+0.25933i,8681.9+0.26668i,8379.8+0.26869i,8256.9+0.26173i,8163.7+0.26539i,8306.8+0.26226i,8489.8+0.27495i,8353+0.27294i,8411.3+0.26236i,8141.7+0.27706i,8197+0.2764i,8311.7+0.26002i,8271.4+0.27037i,8235.2+0.2671i,8067.9+0.25945i,8192.1+0.2738i,7963.3+0.27661i,8246.1+0.2706i,7933.9+0.27894i,8473.3+0.27649i,8445.4+0.26675i,8133.7+0.27879i,7716.7+0.27946i,7828.8+0.28384i,8091.1+0.27174i,8199.7+0.27922i,7955+0.28053i,7936+0.2808i,8018.5+0.28581i,7971.4+0.28634i,8161.9+0.28285i,7871+0.27741i,7817.7+0.28412i,8040.9+0.28451i,7948.3+0.27888i,8018.9+0.27261i,7910.1+0.27921i,7970.4+0.2793i,7578.9+0.28079i,7515.8+0.27409i,8016.3+0.28717i,7688.3+0.28736i,7742.2+0.27761i,7923.7+0.29342i,7950+0.28261i,7800.4+0.29317i,7654.7+0.29236i,7576.1+0.29867i,7842.5+0.29988i,7593.2+0.29649i,7589.4+0.30213i,7569+0.29652i,7903.9+0.2885i,7386.1+0.29642i,7612.7+0.29693i,7229.6+0.30346i,7544.6+0.29984i,7507.8+0.30645i,7513.5+0.29806i,7339.5+0.30746i,7486.3+0.30442i,7347.1+0.29857i,7476.5+0.30208i,7348.6+0.31651i,7476.3+0.3008i,7274.5+0.30505i,7054.6+0.31422i,7300.8+0.29872i,7502.3+0.30538i,7325+0.3037i,7546.9+0.30615i,7389.2+0.31725i,7462.6+0.30619i,7357+0.29855i,7135.8+0.31359i,7293+0.31021i,7386.2+0.31392i,7414.4+0.31286i,7281.1+0.32762i,7572.9+0.31328i,7559.9+0.31261i,7323.5+0.32637i,7182.9+0.32634i,7465.9+0.32556i,7301.8+0.3352i,7426.6+0.33045i,7514.4+0.313i,7123.1+0.31544i,7261.2+0.33281i,7509.2+0.3225i,7503.5+0.32452i,7439.6+0.32037i,7351.7+0.32518i,7381.1+0.32801i,7130+0.3294i,7314.2+0.33778i,7274.9+0.34339i,7382.8+0.32889i,7159.9+0.32568i,7391.4+0.33904i,7371.8+0.32652i,7433.2+0.33133i,7315.3+0.34058i,7190.7+0.33218i,7309.6+0.33389i,7180.3+0.34483i,6940.3+0.34609i,7620.7+0.33406i,7504.1+0.34239i,7273+0.34326i,7360.5+0.33994i,7201.5+0.33308i,7016.9+0.3493i,7432.7+0.34777i,7080.7+0.34308i,7122.8+0.33296i,7144.2+0.35043i,7075.2+0.35705i,6962.5+0.35186i,7174.5+0.34861i,7308.6+0.33342i,7256.2+0.34476i,7141.2+0.34108i,7096.5+0.34871i,7137.8+0.35955i,7168.2+0.36236i,7394.4+0.36151i,7418.1+0.36364i,6964.4+0.35646i,7305.4+0.3819i,7190.8+0.35805i,7242.4+0.34675i,6967.3+0.35967i,7133.4+0.36197i,7154.5+0.36674i,7101.8+0.3594i,7104.8+0.36421i,7231.6+0.36166i,7115.2+0.37772i,7169.3+0.37061i,7203.3+0.37002i,7292.6+0.35652i,7066.9+0.3813i,6830.7+0.37862i,7220.6+0.36957i,7245.9+0.38401i,6988.5+0.38061i,7377.9+0.36862i,6941.1+0.3767i,6862.2+0.3789i,6852.9+0.37689i,7117.4+0.37862i,7124.9+0.38112i,6961.5+0.37477i,7471.6+0.38602i,7037.1+0.37884i,7078.2+0.37792i,7076.8+0.36997i,7076.2+0.39589i,7056.3+0.38783i,7182.1+0.39597i,7378.7+0.38875i,7289.7+0.40372i,7231.5+0.39202i,6832+0.3864i,7316.8+0.38054i,7078.5+0.39166i,7322.9+0.40479i,7036.5+0.41329i,7115.9+0.39125i,7187.2+0.39021i,6944.4+0.41352i,6987.6+0.4135i,7423.9+0.39346i,6971.8+0.40621i,7010.8+0.42234i,6764.8+0.40883i,7276.2+0.40454i,7207+0.40537i,7122.9+0.41866i,7080.5+0.41296i,7270.1+0.42709i,7185.6+0.41872i,6998.2+0.4256i,7175.7+0.4064i,7133.2+0.42625i,7084.4+0.40537i,6924.6+0.41893i,7190.8+0.41836i,7212.2+0.41559i,6780.9+0.43312i,7185.4+0.43322i,7037.9+0.41299i,7183.9+0.41282i,6857.9+0.42966i,7207.5+0.43534i,7026.7+0.43203i,7106.9+0.42818i,6886.6+0.43725i,6969+0.42893i,7069.2+0.42691i,7152.4+0.43843i,7043.8+0.44572i,6828.7+0.43672i,7027.3+0.45265i,6803.6+0.43239i,7047.4+0.45067i,7059.8+0.44868i,7002.5+0.43452i,6992.5+0.44033i,7179.8+0.44059i,7057.7+0.45412i,6862.4+0.45464i,6918.6+0.44986i,6971.3+0.457i,6936.3+0.4556i,6946.6+0.45211i,7049.2+0.47202i,7057.8+0.45942i,7186.1+0.4544i,6946.9+0.44756i,7081.3+0.46034i,6910.1+0.46461i,6915.1+0.47399i,7146.4+0.47645i,7240.4+0.48936i,6888.3+0.46255i,7041.6+0.46305i,7241.8+0.48471i,7044.5+0.47633i,7266+0.47442i
