14991+0.21186i,14645+0.21496i,14609+0.20825i,14864+0.20769i,14341+0.20782i,14445+0.21169i,14427+0.21138i,13974+0.20608i,13985+0.2014i,14028+0.21735i,14061+0.20575i,14476+0.21621i,14152+0.21088i,13916+0.20614i,14065+0.20483i,14325+0.20673i,14038+0.20914i,14154+0.21369i,13488+0.21058i,14202+0.20389i,14005+0.22233i,13788+0.21749i,13744+0.20993i,13616+0.21628i,13884+0.21323i,13935+0.21409i,13924+0.21171i,13697+0.21264i,13993+0.20732i,13467+0.20417i,13451+0.20286i,12544+0.2091i,13407+0.21469i,13961+0.21611i,13063+0.21668i,13638+0.21812i,13527+0.20918i,13520+0.20974i,13519+0.20892i,13539+0.20456i,13768+0.21453i,13227+0.21026i,13223+0.20937i,13370+0.20462i,13451+0.2149i,13219+0.21782i,13546+0.21392i,13161+0.21039i,13199+0.21399i,13228+0.21235i,12626+0.20937i,12925+0.21017i,13154+0.21786i,13264+0.21596i,13169+0.21404i,12756+0.20719i,13436+0.21061i,13487+0.21324i,13120+0.20879i,12835+0.21406i,12857+0.21802i,13424+0.21412i,12795+0.21171i,12647+0.21034i,12789+0.21898i,12481+0.21285i,12197+0.21547i,12302+0.22035i,12350+0.20695i,12657+0.2128i,12328+0.21145i,12224+0.21127i,12354+0.21351i,12501+0.21586i,12667+0.21194i,12444+0.22278i,12001+0.20766i,12204+0.21653i,11497+0.21951i,12407+0.21796i,12111+0.21737i,12229+0.21383i,12294+0.21461i,12050+0.21198i,12102+0.21713i,11452+0.21616i,11902+0.21137i,11878+0.22161i,12219+0.21508i,11745+0.22342i,12363+0.22756i,11492+0.21014i,11686+0.21493i,11582+0.22127i,11883+0.21897i,11487+0.22241i,11559+0.2216i,11263+0.22029i,11255+0.21741i,11607+0.2224i,11013+0.22659i,11129+0.21222i,11172+0.22644i,10752+0.22431i,11789+0.22401i,11080+0.21854i,11030+0.22565i,10972+0.23602i,10881+0.2266i,10754+0.21515i,10396+0.23804i,10866+0.23202i,11299+0.22499i,10833+0.22845i,10429+0.23248i,10715+0.23188i,10362+0.22548i,10532+0.22312i,10248+0.22698i,10222+0.23063i,10388+0.23423i,10425+0.24279i,10257+0.23731i,10166+0.2289i,10046+0.22911i,10327+0.22982i,9857+0.23933i,9804.8+0.24011i,9824.7+0.23341i,10076+0.23922i,9949.9+0.23773i,10082+0.23555i,9785.9+0.23049i,9559.8+0.23027i,9727.6+0.23449i,9512.7+0.2381i,9575.2+0.24366i,9708.2+0.2334i,9093+0.23558i,9365.2+0.24153i,9672.1+0.236i,9820+0.24004i,9328.6+0.23871i,8987.2+0.23674i,9457.3+0.25309i,9349.3+0.24519i,9093.3+0.2501i,9041.8+0.24692i,8942.6+0.23716i,9123.7+0.23969i,9113.4+0.25308i,9257.3+0.2459i,8931.2+0.2459i,8761+0.25005i,8837.4+0.24713i,9098.9+0.24741i,9346.9+0.2562i,8794.2+0.25591i,8948.4+0.25113i,9236.2+0.25162i,8888.8+0.25493i,8978.5+0.25373i,8469.4+0.25186i,8904.5+0.25927i,8817.1+0.25025i,8628.7+0.26298i,8498+0.25073i,8598.1+0.25734i,8449.6+0.25042i,8599.1+0.26056i,8530.6+0.2638i,8492.6+0.25508i,8330.7+0.26004i,8534.8+0.2557i,8317.2+0.26016i,8352+0.26207i,8300.2+0.26087i,8288.3+0.26447i,8420.5+0.26786i,8321.6+0.2718i,8144.1+0.26462i,8306.6+0.27148i,8215.5+0.26279i,7954.3+0.27339i,8128.5+0.26901i,7999+0.27545i,8170.4+0.26949i,8096.1+0.27358i,8199.2+0.27207i,8219.6+0.26778i,7695.3+0.26283i,7880.6+0.27861i,7620.3+0.27526i,7869.3+0.26523i,8129.4+0.28202i,7671+0.28007i,8026.6+0.27377i,7857.5+0.27111i,7904+0.28654i,7898.6+0.27354i,7805.2+0.27187i,7694.6+0.27906i,7727.6+0.28457i,7930+0.283i,7965.2+0.29138i,7770.7+0.27539i,7810.9+0.28051i,8006.1+0.28856i,7729+0.28246i,7922.3+0.28466i,7914.5+0.27675i,7616+0.27944i,7638.3+0.29058i,7756.7+0.28579i,7657.8+0.29417i,7609+0.28518i,7741.3+0.28909i,7732.8+0.28137i,7745.6+0.29989i,7384.5+0.30029i,7644.9+0.29041i,7621.1+0.29495i,7657.2+0.2974i,7574.6+0.29268i,7454.7+0.30366i,7300.2+0.29435i,7654.7+0.29738i,7481.8+0.29399i,7642.7+0.29936i,7427.7+0.30001i,7362.4+0.29017i,7461.5+0.30508i,7458.4+0.30239i,7308.8+0.29592i,7397.1+0.30629i,7192+0.29181i,7513.4+0.30689i,7341.6+0.29471i,7307.3+0.31016i,7356.3+0.29285i,7351.7+0.30077i,7283.2+0.31157i,7281.2+0.31497i,7310+0.3136i,7324.9+0.31512i,7364.2+0.3154i,7284.7+0.3172i,7434.1+0.30172i,7270+0.3084i,7208.8+0.31542i,7108.1+0.31822i,7291.2+0.30702i,7250.4+0.31372i,7130.2+0.31486i,7447+0.32259i,7476.1+0.31736i,7293.1+0.31808i,7191.8+0.31831i,7179.2+0.32438i,7461.4+0.30519i,7365.2+0.31717i,7234.1+0.31078i,7347.9+0.31765i,7295.8+0.32464i,7470+0.33045i,7211.9+0.32758i,7422.1+0.32639i,7176.3+0.32931i,6956.9+0.31606i,7224.7+0.33088i,7006.2+0.31763i,7237.4+0.31178i,7202.7+0.31485i,7094.9+0.32881i,7279.3+0.33752i,7388.1+0.33852i,7314.9+0.33227i,7279.4+0.32246i,7445.8+0.33558i,7140.2+0.34277i,7334.8+0.34618i,7146.7+0.32888i,7053.3+0.3341i,7177.1+0.34289i,7094.9+0.32466i,7312+0.3275i,7261.1+0.33665i,7093+0.33196i,7100.5+0.33125i,7303.8+0.35099i,6910.6+0.34787i,7182.9+0.34679i,7072.3+0.34407i,7069.6+0.34933i,7262.6+0.34546i,7461.3+0.34801i,7087.3+0.35506i,7324.6+0.34276i,7334.5+0.35136i,7359+0.34299i,7307.4+0.35294i,7162.2+0.35517i,7120.6+0.34521i,7179.3+0.35075i,7253.8+0.35321i,7030+0.35479i,7117+0.35531i,7143.3+0.36346i,6939.9+0.35644i,7205.3+0.37582i,7295.4+0.35717i,7314.4+0.36227i,7101.6+0.35533i,6873.4+0.36721i,6935.5+0.35837i,7343.4+0.3692i,7515.2+0.37095i,7304.3+0.36058i,7019.7+0.3647i,6988+0.37373i,6909.5+0.37796i,7012.6+0.37023i,7089.9+0.36459i,7118.3+0.37689i,7138.5+0.37421i,7142.7+0.37019i,7070.2+0.35828i,6943.4+0.39034i,6716.2+0.37832i,7009.3+0.38323i,7435.4+0.38266i,7109.2+0.36983i,6849.6+0.37147i,6963.4+0.36419i,6888.1+0.39337i,7250.3+0.38747i,7190.9+0.3867i,7219.6+0.39i,7018.2+0.38016i,7122.2+0.39696i,6990.3+0.38806i,6992+0.39789i,7010.2+0.38751i,6991.8+0.39996i,7207+0.38257i,7157.6+0.38902i,7004.1+0.39935i,7107.4+0.39311i,7267.6+0.4121i,7113.9+0.38752i,7016.3+0.39333i,7263.4+0.40507i,7032.8+0.39259i,7022.2+0.40766i,6992.7+0.41158i,7016+0.41252i,7104.7+0.4076i,7124.3+0.40072i,7021.3+0.39966i,7056.6+0.40519i,7348.5+0.4187i,7103.8+0.40517i,6985.7+0.43114i,7257.7+0.4307i,7212.6+0.41201i,7325.2+0.41081i,7459.4+0.41804i,7142+0.44525i,7423.5+0.4164i,6927.9+0.42998i,6983.1+0.42154i,6972.3+0.42541i,7102.5+0.43272i,6820.5+0.4285i,7123.7+0.42675i,6925+0.43043i,7019.4+0.43084i,7076.8+0.42918i,6910+0.45135i,7219.6+0.43472i,7148.7+0.43564i,7109.1+0.42537i,7160.7+0.43518i,7122.9+0.44484i,6982.5+0.44475i,6938.8+0.44111i,6810.2+0.4507i,7130+0.4481i,7259.8+0.44233i,6987.2+0.45452i,6925.1+0.44171i,7142.6+0.44197i,7129.5+0.45257i,7056.3+0.47145i,6818.9+0.45915i,7221.6+0.46661i,7084.5+0.48252i,6892.9+0.45409i,7166.4+0.46029i,7193.3+0.48122i,7265+0.46223i
14687+0.21922i,14854+0.20775i,14149+0.21175i,14920+0.2078i,14273+0.20372i,14076+0.21277i,14442+0.21679i,14336+0.21135i,14015+0.20787i,14008+0.21698i,14020+0.21099i,13841+0.21032i,13973+0.21517i,14777+0.21616i,14066+0.20276i,14000+0.2072i,14067+0.20998i,14110+0.21189i,14010+0.21121i,13866+0.20505i,13976+0.20319i,13896+0.21359i,13737+0.21461i,13982+0.20944i,13612+0.20727i,14219+0.20951i,13980+0.21177i,13265+0.20745i,13940+0.2138i,13606+0.2116i,14029+0.20833i,14026+0.20808i,13363+0.21525i,13336+0.20932i,13187+0.21246i,13748+0.21531i,13419+0.2058i,13081+0.2143i,13466+0.20683i,12678+0.2162i,14134+0.20827i,13575+0.21167i,12935+0.21153i,13292+0.2096i,13289+0.22024i,13077+0.21277i,13190+0.21429i,12746+0.21344i,13286+0.21494i,13006+0.22033i,12611+0.2129i,13184+0.212i,13040+0.21268i,12692+0.20909i,13004+0.21667i,12908+0.21115i,12716+0.2146i,13060+0.21601i,12987+0.20986i,12798+0.21535i,12886+0.21557i,12880+0.20881i,12670+0.21467i,12833+0.21764i,12981+0.21803i,12425+0.21169i,12982+0.20996i,12694+0.2133i,12682+0.21945i,12393+0.2118i,12187+0.20802i,11631+0.22245i,12316+0.21696i,12172+0.21426i,12313+0.21975i,12021+0.21495i,12233+0.21559i,12227+0.21511i,12376+0.21825i,12300+0.21778i,11632+0.21958i,11961+0.21593i,12122+0.20905i,11655+0.21831i,12007+0.2224i,11787+0.22232i,11891+0.21907i,11633+0.22389i,11414+0.21096i,12164+0.22105i,11914+0.21998i,12122+0.21791i,12217+0.22721i,11976+0.21947i,11664+0.22529i,11617+0.21506i,11500+0.21628i,11378+0.22306i,11629+0.2211i,11657+0.2158i,11436+0.23382i,10984+0.22287i,11150+0.21577i,11077+0.22282i,11323+0.22433i,11342+0.22034i,10778+0.22879i,10748+0.23052i,10949+0.22485i,11125+0.21342i,10871+0.2242i,10480+0.23542i,10849+0.23164i,10595+0.22572i,10523+0.22353i,10914+0.22159i,10404+0.22775i,10258+0.23392i,10177+0.22448i,10454+0.22705i,10377+0.22437i,10356+0.23581i,10588+0.23947i,10326+0.23112i,10308+0.22132i,10177+0.23014i,10016+0.23444i,10444+0.23745i,9734.4+0.23271i,9900.2+0.24102i,9786.4+0.23252i,9903.5+0.23988i,9918.1+0.2426i,9809.5+0.23682i,9915.2+0.24632i,10156+0.24666i,9822.3+0.23054i,9544.6+0.25055i,9578.2+0.24129i,9823.8+0.24236i,9522.6+0.24765i,9193.2+0.23895i,9521+0.24188i,8858.7+0.23254i,9321.8+0.24459i,9194.1+0.24767i,9254.6+0.25i,9455.6+0.24056i,8966.5+0.24516i,9151.2+0.24907i,9298.1+0.2433i,9009.8+0.23632i,9256.8+0.24718i,8935.4+0.2422i,8956.3+0.25408i,8965.6+0.25009i,8842.9+0.24667i,8707.1+0.24936i,9128.4+0.24989i,8647.6+0.26217i,9093.4+0.25352i,8882.8+0.24894i,8837+0.24805i,8647.6+0.25408i,8721.1+0.2526i,8400.1+0.26095i,8343.7+0.25522i,8464.3+0.2558i,8181.1+0.26098i,8351.4+0.26162i,8448.7+0.25487i,8666.5+0.2613i,8330.4+0.26367i,8346.1+0.26489i,8183.9+0.26595i,8566.7+0.25837i,8251.8+0.26549i,8415.7+0.27025i,8157+0.27007i,8063.2+0.25789i,8268.7+0.26924i,8372.4+0.27517i,8347+0.26616i,8170.5+0.27065i,7963+0.27281i,7944+0.27815i,8205.6+0.26351i,8154.6+0.26999i,7986.5+0.27376i,8065.9+0.26775i,7966+0.27823i,7910.5+0.27277i,8290.9+0.26897i,7903.2+0.26188i,7545.7+0.26835i,7719.2+0.27647i,8066.7+0.274i,8081.5+0.27944i,7864+0.27655i,7669+0.28582i,7764.8+0.26996i,7805.7+0.27936i,7747.7+0.27186i,7898.7+0.27711i,8026.7+0.28479i,7996.2+0.28137i,8202.8+0.28863i,7344.3+0.29061i,7848.6+0.27989i,7656.3+0.27796i,7799.8+0.27517i,7889.4+0.29091i,7790.2+0.28022i,7914.8+0.28825i,7718.5+0.29063i,7875.3+0.28409i,7429.9+0.28971i,7661.1+0.28558i,7320.6+0.28867i,7699.3+0.2828i,7572.4+0.29171i,7599.3+0.28313i,7470.9+0.28529i,7539.6+0.29595i,7702.7+0.28608i,7628.5+0.29037i,7645.9+0.31046i,7403+0.28533i,7461.9+0.29955i,7369.4+0.29572i,7790+0.30205i,7316.7+0.28706i,7537.1+0.29599i,7436.2+0.29273i,7196.1+0.28855i,7460.1+0.30641i,7382.4+0.29776i,7372.2+0.31338i,7311.6+0.29507i,7306.6+0.30321i,7561.6+0.31001i,7087.8+0.30293i,7240.5+0.30635i,7116.7+0.30722i,7366.2+0.30642i,7380.5+0.30424i,7728.5+0.32603i,7582.8+0.30736i,7229.6+0.30459i,7231.6+0.31169i,7500.6+0.30431i,7123.5+0.31514i,7379.9+0.31551i,7272.3+0.31078i,7391.4+0.31187i,7078.8+0.31871i,7142+0.31955i,7190.7+0.32174i,7434.1+0.31539i,7213.5+0.31837i,7123.6+0.31043i,7197.9+0.32176i,7334.1+0.3178i,7193.2+0.32275i,7355.2+0.33199i,7493.6+0.31931i,7280.8+0.32834i,7402.4+0.32637i,6983+0.31309i,7258.7+0.32328i,7189.6+0.31825i,7361.3+0.31786i,7551.7+0.33453i,7167+0.33182i,7211.1+0.33524i,7125.3+0.32649i,7293+0.32578i,7398.9+0.34449i,7357+0.32983i,7443.7+0.33983i,7001.1+0.33192i,7142.8+0.33356i,7137.7+0.33599i,7104.4+0.34258i,7356.2+0.34242i,7225.5+0.34371i,7388.6+0.33361i,7002+0.3424i,7062.8+0.34209i,7116.5+0.34805i,6942.7+0.34057i,7261.4+0.34397i,7334.5+0.33686i,7130.7+0.34808i,7147.1+0.33925i,7379.4+0.33868i,7310.3+0.35094i,7079.1+0.35197i,7147.7+0.3457i,7259.8+0.35252i,7309.7+0.36051i,7314.9+0.35065i,7110.3+0.35091i,7115.2+0.3534i,7348.4+0.34874i,7092.3+0.36587i,7311.9+0.35446i,7077.9+0.35625i,7028.9+0.36184i,7059.4+0.36243i,7307.6+0.35989i,7222.9+0.3569i,7027.5+0.36502i,7258+0.3647i,7074.1+0.36177i,6974.8+0.36551i,7491.3+0.36642i,7247.4+0.37631i,7232.9+0.3571i,7213.9+0.37838i,6885.8+0.37016i,7352.1+0.39083i,6901.1+0.38701i,7104.1+0.38539i,7233.9+0.37663i,7148.6+0.37419i,7268.7+0.36774i,7111.1+0.3619i,6987.2+0.36941i,7167.4+0.3888i,7099.1+0.39018i,7185.7+0.36106i,6778.6+0.36659i,6978.1+0.37137i,7021.4+0.38267i,7080.3+0.38185i,7106.9+0.37571i,7337.4+0.38737i,7172.8+0.3803i,7117.1+0.3984i,6960.3+0.38371i,6906+0.3901i,6973.7+0.39743i,6945.1+0.40647i,7078.2+0.40735i,7027.9+0.38831i,7158.4+0.40249i,6990.8+0.38722i,7433.2+0.40019i,7331.6+0.39926i,6994.4+0.40635i,6845.3+0.4028i,7270.2+0.40931i,7177.2+0.40263i,6977.5+0.41135i,7282.3+0.39777i,7125.3+0.39542i,7023.3+0.40548i,7184.9+0.40665i,7028.3+0.42909i,7125.8+0.41407i,7081+0.39527i,7139.9+0.42088i,7148.3+0.42255i,7008.7+0.4042i,6979.7+0.41331i,7064.7+0.41048i,6992.4+0.4242i,7067.7+0.43111i,6919+0.41799i,7303.9+0.42464i,7230+0.42435i,7237.1+0.42908i,7223.2+0.42587i,7072.3+0.42857i,7300.7+0.43478i,7299.8+0.43171i,7079.1+0.43834i,7249+0.43687i,7107.6+0.43384i,7058.6+0.43842i,7152.4+0.4342i,6754.3+0.43085i,7119.9+0.43598i,7031.1+0.44152i,6883.2+0.4412i,6956.2+0.44838i,6906.5+0.4477i,7041.9+0.45186i,7108.6+0.457i,6880.9+0.45491i,7013.1+0.44727i,7070+0.46239i,6945.2+0.45791i,7269.7+0.45884i,7220.4+0.4632i,6711+0.46463i,6741.8+0.45226i,6909.8+0.46728i,6968.3+0.47558i,6990.5+0.47693i
14455+0.20917i,14558+0.21407i,15242+0.20942i,14398+0.21287i,14368+0.21469i,14151+0.20884i,14550+0.20968i,14329+0.20725i,14572+0.21064i,13802+0.21532i,14067+0.20761i,14440+0.20863i,13769+0.21294i,14198+0.20196i,14142+0.21336i,13936+0.20673i,13373+0.21132i,13620+0.21435i,13959+0.2061i,13890+0.21337i,13810+0.21197i,13728+0.21635i,13685+0.20711i,13832+0.21066i,13799+0.21011i,13874+0.21676i,13672+0.21055i,13872+0.20455i,13900+0.20869i,13753+0.21238i,13995+0.21367i,12920+0.20706i,13764+0.2094i,13373+0.20583i,13087+0.20391i,13708+0.21564i,13401+0.21277i,13261+0.20987i,13295+0.20349i,13472+0.21083i,13604+0.20964i,13386+0.20347i,13329+0.2176i,13167+0.21382i,13004+0.21634i,13145+0.21077i,12914+0.20838i,13243+0.21235i,13436+0.20581i,13244+0.21628i,13249+0.20693i,12927+0.21622i,13194+0.2199i,13039+0.21183i,12610+0.21223i,12837+0.21483i,13455+0.2155i,12815+0.21263i,13125+0.21223i,13084+0.21635i,12876+0.21829i,13023+0.21465i,12908+0.21892i,12671+0.21533i,12781+0.20896i,12569+0.21207i,12438+0.20947i,12897+0.215i,12394+0.21665i,12230+0.21518i,12437+0.21989i,12593+0.22382i,12466+0.21259i,12395+0.21466i,12112+0.21678i,11904+0.22443i,12341+0.22091i,12285+0.21921i,12572+0.21357i,11766+0.2149i,11931+0.22291i,12205+0.21544i,12125+0.22347i,11962+0.22231i,11841+0.21743i,12104+0.22743i,11905+0.21674i,11945+0.22526i,11705+0.21639i,11440+0.22586i,11842+0.21501i,11346+0.21831i,11724+0.23168i,11265+0.22428i,11811+0.21541i,11075+0.22658i,11414+0.22165i,11185+0.22353i,11567+0.23369i,11389+0.21598i,11240+0.22325i,11086+0.22275i,11363+0.21957i,10864+0.22234i,10714+0.23472i,10595+0.22861i,10759+0.22847i,11160+0.23263i,10510+0.23039i,10868+0.2299i,10982+0.22247i,10886+0.22975i,10875+0.22444i,10448+0.22986i,10981+0.22626i,10405+0.23181i,10679+0.21868i,10553+0.222i,10040+0.23388i,10492+0.2243i,9957+0.22971i,9969.1+0.23256i,10226+0.23144i,10295+0.23534i,10020+0.23006i,9980.9+0.23511i,10192+0.23709i,10299+0.22551i,10335+0.22883i,9977.7+0.2371i,9904.8+0.23835i,9925.8+0.23136i,10233+0.24255i,10153+0.23862i,9736.8+0.23315i,9429.8+0.24615i,10204+0.23162i,9792.9+0.23447i,9445.8+0.24593i,9551.2+0.2387i,9520.7+0.24996i,9645.1+0.24335i,9586.7+0.24523i,9511.1+0.24385i,9536.3+0.24677i,9499.7+0.25691i,9635.6+0.2356i,9096.1+0.24789i,9283.1+0.2505i,9330.4+0.24596i,9166.5+0.23884i,9227.6+0.24563i,9168.9+0.24278i,9086.5+0.24638i,9008+0.24249i,8529.5+0.24929i,9072.4+0.25058i,8642.7+0.25547i,8588.6+0.25448i,8864.1+0.25284i,8662.4+0.24805i,8414+0.25352i,8698.8+0.2598i,8832.8+0.25067i,8521.9+0.25892i,8606.3+0.25329i,8468.3+0.26622i,8594.2+0.26474i,8424.2+0.25916i,8227.1+0.25834i,8561.7+0.25778i,8397.6+0.25789i,8514.4+0.26236i,8119.5+0.25087i,7935.3+0.26314i,8940.6+0.25339i,8449.2+0.25932i,8109.4+0.26237i,8302.8+0.25955i,8419.6+0.26629i,8069.4+0.2554i,8404.2+0.25856i,8373.1+0.26028i,7755.2+0.27231i,8382.9+0.26332i,8055.1+0.26391i,8024.4+0.26575i,8084.7+0.27517i,8148.7+0.27094i,7964.6+0.28081i,7855.6+0.26737i,8062.8+0.2714i,7844.7+0.26792i,8019.1+0.26191i,7885.4+0.27369i,7726.6+0.27471i,7857.9+0.27456i,7651.6+0.27416i,7763.9+0.27192i,7783.5+0.28187i,8046.1+0.26775i,7966.7+0.26661i,7773.2+0.27748i,7695.6+0.28706i,7904.8+0.2818i,7969.9+0.29045i,8119.8+0.27837i,7845.4+0.28563i,7887.1+0.29309i,7624.9+0.28062i,7812.8+0.28857i,7886.4+0.26263i,7617.4+0.27802i,7748.1+0.28765i,7703.7+0.29283i,7599.8+0.2805i,7368.8+0.27744i,7540.3+0.29112i,7619+0.2977i,7524+0.29765i,7710.8+0.29476i,7278.9+0.29501i,7620.5+0.3047i,7523+0.30354i,7556.3+0.28751i,7686.5+0.29481i,7343.9+0.29358i,7412.5+0.29878i,7686.9+0.29937i,7606+0.30171i,7392+0.29682i,7335.1+0.30753i,7537.9+0.30651i,7410.4+0.30124i,7067.7+0.29766i,7569+0.30218i,7363.6+0.29548i,7402.5+0.30661i,7471.3+0.31136i,7473.3+0.29957i,7374.3+0.30696i,7391.1+0.30306i,7330.1+0.31138i,7080.9+0.31004i,7201.1+0.29943i,7299.7+0.31481i,7505.6+0.3173i,7401.4+0.30943i,7144.2+0.32227i,7406.4+0.30872i,7609.6+0.31746i,7314.1+0.30953i,6996.3+0.31535i,7115.6+0.31045i,7144.4+0.3221i,7649.2+0.31738i,7128.3+0.31962i,7529.6+0.32313i,7219.4+0.32157i,7070.5+0.32104i,7349.1+0.32037i,7488.9+0.31982i,7093+0.33303i,7337.6+0.30504i,7223.3+0.33519i,7268.1+0.32153i,7638.4+0.32383i,7023.9+0.32512i,7387.4+0.317i,7212.7+0.32426i,6930+0.3258i,7542.3+0.3215i,7129+0.32536i,7335.9+0.32439i,7207.1+0.33528i,7183.2+0.32881i,7200.2+0.33856i,6962.4+0.3354i,7163.3+0.35077i,7305.1+0.3274i,7267.6+0.33916i,7280.2+0.33309i,6941.9+0.3376i,7229.2+0.34297i,7091.6+0.33878i,7129.6+0.35159i,7138.4+0.3489i,7320.4+0.33539i,7234.9+0.33603i,7209.8+0.34493i,7134.3+0.3221i,7018.9+0.33982i,7312.3+0.34749i,7191.6+0.34945i,7105.4+0.33439i,7267.6+0.3535i,7164.7+0.35107i,7186.1+0.34021i,7263.5+0.35273i,7397+0.36719i,7147.4+0.36156i,7028.5+0.35525i,6948.6+0.361i,7292.2+0.35721i,7123.4+0.35268i,7055.3+0.35395i,7124.1+0.35788i,7114.4+0.33742i,6854.3+0.34976i,6879.8+0.35827i,7446+0.36063i,7264.7+0.35634i,7007.3+0.35578i,7030.4+0.35803i,7141.1+0.36802i,7053.9+0.36297i,7205.1+0.37085i,6892.1+0.36905i,6842.8+0.37228i,7294.2+0.3558i,7323.7+0.37246i,7329.8+0.35507i,7079+0.38072i,7043.4+0.36286i,7078.4+0.37531i,7122.2+0.38654i,7306.6+0.37976i,7072.9+0.37673i,6904.7+0.36978i,7170.5+0.37821i,6980.2+0.37878i,7176.1+0.38521i,7036.8+0.38178i,7352.1+0.36517i,7083.4+0.37422i,7078.1+0.39234i,7112.7+0.37978i,7138.9+0.39568i,7264.3+0.37771i,6981+0.39108i,7042.2+0.38472i,7095.1+0.3823i,7257.6+0.39327i,7289.6+0.39647i,7068.2+0.38502i,7238.4+0.39918i,6983.5+0.39589i,7094.1+0.39104i,7143.4+0.40081i,7183.8+0.40077i,7148.1+0.40914i,7197.5+0.3974i,7259.8+0.40781i,7060.3+0.41683i,7120.7+0.40744i,7017.6+0.4046i,7129.9+0.41646i,7235.4+0.41225i,7082.3+0.40672i,7256+0.42411i,7030.6+0.41197i,7085.1+0.41591i,7124.6+0.4095i,7226.1+0.41907i,7127.7+0.41071i,7047.5+0.41925i,7205.9+0.42728i,7069+0.42376i,7053.3+0.43365i,7137.8+0.41619i,7047+0.41126i,7197.8+0.43054i,7154.3+0.44179i,7136.3+0.42627i,7213+0.44597i,6964.3+0.42392i,6918.1+0.42756i,7058.7+0.43474i,7140.1+0.43402i,7218.5+0.43624i,7114.4+0.43783i,7016.5+0.42931i,6926.3+0.45023i,7009.2+0.43544i,7266.6+0.44785i,6660.6+0.44334i,7076+0.44284i,7082.5+0.45634i,7056.3+0.44877i,6722.9+0.44967i,6836.5+0.45956i,7034.1+0.45184i,6966.9+0.45995i,6906.8+0.46732i,7450.6+0.45028i,7228.4+0.46054i,7243.6+0.45917i,6844.6+0.4559i,7162.3+0.46643i,6911.4+0.45315i,6990.5+0.46159i
