14339+0.20671i,14846+0.19999i,14822+0.21136i,14153+0.20542i,14504+0.21217i,14052+0.20681i,14179+0.20854i,14806+0.21309i,14698+0.21409i,14176+0.21487i,14516+0.20212i,13699+0.20843i,14045+0.2082i,13861+0.20985i,14260+0.2119i,14063+0.21188i,13763+0.20837i,13834+0.20965i,13993+0.21622i,13928+0.21212i,13799+0.20585i,14353+0.20821i,13841+0.20857i,13738+0.21169i,13792+0.20897i,13553+0.20935i,13568+0.21532i,13547+0.21788i,13642+0.22292i,13855+0.20934i,13596+0.20894i,14133+0.21797i,13327+0.20815i,13333+0.21146i,13615+0.2163i,12911+0.2085i,13220+0.21688i,13632+0.21054i,13356+0.21055i,13196+0.20893i,12939+0.21917i,13270+0.21507i,13149+0.20819i,13124+0.21066i,13329+0.20126i,12932+0.21059i,12896+0.20807i,13130+0.21324i,13293+0.21305i,12607+0.221i,12822+0.21052i,12894+0.20911i,12381+0.2075i,12627+0.21151i,12937+0.21484i,12831+0.20961i,13066+0.20705i,12389+0.21885i,12949+0.21313i,13116+0.21513i,12592+0.21638i,12585+0.216i,12244+0.22138i,12726+0.21216i,13077+0.21299i,12417+0.21356i,12353+0.2129i,12705+0.20964i,12370+0.21994i,12435+0.21981i,12367+0.20763i,12248+0.21096i,12309+0.21378i,12352+0.21573i,12169+0.21945i,12231+0.21672i,12092+0.22011i,12034+0.21258i,11674+0.21286i,12162+0.22028i,11991+0.21741i,12006+0.2169i,11546+0.21782i,11950+0.20778i,11828+0.21646i,11823+0.21578i,11347+0.22323i,12008+0.2157i,11737+0.21992i,12074+0.22027i,11708+0.21739i,11791+0.2185i,11404+0.22414i,11666+0.21725i,11020+0.21992i,11399+0.20629i,11093+0.22113i,11432+0.22053i,11754+0.21961i,11551+0.2218i,10984+0.22351i,11511+0.22015i,11149+0.22832i,11235+0.22475i,10663+0.22444i,10846+0.22823i,11077+0.22567i,10550+0.22342i,10492+0.2208i,11117+0.22238i,10686+0.22934i,10732+0.22038i,10860+0.21841i,10698+0.23018i,10492+0.21983i,10669+0.22849i,10431+0.2365i,10521+0.23063i,10131+0.2286i,10323+0.22761i,10080+0.23505i,10135+0.23109i,9989.1+0.22577i,9817.4+0.23324i,10171+0.23203i,10265+0.22897i,10246+0.22611i,9824+0.22706i,9747.3+0.23774i,9637.5+0.25058i,10140+0.24026i,9944.9+0.22895i,9632.2+0.2341i,9625.6+0.23285i,9634.5+0.23329i,9943.7+0.23463i,9509.5+0.23853i,9698.2+0.23795i,9757.5+0.23935i,9646.5+0.24473i,9576.2+0.23856i,9338.4+0.239i,9668.7+0.24032i,8990.2+0.23506i,9497.6+0.23075i,8804.4+0.24681i,9360.2+0.23852i,9142.8+0.24087i,9219.7+0.24739i,9048+0.25355i,9003.8+0.24514i,8849+0.2478i,9099.4+0.24531i,8953.6+0.24186i,8859.2+0.24682i,8985.6+0.24861i,9224.2+0.24882i,8997.8+0.25791i,8890.4+0.2528i,8547.9+0.24493i,8822+0.24695i,8684.8+0.25367i,8869.2+0.24493i,8412.6+0.25044i,8302.3+0.24984i,8462.3+0.26154i,8569.2+0.25792i,8778+0.25025i,8081.5+0.25328i,8369.8+0.24976i,8442.3+0.25832i,8396.8+0.25651i,8470.8+0.25432i,8412.4+0.25584i,8501.9+0.25257i,8275.1+0.26691i,8644+0.25435i,8179.2+0.26643i,8348.2+0.25467i,8204.2+0.26203i,8513.3+0.25621i,8402.3+0.26748i,8061.4+0.25871i,8238.9+0.26285i,7895.6+0.27242i,7950+0.28089i,8103.7+0.27051i,8049+0.2659i,8056.5+0.27074i,7638.3+0.27773i,7823.3+0.26549i,7864.8+0.27364i,8166.9+0.27166i,7615.6+0.27529i,7998.1+0.27384i,7917.2+0.27828i,8018.4+0.26479i,7700.3+0.27719i,7884.5+0.27746i,7639.9+0.27119i,7966.7+0.27778i,7601.9+0.27779i,7797.2+0.28057i,7535.7+0.27231i,8065.7+0.28163i,7635.3+0.28983i,7476.5+0.2797i,7406.9+0.2774i,7617.3+0.2761i,7659+0.2864i,7521.6+0.29421i,7678.1+0.28363i,7361.2+0.27581i,7396.9+0.28913i,7729.4+0.29274i,7510.7+0.29136i,7854.1+0.27468i,7728.1+0.28895i,7476.9+0.2785i,7305.5+0.28177i,7634.6+0.28658i,7482.8+0.29283i,7283+0.29239i,7654.6+0.29799i,7425.4+0.2873i,7571.1+0.29437i,7720.9+0.29131i,7363+0.28341i,7566.7+0.28926i,7482.4+0.29963i,7454.5+0.28993i,7583.1+0.30798i,7627.2+0.29908i,7323+0.28005i,7231.7+0.29507i,7478.3+0.29531i,7395.6+0.30125i,7625.2+0.30497i,7486.7+0.29401i,7370.3+0.30901i,7397.4+0.29284i,7218.4+0.28696i,7418.2+0.3041i,7316.2+0.30667i,7658.9+0.31547i,7237.2+0.29833i,7074.1+0.29186i,7276.6+0.31284i,7597.5+0.3091i,7196+0.31352i,7308.1+0.31503i,7387.6+0.31425i,7351+0.29907i,7034.5+0.30512i,7021.6+0.30692i,7366.9+0.31234i,7113.9+0.31674i,7249.8+0.30986i,7110.5+0.32033i,7132.4+0.30436i,6984.5+0.31499i,7383.6+0.31975i,7075.8+0.32135i,7232.3+0.30607i,7388+0.31567i,7261.1+0.3246i,7293.1+0.30713i,7280.2+0.32564i,7376.7+0.30847i,7125.7+0.33384i,7241.5+0.32821i,7150.3+0.32653i,7094.7+0.3184i,7091.5+0.31836i,7094.3+0.32574i,7094.9+0.32664i,7178.7+0.32645i,7541.4+0.31826i,7235.5+0.32293i,7223.9+0.33597i,7511.3+0.32803i,7184.7+0.31562i,7018.6+0.32635i,7177.4+0.32726i,7247.8+0.34577i,7245.7+0.32732i,7361.8+0.33645i,7167.6+0.32497i,7278.3+0.32867i,7401.2+0.33058i,7163.8+0.32712i,7121+0.35146i,6815.8+0.33655i,7086.7+0.33152i,7038.5+0.34598i,7401.3+0.33874i,7116.5+0.33429i,7174.4+0.3477i,7183+0.35566i,7134.8+0.3363i,7089.1+0.33345i,7081.5+0.33825i,7213.7+0.35094i,7280.3+0.34436i,7238.6+0.35838i,6940.4+0.34407i,7099.2+0.35603i,7315.8+0.34206i,7052+0.35251i,7122+0.34984i,6796.2+0.36775i,7155.6+0.36175i,7277.3+0.35731i,7158.2+0.35623i,7163+0.36644i,7082.6+0.35541i,7187.8+0.34626i,7286.1+0.35442i,7309.3+0.37276i,7173.7+0.36505i,7143+0.36672i,7106.2+0.35986i,7152.9+0.3566i,7109.1+0.36237i,7106+0.36793i,7236+0.36219i,7259.5+0.37443i,7238.5+0.36696i,7104.2+0.3744i,6840.7+0.37374i,7051+0.35209i,7273+0.37905i,7331.2+0.37653i,7018.8+0.38473i,7276.6+0.37719i,7322.6+0.38129i,7367.4+0.37254i,7091.3+0.36721i,7081.6+0.37683i,7067.2+0.38536i,6969.4+0.37622i,7056.9+0.39347i,7132+0.39701i,7135.5+0.40185i,7138.2+0.38745i,7191.2+0.3922i,7284.8+0.39982i,7176.9+0.39512i,6855.9+0.38129i,7229+0.39489i,6917.8+0.402i,7264.9+0.39142i,7248.6+0.39346i,7050.4+0.40063i,7282.1+0.39476i,7227.8+0.39324i,7311.6+0.40136i,7300.2+0.38993i,7107.9+0.39633i,7095.4+0.39844i,7118.2+0.41449i,7004.2+0.3972i,6985.1+0.41281i,7333+0.41587i,6879.3+0.40795i,7428.3+0.40116i,7335.9+0.40505i,7213+0.3943i,7088.1+0.40681i,6999.7+0.39981i,6971.6+0.40523i,7227.7+0.4068i,7278.5+0.40865i,7093.8+0.41511i,6926.5+0.4217i,7063.9+0.427i,7128.3+0.41515i,7246.7+0.40982i,7050.9+0.42779i,7046.2+0.41516i,7382.3+0.4239i,6981.2+0.43134i,6884+0.42685i,7206.1+0.43424i,6981.7+0.42803i,7040.3+0.4298i,6919+0.43435i,7050.1+0.43812i,7011.8+0.43489i,7027.9+0.4359i,6915.7+0.42897i,7087.1+0.44197i,7085.2+0.44002i,7219.6+0.44972i,7051.9+0.46476i,7211.8+0.45518i,7158+0.44155i,6976.6+0.45583i,7074+0.44812i,6783.7+0.45255i,7076.7+0.44577i
14678+0.21466i,14742+0.20948i,14433+0.21298i,14469+0.20608i,14118+0.21101i,14689+0.20834i,14098+0.20548i,14270+0.21381i,14144+0.20794i,14458+0.209i,14342+0.2134i,14126+0.20767i,14528+0.21593i,14027+0.20983i,14261+0.20659i,14087+0.20723i,13817+0.21381i,13908+0.21382i,13799+0.20585i,13887+0.21395i,13732+0.20592i,14050+0.20298i,13467+0.20585i,13524+0.20801i,13579+0.21144i,13920+0.21605i,13816+0.21086i,13344+0.20997i,13174+0.21148i,13554+0.212i,13478+0.21644i,14032+0.21431i,13383+0.20659i,13414+0.21253i,13433+0.21066i,13764+0.21014i,13155+0.20964i,13148+0.21116i,13349+0.21599i,13594+0.20395i,13049+0.20153i,13185+0.2097i,13444+0.20948i,13214+0.21261i,13391+0.2178i,13387+0.21079i,13283+0.21711i,12766+0.21333i,13282+0.2137i,12744+0.22331i,13337+0.2115i,13020+0.2193i,12774+0.21073i,13018+0.20816i,12631+0.21294i,13188+0.21663i,13387+0.21219i,12640+0.21654i,12918+0.21547i,12692+0.2128i,12616+0.21135i,12255+0.21374i,12593+0.20634i,12289+0.21408i,12466+0.20871i,12583+0.21995i,12313+0.22049i,12663+0.21492i,12422+0.21717i,12707+0.22068i,12132+0.21307i,12500+0.21189i,12282+0.20476i,12670+0.21547i,12427+0.21868i,12391+0.22074i,11935+0.21861i,12367+0.21811i,11961+0.20816i,12591+0.21455i,12188+0.21529i,12372+0.20606i,11943+0.21431i,11688+0.21696i,12002+0.21177i,12035+0.22238i,12086+0.21695i,11510+0.22645i,11771+0.22396i,11769+0.2173i,11475+0.21928i,11682+0.21352i,11543+0.22942i,11531+0.22589i,11571+0.22089i,11461+0.22066i,11548+0.21557i,11725+0.22368i,11302+0.21825i,10835+0.23071i,11134+0.22065i,10923+0.23283i,11422+0.2242i,11324+0.21576i,11473+0.22041i,11375+0.22177i,11033+0.22942i,10996+0.23065i,10923+0.23028i,10794+0.22548i,10524+0.22452i,10378+0.22697i,10728+0.22562i,10562+0.21946i,10615+0.22318i,10518+0.23346i,10309+0.22908i,10759+0.22914i,10631+0.2279i,10576+0.22554i,10293+0.23638i,10503+0.22908i,10018+0.22898i,10111+0.23499i,10138+0.23002i,10124+0.23001i,9840.6+0.23074i,9880.9+0.23499i,10039+0.22812i,9676+0.23176i,9863.6+0.23915i,10008+0.24502i,9333.1+0.23876i,9327.1+0.22756i,9406.2+0.23098i,9625.8+0.24125i,9714+0.23482i,9659+0.23379i,9607+0.2318i,9439.4+0.24819i,9179.1+0.245i,9473.3+0.23947i,9240.9+0.244i,9477.2+0.24387i,9091.9+0.23585i,9188.1+0.24068i,9151.5+0.24333i,9160.6+0.23945i,9193.8+0.23821i,9540.8+0.24464i,8851.1+0.2501i,9249.8+0.24391i,8841.6+0.24537i,8978+0.25058i,8873.3+0.24809i,8814.7+0.24888i,9058.2+0.2526i,8990.7+0.25063i,8674+0.24752i,8814.4+0.24989i,8521.6+0.24679i,8476.3+0.25276i,8378.3+0.24814i,8457+0.25241i,8452.1+0.25187i,8896.5+0.25923i,8791.1+0.25224i,8530.1+0.26521i,8293.1+0.25833i,8497.4+0.26591i,8657.4+0.25859i,8515+0.25255i,8622.8+0.26369i,8173.4+0.25812i,8152.6+0.25941i,8341.8+0.27307i,8592.6+0.25872i,8272.8+0.26802i,7984.9+0.26165i,8205.6+0.26468i,8130.4+0.26798i,8154+0.2647i,7969.1+0.26581i,8219+0.2597i,8307.3+0.26128i,8127.7+0.27358i,8098.5+0.26689i,8032.5+0.26673i,7967.3+0.27149i,7817.5+0.27092i,8089.2+0.27235i,7868.9+0.2776i,7927.5+0.25898i,7906.9+0.2753i,7930.1+0.27592i,7830.4+0.27159i,8097.8+0.28092i,7657.6+0.26652i,7478.2+0.27948i,7773.7+0.2693i,7668.5+0.27757i,7883.8+0.27791i,7650+0.27921i,7599.1+0.27491i,8037.1+0.27857i,7632.8+0.27504i,7435.4+0.28565i,7747.3+0.27426i,7770.8+0.27968i,7567.4+0.26415i,7821.1+0.27964i,7401.6+0.28013i,7691+0.29236i,7379.4+0.2751i,7624.7+0.2772i,7564.7+0.29079i,7867.1+0.28776i,7679.4+0.28896i,7726.4+0.28195i,7312.7+0.29168i,7753.7+0.28692i,7446.8+0.29516i,7427.3+0.28749i,7743.9+0.29376i,7575.2+0.28678i,7758.7+0.29151i,7805.6+0.29512i,7704.1+0.30014i,7471.9+0.28823i,7492.9+0.29544i,7655.8+0.29071i,7277.3+0.29449i,7547.1+0.29279i,7538.6+0.2966i,7349.2+0.28947i,7488.2+0.30605i,7563.4+0.30657i,7406.4+0.29713i,7401.2+0.29848i,7321.5+0.30703i,7296.4+0.29935i,7490.4+0.30674i,7109.2+0.30774i,7309.6+0.30199i,7316.8+0.30752i,7419.4+0.30691i,7647.4+0.29584i,7348.6+0.31095i,7410.4+0.3149i,7512.6+0.28913i,7417.5+0.29263i,7171.4+0.30348i,6972.2+0.31247i,7134.1+0.31097i,7510.9+0.31435i,7315.2+0.31122i,7362.2+0.32105i,7298.7+0.31713i,7304.1+0.30856i,7565.5+0.30593i,7190.4+0.31125i,7174.2+0.3185i,7294.8+0.31974i,7423+0.32083i,7085.4+0.32036i,7404.3+0.32696i,7176+0.31638i,7339.7+0.32404i,7233.9+0.3192i,7287.4+0.32435i,7365.4+0.32786i,7568.6+0.31687i,7385.6+0.3188i,7257.8+0.33701i,7262.8+0.3343i,7257.8+0.32162i,7256.8+0.31555i,7256.8+0.32677i,7313.6+0.32218i,7102.8+0.34013i,7151.8+0.31811i,7260.8+0.31288i,7135.9+0.3244i,7158.7+0.33277i,6997.7+0.31359i,7138.7+0.33015i,7133.1+0.3378i,7305.6+0.33717i,7152.4+0.3359i,7376.6+0.33584i,7267.4+0.34164i,7202.3+0.33921i,7251.2+0.34509i,7317.6+0.33297i,6991.5+0.34836i,7084.9+0.35061i,7056.8+0.33921i,7164.9+0.34141i,7239.1+0.35008i,7042.2+0.34817i,7282.9+0.36054i,7084+0.36055i,7275.8+0.34784i,7318.8+0.3506i,7189.1+0.34876i,7168.6+0.33192i,7312.5+0.35719i,7370.1+0.34446i,7056.2+0.356i,7088.6+0.35377i,7065.2+0.35417i,7300.6+0.36262i,7084.5+0.35799i,7238.5+0.3533i,7138.2+0.34874i,7211.4+0.35196i,7442.7+0.36119i,7090.9+0.36943i,7033.2+0.36523i,7409.4+0.3575i,7015+0.36354i,7015.4+0.36141i,7029.3+0.36154i,7263.5+0.35689i,6878.2+0.35933i,7017.5+0.3657i,7084.2+0.37012i,7040+0.37066i,7159.1+0.36321i,7127.5+0.37833i,7105.8+0.37276i,7050.1+0.36577i,6898.3+0.3768i,7106.4+0.37564i,7180.6+0.38268i,7024.9+0.37055i,6913.5+0.37377i,7024.6+0.36269i,7086.6+0.3751i,6921.2+0.39547i,6783.7+0.38107i,7253.3+0.39641i,7109.4+0.37914i,7250.6+0.39077i,7265.6+0.39126i,7224.1+0.38413i,6875.7+0.38125i,6998.9+0.39626i,7064.3+0.39596i,7170.5+0.39072i,7110.5+0.39077i,7088.9+0.39146i,6858.2+0.40003i,6987+0.38836i,6838.5+0.39057i,7217+0.395i,7060.5+0.39793i,7010.3+0.3976i,6957.9+0.413i,7116.9+0.40025i,7168.9+0.41833i,7168.2+0.41214i,7166.9+0.40027i,6962.9+0.40121i,6979.1+0.40211i,7188.9+0.41301i,7116+0.40896i,6933.2+0.41805i,7138.9+0.41964i,7256.5+0.40352i,7164.7+0.40936i,6970.7+0.40936i,7086.1+0.40771i,7015.1+0.41766i,6966.2+0.41586i,7018.9+0.43808i,6978.1+0.42775i,6928.9+0.43981i,6985.9+0.42097i,7189.8+0.42416i,6940.8+0.42536i,7151.9+0.42957i,7007.7+0.42426i,6996.3+0.41867i,6905.8+0.44119i,7149.3+0.44536i,7032.9+0.44609i,7165.4+0.43258i,7023.1+0.4339i,7071.6+0.4581i,6993.2+0.44031i,7074.2+0.44346i,6948.8+0.44243i,7041.7+0.43346i,6991+0.43518i,7173.2+0.44713i,6954.1+0.45112i,7035.3+0.44752i,7016.1+0.45002i,6996.4+0.4528i,7204.9+0.45307i
15008+0.21226i,15292+0.2056i,14444+0.21172i,14755+0.20799i,14307+0.21016i,13777+0.21507i,14561+0.21079i,13834+0.21169i,14156+0.21196i,14883+0.21666i,14266+0.21307i,13816+0.21422i,13509+0.21156i,14190+0.2099i,13644+0.21156i,13711+0.21279i,13758+0.20966i,13597+0.20619i,14445+0.21308i,13952+0.20172i,14115+0.21174i,13930+0.21946i,13852+0.21211i,13929+0.21575i,13725+0.2091i,13448+0.21145i,13662+0.20783i,13903+0.21676i,13258+0.2112i,13551+0.21114i,13624+0.21071i,13424+0.20216i,13381+0.21015i,13552+0.21373i,13479+0.20826i,13312+0.21521i,13184+0.21497i,13509+0.21442i,12614+0.21208i,13309+0.21045i,13466+0.2151i,13378+0.21054i,13860+0.21162i,13565+0.21396i,13376+0.21494i,13380+0.21553i,13318+0.21715i,13233+0.21001i,12760+0.21412i,13091+0.21121i,13269+0.20923i,12554+0.21283i,12968+0.21149i,12720+0.21181i,12695+0.21425i,12673+0.21409i,12744+0.20843i,12728+0.21901i,12571+0.22096i,12558+0.21385i,12605+0.21941i,12314+0.21432i,12564+0.21738i,12931+0.20902i,12491+0.21032i,12958+0.2106i,12567+0.21595i,12318+0.21745i,11862+0.20593i,12059+0.2175i,12599+0.2117i,12512+0.21847i,12514+0.21714i,12305+0.21461i,12427+0.21915i,11868+0.21754i,12283+0.21714i,12121+0.21581i,11662+0.21921i,12100+0.21819i,12048+0.21904i,12042+0.22209i,11752+0.22498i,11913+0.21761i,11836+0.21755i,11884+0.22396i,11890+0.22304i,11972+0.22097i,11763+0.22153i,11588+0.22305i,11515+0.21929i,11405+0.22331i,11721+0.22587i,11662+0.22829i,11358+0.22627i,11470+0.22215i,10900+0.22536i,11061+0.22482i,11275+0.22096i,10924+0.22464i,11386+0.2248i,10774+0.22378i,11028+0.22982i,11201+0.22185i,10765+0.22411i,10594+0.22816i,10966+0.22388i,11100+0.22256i,10604+0.21972i,11050+0.23143i,11013+0.23179i,10850+0.2326i,10666+0.22374i,10496+0.22801i,10429+0.22659i,10489+0.22631i,10235+0.22787i,10523+0.23072i,10837+0.23189i,10075+0.22895i,9623.5+0.22995i,10348+0.23322i,9964+0.23311i,10099+0.2377i,10342+0.22706i,10498+0.22069i,10217+0.23031i,9721.5+0.23368i,10003+0.23777i,9807.6+0.23735i,9972.7+0.24016i,9774+0.24417i,9657.7+0.23146i,9713.6+0.23322i,9404.2+0.23861i,9586+0.24256i,9710.6+0.24234i,9413.3+0.23643i,9588.5+0.24626i,9480.3+0.24391i,9407.6+0.23672i,9443.8+0.24239i,9260.9+0.23555i,9200.9+0.24394i,8946.4+0.23835i,9258.3+0.24292i,9434.2+0.24855i,8985.3+0.2413i,9414.2+0.24337i,9136.8+0.25218i,9122.5+0.24628i,9113.5+0.24952i,8705.3+0.25024i,9151.3+0.25708i,8958.9+0.24586i,8655.1+0.25943i,8616.5+0.25008i,8313.3+0.23974i,8834.3+0.24254i,8727.3+0.25595i,8690.4+0.26087i,8652.3+0.25223i,8650.5+0.26088i,9037.6+0.25067i,8589.4+0.25965i,8763.3+0.26472i,8194.8+0.24611i,8760.1+0.24899i,8462.8+0.25332i,8438.6+0.25943i,8785.8+0.26105i,8235.7+0.25664i,8644.3+0.25652i,8226.6+0.26028i,8555.3+0.26098i,8280.9+0.25731i,8308.1+0.25946i,8146.5+0.26908i,8384.6+0.26086i,8600.4+0.2595i,8122.5+0.26451i,8301.9+0.27416i,8353.8+0.26737i,8014+0.26895i,8080.4+0.26008i,8095.2+0.26909i,7773.3+0.26353i,8014.5+0.27085i,8016.9+0.26764i,7989.9+0.2769i,8156.5+0.27189i,7959.4+0.27067i,7745.4+0.27168i,7853.8+0.27378i,7989.7+0.26999i,8093.2+0.27365i,7779.9+0.27476i,7895.2+0.27417i,7877.8+0.27003i,7683+0.28122i,7769.9+0.28048i,7895.9+0.2818i,7814+0.28136i,7835+0.29381i,7874.1+0.28367i,7883.7+0.27731i,7593.6+0.27775i,7848.3+0.2805i,7740.3+0.27982i,7466.9+0.27531i,7313+0.28025i,7568.9+0.28433i,7688.9+0.28117i,7694.9+0.28173i,7550.1+0.2824i,7658.9+0.2886i,7603.3+0.2839i,7706.5+0.27482i,7526.8+0.28755i,7643+0.28108i,7749.7+0.28537i,7555.5+0.29171i,7649.2+0.29922i,7537+0.29297i,7460.6+0.29843i,7487.7+0.2884i,7603.1+0.28254i,7220.6+0.29218i,7343.7+0.28617i,7460.7+0.29698i,7505.4+0.30393i,7315.8+0.29026i,7595.4+0.2931i,7548+0.29945i,7452.4+0.29442i,7254.2+0.29474i,7277.3+0.2899i,7446.1+0.29775i,7412.4+0.29757i,7434.4+0.30001i,7385.2+0.30137i,7317.8+0.30558i,7195.3+0.29642i,7408.4+0.30293i,7467.9+0.31254i,7523.3+0.3077i,7229.9+0.30691i,7403.4+0.31042i,7345.4+0.3075i,7244.2+0.30153i,7494.2+0.30103i,7455.4+0.30725i,7276.6+0.30498i,7509.5+0.31751i,7431.7+0.3188i,7297.4+0.32139i,7479.8+0.30853i,7440.9+0.30839i,7338+0.31561i,7013.5+0.31739i,7148.6+0.30544i,7196.3+0.30839i,7515.1+0.31705i,7328.2+0.32262i,7136.5+0.31113i,7316.8+0.30771i,7223.8+0.32576i,7411.4+0.31893i,7316.7+0.3207i,7368.5+0.32775i,7141.2+0.31447i,7170+0.30994i,7363.2+0.3274i,7260.4+0.31225i,7112.6+0.32375i,7419.7+0.31936i,7186.8+0.32785i,7610+0.31851i,7183+0.33836i,7181.6+0.32789i,7071.2+0.32935i,7162.5+0.34161i,7355.7+0.3314i,7326.9+0.32894i,7437+0.31887i,6961.7+0.32914i,7091.6+0.33647i,7259.2+0.32943i,7401.2+0.32257i,7318.2+0.33779i,7007+0.33754i,7048.1+0.34289i,7045.9+0.34204i,7338.2+0.33313i,7010.3+0.34206i,6861+0.34062i,7297.3+0.33754i,7213+0.34079i,7241.6+0.35323i,7384.8+0.33635i,6917.7+0.34866i,7217+0.33888i,7242.5+0.3486i,6992.7+0.36208i,7191.4+0.35451i,7167+0.35073i,7194.8+0.34456i,7232.3+0.34714i,7075+0.35349i,7149+0.35721i,7093.1+0.34749i,7168+0.35918i,7144.1+0.3675i,7131.9+0.35083i,7231.3+0.36115i,7274.8+0.35419i,6946.7+0.35113i,7110.8+0.36417i,7126.1+0.37167i,7134.7+0.37503i,6975.6+0.35126i,7026.5+0.36789i,7228.8+0.37193i,6834.4+0.36132i,7023.8+0.37845i,7032.4+0.36495i,7093.8+0.3608i,7215.1+0.36656i,7253.6+0.35647i,7249.5+0.37127i,6920.1+0.36523i,7186.1+0.38045i,7235.2+0.36992i,7204.7+0.37639i,6922.3+0.37115i,7258.1+0.38088i,7082.3+0.36284i,6934.4+0.37093i,7315.1+0.38128i,6998.5+0.37593i,7217.4+0.36949i,7363.2+0.3919i,7008.6+0.38631i,7127.2+0.39402i,7145.2+0.38754i,6963.2+0.38495i,6910.6+0.3993i,6970.4+0.39629i,7043.5+0.38167i,6894.2+0.37614i,7263.3+0.38966i,7155.4+0.39994i,6910.6+0.40065i,7159.7+0.3984i,7316.1+0.39574i,6910.8+0.39157i,7137+0.40575i,7037.9+0.41786i,6802.2+0.40798i,7168.5+0.39872i,7322.1+0.4043i,7182.1+0.39397i,7088.2+0.39608i,7181.1+0.40355i,7114.5+0.40741i,7030.8+0.41784i,7018.5+0.39748i,7192+0.42713i,7140.3+0.40898i,7148.7+0.41693i,7015.3+0.40568i,6844.5+0.41532i,7216.4+0.42359i,7078+0.41013i,7070.2+0.42874i,6987.7+0.41631i,6887+0.42841i,7176.5+0.43124i,7153.9+0.4154i,7003.2+0.42849i,6892.5+0.43424i,7066.7+0.4232i,7067.8+0.44234i,7119.7+0.43443i,7344.3+0.43438i,7124.9+0.42034i,7117.8+0.42683i,7032.8+0.43215i,6924+0.44612i,7051+0.44159i,7061.7+0.445i,6925.4+0.44501i,7279.8+0.44272i,7117.8+0.43912i,7026.7+0.45236i,7149.7+0.44446i,6958+0.43964i,7004+0.46493i,6940.1+0.4463i,6950.4+0.45857i,7096.5+0.4553i
