14666+0.20744i,14783+0.21509i,13802+0.20635i,14489+0.22291i,14550+0.20683i,14807+0.21353i,14313+0.20915i,14712+0.21131i,14081+0.20881i,14468+0.20924i,14088+0.21524i,13461+0.20556i,14036+0.21184i,14029+0.21296i,14880+0.20943i,14499+0.21823i,13676+0.20641i,13681+0.21366i,13697+0.20786i,14241+0.20567i,13810+0.21244i,13793+0.21268i,13998+0.20406i,14108+0.21417i,13997+0.21493i,13557+0.21047i,13886+0.20731i,13831+0.21179i,14258+0.21702i,13595+0.20454i,13613+0.21435i,13926+0.21322i,13488+0.21671i,13759+0.20963i,13630+0.21911i,13771+0.21953i,13755+0.21636i,13387+0.20668i,13457+0.2105i,13627+0.20987i,13225+0.20823i,13434+0.21672i,13069+0.21808i,13299+0.20419i,13635+0.21545i,13090+0.21413i,13409+0.21718i,13503+0.21834i,13253+0.21483i,13486+0.21117i,13134+0.2136i,13235+0.20759i,13520+0.2136i,13619+0.20925i,12915+0.20754i,12819+0.21638i,12818+0.2097i,12566+0.21741i,12868+0.21804i,12865+0.20908i,12805+0.20741i,12969+0.20966i,12736+0.22293i,12907+0.21886i,12720+0.22063i,12810+0.21958i,12735+0.21096i,12603+0.21611i,13341+0.21473i,12440+0.2179i,12292+0.21437i,12761+0.22219i,12719+0.21723i,12491+0.22298i,12487+0.21029i,12245+0.21507i,12557+0.2108i,12750+0.22036i,12136+0.22464i,12872+0.2158i,12096+0.21381i,11898+0.21503i,11994+0.22047i,12264+0.22085i,12376+0.20807i,11869+0.21544i,11695+0.21521i,12090+0.21415i,12153+0.22532i,12241+0.21925i,11960+0.21747i,11803+0.2294i,11730+0.22003i,11758+0.22236i,11525+0.21869i,11772+0.2215i,11657+0.21217i,11715+0.22828i,11780+0.22162i,11440+0.22052i,11862+0.21306i,11606+0.22895i,11791+0.22684i,11226+0.23701i,11041+0.22219i,11645+0.21399i,11590+0.22868i,11442+0.23076i,11150+0.22698i,10972+0.22824i,11122+0.22697i,11118+0.22762i,10920+0.22958i,11135+0.22038i,11132+0.23412i,10819+0.23288i,10675+0.2242i,10938+0.22976i,10916+0.22676i,10349+0.23067i,10910+0.23286i,10513+0.23532i,10742+0.232i,10237+0.23621i,10730+0.23909i,10557+0.2315i,10439+0.23767i,10502+0.22932i,9899.2+0.23736i,10416+0.23424i,10183+0.23368i,9844.2+0.23638i,10260+0.23201i,10264+0.24965i,10097+0.23571i,9821.9+0.24049i,9944.1+0.24115i,9999.3+0.24123i,9748.2+0.24902i,10128+0.24491i,9520.5+0.24525i,9322.8+0.23475i,9941.2+0.24524i,9607.3+0.23804i,9562.2+0.2347i,9412.1+0.2444i,9516.1+0.24185i,9434.6+0.24615i,9710.2+0.24293i,9730.2+0.2569i,9395.3+0.25077i,9750.6+0.25087i,9315.7+0.2463i,9093.3+0.24989i,9383+0.25519i,9293.8+0.24249i,9126+0.25375i,8854+0.25674i,9326.7+0.25175i,8796.5+0.26653i,8957.3+0.25544i,8815.9+0.25981i,8751.4+0.25322i,9019.7+0.24613i,8851.5+0.25546i,8761.7+0.24859i,8852.1+0.25535i,8689+0.25277i,8596.7+0.25016i,8576.6+0.25793i,8807.9+0.26329i,8323.7+0.26881i,8270.3+0.24949i,8643.7+0.27236i,8691.4+0.26057i,8703.9+0.26603i,8400.3+0.25548i,8527.6+0.26266i,8530.2+0.2614i,8456.2+0.27401i,8379.6+0.26828i,8820+0.26665i,8369.1+0.28057i,8667.8+0.27521i,8289+0.26823i,8331+0.27489i,8276.6+0.27764i,8161.7+0.27198i,7952.7+0.27634i,8325.6+0.27847i,8192.1+0.27509i,8257.9+0.27644i,7844.1+0.28095i,8089+0.27933i,8317.4+0.27499i,7715.5+0.28152i,7905.6+0.27951i,8094.2+0.27121i,7902.2+0.27981i,7910.4+0.28027i,8120.8+0.27996i,8147.8+0.28153i,7829.8+0.29378i,8107.9+0.30198i,8162.1+0.28487i,7771.1+0.2903i,7831.4+0.27609i,7805.5+0.2957i,7588+0.28702i,7933.4+0.28874i,7601.2+0.2938i,7889.9+0.29342i,7745.2+0.29101i,7504.8+0.29385i,7897.9+0.29612i,7760.8+0.29058i,7757+0.29587i,7613+0.29771i,7403.6+0.28808i,7890.6+0.29353i,7710+0.29742i,7393.8+0.30609i,7607.4+0.29338i,7810.6+0.29731i,7395.5+0.31055i,7522.9+0.3127i,7588.6+0.30815i,7441.5+0.31139i,7313.4+0.31065i,7516.4+0.31321i,7538.7+0.31292i,7591.8+0.31351i,7444+0.29786i,7664.7+0.31633i,7452.2+0.31544i,7594.9+0.29886i,7550.1+0.30645i,7122.1+0.31282i,7459+0.31116i,7428+0.31159i,7366.9+0.30915i,7629.4+0.31649i,7355.4+0.31508i,7538+0.32494i,7470.7+0.32127i,7278+0.32554i,7562.1+0.31442i,7687+0.3239i,7312.9+0.31685i,7131.3+0.32182i,7352+0.32686i,7059.2+0.31434i,7600.5+0.31982i,7418.9+0.32626i,7022.3+0.31671i,7401.7+0.32738i,7349.8+0.32922i,7190.3+0.33131i,7124.2+0.32307i,7683.3+0.34248i,7172.8+0.33779i,7475.5+0.33175i,7223.4+0.33181i,7460.8+0.33453i,7279+0.3338i,7349.6+0.34095i,7551.3+0.33196i,7243.4+0.35511i,7164.5+0.3494i,7322.5+0.33323i,7513.4+0.34233i,7450.3+0.3361i,7320.9+0.3378i,7364.4+0.32279i,7171.4+0.33876i,7372.3+0.352i,7213.5+0.34533i,7257+0.34603i,7144.6+0.33791i,7300.7+0.33766i,6934.6+0.34261i,7006.8+0.3619i,7127.5+0.33183i,7119.2+0.35049i,7488.9+0.35331i,7473.3+0.35853i,7076.3+0.35124i,7401.3+0.34752i,7295+0.36436i,7236+0.34686i,7187.2+0.36223i,7328.4+0.34895i,7368.4+0.3634i,6986.7+0.3555i,7379+0.36311i,6953.5+0.35396i,7257.3+0.36215i,6987.9+0.36754i,7170.5+0.37354i,7346.6+0.3668i,7495.5+0.35748i,6884+0.36851i,7111.9+0.36252i,6982.8+0.36067i,7256.5+0.37206i,7296.3+0.36881i,7443.6+0.36496i,7194.3+0.37445i,7107.5+0.38364i,7207.1+0.3867i,7024.1+0.36354i,7240+0.37619i,7203.2+0.37459i,7095.9+0.38819i,7165.3+0.37336i,7156+0.36958i,7208.2+0.38155i,7272.9+0.38433i,6938.2+0.38826i,7060+0.3822i,7302.7+0.37281i,7078.1+0.398i,7154.5+0.38356i,7191+0.39776i,7313.9+0.38763i,7136.7+0.38309i,6879.2+0.37695i,7294.2+0.39508i,7135+0.3859i,7293.6+0.398i,7015.5+0.39524i,7141.3+0.40587i,7224.1+0.41119i,6954.4+0.40189i,7097.9+0.40329i,6805.9+0.40643i,7151.3+0.40697i,7021.4+0.40758i,7129+0.40175i,6929.7+0.40992i,7096.5+0.41098i,7183.5+0.41179i,7282.3+0.41153i,7334.8+0.42007i,7200.7+0.42105i,6911.5+0.40408i,7172+0.41121i,7257.1+0.41603i,7225+0.40601i,7120+0.41664i,7082.7+0.42896i,7249.3+0.42789i,7090.7+0.42235i,6937.1+0.41706i,7188.8+0.4255i,7148+0.41698i,7000.9+0.43639i,7066.3+0.43511i,7101.8+0.43879i,6949.6+0.4326i,7429+0.45051i,7035.2+0.4332i,7077.2+0.42252i,7140.4+0.43285i,7077.6+0.45572i,7064+0.44037i,7002.2+0.44661i,6993.2+0.45077i,7242.5+0.43757i,6844.8+0.43641i,6862.1+0.45141i,7224.2+0.45196i,7248.3+0.44766i,7278.7+0.45246i,7130.9+0.4501i,7186.5+0.44107i,6949.9+0.42665i,7140.1+0.45347i,7324+0.46589i,7253+0.46584i,7067.2+0.45961i,7144.2+0.47319i,7216.6+0.45273i,6999.4+0.46302i,7097.1+0.46932i,7176.9+0.48231i,7196.6+0.46416i,7020.1+0.48027i,7024.5+0.47991i,7111.5+0.47877i,7117+0.4945i,7022.5+0.4592i,6948.9+0.48203i,6957.6+0.46701i,7143.4+0.4904i,7102.2+0.48873i,6990.1+0.48602i,7117.8+0.47704i,7105+0.4865i,6949.4+0.49128i,6866.4+0.49015i
14845+0.21586i,14543+0.21075i,14753+0.21125i,14586+0.21058i,14486+0.19966i,14386+0.21527i,14571+0.20791i,14423+0.20537i,14820+0.21507i,14300+0.21209i,14066+0.21189i,13735+0.21617i,14386+0.20796i,13914+0.21435i,13997+0.21037i,14673+0.21446i,13779+0.20551i,13682+0.20682i,14177+0.20936i,14155+0.20825i,13755+0.20591i,14082+0.2139i,14446+0.21323i,13868+0.208i,14243+0.2137i,13429+0.20619i,14136+0.21515i,13570+0.21416i,13787+0.20291i,13851+0.20287i,13428+0.20522i,13791+0.21367i,13996+0.2093i,13908+0.21295i,13236+0.21346i,14013+0.21901i,13581+0.21493i,13261+0.19897i,13741+0.20916i,13160+0.21512i,13346+0.21734i,13409+0.21181i,13585+0.20688i,13108+0.20206i,13465+0.21816i,13576+0.20944i,13286+0.21256i,12700+0.2125i,12757+0.2099i,13549+0.21451i,13451+0.20584i,12506+0.20822i,12835+0.21556i,13089+0.20971i,13116+0.20866i,12893+0.21401i,12792+0.21069i,12583+0.21818i,12935+0.21719i,13110+0.21529i,13048+0.2155i,13151+0.20303i,12794+0.21963i,13323+0.21205i,12529+0.21686i,12907+0.21129i,12881+0.2076i,12671+0.21486i,12867+0.22027i,12802+0.21814i,12496+0.21857i,12317+0.21676i,12534+0.20938i,12221+0.21543i,12372+0.21429i,12694+0.21703i,12448+0.21207i,12506+0.21532i,12225+0.21426i,12546+0.21449i,12383+0.21363i,12440+0.22003i,12487+0.21543i,11761+0.22081i,11985+0.21339i,12219+0.223i,12364+0.21901i,12559+0.21912i,12281+0.22157i,11748+0.22101i,12087+0.21513i,11476+0.22736i,11661+0.22362i,11959+0.22204i,11833+0.22127i,11899+0.21867i,11477+0.22498i,11848+0.22097i,11289+0.22418i,11536+0.22551i,11900+0.22715i,11477+0.22051i,11458+0.23176i,11596+0.22851i,11281+0.21753i,11344+0.22191i,11641+0.22445i,11340+0.22634i,11279+0.21905i,11251+0.22977i,11446+0.22279i,11192+0.22461i,11089+0.23155i,10919+0.22806i,10643+0.21972i,10938+0.22667i,11035+0.22639i,10685+0.22737i,11038+0.23447i,10391+0.22862i,10613+0.23399i,10607+0.24057i,10908+0.23387i,10518+0.23552i,10579+0.23743i,10331+0.2407i,10564+0.22991i,10100+0.23352i,10175+0.22897i,10308+0.23281i,9946.1+0.2326i,9939.6+0.24027i,10293+0.23507i,10097+0.22949i,9960.6+0.23439i,9944.2+0.24246i,10103+0.23554i,10218+0.23946i,9773.5+0.24191i,9998.2+0.23624i,9926.9+0.23376i,9784.8+0.24393i,9673.9+0.24617i,9475.1+0.24721i,9600.3+0.2384i,9492.4+0.24352i,9152.1+0.24641i,9566.2+0.24934i,9073.7+0.24695i,9388.8+0.24883i,9174.9+0.24758i,9088.7+0.25183i,9431.9+0.24268i,9213.6+0.24881i,9443.1+0.24952i,9233.1+0.2479i,9184.5+0.25028i,9098.7+0.25555i,8815.9+0.25364i,9300.7+0.25119i,9204.3+0.2483i,8783.7+0.25714i,8756.9+0.25605i,9114+0.25589i,8657.5+0.25688i,9469.5+0.26417i,8800.7+0.25209i,8623.8+0.25254i,8716.4+0.25396i,8736.3+0.25352i,8794+0.26459i,8278.7+0.26747i,8393.7+0.27902i,8532.9+0.26425i,8562.8+0.26195i,8517.9+0.26593i,8885.7+0.27242i,8288.7+0.25933i,8263.2+0.26399i,8289.2+0.27553i,8383.2+0.27806i,8424.8+0.28682i,8344.5+0.27819i,8325.3+0.2735i,8246.2+0.26561i,8260.7+0.27165i,8213.3+0.27138i,8145.3+0.27894i,8262.8+0.27822i,8108.3+0.27111i,8152.1+0.27385i,8237.1+0.27649i,8154.3+0.28447i,8156.8+0.27734i,7968.5+0.27535i,8058.3+0.28808i,7979.1+0.27486i,7833.2+0.28223i,7997.7+0.28663i,7857+0.29452i,8185.6+0.28493i,8156+0.27361i,7993.8+0.28817i,7860.9+0.2851i,7996.3+0.28454i,8029.3+0.29292i,7683.1+0.28578i,7716.2+0.28431i,7786.8+0.29126i,7696.9+0.2853i,7817.1+0.28162i,7712.2+0.29498i,7565.9+0.292i,7746.5+0.29984i,7735.4+0.2933i,7614.9+0.29243i,7696.3+0.30375i,7701.1+0.29232i,7615+0.29123i,7582.5+0.3035i,7803.9+0.29422i,7843.7+0.29865i,7677.3+0.29864i,7678.3+0.30632i,7618.7+0.30158i,7686+0.30268i,7328+0.29781i,7915+0.3025i,7589.4+0.30539i,7370+0.31439i,7410.3+0.31377i,7312.2+0.3096i,7486.6+0.31009i,7562.7+0.30608i,7532.2+0.31816i,7689.3+0.32122i,7604.6+0.3153i,7732+0.30696i,7429.7+0.30465i,7499.3+0.31188i,7351.9+0.3096i,7372.5+0.31234i,7374.5+0.30584i,7381+0.31048i,7402.6+0.32519i,7596.8+0.31593i,7369.8+0.30895i,7434+0.31902i,7303.8+0.31888i,7664.9+0.3155i,7234.5+0.31859i,7100.1+0.31331i,7499+0.31306i,7217.9+0.34421i,7165+0.32012i,7445.1+0.33142i,7265.4+0.315i,7441.1+0.33686i,7588.8+0.32568i,7156.9+0.32017i,7179.4+0.32559i,7551.9+0.33653i,7341.1+0.34171i,7343.7+0.33096i,7247.4+0.33297i,7233.9+0.33831i,7267.6+0.33964i,7393.3+0.34229i,7008.9+0.33093i,7400.9+0.34721i,7319.1+0.33279i,7457.7+0.34047i,7215.7+0.32715i,7233.1+0.35242i,7310.7+0.33487i,7228.7+0.35664i,7361.6+0.34473i,7428.3+0.34393i,7325.8+0.35635i,7223.3+0.35702i,7177.8+0.35694i,7067+0.34219i,7092.3+0.34412i,7361.4+0.34154i,7267.9+0.35556i,7067.9+0.36584i,7236.8+0.34195i,7239+0.35147i,7371+0.35325i,7342+0.35939i,7192.5+0.35824i,7133.5+0.3552i,7112+0.35708i,7361.8+0.34013i,7333.8+0.36738i,6943.8+0.36094i,7171.8+0.35198i,7018.9+0.35887i,7538.1+0.36804i,7403+0.36507i,7146.3+0.37014i,6911.7+0.35566i,7141.9+0.35789i,7146+0.35714i,7458.4+0.36509i,7093.9+0.38422i,7453+0.38462i,7124+0.37774i,7117.2+0.37426i,7421.1+0.38524i,7046.8+0.37111i,7242.5+0.36777i,7230.2+0.37927i,7325.6+0.38028i,7224.9+0.3961i,7447.7+0.38049i,6930.6+0.38988i,7289.5+0.37201i,7060.9+0.38748i,7136.9+0.38665i,7081+0.38298i,7259+0.39131i,7038.7+0.38182i,7142.8+0.40289i,7316.9+0.39018i,6903.8+0.39809i,7085.2+0.39575i,7311.9+0.3893i,7074.2+0.40483i,7240.7+0.39661i,7248.3+0.39393i,7124.6+0.38539i,7101.4+0.3929i,7111.3+0.40893i,6901.5+0.39692i,7178.8+0.39951i,6869.8+0.40997i,6885.6+0.41883i,7089.9+0.39472i,7173.3+0.40454i,7562.5+0.41087i,7438.1+0.40064i,7295+0.41216i,7196.3+0.41483i,7094.3+0.40705i,7352.4+0.41223i,7151.9+0.40062i,7278.9+0.40925i,7098.8+0.41452i,7184.2+0.41958i,6955.6+0.40037i,7109.4+0.4207i,6961.7+0.4164i,7377.6+0.41579i,7231+0.42334i,7084.3+0.43565i,7014.5+0.44293i,7235+0.43475i,7108.3+0.43033i,7178.3+0.42116i,7004.3+0.42648i,6943+0.41076i,7213.5+0.45441i,7026.7+0.44108i,7179.5+0.42351i,7269.2+0.43982i,7184.3+0.43047i,7154.6+0.43756i,7254.6+0.44627i,7104.4+0.47005i,7186.1+0.44088i,6741.7+0.45428i,7098.7+0.45823i,6988.3+0.45928i,7101.6+0.4579i,7244.1+0.44907i,6974.6+0.45367i,6829.8+0.45341i,6990.3+0.479i,6891+0.47074i,6832.6+0.45776i,6765.8+0.47377i,6870.6+0.45926i,7320.5+0.47966i,6932.4+0.46696i,6927.7+0.46925i,6959.2+0.48551i,7165.1+0.48715i,7299+0.4782i,6922.9+0.48431i,7085.5+0.46564i,6926.2+0.4784i,7219+0.47995i,7101.9+0.47536i,6966.3+0.48294i,7119.2+0.49487i,6926.2+0.47432i,7311.6+0.4718i,6794.5+0.49128i,6981.6+0.50208i,7117.8+0.49225i
14714+0.2111i,14267+0.21319i,14547+0.20866i,14212+0.21291i,15007+0.21005i,13897+0.21865i,14660+0.2075i,14555+0.20525i,14524+0.20767i,13760+0.20518i,14578+0.20169i,14310+0.21519i,14035+0.21136i,14313+0.2089i,13942+0.20832i,13755+0.21557i,14060+0.20294i,13884+0.2064i,14231+0.21092i,13794+0.20933i,13421+0.2103i,13708+0.21989i,13670+0.20718i,14147+0.21036i,13512+0.21413i,13507+0.20986i,13922+0.21208i,14038+0.21867i,13674+0.2095i,13775+0.21197i,13381+0.22178i,13612+0.20987i,13351+0.21182i,13184+0.21464i,13788+0.20311i,13641+0.21012i,13620+0.2099i,13301+0.2081i,13443+0.20452i,13339+0.21031i,13498+0.214i,13629+0.21152i,13278+0.21643i,13570+0.2142i,13965+0.21303i,13543+0.20989i,12995+0.22146i,13225+0.21903i,13378+0.22126i,13065+0.21348i,13127+0.20837i,13025+0.20388i,12808+0.21259i,12857+0.214i,13258+0.20727i,12721+0.21446i,13084+0.21609i,12686+0.20837i,12975+0.2054i,12888+0.20708i,12519+0.21372i,13015+0.21106i,12547+0.21185i,12783+0.2226i,12509+0.22347i,12859+0.21267i,12480+0.21733i,13052+0.22076i,12564+0.21779i,12970+0.21223i,12688+0.20711i,12561+0.2042i,12598+0.21028i,12802+0.2158i,12477+0.21588i,12883+0.21255i,12621+0.22265i,12352+0.22048i,12127+0.21756i,12234+0.21641i,12058+0.21889i,12225+0.21325i,12239+0.20658i,12183+0.2247i,12090+0.21202i,11795+0.21805i,11792+0.21688i,11803+0.22052i,12023+0.21651i,11695+0.22457i,11853+0.21744i,11777+0.22252i,11802+0.22186i,11886+0.21736i,11800+0.21436i,11697+0.22325i,11564+0.22172i,11626+0.215i,11389+0.21872i,11627+0.21703i,11634+0.22664i,11561+0.22026i,11752+0.21965i,11269+0.21975i,11513+0.21997i,11277+0.21638i,11536+0.22509i,10929+0.22752i,11232+0.22713i,11191+0.22427i,10788+0.21944i,10980+0.22389i,11053+0.23602i,10935+0.2338i,10760+0.22523i,10827+0.23896i,10611+0.23177i,10542+0.23777i,10524+0.2328i,10668+0.23701i,10574+0.23172i,10783+0.22776i,10547+0.22213i,10489+0.23573i,10280+0.23491i,10189+0.23989i,10320+0.23589i,10491+0.23127i,10056+0.23407i,10200+0.23452i,10478+0.24247i,10287+0.23343i,10137+0.23343i,9865.2+0.23051i,9540.6+0.24491i,10032+0.23243i,9470+0.23891i,10425+0.24058i,9933.8+0.23134i,10070+0.24346i,9563.8+0.24035i,9486.3+0.24571i,9543.8+0.24526i,9583.3+0.2434i,9579.3+0.23946i,9278.2+0.24966i,9359.3+0.23844i,9571.1+0.24577i,9010.1+0.24553i,9307.5+0.25012i,9305.4+0.24919i,9552.4+0.24548i,9306.2+0.25763i,9622.3+0.24989i,9343.9+0.249i,8800.9+0.24939i,9444.5+0.25331i,8765.2+0.25075i,9103.8+0.24387i,8754.7+0.2486i,8974.1+0.26021i,9025.3+0.253i,9011.6+0.25387i,8629.4+0.26464i,9015.5+0.25431i,8752.8+0.26544i,8676.2+0.26165i,9004.6+0.26863i,8652.9+0.26785i,8691.7+0.25648i,8518.4+0.25794i,8660.2+0.25886i,8620.6+0.25913i,8744+0.2637i,8781.9+0.26772i,8569.7+0.26542i,8646.7+0.26856i,8444.4+0.26486i,8397.9+0.27814i,8100.8+0.26809i,8343.5+0.26316i,8154+0.26724i,8396.9+0.2721i,8394+0.27506i,8606.9+0.26837i,7955.4+0.26663i,8203.8+0.2733i,8202.7+0.27211i,8238.9+0.27031i,8133.9+0.28131i,8208.7+0.25903i,8212.8+0.26515i,8093.4+0.2801i,8124.7+0.26718i,8233.5+0.29074i,7978.9+0.28769i,8021.8+0.27963i,8054.2+0.28307i,7940.1+0.28179i,7743+0.28139i,7904.2+0.28993i,8203.2+0.28428i,7838.6+0.28633i,8000.9+0.28436i,8109.7+0.28948i,7754.7+0.29029i,8025.4+0.30003i,7919+0.28391i,7816.3+0.29577i,7432+0.30109i,7649.3+0.28055i,7543.8+0.28873i,7994.5+0.2999i,7544.7+0.29033i,7723.9+0.28927i,7798.3+0.29031i,7733.8+0.30156i,7878.3+0.29237i,7608.4+0.29536i,7342.3+0.29579i,7592.6+0.29566i,7388+0.29861i,7685+0.30806i,7672.4+0.29064i,7555.7+0.30855i,7723.4+0.31467i,7604.3+0.30483i,7576.4+0.30091i,7685.6+0.31368i,7508.6+0.29908i,7502.6+0.31191i,7375.7+0.29674i,7270.2+0.30585i,7316.3+0.30831i,7395+0.31603i,7724.4+0.32026i,7431.5+0.31455i,7534+0.30766i,7641.5+0.30077i,7508.4+0.31237i,7578.1+0.32092i,7563.5+0.31372i,7498.1+0.32357i,7332.1+0.30969i,7560.5+0.32429i,7397+0.31033i,7464.7+0.31341i,7457.9+0.31687i,7164.3+0.31113i,7411+0.32662i,7332.9+0.31815i,7591.5+0.31128i,7319.7+0.3254i,7517.8+0.32261i,7390.2+0.31667i,7243.9+0.3215i,7472+0.32353i,7541.2+0.32832i,7242.9+0.33038i,7277.8+0.33039i,7226.2+0.32983i,7326.6+0.33075i,7356.5+0.33173i,6932.2+0.32571i,7290.8+0.33813i,7416.2+0.32468i,7408.5+0.33424i,7207.2+0.34087i,7523.6+0.34089i,7471.1+0.33734i,7137.7+0.33624i,7368.3+0.3396i,7038+0.34215i,7199.4+0.34347i,7484.6+0.33756i,7036.9+0.36031i,7351.5+0.34925i,7273.6+0.34881i,7218.1+0.34177i,7175.4+0.34889i,7319.7+0.35058i,7266.7+0.34953i,7278.3+0.34652i,7229.1+0.34719i,7309+0.35257i,7262.2+0.35904i,7148.6+0.34604i,7194.9+0.3396i,7047.4+0.36422i,7049.8+0.35718i,7180.3+0.36004i,7120.4+0.34561i,7410.1+0.35703i,7204.3+0.34763i,7033.3+0.35829i,7087.7+0.35577i,7094.2+0.36196i,7186.1+0.36825i,7099.6+0.35452i,7067+0.37288i,7236.7+0.37827i,7371.1+0.37636i,7143.3+0.36756i,7042.5+0.37539i,7036.6+0.36205i,7359.9+0.36339i,6906.7+0.374i,7098.3+0.37024i,7169.6+0.37048i,7236.8+0.37285i,7297.3+0.37698i,7258.1+0.37235i,7058.2+0.36713i,7210.1+0.37709i,7202.1+0.3744i,7012.6+0.38195i,7305.8+0.39646i,7349.1+0.38641i,7068.2+0.37965i,7189.8+0.37871i,7155.2+0.37515i,7188.1+0.38494i,7079.6+0.3814i,7357.8+0.38774i,7358.3+0.39555i,6948.5+0.39095i,6960.1+0.38084i,7008.7+0.38896i,7130.7+0.39602i,7116.5+0.39089i,7150.5+0.38254i,7258.7+0.40558i,7190.4+0.40853i,7032.3+0.39639i,7074.9+0.41392i,6969.2+0.39958i,7083+0.41379i,7388.2+0.4019i,7153.4+0.39403i,6970.1+0.40951i,6924.7+0.40756i,7023.6+0.41675i,7200.8+0.41007i,6861.3+0.41163i,6967.6+0.40723i,7140.1+0.40359i,6938.3+0.42017i,7253.9+0.42187i,6845.1+0.4207i,6777.8+0.42295i,6911.4+0.43637i,7335.3+0.42806i,7029.4+0.41812i,7110+0.43287i,7119.8+0.43111i,7001.8+0.43298i,6947.6+0.42989i,7118.7+0.42511i,6979.7+0.43319i,7125.7+0.44355i,7148.6+0.44186i,7138.9+0.42711i,7142.7+0.43439i,6984.6+0.421i,7154.6+0.45436i,7034.3+0.446i,7292+0.44252i,6865.3+0.4441i,7109+0.46614i,7033.3+0.44476i,7201.9+0.45511i,6900.9+0.46101i,7161.6+0.44498i,6990.2+0.44065i,7063.7+0.4418i,6982.6+0.45536i,6917.2+0.45535i,7194+0.46064i,7036.7+0.4596i,7115+0.44852i,7084.8+0.45938i,7000.3+0.449i,6973.2+0.47672i,6933.7+0.45838i,6929.8+0.47185i,7034.7+0.47925i,6915.6+0.4751i,6898.6+0.47172i,6943.8+0.49515i,6984.8+0.48312i,7014.2+0.47581i,7040+0.48434i,7029.4+0.45565i,6789.6+0.46813i,7178.9+0.49455i,7041.4+0.47751i,7145.4+0.45915i,7070.4+0.4809i,7280.4+0.46527i,7147.8+0.50622i,7146.9+0.4975i
