13964+0.21049i,14923+0.20631i,15006+0.21821i,14724+0.21635i,14436+0.2122i,14920+0.21031i,13916+0.20715i,14048+0.20764i,14372+0.21173i,14622+0.21412i,14298+0.20964i,14561+0.21377i,14189+0.21387i,14367+0.20873i,14785+0.20868i,13968+0.20987i,14298+0.20886i,13918+0.20994i,14109+0.21445i,13913+0.20919i,13841+0.21155i,14003+0.20672i,14240+0.20267i,13955+0.21239i,14331+0.21298i,14160+0.21098i,14464+0.21201i,13618+0.21433i,13340+0.21291i,13876+0.20638i,13864+0.21394i,13464+0.21208i,13902+0.20984i,13854+0.2122i,13528+0.21343i,13975+0.20604i,13426+0.20294i,13504+0.20413i,13946+0.2102i,13566+0.2159i,13604+0.20644i,13259+0.21162i,13638+0.21154i,13508+0.21178i,13089+0.21148i,13769+0.20632i,13700+0.2108i,13487+0.21237i,13461+0.21244i,13430+0.20988i,13596+0.21663i,13176+0.20446i,13291+0.21494i,13632+0.20893i,13192+0.2139i,13555+0.21191i,13443+0.21257i,13126+0.21329i,13332+0.22282i,13149+0.20873i,12814+0.2146i,13281+0.2089i,13175+0.21384i,12726+0.22223i,13239+0.20562i,12919+0.21158i,13187+0.21383i,12823+0.20895i,13317+0.20846i,12938+0.21675i,13298+0.21561i,13206+0.2194i,12927+0.21412i,13001+0.21708i,12371+0.21123i,12972+0.21244i,12809+0.21594i,12604+0.21391i,12802+0.21704i,13159+0.21002i,12902+0.21779i,12834+0.21251i,12742+0.21945i,12981+0.20989i,12457+0.21216i,12549+0.20743i,12834+0.20742i,12574+0.21118i,12471+0.21822i,12577+0.21224i,12477+0.21546i,12703+0.21519i,12030+0.21901i,12249+0.22532i,12488+0.21751i,12001+0.21626i,11791+0.2207i,12368+0.22373i,12421+0.21593i,12106+0.22652i,12188+0.21856i,12154+0.22847i,12098+0.21981i,11997+0.22319i,12079+0.22014i,11833+0.22575i,11856+0.23092i,12072+0.22633i,11677+0.2256i,11764+0.22266i,11860+0.22855i,11366+0.22368i,11650+0.22768i,11732+0.22613i,11720+0.2302i,11548+0.23031i,11177+0.22745i,11370+0.23052i,11624+0.23223i,11250+0.23793i,11333+0.2274i,11344+0.22593i,11392+0.23614i,11486+0.22412i,10946+0.22543i,11100+0.23054i,10931+0.23573i,11032+0.23665i,11006+0.23521i,10938+0.2369i,10671+0.23851i,10669+0.23954i,10682+0.23594i,10655+0.2349i,10870+0.25136i,10439+0.23025i,10394+0.23863i,10329+0.22877i,10481+0.24029i,10241+0.24991i,10143+0.23793i,10769+0.25051i,10285+0.24841i,10114+0.24739i,10338+0.25131i,10441+0.24201i,10283+0.24166i,9961+0.24716i,9912.9+0.25053i,9862.7+0.24396i,9871+0.26702i,9567.3+0.25103i,9909+0.25471i,9788.1+0.25633i,9714.9+0.24969i,9908.1+0.24534i,9381.4+0.25734i,9556.3+0.25496i,9899.4+0.24683i,9473.4+0.24984i,9672.6+0.26235i,9437.9+0.27156i,9574.4+0.26522i,9344.9+0.26526i,9244.7+0.26132i,9361.3+0.26181i,9307.8+0.25505i,9279.8+0.26149i,9176.3+0.2725i,9170+0.26666i,9212.5+0.26603i,8876.6+0.25172i,9246.3+0.26916i,8987.9+0.2705i,8585.4+0.28174i,9056.4+0.2741i,8845.8+0.28198i,9068.3+0.28173i,9350.9+0.28348i,9005.2+0.27485i,8588.3+0.27261i,8939.8+0.26884i,8465.2+0.27324i,8694.7+0.27959i,8864.8+0.27323i,8688.7+0.27498i,8438.5+0.28243i,8754.2+0.28077i,8252.4+0.28816i,8365+0.27685i,8474.8+0.28036i,8364.7+0.28367i,8508.1+0.28517i,8403.2+0.28736i,8366.7+0.28399i,8237.3+0.30016i,8573.8+0.29628i,8314.2+0.29846i,8234.4+0.29861i,8332.9+0.29989i,8290.8+0.30417i,8367.5+0.31242i,8300+0.29967i,8110.6+0.30476i,8031.4+0.31297i,8333.1+0.29898i,8059.2+0.30642i,7930.3+0.30709i,8314.3+0.3168i,7924.1+0.31631i,7881.5+0.30757i,8165.8+0.30417i,8004.1+0.31231i,7911.3+0.31267i,7882.3+0.30766i,8055.4+0.31112i,7948.5+0.314i,7783.8+0.31442i,8056.8+0.32669i,8026.5+0.31849i,7953.8+0.3129i,7927.7+0.32804i,7942.3+0.33509i,8155.4+0.32748i,7577.1+0.30617i,8068.3+0.33123i,7858.3+0.33156i,7769.2+0.33261i,7834.8+0.33052i,7970.4+0.32184i,7763.9+0.33686i,7650.7+0.33358i,7740.3+0.3388i,7668.9+0.32985i,7705.6+0.33759i,7587.6+0.32945i,7974.9+0.33782i,7880.6+0.33176i,7538.7+0.33681i,7587.3+0.33543i,7454+0.33352i,7583+0.33833i,7787.3+0.33914i,7715.1+0.33958i,7802.7+0.34517i,7719.1+0.34267i,7394.8+0.34667i,7651.5+0.3421i,7513.1+0.34976i,7444+0.35188i,7375.9+0.3501i,7299.9+0.34125i,7660.7+0.35417i,7527.5+0.35001i,7440.1+0.34668i,7222.4+0.37186i,7633.2+0.35563i,7428.2+0.35519i,7426.1+0.36887i,7295.6+0.3694i,7533.9+0.35586i,7546.9+0.36832i,7434.2+0.36083i,7325.1+0.37197i,7415.2+0.37123i,7205+0.36574i,7369.1+0.36564i,7466.6+0.36255i,7530.4+0.36796i,7143.8+0.35989i,7385.4+0.36856i,7127.1+0.36574i,7376.8+0.35363i,7507.7+0.37886i,7412.2+0.36853i,7482+0.38565i,7339+0.37404i,7368.6+0.37585i,7165.7+0.38096i,7184.9+0.37863i,7098.6+0.37814i,7317.4+0.39315i,7355.6+0.38364i,7213.8+0.39939i,7059.3+0.38406i,7094+0.38613i,7590.3+0.37991i,7413.7+0.40519i,7243.6+0.39657i,7368.3+0.38561i,7191.7+0.39385i,7078.5+0.39428i,7246.2+0.40111i,7211+0.39887i,7094+0.39969i,7108.6+0.39622i,7261.6+0.39725i,7221.8+0.39473i,7452.3+0.39784i,7055.6+0.40466i,7252.4+0.41325i,7203.5+0.41063i,7314.6+0.40265i,7150.8+0.41887i,7021.6+0.41514i,7067.9+0.40941i,7337.4+0.41772i,7130.3+0.40368i,7281.4+0.41515i,7159+0.42592i,7347.8+0.42027i,7215+0.41792i,7404.7+0.41333i,7221.9+0.41234i,7117.4+0.42406i,7150.5+0.41222i,7257.6+0.44347i,7212.4+0.42553i,7122.6+0.4345i,7113.1+0.4299i,7132.7+0.44037i,6928.7+0.43161i,7292.1+0.4444i,7252.4+0.44371i,7271.2+0.43458i,7201+0.44599i,7013.4+0.4332i,6998.2+0.4412i,7303.5+0.44771i,7083.8+0.44761i,6974.3+0.44019i,7286.3+0.46598i,7122.4+0.45238i,7313.3+0.45592i,7330.8+0.46266i,7276.2+0.44894i,7379.9+0.45616i,6879.1+0.45548i,6953.9+0.45781i,7009+0.46361i,6936.7+0.46306i,7160.2+0.47819i,7202.9+0.4558i,6886.5+0.46415i,7302.5+0.48775i,7124.6+0.47021i,7127.1+0.45678i,7055.3+0.48731i,7086.8+0.47305i,7022.6+0.4803i,7086.6+0.47002i,6954+0.47576i,7430.6+0.47317i,7221.1+0.48935i,7040.6+0.47142i,7312.4+0.48929i,7333.2+0.47072i,7067.9+0.47483i,7170+0.49895i,7366.5+0.49342i,7056.1+0.49785i,7098.2+0.48788i,7224.9+0.48933i,7115.5+0.50613i,6998.6+0.50481i,6933+0.5061i,7217.5+0.52473i,7159.7+0.51703i,7049.5+0.50711i,7135.3+0.50704i,7203.6+0.50362i,7024.2+0.51235i,6850.7+0.5243i,7108.9+0.54435i,6927.1+0.51633i,7047.9+0.52387i,7033.2+0.52255i,6932.1+0.52537i,7084.2+0.54351i,6880.8+0.53384i,7010.4+0.53755i,7058.4+0.52023i,6801.8+0.5335i,7106.8+0.55239i,7162+0.53576i,7071+0.54523i,6978.6+0.51604i,7074.1+0.53921i,7232.7+0.5585i,7100.7+0.54187i,7174+0.56497i,6928.9+0.54935i,7082.2+0.56067i,7325.8+0.55143i,6916.9+0.55909i,6982.7+0.57836i,7174.5+0.58056i,7031.6+0.57878i,7012.9+0.58143i,7237.5+0.56849i,7008.9+0.57501i
14706+0.2166i,14276+0.21446i,14760+0.2065i,14656+0.20821i,14199+0.21039i,14020+0.20921i,14859+0.20887i,14352+0.21066i,14614+0.21129i,14229+0.21391i,14015+0.20606i,14423+0.20944i,14112+0.21303i,14126+0.20886i,14277+0.21028i,13964+0.20608i,13808+0.21017i,14175+0.20926i,14334+0.20441i,14594+0.20712i,14038+0.21989i,13743+0.22016i,14367+0.21767i,13930+0.21277i,13736+0.20998i,13881+0.22061i,14155+0.21507i,13993+0.21851i,13056+0.208i,13852+0.20384i,13340+0.21503i,13918+0.21565i,13489+0.20486i,13509+0.19845i,13786+0.20925i,13773+0.20554i,13807+0.21193i,13349+0.21427i,13720+0.21217i,13408+0.20454i,13702+0.21182i,13585+0.21266i,13925+0.20021i,13400+0.21467i,13287+0.2154i,13821+0.20815i,13449+0.20668i,13415+0.21292i,13590+0.20613i,13533+0.20766i,13430+0.21068i,13604+0.2093i,13187+0.21618i,13479+0.20868i,12844+0.21011i,13154+0.20924i,13152+0.21912i,13545+0.21575i,13076+0.21201i,13032+0.214i,13012+0.20607i,12919+0.20764i,13394+0.20312i,13182+0.21804i,13032+0.20926i,13008+0.21791i,13245+0.21744i,12698+0.21384i,13006+0.21907i,13068+0.2194i,13252+0.2109i,12840+0.21748i,13179+0.22571i,13098+0.21641i,12750+0.20607i,12777+0.21592i,13000+0.21034i,12860+0.2174i,12718+0.21584i,12526+0.22165i,12883+0.21394i,12660+0.20862i,12750+0.21212i,12901+0.21756i,12324+0.21321i,12395+0.22135i,12412+0.20928i,12249+0.21651i,12213+0.21748i,12457+0.22643i,12344+0.21984i,12764+0.21044i,12205+0.22146i,12420+0.21637i,12401+0.21931i,12465+0.22244i,12444+0.2164i,12102+0.21855i,12236+0.21928i,11837+0.22928i,12329+0.2157i,12316+0.22398i,12051+0.22334i,12046+0.23285i,12131+0.22526i,12178+0.22786i,11971+0.22674i,12205+0.22889i,11947+0.22341i,11727+0.22202i,11742+0.22041i,12255+0.22176i,11409+0.22639i,11521+0.23082i,11713+0.23184i,11706+0.23185i,11044+0.23012i,11165+0.2299i,11242+0.23725i,10942+0.22828i,11450+0.22987i,10980+0.22921i,11459+0.22279i,11284+0.23505i,10827+0.23867i,10758+0.23048i,11356+0.23694i,11067+0.23544i,11003+0.22911i,11380+0.23962i,10940+0.23412i,11001+0.23018i,10823+0.24095i,10467+0.23874i,10607+0.23832i,10797+0.23743i,10297+0.24533i,10727+0.24329i,10372+0.23682i,10359+0.24347i,10288+0.24755i,10397+0.24291i,10295+0.24925i,10126+0.24577i,10170+0.24489i,9640.1+0.24613i,10317+0.25235i,10388+0.24144i,10378+0.25094i,9976.6+0.24624i,9740.7+0.2568i,9848.9+0.25247i,9770+0.25305i,10018+0.25648i,9866.6+0.26112i,9844.7+0.26322i,9609.6+0.26161i,9396.8+0.26333i,9454.8+0.26426i,9509.2+0.25369i,9234.1+0.26829i,9365.5+0.26729i,9431.3+0.25497i,9409.2+0.26585i,9406+0.26625i,9420+0.27102i,9477.7+0.26858i,9531.2+0.26113i,9327.7+0.26519i,9256.5+0.26408i,9130.4+0.2687i,9283.6+0.27018i,8890.7+0.25856i,9048.8+0.26869i,9067.4+0.2693i,8796.8+0.27409i,8751.2+0.26929i,9266.2+0.27262i,8912.2+0.27821i,8730.7+0.2732i,8446.1+0.28611i,8926.7+0.28155i,8603.9+0.28533i,8898.5+0.29003i,8856+0.28063i,8612.5+0.28906i,8564.4+0.29032i,8705+0.29061i,8432.6+0.28701i,8529.1+0.28962i,8605.1+0.29087i,8457+0.28723i,8470.8+0.28953i,8460.8+0.28932i,8421+0.28989i,8288.3+0.29615i,8346.3+0.29781i,8363.8+0.30128i,8314.2+0.28368i,8136.9+0.30026i,8347+0.29159i,8056.2+0.30159i,8285.8+0.30035i,7830.5+0.29754i,8293.3+0.30366i,8311.8+0.29777i,8325.8+0.29809i,8166.3+0.29878i,7799.2+0.29905i,8060.1+0.30651i,8076.1+0.31186i,7977.1+0.30455i,8196.8+0.30684i,7951+0.31903i,8294.1+0.31082i,8015.3+0.31945i,8360.7+0.31277i,8105.8+0.31186i,7871.5+0.31248i,7649+0.32079i,7846.5+0.31107i,7876+0.31021i,7863+0.3162i,7670.1+0.32608i,8075.7+0.33318i,7922.5+0.32428i,8030.5+0.33351i,7541.2+0.32675i,7740.1+0.32835i,7593.6+0.33408i,7891.2+0.32407i,7479+0.32953i,7347.6+0.33884i,7873.4+0.33856i,7786.4+0.33506i,7513.1+0.33885i,7923.7+0.32153i,7631.7+0.34344i,7569.4+0.34346i,7765.3+0.32637i,7582.2+0.34357i,7663.7+0.32707i,7422.3+0.34848i,7425.2+0.34602i,7552.3+0.3338i,7319.9+0.33854i,7296.4+0.35103i,7400.4+0.34891i,7640.4+0.34031i,7364.3+0.34946i,7392.6+0.35825i,7531.2+0.3592i,7426.9+0.3514i,7536.3+0.35203i,7534.9+0.372i,7645.7+0.35385i,7688.3+0.35037i,7377.2+0.35945i,7460.2+0.35746i,7439.3+0.35616i,7471.2+0.34678i,7308+0.35692i,7238.3+0.37613i,7555.1+0.37585i,7302.4+0.35852i,7461+0.36795i,7407.5+0.35424i,7407.3+0.36142i,7311.9+0.3723i,7398.7+0.38571i,7307.2+0.36879i,7547.9+0.3695i,7239.9+0.38348i,7326.7+0.38572i,7328+0.3872i,7118.8+0.3691i,7414.5+0.38031i,7269.4+0.37077i,7288.1+0.37465i,7441.1+0.36805i,7344.1+0.38247i,7363.2+0.38965i,7267.1+0.38559i,7406+0.37697i,7219.6+0.38004i,7342.5+0.38511i,7392.8+0.3861i,7458.3+0.39526i,7396.8+0.38878i,7304.8+0.38811i,7073.3+0.40301i,7346.5+0.41134i,7184.1+0.3918i,7179.1+0.39099i,7269.1+0.40968i,7154.7+0.40076i,7083.2+0.41321i,7267.4+0.39961i,7372.6+0.41647i,7125.8+0.41177i,7212.9+0.39546i,7153.9+0.41322i,6938.1+0.43255i,7165.9+0.4134i,7451.5+0.41512i,7139.3+0.41389i,7266.7+0.4173i,7179.3+0.42295i,7167.9+0.41501i,7359.3+0.41149i,7524.4+0.42507i,7218.7+0.41017i,7032.7+0.42565i,7401.9+0.41111i,7147.4+0.4163i,7123.1+0.4258i,7219.7+0.43839i,7245.3+0.43401i,7123.8+0.43165i,7019.7+0.43324i,7278.2+0.44013i,7174.4+0.44584i,7461.8+0.425i,7326.3+0.44944i,6893.3+0.44332i,6979.4+0.44502i,7172.2+0.45017i,7030.9+0.44383i,7202.7+0.45294i,7085.7+0.45871i,6900.9+0.45101i,7428.1+0.44642i,7098.1+0.45296i,7077.2+0.44839i,7339.8+0.46209i,6786.2+0.46025i,7116+0.46158i,6956.6+0.4592i,7080.9+0.4485i,7078.3+0.47666i,7072.6+0.46448i,7134.2+0.46736i,7100.5+0.4554i,7196.5+0.47305i,7195.3+0.46568i,7239.9+0.47685i,7192.3+0.48137i,7170.9+0.46105i,7179.2+0.49974i,7166.8+0.4847i,7034.6+0.47409i,7116.9+0.47435i,7094.8+0.48517i,7426.9+0.49703i,7076.6+0.50485i,7219.5+0.48819i,7197.6+0.47286i,7241.2+0.48853i,7255+0.51569i,7210.5+0.46703i,7128.8+0.5209i,7042+0.48783i,6939.6+0.49848i,6946.7+0.49939i,7054+0.50049i,7211+0.5253i,6983.9+0.49688i,7338.9+0.51873i,6967.6+0.50309i,6734.2+0.49998i,6908.8+0.52544i,7162.7+0.49557i,7020.1+0.51413i,7096.5+0.50742i,7122+0.51283i,6892+0.5102i,7057.2+0.51364i,7043.4+0.53103i,7237.7+0.52831i,7104.5+0.52194i,7103.1+0.52337i,7308.3+0.52412i,7091.9+0.53827i,7166.4+0.53686i,7125.6+0.5422i,7375.8+0.54737i,7098.6+0.54037i,7383.4+0.55808i,7107.6+0.56831i,7225.5+0.53334i,7098.1+0.54865i,7163.8+0.58412i,7044.5+0.54647i,7308.5+0.54865i,7077.9+0.5697i,6926.6+0.57762i,7165.1+0.56776i,7102.7+0.55697i,6868.1+0.58033i,6953+0.58063i,7224.4+0.56665i
14738+0.2143i,14679+0.20616i,14572+0.20214i,14421+0.21252i,13927+0.2092i,14251+0.21426i,14071+0.20959i,14330+0.21033i,14303+0.21539i,14546+0.2031i,14512+0.20656i,14604+0.21708i,14822+0.20937i,13855+0.20985i,14293+0.20423i,14264+0.20679i,14048+0.21343i,14667+0.20971i,13814+0.21242i,13539+0.20957i,13881+0.21885i,14167+0.21212i,13598+0.2138i,13656+0.20718i,14141+0.21196i,13795+0.2109i,13732+0.21157i,13876+0.21112i,14081+0.21966i,13554+0.20519i,13725+0.21507i,13856+0.21272i,13869+0.21641i,14096+0.21097i,13701+0.21414i,13803+0.20242i,14060+0.21263i,14156+0.21087i,13512+0.20646i,14035+0.21183i,13090+0.20621i,13759+0.20852i,13932+0.20631i,13227+0.22223i,12831+0.21229i,13665+0.21379i,13136+0.22098i,12940+0.21772i,13212+0.21293i,12893+0.20839i,13838+0.2132i,13289+0.20368i,13861+0.21026i,13741+0.21238i,13222+0.21624i,13685+0.21012i,12710+0.21169i,13117+0.2154i,13579+0.22116i,13421+0.2171i,13218+0.21029i,12854+0.2143i,13277+0.21178i,13184+0.21652i,12919+0.20765i,13390+0.22279i,13198+0.20716i,13224+0.2152i,12954+0.22183i,13340+0.21372i,13143+0.21025i,12813+0.21601i,13103+0.21498i,13089+0.21076i,13456+0.21809i,12958+0.2202i,12728+0.20606i,12750+0.2143i,13276+0.21278i,12720+0.21657i,12573+0.22239i,13036+0.22368i,13068+0.21885i,12776+0.21777i,12620+0.21645i,12280+0.21466i,12558+0.22256i,12398+0.21284i,12542+0.21707i,12459+0.22341i,12819+0.21556i,12183+0.22268i,12736+0.21929i,12521+0.21766i,12088+0.22203i,12168+0.22371i,12089+0.21931i,11850+0.22505i,12011+0.21742i,12575+0.22013i,12281+0.2193i,11855+0.21678i,12426+0.21658i,11804+0.21597i,12491+0.21478i,11783+0.22315i,11751+0.22351i,11913+0.22166i,11566+0.22808i,12197+0.22488i,11730+0.22711i,11573+0.22876i,11804+0.23031i,11918+0.23352i,11835+0.22349i,11309+0.2231i,11671+0.22893i,11314+0.22487i,11477+0.22566i,11485+0.23029i,11124+0.22985i,11342+0.23024i,11160+0.23223i,11108+0.22642i,11428+0.2426i,11026+0.24017i,10743+0.23302i,10736+0.23887i,10834+0.23382i,10779+0.22646i,10618+0.23431i,11050+0.23733i,10893+0.23076i,10762+0.23933i,10525+0.24117i,10571+0.23715i,10413+0.24604i,10467+0.24629i,10515+0.24205i,10645+0.23404i,10229+0.24108i,10203+0.24878i,10630+0.23908i,10215+0.24576i,10055+0.25581i,9868.4+0.23787i,9869.5+0.25042i,10153+0.2561i,10038+0.25351i,10015+0.25331i,9528.3+0.24699i,9908.3+0.25126i,9707.9+0.24424i,10033+0.25067i,9898.4+0.24384i,9394.5+0.25401i,9519.3+0.24905i,9929.1+0.25462i,9935.8+0.25124i,9381.2+0.25727i,9299.5+0.25064i,9402.3+0.26491i,9506.2+0.26503i,9218.6+0.25657i,8916.4+0.26693i,9356.9+0.26271i,9152.6+0.27066i,9445.3+0.26682i,9191.2+0.25774i,9526.5+0.2714i,9026.3+0.27405i,8877.4+0.27267i,9115.5+0.27718i,9088.2+0.2691i,9137.2+0.27131i,9206.6+0.28824i,9054.4+0.27581i,8832.5+0.26885i,8844.8+0.27949i,8943.9+0.27464i,8566.2+0.2778i,8631.7+0.2927i,8512.9+0.27128i,8261.5+0.28834i,8453.1+0.28023i,8592.7+0.28502i,8751.9+0.28616i,8604.9+0.29225i,8703.7+0.28544i,8892.9+0.28147i,8720.4+0.27985i,8733.2+0.29228i,8359+0.29285i,8508.2+0.28168i,8507.3+0.28986i,8475.4+0.28379i,8300.3+0.28183i,8426.4+0.29035i,8072.5+0.2946i,8211+0.30257i,8242+0.29377i,8235.1+0.30602i,8555+0.28983i,8169.6+0.30405i,7983.6+0.30222i,7987.3+0.30478i,8292.5+0.31149i,8063.8+0.30749i,8041.3+0.30691i,8075.6+0.3153i,7835+0.31074i,8082.1+0.30983i,7885.4+0.3043i,7980.9+0.30883i,7940.6+0.31803i,7862.3+0.31594i,7887.7+0.31211i,7949.1+0.31637i,7832.6+0.31844i,7975.4+0.31736i,8146.9+0.31599i,7407.1+0.3211i,8042.5+0.31797i,7724.1+0.32383i,7465.2+0.33594i,7835.6+0.32313i,7764.5+0.32306i,7521.9+0.32935i,7590.4+0.33082i,7802.9+0.32326i,7948+0.32555i,7557.8+0.32635i,7621.1+0.33173i,7750.2+0.32903i,7794.2+0.3352i,7572.8+0.34103i,7554.3+0.33402i,7646.7+0.33691i,7572.6+0.3447i,7658.3+0.3331i,7795.8+0.35133i,7651.7+0.33281i,7300+0.3374i,7836.2+0.33007i,7596.7+0.33448i,7717.1+0.35803i,7841.2+0.35012i,7375.4+0.3484i,7632.6+0.33988i,7567.4+0.35658i,7705.4+0.33929i,7627.9+0.35761i,7531.2+0.35487i,7187.7+0.35837i,7415.6+0.36102i,7490.4+0.35308i,7459.6+0.34652i,7541.5+0.36129i,7436.9+0.36739i,7657.6+0.36371i,7248.7+0.36128i,7283.2+0.36275i,7456.4+0.37343i,7238.1+0.3693i,7304.8+0.36974i,7349+0.3626i,7512+0.37415i,7266.3+0.35434i,7576.4+0.37185i,7358.3+0.36517i,7267.8+0.38481i,7259.5+0.38151i,7582+0.36754i,7043.6+0.38587i,7561.2+0.37883i,7292.6+0.37814i,7348.6+0.38435i,7243.3+0.38437i,7323.6+0.38045i,7306.7+0.39253i,7247.1+0.38058i,7163.8+0.38472i,6869.5+0.3808i,7220.8+0.37496i,7275.3+0.37702i,7252.1+0.39569i,7270.6+0.39667i,7209+0.3862i,7194.4+0.39111i,7165.1+0.40753i,7336+0.3901i,7124+0.39583i,7317.1+0.39612i,7303.4+0.39709i,7286.1+0.39272i,7184.9+0.40731i,7457.6+0.40096i,7201.8+0.4131i,7277.6+0.40718i,6980+0.4015i,7388.3+0.40751i,7456+0.41356i,7438.5+0.44508i,7098.6+0.41477i,7380.7+0.40236i,7504.1+0.40642i,7134.5+0.41539i,7297.3+0.40726i,7142+0.41778i,7280.8+0.41534i,7381.4+0.41621i,7245.2+0.41821i,6973.1+0.44097i,7097+0.4131i,7098.4+0.40298i,7185.9+0.4218i,7429.2+0.42208i,7063.4+0.42139i,7259.1+0.42927i,7169.5+0.43397i,7059+0.43834i,7177.8+0.44735i,7229.4+0.42612i,7299.6+0.43011i,7016.2+0.44919i,6891.6+0.46371i,7257.3+0.4521i,7168.9+0.45576i,7249.6+0.46552i,7254.7+0.45115i,7026.1+0.44764i,7259.7+0.45356i,7186.1+0.46443i,7215.5+0.46142i,7508+0.45605i,7138.6+0.44309i,7374.4+0.4696i,7155.9+0.45465i,7160.5+0.46225i,6955.4+0.45911i,6974.3+0.4671i,7289.5+0.46586i,7216.5+0.45645i,7094.5+0.47085i,7121.3+0.46057i,7162.3+0.47456i,7503.6+0.47922i,6848.7+0.4861i,7170.6+0.50345i,7038.7+0.47732i,7416.8+0.46782i,7111.9+0.46981i,7145.6+0.50277i,7211.5+0.50356i,7185.1+0.47602i,7077.2+0.4989i,7140.5+0.50709i,7077.9+0.48926i,7197.3+0.49099i,7093.2+0.48784i,6986.6+0.50345i,6989.7+0.49574i,7273.9+0.50448i,7127.8+0.51215i,7000.2+0.50854i,7249+0.49967i,6995+0.50442i,7092.1+0.51623i,7220.2+0.50088i,7222.6+0.51444i,7138.2+0.52826i,7045.5+0.50533i,7053.8+0.51769i,7295+0.52024i,7086.6+0.51589i,6960.9+0.54326i,7208.6+0.52414i,6956.2+0.52645i,7207.1+0.52831i,6967.4+0.51718i,7138.2+0.53057i,6970.3+0.51144i,7116.3+0.5578i,6937.9+0.54407i,7310.4+0.53986i,6990.1+0.5414i,6970.7+0.54287i,7079.2+0.54387i,6786.1+0.54i,7233.7+0.53669i,7124.4+0.55976i,6982+0.5539i,7356.1+0.56777i,7110.9+0.566i,7177.6+0.55721i,6928.4+0.55987i,7037.9+0.54935i,6999.8+0.57293i,7115.4+0.56684i,6740.8+0.57801i,7326.9+0.5647i
