14610+0.20598i,14282+0.21135i,14274+0.21366i,14870+0.21362i,14717+0.20879i,14729+0.20914i,14614+0.21586i,14641+0.21732i,14208+0.20326i,14298+0.21505i,14739+0.21399i,13928+0.20211i,14336+0.21398i,14076+0.21626i,14176+0.20498i,14274+0.20592i,14028+0.20713i,14189+0.2143i,14068+0.21174i,13783+0.2119i,14232+0.21375i,14112+0.20406i,14383+0.2097i,14268+0.21235i,13438+0.21161i,14405+0.20633i,13975+0.21247i,13814+0.20582i,13831+0.21515i,13971+0.20928i,14064+0.21281i,14081+0.21384i,13763+0.21219i,13970+0.21009i,13520+0.21448i,13577+0.20919i,13806+0.2026i,14005+0.21055i,13841+0.20956i,13318+0.21217i,13448+0.20557i,13532+0.21852i,13310+0.20794i,13350+0.21392i,13775+0.21099i,13211+0.20579i,13924+0.20567i,13155+0.20821i,13414+0.21387i,13288+0.21448i,13488+0.20927i,12986+0.21283i,13395+0.21427i,13145+0.21474i,13690+0.2132i,13692+0.2131i,13693+0.20607i,13351+0.21092i,13370+0.2073i,12899+0.21074i,12898+0.21258i,13047+0.21409i,12997+0.20924i,13064+0.21415i,13417+0.21238i,12985+0.21455i,12988+0.20756i,12878+0.21633i,12459+0.21437i,13263+0.21707i,13082+0.21701i,12812+0.21299i,12995+0.21248i,13185+0.21211i,12810+0.21847i,13212+0.21423i,13131+0.21086i,12710+0.21486i,12718+0.21166i,12397+0.21447i,13104+0.22048i,12752+0.22017i,12625+0.21744i,12611+0.2176i,12407+0.21955i,12170+0.21225i,12702+0.21716i,12505+0.21102i,12272+0.2226i,12425+0.20798i,12410+0.22269i,12718+0.21864i,12344+0.21571i,12501+0.2142i,11961+0.21711i,12488+0.21583i,12290+0.21643i,12624+0.22255i,11863+0.22545i,11797+0.21399i,12229+0.21904i,11803+0.22652i,11715+0.23304i,11947+0.21991i,12429+0.22627i,11731+0.22757i,11777+0.22678i,12072+0.22397i,11778+0.22774i,11713+0.22918i,11461+0.22435i,11836+0.22927i,11431+0.22469i,11648+0.22819i,11754+0.23069i,11176+0.22545i,11453+0.22595i,11187+0.22629i,11097+0.22264i,11183+0.23396i,11215+0.2364i,11278+0.23215i,11409+0.22618i,11412+0.23187i,11023+0.23266i,11188+0.23346i,10924+0.23917i,10747+0.23473i,10638+0.23598i,10921+0.23492i,11028+0.23156i,10456+0.24322i,11474+0.23517i,10790+0.24079i,10840+0.23507i,10521+0.24097i,10428+0.24386i,10794+0.24834i,10266+0.24839i,10302+0.23769i,10515+0.24109i,10208+0.24558i,10164+0.24461i,10300+0.24434i,10241+0.24725i,10111+0.25382i,10012+0.25396i,10030+0.24553i,10152+0.23342i,9849+0.258i,10045+0.25375i,9688.3+0.24912i,9785+0.24796i,9829.6+0.25181i,9536+0.24598i,9545.6+0.24849i,9569.8+0.24906i,9626.3+0.25468i,9539.3+0.25997i,9551.9+0.25722i,9173.1+0.25924i,9921.1+0.26313i,9595.1+0.25419i,9480.5+0.25832i,9471.9+0.25536i,9569.5+0.2575i,9198.5+0.27244i,9380.6+0.25967i,9524.3+0.26178i,9296.6+0.27069i,9589.4+0.27463i,9109.6+0.26798i,8557.3+0.27595i,8763.4+0.26979i,9178.3+0.27444i,9024.1+0.27025i,8808+0.27323i,9059+0.27168i,8900.8+0.27405i,8691.1+0.27205i,8809.8+0.28078i,8509.5+0.2751i,8853.4+0.27637i,8796.4+0.28587i,8501.3+0.28594i,8629.3+0.2852i,8433.3+0.28596i,8502.7+0.28673i,8428.7+0.2778i,8489.6+0.28261i,8563.6+0.28548i,8626+0.29041i,8373+0.29109i,8472.3+0.29547i,8399+0.27453i,8501.6+0.29787i,8386+0.29069i,8269.1+0.29288i,8369.8+0.29438i,8128.8+0.29611i,8123.6+0.29667i,7972.2+0.30018i,8084.8+0.31144i,8373.5+0.3047i,8023.4+0.30043i,8049.5+0.30949i,8346.5+0.30845i,8232.6+0.31622i,8111.9+0.30009i,7995.6+0.30843i,7725.3+0.30739i,8105.3+0.30942i,7955.3+0.30866i,8160.7+0.31481i,7927.5+0.3074i,8352.8+0.30787i,8008.4+0.31621i,7857.9+0.3188i,7643.4+0.31594i,7805.8+0.31976i,8034.1+0.32525i,7741+0.32656i,7595+0.31829i,7854+0.31135i,7484.3+0.31076i,7560.1+0.32085i,8027.5+0.32599i,7620.7+0.33002i,7779+0.33463i,7592.1+0.32103i,7822.5+0.31169i,7714.4+0.321i,7437.2+0.33922i,7813.1+0.32549i,7418+0.32275i,7726.9+0.32211i,7414.6+0.33784i,7602.6+0.34111i,7490.9+0.33851i,7582.8+0.3505i,7518.8+0.33395i,7599.3+0.34035i,7381+0.3406i,7555.9+0.35238i,7354.1+0.33553i,7228+0.3515i,7624.5+0.33623i,7367.1+0.34318i,7404+0.35146i,7514.5+0.35003i,7636.4+0.34224i,7558.2+0.36495i,7535.9+0.35915i,7623.6+0.36358i,7283.3+0.35381i,7323.9+0.35155i,7172+0.3606i,7456.3+0.38106i,7515.3+0.35928i,7085.1+0.36463i,7194.6+0.36248i,7505+0.37551i,7435.6+0.35265i,7297.8+0.37434i,7398.1+0.36799i,7469.7+0.35982i,7284.1+0.36373i,7569.6+0.36887i,7212.3+0.36816i,7487+0.37413i,7514.9+0.36991i,6992.6+0.36741i,7347.2+0.37075i,7490.8+0.36445i,7358.9+0.37544i,6928.1+0.39302i,7160.8+0.38208i,7423.8+0.3768i,7459.5+0.38771i,7163.8+0.3892i,7259+0.37021i,7377+0.39984i,7357.5+0.38348i,7115.3+0.38837i,7170.6+0.38145i,7184.7+0.37704i,7239.8+0.39348i,7291.1+0.39471i,7112.9+0.38441i,7071.8+0.39252i,7145.8+0.39733i,7595.9+0.38976i,7284.6+0.38645i,7174+0.40421i,6932.1+0.40934i,7401.8+0.40626i,7117.2+0.41441i,7246.3+0.40003i,7032.4+0.40367i,7257.6+0.41545i,7126.8+0.4122i,7062.1+0.4003i,7378.1+0.39938i,7337+0.42263i,7138.7+0.40897i,7012.3+0.40978i,7310.5+0.42332i,7176.4+0.40585i,7133.3+0.41502i,7093.2+0.41579i,7452+0.42312i,7114.9+0.44004i,7216.1+0.44218i,7357.8+0.40532i,6933.5+0.41163i,7030+0.4299i,7214.7+0.43921i,7070.1+0.44014i,7192.8+0.43167i,7203.9+0.44343i,7119.2+0.42821i,7110.1+0.4492i,7264.3+0.42864i,7218.3+0.43132i,7379.2+0.42326i,6924.9+0.44951i,7077.7+0.44719i,7075.6+0.44649i,6852.8+0.43978i,7159.1+0.43478i,7116.1+0.4469i,7055.5+0.45132i,7144.1+0.44507i,7134.7+0.46319i,7270.8+0.44449i,7335.7+0.46167i,7384.1+0.45586i,7215.2+0.48014i,7103.5+0.46456i,7371+0.47046i,7156.8+0.48327i,7236.4+0.44599i,7105.5+0.4604i,6978.2+0.46274i,7070.5+0.48211i,6905.3+0.46335i,6807.5+0.48858i,6882.8+0.46769i,7382.5+0.47886i,7367.2+0.47837i,7071.4+0.47529i,6864.8+0.48082i,7343.3+0.49278i,7216.1+0.47132i,7290.6+0.49962i,7284.6+0.47905i,7236.7+0.50806i,7370.1+0.49454i,7075.9+0.48091i,7125.6+0.49361i,7175.1+0.49315i,7128.4+0.50752i,7214.6+0.51745i,7229.2+0.5091i,7116.1+0.49617i,7137.1+0.48719i,6989.6+0.51685i,7014.7+0.51803i,7204.3+0.51483i,7054+0.52i,7118.6+0.51193i,7273.8+0.52976i,7474+0.52873i,7133.2+0.49352i,6934+0.51215i,6991.3+0.53155i,7138.3+0.53042i,7112.2+0.52595i,7150.2+0.52636i,6804.5+0.52091i,7270.6+0.51529i,7322.6+0.53149i,6998.5+0.53941i,7035.4+0.55178i,6921.1+0.5183i,7193.9+0.53215i,7289.3+0.549i,7046.2+0.55218i,7093+0.5535i,7135.7+0.55386i,6934+0.55886i,7053.4+0.54343i,7248+0.57937i,7268.2+0.56461i,7037.7+0.56419i,7092.4+0.56849i,7045+0.55502i,7119.3+0.55823i,7013.8+0.58215i,7002.8+0.57576i,7046.1+0.56663i
14731+0.20943i,14476+0.20755i,15058+0.21293i,14793+0.20849i,14485+0.20321i,14652+0.2055i,14809+0.21088i,14394+0.2101i,14490+0.20676i,14249+0.21424i,13721+0.21384i,14617+0.21216i,14495+0.21217i,14540+0.21019i,13926+0.20893i,14503+0.2126i,14000+0.21617i,14173+0.20411i,14235+0.21541i,14518+0.20997i,13838+0.20471i,14118+0.2129i,14230+0.2089i,13893+0.20826i,14003+0.20867i,14127+0.21017i,13714+0.21174i,14084+0.21374i,14292+0.2149i,13774+0.2119i,13988+0.20579i,14081+0.20822i,14224+0.21792i,13666+0.20573i,13577+0.20935i,13908+0.21206i,13868+0.21752i,13667+0.21071i,13525+0.20858i,13750+0.21388i,13524+0.21068i,13513+0.21133i,13401+0.2102i,13857+0.1999i,13432+0.20501i,13667+0.21608i,13825+0.21321i,13723+0.21229i,13809+0.20095i,12958+0.20939i,13548+0.21633i,13769+0.20423i,13716+0.21997i,13375+0.20632i,14150+0.20865i,13472+0.21084i,13336+0.22038i,13088+0.21722i,13705+0.21589i,13426+0.21804i,13118+0.21187i,13060+0.21744i,13398+0.2168i,12746+0.21045i,12925+0.20653i,13038+0.21225i,13273+0.21758i,12810+0.21473i,12934+0.21545i,13372+0.20857i,12987+0.21634i,12521+0.21902i,13018+0.22483i,13129+0.21801i,13283+0.21346i,13161+0.21434i,12983+0.21577i,12733+0.21102i,12779+0.21599i,12763+0.2158i,12669+0.21838i,12885+0.21975i,12662+0.2141i,13044+0.2158i,12502+0.21347i,12549+0.21724i,12451+0.21683i,12210+0.21461i,12206+0.21787i,12683+0.2155i,12203+0.21367i,12529+0.21955i,12395+0.22372i,11956+0.22506i,11904+0.22393i,12318+0.21737i,12388+0.22396i,12131+0.22419i,12565+0.22549i,12460+0.21714i,11814+0.21335i,12283+0.21815i,11801+0.21684i,11922+0.22014i,11991+0.21813i,11827+0.22387i,12245+0.22907i,11747+0.23099i,12020+0.22068i,11606+0.22361i,12040+0.22408i,11966+0.2253i,12108+0.23361i,11147+0.23064i,11427+0.2198i,11343+0.23314i,11350+0.23427i,11490+0.23117i,11075+0.22454i,11272+0.22848i,11247+0.23535i,11079+0.23374i,10956+0.22625i,11210+0.24092i,11317+0.22272i,10926+0.22941i,10756+0.23976i,10991+0.22698i,11010+0.23352i,10677+0.23776i,10656+0.23603i,10651+0.22853i,10640+0.23652i,10809+0.2412i,10568+0.23978i,10545+0.24005i,10291+0.24288i,10516+0.2401i,10650+0.23605i,10613+0.23719i,10470+0.24198i,10265+0.24701i,10525+0.24715i,10313+0.24465i,9848.3+0.24019i,10401+0.24633i,10100+0.24768i,10131+0.2477i,10201+0.24733i,9760.1+0.25312i,10277+0.24833i,10106+0.25085i,9878.7+0.2546i,9733.1+0.25631i,9683.5+0.25253i,9797.8+0.26434i,9716.8+0.2512i,9904.3+0.25626i,9777.8+0.25572i,9516.2+0.25332i,9693.6+0.26183i,9292.7+0.25697i,9557.3+0.25677i,9542.3+0.25341i,9536+0.26059i,9268.1+0.2695i,9159.3+0.25908i,9549.1+0.26133i,9337+0.27009i,9248.8+0.27012i,9053.5+0.27368i,9265.8+0.27159i,8721.7+0.26719i,8943.1+0.27874i,9195.6+0.27045i,9250.8+0.27462i,9059.5+0.26235i,8800.7+0.27142i,8855.3+0.27826i,8858.8+0.27192i,9112.1+0.28231i,8863.9+0.28632i,8699.2+0.28015i,8979.9+0.28867i,8421.2+0.29407i,8709.5+0.28041i,8580.4+0.28135i,8490.2+0.29116i,8880.6+0.29341i,8635.6+0.29205i,8360.9+0.29748i,8760+0.28148i,8327+0.29927i,8404.7+0.28947i,8018+0.29224i,8289.7+0.29021i,8094.8+0.29734i,8794.7+0.29206i,8286.8+0.29872i,8155.7+0.30069i,8254.6+0.29489i,8217.4+0.30347i,8050.9+0.30122i,8192.9+0.29647i,8363.2+0.29485i,8258.4+0.29801i,8081.8+0.31111i,8140+0.29417i,7941.7+0.30094i,7904+0.3101i,8064.5+0.30032i,8549.3+0.31026i,7695.3+0.30941i,7879.1+0.30651i,7819.3+0.32067i,7995.9+0.31358i,7901.7+0.31498i,7838.2+0.3092i,7594.8+0.31771i,7802.2+0.31213i,7808.7+0.32153i,7837.5+0.32443i,7915.6+0.3259i,7835.6+0.31702i,8125.7+0.33391i,7586.7+0.32525i,7482.9+0.33271i,7756.7+0.31974i,7284.7+0.31244i,8047.3+0.31639i,7822.6+0.32452i,7746.5+0.3376i,7774.2+0.33886i,7722.4+0.3294i,7970.8+0.34107i,7448.2+0.32679i,7749.7+0.33805i,7659.7+0.33816i,7513+0.33978i,7903.5+0.33757i,7399.3+0.32373i,7688.5+0.34152i,7613.3+0.34221i,7353.2+0.35094i,7856.7+0.34606i,7598+0.346i,7607.2+0.34397i,7363.6+0.35059i,7482.1+0.3491i,7298.4+0.35552i,7516.3+0.34665i,7271.3+0.35532i,7486.9+0.35683i,7501.7+0.36478i,7406.6+0.35244i,7461.4+0.36683i,7395.6+0.35776i,7473.5+0.35772i,7413.9+0.35448i,7299.9+0.35744i,7406.8+0.36486i,7202.5+0.3743i,7363.4+0.36255i,7576.4+0.36259i,7470.6+0.36153i,7144+0.36825i,7323.5+0.37521i,7153+0.37629i,7286.2+0.37553i,7444.3+0.37349i,7354.1+0.36683i,7446.9+0.37589i,7541.9+0.3719i,7481.3+0.39279i,7267+0.37392i,7308.7+0.37782i,7216.6+0.38379i,7297.1+0.38311i,7252.9+0.40248i,7416.8+0.38808i,7376.3+0.37926i,7373.2+0.37648i,7575.2+0.39304i,6975.9+0.39108i,7231.4+0.39274i,7281.4+0.39577i,7269.3+0.38483i,7265.7+0.40061i,7246.7+0.38976i,7289.6+0.38809i,7191.7+0.39258i,7175.1+0.41758i,7555.4+0.39025i,7243.2+0.39431i,7529.6+0.41783i,7251.2+0.3954i,7199.5+0.41342i,7316.5+0.39403i,7261.8+0.41097i,7349.4+0.39964i,7121.9+0.39591i,7263.8+0.41312i,7375.9+0.38948i,7167+0.42677i,7212.4+0.41223i,7183+0.41331i,7224+0.41756i,7049.5+0.42295i,7232.3+0.42278i,7040.1+0.43091i,7125.7+0.42466i,7406.2+0.42928i,6931+0.42454i,7216.7+0.4258i,7032.3+0.4313i,7134.6+0.42701i,7317+0.42567i,7094.8+0.42499i,7206.4+0.43022i,6861.6+0.42791i,7227.9+0.43437i,7160.1+0.45677i,6953.4+0.44021i,6970.3+0.43047i,7150.6+0.43044i,7153.8+0.44621i,7252.7+0.45812i,7088.8+0.45182i,6978.4+0.45388i,7143.9+0.44714i,7114.4+0.44732i,7261.5+0.44403i,7224.2+0.45658i,7099.3+0.44045i,7174.4+0.47167i,7196.5+0.44887i,6993.5+0.45408i,7235.9+0.46922i,7106.4+0.46939i,7409.2+0.46375i,7199.1+0.48238i,6855.6+0.46286i,7356.8+0.46957i,7257.6+0.458i,7354.8+0.48067i,7266.3+0.46755i,7157.3+0.47337i,7324.1+0.46448i,7110.3+0.461i,7160.6+0.48412i,7036.2+0.47648i,7295.4+0.47967i,6956.4+0.47785i,7024.1+0.49002i,7086.3+0.49615i,7090.4+0.48697i,7170.3+0.48834i,7061+0.48992i,7295.5+0.49339i,6815.8+0.48407i,7119.4+0.51087i,6788.4+0.4887i,6843.4+0.49992i,7062.3+0.51064i,6841.6+0.50774i,7147+0.52024i,7139.2+0.50984i,7241.9+0.50948i,6975.9+0.50998i,7076.8+0.49204i,6918.1+0.51768i,7064.3+0.50324i,7138.3+0.52299i,7226.8+0.52177i,7195.4+0.53429i,6774.1+0.53575i,6967.6+0.5277i,7228.8+0.5198i,7153.1+0.53438i,7043.8+0.52549i,6923.1+0.54488i,7100.4+0.53738i,7044.6+0.55387i,6870.3+0.52414i,7260.6+0.52529i,6843.2+0.55165i,7169.5+0.54394i,6986.2+0.53667i,6982.9+0.54841i,7161.5+0.54482i,6857.4+0.55337i,6980+0.55862i,6771.5+0.54815i,7152.3+0.54853i,7284.9+0.56983i,6964.8+0.56485i,7076.4+0.55066i,7104.7+0.57255i,7257.7+0.58126i,6837.3+0.57848i,7241.2+0.56914i
14494+0.21174i,14610+0.20824i,14544+0.20819i,13986+0.20555i,14689+0.2102i,14748+0.20075i,14980+0.2056i,14597+0.20886i,14341+0.21573i,14424+0.20965i,13691+0.2091i,13948+0.20885i,13985+0.21185i,14183+0.20475i,14097+0.21171i,14109+0.20627i,14318+0.21203i,13919+0.20969i,13969+0.20649i,13851+0.20194i,14169+0.22253i,14123+0.21351i,14417+0.2056i,13817+0.20229i,14174+0.20806i,13924+0.20147i,14319+0.21395i,13759+0.22278i,13492+0.2052i,14060+0.21453i,13676+0.20942i,13685+0.2084i,13689+0.20994i,13958+0.21493i,13811+0.2114i,13533+0.20508i,13654+0.2072i,13293+0.21654i,13776+0.21895i,13966+0.20802i,13256+0.20642i,13397+0.2047i,13600+0.2067i,13192+0.21276i,13660+0.21212i,13789+0.21309i,13555+0.20674i,13142+0.20986i,13616+0.21233i,13561+0.21181i,13742+0.20598i,14221+0.21239i,13142+0.20983i,12571+0.21602i,13464+0.21367i,13819+0.21563i,13814+0.21464i,13537+0.21863i,13509+0.21142i,13277+0.21013i,13022+0.20744i,13114+0.21346i,12735+0.2138i,13193+0.21393i,13270+0.20686i,12708+0.21595i,12670+0.21334i,13143+0.21115i,12889+0.22079i,12698+0.21871i,13256+0.20903i,12605+0.21694i,12692+0.21621i,12862+0.21951i,13164+0.21529i,13188+0.21227i,13092+0.20754i,12899+0.21456i,12891+0.21634i,12675+0.21006i,12572+0.21302i,12540+0.21517i,12607+0.21336i,12985+0.21401i,12264+0.2159i,13049+0.20837i,12355+0.21384i,12026+0.21494i,12570+0.22476i,12367+0.21712i,12686+0.219i,12470+0.21683i,12864+0.22661i,12035+0.2181i,12230+0.22361i,12130+0.22261i,11906+0.22032i,12290+0.21463i,12045+0.22484i,12634+0.22289i,12131+0.22756i,12131+0.21798i,11976+0.21709i,12083+0.22507i,11791+0.21946i,12159+0.21342i,12073+0.22037i,12246+0.22688i,11544+0.22032i,11938+0.21899i,11775+0.22538i,11377+0.22875i,11577+0.22607i,11573+0.23005i,11493+0.23131i,11227+0.22762i,11213+0.2216i,11568+0.23757i,11460+0.22686i,11380+0.22915i,11583+0.2327i,11289+0.23595i,11584+0.23274i,11015+0.23874i,11158+0.23576i,11301+0.23069i,10740+0.23244i,11341+0.2328i,10903+0.23065i,11103+0.23466i,10644+0.23572i,10403+0.23445i,10781+0.23725i,10926+0.23218i,10681+0.24133i,10703+0.24167i,10651+0.24095i,10243+0.24017i,10493+0.24645i,10461+0.23933i,10392+0.23956i,10398+0.24206i,10333+0.24748i,9992+0.24416i,10031+0.24651i,10226+0.24536i,10431+0.25147i,10353+0.25333i,10422+0.25203i,10132+0.24826i,9687.5+0.24815i,9997.3+0.25604i,9724+0.2425i,9931+0.25763i,9682.8+0.25867i,9703.8+0.25755i,9752+0.25342i,9486.5+0.25339i,9909.9+0.25101i,9692.5+0.25683i,9555+0.25587i,9678.8+0.25883i,9370+0.25721i,9406.7+0.26487i,9375.2+0.27155i,9336.7+0.25913i,9115.3+0.26613i,9500.3+0.26762i,9276.5+0.26801i,9226.4+0.26324i,9061.5+0.27035i,9475.1+0.27486i,9272.9+0.27457i,8791.1+0.27784i,8518.8+0.27057i,9083.7+0.27448i,9028.8+0.26874i,8706.6+0.27534i,8804.2+0.26989i,8694.4+0.27814i,8448.8+0.26979i,8959.1+0.27942i,9174.5+0.28274i,8830.8+0.27688i,8946.7+0.28141i,8356.4+0.27406i,8527.9+0.28581i,8198.4+0.28077i,8490.4+0.2898i,8493.1+0.27841i,8522+0.30066i,8421.5+0.28961i,8602.6+0.28385i,8009.6+0.296i,8304+0.30314i,8203.6+0.29242i,8089.8+0.29042i,8338.2+0.2924i,8497.2+0.29654i,8168.9+0.30331i,7916.3+0.29852i,8315.5+0.30312i,8315.7+0.29952i,8333.7+0.30123i,7837.3+0.30166i,8006+0.29762i,8052.2+0.29966i,8059.6+0.31359i,8268.2+0.3161i,7948+0.30915i,8348.2+0.31201i,7850+0.31415i,8146.3+0.30824i,7859.1+0.31385i,8075.6+0.31546i,7685.5+0.31189i,7698.3+0.30669i,8022.2+0.31467i,7902.5+0.31285i,8034.2+0.31208i,7563.7+0.32138i,7911.5+0.31959i,8171.5+0.32101i,7740.5+0.32275i,7720+0.33039i,7543.8+0.31677i,7749+0.32103i,7713.7+0.32602i,7941.5+0.33183i,7529.5+0.32152i,7651.6+0.34284i,7577.7+0.32692i,7605.2+0.32988i,7298.8+0.33758i,7490.2+0.34052i,7822.1+0.32215i,7824.9+0.32788i,7417.3+0.33403i,7462.9+0.32555i,7686.3+0.3437i,7648.5+0.33659i,7701.4+0.34342i,7455.8+0.3461i,7415.5+0.33388i,7552+0.34602i,7341.6+0.35666i,7469.6+0.35198i,7502.7+0.33306i,7243+0.35614i,7346.5+0.36593i,7488.9+0.3573i,7426.6+0.34625i,7639+0.34672i,7182.6+0.34249i,7594.4+0.35222i,7521.4+0.3593i,7306.3+0.35783i,7546.1+0.35726i,7457.2+0.35845i,7553.4+0.35275i,7555.9+0.35423i,7296.8+0.36302i,7275.9+0.36696i,7508.6+0.37626i,7538.7+0.37146i,7462.1+0.36987i,7392.6+0.37394i,7281.6+0.37018i,7657.2+0.37542i,7402.7+0.37295i,7609.9+0.35475i,7358.4+0.37019i,7192.6+0.36442i,7303.3+0.37467i,7259.3+0.38021i,7243.1+0.37788i,7453.4+0.3709i,7368+0.37739i,7271.1+0.38557i,7343.9+0.38552i,7374.6+0.38834i,7426.1+0.38321i,7379.2+0.39969i,7172.7+0.38899i,7340.5+0.40374i,7091.5+0.40087i,7296.7+0.38618i,7152.6+0.38792i,7089.1+0.39126i,7158.4+0.4077i,7425.2+0.3963i,7278.3+0.40113i,7398.9+0.40531i,6852.9+0.38945i,7162+0.40835i,7385.1+0.39645i,7278.6+0.40133i,7279.7+0.41489i,7161.9+0.42278i,7145.3+0.40362i,7326.9+0.4043i,7057+0.40563i,7381+0.4104i,7174.7+0.41748i,7109+0.42633i,7081.2+0.4263i,7397.5+0.39653i,7110.5+0.41858i,7401.8+0.42234i,7212+0.41131i,7224.4+0.4278i,7440.4+0.41844i,7102.9+0.4298i,7083.2+0.43093i,7195.8+0.41867i,7157.4+0.4318i,7067.3+0.42932i,6942.8+0.42889i,6976+0.43883i,7138.9+0.44504i,7040.3+0.44991i,7113.4+0.43011i,7054.9+0.43187i,7140+0.43836i,6836.8+0.43664i,7104.1+0.45764i,7260.2+0.4362i,7057.1+0.46669i,7282.4+0.45522i,7262.3+0.43819i,7036.6+0.44964i,7272.4+0.44597i,7132+0.45639i,7341.3+0.46546i,7065.3+0.45368i,7040.9+0.45148i,7096.2+0.45344i,6994.2+0.45782i,6948.6+0.46961i,7115+0.45842i,7386.7+0.46103i,7253.4+0.46204i,7052.2+0.45763i,7314.1+0.46805i,6829.6+0.47866i,7072.6+0.48876i,7297.4+0.45577i,7237.2+0.48824i,6939.8+0.49011i,7093.6+0.49169i,7134.3+0.46882i,7200.2+0.48457i,7046.5+0.4806i,6952.4+0.49053i,7340.1+0.47789i,7200.1+0.4876i,7010.6+0.49319i,6967.4+0.48395i,7070.9+0.47949i,7112.9+0.49563i,7288+0.51543i,7258.9+0.4983i,7128.6+0.50705i,7121.6+0.50512i,7005.5+0.49914i,7269.2+0.50825i,7007.7+0.51101i,7147.3+0.51532i,7124.2+0.50025i,6868.4+0.52438i,7111.7+0.4999i,7043.1+0.50245i,7196.8+0.53126i,6992.7+0.52128i,7279+0.5287i,7099+0.52121i,7172.1+0.52426i,7154.7+0.52087i,7067.7+0.54201i,6860.7+0.53701i,6964+0.53544i,7062.6+0.54772i,7069.7+0.54569i,6918.7+0.53568i,6992+0.54189i,7054.7+0.52662i,6995.7+0.55111i,7023.1+0.55911i,6950.7+0.55715i,6963.4+0.55489i,6962+0.55169i,7192.6+0.55093i,7018.7+0.56707i,7189.2+0.56018i,6910.3+0.55712i,7112.9+0.58147i,6776.7+0.57867i,7167+0.58753i,7158.4+0.56603i,7248.1+0.57113i,6941+0.58766i
