14637+0.21459i,14615+0.20925i,14373+0.20938i,14159+0.20808i,14782+0.21092i,14284+0.21384i,14520+0.2068i,14630+0.20926i,14457+0.20325i,14002+0.20609i,13778+0.21925i,14757+0.21801i,14428+0.21561i,13836+0.21243i,14664+0.21161i,14045+0.20972i,13734+0.2028i,14421+0.20529i,13671+0.20971i,14023+0.21921i,13573+0.20945i,13784+0.21484i,13813+0.20961i,14224+0.21172i,14096+0.20915i,14210+0.20713i,13684+0.20539i,13555+0.21419i,13840+0.2093i,13950+0.21593i,13974+0.21869i,13430+0.20384i,13586+0.21179i,13376+0.20809i,13553+0.21538i,13516+0.21058i,13515+0.2051i,13494+0.21752i,13524+0.21214i,13873+0.20478i,13430+0.20733i,13752+0.21238i,13727+0.20973i,12934+0.21245i,13466+0.2173i,13821+0.2125i,13597+0.21013i,14131+0.21253i,13374+0.22213i,13398+0.21505i,13368+0.20651i,13404+0.21134i,13685+0.21611i,13392+0.21215i,12937+0.21168i,13559+0.21333i,13410+0.20665i,13211+0.20848i,13239+0.21809i,12928+0.21338i,13201+0.21458i,13042+0.2087i,13007+0.21345i,12601+0.21157i,12962+0.21786i,12848+0.21429i,12872+0.21084i,12641+0.21481i,12444+0.22039i,12935+0.21163i,12891+0.21546i,13101+0.21175i,12915+0.21388i,12460+0.22049i,12927+0.21413i,12732+0.21254i,12717+0.21643i,12729+0.21229i,12537+0.21684i,12369+0.21794i,12484+0.21423i,12048+0.21905i,12036+0.22134i,12883+0.22095i,12223+0.21281i,12247+0.21527i,12034+0.21804i,12340+0.22238i,12310+0.21278i,11668+0.21676i,12052+0.20934i,11568+0.21772i,11619+0.2229i,11581+0.2221i,11846+0.22097i,11497+0.22579i,11684+0.22654i,11426+0.22696i,10933+0.21394i,11396+0.22369i,11927+0.2182i,11063+0.22119i,11789+0.22449i,12054+0.21875i,11510+0.22281i,11645+0.22128i,11131+0.23377i,11336+0.22246i,11110+0.22681i,11558+0.23377i,11495+0.23027i,11215+0.24006i,11251+0.23385i,11169+0.23557i,11056+0.22865i,10774+0.24i,10846+0.23094i,10756+0.23734i,10991+0.22127i,11102+0.22397i,10965+0.23246i,10859+0.23271i,10717+0.23626i,10520+0.23354i,10676+0.23148i,10146+0.23005i,10515+0.24019i,10076+0.23745i,10378+0.23515i,10203+0.23829i,10383+0.24196i,10691+0.23901i,10058+0.23696i,10267+0.23388i,10031+0.23367i,9915.2+0.24755i,9954.3+0.24996i,10219+0.24335i,10038+0.25028i,10217+0.24147i,10099+0.24428i,9884.8+0.24566i,9851.3+0.23865i,9545.2+0.24032i,10109+0.24365i,9568.3+0.24026i,9626.7+0.2438i,9799+0.23985i,9594.5+0.24338i,9534.8+0.25086i,9186+0.25871i,9373+0.25162i,9564.2+0.24869i,9432.6+0.25083i,9272.9+0.24654i,9647+0.24428i,9678+0.25201i,9190.4+0.2621i,8970.3+0.25317i,8941.3+0.26052i,8891.7+0.25466i,8771.5+0.25701i,9106.6+0.25972i,8967.9+0.26631i,9066.8+0.26953i,8618.9+0.2637i,8631.9+0.25909i,8599+0.25864i,8759.6+0.27062i,8552.8+0.25097i,8741.5+0.27432i,8655.1+0.26705i,8390.2+0.26696i,8754.6+0.25606i,8794.4+0.26965i,8691.7+0.26929i,8985.3+0.27591i,8745.9+0.26954i,8683.6+0.27299i,8481.6+0.26821i,8186.9+0.27274i,8391.5+0.27644i,8037.8+0.27837i,8249.1+0.28033i,8388+0.27201i,8284.3+0.27534i,8298.5+0.27462i,8415+0.27262i,8333.7+0.2854i,8105.4+0.275i,8122.5+0.2853i,8093.4+0.28144i,8216.7+0.27024i,8215.8+0.28231i,7806+0.27994i,7920.1+0.28817i,8102.5+0.27885i,8055.2+0.27758i,8109.9+0.28682i,8562+0.28324i,7933.6+0.2837i,8209.3+0.28976i,7868+0.2898i,8201+0.28989i,7752.4+0.28592i,8114.4+0.28982i,8168.7+0.29409i,7392.7+0.28858i,7971.4+0.28749i,7715.8+0.29129i,7702.9+0.3015i,7865.4+0.29123i,7635.2+0.29061i,7866.2+0.29938i,7741.3+0.29325i,7743.1+0.29831i,7634.9+0.30002i,7512.9+0.2977i,7973.9+0.30101i,7465+0.29901i,7811.4+0.30763i,7777+0.30324i,7888.8+0.30677i,7542.9+0.30171i,7660.5+0.29854i,7660.5+0.30199i,8009.3+0.3027i,7615.4+0.30438i,7751.8+0.32242i,7418.1+0.30977i,7372.5+0.3106i,7592.4+0.31563i,7856.4+0.31323i,7658.9+0.31714i,7752.5+0.30359i,7843.2+0.30696i,7628+0.31953i,7493.8+0.31987i,7480.8+0.31348i,7352.8+0.31138i,7311.7+0.3103i,7406.2+0.32468i,7340.5+0.32061i,7273.4+0.3164i,7577.4+0.31718i,7564.8+0.31884i,7359.6+0.31077i,7686.4+0.31283i,7409+0.32314i,7504.1+0.31874i,7395.8+0.33725i,7429.8+0.33029i,7376.1+0.32041i,7155.5+0.33128i,7548.3+0.3418i,7266.1+0.33279i,7331.4+0.33153i,7475.1+0.34539i,7574.5+0.33398i,7337.3+0.33573i,7249.9+0.33919i,7483.5+0.33344i,7137.3+0.33468i,7352.5+0.3422i,7118.2+0.32883i,7409.2+0.34333i,7302.4+0.35478i,7499.4+0.3379i,7436.7+0.34675i,7165.6+0.35563i,7284.4+0.34178i,7370.5+0.34622i,7237.8+0.34491i,7141.9+0.35515i,7129.3+0.34129i,7291.2+0.35958i,7245+0.36652i,7260.2+0.34195i,7123.8+0.3563i,7400.7+0.35346i,7424.6+0.35434i,7154.5+0.35214i,7165.9+0.36072i,7485+0.34532i,7363.2+0.36843i,7204+0.36501i,7266+0.36507i,7517.6+0.36659i,7214.4+0.36044i,7363.1+0.36127i,7049.3+0.36535i,7242.5+0.35812i,6927.3+0.34968i,7159.6+0.37161i,7169.2+0.37353i,7261.1+0.36643i,7059.8+0.36168i,7485.3+0.36599i,7188.4+0.36542i,7228.4+0.37533i,7221.1+0.37178i,6924.4+0.37158i,7155.4+0.37195i,7063.2+0.37212i,6977+0.37346i,7052.6+0.38263i,7181.2+0.38449i,6955.2+0.3824i,7123.7+0.38009i,6959.3+0.39422i,7245.8+0.37583i,7119+0.38538i,6905.6+0.39898i,6967.3+0.39364i,6721.5+0.39009i,7295.2+0.39325i,7311.7+0.39404i,7318.1+0.37188i,6995.5+0.39482i,7059.9+0.39897i,7017.6+0.38886i,7417.5+0.39968i,7170.7+0.39463i,7270.5+0.41462i,7072.2+0.40367i,7088.9+0.40096i,7127.5+0.38553i,7051.5+0.39848i,7208.8+0.40657i,7017.9+0.38381i,7143.2+0.41825i,7336.9+0.40675i,7214.9+0.41996i,7207+0.42365i,7359+0.42098i,7003+0.41625i,7142.3+0.40413i,7135.4+0.42444i,7091.3+0.42254i,7219.6+0.42574i,7006.8+0.41515i,7103.9+0.41228i,6964.7+0.42008i,7307+0.41842i,7059.6+0.42701i,7125+0.42347i,7092.8+0.4163i,7103.8+0.41842i,7065.3+0.41822i,7363.8+0.42289i,7122.7+0.4381i,7245.3+0.4501i,7186.7+0.44376i,7495.2+0.42462i,7309.6+0.43565i,7042.8+0.4291i,7124.8+0.44127i,7117.6+0.45148i,7143.7+0.44774i,7229.6+0.45766i,6932.3+0.45202i,7123+0.45123i,6996.8+0.45599i,6892.4+0.43669i,6956.7+0.45027i,7059.3+0.44149i,7256.6+0.4531i,7155.2+0.44702i,7085.3+0.45483i,7289+0.46995i,7176.6+0.47518i,7090.6+0.45965i,6882.5+0.45745i,7122.6+0.47529i,7311.9+0.46073i,7278.5+0.4817i,7180.1+0.47713i,7098.4+0.48944i,6899+0.47236i,7050.2+0.47952i,7070.8+0.46829i,6933+0.47681i,7095.3+0.48665i,7283.1+0.47386i,7044.8+0.48341i,7047.5+0.47585i,7076+0.48793i,7062.9+0.47557i,6997.3+0.49619i,7293.4+0.49038i,7111.5+0.49855i,6826.9+0.49146i,7200.8+0.4967i,7144.6+0.49861i,7142.7+0.51105i,7106.2+0.50318i,7051.9+0.49654i,6853.5+0.50027i,7182.8+0.50301i,7200.4+0.49198i,7302.1+0.50314i
15086+0.2111i,14810+0.20716i,14294+0.20913i,15005+0.21228i,14410+0.21062i,14246+0.21146i,14364+0.20996i,14264+0.20986i,14390+0.21247i,14143+0.2119i,13806+0.21174i,14267+0.21204i,14273+0.20803i,13628+0.21184i,14480+0.1985i,13891+0.21373i,13820+0.21779i,13711+0.21151i,14402+0.21137i,13857+0.21076i,13609+0.20621i,14122+0.2146i,14458+0.20616i,13849+0.20851i,14140+0.21333i,14070+0.2096i,13662+0.208i,13650+0.20897i,14070+0.21226i,14088+0.21335i,13364+0.20769i,13333+0.21422i,13905+0.21293i,13730+0.21281i,13240+0.21359i,13493+0.214i,14073+0.20789i,13669+0.2221i,13484+0.21355i,13647+0.20919i,13414+0.21482i,13581+0.2153i,13250+0.20275i,13206+0.20751i,13282+0.21371i,13486+0.21208i,13397+0.20603i,13202+0.21153i,13581+0.21508i,13333+0.21035i,12667+0.21755i,13292+0.21695i,13138+0.20644i,13189+0.21642i,12905+0.21764i,12435+0.21015i,12879+0.2142i,13458+0.21854i,13264+0.21714i,13153+0.21785i,13461+0.20572i,12799+0.21215i,12716+0.21032i,12880+0.20686i,12929+0.2097i,13007+0.21509i,12710+0.21104i,12674+0.21659i,12715+0.20945i,12645+0.21144i,12736+0.21507i,13320+0.21563i,12799+0.21722i,12388+0.21486i,12229+0.2164i,12692+0.21709i,12639+0.22154i,12836+0.21684i,12436+0.21502i,12384+0.21496i,13067+0.21549i,12522+0.21464i,12312+0.21086i,12436+0.21702i,12258+0.20914i,11897+0.20647i,12435+0.23106i,12077+0.22578i,11990+0.21336i,11937+0.22271i,12369+0.21959i,11980+0.22226i,11962+0.22881i,11917+0.21616i,11889+0.21879i,11786+0.21692i,11551+0.22498i,11787+0.22215i,12209+0.2177i,11625+0.22058i,11556+0.22432i,11935+0.22339i,11430+0.21633i,11492+0.22872i,11637+0.22655i,11073+0.22984i,11640+0.22375i,11641+0.22483i,11022+0.22385i,11099+0.2278i,10901+0.2251i,11133+0.22255i,11242+0.22583i,11361+0.2219i,11264+0.22806i,11008+0.23054i,10718+0.2317i,10852+0.23519i,10827+0.23624i,11168+0.22986i,10659+0.2341i,10880+0.23644i,11024+0.23325i,10345+0.23586i,11127+0.23311i,10657+0.24168i,10946+0.23481i,10358+0.23334i,10195+0.2485i,10579+0.23187i,10142+0.237i,10338+0.23364i,10351+0.23762i,10040+0.23606i,10336+0.2388i,10053+0.23945i,10081+0.24148i,10066+0.23986i,10058+0.2365i,9652+0.24253i,9661.8+0.23535i,9963.4+0.24532i,9801.8+0.25012i,10040+0.24971i,9670.8+0.24334i,9646.8+0.23945i,9541.9+0.23307i,10034+0.24136i,9579.2+0.24177i,9408.8+0.24882i,9342.2+0.25636i,9602+0.25611i,9312.6+0.25347i,8996.2+0.25488i,9173+0.25346i,9348.1+0.24875i,9500.8+0.24163i,9137.4+0.25213i,9523.8+0.25222i,9369.7+0.25687i,9086.9+0.25203i,9283.4+0.25974i,9196.4+0.2586i,8788+0.26444i,8802.3+0.25684i,9251.4+0.25303i,8939.9+0.25755i,9107.9+0.25726i,9095.8+0.26154i,8587+0.25666i,8632.3+0.26502i,8928+0.26952i,8732.7+0.26609i,8561.2+0.26384i,8964.6+0.26524i,8687.8+0.26921i,8379+0.26944i,8569.2+0.26489i,8665.7+0.26884i,8418.7+0.27018i,8594.7+0.26858i,8684.6+0.26855i,8407.1+0.26496i,8362.5+0.28247i,8521.1+0.2792i,8409.4+0.27562i,8560.4+0.27763i,8376.3+0.27378i,8173.4+0.27495i,8199.9+0.27911i,7998.7+0.27808i,8208.3+0.27649i,8165.6+0.28243i,8044.8+0.28182i,8156.5+0.29054i,8074.6+0.27541i,8188.7+0.27538i,7908+0.28719i,8306+0.28711i,7996.6+0.28496i,8213.1+0.2947i,8056.4+0.28164i,8378+0.28784i,8116+0.29791i,7976.8+0.29824i,8052.9+0.29546i,7729.1+0.29654i,8009.4+0.29831i,7964.9+0.29582i,7617.2+0.30613i,8100.9+0.29461i,8096.2+0.30672i,7612.8+0.3002i,7810.6+0.29007i,7585.6+0.28781i,7470.5+0.30792i,7977.5+0.28477i,7824.8+0.30333i,7794.7+0.30627i,7862.4+0.29577i,7854.4+0.30855i,7754+0.31455i,7456.7+0.30502i,7700.5+0.30905i,7372.8+0.29401i,7684.7+0.30943i,7636.1+0.30535i,7690.1+0.30399i,7805.6+0.29683i,7745.9+0.30906i,7767.9+0.30964i,7788.2+0.31691i,7654.8+0.317i,7789.2+0.31995i,7671.5+0.31224i,7294.1+0.31611i,7632.7+0.31906i,7523.4+0.32633i,7644.6+0.3132i,7552.3+0.32024i,7610.4+0.31176i,7631.4+0.31807i,7473.1+0.32537i,7336.3+0.32213i,7414.2+0.31726i,7418.4+0.31946i,7388.5+0.33296i,7507.5+0.31985i,7443+0.33012i,7084.7+0.34383i,7345.4+0.32514i,7278+0.31916i,7241.8+0.31968i,7346.8+0.33257i,7393.2+0.33027i,7288.4+0.33601i,7140.2+0.32256i,7227.2+0.32371i,7392+0.32957i,7412.4+0.33685i,7205.5+0.3342i,7387.9+0.33272i,7216.9+0.34403i,7486.6+0.33708i,7456.6+0.33185i,7265+0.33452i,7427+0.33909i,7443.3+0.33813i,7209.9+0.34143i,7535+0.35136i,7421.1+0.35238i,7166.9+0.35205i,6893.5+0.34314i,7303+0.3479i,7485.3+0.34143i,7575.8+0.35066i,7157.3+0.34738i,7393.8+0.35204i,7133.2+0.34584i,7096.2+0.35568i,7399.4+0.36601i,7155+0.37103i,7430.9+0.36608i,7441+0.34994i,7268+0.36718i,7436.8+0.3458i,7128.9+0.35847i,7253.4+0.35626i,7190+0.36969i,7500.2+0.37038i,7244.7+0.36445i,7307.1+0.37682i,7013.4+0.36354i,7210.5+0.37475i,6967.2+0.36476i,7185.5+0.36121i,7132.7+0.37549i,7309.4+0.37908i,7223.4+0.37365i,7084.6+0.3746i,7064.3+0.36705i,7295.6+0.37982i,6901.3+0.36565i,7253.6+0.37213i,7360.1+0.38068i,7376.3+0.38832i,7147.9+0.38377i,7036.7+0.38077i,7190.7+0.38238i,7133.7+0.38305i,7230.7+0.38138i,7181.2+0.37986i,7323.8+0.37663i,7136.1+0.383i,7059.2+0.3945i,7328.6+0.38826i,7385.3+0.39279i,7029.4+0.40351i,7291.7+0.40501i,6885.3+0.39226i,7287.1+0.3971i,7012.2+0.4029i,7371.7+0.3964i,7101.2+0.39791i,7330.5+0.39111i,7222.2+0.40109i,7050.4+0.39902i,7293.6+0.41432i,7247.6+0.39576i,6949.3+0.4222i,7078.9+0.41294i,6925.8+0.40649i,7219.9+0.41708i,6805+0.4089i,7107.9+0.42764i,7021.8+0.40708i,7134.9+0.41625i,7053.4+0.42067i,7218.9+0.41377i,7218.3+0.41345i,7043.8+0.42045i,6935.9+0.42743i,7140.1+0.40905i,7202.2+0.4303i,6837.4+0.41792i,6999.8+0.43235i,7160.1+0.42316i,7016.5+0.44721i,7295.7+0.41926i,6878.3+0.41337i,7000.4+0.4089i,7259.8+0.43273i,7008.9+0.43287i,7404.1+0.43751i,7320.1+0.45047i,6880.3+0.44008i,7016.8+0.4465i,6737.7+0.45993i,7138.8+0.46467i,7062.2+0.43281i,7169.1+0.42977i,7262.5+0.44486i,7027.3+0.4394i,7313.4+0.46232i,7289.8+0.44102i,7303.5+0.46325i,7216+0.43912i,6957.3+0.4635i,6785.4+0.44833i,7215.9+0.47456i,7016.3+0.458i,7112.8+0.46315i,7110.6+0.4649i,7251.3+0.4552i,7075.8+0.44878i,7204.4+0.45669i,6909.9+0.4565i,7051.5+0.4651i,7125.9+0.47536i,7020.5+0.48795i,6922.2+0.46741i,7058.6+0.46318i,7247.2+0.46662i,7107.5+0.47816i,6804.8+0.48728i,7054+0.4901i,7091.7+0.49191i,7198.4+0.50843i,6944.2+0.51358i,7011.7+0.49111i,7033.4+0.48519i,7026.5+0.49737i,7123.9+0.49463i,6926+0.50206i,7183.4+0.47915i,6919.5+0.52988i,7274.3+0.5054i,6872+0.51359i,7129.6+0.50035i,7171.4+0.51033i,7008.8+0.51053i
14765+0.20828i,14836+0.20938i,14109+0.21291i,14686+0.20964i,14374+0.20695i,14134+0.21457i,14331+0.20948i,14870+0.21432i,14203+0.21072i,13980+0.21635i,13893+0.21336i,14355+0.21622i,13826+0.21163i,14343+0.20897i,14280+0.20844i,14226+0.20913i,14296+0.21522i,14572+0.21367i,13861+0.21137i,14204+0.2124i,13673+0.21791i,14173+0.21698i,13879+0.21476i,13490+0.20453i,13773+0.20674i,13909+0.21563i,14153+0.2099i,13878+0.2089i,13155+0.21355i,13683+0.21846i,14250+0.20977i,13853+0.22078i,14436+0.21214i,14004+0.21061i,13439+0.21979i,13564+0.21124i,13640+0.2127i,13662+0.21105i,13295+0.21234i,13559+0.21698i,13360+0.2047i,13241+0.20963i,13198+0.20645i,13416+0.21596i,13801+0.20433i,13229+0.21268i,13156+0.21222i,13316+0.21348i,13239+0.20356i,13360+0.213i,12814+0.21709i,13718+0.21486i,12942+0.22421i,12812+0.21202i,13120+0.21533i,12824+0.21179i,12621+0.21097i,13074+0.20819i,13030+0.21633i,12829+0.21184i,13056+0.20634i,13045+0.21528i,13020+0.22594i,12963+0.21717i,12636+0.22107i,13036+0.21203i,12257+0.21825i,12875+0.2149i,12703+0.2156i,13372+0.20913i,12526+0.21779i,12706+0.22023i,12699+0.22411i,12442+0.21203i,12744+0.22562i,12619+0.21481i,12134+0.21615i,12621+0.21952i,12649+0.22109i,12239+0.22033i,12265+0.21284i,12557+0.21182i,12015+0.21838i,12078+0.21363i,12539+0.22119i,12567+0.22177i,12198+0.22524i,12169+0.21966i,12031+0.21789i,12324+0.21984i,12267+0.22238i,11897+0.22342i,11926+0.22476i,11897+0.21764i,12026+0.22544i,11652+0.22494i,12143+0.21859i,11923+0.21803i,11454+0.23062i,12034+0.22472i,11947+0.22349i,11251+0.22585i,11550+0.22978i,12063+0.2285i,11583+0.22381i,11202+0.21979i,11772+0.23002i,11239+0.2296i,11747+0.22008i,11419+0.22674i,11238+0.2264i,11296+0.23022i,11103+0.22617i,11012+0.23154i,11056+0.23258i,10999+0.2302i,10927+0.23488i,10925+0.22157i,10857+0.22982i,10745+0.22867i,10764+0.2289i,10981+0.235i,10804+0.23086i,10317+0.23234i,10752+0.2353i,10468+0.22668i,10679+0.23524i,10644+0.23689i,10741+0.23301i,10485+0.24512i,10654+0.23001i,10301+0.23521i,10050+0.23954i,10277+0.23715i,10133+0.23765i,10057+0.24003i,10156+0.2441i,10047+0.23701i,10175+0.2383i,10167+0.24315i,10048+0.24378i,10225+0.24061i,9728.7+0.24298i,9621.7+0.25321i,9839.1+0.25132i,9701.1+0.25308i,9816+0.24773i,9920.2+0.25574i,9653.1+0.24885i,9490.4+0.25829i,9421.4+0.25572i,9136.7+0.24457i,9899.2+0.24534i,9518.9+0.24579i,9343.6+0.25771i,8912+0.25696i,8809.6+0.24914i,9212.3+0.25073i,8902.2+0.27386i,9365.3+0.25115i,9085.6+0.26066i,8929.5+0.25486i,9008.8+0.25693i,9158.8+0.25946i,9038.3+0.26284i,9145.2+0.25674i,8975+0.26454i,8659.1+0.26981i,8871.3+0.26583i,8637.6+0.25551i,8956.4+0.26039i,8831.2+0.27038i,8367.4+0.2601i,8789.7+0.25813i,8215.6+0.27207i,8475.8+0.26899i,8780.3+0.264i,8595.5+0.27858i,8631.4+0.26884i,8359.6+0.26446i,8587.2+0.27182i,8269.3+0.26997i,8344.7+0.27733i,8569.4+0.26424i,8099.4+0.28466i,8611.4+0.27044i,8413.1+0.28509i,8264.5+0.28039i,8157+0.27478i,7960.5+0.28968i,8030.6+0.27671i,8151.6+0.27846i,7914.5+0.28332i,8034.7+0.2851i,8025.2+0.27746i,8208.8+0.2845i,7952.3+0.28329i,7927.9+0.28493i,7939.2+0.29332i,8176+0.28537i,7792.2+0.28806i,7984.6+0.28532i,7619.5+0.28676i,7869.7+0.29441i,7976.3+0.29505i,7944.6+0.29734i,7930+0.29166i,7812.6+0.29027i,7613+0.28236i,7943.6+0.2938i,7939.7+0.29662i,7780.2+0.30472i,7865.7+0.2867i,7500.4+0.29104i,7700.1+0.30144i,7904.5+0.29945i,7794.6+0.30189i,7776.6+0.31206i,7908.4+0.3044i,7751.9+0.29757i,7824+0.29686i,7828.4+0.31449i,7687.2+0.30003i,7600.2+0.31309i,7415.8+0.29394i,7610.7+0.30577i,7522.2+0.30839i,7813.4+0.30779i,7389.2+0.30176i,7509.2+0.30934i,7556.5+0.3169i,7454+0.30674i,7372.3+0.30686i,7255.8+0.31097i,7569.4+0.31205i,7467.9+0.31657i,7605.8+0.30991i,7434.5+0.30682i,7249.6+0.32088i,7517.6+0.30692i,7547.5+0.3158i,7534.6+0.3073i,7677.5+0.31991i,7492.6+0.32063i,7379.7+0.31844i,7380.4+0.31921i,7259.9+0.32151i,7355.1+0.33407i,7449.3+0.32276i,7105.1+0.32721i,7343.4+0.32695i,7603.6+0.32184i,7477.8+0.32598i,7365.1+0.32469i,7282.5+0.33256i,7451+0.33847i,7577.7+0.33601i,7418.5+0.34183i,7295.9+0.35191i,7160.8+0.33067i,7182.4+0.3404i,7336.8+0.3232i,7327.9+0.33337i,7406.9+0.34381i,7229.1+0.33417i,7547+0.34812i,7242.7+0.34699i,7228+0.33187i,7199.9+0.33823i,7478.9+0.34896i,7296.6+0.33816i,7061.4+0.34497i,7202.6+0.35905i,7455.2+0.35548i,7425.5+0.34774i,7211.2+0.34293i,6905+0.34633i,7190+0.36135i,7060.3+0.36027i,7240.8+0.34897i,7093.8+0.35721i,7055.9+0.36952i,7180.4+0.357i,7115.2+0.35183i,7303.4+0.35076i,7569.7+0.35315i,7191.8+0.36238i,7259.7+0.3549i,7161.4+0.37539i,7042.8+0.34917i,7037+0.3703i,7511.1+0.36099i,7514.7+0.36398i,7352.2+0.37522i,7203.3+0.36879i,7152.1+0.36141i,7508.3+0.36218i,7182.5+0.38367i,7194.4+0.36425i,7219.5+0.37162i,7245.5+0.37037i,7225.4+0.37565i,7138.6+0.36692i,7030.8+0.35964i,7346.3+0.38098i,7342.9+0.3792i,6779.4+0.37966i,7209.5+0.3819i,7500.9+0.37432i,7147.8+0.38876i,6946.1+0.39438i,7315.3+0.39473i,7149+0.37806i,7243.7+0.37445i,7114.4+0.39389i,7139.9+0.40439i,7176+0.39135i,7224.9+0.39569i,6934.2+0.38226i,7248.5+0.41058i,7328.1+0.38809i,7043+0.40426i,7333.4+0.39079i,6987.4+0.40325i,6843.9+0.40945i,7270.5+0.39953i,7252+0.41132i,7003.4+0.41698i,7335.4+0.41531i,6985.8+0.41412i,7079.3+0.42167i,7082.6+0.41156i,7031.1+0.41419i,7170.3+0.41928i,7221.4+0.40377i,6973.2+0.41956i,7384.7+0.41739i,7235.5+0.41993i,7114.4+0.40627i,7322.2+0.42206i,7143.6+0.41531i,7347.9+0.41195i,7173.4+0.42404i,7136.9+0.42778i,6988.8+0.42585i,7115+0.4141i,7082.3+0.42021i,7112.1+0.43376i,6997+0.43505i,6866.1+0.43196i,6932.6+0.44489i,6965.9+0.42862i,7337.5+0.4297i,7054.6+0.42834i,7386.1+0.42767i,7119.3+0.44532i,7007.6+0.43776i,7171.4+0.4552i,7084.8+0.4477i,7255.5+0.4582i,7300.4+0.43652i,7352.5+0.42622i,7138.9+0.44443i,7208.5+0.46211i,7100.5+0.4517i,6827.7+0.46155i,7492.9+0.46554i,7117.3+0.43378i,6834.2+0.44921i,6863.1+0.46787i,7097+0.45392i,6946.7+0.47543i,6954.1+0.46103i,7453+0.45207i,7050.7+0.46349i,7298+0.47434i,7033+0.45984i,7115.9+0.4735i,7018.1+0.46642i,7060.8+0.45848i,7181.3+0.47215i,7280.2+0.48542i,7063.2+0.48457i,7022.1+0.49028i,7027.7+0.48642i,7035.6+0.49263i,6884+0.49037i,7003.5+0.48209i,6930+0.50649i,7317+0.4984i,7162.6+0.48616i,7284.7+0.4976i,7112.2+0.49497i,7075.8+0.49962i,7065+0.51835i,7001.3+0.51236i,7286.4+0.4961i,7036.6+0.51138i,7048.2+0.49739i,6963.2+0.49336i,7001.6+0.48727i
