Healthy,,(1.2790891364e-10+0.000459702267442j),(-0.000119563335697+3.30524762256e-05j),(-6.19739685789e-05+8.5811781579e-06j),(-4.21136149141e-05+5.04127145797e-06j),(-3.24892176953e-05+3.42914231501e-06j),(-2.64829271571e-05+2.3652014493e-06j),(-2.25352051848e-05+1.82132229506e-06j),(-1.95210758724e-05+1.30939893416e-06j),(-1.71877473677e-05+9.73959021521e-07j),(-1.5313391948e-05+7.05889423722e-07j),(-1.38957370457e-05+5.08621357924e-07j),(-1.27472371809e-05+3.77485434472e-07j),(-1.18013804724e-05+3.95295041034e-07j),(-1.08870011938e-05+3.65971626345e-07j),(-9.94393171546e-06+3.34396814854e-07j),(-9.22816557194e-06+2.77465792502e-07j),(-8.61257026701e-06+2.75708865341e-07j),(-8.09551336031e-06+2.52521286072e-07j),(-7.72619701588e-06+1.90138636587e-07j),(-7.36541988215e-06+1.38880543558e-07j),(-6.99773579704e-06+6.48927191861e-08j),
Healthy,,(1.70243461299e-10+0.00052206072827j),(-0.000122663109864+1.91874009138e-05j),(-5.96542401643e-05+4.57575422669e-06j),(-4.15308959553e-05+3.77486525038e-06j),(-3.20206318494e-05+2.4647640512e-06j),(-2.61087978763e-05+1.65938748582e-06j),(-2.22430727545e-05+1.19344903845e-06j),(-1.93134525313e-05+7.67870305359e-07j),(-1.69832907155e-05+4.78623675055e-07j),(-1.51726688099e-05+2.26153791977e-07j),(-1.37777091631e-05+2.69352965684e-08j),(-1.26318429698e-05-9.06102977131e-08j),(-1.17368594898e-05-7.07612423904e-08j),(-1.07903075544e-05-4.62500425703e-08j),(-9.89621201587e-06-7.89099339731e-08j),(-9.20035882975e-06-1.58483920969e-07j),(-8.62821323505e-06-1.63597140279e-07j),(-8.15117473225e-06-2.12393821136e-07j),(-7.80361970113e-06-2.37668781458e-07j),(-7.4621560537e-06-3.05875960144e-07j),(-7.12486630202e-06-3.34930416021e-07j),
Healthy,,(1.22896525266e-10+0.000446377342841j),(-0.00012437458857+3.53103209186e-05j),(-6.38663154488e-05+8.78169382173e-06j),(-4.29515522403e-05+5.14368405383e-06j),(-3.31751347988e-05+3.48580680138e-06j),(-2.70463860428e-05+2.39903549677e-06j),(-2.29860488013e-05+1.81582671255e-06j),(-1.99048103725e-05+1.30661628572e-06j),(-1.75283472192e-05+9.18367088813e-07j),(-1.56194545433e-05+6.61054781408e-07j),(-1.41394299259e-05+4.68273482074e-07j),(-1.29568221659e-05+3.04219781258e-07j),(-1.19828854119e-05+3.10494458048e-07j),(-1.10621384986e-05+2.77346491608e-07j),(-1.01250643709e-05+2.20457251399e-07j),(-9.38942989849e-06+1.41401889161e-07j),(-8.78526205274e-06+1.0744183026e-07j),(-8.31635083338e-06+7.0455720474e-08j),(-7.95912879706e-06-4.96011414671e-10j),(-7.60845000901e-06-3.82737778706e-08j),(-7.24219534312e-06-7.87485864341e-08j),
Cancer,,(1.18728355573e-10+0.000380137829338j),(-7.70299213818e-05+1.47943586109e-05j),(-4.02638752728e-05+5.65952686667e-06j),(-2.83679329824e-05+3.71770140327e-06j),(-2.22247837096e-05+2.45554089389e-06j),(-1.81777521896e-05+1.71726558813e-06j),(-1.55547089701e-05+1.29751775931e-06j),(-1.34975503266e-05+9.15945166247e-07j),(-1.19026448968e-05+6.03879091748e-07j),(-1.06123704874e-05+4.13345238624e-07j),(-9.62965264338e-06+2.54348341857e-07j),(-8.84923705952e-06+1.08398816137e-07j),(-8.2309103745e-06+1.31313242787e-07j),(-7.57674513415e-06+1.51363414296e-07j),(-6.92183520099e-06+1.07971778821e-07j),(-6.42690294777e-06+4.27064513705e-08j),(-6.03057430709e-06+8.07672758329e-08j),(-5.69667943877e-06+4.63686665802e-08j),(-5.43523062639e-06+3.90445728794e-08j),(-5.20902626199e-06-6.24832458877e-09j),(-4.94630868071e-06-5.22154014315e-08j),
Cancer,,(1.30407449967e-10+0.000404321358177j),(-9.06001336752e-05+1.52883699741e-05j),(-4.43020711003e-05+4.65691473661e-06j),(-3.13963408945e-05+3.62082427334e-06j),(-2.4552361516e-05+2.37613458503e-06j),(-2.00870923448e-05+1.61753762627e-06j),(-1.71316826526e-05+1.21956947559e-06j),(-1.48786943152e-05+8.4286838941e-07j),(-1.31325619322e-05+5.19521927062e-07j),(-1.17210169398e-05+3.45920226727e-07j),(-1.06462451331e-05+1.79025295628e-07j),(-9.77516870029e-06+7.1838755494e-08j),(-9.03776636289e-06+1.05125764671e-07j),(-8.34476714608e-06+8.47710792029e-08j),(-7.60096586432e-06+4.82897315929e-08j),(-7.06009329469e-06-2.00951574574e-08j),(-6.59516855948e-06-2.19677863112e-08j),(-6.25316623994e-06-6.0888625635e-08j),(-5.98349028739e-06-1.04030450101e-07j),(-5.75322854077e-06-1.39277347908e-07j),(-5.49232164033e-06-1.72443051288e-07j),
Cancer,,(1.16843390018e-10+0.000365609596051j),(-8.93823915945e-05+2.2449444555e-05j),(-4.78231397115e-05+5.26171476944e-06j),(-3.24839705977e-05+3.30141865982e-06j),(-2.51875979449e-05+2.70941584963e-06j),(-2.0868898246e-05+1.44546990093e-06j),(-1.73239779678e-05+9.12668300326e-07j),(-1.49107922931e-05+9.74384221824e-07j),(-1.3532749697e-05+6.80990493591e-07j),(-1.2000744734e-05+1.43257407633e-07j),(-1.07192453531e-05+9.99317500482e-08j),(-9.98310899233e-06-2.34225926277e-08j),(-9.1695378393e-06-8.64232313093e-08j),(-8.40013938049e-06+2.6425595734e-08j),(-7.79156385803e-06+9.26634411372e-08j),(-7.26913159757e-06-1.0179662022e-07j),(-6.75848314679e-06-6.63867296326e-08j),(-6.35964538868e-06-2.41274163086e-08j),(-6.14534403585e-06-1.70754482319e-07j),(-5.76338525335e-06-1.75037966299e-07j),(-5.57401557973e-06-1.84764916814e-07j),
Cancer,,(1.33501281995e-10+0.000434681734647j),(-0.000113902776107+2.39779134706e-05j),(-5.30780940891e-05+4.07058714137e-06j),(-3.73257615993e-05+4.01301027279e-06j),(-2.88942341597e-05+2.63271816355e-06j),(-2.35599140478e-05+1.87627114171e-06j),(-2.00718103159e-05+1.41846558471e-06j),(-1.74093449279e-05+9.71138793621e-07j),(-1.53410666485e-05+6.64554653256e-07j),(-1.36785885025e-05+4.49931436872e-07j),(-1.23908545943e-05+2.69833549352e-07j),(-1.13742908932e-05+1.50287913152e-07j),(-1.0554799455e-05+1.64294496588e-07j),(-9.72530977365e-06+1.81361818301e-07j),(-8.90261950421e-06+1.46655271605e-07j),(-8.28243909577e-06+8.43203547428e-08j),(-7.7345600086e-06+9.29521203208e-08j),(-7.29248177019e-06+8.31558534107e-08j),(-6.9640165416e-06+4.32055865957e-08j),(-6.62452858909e-06-7.89637798088e-09j),(-6.28334506594e-06-5.37051309527e-08j),
Cancer,,(1.30323443543e-10+0.000422544997868j),(-9.6462340863e-05+1.81353450264e-05j),(-4.75135670854e-05+4.95134049335e-06j),(-3.3165085708e-05+3.63268737147e-06j),(-2.58930846448e-05+2.44368129125e-06j),(-2.12346257444e-05+1.60001886082e-06j),(-1.81158741293e-05+1.1847924857e-06j),(-1.57324927701e-05+7.45949697838e-07j),(-1.38653978649e-05+4.38778334491e-07j),(-1.23543508653e-05+1.95162549076e-07j),(-1.12374314674e-05-8.87149142852e-09j),(-1.03567630281e-05-1.27866763137e-07j),(-9.60123456939e-06-9.01318143673e-08j),(-8.8590789199e-06-7.43674910545e-08j),(-8.11242783319e-06-1.16484675216e-07j),(-7.52759568488e-06-1.61579405826e-07j),(-7.04884663914e-06-1.41846811185e-07j),(-6.67581003451e-06-1.77782078501e-07j),(-6.37029432789e-06-2.13867511469e-07j),(-6.08225978416e-06-2.37273809347e-07j),(-5.76950775538e-06-2.98500362042e-07j),
Cancer,,(1.63427888262e-10+0.000515703304698j),(-0.000112411599358+2.44272721521e-05j),(-5.86978908571e-05+6.27969530281e-06j),(-4.03002201969e-05+3.85042088509e-06j),(-3.11632583313e-05+2.75025765433e-06j),(-2.54746280882e-05+1.83425462707e-06j),(-2.17243157976e-05+1.2686633417e-06j),(-1.88574456907e-05+8.05802506954e-07j),(-1.66214451227e-05+4.8890175392e-07j),(-1.48188826379e-05+2.35225249903e-07j),(-1.34411377561e-05+4.77643021642e-08j),(-1.23565907857e-05-8.64807931697e-08j),(-1.14426214806e-05-5.26849772732e-08j),(-1.0550190575e-05-5.61152805835e-08j),(-9.67217103107e-06-1.00814513211e-07j),(-9.0138481684e-06-1.64579829094e-07j),(-8.45423621344e-06-1.56761114665e-07j),(-7.97004969003e-06-1.8860392307e-07j),(-7.6296669589e-06-2.33772048969e-07j),(-7.28467543342e-06-2.58344749576e-07j),(-6.91043515473e-06-3.15215923084e-07j),
Cancer,,(2.06572180117e-10+0.000598462340636j),(-9.99690330496e-05+6.21925097222e-06j),(-5.45252752826e-05+5.07495438443e-06j),(-3.83272136172e-05+3.41327823909e-06j),(-2.98762918229e-05+2.29959618265e-06j),(-2.44399459674e-05+1.49502848773e-06j),(-2.08596537445e-05+1.02496115683e-06j),(-1.81121757081e-05+5.78912631724e-07j),(-1.5985623011e-05+2.78154648267e-07j),(-1.42518134718e-05+6.52692679973e-08j),(-1.29421101695e-05-1.03378095529e-07j),(-1.18933196086e-05-2.60733185277e-07j),(-1.10459668128e-05-2.04628065979e-07j),(-1.01451976531e-05-2.20743878385e-07j),(-9.25979969033e-06-2.20571953866e-07j),(-8.59774949959e-06-2.98974711236e-07j),(-8.03209824023e-06-3.14262163467e-07j),(-7.60753605075e-06-3.89241613255e-07j),(-7.29937004297e-06-4.56739640345e-07j),(-6.97357099683e-06-4.94250934048e-07j),(-6.64051462784e-06-5.59537229963e-07j),
