Healthy,,(7.95014962594e-11+0.000233982618454j),(-6.18039806695e-05+1.36791898721e-05j),(-3.17297238469e-05+6.44534765825e-06j),(-2.30562921316e-05+4.56437225369e-06j),(-1.80912630158e-05+2.72787581036e-06j),(-1.48644854326e-05+1.89838113919e-06j),(-1.25201259118e-05+1.21935445309e-06j),(-1.07802427561e-05+8.87753175951e-07j),(-9.59204850865e-06+5.85574576024e-07j),(-8.54854416081e-06+6.04540830033e-07j),(-7.79376929378e-06+5.39766469426e-07j),(-7.05269096354e-06+4.84061128425e-07j),(-6.51930824706e-06+3.03481026049e-07j),(-6.06991245205e-06+1.22195271111e-07j),(-5.65646783452e-06+3.76969924299e-08j),(-5.31251563337e-06-5.24794996979e-09j),(-5.01406642245e-06+1.28046113277e-09j),(-4.71515053973e-06+6.32328027999e-08j),(-4.45051533397e-06-5.24520282134e-09j),(-4.27247954389e-06-2.58614117725e-08j),(-4.0525290505e-06-5.17630865342e-08j),
Healthy,,(9.96127182045e-11+0.000285801084788j),(-7.31899035916e-05+9.95881077596e-06j),(-3.42875227888e-05+4.76108015205e-06j),(-2.51236984065e-05+4.13593512552e-06j),(-1.96482783191e-05+2.45342870658e-06j),(-1.61652496211e-05+1.71324281496e-06j),(-1.36496215055e-05+1.05250322832e-06j),(-1.18047265213e-05+7.50210540422e-07j),(-1.04629172421e-05+4.54619700227e-07j),(-9.31392404375e-06+4.51612263219e-07j),(-8.49309945564e-06+4.10092152183e-07j),(-7.69846203532e-06+3.66551371699e-07j),(-7.1067870876e-06+2.09935045154e-07j),(-6.60979127124e-06+3.8810399633e-09j),(-6.14222899551e-06-6.58501044049e-08j),(-5.77934124003e-06-1.29365336007e-07j),(-5.41973575704e-06-1.06062202919e-07j),(-5.12996862421e-06-9.44787409103e-08j),(-4.83651745434e-06-1.74885949853e-07j),(-4.64350458323e-06-1.99049850605e-07j),(-4.42024510265e-06-2.34322322599e-07j),
Healthy,,(1.08863466334e-10+0.000306882369077j),(-8.16479777637e-05+1.10541492848e-05j),(-3.78333638562e-05+4.54319950563e-06j),(-2.77410291664e-05+4.22482356024e-06j),(-2.15358339123e-05+2.46664617086e-06j),(-1.76949576469e-05+1.74859428597e-06j),(-1.49806350381e-05+1.06669062637e-06j),(-1.29165921738e-05+7.55195564342e-07j),(-1.14541298497e-05+4.74314833648e-07j),(-1.02100665928e-05+4.71695023936e-07j),(-9.29169307934e-06+4.25516552363e-07j),(-8.39227731826e-06+3.6469510665e-07j),(-7.73783693467e-06+2.13427436398e-07j),(-7.17723869187e-06-7.15880328582e-11j),(-6.71057274212e-06-9.68950852061e-08j),(-6.31687459179e-06-1.2975723109e-07j),(-5.91713957126e-06-1.29060016319e-07j),(-5.58621516021e-06-8.87101912383e-08j),(-5.3067938201e-06-1.57821781241e-07j),(-5.08555142865e-06-1.66216851518e-07j),(-4.84708787657e-06-1.81311167247e-07j),
Cancer,,(1.31217730673e-11+9.1946298005e-06j),(-3.70915014585e-06+7.17742626467e-06j),(-4.7097114386e-06+4.41085751936e-06j),(-4.30347975788e-06+2.71944962059e-06j),(-3.56379670536e-06+1.59078561343e-06j),(-3.1119055794e-06+1.1918156084e-06j),(-2.68358204403e-06+7.22100772282e-07j),(-2.27757564714e-06+5.57797471817e-07j),(-2.14759831834e-06+3.94702181155e-07j),(-1.85445792917e-06+4.70716896808e-07j),(-1.7266325994e-06+4.71905351936e-07j),(-1.49732102398e-06+4.24824054022e-07j),(-1.39537900622e-06+3.08699285151e-07j),(-1.33339155832e-06+1.13249270596e-07j),(-1.2737441786e-06+4.34933299627e-08j),(-1.23158375624e-06-1.44598135498e-08j),(-1.17562844811e-06+5.44202775792e-08j),(-1.11703505394e-06+9.16415914037e-08j),(-1.0485336491e-06+4.99559596735e-08j),(-1.00685179486e-06+6.91540623439e-08j),(-1.00014752649e-06+2.88689160429e-08j),
Cancer,,(9.61354114713e-12+9.46245762095e-06j),(-3.69102064621e-06+7.42633408467e-06j),(-4.68992255294e-06+4.64761537247e-06j),(-4.27501298636e-06+2.93196688533e-06j),(-3.51931382282e-06+1.77668388819e-06j),(-3.07820763586e-06+1.38003634294e-06j),(-2.62340720342e-06+8.76222452522e-07j),(-2.24650403723e-06+7.15182325146e-07j),(-2.08059644925e-06+5.38389584571e-07j),(-1.82610060298e-06+6.13209098274e-07j),(-1.70326939026e-06+6.1228063784e-07j),(-1.4481743835e-06+5.83491315156e-07j),(-1.36909033014e-06+4.36420781952e-07j),(-1.29396079651e-06+2.81101955048e-07j),(-1.24787163668e-06+1.84389869258e-07j),(-1.19930092879e-06+1.9623823842e-07j),(-1.13296015241e-06+2.37666313512e-07j),(-1.06886087174e-06+2.6338715024e-07j),(-9.81276873827e-07+2.47035727262e-07j),(-9.83211722428e-07+2.26215044129e-07j),(-9.18270685335e-07+2.26628315008e-07j),
Healthy,,(1.62817331671e-11+2.30370802993e-05j),(-9.18327601524e-06+7.30658447623e-06j),(-6.39435194897e-06+4.83502891545e-06j),(-5.60152641686e-06+2.97718482209e-06j),(-4.50375027422e-06+1.81653674737e-06j),(-3.8679461355e-06+1.3740409377e-06j),(-3.27916532976e-06+8.49951325238e-07j),(-2.80646638172e-06+6.91033616504e-07j),(-2.60444669793e-06+4.96524829648e-07j),(-2.29839362167e-06+5.84117185823e-07j),(-2.11587987512e-06+5.90088551279e-07j),(-1.83165748046e-06+5.64565592024e-07j),(-1.70530484528e-06+4.3475572195e-07j),(-1.58320106458e-06+2.53124335571e-07j),(-1.48470049613e-06+1.90399332866e-07j),(-1.41891140897e-06+1.4048239109e-07j),(-1.34248230989e-06+1.73853120398e-07j),(-1.25982769404e-06+1.79976205174e-07j),(-1.17703476201e-06+1.36336474724e-07j),(-1.1491123716e-06+1.3457842712e-07j),(-1.10302310392e-06+1.19196740856e-07j),
Healthy,,(8.60374064838e-11+0.000251041683292j),(-6.39430725635e-05+8.62098208698e-06j),(-3.01283921485e-05+5.13732181627e-06j),(-2.22866019285e-05+4.17569108584e-06j),(-1.74559055377e-05+2.60912800926e-06j),(-1.44265375055e-05+1.80924632949e-06j),(-1.21863281114e-05+1.23791585124e-06j),(-1.05324270132e-05+9.26709904034e-07j),(-9.35987835662e-06+6.67644309858e-07j),(-8.31779207983e-06+6.87380136555e-07j),(-7.58430557546e-06+6.4184101647e-07j),(-6.82393880685e-06+5.89124104877e-07j),(-6.28947249793e-06+4.41192264841e-07j),(-5.85126724993e-06+2.34077881756e-07j),(-5.43629779309e-06+1.56221099629e-07j),(-5.1322830939e-06+1.26843413774e-07j),(-4.77158978567e-06+1.30315874429e-07j),(-4.5029129885e-06+1.54765718598e-07j),(-4.23135300922e-06+6.78365757993e-08j),(-4.06577797399e-06+5.53344237653e-08j),(-3.88678524708e-06+2.08003298523e-08j),
Healthy,,(9.2993765586e-11+0.000267983491272j),(-6.50432581033e-05+7.47651455152e-06j),(-3.09853099072e-05+4.73248570194e-06j),(-2.2683986829e-05+4.06163396632e-06j),(-1.77687328118e-05+2.43498516164e-06j),(-1.46458100226e-05+1.74417759851e-06j),(-1.23739342405e-05+1.10361835948e-06j),(-1.0654136344e-05+8.13208311458e-07j),(-9.45843405243e-06+5.19679133659e-07j),(-8.43063843059e-06+5.65045864483e-07j),(-7.69076362138e-06+5.05599855324e-07j),(-6.92366967175e-06+4.5924120268e-07j),(-6.3802177112e-06+2.92694706351e-07j),(-5.93384188185e-06+1.06114228517e-07j),(-5.53032845634e-06+1.63089253846e-08j),(-5.18747566783e-06-3.40614525272e-08j),(-4.85512906432e-06-2.07816664866e-08j),(-4.58813931839e-06-2.19249276558e-08j),(-4.30126295293e-06-1.01452954912e-07j),(-4.15325216554e-06-1.27297686294e-07j),(-3.99835563945e-06-1.77806942752e-07j),
Cancer,,(1.38184663342e-11+3.11962743142e-05j),(-1.42178369859e-05+7.70012813551e-06j),(-7.89936293202e-06+4.79882086637e-06j),(-6.81694056693e-06+3.09594434935e-06j),(-5.50539284001e-06+1.78280219552e-06j),(-4.68659680301e-06+1.31222604261e-06j),(-4.03832188044e-06+7.93548792536e-07j),(-3.45959877114e-06+6.18842911331e-07j),(-3.16476388712e-06+4.10250852537e-07j),(-2.77072126846e-06+4.60813704322e-07j),(-2.55247939405e-06+4.59052463526e-07j),(-2.24217601112e-06+3.98895730149e-07j),(-2.09932894799e-06+2.9621603642e-07j),(-1.95346103498e-06+1.02703375131e-07j),(-1.83313906846e-06+2.59173589117e-08j),(-1.7567869269e-06+1.7014429584e-08j),(-1.6578420026e-06+3.42227913859e-08j),(-1.55253195745e-06+9.57271440147e-08j),(-1.4299461801e-06+4.44051808215e-08j),(-1.40772906709e-06+4.1242471539e-08j),(-1.34802353221e-06+6.04696872733e-09j),
Cancer,,(8.87873316708e-12+9.4355534414e-06j),(-3.67476607855e-06+7.4255926404e-06j),(-4.65822704882e-06+4.63555479605e-06j),(-4.21717054548e-06+2.90892721475e-06j),(-3.47766425925e-06+1.78690525218e-06j),(-3.04640177089e-06+1.34574422824e-06j),(-2.62614504445e-06+8.39567790617e-07j),(-2.24205297068e-06+6.95790092349e-07j),(-2.10948848007e-06+5.37534641315e-07j),(-1.81728526353e-06+6.27396510544e-07j),(-1.67915241116e-06+6.30143189102e-07j),(-1.43613380091e-06+6.02288941258e-07j),(-1.32380349237e-06+4.76956119943e-07j),(-1.23805655369e-06+2.85507168604e-07j),(-1.15487535744e-06+2.05350205912e-07j),(-1.13282516024e-06+1.53830096491e-07j),(-1.06955656257e-06+2.02193008062e-07j),(-9.99545523321e-07+2.16939322691e-07j),(-9.16611397616e-07+1.71231455084e-07j),(-9.01650301664e-07+1.42258145477e-07j),(-8.87401512991e-07+1.3217035098e-07j),
