Healthy,,0,(-6.18039806695e-05+1.36791898721e-05j) (6.18040653142e-05+1.36792605662e-05j),(-3.17297238469e-05+6.44534765825e-06j) (3.1729760949e-05+6.44541462241e-06j),(-2.30562921316e-05+4.56437225369e-06j) (2.30563087413e-05+4.56442713877e-06j),(-1.80912630158e-05+2.72787581036e-06j) (1.80912693537e-05+2.7279210901e-06j),(-1.48644854326e-05+1.89838113919e-06j) (1.48644859375e-05+1.89841896823e-06j),
Healthy,,0,(-7.31899035916e-05+9.95881077596e-06j) (7.31900136677e-05+9.95890147047e-06j),(-3.42875227888e-05+4.76108015205e-06j) (3.42875716094e-05+4.76116619214e-06j),(-2.51236984065e-05+4.13593512552e-06j) (2.51237202712e-05+4.13600533914e-06j),(-1.96482783191e-05+2.45342870658e-06j) (1.96482871048e-05+2.45348572286e-06j),(-1.61652496211e-05+1.71324281496e-06j) (1.61652513885e-05+1.71328983322e-06j),
Healthy,,0,(-8.16479777637e-05+1.10541492848e-05j) (8.16481004387e-05+1.10542474415e-05j),(-3.78333638562e-05+4.54319950563e-06j) (3.78334204731e-05+4.54329257371e-06j),(-2.77410291664e-05+4.22482356024e-06j) (2.77410566639e-05+4.22489942251e-06j),(-2.15358339123e-05+2.46664617086e-06j) (2.15358476553e-05+2.4667078011e-06j),(-1.76949576469e-05+1.74859428597e-06j) (1.769496405e-05+1.74864541072e-06j),
Cancer,,0,(-3.70915014585e-06+7.17742626467e-06j) (3.70915819807e-06+7.17742775685e-06j),(-4.7097114386e-06+4.41085751936e-06j) (4.7097190795e-06+4.4108606097e-06j),(-4.30347975788e-06+2.71944962059e-06j) (4.30348622975e-06+2.71945414779e-06j),(-3.56379670536e-06+1.59078561343e-06j) (3.56380157372e-06+1.59079091513e-06j),(-3.1119055794e-06+1.1918156084e-06j) (3.11190898565e-06+1.19182093822e-06j),
Cancer,,0,(-3.69102064621e-06+7.42633408467e-06j) (3.69102160005e-06+7.42633560861e-06j),(-4.68992255294e-06+4.64761537247e-06j) (4.68992296205e-06+4.64761847717e-06j),(-4.27501298636e-06+2.93196688533e-06j) (4.2750120163e-06+2.9319714052e-06j),(-3.51931382282e-06+1.77668388819e-06j) (3.51931089175e-06+1.77668903516e-06j),(-3.07820763586e-06+1.38003634294e-06j) (3.07820290073e-06+1.38004118045e-06j),
Healthy,,0,(-9.18327601524e-06+7.30658447623e-06j) (9.18328580427e-06+7.30659016293e-06j),(-6.39435194897e-06+4.83502891545e-06j) (6.39435898234e-06+4.83503444601e-06j),(-5.60152641686e-06+2.97718482209e-06j) (5.6015318839e-06+2.97719098328e-06j),(-4.50375027422e-06+1.81653674737e-06j) (4.50375386511e-06+1.81654308975e-06j),(-3.8679461355e-06+1.3740409377e-06j) (3.86794820209e-06+1.37404683471e-06j),
Healthy,,0,(-6.39430725635e-05+8.62098208698e-06j) (6.39431670115e-05+8.62105728848e-06j),(-3.01283921485e-05+5.13732181627e-06j) (3.01284363601e-05+5.13739210975e-06j),(-2.22866019285e-05+4.17569108584e-06j) (2.22866249715e-05+4.17574875568e-06j),(-1.74559055377e-05+2.60912800926e-06j) (1.74559178789e-05+2.60917576658e-06j),(-1.44265375055e-05+1.80924632949e-06j) (1.44265435924e-05+1.8092863661e-06j),
Healthy,,0,(-6.50432581033e-05+7.47651455152e-06j) (6.50433599968e-05+7.47660032204e-06j),(-3.09853099072e-05+4.73248570194e-06j) (3.09853531118e-05+4.73256735792e-06j),(-2.2683986829e-05+4.06163396632e-06j) (2.26840046048e-05+4.06170029516e-06j),(-1.77687328118e-05+2.43498516164e-06j) (1.77687382415e-05+2.43503910676e-06j),(-1.46458100226e-05+1.74417759851e-06j) (1.46458085758e-05+1.74422203284e-06j),
Cancer,,0,(-1.42178369859e-05+7.70012813551e-06j) (1.42178412517e-05+7.70013268931e-06j),(-7.89936293202e-06+4.79882086637e-06j) (7.89936629771e-06+4.79882441633e-06j),(-6.81694056693e-06+3.09594434935e-06j) (6.81694320282e-06+3.09594955477e-06j),(-5.50539284001e-06+1.78280219552e-06j) (5.50539344809e-06+1.78280828145e-06j),(-4.68659680301e-06+1.31222604261e-06j) (4.68659553363e-06+1.31223197597e-06j),
Cancer,,0,(-3.67476607855e-06+7.4255926404e-06j) (3.67476568284e-06+7.42559373685e-06j),(-4.65822704882e-06+4.63555479605e-06j) (4.65822630899e-06+4.63555718087e-06j),(-4.21717054548e-06+2.90892721475e-06j) (4.2171686474e-06+2.90893076644e-06j),(-3.47766425925e-06+1.78690525218e-06j) (3.47766069106e-06+1.78690924459e-06j),(-3.04640177089e-06+1.34574422824e-06j) (3.04639669379e-06+1.34574779789e-06j),
