Female,,0,(52.7428907931-47.143183721j),(28.4910042204-46.4971743527j),(13.7713655741-44.0317707014j),(3.38884419002-40.5157969442j),(-4.32779914309-36.600620876j),
Female,,0,(57.4635764565-53.7679369346j),(30.7276734306-51.3620553544j),(14.8657880029-47.710322415j),(3.94483758443-43.4763404588j),(-4.07992455004-38.9722305812j),
Female,,0,(29.8239635068-36.9151518088j),(13.0301351798-31.6882371423j),(4.11788291062-28.2463750318j),(-1.86920638856-25.1128036939j),(-6.24267261632-22.1863506326j),
Female,,0,(92.4379273821-79.8441917016j),(49.7638379236-79.3085079365j),(24.2056826833-74.0919837595j),(6.88641455179-67.120645294j),(-5.73048674826-59.7327387239j),
Male,,0,(75.8576725106-65.6996538022j),(42.0851849765-64.1801121552j),(21.8740400618-60.2200440266j),(7.95702870616-54.9660420872j),(-2.25332270298-49.4256848844j),
Female,,0,(89.3266225074-77.0975909599j),(49.8300475733-75.0260621512j),(26.4171776975-69.9325263747j),(10.3643049522-63.6117261863j),(-1.3163157472-57.0911345649j),
Female,,0,(94.0875174199-79.99873197j),(50.545541537-80.0561565053j),(24.6615003152-74.7166060935j),(7.07788399817-67.6396844109j),(-5.50604317355-60.1371000639j),
Female,,0,(93.2535610397-80.8438461618j),(50.3978595058-80.140124959j),(24.6670463628-74.926153671j),(7.04347270794-68.0139733938j),(-5.62113380226-60.5750916536j),
Female,,0,(87.551481119-75.327453335j),(46.6229478722-75.2383873653j),(22.1584974882-70.4178910624j),(5.50654283146-63.8059241427j),(-6.47529657675-56.7505992632j),
Male,,0,(108.837437007-89.1625158517j),(60.8774255984-89.7221561649j),(31.8436884999-83.9445712314j),(12.2357740121-76.3007780999j),(-1.83730688891-68.0195225606j),
Male,,0,(73.6691901346-63.8161363357j),(40.9530796735-61.9969810275j),(21.6469166536-57.7882197107j),(8.4316447329-52.8081168202j),(-1.20800952086-47.4014171609j),
Male,,0,(125.132318638-108.14898972j),(68.3546964391-104.741900665j),(35.7573979871-96.5187859124j),(13.6965326144-87.0499473345j),(-1.95919589366-77.35902168j),
Female,,0,(64.7694607153-54.5216742783j),(35.8348545946-54.5214475814j),(18.5136477699-51.6421093199j),(6.43290806663-47.3282133665j),(-2.55690584585-42.707411849j),
Female,,0,(104.023010904-94.2449197392j),(55.4055175686-90.1701486796j),(27.3961476732-82.7135038502j),(8.63468414876-74.2432437005j),(-4.68032365951-65.7463430643j),
Female,,0,(156.073706607-133.900296235j),(82.9961386156-132.283043805j),(40.4427720563-121.685221117j),(12.2580357146-108.86498687j),(-7.5646532568-95.7915325421j),
Female,,0,(80.0448323166-71.7816283215j),(41.5646156285-70.6380722979j),(18.8439386058-65.6344660114j),(3.53520166473-59.2123484082j),(-7.47090271423-52.5445451567j),
Female,,0,(55.8096052756-52.8365050804j),(31.1655387055-49.7362983491j),(15.79635241-46.7749907572j),(5.04497694133-42.5713360448j),(-2.43603482995-38.233224313j),
Female,,0,(143.448227347-136.090200378j),(71.6499739252-128.481492989j),(31.6828611529-114.991405614j),(6.24508994734-101.336222327j),(-11.8887166819-88.0298086154j),
Male,,0,(52.9152562764-50.4074387188j),(28.0440486329-47.2976516229j),(13.7303748813-43.6712679876j),(4.00619541978-39.6791794972j),(-3.18617283051-35.5730854389j),
Female,,0,(107.211520578-91.0624137984j),(57.6683145355-91.0495133994j),(28.1175463109-84.8958931105j),(8.09851414-76.7506990766j),(-6.17633631441-68.0870758257j),
Male,,0,(131.740999908-124.720960956j),(66.1296473202-116.817732453j),(30.1098297261-104.088578416j),(7.46259793076-91.3867990026j),(-8.11784578436-79.5990271761j),
Male,,0,(47.8307660189-47.9871685827j),(24.6494620712-43.9115904729j),(11.7362477114-39.884367879j),(3.04428370063-36.0164420862j),(-3.42392894466-32.0963371477j),
Female,,0,(39.3559417367-39.5486227743j),(20.2625067781-36.9696836195j),(9.13134939188-34.2285532692j),(1.42436020445-31.1758395606j),(-4.39154207905-27.9746724496j),
Male,,0,(78.913356059-70.7496883185j),(42.0910520142-68.3467863407j),(20.7469903465-63.3350417657j),(6.26100109478-57.1473309301j),(-4.31011070188-50.8551909133j),
Female,,0,(92.9021159157-79.1474776176j),(51.8543615477-78.7887611383j),(26.513739097-73.903817407j),(9.46054630911-67.7154012243j),(-3.57886107514-60.8296922404j),
Male,,0,(69.3314577399-61.337092126j),(37.7633066453-60.1509091783j),(18.7262903284-56.2801391546j),(5.66839744289-51.3702845669j),(-3.93195965277-45.9562026751j),
Female,,0,(90.9323668815-80.4538053189j),(48.6984530861-79.0231065353j),(23.5726904999-73.378121833j),(6.45957832209-66.4406264388j),(-5.84777573572-58.9965057681j),
Female,,0,(140.435386705-122.485618507j),(75.2473520331-118.985494747j),(37.6240736714-108.946666667j),(12.9063096668-97.3688386452j),(-4.51862268359-85.9167551115j),
Female,,0,(114.270225061-101.76272686j),(62.0384039114-97.5681973284j),(31.8989727938-89.5030069505j),(11.6665591859-80.4349997107j),(-2.61598486873-71.3135546428j),
Female,,0,(93.8339268881-83.311592407j),(50.4300948587-80.4119129239j),(25.2989808317-74.0514680022j),(8.36319075151-66.5788682426j),(-3.68621816062-59.0521128919j),
Female,,0,(49.5762976963-54.2139263257j),(23.5412530283-48.2512929885j),(9.47888992117-43.1714088428j),(0.264125276266-38.2863420605j),(-6.42811031436-33.6092692178j),
Female,,0,(53.9542206193-53.658220052j),(28.4261906666-49.3261638383j),(13.8222460036-45.2569768455j),(3.76486444575-41.0556985141j),(-3.59392664872-36.8109848549j),
