,,(2.7072670291e-11+7.97613184992e-05j),(-3.49223851198e-05+1.22999070017e-05j),(-1.63886312679e-05+4.49757613383e-06j),(-1.21697608245e-05+3.15490604591e-06j),(-9.77335107549e-06+2.06100975305e-06j),(-8.09750582775e-06+1.47887637717e-06j),(-7.07323171024e-06+1.21776338172e-06j),(-6.18905058981e-06+9.72776985817e-07j),(-5.45518335434e-06+7.53427415611e-07j),(-4.82740024625e-06+6.16873465262e-07j),(-4.38595429522e-06+5.11948387798e-07j),(-4.0446325761e-06+4.04525462335e-07j),(-3.81525134518e-06+4.33708832425e-07j),(-3.46606207573e-06+4.10476546126e-07j),(-3.09328978068e-06+3.58892720775e-07j),(-2.86282188442e-06+3.01128852969e-07j),(-2.68327501407e-06+3.59166603501e-07j),(-2.55444162788e-06+3.23868936605e-07j),(-2.47467863791e-06+3.13084127336e-07j),(-2.40129127821e-06+2.79373065385e-07j),(-2.26262787395e-06+2.7342341954e-07j),
,,(2.51648173521e-11+7.96233567127e-05j),(-3.49864985016e-05+1.202115306e-05j),(-1.64167204617e-05+4.22336431756e-06j),(-1.22246981247e-05+2.88581577631e-06j),(-9.8763597291e-06+1.81959489753e-06j),(-8.20259202192e-06+1.26127475676e-06j),(-7.18901253579e-06+1.03060545637e-06j),(-6.30465441896e-06+7.80234109833e-07j),(-5.53847740216e-06+6.10860976051e-07j),(-4.94430209091e-06+4.50165047629e-07j),(-4.4733821934e-06+3.79278667859e-07j),(-4.12895012387e-06+2.97080141173e-07j),(-3.84627589359e-06+3.07835905878e-07j),(-3.54676473367e-06+2.63845028082e-07j),(-3.13849478691e-06+2.13272711312e-07j),(-2.91475874756e-06+1.78947625088e-07j),(-2.75337102509e-06+1.79522741386e-07j),(-2.5964334746e-06+1.69845338681e-07j),(-2.52659083991e-06+1.65107836104e-07j),(-2.45272877935e-06+1.20455298146e-07j),(-2.32143148685e-06+9.25536906575e-08j),
,,(2.64843771919e-11+7.97454884127e-05j),(-3.50192795981e-05+1.20105825279e-05j),(-1.64324924144e-05+4.21987368676e-06j),(-1.22284059448e-05+2.89028522711e-06j),(-9.84612619678e-06+1.8356153199e-06j),(-8.15046577332e-06+1.23951891302e-06j),(-7.11354731626e-06+9.9730706956e-07j),(-6.25111523502e-06+7.25715972288e-07j),(-5.54465293374e-06+5.20906837179e-07j),(-4.93720388308e-06+3.64619079641e-07j),(-4.49775324028e-06+2.91745064486e-07j),(-4.20945155564e-06+2.16579026694e-07j),(-3.9166817866e-06+2.3653550201e-07j),(-3.57533219158e-06+2.62670335565e-07j),(-3.17320466069e-06+2.17611211643e-07j),(-2.95237822362e-06+1.52506765995e-07j),(-2.78881524129e-06+1.78261390898e-07j),(-2.65916052932e-06+1.63273312053e-07j),(-2.58768943757e-06+1.28043072881e-07j),(-2.49691473275e-06+1.3457366685e-07j),(-2.35977597669e-06+8.37574202181e-08j),
,,(2.71591814087e-11+7.99807905893e-05j),(-3.5049664654e-05+1.21071979694e-05j),(-1.64012565263e-05+4.34468732151e-06j),(-1.21777940429e-05+3.0002223025e-06j),(-9.77831216079e-06+1.94162738148e-06j),(-8.09812728282e-06+1.33374641667e-06j),(-7.0654140113e-06+1.0691816367e-06j),(-6.17043413838e-06+7.93763220111e-07j),(-5.45054730756e-06+5.66388614798e-07j),(-4.86984702266e-06+4.04515205657e-07j),(-4.42127756085e-06+3.34664715837e-07j),(-4.0836940501e-06+2.35467351137e-07j),(-3.81577257204e-06+2.76121882003e-07j),(-3.48691515649e-06+2.42668197093e-07j),(-3.0787644619e-06+1.83906443149e-07j),(-2.86709414502e-06+1.50945334407e-07j),(-2.68603222023e-06+1.37433366749e-07j),(-2.55262067494e-06+1.21593774356e-07j),(-2.49026535297e-06+7.83345981842e-08j),(-2.4103019563e-06+9.06620164228e-08j),(-2.30433770863e-06+4.56441810012e-08j),
,,(2.57460626223e-11+8.01359406309e-05j),(-3.50765456515e-05+1.21787886362e-05j),(-1.6442901622e-05+4.42580623347e-06j),(-1.22182260709e-05+3.11338606532e-06j),(-9.82047237299e-06+2.04097194689e-06j),(-8.11360926916e-06+1.44371122981e-06j),(-7.08519525262e-06+1.19274733665e-06j),(-6.18716183482e-06+8.86871490363e-07j),(-5.44793969048e-06+6.87442698491e-07j),(-4.85543202818e-06+5.12830011248e-07j),(-4.4282581268e-06+4.38941897444e-07j),(-4.13445845224e-06+3.44871013632e-07j),(-3.85117578131e-06+3.96534024017e-07j),(-3.52499685144e-06+3.80478038439e-07j),(-3.1676318581e-06+3.35988313832e-07j),(-2.93664037207e-06+3.32123750112e-07j),(-2.75458147686e-06+3.32558569221e-07j),(-2.62511365657e-06+3.62017834886e-07j),(-2.52580430258e-06+3.15510525915e-07j),(-2.41062453435e-06+3.07734529747e-07j),(-2.30017094499e-06+2.6498737988e-07j),
,,(2.97213164385e-11+8.02843102413e-05j),(-3.5107587218e-05+1.21995113367e-05j),(-1.64252417253e-05+4.46533259708e-06j),(-1.22130064599e-05+3.14734016899e-06j),(-9.79396188192e-06+2.08352560299e-06j),(-8.11162850061e-06+1.50126613036e-06j),(-7.05537519697e-06+1.25215703484e-06j),(-6.14719876795e-06+9.88766720029e-07j),(-5.40956864475e-06+7.65991133398e-07j),(-4.79339503339e-06+5.96685842494e-07j),(-4.34373705504e-06+5.28412077478e-07j),(-3.99781371375e-06+4.06970228377e-07j),(-3.74065737406e-06+4.29487831837e-07j),(-3.41016175517e-06+4.11836336438e-07j),(-3.04357879253e-06+3.65295091721e-07j),(-2.81030291573e-06+2.9822596514e-07j),(-2.6211585642e-06+3.2777693588e-07j),(-2.45571491617e-06+3.10736919025e-07j),(-2.38240173629e-06+2.50684317307e-07j),(-2.2865748e-06+2.11322993339e-07j),(-2.15560094196e-06+1.49654796712e-07j),
,,(3.01167893111e-11+8.0290394126e-05j),(-3.51401072149e-05+1.21353132528e-05j),(-1.64225697354e-05+4.41616910261e-06j),(-1.22067643386e-05+3.06759644906e-06j),(-9.80545916166e-06+1.99351956255e-06j),(-8.11304646461e-06+1.42164028496e-06j),(-7.05785155584e-06+1.16310960233e-06j),(-6.16710922726e-06+8.72982676467e-07j),(-5.43561279518e-06+6.3891664241e-07j),(-4.82151621247e-06+4.86056409825e-07j),(-4.40046445031e-06+3.90523941237e-07j),(-4.07014414719e-06+3.00282708544e-07j),(-3.82221953322e-06+3.11685936652e-07j),(-3.50068370444e-06+3.06818221956e-07j),(-3.12156824739e-06+2.40876178665e-07j),(-2.90847304264e-06+1.99674635396e-07j),(-2.72924019548e-06+2.19125147474e-07j),(-2.59172170346e-06+2.1101123112e-07j),(-2.50952743048e-06+1.92727112683e-07j),(-2.45615710683e-06+1.78985365118e-07j),(-2.33500176259e-06+1.6032564356e-07j),
,,(2.86031822566e-11+8.03023288252e-05j),(-3.51582347854e-05+1.20527811197e-05j),(-1.64596645622e-05+4.35805715179e-06j),(-1.22719551827e-05+3.02920626419e-06j),(-9.88331522003e-06+1.97874577287e-06j),(-8.19369998297e-06+1.4023903258e-06j),(-7.13756942004e-06+1.1702932735e-06j),(-6.24039365741e-06+9.07745403338e-07j),(-5.50187814585e-06+6.9589434867e-07j),(-4.90869974819e-06+5.23422059236e-07j),(-4.45523805874e-06+4.49520125374e-07j),(-4.14744845484e-06+3.55149845883e-07j),(-3.8869798599e-06+3.80277925468e-07j),(-3.57522415293e-06+3.93051892113e-07j),(-3.18452317014e-06+3.60575635076e-07j),(-2.96378299577e-06+3.28040831191e-07j),(-2.75930784541e-06+3.44615196859e-07j),(-2.60636639792e-06+3.39056067734e-07j),(-2.51095351833e-06+3.39214327794e-07j),(-2.41504225036e-06+3.16692719941e-07j),(-2.28004486127e-06+2.6198429525e-07j),
,,(2.81782224312e-11+8.04683053678e-05j),(-3.52018690434e-05+1.21577099169e-05j),(-1.64489191324e-05+4.46012293408e-06j),(-1.22618887059e-05+3.15257163615e-06j),(-9.83216683055e-06+2.10304278439e-06j),(-8.14489453672e-06+1.52272947512e-06j),(-7.08965616209e-06+1.25711580749e-06j),(-6.18258138957e-06+9.88353071615e-07j),(-5.44495542277e-06+7.59216205071e-07j),(-4.8305619794e-06+5.96844714135e-07j),(-4.39238292722e-06+5.10409862883e-07j),(-4.08528945591e-06+4.03646994521e-07j),(-3.82456509422e-06+4.4390330066e-07j),(-3.4946606035e-06+4.305309054e-07j),(-3.12134624694e-06+3.98672387618e-07j),(-2.88875697692e-06+3.50802071545e-07j),(-2.70806055761e-06+3.79254280669e-07j),(-2.54141370738e-06+3.94120379613e-07j),(-2.48709539593e-06+3.60230088592e-07j),(-2.39678367511e-06+3.43114183632e-07j),(-2.25119298218e-06+2.6287488982e-07j),
,,(1.07340798675e-10+0.000378316780243j),(-0.000136529719093+3.69988307321e-05j),(-6.70740862802e-05+9.60759473383e-06j),(-4.53409278202e-05+5.78806461922e-06j),(-3.48572265361e-05+3.83639854643e-06j),(-2.83946473145e-05+2.73402361081e-06j),(-2.40849099399e-05+2.09469723463e-06j),(-2.08725165691e-05+1.58719325689e-06j),(-1.83404205574e-05+1.19090562011e-06j),(-1.63361742142e-05+9.3072546995e-07j),(-1.47639678494e-05+7.33275182234e-07j),(-1.35042704195e-05+5.80148247914e-07j),(-1.25090799046e-05+5.5570072054e-07j),(-1.14867661313e-05+5.17911845784e-07j),(-1.0554386805e-05+4.53313380203e-07j),(-9.78068010216e-06+3.90169380208e-07j),(-9.18804094547e-06+3.40465324402e-07j),(-8.66742974497e-06+3.111420796e-07j),(-8.26872954448e-06+2.84329612988e-07j),(-7.89635461039e-06+2.28101900242e-07j),(-7.4854434667e-06+1.72564936708e-07j),
