0 mM,,(1.32681974564e-11+2.5923616409e-07j),(-7.05142442113e-08+1.86745130728e-07j),(8.52322627151e-09+2.32907600583e-07j),(-4.24602347998e-09+1.25431271612e-07j),(-2.91066396709e-08+2.9823628766e-07j),(1.1995894626e-08+3.00634604718e-07j),(2.28433226504e-07+3.92698478359e-07j),(3.2541428926e-07+2.60230159021e-07j),(3.51204302594e-07+1.27429139932e-07j),(2.76233831701e-07+6.05011885226e-08j),(2.43856185431e-07-3.04521716026e-08j),(1.22409206539e-07-7.27854530609e-08j),(5.20983286331e-08-8.38802237466e-08j),(-3.88400988499e-09-3.89123539238e-08j),(-7.03492486595e-09+1.73503240471e-08j),(5.95000608469e-09+1.65326672041e-08j),(-4.45451691839e-08+2.95967627944e-08j),(-5.57613611081e-08+6.70683196912e-08j),(-6.39832120039e-08+1.16397427937e-07j),(-3.60780782812e-08+2.01839033394e-07j),(5.02680504844e-08+2.18703955729e-07j),(1.33112458551e-07+1.6741904395e-07j),(1.4813599907e-07+1.08807111154e-07j),(1.18098049377e-07+7.67550192429e-08j),(9.74587910146e-08+7.47959783445e-08j),(1.10045965214e-07+8.00163831577e-08j),(1.11623101609e-07+8.23668968192e-08j),(1.4464236617e-07+5.83371531982e-08j),(1.38887476351e-07+3.88300714683e-08j),(1.08953079193e-07+1.06070074837e-08j),(9.60264373723e-08+1.97586664419e-08j),(6.62206355217e-08-5.62141618826e-09j),(8.59444907862e-08-9.7102063396e-10j),(7.08509906388e-08+1.49104383569e-08j),(6.4005974865e-08-6.48380135767e-09j),(3.38711158959e-08-2.50146094435e-09j),(5.3851043111e-08+2.38115061191e-09j),(3.15239943482e-08+2.54733148439e-08j),(4.35665687239e-08+5.44947983987e-09j),(1.74713998232e-08+9.58596686178e-09j),(2.44847907648e-09+6.04876285378e-08j),(2.69345580268e-08+6.37216182289e-08j),(4.06520238545e-08+9.20943641914e-08j),(6.59703598058e-08+4.77830007232e-08j),(4.83297050296e-08+2.74457034849e-08j),(3.49927282519e-08+5.41763950143e-08j),(2.48839195243e-08+6.31407509566e-08j),(4.01876836516e-08+4.72305867655e-08j),(4.11881134117e-08+3.49226216344e-08j),(-6.13783487184e-09+3.42847526676e-08j),(-2.15617032657e-08+5.93583015776e-08j),
0 mM,,(1.41735881047e-11+7.52937237656e-08j),(-6.91531863437e-08-7.20863846994e-09j),(2.79918043993e-08+5.5033949868e-08j),(1.05077725128e-08-3.47205221513e-08j),(-3.11644370711e-08+1.25001286387e-07j),(-3.34355544232e-08+1.06380648429e-07j),(1.64411034832e-07+2.13814078105e-07j),(2.34437680959e-07+1.35090072387e-07j),(2.82864624365e-07+2.34743831059e-08j),(2.30337859234e-07-5.87895666138e-08j),(1.89662990222e-07-1.51633183189e-07j),(9.97775450443e-08-2.00906786858e-07j),(2.15858953118e-08-2.29503393408e-07j),(-6.19422474724e-08-1.78706875414e-07j),(-7.34899589471e-08-1.21117407397e-07j),(-5.83944345147e-08-1.38934328752e-07j),(-1.23419203337e-07-8.96973234198e-08j),(-1.33999034573e-07-3.37629091666e-08j),(-1.54551340223e-07-1.16422297247e-08j),(-1.53114830511e-07+6.38376174642e-08j),(-5.14956170773e-08+1.32943403506e-07j),(1.32104441977e-08+7.72115353787e-08j),(1.73182506137e-08+2.89003743088e-08j),(4.16436552923e-09+1.87922201145e-08j),(-4.85138649682e-09+2.45658985383e-08j),(1.6964528928e-08+3.61930060376e-08j),(3.86679409445e-08+1.02484600623e-08j),(1.29135808385e-08-3.09187049396e-08j),(-2.92339288067e-09-4.41637099537e-08j),(-1.10195839386e-08-2.20392763231e-08j),(-6.5443512301e-09-2.95731740203e-08j),(-2.221876089e-08+4.57290706212e-09j),(-2.76780282793e-08-2.29473871799e-09j),(-4.9013744749e-08+1.40509472592e-08j),(-2.40459655529e-08+3.89522165544e-08j),(8.94158707559e-09+4.87660084822e-08j),(2.89230941821e-08+3.91948135122e-08j),(5.28428464185e-08-1.37125776381e-08j),(3.93940028631e-08-2.30692763713e-09j),(1.51979342767e-08-2.70563275936e-08j),(1.47678211725e-09-1.8317566569e-08j),(1.10110860967e-08-2.1999783932e-08j),(1.14920548947e-08-1.59748350638e-08j),(-5.71212384444e-10-2.47555507991e-08j),(-1.20458134668e-08-3.98920923436e-08j),(-1.80250279684e-08-2.01370165122e-08j),(-2.61179692207e-08-3.30873477682e-09j),(4.16453990539e-09-1.02587878927e-08j),(-4.16369169428e-09-2.74778115443e-08j),(-3.65627961181e-08-4.92298089526e-08j),(-5.88321389951e-08-2.41840950962e-08j),
0 mM,,(1.28188315087e-11+3.40721526185e-08j),(-4.27865083284e-08-3.79133081284e-08j),(4.94950754413e-09+2.7082121088e-08j),(-8.07855974146e-09-6.39084449287e-08j),(-6.30053192475e-08+1.0184127414e-07j),(-3.81948036619e-08+9.97890435739e-08j),(1.61205746463e-07+2.122315907e-07j),(2.27903795413e-07+7.10925128063e-08j),(2.33196424361e-07-1.8857836791e-08j),(1.76161391211e-07-5.447026469e-08j),(1.64492254835e-07-1.68887559049e-07j),(4.15480580402e-08-2.01035514155e-07j),(-4.70990401844e-08-1.98970769883e-07j),(-6.64770859936e-08-1.03594545885e-07j),(-6.54531590913e-08-9.69423265287e-08j),(-5.64938650229e-08-1.12247460233e-07j),(-1.27301215803e-07-6.59689744326e-08j),(-1.32625361894e-07-4.48951284583e-09j),(-1.29546060786e-07+6.33501496647e-09j),(-1.17809636096e-07+7.34781963832e-08j),(-4.36789345514e-08+1.05707341871e-07j),(2.57946695087e-08+4.22240144226e-08j),(1.43075880264e-09+1.35312202345e-08j),(6.01506030197e-09-2.22433792214e-08j),(-2.77362021378e-08-8.93879418709e-09j),(2.81118362786e-09+8.28024057991e-09j),(3.9606984931e-09+3.26176679802e-08j),(-8.93798771542e-09-2.70162942681e-09j),(-1.39741973385e-08-1.38698283776e-08j),(-2.35053147591e-08-3.97537176217e-08j),(-5.29673822384e-08-9.50930456162e-09j),(-8.72491872945e-08+4.55366740059e-08j),(-3.38896980042e-08+6.41565688579e-08j),(2.82418274931e-09+5.7356298987e-08j),(9.04176167751e-09+6.49096280201e-08j),(-7.94001655817e-10+6.83891028153e-08j),(3.51177964887e-08+7.50547034172e-08j),(7.79894577282e-08+6.40899066169e-08j),(8.4988806402e-08+8.79141929134e-09j),(7.26379952382e-08-2.33434790511e-08j),(3.33927086979e-08-7.64228968485e-08j),(1.09615397207e-08-4.4868782787e-08j),(-2.23747349822e-08-4.32580163288e-08j),(-7.63904551267e-09-1.07923962948e-08j),(1.68455551235e-08-1.54437121905e-09j),(3.31541464584e-08-2.70044977546e-08j),(2.61756651562e-08-2.84363834156e-08j),(3.24788540533e-08-3.78823881443e-08j),(3.25849825212e-09-6.59687666206e-08j),(9.242849245e-09-6.21775329226e-08j),(-1.58925450523e-09-6.59954016726e-08j),
0 mM,,(8.85910511222e-11+1.38389090349e-05j),(-5.16452278478e-06+3.55196336613e-06j),(-3.34838235564e-06+3.1311817757e-06j),(-2.90508766639e-06+2.15360891702e-06j),(-2.61875223865e-06+1.77462316466e-06j),(-2.28911322327e-06+1.47044001126e-06j),(-1.88179963437e-06+1.37811926862e-06j),(-1.61704454636e-06+1.06979166938e-06j),(-1.43325883179e-06+7.92987508883e-07j),(-1.30959440731e-06+5.79782248107e-07j),(-1.1658481255e-06+3.45831756265e-07j),(-1.18906405303e-06+2.04048692381e-07j),(-1.22366682134e-06+1.71902758531e-07j),(-1.24922869899e-06+2.12785539777e-07j),(-1.20011942496e-06+2.10796055645e-07j),(-1.09973604734e-06+1.61980570743e-07j),(-1.06708312075e-06+1.65716985426e-07j),(-1.03107070226e-06+2.10469883959e-07j),(-1.02329793422e-06+2.42710450929e-07j),(-9.97999136913e-07+3.02677028144e-07j),(-8.78788612478e-07+3.01155627446e-07j),(-7.81593062269e-07+2.20174702022e-07j),(-7.13952960884e-07+1.71968645317e-07j),(-6.89679397116e-07+1.35957945486e-07j),(-6.88580779052e-07+1.40479892466e-07j),(-6.21746590673e-07+1.80236912e-07j),(-6.05509019737e-07+1.40082704503e-07j),(-5.64993687575e-07+6.94720035086e-08j),(-5.29805626665e-07+1.97214944213e-08j),(-5.78356537992e-07+2.14808886467e-08j),(-5.5080075432e-07+3.10275624822e-08j),(-5.50757323032e-07+3.59915928956e-08j),(-5.42780567765e-07+3.69176371447e-08j),(-5.32950170115e-07+1.55209191507e-08j),(-5.4437325338e-07-6.72811331383e-09j),(-5.16882549437e-07+4.46920323112e-08j),(-4.82295658067e-07+2.41666234029e-08j),(-4.78289485577e-07+3.75449138669e-08j),(-4.71121367252e-07+2.84653586312e-08j),(-4.96407433702e-07+1.66850279983e-08j),(-4.85589502039e-07+1.4992970115e-08j),(-4.85258450623e-07+6.49233957214e-08j),(-4.45934619795e-07+6.81411272563e-08j),(-4.43302256522e-07+2.93313186625e-08j),(-4.52116866763e-07+7.84259562552e-09j),(-4.63691919629e-07+6.25739848666e-08j),(-4.20668669019e-07+5.08690695318e-08j),(-3.96585233329e-07+5.90994077486e-08j),(-3.8810302185e-07+4.57286535382e-08j),(-3.93728514123e-07+2.67271605609e-08j),(-3.74912980111e-07+4.07640551883e-08j),
0 mM,,(8.76302406484e-11+1.32939598728e-05j),(-4.78822636971e-06+3.39764761472e-06j),(-3.20509437663e-06+3.14058727576e-06j),(-2.78911861496e-06+2.16547053174e-06j),(-2.5097518295e-06+1.84184963157e-06j),(-2.21296840078e-06+1.54405557885e-06j),(-1.82015626452e-06+1.42806158689e-06j),(-1.5191250006e-06+1.06099443748e-06j),(-1.35852576349e-06+7.94092287292e-07j),(-1.26361444757e-06+5.89508042426e-07j),(-1.1397218614e-06+3.64011600086e-07j),(-1.16654757547e-06+2.59093526925e-07j),(-1.15674003764e-06+2.29594803866e-07j),(-1.15218760563e-06+2.4728513734e-07j),(-1.09580566196e-06+2.26522021883e-07j),(-1.03281134538e-06+1.60309208498e-07j),(-1.00910102282e-06+1.45708077877e-07j),(-9.78169613632e-07+1.84157350203e-07j),(-1.00001961114e-06+1.90472843563e-07j),(-9.20468459036e-07+2.55250104716e-07j),(-8.61036505952e-07+2.21673691916e-07j),(-7.85909412776e-07+1.54635108577e-07j),(-7.4544841221e-07+1.31933910543e-07j),(-7.23550584199e-07+1.41824665977e-07j),(-6.56254613754e-07+1.50698363497e-07j),(-6.29861563995e-07+1.50083129132e-07j),(-5.98729843916e-07+1.21018458213e-07j),(-5.71270488401e-07+6.48015462249e-08j),(-5.46731550821e-07+4.4207152281e-08j),(-5.61229146234e-07+1.86793892565e-08j),(-5.62672306075e-07+2.88529768227e-08j),(-5.89706271412e-07+2.14453850991e-08j),(-5.67026145377e-07+5.92835674492e-08j),(-5.46922077458e-07+5.02134434388e-08j),(-5.30005219054e-07+7.56365456334e-08j),(-4.91683763185e-07+7.99624660825e-08j),(-4.67831299371e-07+7.77332226927e-08j),(-4.55751711832e-07+7.3973798322e-08j),(-4.37579236662e-07+7.08891937852e-08j),(-4.60726308494e-07+4.85504427469e-08j),(-4.37562323722e-07+3.27316695629e-08j),(-4.40697629586e-07+5.00206524311e-08j),(-4.31153888936e-07+4.31587234283e-08j),(-4.44847720913e-07+3.85967416408e-08j),(-4.33889172037e-07+4.65159699475e-08j),(-4.18870544457e-07+5.37957222286e-08j),(-4.03400517233e-07+1.49346772326e-08j),(-4.08607336256e-07+1.99249963316e-08j),(-3.9397779314e-07+1.4186387284e-08j),(-4.18470797412e-07+3.92228167407e-08j),(-4.21834246303e-07+8.5065877262e-08j),
0 mM,,(8.79314862843e-11+1.29224408304e-05j),(-4.65198185966e-06+3.29552864149e-06j),(-3.17898542234e-06+3.02799974375e-06j),(-2.79103305885e-06+2.07607544801e-06j),(-2.52921388767e-06+1.71907704228e-06j),(-2.24332859987e-06+1.40563961885e-06j),(-1.85663753929e-06+1.3244449106e-06j),(-1.64244088144e-06+1.02223277435e-06j),(-1.44463189435e-06+7.57264408501e-07j),(-1.35287200513e-06+5.85611503158e-07j),(-1.19780488039e-06+3.83359885921e-07j),(-1.16170345472e-06+2.73040821151e-07j),(-1.1935409827e-06+2.43777106267e-07j),(-1.19693984139e-06+2.84761338536e-07j),(-1.10534679309e-06+2.18412178966e-07j),(-1.02401428021e-06+1.26746001475e-07j),(-1.01047258809e-06+1.39980286909e-07j),(-9.80537600371e-07+1.93876467691e-07j),(-9.82527521031e-07+1.93848062102e-07j),(-9.1494475734e-07+2.64749148487e-07j),(-8.0638215472e-07+2.38798685066e-07j),(-7.48402079991e-07+1.40223540417e-07j),(-7.33226500963e-07+9.84231424028e-08j),(-7.40398066027e-07+6.17290238226e-08j),(-7.48277850309e-07+8.9302853363e-08j),(-7.24450872205e-07+9.92426753082e-08j),(-7.26863740521e-07+1.03140878625e-07j),(-7.20040348778e-07+8.63559127635e-08j),(-6.74394962381e-07+1.09984978821e-07j),(-6.57046287251e-07+1.2830820576e-07j),(-6.2221628963e-07+1.67504761405e-07j),(-5.61395674804e-07+1.49510862092e-07j),(-5.33246208362e-07+1.41692702524e-07j),(-5.05734005826e-07+1.34215871078e-07j),(-4.91258665715e-07+9.76674203388e-08j),(-4.624459022e-07+8.81016909267e-08j),(-4.44012497235e-07+8.79319960838e-08j),(-4.39508606188e-07+5.69081987172e-08j),(-4.46467008134e-07+3.91741151197e-08j),(-4.37556879635e-07+2.20176179978e-09j),(-4.24638618448e-07+9.24861071993e-09j),(-4.46256987095e-07+2.47750546058e-09j),(-4.72858557775e-07+3.46773087168e-08j),(-4.41603987448e-07+5.71036190213e-08j),(-4.24424878504e-07+6.17314097877e-08j),(-4.10983268212e-07+8.38217055472e-08j),(-3.97510545056e-07+3.43610407023e-08j),(-4.08137913733e-07+4.62916211669e-08j),(-4.16296480249e-07+6.59566898528e-08j),(-4.32895600073e-07+9.33789107051e-08j),(-3.7827548575e-07+1.18753017693e-07j),
0 mM,,(8.70430872818e-11+1.25399375037e-05j),(-4.41516221583e-06+3.23203859466e-06j),(-3.13050380812e-06+2.92684692829e-06j),(-2.72831956346e-06+2.00217210397e-06j),(-2.4784057709e-06+1.65332142757e-06j),(-2.20811144712e-06+1.3562172879e-06j),(-1.85135376871e-06+1.26015271125e-06j),(-1.61095977084e-06+9.54291949308e-07j),(-1.46097816579e-06+7.10336017158e-07j),(-1.35858705736e-06+5.77828467811e-07j),(-1.24276392015e-06+3.85679567341e-07j),(-1.2226891401e-06+2.89523399031e-07j),(-1.22125338711e-06+2.43026710961e-07j),(-1.24673957234e-06+2.70266010806e-07j),(-1.17451648253e-06+2.5898506374e-07j),(-1.03677649667e-06+2.2118135603e-07j),(-9.58769496476e-07+2.08867057955e-07j),(-9.2431151939e-07+1.69546443786e-07j),(-9.61501826779e-07+1.67632810418e-07j),(-9.32257180348e-07+2.01185889292e-07j),(-8.65441462986e-07+2.12336392376e-07j),(-8.10192055677e-07+1.84043803411e-07j),(-7.67372051952e-07+1.62728580151e-07j),(-7.48311224798e-07+1.34524944172e-07j),(-7.06227998586e-07+1.56748872016e-07j),(-6.48798773216e-07+1.91109585231e-07j),(-6.16688798892e-07+1.3759285958e-07j),(-6.13022750639e-07+9.72692162428e-08j),(-5.91446789259e-07+3.34229370679e-08j),(-6.10174656556e-07+5.87886462809e-08j),(-6.1919287443e-07+4.74557791971e-08j),(-6.1402583611e-07+9.47535714193e-08j),(-5.80742302363e-07+1.13982360306e-07j),(-5.78119556261e-07+1.25841148949e-07j),(-5.73125707531e-07+1.1330310608e-07j),(-5.34400203312e-07+1.78721093103e-07j),(-4.69249805644e-07+1.74921354092e-07j),(-4.253624238e-07+1.83242338893e-07j),(-3.97438863068e-07+1.38949219797e-07j),(-3.86200691633e-07+1.35243307118e-07j),(-3.73520146108e-07+1.07491282735e-07j),(-3.5928284851e-07+1.18026173872e-07j),(-3.22861415806e-07+1.0193667044e-07j),(-2.94514332263e-07+6.1637489284e-08j),(-3.21305178159e-07+3.45620199442e-09j),(-3.48646691308e-07+2.55703098588e-08j),(-3.41443326623e-07+1.73522569067e-08j),(-3.3036293949e-07+3.07466335865e-08j),(-3.02185441863e-07+8.42024872939e-09j),(-3.16033159243e-07-3.45487183507e-09j),(-3.52259174704e-07-8.39279971123e-09j),
0 mM,,(8.72913653367e-11+1.23546188155e-05j),(-4.31432623135e-06+3.17819815732e-06j),(-3.07781743931e-06+2.97740210941e-06j),(-2.69818330216e-06+2.04167165823e-06j),(-2.47442265774e-06+1.67291036513e-06j),(-2.22973531572e-06+1.37046401275e-06j),(-1.84151978848e-06+1.28709568832e-06j),(-1.58687075179e-06+9.80639410462e-07j),(-1.37016440563e-06+7.08802644615e-07j),(-1.30099544498e-06+5.03373703954e-07j),(-1.18418761071e-06+3.01643960469e-07j),(-1.21598626013e-06+2.15286869922e-07j),(-1.21735091214e-06+2.14833413606e-07j),(-1.22525745205e-06+2.48964866151e-07j),(-1.15915450731e-06+2.42420190221e-07j),(-1.07407048464e-06+1.54272287924e-07j),(-1.06360536651e-06+1.48313581008e-07j),(-1.04586536521e-06+2.26434376525e-07j),(-1.01879740921e-06+2.3213779369e-07j),(-9.43106243011e-07+3.1446942996e-07j),(-8.40101773765e-07+3.02035479488e-07j),(-7.33079820457e-07+2.37303801729e-07j),(-7.26603431897e-07+1.77287616074e-07j),(-6.90610305681e-07+1.97167923373e-07j),(-6.29508113582e-07+1.87858973386e-07j),(-5.80444312685e-07+1.68803351409e-07j),(-5.77544886904e-07+1.09484409723e-07j),(-5.84430830465e-07+8.44097819052e-08j),(-5.35001962948e-07+7.32897938616e-08j),(-5.33850666342e-07+7.04666780385e-08j),(-5.00838346285e-07+7.9122792817e-08j),(-4.92338147382e-07+7.04114151666e-08j),(-4.95881852813e-07+5.64383997289e-08j),(-5.25789053886e-07-2.28767080786e-09j),(-5.44065228062e-07+1.61311998571e-08j),(-5.0760921786e-07+5.89682307447e-08j),(-4.73594751041e-07+6.79767690776e-08j),(-4.42888738855e-07+6.5519961421e-08j),(-4.07471165702e-07+2.09160220176e-08j),(-4.52996270453e-07-1.20758215873e-08j),(-4.89824710994e-07-2.14117805124e-08j),(-5.0119931562e-07+4.14181209413e-09j),(-4.89046040476e-07+5.47334847262e-08j),(-4.84562336711e-07+8.99791833488e-08j),(-4.45367820995e-07+9.88105702376e-08j),(-4.13920827448e-07+1.20868849562e-07j),(-3.86101354929e-07+1.07496032776e-07j),(-3.19467840138e-07+1.13726388757e-07j),(-3.09129739675e-07+8.44465992942e-08j),(-3.01640336706e-07+6.51840664991e-08j),(-2.92982867459e-07+5.35407223761e-08j),
0 mM,,(8.67008802993e-11+1.25295592e-05j),(-4.45291465512e-06+3.18439452525e-06j),(-3.13540564729e-06+2.94883074484e-06j),(-2.72888010681e-06+2.01263487667e-06j),(-2.46401241178e-06+1.66299276118e-06j),(-2.20502450627e-06+1.35505367277e-06j),(-1.81349028151e-06+1.24625212981e-06j),(-1.56971689294e-06+9.36292301836e-07j),(-1.40150329598e-06+6.68911341161e-07j),(-1.35020080863e-06+4.93781720139e-07j),(-1.259397266e-06+2.8610647277e-07j),(-1.24197989156e-06+2.30193613622e-07j),(-1.22388128208e-06+2.17001252339e-07j),(-1.23206465035e-06+2.49064131203e-07j),(-1.13158594836e-06+2.21139258141e-07j),(-1.03197664732e-06+1.50441814527e-07j),(-1.01244686454e-06+1.21243345354e-07j),(-1.00472295394e-06+1.53346946176e-07j),(-1.01553014617e-06+1.8132167463e-07j),(-9.44430588984e-07+2.19423200786e-07j),(-8.50088542204e-07+1.99037613371e-07j),(-7.90095310748e-07+1.01156002474e-07j),(-8.04981591706e-07+5.09742183657e-08j),(-8.01164335429e-07+6.70814609996e-08j),(-7.90288311359e-07+1.39776403786e-07j),(-7.29771640489e-07+1.67642666169e-07j),(-7.1592054281e-07+1.32084382926e-07j),(-6.95732256599e-07+8.55591802752e-08j),(-6.6203965387e-07+8.09127772321e-08j),(-6.22651242576e-07+1.06761266817e-07j),(-5.77262006689e-07+1.04887057738e-07j),(-5.71819729194e-07+7.12457358702e-08j),(-5.72356811064e-07+4.33126964969e-08j),(-5.67788774254e-07+5.66083605767e-08j),(-6.0162374584e-07+4.64819464628e-08j),(-5.87350062871e-07+9.28666199078e-08j),(-5.54432422153e-07+1.09431529654e-07j),(-5.30499665941e-07+8.74082031475e-08j),(-4.98211590422e-07+7.62855207875e-08j),(-5.0980330648e-07+6.31300937817e-08j),(-4.80668739967e-07+4.62365092274e-08j),(-4.58864996753e-07+7.97716047783e-08j),(-4.48232263353e-07+5.75510064132e-08j),(-4.69303729217e-07+5.41963987113e-08j),(-4.69087759087e-07+7.20673158948e-08j),(-4.53408142505e-07+9.46889007903e-08j),(-4.24817116007e-07+1.01755954228e-07j),(-3.93016544277e-07+1.08252506218e-07j),(-3.79456868229e-07+1.12081794205e-07j),(-3.80500217057e-07+1.05565281452e-07j),(-3.45972641065e-07+6.66131371742e-08j),
0 mM,,(8.79552406484e-11+1.27420037905e-05j),(-4.4993005376e-06+3.25773191527e-06j),(-3.16303592089e-06+3.03419688298e-06j),(-2.78441964088e-06+2.03655788225e-06j),(-2.55960009485e-06+1.73327986964e-06j),(-2.24844466531e-06+1.44106819351e-06j),(-1.85530554555e-06+1.34049054631e-06j),(-1.6306109443e-06+1.00041900129e-06j),(-1.46829019747e-06+7.31089905952e-07j),(-1.37896612284e-06+5.48564591085e-07j),(-1.28081910795e-06+3.53064930782e-07j),(-1.31525753209e-06+2.57800465204e-07j),(-1.31298939872e-06+2.94892508019e-07j),(-1.3039203646e-06+3.29953464768e-07j),(-1.21772134559e-06+3.32163268748e-07j),(-1.10510220996e-06+2.88039980521e-07j),(-1.04849258344e-06+2.82112564787e-07j),(-1.00104639091e-06+3.3497206466e-07j),(-9.78277650335e-07+3.29947342226e-07j),(-8.81237492338e-07+3.93503118131e-07j),(-7.70865643365e-07+3.39047318482e-07j),(-7.03106421271e-07+2.66606133051e-07j),(-6.68822233655e-07+2.18697886964e-07j),(-6.39277626494e-07+2.24176944208e-07j),(-5.59178229673e-07+2.17671679277e-07j),(-5.20050719307e-07+2.04853764195e-07j),(-5.22260390271e-07+1.19538708737e-07j),(-4.84869395229e-07+4.02725833593e-08j),(-5.09988256129e-07-4.3207214731e-09j),(-5.42064132112e-07+1.47127927984e-08j),(-5.51706078205e-07+3.29064692944e-08j),(-5.48123944723e-07+3.99934362371e-08j),(-5.17066593122e-07+4.41180706311e-08j),(-5.18162588754e-07+5.92239917124e-08j),(-5.13968113176e-07+3.4766401473e-08j),(-4.86789881377e-07+6.74259117067e-08j),(-4.73712807931e-07+8.07962620647e-08j),(-4.92112038285e-07+6.66634165242e-08j),(-4.56726361965e-07+7.00821997189e-08j),(-4.74510128139e-07+7.52783752291e-08j),(-4.23274449124e-07+1.05249122736e-07j),(-3.62108702376e-07+1.14980063676e-07j),(-3.36334754384e-07+9.59543532028e-08j),(-3.11283690858e-07+6.15323000981e-08j),(-3.40124408973e-07+3.93975322527e-08j),(-3.41903744382e-07+1.87482382446e-08j),(-2.84672936743e-07+2.6080844956e-08j),(-2.89759610933e-07+3.40146957525e-09j),(-3.00076477828e-07-1.03520200233e-09j),(-3.12389712287e-07+1.84842238224e-08j),(-3.00583368851e-07-5.03366552345e-09j),
