,,(1.20574492127e-10+0.000350885135357j),(-8.3791788808e-05+9.76152143254e-06j),(-3.98714800719e-05+5.39571506887e-06j),(-2.86951506527e-05+3.80170580223e-06j),(-2.25400663269e-05+2.53648991339e-06j),(-1.85000554592e-05+1.72271473447e-06j),(-1.58459237872e-05+1.25522502298e-06j),(-1.3798854366e-05+8.16167301177e-07j),(-1.2191813682e-05+4.99196280051e-07j),(-1.08423978982e-05+2.93571027086e-07j),(-9.85185357214e-06+1.29361862624e-07j),(-9.09614150502e-06+4.29916109333e-09j),(-8.4388663315e-06+8.99982806942e-09j),(-7.79858160877e-06-2.66996723049e-08j),(-7.14024386631e-06-4.92796005981e-08j),(-6.6447061381e-06-1.20719265138e-07j),(-6.2421739109e-06-1.02070711084e-07j),(-5.94244546456e-06-1.30690535234e-07j),(-5.68237884362e-06-1.30251842862e-07j),(-5.47561979718e-06-1.4293639362e-07j),(-5.1909879718e-06-1.79336463391e-07j),
,,(1.40363281085e-10+0.000389401843322j),(-8.3577085199e-05+1.3502303985e-06j),(-3.96520019175e-05+5.18817038721e-06j),(-2.89813610992e-05+3.64789275663e-06j),(-2.26910458853e-05+2.57538260516e-06j),(-1.8693820487e-05+1.80641400698e-06j),(-1.60047729458e-05+1.42014515003e-06j),(-1.38995429411e-05+1.00416854468e-06j),(-1.22510135374e-05+7.10931377674e-07j),(-1.09173340759e-05+4.80069249521e-07j),(-9.90623907999e-06+3.13609402814e-07j),(-9.12288521227e-06+2.00591677202e-07j),(-8.45875586853e-06+2.30218496874e-07j),(-7.82246931188e-06+2.17365748537e-07j),(-7.11075724221e-06+2.00693920838e-07j),(-6.59842214966e-06+1.22559034145e-07j),(-6.17471858991e-06+1.45453087977e-07j),(-5.80023579133e-06+1.23818203685e-07j),(-5.55733960466e-06+7.12384942968e-08j),(-5.31402463064e-06+2.51774983122e-08j),(-5.02685772886e-06-2.69779207743e-08j),
,,(1.50443250033e-10+0.000421097770873j),(-9.40904237487e-05+4.33785424463e-06j),(-4.38245638474e-05+5.28708803801e-06j),(-3.21765263837e-05+4.20486395049e-06j),(-2.51159154719e-05+2.95410213927e-06j),(-2.06451952321e-05+2.09779593151e-06j),(-1.7692009298e-05+1.6503543466e-06j),(-1.53707613582e-05+1.1816975702e-06j),(-1.35463522862e-05+8.78186395901e-07j),(-1.20836021568e-05+6.46834315321e-07j),(-1.09510648132e-05+4.63264703633e-07j),(-1.00777249699e-05+3.18259629289e-07j),(-9.34615038731e-06+3.06908033972e-07j),(-8.61514942078e-06+3.23073481085e-07j),(-7.86017176999e-06+2.95315903732e-07j),(-7.26458150704e-06+2.19092546396e-07j),(-6.79150352135e-06+2.10887842765e-07j),(-6.41110406665e-06+1.5680421323e-07j),(-6.12624135913e-06+9.58822474305e-08j),(-5.83513218363e-06+6.29975357406e-08j),(-5.5549165436e-06-1.66915211945e-08j),
,,(1.472080355e-10+0.00046421755416j),(-0.000119065658346+1.68807273348e-05j),(-5.45270648435e-05+4.58350277932e-06j),(-3.88963453165e-05+4.42245792096e-06j),(-3.02166426269e-05+2.91396585975e-06j),(-2.46992698292e-05+2.04867284448e-06j),(-2.1018820178e-05+1.55546798922e-06j),(-1.82310225858e-05+1.08445261057e-06j),(-1.60595577692e-05+7.50911223815e-07j),(-1.43032296526e-05+4.91871918184e-07j),(-1.29563068319e-05+3.01663531916e-07j),(-1.19153704297e-05+1.54135763468e-07j),(-1.10539605205e-05+1.67705635293e-07j),(-1.01938414648e-05+1.74700927616e-07j),(-9.33372407909e-06+1.44595746401e-07j),(-8.66958694871e-06+6.44529657486e-08j),(-8.09816221579e-06+8.77688453919e-08j),(-7.62195916509e-06+2.81052795885e-08j),(-7.29135354731e-06-1.6971052327e-09j),(-6.96324568863e-06-3.58094951521e-08j),(-6.60377077381e-06-8.03954260457e-08j),
,,(1.98797513808e-10+0.000565044390356j),(-0.00014184706104+5.64656421043e-06j),(-6.46895020872e-05+3.40444619934e-06j),(-4.55663182066e-05+4.13527138801e-06j),(-3.50151216632e-05+2.61037076995e-06j),(-2.85871650067e-05+1.79396420149e-06j),(-2.43598484893e-05+1.33467356585e-06j),(-2.11501579977e-05+8.81314250214e-07j),(-1.86203846585e-05+5.80599540028e-07j),(-1.6626282891e-05+3.29136949482e-07j),(-1.50438670085e-05+1.63897817583e-07j),(-1.38034620778e-05+2.7563794048e-08j),(-1.28097818704e-05+6.27840988151e-08j),(-1.18295640962e-05+9.08542469028e-08j),(-1.08424471047e-05+7.00475304858e-08j),(-1.00700293572e-05+1.24908098792e-08j),(-9.41375243596e-06-2.4911226641e-09j),(-8.88258315195e-06-3.65812229323e-08j),(-8.49153991825e-06-1.02541307158e-07j),(-8.10477438058e-06-1.34092436778e-07j),(-7.68133477852e-06-1.72275802489e-07j),
,,(1.20123623159e-10+0.000364831130516j),(-0.000114820578122+9.74275100683e-06j),(-4.75765937877e-05+4.4670345218e-06j),(-3.44928886427e-05+3.90832048561e-06j),(-2.66578115225e-05+2.53311087888e-06j),(-2.17764911524e-05+1.82328472263e-06j),(-1.86543089278e-05+1.39066313497e-06j),(-1.61811862659e-05+1.01265734276e-06j),(-1.42346219709e-05+7.2552534157e-07j),(-1.26951881651e-05+5.14530287626e-07j),(-1.14990941374e-05+3.53991615445e-07j),(-1.05700487769e-05+2.56049475998e-07j),(-9.77611994707e-06+2.9077872085e-07j),(-9.03827179571e-06+2.58021150051e-07j),(-8.24045323108e-06+2.32274966192e-07j),(-7.6242816802e-06+1.56444321881e-07j),(-7.14616153593e-06+1.47874430196e-07j),(-6.73375236998e-06+8.82278195388e-08j),(-6.457906206e-06+4.46113584116e-08j),(-6.15883830433e-06+3.06452344641e-08j),(-5.88912569111e-06-1.03913251615e-08j),
,,(1.64995678522e-10+0.000474912826475j),(-0.000131380562405+1.03038074533e-05j),(-5.89480734216e-05+4.01682547103e-06j),(-4.16554204815e-05+4.41853896775e-06j),(-3.20775989032e-05+2.70962190401e-06j),(-2.6107671357e-05+1.9537429591e-06j),(-2.22588082269e-05+1.46983550662e-06j),(-1.92710299025e-05+1.00780282598e-06j),(-1.69650869516e-05+7.02624275843e-07j),(-1.51066657259e-05+4.43525418641e-07j),(-1.36696400731e-05+2.70415336792e-07j),(-1.25749957453e-05+1.38786111223e-07j),(-1.16666427473e-05+1.4215609807e-07j),(-1.07768068758e-05+1.55454543795e-07j),(-9.87313068889e-06+1.21091896991e-07j),(-9.1913037713e-06+7.47731861501e-08j),(-8.58420335101e-06+9.45832140058e-08j),(-8.11223451741e-06+4.73570646894e-08j),(-7.76523128555e-06+2.27234606536e-08j),(-7.41255913693e-06-2.76781178912e-08j),(-7.04726249812e-06-5.93892173243e-08j),
,,(1.4158827226e-10+0.000400913976684j),(-8.65398713934e-05+3.79399213917e-06j),(-4.38043747837e-05+6.74983894191e-06j),(-3.14903496233e-05+4.27475881961e-06j),(-2.45926144007e-05+2.8410594016e-06j),(-2.01829764568e-05+1.98780355884e-06j),(-1.72775994007e-05+1.54292122284e-06j),(-1.50067149589e-05+1.08800167566e-06j),(-1.32391150056e-05+8.03077456373e-07j),(-1.17899029465e-05+5.79239000499e-07j),(-1.06893052063e-05+3.98249429214e-07j),(-9.81983586083e-06+2.91128313258e-07j),(-9.10497748554e-06+3.06772451746e-07j),(-8.37770300912e-06+2.81567086751e-07j),(-7.64660090215e-06+2.54032779965e-07j),(-7.09292713989e-06+1.78579798441e-07j),(-6.61743796839e-06+1.75199566095e-07j),(-6.24480857175e-06+1.46267111564e-07j),(-5.97760053339e-06+1.09091090989e-07j),(-5.70645959414e-06+6.11294366315e-08j),(-5.45633401573e-06+3.3947294182e-09j),
,,(1.29321900445e-10+0.000396038936238j),(-0.000107628187847+1.60423905133e-05j),(-5.05487161046e-05+4.6993940552e-06j),(-3.5858912461e-05+4.20390209845e-06j),(-2.76767247191e-05+2.67372815675e-06j),(-2.26976866909e-05+1.84282705472e-06j),(-1.93943937808e-05+1.36727867918e-06j),(-1.68492542597e-05+9.29928013686e-07j),(-1.48376981732e-05+6.23829724372e-07j),(-1.32300497572e-05+4.08591554791e-07j),(-1.19775464949e-05+2.54635477693e-07j),(-1.10084748361e-05+1.14393960568e-07j),(-1.01790043185e-05+1.42616291325e-07j),(-9.39142663052e-06+9.9405273082e-08j),(-8.59374261968e-06+5.39508333315e-08j),(-7.95124161322e-06-1.35334902993e-08j),(-7.45722892228e-06-8.69551103573e-09j),(-7.02984950526e-06-4.5924748969e-08j),(-6.75496844053e-06-1.25360226473e-07j),(-6.48636494386e-06-1.69109706438e-07j),(-6.16693046216e-06-2.17359653627e-07j),
,,(1.2225228839e-10+0.000395357935194j),(-0.00011168074545+2.47678555723e-05j),(-5.61135338716e-05+5.44938230783e-06j),(-3.8556014355e-05+4.43268409483e-06j),(-2.9814217214e-05+2.92804838449e-06j),(-2.43532506405e-05+2.0638350151e-06j),(-2.07223558531e-05+1.57161086679e-06j),(-1.79588725968e-05+1.13123814548e-06j),(-1.57934191428e-05+7.995079767e-07j),(-1.40977290701e-05+5.41257325032e-07j),(-1.2743359159e-05+3.40621831614e-07j),(-1.17233353265e-05+2.01688100901e-07j),(-1.08522901669e-05+2.00405073373e-07j),(-1.00172750259e-05+2.15119178104e-07j),(-9.19471920543e-06+1.9403410633e-07j),(-8.52965208952e-06+1.55198212138e-07j),(-7.95393538692e-06+1.6544045401e-07j),(-7.49680325461e-06+1.09125578624e-07j),(-7.19428327408e-06+6.87891158704e-08j),(-6.86164695499e-06+3.81980326187e-08j),(-6.52703291789e-06-3.55454361022e-08j),
