15332+0.2059i,15750+0.2039i,15396+0.20347i,14982+0.21136i,15284+0.21548i,15413+0.20792i,15349+0.20934i,15279+0.20922i,15184+0.21039i,15216+0.20597i,14984+0.20442i,15040+0.20206i,15238+0.20702i,15381+0.21095i,15218+0.21198i,14792+0.2196i,15126+0.21155i,14811+0.21598i,14722+0.21913i,14792+0.21144i,14513+0.20472i,14586+0.20708i,14690+0.21129i,14951+0.20617i,14600+0.21235i,15001+0.20027i,14193+0.21066i,14279+0.21284i,14513+0.20988i,14323+0.20895i,14770+0.21388i,14376+0.20379i,14367+0.20931i,14369+0.20932i,14254+0.20761i,14902+0.21328i,14228+0.21974i,14651+0.2067i,14183+0.21289i,14312+0.20547i,13996+0.20875i,14155+0.20637i,13858+0.20995i,13837+0.20958i,14450+0.21275i,14165+0.21367i,14167+0.20455i,13921+0.20359i,14402+0.21048i,14295+0.20734i,14289+0.20202i,13695+0.21106i,13790+0.2169i,13745+0.21558i,14279+0.21047i,14088+0.20521i,13937+0.21754i,13802+0.21168i,13738+0.20908i,13951+0.21421i,14841+0.20696i,13716+0.22598i,13995+0.21003i,13981+0.21045i,14215+0.20824i,13434+0.21166i,13352+0.21413i,13637+0.2141i,13664+0.21189i,13796+0.22017i,13356+0.20753i,13920+0.21884i,13467+0.21165i,13793+0.21733i,13590+0.21146i,13664+0.20993i,13429+0.21024i,13271+0.21577i,13307+0.21196i,12804+0.2152i,13767+0.21371i,13440+0.22044i,13516+0.22084i,13187+0.21123i,13458+0.21991i,13151+0.21588i,13524+0.22021i,12952+0.21565i,13437+0.21616i,13152+0.22542i,12723+0.22078i,12757+0.2203i,13107+0.21658i,12829+0.21782i,12947+0.21469i,13144+0.21158i,12671+0.22993i,12946+0.22215i,13472+0.2204i,12950+0.22076i,12595+0.22374i,12528+0.22386i,12561+0.22763i,12438+0.2197i,12701+0.22336i,12324+0.23451i,12311+0.22279i,12567+0.22591i,12600+0.22674i,12331+0.22111i,12449+0.22903i,12186+0.231i,12518+0.22427i,12386+0.24051i,12133+0.23191i,11912+0.22761i,12262+0.23232i,11611+0.23475i,12216+0.22516i,12108+0.22804i,11833+0.23215i,12131+0.23539i,11436+0.23363i,11198+0.22436i,11485+0.23604i,11423+0.2365i,11480+0.23815i,11974+0.23398i,11581+0.24559i,11263+0.22896i,11509+0.23782i,11151+0.23289i,11393+0.24044i,11428+0.24007i,10935+0.24565i,10903+0.24149i,11310+0.24936i,11072+0.2467i,11220+0.2402i,10903+0.23825i,11134+0.25518i,10862+0.2389i,10693+0.25063i,10886+0.24497i,10714+0.25163i,10528+0.2556i,10372+0.25227i,10745+0.25093i,10809+0.25326i,10485+0.25503i,10522+0.25732i,10208+0.25746i,10769+0.25925i,10827+0.25146i,10239+0.24977i,10290+0.26359i,10142+0.26134i,9873.4+0.26079i,9960.9+0.25161i,9822.5+0.2581i,10205+0.25904i,10169+0.26663i,9760.6+0.26727i,10125+0.2611i,10086+0.26411i,9498.4+0.26535i,9741+0.27844i,9755.8+0.26486i,9341.3+0.27794i,9643.2+0.26957i,10147+0.27393i,9270.2+0.27662i,9958.8+0.27227i,9298.9+0.2709i,9378.8+0.28619i,9376.6+0.28307i,9379.8+0.28423i,8967.8+0.28672i,9167.8+0.28031i,9349.7+0.28058i,9075.5+0.2769i,9395.7+0.28003i,9443.9+0.29245i,9133.8+0.28513i,9078.2+0.29868i,9170.7+0.28485i,9014.6+0.29349i,9042.2+0.2933i,9174.6+0.28344i,9029.8+0.29018i,9000.5+0.28539i,8837.4+0.29951i,8921.9+0.29503i,8489.2+0.29235i,8860.1+0.29411i,8897.8+0.29884i,8703.4+0.29681i,9018.6+0.29901i,8699.5+0.30529i,9084.3+0.3127i,8639.2+0.31299i,8549.9+0.31276i,8565.6+0.30209i,8498.6+0.3065i,8611+0.29953i,8382.8+0.3162i,8515.1+0.30019i,8448.2+0.30834i,8474.8+0.31665i,8410.6+0.32431i,8534.8+0.30708i,8593.1+0.32027i,8456.5+0.32475i,8507.6+0.31774i,8220.4+0.31881i,8100.1+0.30874i,8464.1+0.32944i,8259+0.31452i,8293.5+0.31191i,8559.5+0.32357i,8223.9+0.30853i,8332.8+0.33301i,8389.5+0.3355i,7838.9+0.33804i,8135.5+0.3344i,7893.9+0.33442i,8336.9+0.3272i,8094.9+0.33872i,8146+0.32609i,7866.7+0.32487i,8105.2+0.33122i,8095.7+0.34455i,8171.3+0.33089i,8135.3+0.34071i,8225+0.35045i,7937.3+0.34315i,7963.1+0.34376i,7942.7+0.3446i,7991.1+0.32272i,7857.3+0.33959i,7820.7+0.35296i,8055.9+0.34817i,7869.6+0.34872i,8097.6+0.34359i,8300.1+0.35629i,8133.2+0.3561i,8032.6+0.34645i,8116.2+0.363i,8025+0.36262i,8007+0.35082i,7916.4+0.36391i,7968.2+0.34765i,8091.5+0.36368i,7828.3+0.35334i,8197.3+0.35819i,7913.9+0.36541i,7774.1+0.35566i,7987.3+0.35581i,7913.5+0.38142i,7680.3+0.37911i,7831.2+0.37508i,7535.4+0.37243i,7795.6+0.36794i,7760.7+0.37364i,7573.7+0.37092i,7605.6+0.37894i,7829.7+0.38081i,7706.1+0.38055i,7948.7+0.36371i,7722.2+0.39124i,7642.5+0.39155i,7346.4+0.38209i,7846.2+0.37914i,7649.2+0.37854i,7554.1+0.39514i,7614.3+0.39615i,7378+0.38548i,7774.4+0.38712i,7626.3+0.38716i,7697.2+0.39721i,7926.1+0.40424i,7528.2+0.3765i,7783.1+0.41021i,7690.3+0.38585i,7741.4+0.38312i,7610.3+0.39295i,7660.4+0.39183i,7749.6+0.38225i,7505.6+0.40627i,7852.8+0.42188i,7465.8+0.40284i,7610.6+0.40593i,7630.4+0.41264i,7529.5+0.41188i,7567.1+0.40755i,7473+0.41497i,7486.1+0.40125i,7563.9+0.42722i,7507.7+0.43103i,7691.4+0.4224i,7511.4+0.42194i,7353.3+0.43501i,7675.2+0.43508i,7872+0.43093i,7804.3+0.43429i,7687.9+0.406i,7388+0.42769i,7482.8+0.43257i,7650+0.42638i,7433+0.42624i,7670.2+0.43228i,7440.9+0.4403i,7220.5+0.44599i,7544.5+0.43556i,7540.7+0.43119i,7510.4+0.42729i,7527+0.42906i,7772.6+0.4504i,7554.4+0.44793i,7617+0.45432i,7216.7+0.44462i,7546.8+0.45149i,7549.6+0.4518i,7666.8+0.43872i,7353.1+0.44656i,7556.7+0.44928i,7351+0.43324i,7361.4+0.47686i,7620+0.48048i,7485+0.45387i,7295.7+0.4654i,7529.4+0.47512i,7466.1+0.44843i,7637.9+0.45632i,7628.8+0.46238i,7628+0.46564i,7472.1+0.46844i,7684.4+0.45797i,7216.5+0.46557i,7574.6+0.49385i,7427.4+0.46426i,7504+0.47221i,7302.8+0.48431i,7413.6+0.47795i,7127.1+0.49505i,7229.4+0.48877i,7631+0.4905i,7709.7+0.48617i,7594.2+0.4897i,7463.5+0.50733i,7658.6+0.51937i,7395.6+0.49493i,7494.2+0.50589i,7355.4+0.50209i,7383.5+0.48638i,7532.7+0.47307i,7389.1+0.52362i,7423.1+0.49742i,7527.5+0.50717i,7693.1+0.50182i,7388.8+0.50987i,7510.5+0.49427i,7477.9+0.5265i,7652.1+0.5155i,7409.4+0.51573i,7555.4+0.51724i,7531.7+0.52505i,7242.3+0.53138i,7670.6+0.53041i,7542.9+0.53012i,7584.3+0.50878i,7279.9+0.54256i,7354+0.52557i,7344.8+0.54417i,7331.6+0.52236i,7426.1+0.54277i,7540.4+0.55436i,7655.8+0.52316i,7488.6+0.54977i,7403.4+0.55871i,7379.9+0.56179i,7460+0.55889i,7609.6+0.54586i,7852.3+0.5417i,7275.1+0.56641i,7658.1+0.55569i,7507.7+0.57821i,7353.7+0.56473i,7370.7+0.56488i,7466.8+0.56349i,7431.6+0.58243i,7541.4+0.56642i,7244.4+0.57072i,7484.2+0.56017i,7411.6+0.56831i,7413.7+0.5799i,7510.5+0.60585i,7347+0.58216i,7489.6+0.57516i,7287.2+0.59691i,7358.9+0.59615i
15705+0.21279i,15525+0.21295i,14562+0.20176i,15236+0.21934i,15471+0.21482i,14948+0.21848i,14891+0.20937i,14706+0.2181i,15037+0.20733i,14863+0.2114i,14889+0.20991i,15365+0.20869i,14931+0.21422i,15274+0.21519i,15187+0.21404i,15461+0.21035i,15018+0.21619i,14472+0.20408i,14879+0.20907i,14361+0.21041i,14658+0.21202i,15137+0.20045i,14296+0.21141i,14627+0.21013i,14762+0.21197i,14712+0.21358i,14426+0.21058i,14882+0.21017i,14924+0.20286i,14507+0.21528i,14970+0.21317i,14857+0.21417i,14202+0.21581i,14375+0.2161i,14731+0.20969i,14710+0.20501i,14323+0.20777i,14266+0.21737i,14212+0.21107i,14289+0.20607i,14061+0.2096i,14606+0.21637i,14492+0.21057i,13949+0.21005i,14558+0.20855i,14284+0.21412i,14311+0.21217i,14165+0.21566i,14329+0.21428i,14335+0.21425i,14586+0.21328i,14325+0.20713i,14334+0.20738i,14030+0.20639i,13319+0.21238i,14214+0.21794i,13819+0.21086i,14330+0.21877i,13738+0.20838i,13785+0.21084i,13504+0.19992i,13514+0.21408i,13644+0.21609i,13128+0.20946i,13616+0.21158i,13701+0.21879i,13579+0.20795i,14121+0.21419i,13453+0.21011i,14056+0.21934i,13322+0.215i,13796+0.21497i,13644+0.21702i,13058+0.21795i,13413+0.20907i,13408+0.21681i,13637+0.21807i,13371+0.22239i,13154+0.21297i,13780+0.22272i,13378+0.21576i,13358+0.21375i,13455+0.2148i,13230+0.21048i,13001+0.2165i,12949+0.21801i,13412+0.22314i,13388+0.21098i,13164+0.22541i,12885+0.21086i,12988+0.21739i,13144+0.21622i,13232+0.22561i,12633+0.21336i,13488+0.221i,13196+0.21507i,13060+0.22164i,12785+0.23267i,13000+0.21304i,12308+0.2158i,12581+0.22001i,12579+0.22906i,12527+0.21949i,12375+0.2169i,12424+0.21971i,12084+0.21975i,12376+0.22884i,12263+0.23053i,12471+0.22602i,11994+0.23299i,11983+0.22615i,12044+0.22618i,12072+0.2304i,12225+0.23015i,12500+0.22525i,11772+0.22684i,11761+0.23394i,11826+0.23194i,12095+0.2319i,12242+0.22822i,11818+0.23033i,12397+0.2295i,11438+0.23179i,11992+0.22718i,11747+0.21569i,11627+0.23204i,11280+0.23764i,11489+0.24098i,11599+0.23661i,11786+0.2345i,11285+0.23936i,11461+0.23629i,11057+0.24245i,11379+0.23318i,11103+0.23826i,11285+0.24143i,11669+0.24329i,11213+0.2443i,10870+0.24246i,11384+0.24041i,10833+0.2395i,10772+0.24205i,10530+0.24311i,10876+0.24745i,10450+0.24151i,10956+0.24001i,10441+0.2555i,10680+0.24196i,10446+0.25042i,10698+0.24498i,10414+0.25489i,10583+0.24606i,10092+0.25373i,10223+0.25728i,10332+0.2497i,10131+0.25837i,9862.7+0.25117i,10331+0.25647i,9753.2+0.25739i,9735+0.2562i,9817.7+0.26089i,9837.3+0.26649i,10009+0.27049i,10119+0.26774i,10142+0.26097i,10013+0.26919i,9829.1+0.26733i,9797.3+0.27345i,9909.3+0.27389i,10073+0.26337i,9393.3+0.26914i,9612.2+0.28025i,9701.9+0.27913i,9797.6+0.27533i,9259.3+0.27923i,9526+0.2839i,9791.6+0.27942i,9441.6+0.26998i,9410+0.28064i,8869+0.28262i,9626+0.29007i,9279.6+0.28145i,9110.9+0.29831i,8992.6+0.29537i,9326.1+0.2932i,9081.4+0.28926i,8993.5+0.28435i,8914.9+0.29743i,9004.3+0.2882i,8918.2+0.27899i,8858.9+0.29002i,9181.9+0.29493i,8976.7+0.2925i,8909.2+0.28309i,8921.1+0.29765i,9116.5+0.29623i,8995.7+0.2958i,8821.2+0.30904i,8894.7+0.3025i,8670.5+0.29091i,8620.7+0.30985i,8744.7+0.29746i,8702.2+0.31389i,8238.6+0.29983i,8549.1+0.30323i,8593.7+0.31657i,8451.5+0.31068i,8334.2+0.30377i,8479.9+0.33083i,8146.2+0.31625i,8359.5+0.31756i,8547.9+0.30638i,8319.7+0.32098i,8312.2+0.32531i,8370.7+0.31361i,8348.3+0.32092i,8375.7+0.30774i,8328.6+0.32685i,8403+0.31278i,8005.7+0.32684i,8226.2+0.32993i,8178.9+0.32921i,8393.6+0.32912i,8327.4+0.33428i,8088.5+0.32506i,8461.2+0.32916i,8264.9+0.33733i,8209.3+0.33034i,8253.6+0.32939i,8014.6+0.33323i,8003.8+0.33798i,7787.4+0.32943i,8189.2+0.34107i,8367.1+0.34738i,8357.8+0.35073i,8098.7+0.34312i,7924.9+0.34168i,7913.5+0.34296i,8107.2+0.3477i,7875+0.34107i,8041.4+0.34266i,8124.7+0.33574i,7862.7+0.34427i,7760.5+0.34798i,8068.4+0.35892i,7989.4+0.35835i,8040.1+0.35905i,8071.6+0.3496i,7844.7+0.37813i,7924.4+0.35127i,7811.2+0.35739i,7784.1+0.35658i,7897.7+0.36865i,7708.3+0.35841i,8041.1+0.35732i,7711.4+0.36016i,7528.1+0.36569i,7868.9+0.36568i,7851.6+0.37016i,7723.7+0.37115i,7640.9+0.36683i,7684.1+0.38776i,8136.5+0.36934i,7501.6+0.36982i,7881.5+0.37966i,7944.7+0.38464i,7807.1+0.36845i,7905+0.37738i,7849.1+0.38233i,7489+0.38163i,7755.1+0.38299i,7639+0.38845i,7623.5+0.3919i,7617.8+0.38146i,7670+0.37025i,7729.2+0.38849i,7945.7+0.39496i,7581.6+0.37291i,7541.7+0.39067i,7750.3+0.39188i,7804.5+0.39836i,7519+0.39596i,7427.2+0.3916i,7692.6+0.39562i,7579+0.39123i,7467.6+0.40992i,7686.7+0.40172i,7820+0.40404i,7693.6+0.42496i,7815.7+0.40455i,7604.5+0.40931i,8004.5+0.42461i,7746.3+0.42502i,7710.7+0.40825i,7685.6+0.41755i,7754.1+0.4187i,7839.6+0.41546i,7575.9+0.39619i,7531.1+0.40212i,7774.6+0.42072i,7472.4+0.40955i,7458.4+0.42437i,7494.1+0.42445i,7718.1+0.41344i,7852.5+0.41857i,7588.9+0.40971i,7764.9+0.44065i,7582.2+0.42793i,7517.3+0.43187i,7660+0.42643i,7409+0.43782i,7463.6+0.45397i,7182.2+0.43338i,7696.8+0.43555i,7508.7+0.44075i,7456.3+0.44061i,7477.2+0.45477i,7499+0.44855i,7873.1+0.42831i,7781.8+0.44464i,7706.2+0.458i,7770.2+0.44457i,7440.3+0.46094i,7689.9+0.44857i,7160.3+0.47476i,7557+0.45555i,7661.3+0.45363i,7316.1+0.45811i,7434+0.45127i,7448.1+0.45964i,7823.4+0.45979i,7373+0.44726i,7465.5+0.48247i,7440+0.48028i,7515.8+0.47957i,7608+0.48045i,7300.2+0.45386i,7445.5+0.46559i,7417.8+0.48842i,7205.7+0.48433i,7423.9+0.4883i,7316.5+0.46459i,7447.8+0.47812i,7519.1+0.48419i,7288.5+0.47604i,7422.4+0.48427i,7749.4+0.48376i,7578.3+0.4857i,7305.8+0.48698i,7225.2+0.49412i,7558.6+0.50811i,7370+0.47892i,7567.5+0.4993i,7455.5+0.51491i,7339.6+0.49552i,7606.7+0.50203i,7623.3+0.51448i,7128.3+0.49891i,7409.2+0.50718i,7461.7+0.51826i,7431.9+0.50815i,7405.2+0.53046i,7496+0.51078i,7528.9+0.52917i,7671.2+0.51062i,7407.4+0.52125i,7404.5+0.51209i,7493+0.51096i,7657.8+0.51901i,7285.3+0.52142i,7629+0.53823i,7555.1+0.54652i,7705.6+0.54859i,7399.5+0.53537i,7374.3+0.51874i,7336.2+0.53602i,7490.7+0.53461i,7550.1+0.55055i,7623.6+0.55448i,7703.5+0.5484i,7628.8+0.55205i,7749.5+0.55798i,7597.8+0.54787i,7412.2+0.58247i,7360.1+0.55594i,7435.2+0.56491i,7252.4+0.53188i,7537.3+0.55985i,7655.7+0.53925i,7562+0.57175i,7566.4+0.5637i,7275.8+0.56276i,7489.6+0.5654i,7444.9+0.59834i,7484.2+0.60511i,7380.5+0.57128i,7327.7+0.58702i,7318.9+0.58019i,7374.2+0.58238i,7294.1+0.57489i,7115.4+0.59963i
15640+0.20716i,15558+0.20727i,15626+0.20587i,15736+0.207i,15127+0.21409i,15347+0.20478i,15511+0.21129i,15089+0.20517i,15274+0.20762i,14890+0.20738i,15209+0.212i,15092+0.21507i,14636+0.2122i,14491+0.21322i,15006+0.21299i,14534+0.21689i,14780+0.21103i,15218+0.20997i,14496+0.2066i,14495+0.21387i,14796+0.20817i,14404+0.20713i,14649+0.20726i,14962+0.20641i,14135+0.21135i,15025+0.21183i,15204+0.20475i,14121+0.21226i,14964+0.21447i,14699+0.20288i,14631+0.20417i,14600+0.21019i,14743+0.21138i,14433+0.21192i,14637+0.21016i,13753+0.2014i,14355+0.21366i,14116+0.21933i,13952+0.20897i,14464+0.21506i,13936+0.21475i,14246+0.20746i,14476+0.21402i,13916+0.20929i,14538+0.21292i,14701+0.21263i,14323+0.21586i,14784+0.21129i,14433+0.21861i,13919+0.21752i,14322+0.21183i,13814+0.21027i,13484+0.21105i,14077+0.21071i,13946+0.21392i,14010+0.21612i,14065+0.20621i,13874+0.2215i,14581+0.21413i,13791+0.21321i,13781+0.21686i,14081+0.2135i,14139+0.22331i,13617+0.20732i,13528+0.20796i,13936+0.21131i,13864+0.21617i,13314+0.21275i,14095+0.21104i,14054+0.21713i,13610+0.21397i,14155+0.21613i,13657+0.20738i,13621+0.21769i,13512+0.21821i,13665+0.21495i,13212+0.21349i,13441+0.21361i,13333+0.22408i,13461+0.21773i,13761+0.22158i,13138+0.22157i,12986+0.21689i,13492+0.22447i,12739+0.22912i,13610+0.22328i,13124+0.22919i,13106+0.22271i,13251+0.22106i,12974+0.21652i,13289+0.21338i,13469+0.21575i,13136+0.21338i,12827+0.2184i,12879+0.22809i,12121+0.22212i,12741+0.2157i,12898+0.22145i,13043+0.21761i,13065+0.21913i,12434+0.22157i,12523+0.22428i,12166+0.2236i,13111+0.22636i,12321+0.22062i,12859+0.22296i,11855+0.22497i,12130+0.22605i,12653+0.21942i,12864+0.22651i,12005+0.2264i,12458+0.23294i,11742+0.22244i,12301+0.22762i,12249+0.23609i,12173+0.22445i,11471+0.22528i,12038+0.22551i,11551+0.23376i,11615+0.23618i,12024+0.23306i,11897+0.23262i,11183+0.23502i,12003+0.22923i,11695+0.2392i,11762+0.22943i,11433+0.23728i,11484+0.2355i,11514+0.23797i,11155+0.2335i,11276+0.23501i,11153+0.23364i,11431+0.24148i,11280+0.23705i,11305+0.23755i,10878+0.24233i,11452+0.24014i,10839+0.25201i,11015+0.23948i,11256+0.2436i,10966+0.24577i,11086+0.24759i,10886+0.24i,11038+0.2477i,10856+0.24632i,10843+0.24777i,10568+0.2537i,10424+0.25888i,10715+0.25537i,9978.7+0.25041i,10360+0.25808i,10462+0.25846i,10332+0.25322i,10435+0.25269i,9860.9+0.25129i,10015+0.26088i,10246+0.25984i,9943.9+0.26588i,10155+0.25935i,9932.9+0.26042i,9810.8+0.26435i,9910.2+0.26172i,10136+0.26569i,10108+0.26498i,9816.8+0.26086i,9842.5+0.26093i,9907.7+0.26302i,9717.8+0.26708i,9834.1+0.27059i,9581.7+0.26944i,9321.5+0.27877i,9433+0.27629i,9726.1+0.27623i,9544.8+0.27327i,9821.6+0.26958i,9336.2+0.27446i,9394.8+0.28553i,9112.7+0.28769i,9397+0.27412i,9563.3+0.28369i,9215+0.28011i,8937.7+0.28012i,9395.3+0.28258i,9161.9+0.28115i,9074.6+0.27756i,8846.3+0.29164i,8928.8+0.28701i,8987+0.29085i,9139.9+0.28477i,8838.4+0.28634i,8921.6+0.2892i,9036+0.29619i,8823.5+0.28549i,8742.5+0.30069i,8862.9+0.2965i,8750.9+0.30325i,8604.6+0.29301i,8755.3+0.30473i,8680.5+0.30974i,8707.7+0.30529i,8700.8+0.30212i,8364.4+0.30629i,8676+0.31138i,8435.1+0.30028i,8677.6+0.30688i,8663.4+0.29951i,8351.8+0.29763i,8569+0.30562i,8278.3+0.30517i,8385.4+0.31882i,8885.3+0.30547i,8434.8+0.30071i,8364+0.31758i,8248.3+0.32527i,8515.6+0.31622i,8436.9+0.31643i,8667.3+0.31616i,8237.1+0.31676i,8332.6+0.32638i,8130.8+0.33333i,8280.1+0.32611i,7938.3+0.31693i,8210.5+0.32661i,8123.8+0.33081i,8027.2+0.32877i,8238.7+0.32631i,8323.3+0.33325i,8243.9+0.33847i,8174.5+0.32539i,7699.7+0.33808i,7761.2+0.32727i,7872.5+0.32592i,7902.6+0.33465i,7942.2+0.34807i,7906.1+0.34904i,7937.7+0.34582i,8204.3+0.34322i,7892.8+0.33956i,7925.5+0.33618i,8092.3+0.34238i,7927+0.32547i,7979.1+0.34285i,8100+0.35139i,7949.6+0.34831i,7916.6+0.35647i,7705.1+0.35445i,8006.2+0.36705i,8029.7+0.34691i,7874.8+0.34864i,7729.4+0.35635i,8061.7+0.35724i,7814+0.35666i,8149.2+0.35561i,7948.7+0.38003i,7655.2+0.37848i,7838.6+0.35322i,7881.8+0.36947i,7871.3+0.36389i,7643.1+0.36696i,7687.5+0.38469i,7788.1+0.3735i,7552.1+0.38379i,7828+0.37535i,7984.7+0.36037i,7753.4+0.38086i,7670.2+0.36768i,7549.1+0.37585i,7883.3+0.38446i,7678.3+0.37698i,7603.5+0.37804i,7792.2+0.39814i,7764.4+0.39573i,7572.9+0.38868i,7626.8+0.38557i,7780.5+0.39152i,7539.6+0.38496i,7573.5+0.40568i,7901.4+0.38836i,7727.2+0.38514i,7664.8+0.39207i,7785.1+0.39244i,7733.9+0.39892i,7478+0.38427i,7704.4+0.40834i,7675.7+0.38803i,7776.1+0.39759i,7522.8+0.42189i,7597.4+0.40957i,7696.5+0.40015i,7742.6+0.40253i,7802.2+0.40154i,7557.6+0.38636i,7671.2+0.42246i,7671+0.40079i,7595.8+0.41501i,7374.8+0.41639i,7326.3+0.42379i,7491.6+0.42031i,7634.1+0.4201i,7751.8+0.42496i,7589+0.41908i,7663.8+0.42701i,7493.9+0.42913i,7786.6+0.4366i,7481.5+0.43798i,7785.4+0.42809i,7621.8+0.43813i,7347.1+0.42191i,7450.4+0.42531i,7900.6+0.4315i,7528.7+0.4166i,7534.9+0.43037i,7548.5+0.43407i,7236.5+0.43512i,7390.1+0.42546i,7446+0.42733i,7491.7+0.44361i,7442.7+0.44472i,7339.1+0.43849i,7458.3+0.44124i,7256.2+0.43875i,7655.4+0.4455i,7629.4+0.44407i,7796.6+0.45672i,7151.7+0.45715i,7301.8+0.45432i,7530.5+0.45659i,7433.6+0.45103i,7494.7+0.44183i,7561.7+0.47001i,7477.1+0.46207i,7473.3+0.45604i,7174.2+0.47311i,7472.7+0.4617i,7237.1+0.46059i,7353.7+0.46675i,7695.1+0.48255i,7549.7+0.48233i,7416.1+0.48177i,7526.5+0.47566i,7512.9+0.48415i,7270.5+0.48326i,7522.6+0.48866i,7613.2+0.48277i,7467.2+0.49361i,7261.9+0.49312i,7144.8+0.49339i,7740+0.48693i,7898.4+0.49009i,7272.8+0.50216i,7448.6+0.49174i,7642.4+0.50043i,7466.4+0.49441i,7220.6+0.51156i,7576.8+0.4999i,7473.3+0.50356i,7763.5+0.51913i,7328.9+0.5155i,7643.9+0.51103i,7582.9+0.50037i,7646.5+0.50791i,7487.3+0.52123i,7309.2+0.53213i,7762.7+0.52261i,7886.1+0.50177i,7398.9+0.52963i,7386.7+0.50041i,7471.1+0.51226i,7541.1+0.52174i,7296.7+0.52617i,7515.4+0.53162i,7601.2+0.53105i,7357.6+0.54488i,7555.1+0.52474i,7262.6+0.54263i,7528.1+0.53377i,7454.6+0.54029i,7542.9+0.54762i,7558.8+0.54739i,7642.8+0.54661i,7637.1+0.55878i,7416.3+0.55151i,7307.9+0.55202i,7761.3+0.54789i,7409.2+0.57269i,7491.4+0.57841i,7457+0.56699i,7623+0.56947i,7522.4+0.54664i,7412.5+0.58211i,7178.8+0.5836i,7432.7+0.56054i,7252.3+0.5613i,7381.9+0.57502i,7560.1+0.59239i,7398+0.56598i,7466.4+0.60022i,7543.4+0.59807i,7542.1+0.57516i,7413+0.59235i,7569.7+0.59188i
