18357+0.20749i,18686+0.21003i,18703+0.2217i,17975+0.20155i,18367+0.21107i,17887+0.20788i,17593+0.21806i,18052+0.20798i,18126+0.21674i,18406+0.19953i,17707+0.20677i,17743+0.20583i,17993+0.20678i,17637+0.20791i,17825+0.20812i,17433+0.21479i,18158+0.21582i,17316+0.2058i,17690+0.21788i,17262+0.20925i,18089+0.2136i,17709+0.20813i,18189+0.20751i,17631+0.21022i,17235+0.20802i,17592+0.21007i,17332+0.21624i,17789+0.21694i,17090+0.20885i,16968+0.21376i,18069+0.20974i,17581+0.21934i,17261+0.21888i,16595+0.21393i,16948+0.20765i,16845+0.20678i,16862+0.21071i,17158+0.20865i,16911+0.20627i,17201+0.20894i,16896+0.20225i,17569+0.2152i,16957+0.20908i,16559+0.20201i,17127+0.21334i,16812+0.21095i,17425+0.21573i,17091+0.21628i,16528+0.21294i,16283+0.20745i,16488+0.21467i,17082+0.21473i,16578+0.20795i,16491+0.21178i,16714+0.20478i,17022+0.21261i,16868+0.21829i,16622+0.20802i,16898+0.21299i,16952+0.21692i,16554+0.20476i,16606+0.21464i,16006+0.22188i,16535+0.21816i,16333+0.21311i,16461+0.21898i,16062+0.21457i,15849+0.21313i,16483+0.2214i,16193+0.21968i,16150+0.21658i,16073+0.21231i,16022+0.2162i,16249+0.2171i,15624+0.21138i,16293+0.21629i,15702+0.20665i,15773+0.22328i,15980+0.21927i,16014+0.21253i,16263+0.22956i,15085+0.21747i,15858+0.21778i,15654+0.21487i,16515+0.22287i,15976+0.21697i,15429+0.2208i,15756+0.21687i,15603+0.22038i,15646+0.22245i,15483+0.22075i,14720+0.21508i,15669+0.22328i,15168+0.21352i,14911+0.22041i,15439+0.22304i,15153+0.23022i,15168+0.22488i,14818+0.2236i,15268+0.21567i,15102+0.22434i,15279+0.22599i,14783+0.22919i,15110+0.22766i,15229+0.22645i,15033+0.23073i,15614+0.22298i,14784+0.22745i,15356+0.23333i,15179+0.22934i,15177+0.2275i,14396+0.2269i,14779+0.23216i,14430+0.22565i,13904+0.23105i,14250+0.23667i,14074+0.23258i,14324+0.23414i,14248+0.2333i,14195+0.23794i,14037+0.22532i,13993+0.23554i,14056+0.22771i,13958+0.23451i,13677+0.24196i,13733+0.2454i,13469+0.24402i,13870+0.24111i,14172+0.22993i,13872+0.24885i,13630+0.24754i,13483+0.24285i,13481+0.24274i,13344+0.24307i,13400+0.24262i,13723+0.24073i,13155+0.23981i,13323+0.25412i,12964+0.24093i,13284+0.25065i,13534+0.24321i,12594+0.24503i,13160+0.24835i,13056+0.25696i,12642+0.251i,12457+0.25452i,12479+0.26478i,12813+0.24995i,12330+0.26097i,12560+0.26526i,12262+0.26091i,12144+0.2567i,12442+0.26863i,12080+0.26382i,12269+0.26851i,12440+0.2703i,12429+0.25848i,11896+0.25913i,12118+0.26808i,11966+0.27332i,11608+0.26678i,11771+0.27758i,11929+0.27436i,11733+0.28178i,11611+0.27213i,11786+0.281i,11629+0.27528i,11495+0.28258i,11419+0.28649i,11744+0.28081i,11397+0.28096i,11538+0.28275i,11211+0.28727i,10956+0.27471i,11030+0.28239i,11225+0.28957i,11157+0.28872i,11241+0.28471i,10762+0.29135i,11031+0.28428i,11181+0.29766i,11006+0.3099i,11143+0.30581i,10774+0.29626i,11028+0.29363i,11031+0.30139i,10903+0.30904i,10789+0.30908i,10719+0.30711i,10804+0.30944i,10585+0.30906i,10359+0.30879i,10606+0.30451i,10737+0.31277i,10380+0.31214i,10365+0.30961i,10602+0.30856i,10249+0.31818i,10072+0.31548i,10453+0.32414i,11018+0.33003i,10385+0.32777i,10414+0.328i,10270+0.31665i,10377+0.32834i,10325+0.325i,10362+0.33033i,10441+0.33246i,9993+0.3204i,10354+0.33093i,10396+0.32849i,10200+0.33255i,10300+0.32958i,9615.2+0.33227i,10296+0.33219i,9630.4+0.34577i,9890.1+0.34923i,9750.6+0.34113i,9894.7+0.32577i,9859.3+0.33564i,9963.8+0.35342i,9573.3+0.35288i,9557.8+0.34127i,10231+0.34547i,9700+0.35442i,9984.3+0.355i,9535+0.35097i,9416.9+0.36828i,9602.2+0.35398i,9544.5+0.35927i,9455+0.3563i,9673+0.35488i,9421.6+0.36171i,9607.5+0.37233i,9917+0.35782i,9255.4+0.35882i,9594.9+0.37114i,9250.5+0.35082i,9624.9+0.37581i,9348.2+0.37089i,9646.2+0.38213i,9445.3+0.37696i,9446.5+0.37379i,9834.1+0.3849i,9443.4+0.37038i,9540.8+0.37356i,9488.1+0.36364i,9840.7+0.37379i,9637+0.38085i,9301.5+0.3715i,9414.2+0.36844i,9590.4+0.3744i,9458+0.38967i,9242+0.37476i,9806.5+0.40082i,9664.4+0.38673i,9482.9+0.39929i,9255.2+0.39563i,9278.1+0.40206i,9352+0.39904i,9318.5+0.39613i,9190.4+0.40002i,9361.3+0.40878i,8899.7+0.39802i,9304.6+0.40502i,9161.9+0.39903i,9256.8+0.41595i,9565+0.41661i,8996.6+0.40296i,9308.1+0.41274i,9380.8+0.41208i,9162+0.42351i,9210.8+0.41081i,8644.2+0.41206i,9021.1+0.41852i,9101.2+0.41933i,8988.5+0.43002i,9063.4+0.41545i,9082.8+0.42714i,9417.5+0.43726i,9325+0.43586i,9437.5+0.43501i,9118.9+0.42428i,8901.6+0.42531i,9175.7+0.44582i,9127.9+0.43983i,9116.4+0.44197i,9233.8+0.44113i,9188.3+0.43638i,8864.2+0.44293i,8842.6+0.45072i,9169.1+0.44301i,8970.9+0.4322i,8939.3+0.43193i,8908.4+0.46619i,8927.8+0.43848i,9193.8+0.43542i,9431.4+0.45213i,8966.8+0.45231i,9148.3+0.44887i,8905.5+0.45512i,8817+0.4642i,8969.4+0.454i,8985.8+0.45764i,9133.4+0.45763i,8818.4+0.47946i,8950.6+0.46572i,8924+0.46692i,8715.6+0.45987i,8910.5+0.47607i,9070.3+0.47461i,9030.8+0.48981i,8904.4+0.47004i,9102+0.47969i,8990.4+0.49779i,8923.9+0.49828i,9018.1+0.48755i,9367.8+0.50301i,8843.7+0.49099i,9042.1+0.50896i,9140.4+0.49562i,8861.5+0.48783i,8822.2+0.48535i,8979.4+0.48703i,9094.7+0.49718i,8909.3+0.49999i,9009.1+0.51248i,8851.1+0.50578i,8806.1+0.50282i,8931.4+0.5167i,9056+0.50794i,9136.4+0.50119i,8858.2+0.52468i,9064.2+0.5079i,9054.1+0.52221i,8966+0.51511i,9010.5+0.51621i,9037.5+0.51662i,9106.9+0.51819i,8709+0.52483i,8795+0.52159i,9038.7+0.54297i,8672.7+0.52361i,8770.4+0.50534i,8879.9+0.5428i,9129.6+0.51874i,8701.2+0.53972i,9104.4+0.54475i,8601.3+0.52836i,8539+0.53125i,8691.4+0.55457i,8907+0.56894i,9064.4+0.55164i,8790.1+0.5495i,9008.1+0.55711i,9321.3+0.56659i,8941.5+0.53434i,9037.4+0.57292i,8637.7+0.55781i,9042.7+0.56258i,9211.2+0.56316i,8817.1+0.57708i,8847.8+0.55062i,9243.8+0.57792i,9040.7+0.59177i,8793.2+0.57688i,9221+0.58311i,9134.7+0.58219i,8747.7+0.60291i,8769.8+0.58545i,8564.2+0.61681i,8707+0.60005i,8893.2+0.57574i,8701.1+0.60267i,9013.1+0.60983i,8987.3+0.62203i,8914.6+0.59835i,8942.9+0.5915i,8957.1+0.63039i,8818.7+0.62044i,9061+0.60573i,8847.7+0.62191i,8749.2+0.60531i,8720.9+0.62869i,8669.4+0.63129i,8771.1+0.65069i,8884.2+0.62178i,8771.8+0.63261i,8761+0.62626i,8787.2+0.61964i,9092.6+0.66013i,8917.7+0.62799i,8872.1+0.65412i,9058.4+0.65537i,8685.1+0.6616i,8560.8+0.63821i,8881.2+0.64753i,9102.6+0.66781i,8659.2+0.66128i,8857.6+0.67074i,8737+0.64134i
18491+0.21624i,18316+0.22222i,18243+0.20514i,17986+0.21113i,18613+0.20887i,18050+0.21534i,17839+0.20937i,18424+0.20829i,18127+0.20479i,18472+0.21499i,18382+0.20863i,17599+0.2061i,17201+0.21291i,17868+0.20579i,18008+0.20667i,17397+0.21436i,17170+0.21084i,17529+0.2029i,17329+0.21252i,17045+0.21402i,17010+0.20988i,17184+0.21335i,17741+0.21536i,17038+0.20481i,17047+0.21029i,17372+0.21257i,16849+0.20421i,17449+0.21478i,16903+0.20194i,17263+0.21175i,17397+0.21392i,17303+0.21374i,16755+0.21474i,17598+0.20559i,16939+0.22007i,16819+0.20552i,17563+0.21505i,17761+0.21393i,17610+0.20788i,17048+0.21508i,16770+0.2167i,16784+0.21683i,17308+0.21862i,16808+0.21383i,17199+0.21199i,16515+0.20965i,17631+0.21291i,17342+0.21206i,16378+0.21873i,17121+0.20905i,16789+0.20578i,17080+0.2167i,16957+0.21355i,16980+0.21552i,16469+0.20833i,16457+0.21113i,16722+0.21667i,16448+0.2091i,16698+0.21223i,16453+0.20979i,16129+0.21499i,16565+0.20603i,16082+0.21244i,16218+0.21609i,16521+0.21642i,16314+0.21221i,16431+0.21261i,15863+0.22156i,16652+0.21076i,16108+0.22426i,16241+0.21227i,16470+0.2162i,16597+0.21438i,16383+0.21147i,15804+0.21431i,15603+0.21224i,16415+0.22207i,16126+0.21738i,16150+0.21626i,15928+0.2208i,15966+0.22327i,15272+0.21426i,15740+0.22253i,15730+0.21497i,15426+0.21468i,16050+0.2188i,16662+0.21551i,15947+0.22414i,15648+0.21716i,15299+0.21918i,15868+0.21883i,15182+0.2126i,15266+0.21815i,15678+0.21957i,15341+0.222i,15297+0.22852i,15576+0.22269i,14969+0.22067i,15213+0.22521i,15024+0.22653i,14968+0.22022i,15158+0.22474i,14708+0.22069i,14632+0.22249i,15183+0.22838i,15211+0.22634i,15137+0.2301i,15094+0.22762i,14668+0.22493i,14637+0.23074i,14353+0.22827i,15132+0.23201i,14461+0.22112i,14296+0.23286i,14595+0.23419i,14655+0.23545i,14266+0.23179i,14753+0.24265i,14310+0.23819i,14175+0.22672i,14205+0.24254i,14104+0.23576i,13942+0.24054i,13509+0.23997i,14015+0.24009i,14089+0.2396i,13164+0.23773i,13772+0.2391i,13956+0.23486i,14088+0.24114i,13300+0.23875i,13516+0.24153i,13497+0.24332i,12880+0.24225i,13348+0.24383i,13376+0.24929i,13565+0.25428i,12656+0.24341i,12928+0.24544i,12739+0.24327i,12911+0.26081i,13474+0.24443i,12690+0.25145i,12928+0.26097i,12457+0.25606i,12730+0.2622i,12789+0.25996i,12324+0.26932i,12826+0.26177i,12459+0.26253i,12285+0.26804i,12744+0.25938i,12004+0.26257i,12337+0.26886i,12290+0.26047i,12310+0.27119i,12294+0.26991i,12427+0.26417i,11720+0.26545i,11990+0.26429i,12288+0.27537i,12021+0.26756i,11763+0.27084i,11543+0.26599i,11592+0.28086i,11773+0.28982i,11429+0.28445i,11221+0.27422i,11547+0.28683i,11367+0.27348i,11446+0.27934i,11318+0.2872i,11191+0.29103i,11366+0.29326i,11523+0.29352i,11208+0.28873i,11431+0.29926i,10887+0.29769i,11019+0.29984i,11040+0.27921i,10820+0.29958i,11251+0.28928i,10825+0.2982i,10933+0.29927i,10693+0.30152i,10746+0.30198i,10583+0.30512i,10577+0.29758i,10698+0.29912i,10723+0.30488i,10433+0.30739i,10767+0.30662i,10726+0.30537i,10519+0.31857i,10365+0.32792i,10316+0.32062i,10242+0.31959i,10350+0.33032i,10340+0.31892i,10400+0.31635i,10122+0.32536i,10726+0.31769i,10262+0.32292i,10384+0.32036i,10169+0.32215i,10192+0.33104i,10215+0.32711i,10191+0.32564i,10084+0.33152i,9896.8+0.33527i,10126+0.32837i,10074+0.3268i,9804+0.32307i,10284+0.3215i,10143+0.335i,10175+0.35281i,10109+0.34947i,9626.3+0.34372i,9614.2+0.35032i,9960.6+0.34986i,9827.7+0.34731i,10121+0.34081i,9817+0.34609i,9828.9+0.35445i,9819.8+0.34726i,9414+0.3529i,9807.8+0.35917i,9884.7+0.35074i,9515.9+0.35273i,10086+0.35305i,9940.7+0.34892i,9981.5+0.34919i,9707.3+0.36206i,9742.7+0.36891i,9809.6+0.35677i,9806.2+0.37098i,9938.7+0.37717i,9588.2+0.36897i,9512.9+0.37686i,10065+0.36793i,9640+0.38973i,9186.3+0.37402i,9204.4+0.37833i,9299.7+0.38479i,9564.6+0.39018i,9529.4+0.3868i,9158.4+0.38667i,9087.3+0.38581i,9963.1+0.40545i,9121.7+0.37965i,9287.9+0.38432i,9296.3+0.37792i,9180.9+0.39059i,9505+0.38869i,9476.4+0.39119i,9479.4+0.3843i,9435.6+0.40309i,9070.3+0.4013i,9158.7+0.38474i,9083.4+0.39052i,9121.6+0.39746i,9141.3+0.38868i,9201.7+0.40296i,9244.2+0.39906i,9352.3+0.41515i,9098.2+0.41819i,8905.1+0.40234i,9252.4+0.42486i,9155.5+0.4055i,8778.7+0.4132i,9247.9+0.42898i,8995.4+0.42102i,8881.2+0.40817i,9270.8+0.42286i,9076.4+0.41195i,8909.5+0.40102i,9020.8+0.41625i,9219.1+0.436i,9160.2+0.42395i,9064.5+0.41926i,9532.6+0.43077i,8569.2+0.43377i,9105+0.42111i,9006.3+0.42597i,9179.4+0.43732i,9102.9+0.43541i,8643.8+0.44094i,9227+0.43193i,9048.6+0.44136i,9256.9+0.44881i,8936.5+0.4493i,8871.5+0.43947i,8881.8+0.44037i,8951.7+0.45418i,9162.9+0.46592i,9162.9+0.45091i,9203.4+0.46311i,9053.8+0.44078i,8797.2+0.45887i,8914.8+0.45055i,9433.8+0.46i,9293.4+0.45194i,8969+0.47819i,8795.6+0.46458i,9086.9+0.46486i,8885.7+0.46635i,9263.4+0.46402i,8566.7+0.47683i,8813.6+0.48512i,8981.6+0.48363i,8978.2+0.47538i,9117.1+0.47163i,9111.5+0.48765i,8764.2+0.48647i,8724+0.48653i,8937.7+0.47444i,8871.9+0.47628i,9213.2+0.46709i,8881.1+0.49379i,9256.1+0.48528i,9096+0.51007i,8699.9+0.50202i,8877.7+0.50262i,9135.4+0.48531i,8654.9+0.50916i,8958.4+0.4799i,8889.6+0.51412i,8751.2+0.50903i,9013.1+0.51947i,8963.4+0.50187i,8964.4+0.50277i,8914.1+0.50427i,8903.2+0.5194i,9128.5+0.51391i,8810.7+0.51435i,9029.7+0.53027i,9153.2+0.53183i,8965.1+0.51057i,8733.7+0.52009i,9135.4+0.5395i,9031.8+0.55001i,8766+0.52727i,9108.7+0.53643i,8827.3+0.52829i,8757.5+0.52424i,9055.6+0.53463i,8780.4+0.53689i,8931.6+0.56421i,8791.7+0.5552i,8748.9+0.53001i,8910.5+0.54765i,8506.7+0.5623i,9159.9+0.56557i,8799.5+0.54433i,8906.6+0.54484i,8745.4+0.57028i,9085+0.56416i,9030+0.56029i,8739.1+0.56819i,8828.3+0.55748i,8853.7+0.57138i,9097+0.5591i,9054.3+0.57992i,8920.1+0.58755i,9132.6+0.59922i,9171.2+0.58832i,8832.1+0.57489i,8903+0.57364i,8758.8+0.57626i,8949.2+0.57631i,8937.9+0.62102i,9031.5+0.58244i,8765.4+0.59403i,8835.4+0.60425i,9119+0.61089i,8805.6+0.61625i,8738+0.59673i,8589.4+0.60709i,8762.5+0.60326i,9079+0.63202i,8775.2+0.62287i,8625.1+0.6059i,9188.8+0.62054i,9147.7+0.63579i,8724.5+0.63538i,8629.2+0.62705i,9116.5+0.61361i,8908+0.64534i,8789.7+0.64777i,8849.7+0.62546i,8761.5+0.65014i,9168.1+0.64693i,8879.1+0.64849i,8526+0.66123i,8799.5+0.66733i,8762.4+0.66747i,8568.3+0.66943i,8883.5+0.6756i,8692.5+0.66283i,8776.1+0.63943i,8868.3+0.68118i
18600+0.21065i,18567+0.21136i,18494+0.21112i,17232+0.20887i,17676+0.20945i,18084+0.21192i,17774+0.20436i,18033+0.21051i,17422+0.20811i,17956+0.20256i,18089+0.21247i,18067+0.20475i,17117+0.21439i,17567+0.22054i,18091+0.20898i,17052+0.20812i,17929+0.2142i,17960+0.21489i,18018+0.21574i,17070+0.21398i,17603+0.21651i,17465+0.21635i,17356+0.21151i,17272+0.21564i,17188+0.20865i,17760+0.20814i,17205+0.20767i,17221+0.20534i,16969+0.2118i,18329+0.20387i,17292+0.20657i,17792+0.20717i,16994+0.20961i,16802+0.20692i,17236+0.20812i,17404+0.21081i,16570+0.20927i,16633+0.21308i,17371+0.2131i,16955+0.21659i,16486+0.2074i,17079+0.21666i,17030+0.21512i,16103+0.20766i,16688+0.20972i,16854+0.21998i,17178+0.20457i,16756+0.21688i,16363+0.205i,16432+0.21273i,17178+0.21408i,16552+0.20686i,16914+0.20958i,16930+0.21635i,16798+0.21604i,16793+0.21001i,16428+0.21225i,16356+0.2219i,16248+0.20608i,16465+0.2126i,16909+0.20628i,16309+0.21143i,16757+0.21307i,16497+0.20783i,16565+0.2137i,16634+0.22016i,16405+0.2111i,16150+0.21984i,15839+0.22115i,15889+0.2172i,16003+0.21658i,15982+0.21881i,15460+0.22928i,15354+0.21983i,16487+0.21264i,16706+0.21069i,15902+0.21651i,15806+0.21994i,16889+0.21474i,15922+0.21622i,16209+0.22157i,15324+0.22555i,15543+0.21497i,15753+0.21386i,15299+0.22063i,15660+0.21937i,15579+0.21902i,14859+0.22382i,15378+0.21358i,15268+0.21847i,15958+0.22605i,15200+0.22634i,15568+0.21761i,14889+0.22561i,16020+0.21919i,14842+0.22335i,15984+0.22063i,14751+0.21954i,15066+0.21898i,15125+0.22217i,15705+0.22225i,15267+0.23666i,14864+0.22649i,15068+0.21713i,14995+0.22762i,15016+0.22856i,14964+0.22691i,14481+0.22001i,14354+0.22555i,14742+0.22532i,14497+0.23547i,14391+0.23032i,14758+0.22867i,14729+0.2332i,14458+0.22983i,14212+0.22646i,14347+0.22746i,14197+0.22473i,13817+0.23921i,14096+0.23191i,13926+0.2403i,14004+0.24052i,14135+0.23533i,13923+0.23114i,14256+0.23894i,13589+0.2493i,13444+0.23566i,13639+0.23218i,13313+0.23906i,13600+0.25242i,13413+0.23335i,12822+0.24353i,13475+0.24539i,13238+0.24982i,12700+0.24361i,12579+0.24474i,13215+0.23921i,13182+0.24718i,13215+0.25938i,13178+0.25569i,12879+0.25936i,13194+0.25117i,12900+0.24973i,12573+0.25195i,12727+0.25844i,12549+0.25592i,13055+0.25501i,12565+0.26349i,12232+0.2539i,12614+0.25851i,12485+0.25913i,12349+0.25456i,11928+0.26495i,12396+0.2619i,12572+0.26895i,12559+0.26917i,12443+0.26836i,12022+0.26932i,12105+0.26289i,12050+0.27574i,12003+0.26913i,11616+0.27437i,11902+0.28449i,11627+0.28146i,11251+0.26641i,11636+0.28122i,11081+0.28791i,12186+0.28221i,11589+0.28435i,11589+0.28087i,11429+0.28523i,11686+0.27765i,11204+0.28607i,11451+0.27505i,11493+0.29i,11189+0.28651i,11308+0.29198i,10603+0.29243i,10693+0.28941i,10943+0.29362i,10947+0.2888i,10698+0.29632i,10878+0.30138i,11051+0.30013i,11058+0.2973i,10628+0.29431i,10667+0.30184i,10992+0.30411i,10903+0.31339i,10793+0.29665i,10631+0.30682i,10797+0.31086i,10462+0.31045i,10712+0.30796i,10377+0.31194i,10055+0.30961i,10239+0.31423i,10236+0.31358i,9978.6+0.32802i,10287+0.31098i,10211+0.32096i,10185+0.31602i,10401+0.33079i,10266+0.32947i,10261+0.33843i,10202+0.32706i,9940.2+0.3409i,10179+0.32922i,10387+0.3283i,9738.6+0.33878i,9720.8+0.3295i,9844.3+0.33325i,9932.3+0.32547i,9756.7+0.33852i,9834.2+0.34445i,10228+0.3385i,10150+0.34602i,9863.7+0.34914i,9875.1+0.34972i,9892.2+0.34983i,10078+0.34358i,9894.4+0.35185i,10378+0.34357i,10019+0.36045i,9652.5+0.35014i,9621.9+0.35651i,9341.6+0.35569i,9971.3+0.36499i,9606.4+0.35443i,9736.5+0.35579i,9732.3+0.34735i,9824.9+0.36188i,9615+0.35872i,9488.3+0.36309i,9874+0.36507i,9379.9+0.36525i,9827.3+0.35386i,9585.1+0.36204i,9669.9+0.36285i,9493+0.37222i,9430.6+0.38466i,9333.3+0.3788i,9589.4+0.37639i,9494.5+0.36289i,9934.5+0.36999i,9477.9+0.36735i,9478.2+0.37658i,9445.8+0.37756i,9685.5+0.37369i,9125.6+0.38055i,9302.4+0.39408i,9481+0.38928i,9107.6+0.39633i,9073.5+0.37111i,9589.7+0.38454i,9673.8+0.39469i,9371.5+0.39432i,9470+0.397i,9520.6+0.40943i,9314.8+0.39828i,9209.3+0.40812i,9374.8+0.40468i,9378.6+0.40424i,9405+0.39758i,9277+0.40991i,9449.9+0.404i,8922.5+0.40789i,9451.9+0.40567i,9230.5+0.42457i,8982.3+0.41711i,9312.6+0.41205i,9052+0.40752i,9569.2+0.40901i,9492.8+0.42385i,9169.1+0.41513i,9324.4+0.41247i,9236.3+0.43229i,9206.7+0.42957i,9093.9+0.42781i,8873.4+0.43015i,8924.9+0.42787i,9163.1+0.43225i,8959.7+0.43327i,8828.5+0.44589i,9073.8+0.43778i,9065.9+0.44364i,8937.5+0.44003i,8899.7+0.45659i,9007.7+0.42907i,8993.4+0.43797i,8785.7+0.44786i,8910+0.44289i,9316.2+0.4401i,8804.2+0.44734i,8835.1+0.46334i,9013.2+0.44783i,9127.3+0.46094i,9054+0.44493i,9395.9+0.46386i,9075.3+0.46123i,9363.9+0.44674i,8914.1+0.45772i,8893.5+0.46597i,9127.7+0.46461i,8650.5+0.4536i,9304.9+0.46032i,9058.5+0.47338i,8698.4+0.46622i,9026+0.4623i,8936.3+0.4743i,9092.6+0.47497i,9137.7+0.47058i,9169.7+0.46516i,9137.5+0.46844i,8983.4+0.48316i,8886.3+0.49417i,9418.5+0.49697i,8687.1+0.48787i,8941.3+0.50321i,8784.1+0.51044i,9333.8+0.50198i,8945.5+0.49679i,8908.8+0.49061i,8856+0.48682i,8929.2+0.50676i,8831.5+0.50138i,9004+0.5307i,9056.6+0.50596i,9223.8+0.50884i,8928.4+0.51257i,8914+0.50306i,8970.4+0.50675i,8647.9+0.50468i,9009.3+0.51427i,8983.9+0.52595i,8771.9+0.52735i,8872.4+0.51656i,8825+0.52709i,8806.1+0.51724i,9385.8+0.52359i,8716+0.52824i,8894.6+0.52469i,8746.2+0.53765i,8788.3+0.54167i,9159.2+0.53234i,8997.6+0.5409i,8866.5+0.52214i,8985.2+0.55498i,9090.3+0.56084i,8997.9+0.5343i,8856.7+0.54969i,8849.9+0.56142i,8926.4+0.54299i,8957.7+0.54011i,8993.7+0.55365i,9024.5+0.55313i,8826.2+0.56486i,9038.8+0.57164i,9082.5+0.58269i,8646.7+0.57098i,8898.4+0.57942i,8412.1+0.58768i,8891.9+0.56832i,8538.6+0.56736i,8890.1+0.59227i,9093.4+0.58328i,9236.1+0.56021i,8985.4+0.57948i,8557.7+0.60462i,8728+0.59146i,9212.8+0.56795i,8978.2+0.57806i,9060.4+0.60846i,8797.1+0.57519i,9025.9+0.62157i,8602.6+0.59196i,8817.2+0.58783i,8898+0.60554i,9068.9+0.61823i,9042.7+0.60077i,8650.9+0.6084i,8705.2+0.60233i,8656.1+0.62858i,8626.1+0.61916i,8972.1+0.61029i,8858.8+0.646i,8867.8+0.6346i,8996.1+0.63989i,9080.6+0.61589i,8939.1+0.65065i,8796.2+0.64822i,8908.3+0.63823i,8881.8+0.65522i,9054.9+0.6385i,8692.5+0.66604i,8724.7+0.67995i,8771.3+0.62612i,9024.2+0.659i,9235.3+0.66248i,8782.6+0.66869i,9067.4+0.66037i
