16566+0.21201i,16380+0.20596i,16205+0.20896i,16340+0.2164i,16333+0.20483i,16249+0.20797i,15716+0.2118i,15433+0.21906i,15636+0.20888i,15684+0.21532i,15709+0.20873i,15865+0.20777i,15708+0.20977i,16770+0.20846i,15401+0.21005i,15295+0.21453i,16481+0.21638i,15800+0.21823i,15617+0.21258i,15051+0.21485i,15816+0.20975i,15406+0.21403i,14838+0.21172i,15363+0.2162i,15233+0.21209i,14727+0.2168i,15535+0.21085i,14689+0.2134i,15492+0.20803i,15641+0.21689i,14830+0.21418i,15375+0.20842i,14933+0.20639i,15346+0.20812i,15491+0.20287i,14875+0.20857i,15237+0.21392i,15346+0.20655i,15182+0.21609i,15544+0.21632i,14724+0.21014i,14460+0.20978i,15163+0.21517i,14920+0.20721i,14988+0.21189i,14666+0.21168i,15265+0.21269i,14757+0.20624i,14803+0.20916i,14665+0.21253i,14890+0.2158i,15065+0.21217i,15006+0.21427i,14489+0.21686i,14702+0.21139i,14838+0.21007i,14305+0.21777i,14803+0.20464i,14650+0.21302i,14732+0.21197i,14130+0.21234i,14473+0.22262i,14283+0.21348i,14567+0.21308i,14230+0.21262i,14819+0.20446i,14151+0.21315i,14250+0.20891i,13907+0.2162i,14476+0.21824i,14239+0.22462i,14119+0.21667i,14451+0.2107i,14105+0.21545i,14146+0.21529i,13791+0.21673i,13952+0.21158i,14497+0.2086i,13933+0.21555i,14622+0.22043i,13965+0.21623i,14090+0.21568i,14211+0.22512i,13824+0.21366i,13906+0.21078i,14022+0.21782i,13861+0.21378i,13318+0.21272i,13580+0.21674i,13375+0.21771i,13802+0.22276i,14003+0.22136i,14080+0.22266i,13678+0.2151i,13429+0.22103i,13884+0.2212i,13818+0.21441i,13066+0.21715i,13538+0.21373i,13674+0.22382i,13367+0.22423i,13387+0.22637i,13759+0.21823i,13005+0.21649i,13350+0.22341i,12763+0.23009i,13210+0.21968i,12497+0.22798i,12796+0.22894i,13071+0.22548i,12434+0.2321i,12680+0.22186i,13320+0.23362i,13015+0.23459i,12398+0.23581i,12723+0.23138i,12577+0.22957i,12420+0.22402i,12362+0.2308i,12312+0.2274i,12333+0.23063i,12268+0.22999i,12204+0.23424i,12196+0.22759i,11954+0.23562i,12212+0.23671i,12122+0.23426i,12384+0.23449i,12028+0.24092i,12154+0.24035i,11864+0.24076i,12112+0.24906i,11994+0.241i,12258+0.2509i,11798+0.24416i,11403+0.24728i,11736+0.24064i,11573+0.23909i,11834+0.2471i,11098+0.24358i,11659+0.24758i,11308+0.25263i,11312+0.26215i,11373+0.24877i,11113+0.2452i,11183+0.25567i,11107+0.26352i,11497+0.25115i,11011+0.25163i,10756+0.25283i,10741+0.25061i,11047+0.25271i,10744+0.26041i,10888+0.26495i,10556+0.26348i,10665+0.25734i,10848+0.26045i,10555+0.26266i,10568+0.26469i,10368+0.25196i,10795+0.26507i,10482+0.26939i,10281+0.26641i,10378+0.26577i,10263+0.2676i,9946.4+0.26784i,9883.5+0.27189i,10236+0.27688i,10116+0.27181i,10116+0.27859i,10107+0.28063i,9868.7+0.26987i,10005+0.27513i,9904.3+0.28496i,9866.8+0.28176i,10129+0.28725i,9850.6+0.28114i,9804.4+0.28805i,9839.2+0.27728i,9625.9+0.27922i,9893.7+0.28186i,9560.9+0.28894i,9756.9+0.28463i,9620.6+0.28521i,9465+0.29099i,9313.6+0.2925i,9389.5+0.28705i,9444.9+0.29595i,9170.6+0.29454i,9018.7+0.30344i,9356+0.29787i,9220.9+0.31091i,9335.2+0.30039i,9394.4+0.29651i,9544+0.28906i,9143.4+0.31098i,9439.8+0.30161i,9393.5+0.30796i,8653.3+0.31078i,9142.1+0.30472i,8812.7+0.30431i,8977.5+0.30858i,8963.1+0.30555i,9201.5+0.31199i,8488+0.32009i,9249.7+0.31633i,8810.4+0.31498i,8869.2+0.30893i,9142.9+0.31892i,8898.2+0.31844i,8879.5+0.3224i,8677.2+0.32302i,8855.7+0.31255i,8733.3+0.32346i,8600.5+0.31936i,8503.8+0.31347i,8581.4+0.32881i,8809.3+0.32458i,8830.8+0.31847i,8714.3+0.32578i,8787.8+0.33183i,8485.3+0.32503i,8405.3+0.3281i,8708.6+0.33703i,8581.3+0.34032i,8538.7+0.34427i,8504.3+0.34183i,8525.1+0.33463i,8779.5+0.33882i,8302.1+0.33197i,8515.7+0.3547i,8503.4+0.3371i,8183.5+0.35042i,8421.6+0.34682i,8440.6+0.33696i,8259.8+0.34761i,8252.4+0.3366i,8343.6+0.34773i,8344.1+0.35164i,8456+0.35496i,8578.5+0.34663i,8212.7+0.35768i,8474.5+0.35861i,8438.3+0.36588i,8489+0.34826i,7972.5+0.35237i,8182.5+0.3577i,8159+0.36218i,8178.8+0.35991i,8200.8+0.35991i,8452.6+0.37303i,8157+0.3563i,7907.5+0.36995i,8021.7+0.36537i,7946.4+0.36796i,8244.4+0.38106i,8426.4+0.36593i,8074+0.39398i,8378.7+0.37112i,7995+0.38538i,8104.9+0.3806i,8237.6+0.36272i,8255.4+0.39407i,8223.1+0.38609i,8214.9+0.38369i,8233.1+0.3834i,8066+0.37798i,8061.4+0.37338i,8181.3+0.40657i,8123.4+0.38087i,8084.1+0.39624i,8196.1+0.39287i,8094.9+0.40077i,7830.7+0.4027i,8241.6+0.38603i,7955+0.38772i,8016.4+0.38865i,8030.8+0.41128i,7974.2+0.39675i,8135.7+0.389i,7983.4+0.40232i,7906.3+0.40877i,7885.2+0.40495i,7851.3+0.40807i,8007.9+0.40845i,7990.4+0.42131i,8133.3+0.40075i,7888.5+0.39872i,8110+0.42349i,8206.1+0.41244i,7713+0.43126i,7722.9+0.41732i,7918+0.41387i,8063.5+0.41232i,8046.3+0.42987i,8079.8+0.42641i,7881.8+0.4218i,7751.9+0.4348i,7910.5+0.41194i,8043.8+0.41784i,7964.9+0.43972i,7766.3+0.4099i,8005.3+0.42461i,7601.1+0.42326i,7945+0.42736i,7871.3+0.42676i,8033.8+0.42913i,8292.1+0.44136i,8007.3+0.43228i,7853+0.42525i,7977.9+0.44095i,7920.1+0.4423i,7791.5+0.44914i,7768.8+0.45625i,7669.2+0.44518i,7985.5+0.45047i,7798.9+0.45868i,7949.7+0.45014i,8104.5+0.44676i,8104+0.44963i,7913.2+0.46777i,8066.9+0.46851i,7979.4+0.46103i,7962+0.46628i,7889.2+0.45741i,7867.9+0.47967i,7817+0.47398i,7587.4+0.4669i,7806.4+0.49132i,7611.6+0.47301i,7903.3+0.46534i,7694.9+0.47924i,7897.6+0.46782i,7903.7+0.4734i,7804.2+0.48158i,7622.2+0.47737i,8146.8+0.47502i,8013.5+0.47434i,7983.6+0.48489i,7952.3+0.48218i,7570+0.49494i,7731.7+0.50532i,7879.3+0.48465i,7955.2+0.49334i,7911.3+0.50954i,7618.5+0.49237i,7834.3+0.49734i,7796.1+0.4938i,7727.9+0.49023i,7831.9+0.49322i,7658.8+0.50065i,7961+0.49849i,7774.1+0.52103i,7843.7+0.51283i,7665.8+0.50714i,7948.4+0.50756i,7591.3+0.5434i,7603.1+0.52602i,7695.1+0.53031i,7498.1+0.53857i,7461.9+0.5207i,7661.5+0.53601i,7913.1+0.54144i,7794.9+0.5298i,7802.3+0.51981i,7809.8+0.54313i,7836.7+0.54744i,7904.8+0.5375i,8000.1+0.53679i,8148.1+0.53666i,7788.1+0.54004i,7627+0.54334i,7721.3+0.54514i,7893.5+0.55471i,7644.7+0.53581i,7976.5+0.55477i,7737.1+0.53108i,7963.5+0.54986i,7716.7+0.54586i,7762.5+0.58845i,7551.9+0.57317i,7792.6+0.56684i,7698.4+0.56176i,7668.9+0.58471i,7982.2+0.56287i,7840.1+0.59784i,7770.3+0.577i,7819+0.58212i,7642.4+0.59307i,7698.5+0.57005i,7569.4+0.59293i,7832.7+0.59607i,7721.4+0.59104i,7730.6+0.5887i,7656.7+0.60047i,7619.8+0.58756i,7865.6+0.61505i,7744+0.61167i,7832.9+0.58923i,7705.7+0.59283i,7790.3+0.62962i
16330+0.2097i,16709+0.2152i,16044+0.21245i,15823+0.21113i,15816+0.21151i,16008+0.20523i,16133+0.20647i,15747+0.21328i,15753+0.21241i,15827+0.20941i,15698+0.21187i,15199+0.21919i,15719+0.21523i,15254+0.21417i,15749+0.21072i,15579+0.21565i,15928+0.21718i,15033+0.20991i,15432+0.20914i,15097+0.21461i,15540+0.20946i,15371+0.20471i,15536+0.21441i,15761+0.20626i,15231+0.20424i,15513+0.21079i,15133+0.21212i,15244+0.21071i,15161+0.20997i,14687+0.21368i,15384+0.21076i,15670+0.21154i,15390+0.21065i,14989+0.21574i,15120+0.20578i,15316+0.21341i,15116+0.21468i,14416+0.21021i,15191+0.21485i,15158+0.21393i,15116+0.20531i,14543+0.21601i,15091+0.20968i,15224+0.20631i,14411+0.21177i,15005+0.20893i,14596+0.21274i,15090+0.22067i,14390+0.2131i,14946+0.21362i,14724+0.20902i,14436+0.21374i,15159+0.21683i,14639+0.21328i,14926+0.21356i,14148+0.2095i,14615+0.21472i,14740+0.21412i,14496+0.22143i,13907+0.21373i,14221+0.21293i,14649+0.21222i,14884+0.21307i,14261+0.20872i,14745+0.2172i,14422+0.2143i,14428+0.20832i,14507+0.21056i,14623+0.21386i,14753+0.21586i,14057+0.22346i,14396+0.21423i,13802+0.20976i,14397+0.21803i,14137+0.21483i,14042+0.20869i,13755+0.21501i,14192+0.21023i,14086+0.21407i,13896+0.21258i,14050+0.21464i,13889+0.22552i,14041+0.21458i,13841+0.21499i,13920+0.21807i,14209+0.21601i,13900+0.2192i,13751+0.20871i,14048+0.22799i,14258+0.21504i,13729+0.21593i,13483+0.22444i,13379+0.22141i,13587+0.2257i,14005+0.22869i,13471+0.21997i,13557+0.2257i,13381+0.2228i,13617+0.21792i,13311+0.23621i,13129+0.22108i,12643+0.21867i,12822+0.22901i,12985+0.21969i,13057+0.22978i,12855+0.2255i,12897+0.22238i,12713+0.23448i,12984+0.22613i,13160+0.22311i,12417+0.22695i,12879+0.23178i,12696+0.22758i,12915+0.22658i,12891+0.2374i,12777+0.23339i,12665+0.22471i,12977+0.23062i,12537+0.23134i,12815+0.23275i,12185+0.22623i,12297+0.23026i,11983+0.22825i,12614+0.23348i,12457+0.24084i,12317+0.2324i,12031+0.24247i,11840+0.23503i,12328+0.23911i,12158+0.24245i,11973+0.24574i,11950+0.24496i,11638+0.23973i,11542+0.23638i,11642+0.24151i,12089+0.24177i,11457+0.24735i,11525+0.23701i,11599+0.24459i,11517+0.26295i,11530+0.23724i,11544+0.24054i,11328+0.25634i,11533+0.24969i,11692+0.25628i,10963+0.25434i,10964+0.25766i,11178+0.24734i,10904+0.24566i,10910+0.25546i,10745+0.25406i,10805+0.26066i,10859+0.2614i,10517+0.24755i,10598+0.25807i,10562+0.26391i,10749+0.26369i,10550+0.25172i,10744+0.27021i,10814+0.2583i,10830+0.26447i,10656+0.26085i,10474+0.26521i,10432+0.27159i,10621+0.27097i,10480+0.27057i,10510+0.26724i,10106+0.26753i,10137+0.2751i,9946.3+0.27575i,10203+0.27227i,10145+0.27355i,9876.5+0.26918i,10063+0.27292i,9895.1+0.27293i,9572.3+0.27275i,10202+0.26608i,9762+0.28989i,9518.4+0.27386i,9803+0.28276i,9510.9+0.29501i,9794+0.28172i,9538.5+0.28577i,9537.6+0.29103i,9577.7+0.28435i,9610.7+0.29375i,9274.5+0.2866i,9665.4+0.28978i,9742+0.29193i,9360.2+0.29198i,9477.8+0.29783i,9265.1+0.29608i,9425.2+0.30193i,9074.1+0.30853i,9281.8+0.29344i,9451.2+0.29923i,9183+0.30265i,9197.9+0.29934i,9355.8+0.30347i,9057.7+0.31101i,9036.6+0.30575i,9150.8+0.3089i,9071.3+0.31388i,9068.5+0.31142i,8828.3+0.31383i,9067.6+0.31486i,8916.5+0.31633i,9159.3+0.30259i,8636+0.32195i,8886.3+0.31019i,8740.6+0.32051i,9031.2+0.31813i,8762.8+0.32409i,9029+0.32129i,8636.3+0.31723i,8900.4+0.32119i,8563.4+0.33121i,8810.2+0.34011i,8670+0.32073i,8732.9+0.32053i,8534.9+0.32766i,8744.6+0.32787i,8570.8+0.34568i,8692.2+0.33365i,8604.9+0.33382i,8734.5+0.33896i,8468+0.34336i,8542.2+0.34028i,8513.3+0.33648i,8411.4+0.34213i,8527+0.34172i,8503+0.33205i,8355.2+0.35539i,8306.2+0.33537i,8416.1+0.33818i,8238.2+0.33864i,8323.3+0.34574i,8293.2+0.34794i,8545.8+0.34243i,8770.1+0.35426i,8088.5+0.35863i,8353.9+0.35221i,8517.8+0.36773i,8227.9+0.35602i,8493.6+0.3629i,8708.4+0.35144i,8315.8+0.34454i,8498.3+0.36872i,8200.3+0.35003i,8204.3+0.36178i,8156.9+0.36988i,7931.5+0.37134i,8451.4+0.37546i,8336.3+0.36537i,7908.6+0.37743i,8121.1+0.35715i,7807+0.37036i,7740.9+0.3774i,8161+0.37305i,7975.9+0.36938i,8107.2+0.37957i,8321.5+0.3749i,8129.2+0.36438i,8005+0.39311i,8267+0.37391i,8234.7+0.38971i,7872.7+0.38439i,8202.8+0.37575i,8237.1+0.39886i,8127.9+0.39535i,7946+0.39627i,7985.2+0.38078i,8199.9+0.38366i,8048.9+0.38922i,7907+0.3935i,8169.8+0.38884i,7887.7+0.37209i,8275.5+0.40306i,8096.1+0.39303i,7942.3+0.40417i,8157.2+0.39816i,8176.8+0.40622i,8088.1+0.39136i,8071.9+0.41611i,8109.3+0.40657i,8239+0.40757i,8010.4+0.39802i,7751.7+0.41492i,7729.4+0.40786i,7900.9+0.41225i,8010.7+0.41759i,8028.2+0.41568i,7903.4+0.40547i,8068+0.42861i,8153.9+0.42295i,8352.1+0.40317i,7902.5+0.43549i,7885.9+0.43324i,8022.8+0.42042i,8044+0.40427i,8040.6+0.4422i,7998.2+0.42471i,7950.3+0.42349i,7815.2+0.43771i,7989.6+0.42612i,7917.6+0.42391i,7898.9+0.42165i,7871.9+0.43485i,8116.1+0.43978i,7600.8+0.43525i,7910.2+0.43483i,8256.5+0.44451i,7728.3+0.44012i,7779.4+0.44827i,7840.7+0.44536i,7763.8+0.45241i,8178.8+0.46538i,7594.9+0.46293i,8191.9+0.45967i,7768.2+0.45931i,7872.5+0.46698i,7993+0.46656i,7962.4+0.47321i,7875.1+0.45914i,7848.5+0.46795i,7901.8+0.48245i,7927.1+0.47119i,7899.9+0.4767i,7835.2+0.47829i,7887.3+0.46837i,7907.2+0.48506i,7693.5+0.48532i,7765.8+0.48657i,7944.3+0.47594i,7523.5+0.48378i,7918.9+0.48549i,7891.2+0.4801i,7953.4+0.47373i,7854.4+0.47489i,7796.3+0.48643i,7702+0.4958i,8139.1+0.50444i,7804.9+0.47053i,7797.7+0.49847i,7779.9+0.4988i,7592.4+0.48969i,7771.3+0.51456i,7839.1+0.51365i,7859.4+0.49185i,7729.3+0.50244i,7672.8+0.52188i,8041.8+0.51531i,7749.7+0.50813i,7989.4+0.5168i,8011+0.50447i,7607.6+0.514i,7662.6+0.53917i,7900.3+0.53266i,7854.7+0.51092i,8112.2+0.51988i,7631.2+0.50639i,7887+0.52373i,7554.2+0.52732i,7644.1+0.55703i,7642.8+0.53485i,7895.1+0.53379i,7795.4+0.54563i,7974.5+0.53574i,7854.7+0.54209i,8007.5+0.53385i,7762.5+0.54148i,7991.6+0.52922i,7866.7+0.55134i,7525.2+0.56679i,7355+0.57419i,7600.6+0.54745i,7844.3+0.58244i,7868.3+0.56998i,8025.3+0.54219i,7564.8+0.56334i,7688+0.5633i,7682.3+0.58563i,7841.7+0.55966i,7816.4+0.57089i,7714.9+0.5503i,7739.6+0.57977i,7673+0.5763i,7902.2+0.58124i,7821.5+0.57986i,7943.6+0.58912i,7926.7+0.60198i,7444+0.58386i,7801+0.592i,7823.9+0.60123i,8002.6+0.59641i,7790+0.60041i,7836+0.6132i,7785+0.58765i,7871.8+0.59801i,7824.9+0.60652i,7543.8+0.64674i
16190+0.20639i,16080+0.20209i,16204+0.21313i,16406+0.20325i,16074+0.21508i,15897+0.21047i,15778+0.20864i,15535+0.20756i,16179+0.20488i,15317+0.21035i,16043+0.2055i,15731+0.20984i,15974+0.21446i,15873+0.2054i,15396+0.20991i,14998+0.22188i,15476+0.20673i,15206+0.21105i,15383+0.20313i,14910+0.21033i,14888+0.2102i,15145+0.20683i,15682+0.20518i,14389+0.21303i,15396+0.20257i,15463+0.20928i,15019+0.21187i,15040+0.20888i,14630+0.20648i,14424+0.20927i,15122+0.20928i,15303+0.20842i,14289+0.21016i,15145+0.211i,14785+0.21885i,14979+0.21032i,14847+0.21465i,15060+0.20734i,15310+0.20209i,14533+0.20576i,14988+0.2096i,14367+0.21129i,15652+0.22018i,15109+0.21275i,14702+0.20823i,14847+0.21471i,15026+0.21305i,14680+0.21578i,14581+0.2152i,15028+0.21943i,14318+0.21172i,14869+0.20874i,14893+0.21478i,14430+0.21879i,14438+0.20965i,14584+0.2159i,14498+0.20483i,14670+0.20963i,14042+0.20685i,14335+0.21355i,14769+0.21394i,14636+0.21414i,14378+0.21961i,14599+0.21971i,14099+0.21481i,14487+0.20743i,14382+0.21045i,14021+0.21047i,14504+0.21166i,14245+0.21926i,14382+0.21825i,14269+0.20662i,14001+0.21208i,14351+0.21837i,13869+0.21623i,13766+0.21415i,13657+0.22163i,14575+0.22025i,14104+0.20714i,14266+0.20758i,13961+0.20962i,13840+0.21725i,14163+0.22258i,14459+0.2133i,13510+0.21964i,13335+0.22032i,14427+0.21846i,13556+0.21885i,12917+0.22262i,13637+0.22599i,13613+0.21945i,14377+0.21126i,13105+0.21682i,13554+0.22208i,13750+0.22315i,13476+0.22384i,12764+0.22029i,13591+0.22687i,13762+0.21846i,13213+0.22592i,12753+0.21798i,13299+0.22496i,13412+0.22734i,13599+0.23003i,12927+0.22158i,12979+0.22422i,13076+0.2242i,13116+0.23061i,12845+0.21905i,12659+0.22449i,12543+0.22645i,12533+0.22061i,12671+0.23423i,12997+0.22519i,13243+0.22638i,12832+0.22894i,12166+0.22816i,12468+0.23509i,12412+0.22829i,12133+0.22963i,12645+0.23942i,12699+0.22147i,12283+0.23581i,12341+0.23108i,12037+0.23225i,11878+0.23002i,12576+0.23133i,11869+0.23963i,12139+0.2344i,12020+0.23951i,12127+0.23444i,11783+0.24178i,12283+0.23615i,12090+0.23439i,11805+0.24952i,11533+0.24135i,11834+0.24551i,11506+0.24761i,11650+0.25058i,11222+0.24414i,11289+0.24278i,11328+0.24022i,11163+0.24557i,11012+0.25097i,11339+0.2512i,11221+0.2475i,11496+0.25325i,11184+0.24913i,10981+0.25121i,10953+0.25296i,11151+0.26007i,11220+0.26236i,10675+0.25916i,10774+0.25031i,10711+0.26398i,10846+0.24999i,10607+0.2665i,10725+0.25969i,10557+0.26473i,10924+0.2551i,10258+0.26688i,10070+0.26866i,10495+0.27903i,10220+0.26235i,10107+0.26475i,10088+0.26765i,9923.3+0.27026i,10217+0.26888i,9838.4+0.26999i,10447+0.26727i,9885.5+0.26123i,10223+0.27646i,10032+0.27352i,10074+0.27482i,10117+0.27207i,9413.6+0.27761i,9758.2+0.28016i,9901.1+0.28074i,9779+0.28396i,10109+0.29134i,9342.7+0.2799i,9649.9+0.28968i,9768.1+0.28925i,9559.7+0.29153i,9766.2+0.28734i,9496.8+0.29665i,9564.4+0.29027i,9515.6+0.28299i,9331.6+0.29077i,9559.7+0.30085i,9584.2+0.31049i,9089.2+0.30494i,9132.8+0.29605i,9568.7+0.29758i,9381.4+0.29428i,9179.6+0.31061i,9054.4+0.29368i,8910.9+0.30525i,8893.8+0.30862i,8743.4+0.30976i,8899.3+0.30409i,8974+0.29843i,8999.7+0.31421i,9069.9+0.31413i,9258.2+0.31308i,8822+0.31464i,8895.7+0.30567i,8959.6+0.31302i,9003.7+0.32529i,8804.5+0.3187i,8863.9+0.31026i,8808.2+0.31572i,8825.6+0.31775i,8470.5+0.31736i,8545.3+0.32499i,8846.6+0.31026i,9014.4+0.32466i,8822.7+0.32034i,8864.5+0.32355i,8723.9+0.34078i,8449.6+0.33021i,8391.9+0.32387i,8652.2+0.33178i,8652.1+0.32571i,8385.8+0.33143i,8777.9+0.34044i,8499.8+0.34475i,8678.1+0.33658i,8471.5+0.33122i,8622.2+0.34723i,8553.5+0.3488i,8709.2+0.35397i,8478.7+0.34095i,8192.6+0.34512i,8238.5+0.33736i,8673.2+0.35049i,8177.8+0.34289i,8625.5+0.35764i,8407.6+0.34961i,8083+0.35124i,8509.9+0.36002i,8582.5+0.35902i,8461.7+0.34733i,8344.5+0.35979i,8462.1+0.35888i,8170.7+0.3605i,8328.4+0.36714i,8121.6+0.36923i,8226.4+0.35294i,8160.7+0.37287i,8188.9+0.35854i,8251.3+0.35702i,8411.2+0.3754i,8009.9+0.38121i,8278.6+0.36836i,8113.9+0.36005i,8248.7+0.36285i,8034.2+0.36356i,8145.4+0.37471i,8031.7+0.38201i,8253.9+0.37458i,8269.9+0.39293i,8014.3+0.37745i,7935.2+0.39218i,8034.2+0.38527i,8320.3+0.38608i,8422+0.37848i,7850.9+0.38571i,7962.9+0.39127i,7802.2+0.39235i,8086.3+0.3907i,8084.9+0.39752i,8224.7+0.39546i,7797.8+0.40689i,8210.4+0.39386i,8020.4+0.4007i,8059.4+0.41275i,8078.8+0.40318i,8051.2+0.39562i,7775.2+0.39129i,7882.6+0.39155i,8054.4+0.39856i,8048.9+0.39731i,7838+0.39726i,8116.6+0.42118i,8194.7+0.41723i,7676.9+0.40198i,8178.6+0.39796i,7804.4+0.39579i,8238.5+0.40404i,7675.5+0.42781i,7737+0.41593i,7676+0.41551i,8008.7+0.41076i,8017.7+0.4323i,7919.7+0.42192i,7925.1+0.41509i,8065.7+0.41896i,7845.7+0.44066i,8119+0.44006i,8106.7+0.42375i,7791.1+0.43188i,7955.2+0.42425i,8087.1+0.42138i,7946.2+0.43103i,8005.1+0.43402i,7768+0.44253i,7740+0.45226i,8079.5+0.43654i,7903+0.44558i,7848.6+0.43348i,7863.3+0.45692i,8009.7+0.45886i,7686.4+0.44745i,7689.2+0.42077i,8084.6+0.45299i,7750.2+0.45665i,7770.5+0.45015i,7939.7+0.4739i,7532.1+0.44721i,7819.7+0.45695i,8083.3+0.45719i,8172.5+0.46636i,7814.8+0.45143i,7732+0.47025i,7930.5+0.45719i,7763.6+0.45733i,7986.4+0.47711i,7789.9+0.49239i,8042.2+0.47059i,7792.7+0.48307i,7914.6+0.4674i,7721.1+0.48107i,7922+0.47093i,7744.6+0.47078i,7853.8+0.47682i,7730.6+0.49522i,7733+0.48559i,7866.6+0.4832i,7813.1+0.48952i,8184+0.50065i,7999.5+0.49885i,7886.3+0.49344i,7812.3+0.50711i,7734.2+0.49401i,7866.3+0.49196i,7965.8+0.50068i,7716.6+0.51437i,7695.5+0.52018i,7890.6+0.50744i,7764.7+0.49647i,7905.1+0.50182i,7948.9+0.52429i,7830.2+0.49482i,7791.9+0.50918i,7999.2+0.53134i,7654.4+0.5149i,7789.6+0.52278i,7769.4+0.53695i,7659.2+0.53473i,7996.1+0.51889i,7464.9+0.52314i,8083.3+0.54141i,7429.9+0.53864i,7742.8+0.54177i,7889.8+0.5241i,7794+0.54322i,7822.5+0.5327i,7918.9+0.53524i,7754.2+0.53154i,8018.3+0.53613i,7643.1+0.55388i,7849.3+0.54316i,7534.6+0.564i,7796.2+0.55801i,7849.4+0.54918i,7421.5+0.5653i,7882+0.55529i,7899.9+0.57838i,7939+0.57828i,7702.6+0.57192i,7920.2+0.56468i,7684.9+0.57709i,7623.6+0.58134i,7965.9+0.57178i,7740.4+0.56863i,7910.1+0.57836i,7730.8+0.58751i,7862.8+0.59327i,7696.4+0.589i,7723.4+0.59112i,7540.6+0.59029i,7843.9+0.61462i,7506.2+0.58664i,7756.2+0.5885i,7823.6+0.60769i,7619.2+0.59622i,7886+0.61542i,7839.4+0.59114i,7755.7+0.61762i,7862.3+0.5872i
