17403+0.21103i,17436+0.20495i,17545+0.20829i,16983+0.21257i,17894+0.20556i,17091+0.20668i,17252+0.21869i,17349+0.21181i,17414+0.21383i,16880+0.20839i,16834+0.21338i,16760+0.20876i,16875+0.20879i,16928+0.2164i,16653+0.20976i,16870+0.20963i,17087+0.20793i,16709+0.2109i,17300+0.20972i,17003+0.21322i,16886+0.20551i,16417+0.2112i,16810+0.20993i,16628+0.21571i,16354+0.20986i,16855+0.21214i,16545+0.20697i,17130+0.20735i,16802+0.21979i,17390+0.21013i,16541+0.21188i,16728+0.20712i,16529+0.21394i,16280+0.21108i,16371+0.21867i,16615+0.21398i,16317+0.20586i,15832+0.20995i,16410+0.20844i,16104+0.20508i,16625+0.21327i,16380+0.2119i,16264+0.21284i,15930+0.21233i,16259+0.20731i,16467+0.21577i,15571+0.20743i,16325+0.20779i,16300+0.20719i,16163+0.21005i,16018+0.20923i,16119+0.21237i,16423+0.21422i,16277+0.21805i,16112+0.21574i,15542+0.20527i,15799+0.21229i,15902+0.21604i,15824+0.20939i,16088+0.21339i,16417+0.21114i,15636+0.21574i,15909+0.21252i,16043+0.21824i,15661+0.21093i,15668+0.22148i,15653+0.2197i,15783+0.21244i,15775+0.20733i,16123+0.2189i,15828+0.21364i,15224+0.21273i,15951+0.21997i,15791+0.22654i,15335+0.21046i,15777+0.21639i,15214+0.21802i,15719+0.21875i,14850+0.22348i,15004+0.22465i,15098+0.2189i,15188+0.21523i,14565+0.21292i,15008+0.22344i,15436+0.22212i,14941+0.22527i,15532+0.2263i,14686+0.21824i,14440+0.22398i,14628+0.22009i,15038+0.2263i,14933+0.22322i,14683+0.22054i,14644+0.22363i,13906+0.21893i,14812+0.21545i,14808+0.22433i,14914+0.22176i,14496+0.22318i,14318+0.21911i,14522+0.22577i,13928+0.23141i,14850+0.23374i,14230+0.23074i,14412+0.22423i,14488+0.23768i,14511+0.2222i,14445+0.22335i,14299+0.22774i,14222+0.22551i,14110+0.2325i,13440+0.23028i,14049+0.22174i,13878+0.23697i,13853+0.2261i,13989+0.2292i,13455+0.23988i,13856+0.2323i,13225+0.23159i,13705+0.22676i,13528+0.23924i,13211+0.23415i,13270+0.23574i,13576+0.23011i,13340+0.24266i,13493+0.24734i,13273+0.23585i,13152+0.24633i,13338+0.23616i,13165+0.23678i,13120+0.24176i,13114+0.23858i,12901+0.24587i,12888+0.24937i,12550+0.24769i,12812+0.25653i,12912+0.25683i,12744+0.25511i,12840+0.24673i,12437+0.24971i,12612+0.254i,12710+0.24828i,12461+0.254i,12168+0.25923i,12332+0.2479i,11812+0.24822i,11672+0.25233i,12558+0.26718i,12442+0.25972i,12061+0.2559i,11665+0.25889i,11653+0.26695i,11937+0.26413i,12026+0.25881i,11645+0.26215i,12206+0.26732i,11549+0.26492i,11458+0.25595i,11947+0.26495i,11691+0.27136i,11616+0.26503i,11087+0.2637i,11513+0.26751i,11621+0.2705i,11379+0.27312i,11160+0.28221i,11289+0.2756i,11128+0.2785i,10794+0.27104i,10754+0.28646i,11146+0.27992i,11402+0.27538i,11065+0.28444i,11088+0.28539i,10826+0.28406i,10650+0.28195i,10668+0.29096i,10720+0.28479i,10427+0.28059i,10782+0.2925i,10581+0.29067i,10670+0.29385i,10265+0.30201i,9950+0.30004i,10415+0.29796i,10455+0.29428i,10675+0.297i,10234+0.29509i,10104+0.29903i,10289+0.29735i,9943.1+0.30105i,10151+0.30415i,10316+0.31189i,10168+0.30767i,9868.7+0.31234i,10021+0.31285i,10112+0.31341i,10201+0.31284i,10016+0.31493i,10271+0.30469i,9510.1+0.31902i,10050+0.31822i,9686+0.3234i,9401.4+0.31463i,10029+0.31492i,9927+0.31715i,10010+0.32463i,9503.9+0.32912i,9067.8+0.32111i,9776.9+0.33366i,9689+0.33206i,9452.7+0.33961i,9627+0.33271i,9732.7+0.33548i,9607.7+0.34024i,9208.3+0.32974i,9718.6+0.3335i,9473.7+0.34256i,9756.1+0.34676i,9689.3+0.32644i,9367.9+0.33763i,9413.5+0.34312i,9194.7+0.34686i,9279.7+0.34891i,9492.5+0.34749i,9270.5+0.33637i,9370+0.35339i,9330.4+0.35003i,9383.7+0.34832i,9362.3+0.35005i,9063.5+0.34082i,8883.4+0.35786i,9042.7+0.3574i,9390.8+0.34103i,9701.4+0.35229i,9159.5+0.36147i,9172.2+0.36295i,9087.7+0.35752i,9307.5+0.35462i,8985+0.35211i,8993.2+0.37126i,9026+0.36248i,9014.8+0.37078i,9070.7+0.37179i,8994+0.37291i,9047.4+0.36791i,9105.7+0.36485i,8755.5+0.37402i,9095.5+0.38977i,9047.8+0.37414i,8817.7+0.39308i,9079.5+0.37628i,9209.5+0.38717i,8939.2+0.39598i,8755+0.37921i,8930.7+0.37968i,8594.8+0.38807i,8968.5+0.38237i,8894+0.39534i,8556.6+0.39012i,8754.9+0.40068i,8652.8+0.39537i,8852.1+0.39747i,8919.4+0.38714i,9170.9+0.39867i,8904.2+0.4146i,8683.6+0.40299i,8846.3+0.40516i,9052+0.40946i,8688.5+0.41279i,8793.3+0.39186i,8935.1+0.40681i,8743.9+0.40254i,9034.4+0.40717i,8657.7+0.40845i,8750.5+0.41167i,8883.5+0.41625i,8830.1+0.42044i,8796+0.42829i,8866.1+0.41911i,8757.3+0.40779i,8480.7+0.41995i,8619.9+0.43976i,8977+0.41879i,8870.4+0.41031i,9009.4+0.41795i,8874.8+0.40833i,8403.7+0.42986i,8815.7+0.42225i,8717.9+0.4276i,9025.9+0.41524i,8947.7+0.43304i,8918+0.42106i,8734+0.44705i,8557+0.44516i,8487.8+0.44498i,8477+0.45085i,8639.7+0.44637i,8819.8+0.43999i,8793.3+0.44056i,8914.3+0.44372i,8381.2+0.43428i,8774.6+0.47288i,8858.2+0.45647i,8616.4+0.45525i,8771.5+0.43721i,8449.6+0.46282i,8789.4+0.4571i,8709+0.46079i,8838.2+0.47253i,8508.3+0.45694i,8826.1+0.44739i,8556.5+0.44985i,8451.1+0.4744i,8470.7+0.5011i,8694.5+0.47026i,8374.9+0.47047i,8739+0.49835i,8678.5+0.48707i,8555.2+0.48773i,8367.4+0.4756i,8369+0.46721i,8748.1+0.49084i,8680.3+0.47522i,8583.1+0.50336i,8179.7+0.48995i,8669.5+0.49695i,8518.6+0.49145i,8754.4+0.48089i,8606.7+0.5002i,8663+0.48777i,8492+0.50125i,8596.6+0.4985i,8922.6+0.48952i,8587.6+0.50602i,8535.6+0.51893i,8492.5+0.49327i,8286+0.49751i,8627.2+0.50723i,8682.4+0.51627i,8395.1+0.51871i,8425.4+0.52629i,8735.5+0.53116i,8379.4+0.52347i,8812.6+0.52611i,8210.7+0.52303i,8835.2+0.53691i,8312.5+0.53222i,8348.4+0.54112i,8632.1+0.52997i,8428.7+0.52293i,8241.1+0.52178i,8446.1+0.53715i,8792.4+0.53118i,8709.3+0.538i,8457.1+0.53629i,8360.7+0.55484i,8606.5+0.54758i,8413.3+0.55809i,8308.3+0.55752i,8488+0.56095i,8470+0.55571i,8783.6+0.57334i,8922.3+0.57413i,8387.4+0.56761i,8673.7+0.57167i,8594.9+0.55823i,8497.1+0.57201i,8366+0.56676i,8326.5+0.56757i,8581.3+0.56182i,8342.5+0.57483i,8612.4+0.58599i,8778.9+0.60242i,8661.1+0.58612i,8609.1+0.59998i,8350.2+0.57715i,8576.7+0.58919i,8490.9+0.57345i,8347.4+0.59715i,8518.9+0.60089i,8523.6+0.59753i,8574.9+0.6051i,8570.8+0.58751i,8420.8+0.62543i,8500.1+0.61043i,8292.4+0.6226i,8624.3+0.62427i,8477.6+0.62704i,8662+0.64726i,8643.3+0.60073i,8729.3+0.61252i,8434.9+0.6469i,8467.6+0.6258i,8789.7+0.64887i,8185.8+0.64124i,8505+0.64522i,8483.9+0.6672i,8523.6+0.64316i,8485.3+0.65828i,7911.5+0.66241i
16852+0.21042i,16907+0.2216i,17181+0.2112i,18340+0.20897i,17677+0.20836i,17058+0.21598i,17072+0.20866i,17461+0.20483i,16829+0.21239i,17611+0.19961i,17214+0.21032i,17007+0.20978i,16960+0.20889i,17398+0.21384i,16831+0.21446i,16868+0.2197i,17760+0.21129i,17368+0.20756i,16970+0.20847i,16417+0.21195i,16826+0.20654i,16700+0.21666i,16171+0.21533i,16311+0.21469i,17173+0.21396i,16680+0.21751i,16410+0.21963i,17213+0.21511i,16412+0.21692i,16586+0.21178i,16236+0.21512i,16377+0.21841i,16894+0.21386i,16592+0.21038i,16622+0.21645i,15837+0.21351i,16290+0.21494i,16353+0.20569i,16116+0.21463i,16189+0.20628i,16938+0.21169i,15900+0.20913i,16382+0.20278i,15989+0.21146i,16457+0.21339i,16491+0.21617i,16246+0.21237i,16347+0.20439i,16099+0.20852i,15601+0.2176i,16457+0.21956i,16427+0.21203i,15675+0.20723i,16180+0.21595i,15418+0.21198i,16031+0.21285i,15875+0.21665i,16240+0.22177i,16255+0.217i,16011+0.21396i,15442+0.2192i,16140+0.21175i,15843+0.20785i,15487+0.21171i,15443+0.20528i,15775+0.21357i,15823+0.2138i,16280+0.21577i,15411+0.21876i,15490+0.22486i,15501+0.21194i,15662+0.20987i,15742+0.21471i,15052+0.21642i,15221+0.21681i,15481+0.2158i,15378+0.21193i,15512+0.21254i,15576+0.21917i,15266+0.2177i,15034+0.20988i,15421+0.21655i,15112+0.20951i,14908+0.21891i,15518+0.22407i,14894+0.21587i,14834+0.22296i,14840+0.21941i,14678+0.21543i,14318+0.21956i,15090+0.22227i,15176+0.22099i,14778+0.21684i,14878+0.22878i,15042+0.21883i,15194+0.22633i,14757+0.22643i,14464+0.22025i,14498+0.21793i,14663+0.22243i,14114+0.21743i,14838+0.21705i,14302+0.2236i,14442+0.22419i,14368+0.22998i,14376+0.2261i,14186+0.23131i,13834+0.23337i,14349+0.22967i,14435+0.232i,14249+0.2294i,13975+0.22652i,13844+0.22741i,13851+0.22502i,13560+0.22497i,13596+0.23598i,13503+0.23358i,13657+0.23762i,14012+0.22877i,13546+0.22964i,13656+0.23537i,13787+0.23754i,13388+0.2406i,13450+0.23319i,13637+0.2413i,12729+0.23185i,12991+0.23205i,12801+0.23478i,13377+0.23543i,13320+0.23881i,12949+0.24679i,12759+0.23721i,13120+0.23654i,12703+0.25438i,12842+0.24662i,13031+0.2486i,12818+0.24058i,12946+0.25333i,12517+0.2525i,12665+0.25208i,12699+0.24637i,12314+0.2465i,12225+0.2509i,12357+0.24814i,12806+0.25666i,12479+0.25173i,12269+0.26066i,12156+0.25128i,11872+0.25576i,11984+0.25508i,11706+0.26222i,12210+0.25814i,11432+0.26492i,11902+0.26567i,11454+0.25723i,12120+0.26864i,12257+0.26515i,11597+0.27111i,11419+0.27581i,11623+0.26628i,11300+0.26254i,11559+0.26526i,11337+0.27893i,11243+0.27573i,11205+0.27759i,11393+0.27401i,11178+0.27429i,11229+0.28488i,11193+0.28544i,11254+0.27602i,11334+0.27401i,10635+0.27459i,10924+0.28014i,10728+0.28149i,10634+0.2774i,10491+0.28641i,10544+0.27911i,10501+0.29259i,10823+0.28608i,10593+0.29658i,10915+0.29408i,10444+0.29876i,10566+0.29461i,10268+0.2949i,10690+0.29513i,10357+0.29241i,10666+0.29365i,10298+0.30374i,10590+0.30228i,10031+0.29808i,10310+0.29196i,10409+0.30283i,10083+0.30339i,9778.9+0.3108i,9761.8+0.31231i,10041+0.30563i,10093+0.31627i,9519.1+0.31634i,10171+0.31333i,9576.4+0.31717i,9879.7+0.31015i,9952.9+0.31222i,9833.1+0.31918i,9630.2+0.32301i,9811.5+0.31684i,9968.5+0.33561i,10144+0.3178i,9887.6+0.32404i,9336.4+0.32293i,9431.4+0.33788i,9574.4+0.33143i,9582.8+0.32857i,9704.2+0.32885i,9542.9+0.3374i,9704.5+0.32922i,9918.4+0.33478i,9414.2+0.33591i,9730.6+0.31921i,9405.5+0.33116i,9337.1+0.34694i,9424.7+0.33563i,9266.6+0.33411i,9189.1+0.32746i,9450.5+0.34198i,9261+0.34848i,9293.1+0.35318i,9292.8+0.35222i,9305.8+0.3521i,9299.2+0.33875i,9243.1+0.34363i,9423.4+0.35923i,9086.5+0.34745i,9089.5+0.35138i,9086.4+0.35845i,8885.8+0.36251i,8977.1+0.35738i,9357.4+0.37796i,9220.4+0.34604i,9212.6+0.36763i,8984.5+0.36438i,8930+0.36087i,8661+0.36916i,8834.2+0.37369i,9266.5+0.37226i,9307.5+0.37188i,9414+0.37994i,9079.8+0.36933i,9171.5+0.38233i,8992.8+0.37393i,9096.7+0.38027i,8903.9+0.38332i,9033.8+0.37005i,8813.9+0.37928i,9048.5+0.38366i,9127.2+0.38266i,9179+0.37769i,9008.7+0.40052i,8710+0.39232i,8903.6+0.38322i,9029.1+0.39235i,8896.5+0.38943i,9030.4+0.39693i,9061.1+0.392i,9044.9+0.40772i,8808.8+0.40031i,8957+0.39852i,9248.2+0.39032i,8612.6+0.3944i,8717.2+0.39981i,8992.4+0.39945i,8761.9+0.403i,8824.4+0.40964i,8815.3+0.40948i,8998+0.41379i,8705.8+0.41088i,8916+0.40846i,8809+0.41816i,8811.5+0.41552i,8844.3+0.42214i,8838.3+0.41608i,8973.7+0.43114i,8812.9+0.42002i,8916.4+0.40667i,8848.5+0.43437i,8689.9+0.42059i,8770.8+0.42947i,8412.2+0.42848i,8702.7+0.43043i,8681+0.43807i,8667.1+0.43984i,8702+0.4407i,8548.8+0.43396i,8680.3+0.43546i,8938.7+0.43382i,8395.2+0.44274i,8936.6+0.44158i,8824.9+0.4414i,8575.3+0.44756i,8560.6+0.44088i,8484.9+0.45197i,8576.4+0.44208i,8593.2+0.45489i,8534.2+0.46087i,8580.9+0.46506i,8768.2+0.46111i,8995.4+0.45606i,8489.8+0.46326i,8825.3+0.45071i,8438.7+0.45747i,8616.4+0.47548i,8538+0.47418i,8444.7+0.4581i,8422.5+0.46541i,8647.6+0.46933i,8232.8+0.47303i,8789.1+0.47994i,8710.9+0.48585i,8641.2+0.47805i,8639.7+0.49231i,8817.7+0.48838i,8777.1+0.49402i,8559.1+0.48011i,8807.2+0.47596i,8708.4+0.47187i,8616+0.48977i,8381.6+0.49523i,8391.9+0.48444i,8531.8+0.50289i,8467.3+0.51093i,8414.9+0.50481i,8634.5+0.49773i,8554.4+0.49453i,8759.2+0.49972i,8582.9+0.51625i,8526.9+0.50072i,8665.7+0.50976i,8507.9+0.50876i,8596.2+0.5001i,8831.8+0.52351i,8576.9+0.5158i,8490.3+0.49731i,8454.4+0.5189i,8594.5+0.51022i,8639.6+0.53035i,8782.6+0.52475i,8490.9+0.52188i,8474.5+0.5217i,8424.7+0.52351i,8613.8+0.52272i,8415.9+0.52428i,8730.6+0.52312i,8654.8+0.54235i,8540.3+0.55107i,8628.4+0.53875i,8557.5+0.54935i,8224.4+0.54685i,8553.9+0.55215i,8617.1+0.5422i,8137.5+0.55014i,8598.5+0.52875i,8574.7+0.55644i,8882.9+0.55283i,8648.8+0.55951i,8316.7+0.55589i,8871.5+0.56564i,8694.4+0.57334i,8397.7+0.56961i,8478.2+0.57914i,8511.7+0.58423i,8039.6+0.58015i,8683+0.57513i,8314.2+0.60067i,8327+0.59673i,8794+0.56755i,8452.3+0.60081i,8937.4+0.58865i,8840.3+0.59283i,8815.5+0.56813i,8674.2+0.5979i,8632.1+0.59374i,8455.8+0.61335i,8438.2+0.60477i,8419.8+0.62813i,8677.8+0.60938i,8389.1+0.57976i,8572.1+0.62491i,8559.3+0.61929i,8428.2+0.60375i,8622.1+0.64001i,8202.2+0.64659i,8499.2+0.61283i,8849+0.63992i,8469.7+0.61926i,8189.8+0.6226i,8137.4+0.63152i,8651.7+0.64139i,8478.4+0.6463i,8722.8+0.62739i,8286.8+0.64259i,8730.3+0.6328i,8617.1+0.66192i
17876+0.2149i,17299+0.20879i,17769+0.21369i,16704+0.20975i,17166+0.20842i,17058+0.2068i,17597+0.21002i,17406+0.20997i,17294+0.21146i,17783+0.21123i,17487+0.20839i,17298+0.2149i,17240+0.20358i,16864+0.21258i,16890+0.21247i,16785+0.21111i,17351+0.21292i,16651+0.21582i,17572+0.2092i,16546+0.20612i,16736+0.20786i,16736+0.21282i,17083+0.21954i,16541+0.21265i,16511+0.20362i,17102+0.20956i,16788+0.21424i,16331+0.21139i,16813+0.21613i,16370+0.22217i,16670+0.21377i,16119+0.21404i,16639+0.21679i,16643+0.213i,16304+0.21138i,16181+0.19821i,16777+0.20515i,16520+0.21337i,15822+0.21007i,16619+0.21077i,16057+0.20849i,16446+0.21337i,16245+0.21406i,16189+0.21464i,16342+0.21815i,15869+0.21682i,15850+0.21075i,17043+0.20864i,16405+0.21493i,15938+0.20771i,16139+0.2146i,16094+0.21184i,15184+0.21189i,16845+0.21306i,15961+0.21506i,16460+0.21239i,16422+0.21702i,16006+0.21352i,16268+0.20799i,15512+0.21336i,15934+0.21659i,15898+0.21556i,16361+0.209i,15587+0.21447i,15866+0.22002i,15519+0.21756i,15771+0.20848i,15498+0.21564i,15672+0.21502i,15603+0.21378i,15517+0.22225i,15576+0.21849i,15288+0.2176i,15101+0.21466i,15565+0.21144i,15405+0.21619i,15438+0.21438i,15287+0.21612i,15212+0.21103i,15219+0.21233i,14953+0.21695i,15182+0.21911i,15591+0.21415i,16145+0.2171i,14988+0.21074i,15566+0.22397i,15527+0.21616i,15384+0.216i,15176+0.22006i,15023+0.22315i,14961+0.22229i,14880+0.2217i,14893+0.2136i,13878+0.22599i,13989+0.23345i,14740+0.2268i,14393+0.21458i,14673+0.22602i,14401+0.22214i,14361+0.22446i,14952+0.2244i,14444+0.22637i,14211+0.22206i,14477+0.22748i,14149+0.22523i,14247+0.22077i,14321+0.22582i,13823+0.23451i,14265+0.22835i,13706+0.22621i,14520+0.22171i,14413+0.23469i,13668+0.22536i,13677+0.22411i,13260+0.22812i,13731+0.23361i,14168+0.22704i,14116+0.23968i,13425+0.23011i,13388+0.23732i,13186+0.24147i,13051+0.23527i,13210+0.23479i,13401+0.23619i,13108+0.24114i,13417+0.24352i,13691+0.23125i,13147+0.23418i,13157+0.23824i,12849+0.24479i,13208+0.23984i,12720+0.24181i,12905+0.2486i,12826+0.24242i,12412+0.24702i,12916+0.24047i,12550+0.24225i,12845+0.24581i,12634+0.24828i,12934+0.24688i,11985+0.2609i,12109+0.25726i,12621+0.25093i,12525+0.24556i,12290+0.25125i,12611+0.24836i,12623+0.25857i,12359+0.25752i,12062+0.2632i,11866+0.25529i,11625+0.26137i,11661+0.2643i,12061+0.26073i,12045+0.25897i,11551+0.25657i,11758+0.26451i,11994+0.26693i,11483+0.26295i,11895+0.26761i,11706+0.27081i,11365+0.27241i,11550+0.26463i,11291+0.27085i,11281+0.26018i,11375+0.27575i,11015+0.27503i,11305+0.28475i,11302+0.2769i,10861+0.26628i,10569+0.26583i,10612+0.2881i,10901+0.27986i,11406+0.28656i,10822+0.2787i,10681+0.287i,10923+0.28917i,10950+0.28571i,11090+0.28592i,10680+0.28766i,10670+0.28911i,10640+0.29216i,10902+0.2888i,10028+0.29351i,10465+0.29885i,10597+0.29102i,10841+0.30434i,10223+0.29595i,10236+0.30678i,9986.2+0.29984i,10235+0.29446i,10323+0.31281i,10307+0.3067i,10502+0.30121i,10221+0.31761i,10191+0.31558i,9894.5+0.3061i,10042+0.30618i,9951.6+0.31868i,10255+0.31215i,9856.9+0.31952i,10163+0.31868i,9749.4+0.32262i,9734.3+0.32463i,10127+0.31696i,9760.9+0.32155i,10004+0.31636i,10204+0.32095i,9487.2+0.32142i,9913.4+0.31665i,9382.2+0.32917i,9580.7+0.32596i,9935.1+0.32339i,9754.9+0.33765i,9556.4+0.32535i,9534.7+0.3401i,9216.1+0.32994i,9513+0.34053i,9478.5+0.33443i,9432.1+0.34231i,9418.8+0.34424i,9125.9+0.33705i,9100.6+0.33349i,9272.9+0.33562i,9418.4+0.33521i,9338.5+0.34636i,9022+0.33047i,9431.5+0.34312i,9084.9+0.33995i,8827.6+0.35578i,9298.6+0.34825i,9285.3+0.35398i,9348.1+0.35533i,8919+0.34166i,9286.3+0.36225i,9068.5+0.35853i,9233.2+0.36316i,9396.8+0.37388i,9150.9+0.36468i,9136.9+0.36841i,8792.2+0.36549i,8893.6+0.36993i,9308.8+0.36309i,8928.7+0.36909i,9126.3+0.38575i,9235.7+0.37982i,8774.3+0.36925i,8679.3+0.37629i,9192.9+0.38404i,8776.6+0.37983i,8722.5+0.38563i,8898.7+0.39039i,9072.9+0.37894i,9241.5+0.37647i,8909.2+0.38782i,8895.2+0.37251i,8844.1+0.37716i,9126.1+0.39063i,9208.6+0.40407i,8956.8+0.38861i,8817+0.3867i,8986.4+0.39336i,8764.7+0.39199i,8861.2+0.40525i,8746.7+0.40293i,8926.5+0.38198i,8944.5+0.38946i,8634.4+0.40378i,8943.5+0.40003i,8510.3+0.40052i,8855.3+0.40465i,8807.3+0.41043i,8762.8+0.40712i,9054.2+0.40879i,8861.5+0.41054i,8533.6+0.41126i,9125.9+0.40614i,8966.7+0.40953i,8808.9+0.42545i,8654.3+0.39916i,8690.2+0.42911i,8555.3+0.41615i,8521.4+0.42533i,8758.2+0.41715i,8696+0.41281i,8811.9+0.42685i,8948.1+0.43167i,8616.6+0.42352i,8700.7+0.42067i,8578.4+0.4293i,8777.2+0.43484i,8605.7+0.44103i,8616.3+0.44146i,8745.4+0.43546i,8855.3+0.43597i,8886.6+0.44262i,8535.5+0.43918i,8350.7+0.44562i,8692.4+0.45096i,8524.7+0.4428i,8354.7+0.44844i,8948+0.43353i,8616.5+0.44973i,8476.9+0.46016i,8481.9+0.46709i,8525.9+0.45075i,8244.9+0.4649i,8839.6+0.45765i,8574.7+0.46326i,8681.5+0.45269i,8711.9+0.45108i,8613+0.48008i,8711.1+0.47723i,8531.8+0.4648i,8759.6+0.47241i,8595.5+0.46446i,8325.5+0.4795i,8689.2+0.50041i,8565.9+0.4866i,9026.7+0.47814i,8502.2+0.45703i,8295.7+0.49235i,8495.8+0.47165i,8667.3+0.48656i,8688.7+0.48425i,8435.5+0.48848i,8705.8+0.48399i,8434.7+0.48524i,8705.4+0.47771i,8634.3+0.49127i,8346.6+0.49744i,8710+0.50149i,8885.8+0.50722i,8562.1+0.50877i,8376.5+0.49049i,8454.3+0.51837i,8921.3+0.5185i,8633.9+0.50571i,8560.1+0.51357i,8751.3+0.51376i,8585.4+0.52699i,8674.8+0.53334i,8689.1+0.51277i,8504.9+0.51501i,8315.3+0.53405i,8569.5+0.54126i,8386.9+0.53431i,8434.3+0.54876i,8366.7+0.53368i,8765.3+0.5255i,8500.3+0.53497i,8544.1+0.54711i,8473.2+0.52733i,8566.3+0.55281i,8337.4+0.53541i,8798.2+0.52658i,8619.9+0.56594i,8478.6+0.56855i,8557.8+0.55369i,8560.9+0.54757i,8695.5+0.55234i,8776.6+0.55489i,8614+0.54583i,8486+0.56303i,8695.6+0.56426i,8462.2+0.55324i,8309.1+0.55227i,8501.1+0.56689i,8479.2+0.56446i,8492+0.57017i,8709.4+0.61158i,8253.7+0.59939i,8474.7+0.57167i,8353.6+0.58953i,8554.6+0.58554i,8727.3+0.58781i,8567.8+0.59125i,8320.3+0.59321i,8274+0.59481i,8611.8+0.59096i,8518.9+0.59952i,8674.1+0.59829i,8407.1+0.60443i,8370.3+0.59121i,8602.2+0.61599i,8818.2+0.59108i,8270.2+0.62507i,8642.3+0.62317i,8567+0.61611i,8303.9+0.63893i,8085.1+0.62983i,8716.1+0.64292i,8501.9+0.63337i,8676.3+0.6321i,8670.6+0.61609i,8384.5+0.6585i,8655.6+0.6439i,8512+0.61788i,8672.1+0.63462i,8240.4+0.65612i,8344+0.65269i,8554.3+0.64419i
