14088+0.21045i,15050+0.20627i,15129+0.21817i,14840+0.21632i,14545+0.21216i,15029+0.21028i,14013+0.20712i,14143+0.20761i,14465+0.2117i,14713+0.21409i,14384+0.20961i,14645+0.21374i,14268+0.21384i,14444+0.2087i,14861+0.20865i,14037+0.20984i,14366+0.20883i,13982+0.20991i,14171+0.21442i,13972+0.20916i,13897+0.21152i,14057+0.2067i,14294+0.20265i,14006+0.21236i,14380+0.21295i,14207+0.21096i,14510+0.21199i,13660+0.2143i,13380+0.21289i,13915+0.20636i,13902+0.21392i,13500+0.21206i,13937+0.20982i,13887+0.21218i,13560+0.2134i,14006+0.20602i,13455+0.20291i,13532+0.2041i,13974+0.21017i,13591+0.21588i,13629+0.20642i,13282+0.2116i,13661+0.21152i,13530+0.21176i,13109+0.21146i,13789+0.2063i,13720+0.21078i,13505+0.21235i,13479+0.21242i,13447+0.20986i,13613+0.21661i,13191+0.20444i,13306+0.21492i,13646+0.20891i,13205+0.21388i,13569+0.21189i,13456+0.21255i,13138+0.21328i,13344+0.2228i,13160+0.20871i,12824+0.21458i,13292+0.20889i,13185+0.21382i,12735+0.22222i,13248+0.2056i,12927+0.21157i,13195+0.21382i,12831+0.20894i,13325+0.20844i,12945+0.21673i,13305+0.21559i,13213+0.21939i,12934+0.2141i,13007+0.21706i,12376+0.21122i,12978+0.21242i,12814+0.21592i,12609+0.2139i,12807+0.21702i,13164+0.21001i,12907+0.21777i,12838+0.21249i,12746+0.21944i,12985+0.20988i,12461+0.21215i,12552+0.20741i,12837+0.20741i,12577+0.21116i,12474+0.2182i,12580+0.21222i,12480+0.21545i,12706+0.21517i,12033+0.21899i,12251+0.2253i,12491+0.2175i,12004+0.21624i,11793+0.22068i,12370+0.22372i,12423+0.21591i,12108+0.22651i,12190+0.21854i,12156+0.22846i,12099+0.2198i,11999+0.22318i,12081+0.22013i,11834+0.22574i,11857+0.23091i,12073+0.22631i,11679+0.22559i,11765+0.22265i,11861+0.22854i,11367+0.22367i,11651+0.22767i,11733+0.22612i,11721+0.23019i,11549+0.23029i,11178+0.22744i,11371+0.23051i,11625+0.23222i,11251+0.23791i,11334+0.22739i,11345+0.22591i,11393+0.23613i,11486+0.2241i,10947+0.22541i,11101+0.23053i,10931+0.23572i,11033+0.23663i,11007+0.2352i,10938+0.23689i,10671+0.23849i,10669+0.23953i,10682+0.23592i,10655+0.23488i,10871+0.25135i,10439+0.23024i,10394+0.23861i,10330+0.22876i,10481+0.24027i,10241+0.24989i,10143+0.23792i,10770+0.25049i,10285+0.2484i,10114+0.24738i,10339+0.2513i,10441+0.242i,10283+0.24165i,9961+0.24715i,9912.9+0.25052i,9862.7+0.24395i,9871+0.26701i,9567.3+0.25102i,9909+0.2547i,9788.1+0.25631i,9714.9+0.24967i,9908.1+0.24532i,9381.3+0.25733i,9556.2+0.25494i,9899.3+0.24681i,9473.3+0.24983i,9672.5+0.26234i,9437.8+0.27155i,9574.2+0.26521i,9344.8+0.26525i,9244.6+0.26131i,9361.1+0.26179i,9307.7+0.25504i,9279.7+0.26147i,9176.2+0.27249i,9169.8+0.26665i,9212.4+0.26602i,8876.5+0.25171i,9246.1+0.26915i,8987.7+0.27049i,8585.3+0.28173i,9056.3+0.27409i,8845.6+0.28197i,9068.1+0.28172i,9350.8+0.28347i,9005+0.27483i,8588.1+0.2726i,8939.6+0.26882i,8465+0.27323i,8694.5+0.27958i,8864.6+0.27322i,8688.6+0.27497i,8438.3+0.28241i,8754.1+0.28076i,8252.2+0.28814i,8364.8+0.27684i,8474.6+0.28035i,8364.5+0.28365i,8507.8+0.28516i,8403+0.28735i,8366.5+0.28398i,8237.1+0.30015i,8573.6+0.29627i,8314+0.29845i,8234.2+0.2986i,8332.7+0.29988i,8290.6+0.30416i,8367.3+0.31241i,8299.7+0.29966i,8110.4+0.30475i,8031.1+0.31295i,8332.8+0.29897i,8059+0.30641i,7930.1+0.30708i,8314.1+0.31679i,7923.8+0.3163i,7881.3+0.30756i,8165.6+0.30416i,8003.9+0.3123i,7911.1+0.31266i,7882.1+0.30765i,8055.2+0.31111i,7948.3+0.31399i,7783.6+0.31441i,8056.5+0.32667i,8026.3+0.31848i,7953.5+0.31289i,7927.5+0.32803i,7942.1+0.33508i,8155.2+0.32747i,7576.9+0.30616i,8068+0.33122i,7858.1+0.33155i,7769+0.3326i,7834.5+0.33051i,7970.2+0.32183i,7763.6+0.33685i,7650.4+0.33357i,7740+0.33879i,7668.6+0.32984i,7705.4+0.33758i,7587.4+0.32945i,7974.7+0.33781i,7880.4+0.33175i,7538.5+0.3368i,7587.1+0.33542i,7453.8+0.33351i,7582.8+0.33832i,7787+0.33913i,7714.8+0.33957i,7802.4+0.34516i,7718.9+0.34266i,7394.6+0.34667i,7651.2+0.3421i,7512.9+0.34975i,7443.8+0.35188i,7375.7+0.35009i,7299.7+0.34125i,7660.5+0.35417i,7527.2+0.35001i,7439.9+0.34668i,7222.1+0.37185i,7632.9+0.35563i,7428+0.35518i,7425.9+0.36886i,7295.3+0.3694i,7533.7+0.35586i,7546.7+0.36831i,7434+0.36083i,7324.8+0.37196i,7415+0.37123i,7204.7+0.36574i,7368.9+0.36564i,7466.3+0.36255i,7530.1+0.36796i,7143.5+0.3599i,7385.1+0.36856i,7126.9+0.36574i,7376.5+0.35363i,7507.4+0.37886i,7412+0.36853i,7481.8+0.38565i,7338.7+0.37405i,7368.3+0.37586i,7165.5+0.38096i,7184.6+0.37864i,7098.3+0.37815i,7317.1+0.39316i,7355.3+0.38365i,7213.5+0.3994i,7059.1+0.38407i,7093.8+0.38614i,7590+0.37992i,7413.4+0.4052i,7243.4+0.39659i,7368.1+0.38562i,7191.5+0.39386i,7078.2+0.39429i,7246+0.40113i,7210.8+0.39889i,7093.7+0.39971i,7108.3+0.39624i,7261.4+0.39727i,7221.5+0.39475i,7452+0.39786i,7055.3+0.40468i,7252.2+0.41328i,7203.2+0.41066i,7314.4+0.40268i,7150.5+0.4189i,7021.3+0.41518i,7067.6+0.40944i,7337.1+0.41776i,7130+0.40371i,7281.1+0.41519i,7158.8+0.42596i,7347.5+0.42031i,7214.7+0.41796i,7404.4+0.41338i,7221.6+0.41239i,7117.1+0.42411i,7150.2+0.41227i,7257.3+0.44352i,7212.1+0.42559i,7122.3+0.43456i,7112.8+0.42996i,7132.4+0.44043i,6928.4+0.43168i,7291.8+0.44447i,7252.1+0.44379i,7270.9+0.43465i,7200.7+0.44607i,7013.1+0.43328i,6997.9+0.44129i,7303.1+0.4478i,7083.5+0.4477i,6974+0.44028i,7286+0.46608i,7122.1+0.45248i,7312.9+0.45602i,7330.5+0.46277i,7275.8+0.44905i,7379.5+0.45628i,6878.8+0.4556i,6953.6+0.45794i,7008.7+0.46374i,6936.3+0.46319i,7159.9+0.47833i,7202.5+0.45594i,6886.2+0.4643i,7302.2+0.48791i,7124.2+0.47037i,7126.7+0.45694i,7055+0.48748i,7086.5+0.47322i,7022.3+0.48048i,7086.3+0.4702i,6953.7+0.47595i,7430.3+0.47336i,7220.7+0.48955i,7040.2+0.47162i,7312+0.48951i,7332.9+0.47094i,7067.6+0.47506i,7169.6+0.4992i,7366.1+0.49366i,7055.8+0.4981i,7097.8+0.48814i,7224.6+0.4896i,7115.2+0.50641i,6998.2+0.50511i,6932.6+0.5064i,7217.1+0.52505i,7159.3+0.51735i,7049.1+0.50743i,7134.9+0.50738i,7203.3+0.50396i,7023.8+0.51271i,6850.3+0.52468i,7108.5+0.54475i,6926.8+0.51673i,7047.5+0.52428i,7032.9+0.52297i,6931.8+0.52581i,7083.9+0.54397i,6880.4+0.53431i,7010.1+0.53804i,7058+0.52071i,6801.4+0.534i,7106.4+0.55292i,7161.6+0.5363i,7070.6+0.54579i,6978.2+0.51659i,7073.7+0.5398i,7232.2+0.55912i,7100.2+0.54249i,7173.6+0.56563i,6928.5+0.55001i,7081.8+0.56136i,7325.4+0.55214i,6916.5+0.55982i,6982.3+0.57913i,7174.1+0.58136i,7031.2+0.5796i,7012.4+0.58227i,7237.1+0.56933i,7008.5+0.57589i
14836+0.21657i,14398+0.21442i,14882+0.20647i,14772+0.20818i,14307+0.21036i,14122+0.20918i,14964+0.20883i,14449+0.21063i,14709+0.21126i,14318+0.21388i,14099+0.20603i,14506+0.20941i,14190+0.21299i,14202+0.20883i,14351+0.21025i,14033+0.20606i,13874+0.21014i,14240+0.20923i,14397+0.20438i,14655+0.2071i,14095+0.21987i,13797+0.22013i,14421+0.21765i,13980+0.21274i,13784+0.20996i,13927+0.22059i,14200+0.21505i,14036+0.21848i,13094+0.20798i,13891+0.20381i,13376+0.21501i,13955+0.21562i,13523+0.20483i,13541+0.19842i,13818+0.20922i,13804+0.20552i,13837+0.21191i,13377+0.21424i,13747+0.21215i,13434+0.20452i,13726+0.2118i,13609+0.21264i,13949+0.20019i,13422+0.21465i,13307+0.21538i,13841+0.20813i,13468+0.20666i,13434+0.2129i,13607+0.20611i,13550+0.20764i,13446+0.21066i,13620+0.20928i,13202+0.21616i,13493+0.20867i,12858+0.21009i,13167+0.20922i,13164+0.2191i,13557+0.21573i,13088+0.21199i,13042+0.21398i,13022+0.20605i,12928+0.20763i,13404+0.2031i,13191+0.21802i,13041+0.20924i,13016+0.21789i,13254+0.21742i,12706+0.21383i,13013+0.21906i,13075+0.21938i,13259+0.21089i,12847+0.21747i,13185+0.22569i,13104+0.21639i,12756+0.20605i,12783+0.2159i,13006+0.21033i,12865+0.21739i,12723+0.21583i,12531+0.22164i,12887+0.21392i,12664+0.20861i,12754+0.2121i,12905+0.21755i,12328+0.21319i,12399+0.22133i,12415+0.20927i,12253+0.2165i,12216+0.21747i,12460+0.22642i,12346+0.21982i,12767+0.21043i,12207+0.22144i,12423+0.21636i,12403+0.2193i,12467+0.22243i,12446+0.21639i,12104+0.21853i,12238+0.21926i,11839+0.22927i,12331+0.21568i,12317+0.22396i,12053+0.22332i,12048+0.23284i,12132+0.22525i,12179+0.22784i,11973+0.22672i,12206+0.22888i,11948+0.22339i,11728+0.22201i,11743+0.2204i,12256+0.22175i,11410+0.22638i,11522+0.23081i,11714+0.23183i,11706+0.23184i,11044+0.23011i,11166+0.22988i,11243+0.23724i,10942+0.22827i,11450+0.22986i,10981+0.2292i,11460+0.22278i,11285+0.23504i,10827+0.23866i,10759+0.23047i,11356+0.23693i,11068+0.23542i,11003+0.2291i,11380+0.23961i,10941+0.23411i,11001+0.23016i,10823+0.24094i,10467+0.23873i,10607+0.23831i,10797+0.23742i,10297+0.24532i,10727+0.24328i,10372+0.2368i,10359+0.24346i,10288+0.24754i,10397+0.2429i,10295+0.24923i,10126+0.24576i,10170+0.24488i,9640.2+0.24612i,10317+0.25234i,10388+0.24143i,10378+0.25093i,9976.6+0.24622i,9740.7+0.25678i,9848.9+0.25246i,9770+0.25303i,10018+0.25646i,9866.5+0.26111i,9844.7+0.2632i,9609.5+0.2616i,9396.7+0.26332i,9454.7+0.26425i,9509.1+0.25367i,9234+0.26828i,9365.4+0.26728i,9431.2+0.25496i,9409.1+0.26584i,9405.9+0.26624i,9419.9+0.27101i,9477.6+0.26856i,9531+0.26112i,9327.5+0.26518i,9256.3+0.26407i,9130.3+0.26869i,9283.4+0.27016i,8890.5+0.25855i,9048.7+0.26867i,9067.3+0.26928i,8796.6+0.27408i,8751+0.26927i,9266.1+0.27261i,8912+0.2782i,8730.6+0.27319i,8445.9+0.2861i,8926.5+0.28154i,8603.7+0.28531i,8898.3+0.29002i,8855.8+0.28062i,8612.4+0.28905i,8564.3+0.29031i,8704.8+0.2906i,8432.4+0.287i,8528.9+0.28961i,8604.9+0.29086i,8456.8+0.28721i,8470.6+0.28951i,8460.6+0.28931i,8420.8+0.28988i,8288.1+0.29614i,8346.1+0.2978i,8363.5+0.30126i,8314+0.28367i,8136.7+0.30025i,8346.8+0.29158i,8056+0.30157i,8285.6+0.30034i,7830.3+0.29753i,8293.1+0.30365i,8311.6+0.29776i,8325.5+0.29807i,8166+0.29877i,7799+0.29904i,8059.9+0.3065i,8075.9+0.31185i,7976.8+0.30454i,8196.6+0.30683i,7950.8+0.31901i,8293.9+0.31081i,8015+0.31944i,8360.5+0.31276i,8105.6+0.31185i,7871.3+0.31247i,7648.8+0.32078i,7846.3+0.31106i,7875.8+0.3102i,7862.8+0.31619i,7669.9+0.32607i,8075.5+0.33317i,7922.3+0.32427i,8030.3+0.3335i,7541+0.32674i,7739.9+0.32834i,7593.4+0.33407i,7890.9+0.32406i,7478.7+0.32952i,7347.4+0.33883i,7873.2+0.33855i,7786.2+0.33505i,7512.9+0.33884i,7923.5+0.32153i,7631.5+0.34343i,7569.1+0.34345i,7765+0.32636i,7582+0.34357i,7663.5+0.32707i,7422.1+0.34847i,7425+0.34601i,7552.1+0.33379i,7319.7+0.33853i,7296.2+0.35102i,7400.1+0.3489i,7640.1+0.3403i,7364.1+0.34946i,7392.4+0.35825i,7530.9+0.35919i,7426.7+0.35139i,7536.1+0.35203i,7534.7+0.372i,7645.4+0.35384i,7688.1+0.35036i,7377+0.35945i,7459.9+0.35745i,7439+0.35615i,7471+0.34677i,7307.8+0.35692i,7238+0.37612i,7554.9+0.37584i,7302.1+0.35852i,7460.8+0.36795i,7407.3+0.35424i,7407.1+0.36142i,7311.6+0.3723i,7398.5+0.38571i,7307+0.36879i,7547.6+0.3695i,7239.6+0.38348i,7326.4+0.38572i,7327.7+0.38721i,7118.5+0.3691i,7414.3+0.38031i,7269.1+0.37077i,7287.8+0.37466i,7440.8+0.36806i,7343.9+0.38247i,7362.9+0.38965i,7266.8+0.38559i,7405.7+0.37698i,7219.4+0.38005i,7342.2+0.38512i,7392.5+0.38611i,7458+0.39527i,7396.6+0.38879i,7304.5+0.38813i,7073+0.40302i,7346.2+0.41135i,7183.9+0.39182i,7178.9+0.39101i,7268.9+0.4097i,7154.4+0.40078i,7082.9+0.41324i,7267.1+0.39963i,7372.3+0.41649i,7125.6+0.41179i,7212.6+0.39548i,7153.7+0.41325i,6937.8+0.43258i,7165.6+0.41343i,7451.2+0.41515i,7139+0.41393i,7266.4+0.41734i,7179+0.42299i,7167.7+0.41505i,7359+0.41153i,7524.1+0.42512i,7218.4+0.41021i,7032.4+0.4257i,7401.6+0.41116i,7147.2+0.41635i,7122.8+0.42585i,7219.4+0.43844i,7245+0.43406i,7123.5+0.43171i,7019.4+0.4333i,7277.9+0.4402i,7174.1+0.44591i,7461.5+0.42507i,7326+0.44952i,6893+0.44339i,6979.1+0.4451i,7171.9+0.45025i,7030.6+0.44392i,7202.4+0.45302i,7085.4+0.45881i,6900.6+0.45111i,7427.8+0.44651i,7097.8+0.45306i,7076.9+0.44849i,7339.4+0.4622i,6785.9+0.46037i,7115.7+0.4617i,6956.3+0.45932i,7080.5+0.44862i,7078+0.47679i,7072.3+0.46461i,7133.9+0.4675i,7100.2+0.45554i,7196.2+0.4732i,7195+0.46583i,7239.6+0.47701i,7191.9+0.48153i,7170.5+0.46121i,7178.8+0.49992i,7166.4+0.48488i,7034.3+0.47428i,7116.5+0.47454i,7094.5+0.48537i,7426.5+0.49724i,7076.3+0.50507i,7219.1+0.4884i,7197.3+0.47308i,7240.8+0.48876i,7254.6+0.51594i,7210.1+0.46727i,7128.4+0.52117i,7041.6+0.48809i,6939.2+0.49875i,6946.3+0.49967i,7053.6+0.50078i,7210.6+0.52561i,6983.5+0.49719i,7338.5+0.51906i,6967.2+0.50342i,6733.8+0.50032i,6908.4+0.5258i,7162.3+0.49592i,7019.7+0.5145i,7096.1+0.50779i,7121.6+0.51322i,6891.6+0.5106i,7056.8+0.51405i,7043+0.53147i,7237.3+0.52876i,7104.1+0.52239i,7102.7+0.52384i,7307.9+0.52461i,7091.5+0.53878i,7165.9+0.53738i,7125.2+0.54275i,7375.4+0.54793i,7098.2+0.54094i,7382.9+0.55869i,7107.2+0.56895i,7225.1+0.53395i,7097.6+0.54929i,7163.4+0.58483i,7044.1+0.54714i,7308+0.54935i,7077.5+0.57045i,6926.2+0.5784i,7164.7+0.56854i,7102.3+0.55775i,6867.7+0.58117i,6952.6+0.58149i,7224+0.56752i
14869+0.21427i,14804+0.20613i,14692+0.20211i,14535+0.21248i,14033+0.20917i,14355+0.21423i,14170+0.20956i,14427+0.2103i,14396+0.21536i,14637+0.20307i,14600+0.20653i,14688+0.21705i,14905+0.20934i,13929+0.20982i,14367+0.2042i,14335+0.20676i,14115+0.2134i,14734+0.20968i,13875+0.21239i,13596+0.20955i,13938+0.21882i,14222+0.2121i,13649+0.21378i,13705+0.20716i,14190+0.21194i,13840+0.21087i,13776+0.21155i,13918+0.21109i,14123+0.21964i,13592+0.20517i,13763+0.21504i,13892+0.21269i,13904+0.21639i,14130+0.21095i,13733+0.21412i,13834+0.20239i,14090+0.21261i,14185+0.21085i,13539+0.20644i,14062+0.21181i,13113+0.20619i,13783+0.2085i,13955+0.20629i,13248+0.2222i,12851+0.21227i,13685+0.21377i,13154+0.22096i,12958+0.2177i,13230+0.21291i,12909+0.20837i,13855+0.21318i,13304+0.20366i,13877+0.21024i,13755+0.21236i,13235+0.21622i,13699+0.2101i,12722+0.21167i,13128+0.21539i,13591+0.22114i,13432+0.21708i,13228+0.21028i,12864+0.21428i,13286+0.21176i,13194+0.2165i,12928+0.20763i,13399+0.22277i,13207+0.20714i,13232+0.21519i,12961+0.22181i,13347+0.21371i,13150+0.21024i,12820+0.216i,13110+0.21497i,13095+0.21074i,13462+0.21807i,12963+0.22018i,12733+0.20605i,12755+0.21428i,13281+0.21276i,12725+0.21655i,12577+0.22237i,13040+0.22367i,13072+0.21884i,12780+0.21775i,12624+0.21644i,12284+0.21465i,12562+0.22255i,12402+0.21283i,12545+0.21705i,12462+0.2234i,12822+0.21555i,12185+0.22267i,12738+0.21928i,12523+0.21764i,12090+0.22202i,12171+0.22369i,12091+0.21929i,11852+0.22503i,12013+0.21741i,12577+0.22012i,12283+0.21929i,11857+0.21677i,12428+0.21656i,11805+0.21596i,12493+0.21477i,11784+0.22313i,11752+0.22349i,11914+0.22165i,11567+0.22806i,12198+0.22486i,11731+0.22709i,11574+0.22874i,11805+0.2303i,11919+0.23351i,11836+0.22347i,11309+0.22309i,11672+0.22892i,11315+0.22486i,11477+0.22564i,11485+0.23027i,11125+0.22983i,11343+0.23023i,11160+0.23222i,11108+0.22641i,11428+0.24259i,11027+0.24016i,10743+0.233i,10737+0.23886i,10834+0.23381i,10779+0.22645i,10618+0.2343i,11050+0.23731i,10893+0.23074i,10762+0.23932i,10525+0.24116i,10571+0.23714i,10413+0.24603i,10467+0.24628i,10515+0.24204i,10645+0.23403i,10229+0.24107i,10203+0.24877i,10630+0.23907i,10215+0.24575i,10055+0.2558i,9868.5+0.23785i,9869.6+0.25041i,10153+0.25609i,10038+0.2535i,10015+0.2533i,9528.3+0.24698i,9908.2+0.25125i,9707.8+0.24423i,10033+0.25066i,9898.4+0.24383i,9394.4+0.25399i,9519.2+0.24904i,9929+0.25461i,9935.7+0.25122i,9381.1+0.25726i,9299.4+0.25063i,9402.2+0.2649i,9506.1+0.26502i,9218.5+0.25655i,8916.3+0.26691i,9356.8+0.2627i,9152.5+0.27065i,9445.2+0.26681i,9191.1+0.25773i,9526.4+0.27139i,9026.1+0.27404i,8877.2+0.27265i,9115.3+0.27717i,9088+0.26909i,9137+0.2713i,9206.5+0.28823i,9054.3+0.2758i,8832.4+0.26884i,8844.6+0.27947i,8943.7+0.27462i,8566+0.27779i,8631.5+0.29269i,8512.7+0.27127i,8261.4+0.28833i,8453+0.28022i,8592.5+0.28501i,8751.7+0.28615i,8604.7+0.29224i,8703.5+0.28543i,8892.7+0.28146i,8720.2+0.27983i,8733+0.29227i,8358.8+0.29284i,8508+0.28166i,8507.1+0.28985i,8475.2+0.28378i,8300.1+0.28181i,8426.2+0.29034i,8072.3+0.29459i,8210.8+0.30255i,8241.8+0.29376i,8234.8+0.30601i,8554.8+0.28982i,8169.3+0.30404i,7983.4+0.30221i,7987.1+0.30477i,8292.3+0.31148i,8063.6+0.30748i,8041.1+0.3069i,8075.4+0.31528i,7834.8+0.31072i,8081.9+0.30982i,7885.1+0.30429i,7980.7+0.30882i,7940.4+0.31802i,7862.1+0.31593i,7887.5+0.3121i,7948.8+0.31635i,7832.4+0.31843i,7975.1+0.31735i,8146.7+0.31598i,7406.9+0.32109i,8042.3+0.31796i,7723.9+0.32382i,7465+0.33592i,7835.4+0.32312i,7764.3+0.32305i,7521.6+0.32934i,7590.2+0.33081i,7802.7+0.32325i,7947.7+0.32554i,7557.6+0.32635i,7620.8+0.33172i,7749.9+0.32902i,7793.9+0.33519i,7572.6+0.34102i,7554+0.33401i,7646.5+0.3369i,7572.4+0.34469i,7658.1+0.33309i,7795.5+0.35132i,7651.5+0.33281i,7299.8+0.33739i,7836+0.33007i,7596.4+0.33447i,7716.8+0.35803i,7841+0.35011i,7375.2+0.34839i,7632.4+0.33987i,7567.2+0.35657i,7705.1+0.33928i,7627.7+0.3576i,7531+0.35486i,7187.5+0.35837i,7415.3+0.36101i,7490.1+0.35308i,7459.3+0.34652i,7541.2+0.36129i,7436.7+0.36739i,7657.3+0.3637i,7248.4+0.36127i,7282.9+0.36274i,7456.1+0.37343i,7237.8+0.3693i,7304.6+0.36974i,7348.8+0.3626i,7511.7+0.37415i,7266+0.35434i,7576.2+0.37185i,7358.1+0.36517i,7267.5+0.38481i,7259.2+0.38151i,7581.7+0.36754i,7043.3+0.38587i,7561+0.37884i,7292.4+0.37814i,7348.3+0.38435i,7243+0.38438i,7323.3+0.38046i,7306.5+0.39254i,7246.8+0.38059i,7163.6+0.38473i,6869.3+0.38081i,7220.5+0.37497i,7275.1+0.37703i,7251.9+0.3957i,7270.4+0.39669i,7208.7+0.38621i,7194.1+0.39112i,7164.8+0.40754i,7335.7+0.39011i,7123.7+0.39585i,7316.9+0.39614i,7303.2+0.39711i,7285.8+0.39274i,7184.6+0.40733i,7457.3+0.40098i,7201.5+0.41312i,7277.3+0.4072i,6979.7+0.40152i,7388+0.40754i,7455.7+0.41359i,7438.2+0.44511i,7098.4+0.4148i,7380.4+0.40239i,7503.8+0.40645i,7134.3+0.41543i,7297.1+0.4073i,7141.7+0.41782i,7280.5+0.41538i,7381.1+0.41625i,7245+0.41825i,6972.8+0.44102i,7096.7+0.41315i,7098.1+0.40302i,7185.6+0.42186i,7428.9+0.42213i,7063.1+0.42145i,7258.8+0.42933i,7169.2+0.43403i,7058.7+0.4384i,7177.5+0.44742i,7229.1+0.42619i,7299.3+0.43018i,7015.9+0.44927i,6891.3+0.46379i,7257+0.45218i,7168.6+0.45584i,7249.3+0.46561i,7254.4+0.45124i,7025.8+0.44773i,7259.4+0.45365i,7185.8+0.46454i,7215.1+0.46153i,7507.6+0.45615i,7138.3+0.4432i,7374.1+0.46972i,7155.5+0.45477i,7160.1+0.46237i,6955.1+0.45924i,6974+0.46723i,7289.2+0.466i,7216.2+0.45659i,7094.2+0.47099i,7121+0.46072i,7162+0.47472i,7503.3+0.47938i,6848.3+0.48627i,7170.2+0.50363i,7038.3+0.4775i,7416.4+0.468i,7111.6+0.46999i,7145.3+0.50297i,7211.2+0.50377i,7184.7+0.47623i,7076.8+0.49913i,7140.2+0.50732i,7077.6+0.48949i,7197+0.49123i,7092.9+0.48809i,6986.3+0.50371i,6989.4+0.496i,7273.5+0.50476i,7127.4+0.51244i,6999.8+0.50883i,7248.6+0.49997i,6994.6+0.50473i,7091.8+0.51655i,7219.8+0.5012i,7222.2+0.51478i,7137.8+0.52862i,7045.2+0.50568i,7053.4+0.51806i,7294.6+0.52062i,7086.2+0.51629i,6960.5+0.54368i,7208.2+0.52457i,6955.8+0.52689i,7206.7+0.52876i,6967+0.51764i,7137.8+0.53105i,6969.9+0.51191i,7115.9+0.55833i,6937.5+0.5446i,7310+0.5404i,6989.7+0.54195i,6970.3+0.54345i,7078.8+0.54446i,6785.7+0.5406i,7233.3+0.53731i,7124+0.56042i,6981.6+0.55456i,7355.7+0.56847i,7110.5+0.56672i,7177.2+0.55794i,6928+0.56062i,7037.5+0.5501i,6999.4+0.57374i,7115+0.56766i,6740.4+0.57887i,7326.5+0.56557i
