16281+0.20685i,16428+0.21599i,16803+0.21533i,16545+0.21632i,16718+0.20415i,16793+0.2211i,16492+0.20744i,16753+0.21026i,16438+0.21009i,15825+0.20654i,15985+0.20426i,16303+0.2081i,16009+0.20536i,16266+0.21487i,16210+0.20725i,16386+0.20697i,16080+0.20804i,15985+0.20576i,16966+0.2149i,16374+0.20412i,16447+0.21252i,16271+0.20331i,16310+0.20816i,15928+0.21673i,15768+0.21123i,15780+0.21432i,16132+0.21337i,15849+0.20358i,16055+0.21483i,15603+0.20843i,15543+0.2094i,15659+0.21302i,15952+0.20979i,16246+0.21177i,15489+0.2131i,15584+0.2078i,15847+0.2104i,15677+0.21234i,16056+0.21908i,15562+0.20726i,15835+0.20964i,15416+0.21876i,15634+0.20826i,15442+0.20485i,15778+0.21122i,15255+0.21347i,15538+0.2139i,14779+0.21127i,15126+0.21974i,15360+0.20643i,15217+0.21481i,15623+0.21246i,15471+0.20942i,15543+0.21308i,15382+0.21317i,15362+0.2119i,15009+0.21347i,14638+0.21069i,15018+0.21381i,15332+0.20597i,14957+0.20965i,15098+0.21857i,15051+0.21425i,15361+0.21124i,15783+0.21414i,14462+0.21201i,14488+0.20769i,15468+0.21048i,14950+0.21439i,14874+0.20709i,14631+0.21874i,14736+0.22048i,15098+0.21361i,14979+0.21669i,15439+0.21235i,15293+0.21283i,14346+0.21432i,14320+0.21961i,14468+0.21611i,14209+0.22318i,14452+0.21793i,14389+0.21101i,14238+0.21576i,14767+0.22051i,14406+0.21689i,14195+0.21509i,14431+0.2267i,13979+0.20832i,13853+0.22059i,13827+0.21418i,14665+0.2104i,14624+0.213i,14417+0.21597i,13829+0.2132i,13820+0.2194i,13805+0.21979i,13923+0.22414i,13751+0.2212i,14020+0.22133i,13642+0.22255i,14163+0.22458i,14033+0.21622i,14194+0.2314i,13583+0.21042i,13934+0.22375i,13672+0.2312i,13233+0.23005i,13850+0.2258i,13872+0.21999i,13930+0.2288i,13332+0.23249i,13806+0.23603i,12926+0.2251i,13724+0.23116i,13228+0.2335i,13918+0.23224i,13385+0.22183i,13259+0.23144i,13198+0.23387i,13031+0.23615i,13157+0.22911i,12818+0.23505i,13195+0.23538i,12896+0.23482i,12664+0.22924i,12879+0.23902i,12263+0.23073i,12276+0.22483i,13124+0.23852i,12018+0.23901i,12915+0.2373i,12671+0.24092i,12849+0.24123i,12552+0.24149i,12535+0.23968i,12509+0.23825i,12272+0.23903i,12515+0.23401i,12518+0.23911i,11804+0.24795i,11881+0.2492i,11813+0.24886i,12102+0.24932i,11612+0.25046i,11387+0.25733i,11635+0.24843i,11867+0.25354i,11697+0.25447i,11535+0.2536i,11793+0.25866i,11430+0.26224i,11544+0.25017i,11626+0.26406i,11228+0.2565i,11211+0.26342i,11592+0.26138i,11178+0.26576i,11109+0.25562i,10999+0.26483i,11038+0.27379i,11256+0.25889i,10901+0.27066i,11175+0.26469i,11139+0.26548i,10794+0.27671i,11009+0.27424i,10845+0.26794i,10746+0.28166i,10648+0.26872i,10931+0.2866i,10637+0.27095i,10344+0.28284i,10111+0.28054i,10493+0.27976i,10490+0.27702i,10866+0.28994i,10700+0.2767i,10267+0.29208i,10214+0.28463i,10390+0.28008i,9734.3+0.28969i,10376+0.29526i,10318+0.29219i,9670.6+0.294i,10273+0.29486i,9785+0.29666i,9695.1+0.29372i,9634.2+0.30376i,9813.5+0.29392i,10002+0.29206i,9530.9+0.29915i,9830.9+0.29004i,9822.7+0.30406i,9592.9+0.30054i,9697.9+0.30518i,9656.7+0.30618i,9316.4+0.31824i,9552.3+0.31147i,9429.8+0.30995i,9375.3+0.30785i,9581+0.32378i,9634.5+0.30987i,9704.8+0.30449i,9157.1+0.31453i,9442.5+0.31872i,9430.1+0.312i,9157.4+0.32543i,9354.3+0.32766i,9305.2+0.31492i,9063.1+0.31101i,9070.8+0.31657i,9387.4+0.33408i,9065.7+0.32885i,9298.9+0.32997i,9088.2+0.32358i,9003.9+0.32741i,9087.3+0.33495i,9071.9+0.33364i,9083.9+0.32221i,9049.1+0.33118i,9111.8+0.33441i,8936.6+0.33922i,9045.8+0.3484i,9085+0.33217i,8688.9+0.33947i,9069.9+0.33528i,8900.7+0.35282i,8712.3+0.33296i,9059.2+0.33321i,8518.5+0.34418i,8653.6+0.34478i,9104.3+0.3352i,8891.8+0.35424i,9161.4+0.3588i,8990.2+0.35028i,8931.4+0.36079i,8564.3+0.35637i,8545.7+0.35653i,9035+0.36356i,8491.7+0.36118i,8668+0.36145i,8452.3+0.36873i,8587.3+0.37531i,8728.2+0.36693i,8513.1+0.36818i,8694.9+0.35747i,8669.8+0.36444i,8388+0.35595i,8712.4+0.36366i,8529.1+0.36631i,8803.1+0.37175i,8474.9+0.37834i,8661.6+0.36832i,8878.6+0.37357i,8099.3+0.36041i,8717.7+0.39466i,8286.8+0.38129i,8481.6+0.38401i,8555.7+0.39998i,8560.1+0.39523i,8463.6+0.38266i,8485.1+0.38936i,8524.1+0.39971i,8475+0.39705i,8505.4+0.38969i,8404.7+0.39604i,8581.4+0.39528i,8245.1+0.38143i,8490+0.404i,8385.6+0.39629i,8435.1+0.38979i,8338.1+0.40965i,8592.8+0.41905i,8365+0.39624i,8242.4+0.39568i,8454.4+0.4229i,8287.8+0.40985i,8175.9+0.40669i,8258.5+0.39956i,8050.4+0.4022i,8659.8+0.41594i,8155+0.41154i,8299.7+0.40321i,8405.4+0.40234i,8564.3+0.40923i,8211.9+0.42028i,8202.3+0.41724i,8415.9+0.42491i,8486.2+0.41526i,8147.9+0.42052i,8283.4+0.42318i,8491.4+0.42218i,8251.9+0.40771i,8699.5+0.42131i,8100.5+0.44967i,8362+0.42445i,8573.2+0.42082i,8264+0.43842i,8320.9+0.4503i,8127.9+0.44845i,8185.5+0.43193i,8246+0.44151i,8016.6+0.42354i,8060.5+0.44249i,8303.3+0.44255i,8434.2+0.45989i,7956.1+0.44185i,8228+0.45869i,8444.1+0.44934i,8293.4+0.45663i,8511.5+0.45297i,8269+0.44606i,8226.9+0.44111i,8269.4+0.46547i,8140.8+0.46103i,8013.9+0.44568i,8287.6+0.46999i,8348.3+0.4763i,8134.5+0.46912i,8275.7+0.47465i,8207.3+0.45988i,7986.5+0.47346i,8371.2+0.48008i,8211.1+0.47538i,8055.2+0.46743i,8143.4+0.4812i,8379.4+0.47443i,8190.9+0.47833i,8211.6+0.46791i,8110.5+0.47598i,8062.5+0.48915i,8401.7+0.49447i,8256.4+0.4871i,8294.4+0.4811i,8023.3+0.48937i,7943.9+0.48582i,8180.4+0.48471i,8377.1+0.50199i,8223.7+0.48824i,7768.7+0.50134i,8394.6+0.50808i,8241.4+0.50552i,7974.8+0.48808i,8329+0.50973i,8342.8+0.51523i,8604.5+0.51471i,8098.9+0.52147i,8136.2+0.52176i,7957.2+0.52429i,8215.9+0.53828i,8323.1+0.50749i,8366+0.52908i,8194.9+0.51055i,8291.2+0.52047i,7949.5+0.54707i,7951.3+0.53889i,8605.2+0.53224i,8263.2+0.53743i,8345+0.53769i,8461.5+0.52924i,8389.5+0.5281i,7897.5+0.53385i,8051.6+0.54834i,8201.1+0.54216i,8030+0.54004i,8125.6+0.54345i,8270.3+0.5582i,8372.7+0.55324i,8225.8+0.56043i,8447.6+0.55669i,8092.3+0.55318i,8318.5+0.58129i,8162.7+0.5883i,8365.8+0.5618i,7958.5+0.55871i,8039.3+0.57956i,8016.7+0.55913i,8240.2+0.55588i,8083.2+0.5909i,7859.9+0.57695i,8252+0.58203i,7922.8+0.56291i,7916.8+0.57582i,8240.1+0.58362i,7977.5+0.58067i,8310+0.58354i,8137.6+0.60316i,8201.8+0.6048i,8162+0.60559i,8103.4+0.60031i,8288.1+0.60632i,7975.3+0.60248i,8043.7+0.61764i,8153.7+0.62611i,8171.8+0.59817i,8131.7+0.61459i,8045.6+0.61496i,8009.2+0.63475i,7971.7+0.61052i,7997.5+0.62063i,8230.6+0.60517i
16826+0.20685i,16466+0.20565i,16212+0.20939i,16376+0.20282i,16710+0.2076i,15976+0.20737i,17318+0.20819i,15637+0.2106i,16610+0.20566i,16853+0.20911i,16310+0.2094i,16434+0.20931i,16519+0.20535i,16244+0.2069i,16169+0.21415i,16286+0.20529i,15852+0.21667i,16291+0.21906i,16131+0.21608i,15990+0.2142i,16121+0.20634i,15900+0.21879i,15303+0.21245i,15736+0.21276i,15590+0.21458i,16066+0.21489i,16301+0.20135i,15921+0.21128i,16141+0.20825i,16200+0.20942i,15686+0.20543i,15704+0.21302i,16036+0.21077i,15825+0.21453i,16008+0.21159i,16234+0.20624i,16041+0.21867i,15891+0.21984i,15830+0.21583i,14962+0.21123i,15874+0.2054i,15394+0.20929i,15887+0.20246i,15689+0.21253i,15571+0.21117i,15601+0.20942i,16045+0.20753i,15403+0.20195i,15568+0.21701i,15475+0.21612i,15526+0.21164i,15102+0.21398i,15298+0.21159i,15433+0.21548i,15238+0.20875i,15737+0.20972i,15481+0.22375i,15551+0.20988i,15127+0.21294i,15629+0.22038i,15148+0.21387i,15276+0.20924i,15463+0.21033i,15395+0.21817i,15437+0.20835i,14822+0.20582i,14792+0.21037i,14971+0.21497i,14504+0.22223i,14758+0.21931i,14776+0.21134i,14962+0.21378i,15192+0.21539i,15183+0.21327i,14922+0.21485i,14485+0.21633i,14459+0.21595i,14770+0.21725i,14598+0.22207i,14388+0.22242i,14449+0.21978i,14588+0.20884i,14423+0.20991i,14806+0.21317i,14254+0.21418i,14032+0.21667i,14791+0.22469i,14521+0.21685i,14507+0.22213i,14595+0.22379i,14532+0.21186i,14069+0.2273i,13835+0.21517i,13856+0.22155i,13970+0.22204i,13729+0.22207i,14378+0.23236i,14003+0.21916i,13910+0.23198i,13358+0.21341i,13588+0.21989i,13972+0.22195i,13511+0.22787i,14062+0.23285i,14185+0.2214i,13862+0.22561i,13848+0.23219i,13746+0.22301i,14135+0.23105i,13141+0.22342i,13465+0.22443i,13387+0.22489i,13791+0.2248i,13411+0.22709i,13058+0.23282i,13479+0.23318i,13385+0.24054i,13048+0.22546i,12814+0.23889i,12508+0.24031i,12636+0.23899i,13110+0.22805i,13068+0.2306i,12712+0.23975i,12630+0.23498i,12904+0.23757i,12510+0.23998i,12640+0.23605i,12258+0.2365i,12128+0.24153i,12609+0.24129i,12624+0.23574i,12321+0.24686i,12450+0.24131i,12415+0.25238i,12085+0.23465i,12369+0.25034i,12623+0.24798i,11745+0.25009i,11848+0.24751i,11922+0.24409i,12047+0.25073i,12223+0.25281i,11786+0.2534i,11559+0.25524i,11673+0.25202i,11851+0.25775i,11469+0.26068i,11159+0.25645i,11008+0.25136i,11600+0.25552i,11652+0.25184i,11117+0.25209i,11383+0.25949i,11250+0.26437i,11136+0.26082i,11040+0.25935i,11239+0.2598i,11177+0.27187i,10961+0.26869i,10638+0.25895i,10953+0.25764i,10732+0.27445i,11057+0.28118i,10796+0.27561i,10821+0.26752i,10697+0.27195i,10582+0.27398i,10812+0.27585i,10678+0.28002i,10636+0.28011i,10686+0.27829i,10592+0.28312i,10181+0.2863i,10417+0.28979i,10146+0.27043i,10042+0.28405i,10515+0.28859i,9991.8+0.28419i,10077+0.28954i,9972.8+0.28581i,10400+0.29923i,10073+0.29558i,9866.6+0.29254i,9735.2+0.29111i,9844.2+0.29339i,10121+0.28088i,10085+0.29968i,9961+0.30185i,9761.6+0.29449i,9597.9+0.31395i,9805.3+0.30974i,9747.1+0.30107i,9918.1+0.30249i,9673.9+0.3158i,9885.5+0.309i,9406.3+0.31271i,9382.9+0.3167i,9647.2+0.31032i,9463.3+0.3085i,9644.2+0.31508i,9608+0.31642i,9695+0.30516i,9731.9+0.31454i,9143.6+0.31044i,9550.9+0.32353i,9579.7+0.32581i,8886.2+0.31939i,9139+0.32686i,8949.4+0.33312i,9496.8+0.32851i,9155.4+0.32747i,9201.9+0.32461i,9208.9+0.33028i,9283.3+0.32959i,8830.7+0.32626i,9284.6+0.32903i,9287.1+0.33132i,9072.8+0.33341i,9252+0.3425i,9273.8+0.34045i,9096+0.3415i,9079.3+0.3365i,8912.9+0.33209i,8832.1+0.34387i,8812.7+0.32735i,9264.6+0.34953i,8933.9+0.34008i,8952.2+0.34196i,8739+0.33643i,9108.2+0.34981i,8727.3+0.33517i,8869.6+0.34009i,8902.4+0.35335i,9005+0.35958i,8778.2+0.35597i,8727.7+0.35539i,8798.3+0.35762i,8978+0.3599i,8918.6+0.35107i,8760.8+0.36342i,9014.3+0.36085i,8503.1+0.37173i,8599.1+0.36194i,8326.7+0.36879i,9174.2+0.36159i,8684.9+0.36604i,8709.7+0.37329i,8653.8+0.36886i,8783.8+0.37641i,8331.9+0.36792i,8666.1+0.35844i,8672.4+0.37224i,8727.6+0.37927i,8658.2+0.37804i,8686.4+0.38213i,8371.4+0.40461i,8744.9+0.3772i,8595.1+0.38988i,8651.4+0.38954i,8373.4+0.36501i,8333.9+0.40455i,8325.3+0.38899i,8449+0.40059i,8384.4+0.38761i,8341.4+0.39651i,8489.5+0.39293i,8225.3+0.39316i,8173.6+0.39048i,8330.2+0.40596i,8610.8+0.39037i,8276.6+0.40916i,8178.1+0.41177i,8294.3+0.40986i,8437+0.41809i,8597.5+0.39923i,8764.2+0.4096i,8438.6+0.41011i,8412.6+0.39869i,8351.5+0.41276i,8613.2+0.4206i,8387.5+0.40973i,8527.8+0.39955i,8378.1+0.42329i,8387.9+0.40772i,8557.6+0.41394i,8100.7+0.41865i,8321.6+0.42055i,8233.1+0.42729i,8360.2+0.43136i,8458.9+0.43185i,8228.7+0.41047i,8130.4+0.42329i,8123.6+0.43008i,8241.8+0.43732i,8189.3+0.44735i,8284.5+0.44452i,8294+0.43235i,8037.1+0.43757i,8350.7+0.43493i,8245.3+0.4372i,8304.3+0.44569i,8302+0.45377i,8098.6+0.43282i,8263.7+0.44481i,8552+0.4397i,8296.8+0.44836i,8167.9+0.44991i,8116.6+0.44395i,8279.6+0.46083i,8431.4+0.45505i,8529.3+0.45344i,8323.1+0.46746i,8403.8+0.47003i,8261.2+0.47395i,7921.9+0.46053i,8207.9+0.46237i,8144.7+0.45745i,8062+0.46848i,8157.5+0.47211i,8473.7+0.46819i,8380.6+0.48096i,7988+0.47623i,8187.6+0.4927i,8187.9+0.47985i,8244.5+0.49137i,8443.3+0.47239i,8276.9+0.4948i,8054.4+0.46988i,8027.5+0.48974i,8032.8+0.50262i,8312.8+0.50814i,8020.6+0.48482i,8296.3+0.50913i,8142.7+0.48778i,8341.6+0.49436i,8183.4+0.48712i,8115.3+0.50326i,8157.6+0.50247i,8388.6+0.51137i,8087.9+0.50739i,8079.3+0.50479i,8200.3+0.50685i,8388.6+0.50571i,8469.1+0.5032i,8513.9+0.51036i,8224.3+0.50802i,8040.7+0.5212i,7892.4+0.51984i,8185+0.50197i,8317.3+0.51888i,8303.3+0.51528i,8241.2+0.51751i,7863.7+0.51737i,8040.1+0.55536i,8007+0.53325i,8306.6+0.52133i,8318.7+0.52455i,8171.9+0.52699i,8171.3+0.53364i,8117+0.54197i,7943.2+0.54401i,8203+0.56089i,8247.3+0.56418i,7950.4+0.54992i,8155.5+0.56039i,8074.2+0.5548i,8104.1+0.54578i,8370.6+0.55884i,8042+0.54883i,8066+0.54414i,8093.9+0.56455i,8112.3+0.58051i,8204.6+0.57331i,8062.1+0.56292i,8132.8+0.56065i,8071+0.58287i,8077.5+0.56035i,7999.7+0.57983i,8211+0.57333i,8161.4+0.58694i,8214+0.56973i,8393.8+0.58765i,8050.1+0.59087i,7957.4+0.59873i,8042+0.59719i,8571.6+0.57433i,8251.1+0.60925i,7875.5+0.59065i,8022.7+0.59846i,8148.8+0.60713i,7888.2+0.60768i,8009.2+0.60664i,8066.6+0.61283i,8286.6+0.60724i,8276+0.61089i,7946.1+0.62003i,8102.3+0.62288i,8318.4+0.61736i,7929.2+0.62533i,8228.3+0.63145i
16760+0.20013i,16894+0.21537i,16644+0.2091i,17456+0.21586i,17242+0.21427i,16717+0.20817i,16279+0.20998i,16625+0.20775i,16213+0.21092i,17183+0.20987i,16667+0.2103i,16880+0.21586i,16258+0.20387i,16250+0.20263i,15753+0.21153i,16247+0.21355i,15950+0.21259i,16004+0.20785i,16557+0.21045i,16070+0.20817i,16310+0.218i,15242+0.20802i,16152+0.21315i,16154+0.20605i,15707+0.21012i,15651+0.21393i,15633+0.20736i,16170+0.21192i,15688+0.21537i,16234+0.2128i,15923+0.21264i,15705+0.21708i,15469+0.20553i,15484+0.20622i,15570+0.21508i,15262+0.215i,15595+0.21126i,15836+0.21549i,15373+0.21165i,15671+0.21443i,15689+0.21236i,15710+0.20766i,15488+0.21226i,15244+0.20968i,15306+0.21722i,15273+0.21556i,15908+0.20846i,15576+0.20816i,15584+0.21089i,15485+0.21172i,15209+0.22186i,15796+0.21369i,15469+0.20989i,15374+0.21227i,15114+0.21296i,15149+0.2166i,14767+0.21029i,15135+0.21178i,15482+0.21119i,15429+0.21572i,15239+0.22393i,15115+0.20713i,15358+0.20278i,15548+0.21072i,15123+0.21368i,15268+0.21035i,14414+0.21178i,14871+0.21629i,15187+0.20945i,14240+0.22205i,15303+0.20886i,15179+0.22326i,15209+0.21103i,14581+0.21538i,14987+0.22055i,14941+0.21359i,14784+0.22478i,14873+0.22065i,14488+0.21845i,14674+0.21741i,14623+0.21656i,14465+0.21499i,14444+0.21222i,14500+0.21785i,14800+0.22377i,14528+0.21906i,14526+0.22015i,14247+0.22039i,14225+0.21975i,14307+0.21907i,13815+0.21487i,13770+0.21855i,13992+0.2256i,14655+0.2141i,14267+0.2139i,14153+0.21801i,14168+0.21998i,14242+0.21632i,14124+0.22239i,14040+0.22922i,13894+0.21275i,13264+0.22476i,13906+0.22077i,13900+0.23109i,13937+0.22741i,13794+0.22775i,13971+0.23057i,13248+0.22719i,13734+0.22682i,13492+0.23117i,13191+0.229i,13673+0.23193i,13353+0.22636i,13429+0.23162i,13348+0.23086i,13110+0.23285i,12856+0.23741i,13054+0.22877i,13097+0.22993i,13084+0.23658i,13220+0.23521i,12445+0.22654i,12862+0.22978i,12957+0.23675i,13265+0.22879i,12076+0.24101i,12888+0.24317i,12345+0.2412i,12613+0.2477i,12533+0.241i,12530+0.24195i,12333+0.23985i,12386+0.23798i,12714+0.24554i,12587+0.2445i,12006+0.24223i,11605+0.24727i,12192+0.25042i,12049+0.24235i,11929+0.24592i,12238+0.252i,11941+0.26154i,11884+0.25005i,12037+0.24146i,11528+0.25857i,12284+0.26169i,11614+0.25082i,11311+0.25949i,11479+0.2579i,11953+0.25821i,11459+0.25647i,11408+0.25447i,11101+0.26388i,11388+0.25931i,11233+0.25783i,11096+0.26i,11029+0.27285i,11343+0.2629i,10913+0.26818i,11232+0.26578i,10605+0.26959i,10900+0.26641i,10630+0.27459i,10771+0.27623i,10670+0.27335i,10607+0.27091i,10627+0.27189i,10730+0.2737i,10605+0.2782i,10192+0.27571i,10570+0.27867i,11008+0.27954i,10339+0.27262i,10384+0.28186i,10040+0.27713i,10122+0.27449i,10201+0.28375i,10336+0.28272i,10371+0.28091i,10061+0.28927i,10182+0.29535i,10218+0.28409i,10343+0.28796i,10097+0.28967i,9977.7+0.29824i,9920.9+0.30168i,9951.5+0.29937i,9824.6+0.2913i,9699.8+0.29335i,9755.2+0.30189i,9656.2+0.29554i,9933.3+0.29827i,9506.1+0.30083i,9588.7+0.30424i,9749.8+0.30654i,9830.3+0.30911i,9454.5+0.31288i,9521.8+0.31218i,9031.8+0.30419i,9466.2+0.30167i,9719.1+0.32232i,9512.4+0.30526i,9324.1+0.32812i,9368.9+0.325i,9109.9+0.32507i,9355.2+0.31682i,9532.9+0.32172i,9233.9+0.31485i,9307.1+0.32744i,9371.8+0.3104i,8934.4+0.33444i,9287.4+0.31785i,9415.6+0.33631i,8929.9+0.33863i,9086.8+0.32976i,8922.3+0.33495i,8933.8+0.33231i,9095.4+0.3391i,9143.7+0.33122i,8921+0.33539i,8861.8+0.33147i,9080.1+0.33368i,8772.7+0.3348i,8717.4+0.34898i,8960.6+0.33471i,9207.9+0.33933i,8792.7+0.3313i,8736.9+0.35119i,9019.5+0.34959i,8939.3+0.3481i,8793.5+0.3423i,8828.9+0.34967i,8679.8+0.35528i,8912.3+0.35236i,9269.4+0.37008i,8983.7+0.3556i,8791.9+0.35452i,8703.9+0.35694i,8811.1+0.34252i,8675.9+0.36102i,8741.2+0.35904i,8308.5+0.36734i,8740.3+0.36532i,8517.7+0.36693i,8752.7+0.35884i,8722.6+0.36967i,8860.1+0.35946i,8547+0.35672i,8459+0.35963i,8408.8+0.36488i,8739.2+0.36738i,8651.5+0.36901i,8755.7+0.36712i,8430+0.37059i,8756.9+0.37094i,8472+0.38196i,8322.3+0.38253i,8707.5+0.38874i,8578.6+0.37662i,8464.2+0.3847i,8479.6+0.39154i,8798+0.38751i,8542.1+0.38767i,8428.8+0.38626i,8647.1+0.38376i,8499.9+0.38294i,8737.7+0.39332i,8600.6+0.3971i,8544.3+0.39713i,8226+0.39303i,8520.2+0.40068i,9059.8+0.40414i,8514.6+0.40823i,8430.9+0.41035i,8585.9+0.40839i,8345.6+0.4035i,8166.6+0.41156i,8500.1+0.4144i,8270.6+0.38709i,8629.3+0.40954i,7999.6+0.4115i,8194.3+0.4058i,8263.9+0.42281i,8417.5+0.41366i,8147.9+0.42455i,8204.3+0.4061i,8565.5+0.4159i,8229.3+0.40737i,8170.4+0.40829i,8413.9+0.41203i,8286.8+0.42407i,8501.6+0.417i,8400.5+0.42405i,8097.1+0.42421i,8202.4+0.44212i,7983.6+0.41104i,8541.9+0.44352i,8298.5+0.44173i,8504.2+0.42575i,8199.7+0.42939i,8342.5+0.44037i,7965.4+0.4383i,8332.1+0.43987i,8193.7+0.44555i,8559.8+0.43859i,8413+0.43964i,8100+0.45752i,8217.7+0.44151i,8376.3+0.4488i,8456.5+0.45654i,8276.5+0.45625i,8306.5+0.46236i,8512.3+0.44489i,8402.6+0.44654i,8121.9+0.46824i,8209.3+0.47205i,8144.7+0.45587i,8117.9+0.4716i,8121.1+0.46579i,8057.8+0.47911i,8265.3+0.46195i,8606.6+0.48614i,8080.5+0.46544i,8359.8+0.48473i,8231.2+0.47492i,8282.9+0.47778i,8384.5+0.4744i,8091.6+0.4687i,8481.9+0.47359i,8440.1+0.47992i,8339.1+0.49557i,8354.8+0.49318i,8446.4+0.47879i,8049.5+0.49318i,7933.9+0.49445i,7940.2+0.51218i,8253.2+0.5047i,8111.7+0.5086i,7889.4+0.51389i,7982.2+0.52583i,8028.4+0.51021i,8416.5+0.51158i,8175.6+0.52322i,8466.1+0.50557i,8297+0.51863i,8042.8+0.51274i,8458.8+0.50918i,8214+0.50978i,8545+0.51309i,8237.7+0.53561i,8304.6+0.52614i,8291+0.52806i,8219.8+0.52436i,8089.2+0.53801i,8117.2+0.53033i,7939+0.539i,8250.2+0.50316i,7944.5+0.53324i,8233.7+0.54371i,7948.6+0.53894i,8386.6+0.51875i,7688.3+0.56447i,8315.5+0.53235i,8282.4+0.54569i,8335.8+0.54798i,8290.2+0.54857i,8127+0.56428i,7993.5+0.54171i,8236.4+0.56096i,7925.3+0.5417i,8105.9+0.56579i,8138.6+0.55424i,8142.2+0.58135i,8156+0.56537i,8233.1+0.55811i,8058.4+0.57295i,8091.6+0.56478i,8308.4+0.5779i,8220.6+0.5994i,7928.9+0.57453i,7972.4+0.59105i,8261.2+0.59374i,8048.1+0.59167i,8199.5+0.58689i,8273.9+0.59208i,7892.5+0.58813i,8148.4+0.58959i,8233.7+0.58296i,8208.5+0.61278i,7850.6+0.60091i,8208.1+0.59946i,8157.5+0.60623i,7699.2+0.60205i,8190.5+0.6039i,8457.5+0.62097i,8216.7+0.63304i,8257.4+0.63478i,8087.3+0.63921i,7973+0.63265i,8434.2+0.60424i,8301.9+0.63658i
