15703+0.21192i,14845+0.20519i,14602+0.22041i,15750+0.16931i,14871+0.19566i,15306+0.23999i,14516+0.20489i,15287+0.17618i,14932+0.22707i,13351+0.20021i,13484+0.2156i,16394+0.21725i,13846+0.19482i,12972+0.20966i,14026+0.24167i,14211+0.21231i,13162+0.21876i,14449+0.17792i,13223+0.23331i,11428+0.19709i,13122+0.22752i,12203+0.22345i,12582+0.20102i,10166+0.23572i,12626+0.18236i,13999+0.18285i,12592+0.21441i,13670+0.16905i,15733+0.21315i,12043+0.15991i,13174+0.23059i,13091+0.22366i,16160+0.21663i,14088+0.21964i,15187+0.23006i,15399+0.20897i,12214+0.22855i,10860+0.1949i,14660+0.21182i,16516+0.20872i,15838+0.20404i,13044+0.2353i,12884+0.17392i,17340+0.24744i,14823+0.22085i,11614+0.20934i,14128+0.18923i,14617+0.17475i,13685+0.2157i,16180+0.22395i,13781+0.187i,13749+0.20606i,13168+0.19336i,14612+0.24016i,14019+0.26823i,12504+0.22419i,12212+0.19358i,12085+0.1789i,12649+0.19039i,12550+0.21313i,13419+0.20447i,11704+0.22439i,14872+0.18796i,14424+0.20823i,14371+0.24346i,13936+0.19683i,12024+0.20716i,14346+0.18975i,12439+0.23353i,12957+0.20593i,14792+0.21921i,12369+0.28087i,13760+0.2493i,12390+0.21497i,12241+0.22632i,12002+0.199i,11825+0.20798i,10407+0.21074i,13810+0.22681i,13092+0.20598i,13478+0.21739i,13416+0.22942i,12463+0.2429i,12037+0.22945i,12285+0.23981i,10677+0.21179i,13987+0.21196i,11478+0.19317i,11534+0.23576i,13798+0.23003i,13790+0.23119i,11844+0.24299i,11507+0.22042i,12056+0.22023i,13654+0.21803i,10482+0.21596i,14348+0.27235i,10133+0.23834i,12797+0.2584i,12835+0.19242i,12653+0.18606i,12109+0.21909i,14693+0.23008i,13040+0.23484i,11622+0.20762i,11729+0.23254i,13199+0.20606i,10947+0.19922i,11485+0.24656i,11870+0.20659i,12755+0.19883i,11490+0.21721i,11488+0.20343i,10217+0.2279i,13214+0.19921i,14425+0.23813i,10158+0.18635i,11822+0.16139i,11244+0.22851i,11996+0.2335i,10522+0.21924i,9873.6+0.26212i,10253+0.24857i,11838+0.27323i,11497+0.22006i,9805.4+0.25082i,12734+0.19086i,11671+0.26061i,10090+0.23271i,11142+0.20383i,10489+0.23824i,10675+0.23508i,11201+0.23353i,11901+0.21147i,11865+0.24689i,10487+0.2549i,10356+0.28118i,9696.1+0.21857i,11289+0.23026i,12084+0.25802i,9902+0.22354i,8183.3+0.22274i,9118.5+0.21929i,10501+0.1799i,9033.5+0.25169i,11242+0.22828i,10244+0.24858i,11917+0.28746i,9249.6+0.23581i,9821.5+0.19963i,9584.5+0.32793i,9261.9+0.21458i,7956.4+0.2566i,11552+0.28004i,10290+0.24955i,8289.1+0.21753i,9963.5+0.26742i,8072+0.26585i,9854.1+0.24603i,10369+0.29602i,10981+0.27686i,9488.6+0.25496i,9427+0.25643i,10564+0.22045i,7605.5+0.23161i,9303.9+0.23402i,8709.9+0.24103i,9168.2+0.28653i,9797.9+0.26649i,10808+0.28889i,8007.2+0.17794i,8857.5+0.25932i,9330.8+0.21994i,10377+0.23125i,8866.3+0.24946i,8063.3+0.3133i,9438.8+0.29108i,8919.2+0.28001i,8118.5+0.27336i,10708+0.3158i,8888.6+0.30851i,8666+0.29286i,9024.6+0.28407i,9654.1+0.27738i,8966.4+0.29883i,9507.6+0.26673i,9656.2+0.26705i,10557+0.25783i,7689.2+0.31102i,9264.1+0.25234i,10138+0.2907i,9865.1+0.28828i,9371.1+0.27271i,7464.1+0.30723i,8266.3+0.3042i,6658.8+0.23411i,8127.3+0.27868i,7028+0.27107i,9265.2+0.28398i,8330.9+0.29356i,7315.2+0.251i,7073.9+0.28782i,8707.5+0.31505i,9071.3+0.34644i,7185.4+0.29656i,7581.6+0.31373i,8916.3+0.24832i,8279+0.34863i,9473.4+0.29761i,9755.5+0.33499i,7847.4+0.34715i,8259.6+0.26771i,7820.1+0.32779i,7693+0.3075i,8772+0.28551i,6848.2+0.32053i,8733.8+0.31828i,7337.7+0.34274i,8057+0.27236i,8615+0.27334i,6884.2+0.31079i,6262.3+0.3432i,7313.5+0.40056i,6890.8+0.3259i,7604.9+0.32281i,7293+0.23555i,7381.7+0.25752i,7847.1+0.33234i,6537.2+0.40349i,7458.9+0.30596i,7612.2+0.31232i,7916+0.37051i,6924.5+0.34397i,8349.3+0.36392i,7399.2+0.35283i,6792.9+0.34901i,7525.3+0.34184i,5718.9+0.30526i,7642.1+0.34192i,7721.1+0.3142i,7551+0.37701i,7591.9+0.34717i,6636.5+0.29077i,8133+0.28814i,7954+0.38258i,7251.2+0.30383i,7078+0.35105i,7422.1+0.38122i,6666.7+0.3765i,8628.8+0.4032i,7825.4+0.32919i,8072.8+0.36864i,6108.7+0.34436i,7712.8+0.34786i,8072.8+0.31316i,6966.2+0.31045i,6372.8+0.34767i,7235+0.39043i,7807.9+0.37391i,7968.9+0.39384i,6635.7+0.42903i,9589.2+0.38025i,7213.3+0.35073i,7428.1+0.3199i,8305.9+0.35086i,7947.5+0.37881i,8384.5+0.37102i,7050.3+0.33079i,7454.9+0.39966i,7558.9+0.38127i,9114.6+0.39255i,7935.9+0.35023i,8520.7+0.36339i,6941.4+0.37055i,7771.2+0.37791i,5965.3+0.39248i,7240.4+0.36244i,7653.1+0.32817i,6514.3+0.38838i,8288.5+0.36832i,6590.8+0.33635i,6764.7+0.36784i,7381.8+0.32305i,7944.3+0.38732i,6723.2+0.40862i,7223.5+0.41425i,5741.6+0.37339i,8276.3+0.39907i,6485.2+0.40034i,8094.9+0.38667i,6499.4+0.39267i,6993.6+0.40979i,7143.7+0.47392i,7880.7+0.40476i,6712.8+0.32288i,5908.5+0.3863i,6998.3+0.42284i,8269.5+0.36808i,8145.6+0.40417i,8937.5+0.45287i,7161.5+0.38465i,7206.1+0.41578i,8125.7+0.48167i,8660.3+0.40237i,7827.7+0.41531i,7384.9+0.41204i,7092.9+0.37456i,6911.1+0.40927i,6702.6+0.41413i,6685+0.49539i,7649.3+0.35758i,7434.5+0.34301i,6968.5+0.42071i,7447.9+0.37892i,7889+0.43916i,7418.5+0.3663i,7108+0.40975i,8049.9+0.49232i,7121.2+0.43327i,6181.8+0.46867i,7259.7+0.53545i,6886.6+0.36426i,6939.4+0.48247i,5787.1+0.50458i,6950.7+0.42941i,5906.4+0.44842i,6421.7+0.47491i,9598.7+0.47846i,7342.9+0.46917i,7290.2+0.44421i,7063.6+0.478i,5686.4+0.41433i,6282.7+0.48187i,6682.8+0.39766i,8297.7+0.39306i,7672.7+0.51555i,6259.7+0.46802i,7395.2+0.49834i,7353.7+0.52755i,7686+0.47235i,7530.8+0.50793i,6659.7+0.39668i,7064.1+0.41686i,6982.6+0.49161i,7479.1+0.47053i,8132.6+0.45278i,6657.5+0.518i,6451+0.46619i,7034.8+0.49113i,7062.4+0.45706i,7328.6+0.44972i,6504.2+0.47539i,7911.7+0.46208i,8625.3+0.46925i,6313.4+0.47934i,7336.9+0.38393i,6576.3+0.5696i,6922+0.46024i,7484.2+0.52113i,7846.5+0.50517i,7063+0.44698i,5933+0.42819i,7834.7+0.52186i,7152.5+0.52427i,6371.5+0.53078i,7177.1+0.50708i,5684+0.57776i,6881+0.42294i,7174.8+0.47813i,6455.9+0.44387i,7968+0.56083i,7841.2+0.51326i,7458.2+0.50468i,7680.6+0.56085i,7481.6+0.51653i,6966.7+0.37582i,5982.8+0.45972i,7459.9+0.55196i,6438.8+0.42392i,7181.4+0.55292i,8142.2+0.39326i,6186.9+0.61213i,8439.2+0.57365i,6875.2+0.61216i,6916.1+0.47882i,6328.7+0.64284i,6467.5+0.56829i,6262.4+0.55472i,7110.5+0.53602i,6494.9+0.60198i,6838.8+0.47006i,7257.9+0.52131i,6806.9+0.55906i,7693.9+0.63076i,8435.1+0.49037i,6661+0.47148i,6798.4+0.52375i,6140.7+0.57767i,7145.8+0.53289i,6488.7+0.55569i,6012.7+0.56407i
14972+0.1866i,16637+0.20318i,16204+0.22896i,14217+0.18793i,16228+0.21722i,12740+0.19742i,10789+0.19207i,12916+0.25636i,13496+0.23191i,15582+0.19847i,13525+0.20551i,15356+0.21334i,12525+0.22672i,15753+0.18953i,12454+0.23039i,13797+0.18848i,14039+0.23742i,14185+0.21988i,14685+0.18334i,13273+0.22295i,14982+0.22855i,12234+0.20117i,13005+0.20907i,12192+0.18114i,15908+0.20763i,15270+0.2596i,13218+0.20882i,16506+0.16894i,14534+0.20172i,15039+0.19851i,14276+0.19726i,14425+0.20848i,13865+0.26116i,15709+0.21039i,14468+0.20031i,13418+0.19752i,14344+0.22174i,13735+0.20845i,13481+0.20934i,15916+0.26728i,12549+0.22285i,16572+0.19144i,15033+0.22254i,13792+0.23472i,11594+0.19503i,14113+0.21581i,14633+0.17256i,11862+0.17774i,11127+0.21664i,15169+0.1703i,11667+0.21341i,13535+0.23849i,15970+0.20698i,12585+0.20894i,14068+0.20707i,13292+0.19638i,12017+0.20151i,13702+0.21711i,12171+0.23025i,11579+0.21268i,11055+0.21142i,16103+0.19324i,13034+0.23127i,12889+0.2007i,14926+0.21653i,16277+0.25458i,11789+0.22629i,15067+0.22151i,12908+0.20165i,11368+0.19069i,13609+0.20328i,12154+0.21233i,12073+0.2149i,15084+0.21217i,14166+0.16926i,10941+0.22561i,13678+0.19497i,14105+0.19909i,12527+0.22802i,12680+0.19045i,14847+0.26867i,13259+0.17125i,13867+0.23248i,12329+0.18418i,11584+0.20272i,11990+0.19937i,12124+0.19773i,9500.2+0.18467i,10613+0.24525i,12723+0.22793i,14071+0.23627i,12604+0.21791i,11471+0.2285i,12174+0.19996i,10328+0.24591i,12992+0.23013i,12108+0.21494i,13265+0.23121i,10781+0.23179i,14518+0.22983i,11661+0.20612i,13213+0.25983i,11201+0.2402i,11393+0.20733i,12316+0.20038i,11898+0.22802i,8611.8+0.21198i,12802+0.2226i,11944+0.26216i,12316+0.25358i,12606+0.22662i,10369+0.19747i,13345+0.21671i,11044+0.23775i,11664+0.21735i,13418+0.18463i,10818+0.20655i,11952+0.27482i,13523+0.22305i,10795+0.25828i,9498.4+0.225i,11095+0.22573i,9540.7+0.20965i,12228+0.22089i,10479+0.21255i,9963.1+0.23884i,10769+0.23533i,11824+0.28746i,9054+0.20965i,13979+0.29414i,10102+0.24855i,9779.9+0.26882i,11236+0.25241i,10964+0.25171i,10979+0.24395i,12408+0.19785i,9581+0.28055i,10438+0.24529i,9419.6+0.30378i,11794+0.24277i,10561+0.19456i,11307+0.25381i,9756.1+0.25606i,11141+0.19075i,10318+0.25313i,11216+0.25139i,9121.3+0.23647i,10360+0.23682i,10555+0.27582i,11969+0.27843i,10248+0.21538i,12092+0.26283i,12508+0.33499i,8617.7+0.28902i,11160+0.23361i,9789+0.26442i,8756.3+0.27575i,8606.7+0.2346i,9765.4+0.28506i,9928.2+0.21828i,8914.3+0.27569i,9880.4+0.22345i,10905+0.23599i,9005.7+0.26163i,12478+0.26665i,9641.4+0.25114i,9990.9+0.25259i,10078+0.26224i,8354+0.24082i,10365+0.2643i,10400+0.31782i,9231.1+0.27048i,9620.5+0.26492i,8569+0.28447i,6927.8+0.2356i,9613.4+0.28389i,10576+0.29036i,9045.6+0.31664i,8497.3+0.28591i,9417.3+0.24535i,9981.9+0.27686i,8396.5+0.27821i,9735.9+0.30564i,9196.4+0.28226i,7640.6+0.29533i,7834+0.32562i,8738.5+0.3018i,9235.2+0.26977i,9174.5+0.288i,7746.4+0.25764i,8540.3+0.24027i,8393.3+0.28807i,9092.4+0.2858i,8299.2+0.28634i,9114.2+0.34032i,8980.6+0.32297i,9044.6+0.27814i,8776.9+0.32311i,8993+0.33347i,9025.7+0.32745i,7895.6+0.2744i,8838+0.29951i,8772+0.33326i,8383.8+0.31322i,7219.2+0.33586i,7465.8+0.29252i,9392.8+0.31655i,6818.9+0.35283i,8218.6+0.30199i,8657.6+0.3086i,9098.2+0.32016i,8558.6+0.26552i,8089.6+0.2797i,7654+0.30761i,6931.4+0.29581i,9175.5+0.33745i,8763+0.33308i,7522.2+0.33147i,9451.5+0.25591i,7689+0.28535i,8051.4+0.30947i,9051.6+0.30483i,8377+0.31876i,7495.8+0.34035i,7430.6+0.3506i,8191+0.33152i,8129.2+0.37219i,7268+0.28129i,7385.5+0.29847i,8038.3+0.40796i,7021.1+0.33871i,7486.6+0.32572i,8443.6+0.36793i,8643.7+0.31968i,8413.6+0.29123i,6638+0.37542i,7948.1+0.35978i,7821.5+0.31024i,6963+0.31724i,8876.5+0.38061i,7522.1+0.38986i,7113.5+0.29767i,6859.1+0.36697i,7118.7+0.34568i,7883.6+0.34681i,8733.6+0.34686i,8744.3+0.39193i,8005.7+0.40759i,9176.7+0.29919i,7983.1+0.31877i,6321.7+0.42403i,7698.9+0.362i,8925.4+0.38093i,8007+0.35074i,8462.5+0.36072i,7301.5+0.32385i,7724.6+0.40888i,6574.5+0.37909i,7376.6+0.31842i,8262+0.36266i,7485.9+0.38504i,7285.6+0.31952i,6731.3+0.3993i,7441.9+0.3981i,7633.8+0.44029i,6310.2+0.38094i,6358.6+0.42454i,7690.4+0.33775i,7897.4+0.37328i,6403.2+0.39554i,7423.2+0.3208i,5854.8+0.34016i,7971.3+0.33835i,8145.5+0.35568i,8106.6+0.36732i,8516.9+0.43195i,5799.9+0.38952i,7735.2+0.34667i,7356.1+0.42978i,7014.5+0.45361i,7186.6+0.4199i,5682.8+0.38685i,7605+0.34938i,7278.8+0.43579i,7144.3+0.38768i,8009.4+0.36441i,7314.6+0.4038i,7603.9+0.39816i,7494.8+0.37532i,7150.5+0.37296i,8557.8+0.43065i,7083.4+0.37271i,7263.6+0.49028i,7106.9+0.42333i,6957.3+0.41538i,6959.5+0.35975i,7292.9+0.39282i,7653.2+0.46758i,7272.9+0.34841i,5838.6+0.42242i,7542.3+0.43755i,7641+0.37076i,7046.9+0.38758i,7109.3+0.33385i,8219.8+0.38085i,6472.2+0.35889i,7057.6+0.40719i,7812.5+0.3469i,8079.2+0.3758i,7218.1+0.37643i,6526.7+0.46298i,5999.1+0.37327i,8860.7+0.42672i,5694.9+0.47585i,6897.8+0.39888i,6773.2+0.39833i,8078.5+0.46779i,7061.6+0.47622i,7209.5+0.39098i,7947+0.39758i,6813.5+0.4257i,7790.1+0.38515i,5645.5+0.45038i,6899.1+0.47366i,7959.6+0.39158i,7029.3+0.48595i,6239.3+0.39166i,7694.9+0.50463i,7329.1+0.47867i,7275.8+0.46765i,7241.2+0.34403i,7790.2+0.48578i,7928.1+0.49191i,7426.4+0.39518i,5666.1+0.40345i,7888+0.47497i,6771.1+0.49182i,5876+0.45071i,6934+0.44815i,5779.9+0.46231i,7056.2+0.47513i,6933.7+0.50077i,7181.5+0.43376i,7082.6+0.54875i,7670.9+0.52994i,8243.5+0.50537i,8090.7+0.50212i,5551.8+0.42488i,7480.5+0.45568i,7647.2+0.51864i,7059.8+0.41281i,8481.9+0.53614i,7003.5+0.5554i,6871.3+0.47927i,5826+0.44387i,6462+0.463i,6425.5+0.45511i,5970.5+0.45028i,6554.6+0.38584i,7644.4+0.4602i,7195.8+0.5136i,6118+0.48235i,7268.2+0.56368i,6158.9+0.51321i,7292.8+0.56401i,7425+0.49818i,7612.1+0.49344i,7404.1+0.4374i,6785.7+0.5444i,8011.6+0.5266i,6861+0.51389i,7414.9+0.50854i,7353+0.48231i,6956.7+0.49767i,7968.7+0.57153i,6838.9+0.45449i,7483.5+0.4978i,6898.4+0.56871i,7127.5+0.53316i,7427.6+0.58865i,7723.2+0.5318i,8338.1+0.48153i,6767.5+0.56446i,7322.6+0.49774i,6625.9+0.55058i,7266.6+0.45764i,6398.3+0.59877i,6461+0.59468i,7513+0.58972i,7062.8+0.6257i,6204.8+0.55075i,7368.9+0.60421i,7465+0.47809i,7020.5+0.53507i,5873.3+0.51091i,7669.6+0.51006i,7180.1+0.71706i,6613.7+0.4731i,7491.3+0.4504i,7503.3+0.63092i,6258.3+0.50672i
15633+0.20756i,16034+0.20832i,12138+0.1808i,14403+0.20717i,13566+0.23459i,16886+0.20412i,12862+0.18898i,14396+0.24207i,15222+0.23498i,12498+0.21301i,14285+0.22843i,15442+0.23525i,13577+0.24977i,14722+0.20726i,16472+0.19589i,16061+0.19085i,15232+0.21689i,12982+0.17452i,14669+0.2448i,15214+0.23207i,15079+0.22281i,14385+0.18482i,14142+0.15942i,14050+0.21882i,16896+0.17792i,14475+0.18494i,12170+0.23882i,14833+0.22049i,12852+0.21076i,13537+0.23419i,14665+0.20278i,14229+0.2014i,14192+0.19392i,14610+0.19948i,14297+0.20638i,11725+0.20044i,17251+0.19717i,14801+0.18147i,12852+0.2023i,11241+0.19429i,13647+0.18593i,14707+0.20853i,14014+0.20016i,15915+0.23786i,12264+0.19047i,11829+0.24205i,13846+0.19792i,12997+0.22136i,13662+0.18173i,13125+0.22629i,14210+0.19245i,11912+0.19478i,13159+0.20867i,12946+0.19898i,9714+0.19387i,13678+0.20287i,12687+0.2003i,14407+0.19185i,12116+0.19573i,14260+0.23577i,12770+0.20467i,15472+0.21018i,15564+0.23677i,13788+0.23129i,13773+0.24499i,14096+0.21583i,13025+0.20102i,13006+0.21234i,13509+0.19144i,10104+0.27408i,12353+0.24484i,13586+0.21657i,14532+0.22182i,12759+0.17371i,12546+0.17759i,13230+0.24623i,14146+0.23498i,12008+0.20969i,11143+0.20987i,13440+0.16957i,11197+0.19769i,10967+0.23227i,13275+0.18226i,14808+0.16771i,9604.5+0.2108i,12896+0.21089i,12234+0.22291i,11860+0.23072i,13996+0.24487i,14755+0.20095i,13477+0.24632i,12599+0.21782i,13702+0.20134i,13523+0.29347i,10517+0.23841i,11460+0.21843i,15024+0.18073i,13046+0.24772i,9909.6+0.22029i,11099+0.23612i,13357+0.23787i,11199+0.18826i,11232+0.24506i,12660+0.25668i,11722+0.20561i,11228+0.20433i,11934+0.2246i,12640+0.21325i,12603+0.22736i,11695+0.2078i,12425+0.27218i,11053+0.22668i,10874+0.2221i,11396+0.20985i,10560+0.24672i,12010+0.26518i,10950+0.2256i,13745+0.21541i,11205+0.22451i,13639+0.2463i,12326+0.23375i,12159+0.20778i,12404+0.19581i,13788+0.24416i,10751+0.25845i,8658.5+0.19039i,10140+0.22972i,10248+0.28854i,11152+0.2129i,11662+0.21433i,10432+0.23571i,10315+0.22891i,11145+0.22036i,11379+0.22804i,11954+0.25023i,8862.3+0.23338i,9938.9+0.23163i,9686.1+0.2276i,8896.9+0.29213i,11298+0.25363i,10510+0.2572i,10414+0.21501i,10298+0.23264i,8691+0.2501i,8540.4+0.25622i,10591+0.2558i,9654+0.21373i,10128+0.2474i,10446+0.27548i,10868+0.27609i,10081+0.27506i,11295+0.22433i,11201+0.25679i,10354+0.25796i,10370+0.22506i,9966+0.22138i,8658.2+0.28252i,8319.6+0.23609i,6575.5+0.27231i,9606.4+0.26085i,9767.5+0.26779i,9292.3+0.29728i,7554.2+0.28378i,9720.2+0.28961i,8539.4+0.27048i,7705.9+0.23787i,8223.2+0.24377i,10008+0.28625i,9237.4+0.21003i,9980.8+0.25315i,8168+0.26141i,8034.2+0.24909i,9110.5+0.30776i,8335.1+0.22817i,7074+0.20494i,9142.1+0.22774i,9767.7+0.25035i,9164.2+0.19526i,9274.4+0.30388i,8118+0.22972i,9442.3+0.26078i,8005.1+0.26924i,7920.8+0.30204i,7835.8+0.28133i,7978.4+0.27815i,9305.4+0.29572i,7653.2+0.28942i,9839.1+0.26375i,9077.5+0.23231i,10223+0.30684i,9487.8+0.33878i,8199+0.26845i,8847.3+0.28947i,9068.4+0.26175i,7103.9+0.222i,8815.9+0.30909i,10122+0.33223i,7718+0.29259i,7818.6+0.26965i,7678.3+0.26947i,8333.3+0.2062i,8359.5+0.24036i,8336.4+0.32344i,8331.6+0.32864i,7793.3+0.29732i,9250+0.29352i,7876.2+0.27397i,8040.1+0.28251i,9262.6+0.31361i,7992.1+0.2605i,8541.9+0.34016i,8066.7+0.32281i,6950.1+0.33405i,7227.6+0.36119i,9292.5+0.31344i,7295+0.31167i,8679.9+0.29156i,7279.7+0.32531i,8352.1+0.31993i,6306.5+0.25224i,7490.5+0.30318i,7378.5+0.29271i,6878.6+0.3148i,8666.9+0.32712i,7748.5+0.28902i,7063.5+0.24425i,8214.1+0.30403i,7649.3+0.35169i,7270.1+0.28532i,8235.4+0.32055i,7739.9+0.33154i,7446.4+0.28034i,7778.1+0.26796i,8880.5+0.36908i,6756.2+0.30294i,7979.1+0.35516i,7691.6+0.29331i,7788.2+0.34267i,7812+0.35525i,7584.1+0.27683i,7629.7+0.31651i,8675.4+0.25743i,7318.5+0.35153i,5625.9+0.32562i,7735.4+0.31868i,7733.8+0.34335i,9094.3+0.29678i,7908+0.3019i,8394.2+0.30983i,7864.5+0.3146i,8261.3+0.34104i,8438.5+0.33075i,6491.1+0.34556i,7780.2+0.31104i,4953.3+0.36083i,8036.8+0.3786i,7757.3+0.35406i,8082.9+0.27552i,6120.4+0.31029i,6220+0.3641i,7929+0.29507i,7917.8+0.45154i,7741.7+0.33532i,7974.7+0.38969i,7895.1+0.46786i,8737.2+0.30724i,7966.2+0.43226i,6645.7+0.3536i,8062.3+0.39119i,8387.5+0.4398i,7023.6+0.38509i,7028.4+0.38906i,8795.3+0.42666i,7925.4+0.34433i,6969.7+0.36275i,8201.9+0.37935i,7880.1+0.35946i,6596.5+0.43208i,6544.8+0.40023i,7390+0.42926i,7068.7+0.4392i,5872.3+0.35428i,6948.4+0.35221i,6508.1+0.39307i,7849.7+0.43426i,5859.1+0.40811i,8112.3+0.4455i,7224.1+0.39321i,8018.3+0.45366i,5650.6+0.44192i,7976.7+0.41128i,6717.5+0.50935i,7045.6+0.45945i,8934.8+0.3904i,8693.1+0.47869i,7096.5+0.45152i,6121.3+0.44314i,7140.4+0.36816i,6881.5+0.45379i,6887+0.37493i,6888.4+0.4401i,6320+0.42442i,7171.3+0.39691i,5752.5+0.40798i,6713.6+0.3439i,7217.4+0.3073i,7790.7+0.41853i,6384.8+0.4524i,6659.2+0.39615i,7326.5+0.37199i,6350.1+0.37115i,8061.3+0.39113i,7788.2+0.44047i,6412+0.45677i,6891.5+0.44997i,7639.9+0.42792i,6659.6+0.50065i,7088.6+0.41925i,6654.9+0.41329i,7220.1+0.35766i,6018.2+0.42993i,6679.2+0.44985i,5385.7+0.43524i,6709.9+0.43728i,7265.7+0.42965i,7430.4+0.42635i,7620.2+0.47085i,7778.5+0.53528i,6949.1+0.52727i,7164.4+0.45201i,7830.6+0.40772i,6037.4+0.44641i,6382+0.43558i,5871.3+0.40314i,7376.4+0.39993i,7447.4+0.41448i,7471.1+0.43097i,6675.5+0.42652i,7234.3+0.45927i,6713.2+0.41891i,6923.5+0.50669i,7181.3+0.49638i,7056.4+0.50219i,6956.8+0.4956i,6831+0.54549i,6949.4+0.47534i,6507.1+0.49973i,7583.7+0.51727i,6654.4+0.49122i,7039.2+0.45517i,6541.8+0.53034i,5995.5+0.42944i,7457.9+0.50636i,7946.7+0.58916i,7329.1+0.49605i,6940.7+0.48244i,6605.1+0.51161i,6735.2+0.4676i,7428.3+0.46766i,7746.5+0.39272i,5956.8+0.45434i,7421.2+0.46897i,6029.7+0.39985i,7092.1+0.43053i,7514.7+0.56106i,6827+0.56704i,8259.5+0.46311i,7051.5+0.45302i,6978.1+0.50786i,5897.7+0.43343i,8709.4+0.54639i,6088.4+0.54663i,7317.8+0.47402i,6535.4+0.55333i,6322.1+0.57069i,8362.4+0.50564i,7628.3+0.53069i,6675.7+0.59717i,7120.8+0.5796i,6988.5+0.52531i,6774.1+0.50749i,6257.6+0.42553i,6758.3+0.52773i,6462.2+0.56603i,7647.6+0.45587i,6709.7+0.64363i,6542.7+0.52132i,7140.2+0.4743i,6424.1+0.54857i,6728.1+0.56572i,6764.9+0.54824i,5706.2+0.60681i,5689.9+0.57297i,6546.1+0.54761i,7909.9+0.58155i,6917.2+0.46022i,6066.8+0.51214i,7615.9+0.48755i,6814.3+0.66439i,7513.2+0.57918i,7260+0.50901i
