12771+0.21043i,13640+0.20625i,13708+0.21814i,13442+0.21629i,13172+0.21213i,13606+0.21025i,12684+0.20708i,12799+0.20757i,13087+0.21166i,13309+0.21405i,13008+0.20957i,13242+0.2137i,12898+0.2138i,13055+0.20865i,13430+0.2086i,12682+0.20979i,12978+0.20878i,12629+0.20985i,12798+0.21436i,12616+0.2091i,12547+0.21146i,12690+0.20663i,12902+0.20258i,12640+0.21229i,12976+0.21288i,12818+0.21088i,13090+0.21191i,12322+0.21422i,12068+0.2128i,12550+0.20627i,12537+0.21382i,12173+0.21196i,12566+0.20972i,12520+0.21207i,12224+0.21329i,12625+0.2059i,12127+0.2028i,12196+0.20398i,12593+0.21005i,12248+0.21575i,12280+0.20628i,11968+0.21145i,12308+0.21137i,12189+0.2116i,11809+0.2113i,12422+0.20613i,12358+0.21061i,12165+0.21217i,12140+0.21223i,12111+0.20967i,12260+0.2164i,11879+0.20424i,11982+0.2147i,12289+0.20868i,11891+0.21365i,12218+0.21165i,12116+0.2123i,11829+0.21301i,12014+0.22251i,11848+0.20843i,11545+0.21429i,11966+0.20859i,11870+0.21351i,11464+0.22187i,11925+0.20527i,11637+0.21122i,11877+0.21345i,11550+0.20857i,11994+0.20806i,11652+0.21632i,11976+0.21516i,11893+0.21894i,11641+0.21365i,11707+0.21658i,11139+0.21074i,11680+0.21192i,11533+0.2154i,11348+0.21336i,11526+0.21646i,11846+0.20944i,11615+0.21717i,11553+0.21188i,11470+0.21879i,11685+0.20923i,11213+0.21148i,11295+0.20673i,11552+0.20671i,11318+0.21043i,11225+0.21742i,11321+0.21144i,11230+0.21462i,11433+0.21432i,10828+0.2181i,11024+0.22436i,11240+0.21656i,10801+0.21528i,10612+0.21967i,11130+0.22266i,11178+0.21486i,10895+0.22536i,10968+0.21741i,10938+0.22724i,10887+0.21859i,10796+0.22192i,10870+0.21885i,10648+0.22439i,10669+0.22949i,10863+0.22488i,10508+0.22412i,10586+0.22116i,10672+0.22697i,10228+0.22209i,10483+0.22602i,10557+0.22444i,10546+0.22843i,10391+0.22849i,10058+0.22561i,10231+0.22861i,10459+0.23026i,10123+0.23585i,10197+0.22537i,10208+0.22386i,10251+0.23393i,10335+0.22197i,9849.5+0.22321i,9987.7+0.22822i,9835.2+0.23331i,9926.7+0.23416i,9903.4+0.23269i,9841.9+0.2343i,9601.4+0.23583i,9599.7+0.23679i,9611+0.23317i,9587+0.23208i,9781+0.24829i,9392.9+0.22737i,9352.2+0.23559i,9294.1+0.22579i,9430.4+0.2371i,9214.7+0.24653i,9126.1+0.23465i,9690.1+0.24699i,9254.1+0.24485i,9100.1+0.24378i,9302.3+0.24758i,9394.4+0.23835i,9252.2+0.23794i,8962.7+0.24329i,8919.4+0.24653i,8874.2+0.24i,8881.7+0.26261i,8608.5+0.24682i,8916+0.25036i,8807.2+0.25188i,8741.3+0.24529i,8915.2+0.24095i,8441.3+0.25267i,8598.6+0.25025i,8907.4+0.2422i,8524.1+0.24509i,8703.3+0.25729i,8492.2+0.26625i,8615+0.25996i,8408.5+0.25992i,8318.4+0.25599i,8423.3+0.25639i,8375.2+0.24971i,8350.1+0.25593i,8256.9+0.26664i,8251.2+0.26085i,8289.5+0.26016i,7987.3+0.24609i,8320+0.26307i,8087.4+0.26431i,7725.3+0.27521i,8149.2+0.26767i,7959.6+0.27529i,8159.8+0.27497i,8414.2+0.27661i,8103.1+0.2681i,7728+0.26585i,8044.3+0.2621i,7617.3+0.26632i,7823.8+0.27244i,7976.9+0.26617i,7818.5+0.2678i,7593.3+0.27498i,7877.5+0.27329i,7425.9+0.28041i,7527.2+0.26933i,7626.1+0.27268i,7527+0.27582i,7656+0.27721i,7561.7+0.27927i,7528.8+0.27592i,7412.4+0.29155i,7715.3+0.28772i,7481.7+0.28976i,7409.8+0.28983i,7498.5+0.291i,7460.7+0.29508i,7529.7+0.303i,7468.9+0.29057i,7298.5+0.29543i,7227.2+0.30331i,7498.8+0.28968i,7252.3+0.29683i,7136.3+0.2974i,7481.9+0.30673i,7130.8+0.30618i,7092.4+0.29766i,7348.4+0.2943i,7202.8+0.3021i,7119.4+0.30238i,7093.3+0.29746i,7249+0.30074i,7152.8+0.30345i,7004.7+0.30379i,7250.3+0.31557i,7223.1+0.30758i,7157.6+0.30211i,7134.2+0.31667i,7147.3+0.3234i,7339.1+0.31598i,6818.7+0.29536i,7260.7+0.31946i,7071.8+0.31971i,6991.6+0.32066i,7050.6+0.31857i,7172.7+0.31014i,6986.8+0.32454i,6885+0.32132i,6965.6+0.32627i,6901.4+0.31759i,6934.4+0.32497i,6828.3+0.31707i,7176.8+0.32505i,7092+0.31916i,6784.3+0.32395i,6828+0.32255i,6708.1+0.32066i,6824.2+0.32522i,7008+0.32593i,6943.1+0.32628i,7021.9+0.33159i,6946.7+0.32912i,6654.9+0.3329i,6885.8+0.32845i,6761.4+0.33573i,6699.2+0.33771i,6637.9+0.33593i,6569.5+0.32738i,6894.2+0.33971i,6774.3+0.33565i,6695.7+0.3324i,6499.8+0.35647i,6869.5+0.34084i,6685+0.34035i,6683.1+0.3534i,6565.6+0.35384i,6780.2+0.34081i,6791.9+0.35267i,6690.4+0.34544i,6592.2+0.35603i,6673.3+0.35526i,6484.2+0.34995i,6631.9+0.34978i,6719.6+0.34676i,6777+0.35187i,6429.1+0.3441i,6646.5+0.35232i,6414.1+0.34956i,6638.8+0.33792i,6756.6+0.36196i,6670.7+0.35203i,6733.5+0.36832i,6604.8+0.35717i,6631.4+0.35884i,6448.9+0.36365i,6466.1+0.36136i,6388.5+0.36083i,6585.3+0.37508i,6619.7+0.36595i,6492.1+0.38091i,6353.2+0.36622i,6384.4+0.36813i,6831+0.36214i,6672.1+0.38617i,6519+0.37789i,6631.3+0.36738i,6472.3+0.37516i,6370.4+0.37551i,6521.4+0.38195i,6489.7+0.37975i,6384.4+0.38046i,6397.5+0.3771i,6535.2+0.37802i,6499.4+0.37555i,6706.8+0.37845i,6349.8+0.38487i,6527+0.39298i,6483+0.39042i,6583+0.38276i,6435.5+0.39812i,6319.3+0.39451i,6360.9+0.389i,6603.5+0.39683i,6417.1+0.38342i,6553.1+0.39425i,6443+0.40441i,6612.8+0.39899i,6493.3+0.39669i,6664.1+0.39227i,6499.5+0.39127i,6405.4+0.40232i,6435.2+0.39102i,6531.7+0.42059i,6491+0.40351i,6410.2+0.41195i,6401.6+0.40753i,6419.3+0.41738i,6235.6+0.40902i,6562.7+0.42106i,6527+0.42035i,6543.9+0.41163i,6480.7+0.42237i,6311.9+0.41019i,6298.2+0.4177i,6573+0.42379i,6375.3+0.42363i,6276.7+0.41654i,6557.5+0.44088i,6410+0.42794i,6581.8+0.43122i,6597.6+0.43752i,6548.4+0.42448i,6641.7+0.43124i,6191+0.43053i,6258.4+0.43267i,6308+0.43808i,6242.9+0.43749i,6444+0.45171i,6482.4+0.4305i,6197.7+0.43832i,6572.1+0.46053i,6412+0.4439i,6414.2+0.43115i,6349.7+0.4599i,6378+0.44637i,6320.2+0.45314i,6377.8+0.44338i,6258.5+0.44872i,6687.4+0.44621i,6498.8+0.46139i,6336.4+0.44442i,6581+0.4612i,6599.8+0.44363i,6361+0.44743i,6452.9+0.47009i,6629.7+0.4648i,6350.4+0.4689i,6388.2+0.45945i,6502.3+0.46074i,6403.9+0.47648i,6298.6+0.47518i,6239.6+0.47631i,6495.6+0.49377i,6443.6+0.48645i,6344.4+0.47704i,6421.6+0.47692i,6483.1+0.47362i,6321.6+0.48176i,6165.5+0.49293i,6397.9+0.5117i,6234.3+0.48529i,6343+0.4923i,6329.8+0.49099i,6238.8+0.49357i,6375.7+0.51053i,6192.6+0.50137i,6309.3+0.50479i,6352.5+0.48845i,6121.5+0.50083i,6396+0.51849i,6445.7+0.50281i,6363.8+0.51162i,6280.6+0.48416i,6366.6+0.50582i,6509.3+0.52384i,6390.5+0.50817i,6456.5+0.52976i,6235.9+0.51504i,6373.8+0.52557i,6593.1+0.51684i,6225.1+0.52394i,6284.3+0.54192i,6456.9+0.5439i,6328.4+0.54216i,6311.5+0.54456i,6513.6+0.53237i,6307.9+0.5384i
13450+0.21654i,13049+0.21439i,13483+0.20644i,13380+0.20815i,12956+0.21032i,12786+0.20915i,13544+0.2088i,13075+0.21059i,13307+0.21122i,12951+0.21384i,12751+0.20599i,13116+0.20936i,12828+0.21295i,12836+0.20878i,12968+0.2102i,12679+0.20601i,12533+0.21009i,12862+0.20918i,13002+0.20433i,13233+0.20704i,12726+0.2198i,12455+0.22006i,13016+0.21757i,12617+0.21267i,12438+0.20988i,12566+0.2205i,12811+0.21497i,12661+0.2184i,11811+0.20789i,12528+0.20373i,12062+0.21491i,12583+0.21552i,12192+0.20474i,12208+0.19832i,12457+0.20911i,12443+0.20541i,12472+0.21179i,12056+0.21412i,12389+0.21202i,12106+0.20439i,12369+0.21166i,12262+0.21249i,12567+0.20004i,12092+0.21449i,11988+0.21522i,12468+0.20796i,12132+0.20649i,12100+0.21271i,12256+0.20592i,12204+0.20745i,12110+0.21045i,12266+0.20907i,11889+0.21594i,12150+0.20844i,11578+0.20985i,11856+0.20898i,11853+0.21883i,12207+0.21546i,11783+0.21171i,11742+0.21369i,11724+0.20577i,11639+0.20733i,12067+0.2028i,11875+0.21768i,11739+0.20891i,11717+0.21753i,11930+0.21705i,11437+0.21345i,11713+0.21865i,11769+0.21896i,11934+0.21047i,11563+0.21702i,11867+0.22521i,11794+0.21592i,11480+0.20559i,11504+0.21539i,11705+0.20982i,11578+0.21684i,11450+0.21527i,11277+0.22104i,11598+0.21333i,11397+0.20801i,11478+0.21148i,11613+0.21688i,11094+0.21252i,11157+0.22061i,11172+0.20856i,11026+0.21574i,10993+0.21669i,11213+0.22558i,11110+0.21898i,11488+0.20959i,10985+0.22054i,11178+0.21545i,11161+0.21834i,11218+0.22143i,11199+0.21539i,10892+0.2175i,11012+0.21819i,10653+0.22812i,11096+0.21456i,11083+0.22277i,10845+0.2221i,10840+0.23152i,10917+0.22394i,10959+0.22648i,10773+0.22533i,10983+0.22743i,10750+0.22194i,10552+0.22052i,10566+0.21888i,11027+0.22019i,10266+0.22474i,10367+0.22909i,10540+0.23006i,10533+0.23002i,9937.1+0.22826i,10046+0.22799i,10116+0.23524i,9845.3+0.22629i,10303+0.22782i,9880.1+0.22712i,10311+0.22071i,10153+0.2328i,9742+0.23633i,9680.1+0.22817i,10218+0.23451i,9958.1+0.23296i,9900.3+0.22665i,10239+0.23699i,9843.8+0.23149i,9898+0.22753i,9738+0.23812i,9417.8+0.23588i,9543.6+0.23541i,9715.1+0.23446i,9265.1+0.2422i,9652.1+0.24013i,9332.3+0.23368i,9320.9+0.24018i,9257+0.24414i,9354.8+0.2395i,9263.2+0.24568i,9111+0.24219i,9150.8+0.24125i,8674+0.24241i,9283.2+0.24847i,9346.7+0.23765i,9337.9+0.24694i,8976.7+0.24224i,8764.5+0.25256i,8861.9+0.24824i,8790.9+0.24873i,9014.1+0.25203i,8877.8+0.25652i,8858.1+0.25851i,8646.6+0.25686i,8455.1+0.25847i,8507.3+0.25931i,8556.3+0.24886i,8308.8+0.26312i,8427+0.26206i,8486.3+0.24991i,8466.4+0.2605i,8463.6+0.26081i,8476.2+0.26542i,8528.1+0.26294i,8576.2+0.25558i,8393.1+0.25949i,8329.1+0.25833i,8215.7+0.26277i,8353.5+0.26414i,8000+0.25271i,8142.3+0.26253i,8159.1+0.26305i,7915.5+0.26766i,7874.5+0.2629i,8338+0.26608i,8019.5+0.27146i,7856.2+0.2665i,7600+0.27901i,8032.6+0.27449i,7742.1+0.2781i,8007.2+0.28261i,7969+0.27337i,7749.9+0.28151i,7706.7+0.28266i,7833.2+0.28287i,7588.1+0.27929i,7674.9+0.28175i,7743.3+0.2829i,7610+0.27928i,7622.5+0.28144i,7613.5+0.28117i,7577.8+0.28166i,7458.3+0.28766i,7510.5+0.2892i,7526.3+0.29249i,7481.6+0.27534i,7322.2+0.29136i,7511.2+0.28288i,7249.5+0.2925i,7456.2+0.29123i,7046.5+0.28843i,7462.9+0.29429i,7479.7+0.28851i,7492.2+0.28875i,7348.7+0.28936i,7018.4+0.28955i,7253.2+0.2967i,7267.6+0.30181i,7178.5+0.29466i,7376.3+0.29681i,7155+0.30852i,7463.9+0.30052i,7212.9+0.30879i,7523.8+0.30227i,7294.4+0.30131i,7083.6+0.30184i,6883.4+0.3098i,7061.1+0.30035i,7087.7+0.29946i,7076+0.30517i,6902.4+0.31464i,7267.4+0.32141i,7129.6+0.31276i,7226.8+0.32159i,6786.5+0.315i,6965.4+0.31648i,6833.6+0.32193i,7101.4+0.31222i,6730.5+0.31742i,6612.3+0.32631i,7085.5+0.32597i,7007.2+0.32254i,6761.2+0.32612i,7130.8+0.30939i,6868+0.3304i,6811.9+0.33035i,6988.2+0.31384i,6823.4+0.33032i,6896.8+0.3144i,6679.6+0.33491i,6682.2+0.33247i,6796.6+0.32067i,6587.5+0.32516i,6566.3+0.33709i,6659.9+0.33498i,6875.9+0.32666i,6627.4+0.33538i,6652.9+0.34375i,6777.6+0.3446i,6683.8+0.33704i,6782.2+0.33759i,6781+0.35667i,6880.7+0.3392i,6919.1+0.3358i,6639.1+0.34444i,6713.8+0.34247i,6695+0.34115i,6723.7+0.33211i,6576.8+0.34176i,6514.1+0.36008i,6799.3+0.35974i,6571.8+0.34309i,6714.6+0.35206i,6666.4+0.33888i,6666.3+0.34568i,6580.4+0.35603i,6658.5+0.36878i,6576.2+0.35254i,6792.8+0.35315i,6515.6+0.36644i,6593.7+0.36852i,6594.9+0.36987i,6406.6+0.35251i,6672.8+0.36315i,6542.1+0.35398i,6559+0.35763i,6696.7+0.35126i,6609.4+0.36496i,6626.6+0.37174i,6540.1+0.3678i,6665.1+0.35952i,6497.4+0.36239i,6608+0.36716i,6653.3+0.36803i,6712.2+0.3767i,6656.9+0.37046i,6574.1+0.36977i,6365.7+0.38389i,6611.6+0.39175i,6465.5+0.37308i,6461+0.37225i,6542+0.38997i,6439+0.38142i,6374.6+0.39321i,6540.4+0.3802i,6635.1+0.39617i,6413+0.39163i,6491.4+0.37605i,6438.3+0.39288i,6244.1+0.41119i,6449.1+0.39291i,6706.1+0.39449i,6425.1+0.39326i,6539.8+0.39643i,6461.1+0.40173i,6451+0.39412i,6623.2+0.39071i,6771.8+0.40354i,6496.7+0.38933i,6329.3+0.40396i,6661.6+0.3901i,6432.5+0.39495i,6410.6+0.4039i,6497.5+0.41577i,6520.6+0.41155i,6411.2+0.40925i,6317.6+0.41069i,6550.2+0.41716i,6456.8+0.4225i,6715.5+0.40269i,6593.5+0.42578i,6203.8+0.4199i,6281.3+0.42145i,6454.8+0.42626i,6327.7+0.42019i,6482.3+0.42874i,6377+0.43414i,6210.6+0.42678i,6685.1+0.42237i,6388.1+0.42849i,6369.3+0.4241i,6605.6+0.43699i,6107.4+0.43518i,6404.3+0.43637i,6260.8+0.43404i,6372.6+0.42386i,6370.4+0.45041i,6365.2+0.43883i,6420.6+0.44149i,6390.3+0.43012i,6476.7+0.44672i,6475.6+0.43969i,6515.8+0.45017i,6472.9+0.45436i,6453.7+0.43511i,6461.1+0.47155i,6450+0.45729i,6331+0.44722i,6405+0.44739i,6385.2+0.45752i,6684+0.46863i,6368.8+0.47594i,6497.4+0.46015i,6477.7+0.44564i,6516.9+0.46034i,6529.4+0.48586i,6489.3+0.43995i,6415.8+0.49062i,6337.7+0.4594i,6245.5+0.46936i,6251.9+0.47015i,6348.5+0.47111i,6489.8+0.49438i,6285.4+0.46757i,6604.8+0.48806i,6270.7+0.47327i,6060.7+0.47028i,6217.8+0.49415i,6446.3+0.46598i,6318+0.48336i,6386.7+0.47698i,6409.7+0.48199i,6202.7+0.47945i,6351.4+0.48261i,6339+0.49888i,6513.8+0.49626i,6393.9+0.49019i,6392.6+0.49147i,6577.3+0.4921i,6382.6+0.50531i,6449.6+0.50391i,6412.9+0.50885i,6638.1+0.51363i,6388.6+0.50698i,6644.9+0.52353i,6396.7+0.53305i,6502.9+0.50017i,6388.1+0.51445i,6447.3+0.54764i,6339.9+0.51226i,6577.5+0.51423i,6370+0.53389i,6233.8+0.54123i,6448.5+0.53191i,6392.3+0.52173i,6181.2+0.54353i,6257.6+0.54374i,6501.9+0.53057i
13479+0.21424i,13417+0.2061i,13311+0.20208i,13166+0.21245i,12708+0.20914i,12996+0.21419i,12826+0.20952i,13056+0.21027i,13025+0.21532i,13240+0.20303i,13203+0.20649i,13281+0.217i,13474+0.20929i,12589+0.20977i,12983+0.20415i,12952+0.20671i,12751+0.21334i,13309+0.20963i,12531+0.21233i,12277+0.20949i,12584+0.21875i,12839+0.21203i,12319+0.21371i,12368+0.20709i,12804+0.21186i,12488+0.2108i,12428+0.21147i,12555+0.21101i,12738+0.21954i,12259+0.20508i,12411+0.21495i,12527+0.21259i,12536+0.21628i,12739+0.21084i,12380+0.21401i,12470+0.20228i,12700+0.21249i,12785+0.21073i,12201+0.20631i,12672+0.21167i,11816+0.20605i,12418+0.20836i,12573+0.20615i,11935+0.22204i,11577+0.2121i,12328+0.2136i,11849+0.22078i,11672+0.21751i,11916+0.21272i,11626+0.20817i,12478+0.21297i,11981+0.20345i,12497+0.21002i,12387+0.21214i,11918+0.21598i,12335+0.20986i,11455+0.21141i,11820+0.21512i,12236+0.22086i,12093+0.21679i,11909+0.20998i,11581+0.21397i,11961+0.21145i,11877+0.21616i,11638+0.2073i,12061+0.2224i,11888+0.20678i,11911+0.2148i,11667+0.2214i,12014+0.2133i,11836+0.20982i,11539+0.21556i,11799+0.21451i,11786+0.21028i,12116+0.21758i,11667+0.21967i,11460+0.20555i,11479+0.21374i,11952+0.21221i,11451+0.21597i,11319+0.22175i,11735+0.22302i,11763+0.21819i,11501+0.21709i,11360+0.21575i,11054+0.21394i,11304+0.2218i,11160+0.21209i,11289+0.21627i,11214+0.22257i,11537+0.21472i,10965+0.22179i,11462+0.21838i,11269+0.21673i,10879+0.22105i,10951+0.22269i,10880+0.21828i,10665+0.22396i,10809+0.21635i,11317+0.21901i,11052+0.21815i,10668+0.21561i,11183+0.21537i,10622+0.21473i,11241+0.21352i,10603+0.2218i,10574+0.22212i,10720+0.22024i,10407+0.22658i,10976+0.22336i,10555+0.22553i,10413+0.22713i,10621+0.22863i,10725+0.23178i,10650+0.22177i,10176+0.22134i,10502+0.22708i,10181+0.223i,10327+0.22374i,10334+0.22828i,10010+0.22779i,10205+0.22813i,10041+0.23005i,9994.8+0.22425i,10282+0.24022i,9921.5+0.23776i,9666.3+0.23062i,9660.3+0.23636i,9748.1+0.2313i,9698.5+0.22397i,9553.4+0.23168i,9942.3+0.2346i,9801.3+0.22805i,9683.1+0.23646i,9469.7+0.23822i,9511.7+0.23419i,9369.1+0.24291i,9418.1+0.24309i,9460.9+0.23884i,9578.1+0.23088i,9203.6+0.23776i,9180.3+0.24529i,9564.9+0.23566i,9191.1+0.24218i,9047.6+0.25201i,8879.4+0.23427i,8880.4+0.24657i,9135.2+0.25208i,9032.2+0.24947i,9011.4+0.2492i,8573.4+0.24291i,8915.3+0.24705i,8735+0.24007i,9027.8+0.24633i,8906.5+0.23955i,8453+0.24946i,8565.3+0.24453i,8934.1+0.24992i,8940.1+0.24653i,8441.1+0.25238i,8367.6+0.2458i,8460.2+0.25972i,8553.6+0.25977i,8294.9+0.2514i,8023+0.26148i,8419.3+0.25727i,8235.5+0.26498i,8499+0.26115i,8270.3+0.2522i,8572+0.26548i,8121.9+0.268i,7988+0.26657i,8202.2+0.27091i,8177.7+0.26294i,8221.8+0.26502i,8284.3+0.28148i,8147.4+0.26927i,7947.7+0.2624i,7958.8+0.27271i,8048+0.2679i,7708.1+0.27091i,7767.1+0.28537i,7660.2+0.26441i,7434+0.28096i,7606.5+0.27298i,7732.1+0.27758i,7875.3+0.27861i,7743.1+0.28446i,7832+0.27776i,8002.3+0.27383i,7847+0.27218i,7858.6+0.2842i,7521.9+0.28468i,7656.2+0.27374i,7655.4+0.28163i,7626.7+0.27565i,7469.1+0.27368i,7582.7+0.28188i,7264.2+0.28594i,7388.8+0.29359i,7416.7+0.28499i,7410.5+0.2968i,7698.4+0.28103i,7351.6+0.29474i,7184.3+0.2929i,7187.7+0.2953i,7462.3+0.30173i,7256.5+0.29779i,7236.2+0.29716i,7267.1+0.3052i,7050.7+0.30072i,7273+0.29977i,7096+0.29435i,7182+0.29866i,7145.7+0.30749i,7075.3+0.3054i,7098.1+0.30162i,7153.4+0.30567i,7048.6+0.30761i,7177.1+0.30649i,7331.4+0.3051i,6665.7+0.30996i,7237.5+0.30688i,6951+0.31246i,6718+0.32407i,7051.4+0.31165i,6987.4+0.31151i,6769+0.31751i,6830.7+0.31886i,7022+0.3115i,7152.5+0.31364i,6801.4+0.31435i,6858.4+0.31946i,6974.6+0.3168i,7014.2+0.32267i,6815+0.32821i,6798.3+0.3214i,6881.5+0.32412i,6814.8+0.33154i,6891.9+0.32032i,7015.7+0.33778i,6886+0.31991i,6569.5+0.32426i,7052.1+0.31715i,6836.5+0.32132i,6944.9+0.34388i,7056.6+0.33621i,6637.4+0.33449i,6868.9+0.32625i,6810.2+0.34221i,6934.4+0.32556i,6864.7+0.34307i,6777.7+0.34038i,6468.5+0.34367i,6673.6+0.34614i,6740.9+0.33846i,6713.2+0.33211i,6786.9+0.3462i,6692.8+0.35198i,6891.4+0.34839i,6523.4+0.34599i,6554.5+0.34733i,6710.4+0.3575i,6513.9+0.35348i,6574+0.35383i,6613.8+0.34694i,6760.5+0.35793i,6539.3+0.33891i,6818.4+0.35559i,6622.2+0.34914i,6540.7+0.36785i,6533.2+0.36463i,6823.5+0.35122i,6338.9+0.36867i,6804.8+0.36188i,6563.1+0.36115i,6613.4+0.36702i,6518.7+0.36697i,6590.9+0.36316i,6575.8+0.37463i,6522.1+0.36316i,6447.2+0.36704i,6182.3+0.36324i,6498.4+0.35761i,6547.5+0.35951i,6526.7+0.37724i,6543.3+0.37812i,6487.8+0.36807i,6474.7+0.37268i,6448.3+0.38826i,6602.1+0.37159i,6411.3+0.37699i,6585.2+0.3772i,6572.9+0.37806i,6557.3+0.37383i,6466.2+0.38765i,6711.6+0.38155i,6481.4+0.39303i,6549.6+0.38733i,6281.8+0.38186i,6649.3+0.38752i,6710.2+0.39321i,6694.4+0.4231i,6388.6+0.39422i,6642.4+0.38236i,6753.5+0.38615i,6420.9+0.39462i,6567.4+0.38683i,6427.6+0.39675i,6552.5+0.39437i,6643+0.39513i,6520.5+0.39696i,6275.6+0.4185i,6387.1+0.39198i,6388.4+0.38232i,6467.1+0.40011i,6686.1+0.40031i,6356.9+0.39959i,6533+0.407i,6452.4+0.41139i,6352.9+0.41546i,6459.9+0.42393i,6506.3+0.40375i,6569.4+0.40746i,6314.4+0.42547i,6202.2+0.43915i,6531.4+0.42809i,6451.8+0.43148i,6524.5+0.44065i,6529.1+0.42698i,6323.4+0.42359i,6533.6+0.42912i,6467.3+0.43934i,6493.8+0.43642i,6757+0.43127i,6424.6+0.41895i,6636.8+0.44395i,6440.1+0.42975i,6444.3+0.43686i,6259.8+0.43382i,6276.7+0.4413i,6560.4+0.44007i,6494.7+0.43111i,6384.9+0.44464i,6409.1+0.43486i,6445.9+0.44801i,6753.1+0.45233i,6163.7+0.45876i,6453.4+0.47506i,6334.7+0.45033i,6674.9+0.4413i,6400.6+0.4431i,6430.9+0.47412i,6490.3+0.47479i,6466.4+0.44876i,6369.3+0.47026i,6426.3+0.4779i,6370+0.46102i,6477.5+0.46258i,6383.8+0.45955i,6287.8+0.47418i,6290.6+0.46684i,6546.4+0.47501i,6414.9+0.48216i,6300+0.47868i,6524+0.47026i,6295.4+0.47466i,6382.8+0.4857i,6498+0.47118i,6500.2+0.48387i,6424.2+0.49679i,6340.9+0.47516i,6348.3+0.48671i,6565.4+0.48903i,6377.8+0.48488i,6264.7+0.51052i,6487.6+0.49249i,6260.4+0.49458i,6486.2+0.49625i,6270.5+0.48573i,6424.3+0.49823i,6273.1+0.48019i,6404.5+0.52365i,6244+0.51068i,6579.3+0.50666i,6290.9+0.50802i,6273.5+0.50933i,6371.2+0.5102i,6107.4+0.50649i,6510.2+0.50332i,6411.8+0.52487i,6283.7+0.5193i,6620.4+0.53223i,6399.7+0.53049i,6459.8+0.52218i,6235.4+0.5246i,6334+0.51466i,6299.7+0.53668i,6403.8+0.5309i,6066.6+0.54129i,6594.1+0.52875i
