11610+0.20676i,11704+0.21589i,11960+0.21523i,11766+0.21621i,11879+0.20404i,11922+0.22098i,11699+0.20732i,11875+0.21013i,11643+0.20995i,11200+0.20641i,11305+0.20412i,11522+0.20795i,11307+0.2052i,11482+0.21471i,11435+0.20708i,11552+0.20679i,11330+0.20786i,11257+0.20557i,11942+0.2147i,11520+0.20392i,11566+0.2123i,11436+0.20309i,11459+0.20792i,11185+0.21647i,11068+0.21097i,11072+0.21405i,11315+0.21309i,11112+0.2033i,11253+0.21452i,10932+0.20811i,10886+0.20907i,10964+0.21267i,11166+0.20944i,11369+0.2114i,10835+0.21271i,10899+0.20741i,11080+0.20998i,10959+0.21191i,11220+0.21861i,10873+0.2068i,11061+0.20916i,10766+0.21823i,10916+0.20774i,10780+0.20432i,11012+0.21066i,10646+0.21288i,10841+0.21328i,10310+0.21063i,10550+0.21905i,10712+0.20576i,10611+0.21409i,10892+0.21172i,10785+0.20866i,10833+0.21228i,10719+0.21234i,10704+0.21104i,10457+0.21257i,10198+0.20977i,10461+0.21285i,10678+0.20501i,10416+0.20863i,10514+0.21747i,10480+0.21313i,10695+0.2101i,10988+0.21294i,10067+0.21078i,10084+0.20644i,10765+0.20917i,10404+0.21301i,10351+0.20571i,10181+0.21723i,10253+0.21891i,10504+0.21203i,10421+0.21503i,10740+0.21067i,10639+0.21109i,9979+0.2125i,9960.6+0.21769i,10063+0.21415i,9882.9+0.22109i,10051+0.21582i,10007+0.2089i,9901.6+0.21353i,10269+0.21816i,10017+0.2145i,9870.4+0.21264i,10035+0.22404i,9719.4+0.20579i,9631.9+0.21783i,9613.5+0.21142i,10196+0.2076i,10167+0.21007i,10023+0.21291i,9613.8+0.21008i,9607.2+0.21609i,9596.6+0.21637i,9679+0.22056i,9559.2+0.21756i,9745.6+0.21757i,9483+0.21866i,9845.1+0.22054i,9754.2+0.21221i,9866.5+0.22699i,9441.4+0.20629i,9685.5+0.21923i,9502.8+0.2264i,9197.8+0.22514i,9626.5+0.22085i,9641.4+0.21503i,9682+0.2235i,9266.3+0.22696i,9595.8+0.23027i,8984+0.21946i,9538.5+0.22521i,9193.4+0.22733i,9673.1+0.22595i,9302.6+0.21567i,9215+0.22485i,9172.4+0.22704i,9056.5+0.22909i,9144+0.22209i,8908.5+0.22767i,9170.3+0.22781i,8962.5+0.2271i,8801.5+0.22152i,8950.7+0.23078i,8522.6+0.2226i,8531.8+0.21673i,9121.4+0.22973i,8352.6+0.23i,8976.2+0.22817i,8806.5+0.23145i,8930.4+0.23154i,8723.5+0.23159i,8712.1+0.22964i,8693.6+0.22807i,8529.5+0.22862i,8698.2+0.22361i,8700.4+0.22827i,8204.2+0.23649i,8257.5+0.23746i,8210.8+0.23691i,8411.1+0.23713i,8070.6+0.23799i,7914.6+0.24428i,8086.6+0.23561i,8247.9+0.24022i,8130.4+0.24087i,8017.6+0.23982i,8197.2+0.24437i,7944.6+0.2475i,8024.1+0.23588i,8081.3+0.24874i,7804.6+0.24138i,7792.9+0.24764i,8057.6+0.24548i,7769.6+0.24935i,7722.3+0.2396i,7645.4+0.24798i,7673+0.25612i,7824.4+0.24194i,7577.7+0.25269i,7768.5+0.24687i,7743.4+0.24736i,7503.6+0.25757i,7653.3+0.25502i,7539.4+0.24892i,7470.5+0.26141i,7402.1+0.24915i,7599.2+0.26546i,7394.4+0.25072i,7191.3+0.26147i,7029.1+0.2591i,7294.5+0.25812i,7293.1+0.25534i,7554.2+0.26699i,7439.3+0.25456i,7137.8+0.26845i,7101.1+0.26135i,7223.6+0.25693i,6767.8+0.26549i,7213.8+0.27034i,7173.5+0.26728i,6723.7+0.26868i,7142.7+0.26922i,6803.3+0.2706i,6740.9+0.26767i,6698.6+0.27657i,6823.4+0.26737i,6954.4+0.26542i,6627+0.27162i,6835.6+0.26311i,6830+0.27559i,6670.3+0.27215i,6743.4+0.2761i,6714.7+0.27676i,6478.1+0.28741i,6642.2+0.28105i,6557.1+0.27943i,6519.3+0.2773i,6662.3+0.2914i,6699.6+0.27864i,6748.6+0.27356i,6367.8+0.28234i,6566.3+0.28586i,6557.7+0.2796i,6368.1+0.2914i,6505+0.29315i,6471+0.28151i,6302.7+0.27779i,6308+0.28252i,6528.2+0.29791i,6304.6+0.29301i,6466.8+0.29378i,6320.3+0.28785i,6261.7+0.29103i,6319.8+0.29749i,6309.1+0.2961i,6317.5+0.28573i,6293.3+0.29345i,6337+0.29609i,6215.2+0.30012i,6291.1+0.308i,6318.5+0.29343i,6043+0.29965i,6308.1+0.29573i,6190.4+0.31097i,6059.4+0.29324i,6300.7+0.29324i,5924.7+0.30267i,6018.6+0.30298i,6332.2+0.29434i,6184.4+0.31084i,6371.9+0.31461i,6252.9+0.30692i,6212+0.3159i,5956.7+0.31181i,5943.8+0.31173i,6284.2+0.31764i,5906.3+0.31534i,6029+0.31536i,5879+0.32148i,5972.9+0.32699i,6071+0.31947i,5921.4+0.32033i,6047.8+0.3108i,6030.4+0.31665i,5834.4+0.30906i,6060.1+0.31554i,5932.6+0.31762i,6123.2+0.32212i,5894.9+0.32761i,6024.8+0.31872i,6175.8+0.32305i,5633.7+0.31146i,6063.9+0.34083i,5764.2+0.32907i,5899.7+0.3312i,5951.3+0.34475i,5954.4+0.34044i,5887.2+0.32939i,5902.2+0.33494i,5929.4+0.34362i,5895.3+0.34112i,5916.5+0.33458i,5846.4+0.33981i,5969.3+0.33894i,5735.4+0.32686i,5905.8+0.34598i,5833.2+0.33917i,5867.6+0.33339i,5800.1+0.35015i,5977.4+0.35796i,5818.9+0.33827i,5733.7+0.33758i,5881.1+0.36058i,5765.3+0.34923i,5687.4+0.34633i,5744.9+0.34005i,5600.1+0.34209i,6024.1+0.35355i,5673+0.3496i,5773.6+0.34231i,5847.1+0.34136i,5957.7+0.347i,5712.6+0.35615i,5705.9+0.35336i,5854.5+0.35964i,5903.5+0.35126i,5668.1+0.3555i,5762.4+0.35753i,5907.1+0.35647i,5740.5+0.34404i,6051.9+0.35531i,5635.2+0.37901i,5817.1+0.35753i,5964.1+0.35426i,5749+0.36886i,5788.6+0.37864i,5654.3+0.37686i,5694.4+0.36276i,5736.5+0.37058i,5576.9+0.3553i,5607.5+0.37097i,5776.4+0.37081i,5867.5+0.3851i,5534.9+0.36979i,5724+0.38365i,5874.4+0.37561i,5769.5+0.38149i,5921.3+0.3782i,5752.6+0.37222i,5723.3+0.36788i,5752.9+0.38797i,5663.5+0.38404i,5575.2+0.37104i,5765.6+0.39106i,5807.8+0.39608i,5659.1+0.38988i,5757.3+0.39425i,5709.8+0.38176i,5556.2+0.39281i,5823.8+0.39807i,5712.4+0.39395i,5604+0.38714i,5665.3+0.39831i,5829.5+0.39249i,5698.4+0.39548i,5712.8+0.38664i,5642.5+0.39309i,5609.1+0.40374i,5845.1+0.40789i,5744+0.40158i,5770.4+0.39641i,5581.8+0.40299i,5526.6+0.39984i,5691.2+0.3987i,5828+0.41268i,5721.3+0.40115i,5404.8+0.41168i,5840.2+0.41697i,5733.6+0.41464i,5548.2+0.4001i,5794.6+0.41761i,5804.2+0.42188i,5986.3+0.42121i,5634.6+0.4265i,5660.5+0.42649i,5536+0.42832i,5716+0.43949i,5790.6+0.41412i,5820.4+0.43149i,5701.4+0.41614i,5768.4+0.42398i,5530.6+0.44539i,5531.9+0.43849i,5986.9+0.43283i,5748.9+0.4368i,5805.8+0.43676i,5886.9+0.42965i,5836.8+0.42848i,5494.5+0.43289i,5601.8+0.44439i,5705.7+0.43913i,5586.7+0.43716i,5653.2+0.43967i,5753.9+0.45134i,5825.2+0.44707i,5722.9+0.45262i,5877.3+0.44934i,5630.1+0.44625i,5787.5+0.46865i,5679.1+0.47402i,5820.4+0.45241i,5537.1+0.44965i,5593.3+0.46617i,5577.5+0.44947i,5733+0.44659i,5623.8+0.47445i,5468.5+0.46298i,5741.3+0.46678i,5512.2+0.45117i,5508.1+0.46125i,5733+0.46722i,5550.3+0.46458i,5781.7+0.4666i,5661.7+0.482i,5706.4+0.48302i,5678.7+0.48336i,5638+0.47886i,5766.4+0.48336i,5548.8+0.48001i,5596.4+0.49179i,5673+0.49823i,5685.6+0.4757i,5657.6+0.48846i,5597.8+0.48845i,5572.4+0.50386i,5546.3+0.48433i,5564.4+0.49204i,5726.5+0.47948i
11999+0.20676i,11731+0.20556i,11539+0.20929i,11646+0.20272i,11873+0.20749i,11342+0.20725i,12285+0.20807i,11083+0.21047i,11764+0.20553i,11928+0.20897i,11536+0.20925i,11615+0.20916i,11668+0.20519i,11466+0.20673i,11407+0.21398i,11482+0.20512i,11169+0.21648i,11473+0.21886i,11354+0.21587i,11250+0.21399i,11336+0.20613i,11175+0.21855i,10751+0.21221i,11051+0.21251i,10943+0.21432i,11273+0.21462i,11434+0.20108i,11163+0.21098i,11313+0.20795i,11350+0.20911i,10986+0.20511i,10996+0.21267i,11225+0.21041i,11074+0.21415i,11199+0.21121i,11354+0.20585i,11216+0.21824i,11108+0.21939i,11063+0.21537i,10454+0.21076i,11089+0.20493i,10751+0.20879i,11093+0.20195i,10953+0.21198i,10868+0.2106i,10887+0.20883i,11194+0.20693i,10745+0.20135i,10858+0.21633i,10791+0.21542i,10826+0.21093i,10528+0.21323i,10663+0.21083i,10756+0.21467i,10619+0.20794i,10965+0.20887i,10786+0.22281i,10833+0.20896i,10537+0.21198i,10886+0.21935i,10549+0.21283i,10637+0.20819i,10767+0.20923i,10719+0.21699i,10747+0.20719i,10317+0.20463i,10296+0.2091i,10420+0.21364i,10094+0.2208i,10270+0.21785i,10282+0.20989i,10411+0.21225i,10570+0.2138i,10563+0.21164i,10381+0.21315i,10077+0.21456i,10058+0.21412i,10274+0.21535i,10154+0.22006i,10007+0.22034i,10049+0.21765i,10145+0.20675i,10030+0.20774i,10296+0.2109i,9911.8+0.21182i,9757+0.2142i,10284+0.22204i,10097+0.21422i,10086+0.21935i,10147+0.2209i,10103+0.20904i,9781.4+0.22417i,9618.7+0.21211i,9632.8+0.21831i,9711.7+0.21869i,9544.3+0.21862i,9995.1+0.22864i,9734.3+0.21554i,9669+0.22804i,9285.2+0.20968i,9444.8+0.21593i,9711.6+0.21783i,9391.6+0.22353i,9774.4+0.22828i,9859.5+0.21693i,9634.9+0.22093i,9625.1+0.22723i,9554+0.21812i,9824.7+0.22585i,9133.5+0.21825i,9358.7+0.2191i,9304.3+0.2194i,9585.2+0.21916i,9321+0.22125i,9075.3+0.22667i,9368.2+0.22687i,9302.9+0.23386i,9068.8+0.21904i,8905.7+0.23191i,8693.1+0.23312i,8781.8+0.23166i,9111.1+0.22089i,9082.6+0.22318i,8834.6+0.23186i,8778.2+0.22707i,8968.4+0.22938i,8694.4+0.23152i,8785.2+0.22754i,8519.2+0.22778i,8429+0.23243i,8763+0.232i,8773.8+0.22647i,8563.2+0.23695i,8652.6+0.23142i,8628.8+0.24182i,8399.3+0.22462i,8596.7+0.23943i,8773.5+0.23696i,8163.4+0.23875i,8234.8+0.23607i,8285.8+0.23259i,8373.4+0.2387i,8495.3+0.24045i,8192.1+0.24078i,8034.1+0.2423i,8113.7+0.23901i,8236.8+0.24421i,7971.6+0.24675i,7756+0.24251i,7651.4+0.23747i,8062.8+0.24117i,8099.1+0.23746i,7727.3+0.23746i,7912+0.24419i,7819.7+0.24853i,7740.5+0.24495i,7674.2+0.24334i,7812.6+0.24352i,7769.7+0.25458i,7619.4+0.25135i,7394.9+0.242i,7614+0.24053i,7460.4+0.25598i,7686.4+0.262i,7504.8+0.25655i,7522.4+0.24878i,7436.4+0.25264i,7356.3+0.25428i,7516.2+0.25576i,7423.4+0.25938i,7393.9+0.2592i,7429+0.25726i,7363.5+0.26147i,7077.9+0.26415i,7241.8+0.26712i,7053.9+0.24903i,6981.5+0.26132i,7310.6+0.26524i,6946.7+0.26095i,7006+0.26561i,6933.6+0.26193i,7230.9+0.27398i,7003.8+0.27037i,6859.9+0.26735i,6768.7+0.26579i,6844.5+0.26762i,7037.3+0.25597i,7012.1+0.27286i,6925.9+0.27458i,6787.3+0.26764i,6673.5+0.28507i,6817.8+0.28098i,6777.4+0.27287i,6896.4+0.27392i,6726.6+0.28571i,6873.8+0.27931i,6540.7+0.28241i,6524.4+0.28577i,6708.3+0.27977i,6580.4+0.27788i,6706.3+0.28357i,6681.2+0.28453i,6741.7+0.27417i,6767.4+0.28236i,6358.4+0.27844i,6641.7+0.28993i,6661.8+0.29173i,6179.6+0.28575i,6355.4+0.29219i,6223.6+0.29754i,6604.3+0.29318i,6366.9+0.29202i,6399.3+0.28924i,6404.2+0.29405i,6456+0.2932i,6141.3+0.29001i,6457+0.29224i,6458.8+0.29404i,6309.8+0.29566i,6434.5+0.30349i,6449.6+0.30143i,6326+0.30213i,6314.5+0.29748i,6198.8+0.29336i,6142.6+0.30354i,6129.2+0.28874i,6443.5+0.30807i,6213.5+0.29951i,6226.3+0.30094i,6078.1+0.29586i,6334.8+0.3074i,6070+0.29432i,6168.9+0.29842i,6191.8+0.30983i,6263.2+0.31506i,6105.5+0.31168i,6070.4+0.31095i,6119.5+0.31268i,6244.5+0.31444i,6203.3+0.30651i,6093.5+0.31707i,6269.9+0.31462i,5914.3+0.32387i,5981.1+0.31513i,5791.7+0.32087i,6381.2+0.31438i,6040.9+0.31803i,6058.2+0.32412i,6019.3+0.32005i,6109.7+0.32638i,5795.5+0.3188i,6027.9+0.31038i,6032.3+0.32212i,6070.8+0.32798i,6022.5+0.3267i,6042.1+0.33001i,5823.1+0.3492i,6082.8+0.32533i,5978.7+0.33604i,6017.9+0.33553i,5824.5+0.3142i,5797.1+0.348i,5791.1+0.33441i,5877.2+0.34415i,5832.2+0.3328i,5802.4+0.34022i,5905.4+0.33693i,5721.6+0.33691i,5685.7+0.3344i,5794.6+0.34744i,5989.8+0.33389i,5757.4+0.34974i,5688.9+0.35175i,5769.7+0.34989i,5869+0.3567i,5980.7+0.3404i,6096.7+0.34902i,5870.2+0.34924i,5852.1+0.3393i,5809.6+0.35106i,5991.7+0.35751i,5834.7+0.34806i,5932.3+0.33921i,5828.2+0.35914i,5835+0.34572i,5953.1+0.35078i,5635.3+0.35456i,5788.9+0.35595i,5727.3+0.36144i,5815.8+0.36466i,5884.4+0.36486i,5724.3+0.34659i,5656+0.3572i,5651.3+0.36271i,5733.5+0.36859i,5697+0.37682i,5763.2+0.37421i,5769.9+0.36376i,5591.1+0.36793i,5809.3+0.36549i,5736+0.36718i,5777+0.3741i,5775.5+0.38065i,5633.9+0.36287i,5748.9+0.37269i,5949.4+0.3682i,5771.9+0.37523i,5682.2+0.37631i,5646.5+0.37111i,5759.9+0.38499i,5865.6+0.37994i,5933.7+0.37838i,5790.2+0.38985i,5846.4+0.39176i,5747.2+0.3948i,5511.1+0.38341i,5710.1+0.38472i,5666.2+0.3804i,5608.7+0.38935i,5675.1+0.39214i,5895.1+0.38865i,5830.3+0.39903i,5557.2+0.39488i,5696.1+0.4083i,5696.3+0.39743i,5735.7+0.40673i,5874+0.39079i,5758.2+0.4091i,5603.4+0.38827i,5584.7+0.40445i,5588.4+0.41485i,5783.3+0.41917i,5579.9+0.3997i,5771.8+0.41951i,5664.9+0.40168i,5803.3+0.40687i,5693.3+0.40068i,5645.9+0.41373i,5675.3+0.41284i,5836+0.41991i,5626.8+0.41641i,5620.9+0.41404i,5705.1+0.41549i,5836+0.41432i,5892.1+0.41203i,5923.2+0.41765i,5721.8+0.4155i,5594.1+0.42603i,5490.8+0.42468i,5694.4+0.40985i,5786.5+0.42342i,5776.8+0.42024i,5733.6+0.42182i,5470.9+0.42146i,5593.7+0.45215i,5570.7+0.4339i,5779.1+0.42396i,5787.5+0.42633i,5685.4+0.42807i,5685+0.43322i,5647.2+0.43973i,5526.3+0.44114i,5707.1+0.45456i,5737.9+0.45697i,5531.4+0.44516i,5674+0.45337i,5617.5+0.44859i,5638.3+0.44104i,5823.7+0.45133i,5595.1+0.44299i,5611.8+0.43895i,5631.2+0.45515i,5644.1+0.46775i,5708.3+0.46168i,5609.1+0.45305i,5658.3+0.45096i,5615.3+0.46855i,5619.9+0.45018i,5565.7+0.46556i,5712.7+0.46007i,5678.2+0.47071i,5714.8+0.45664i,5839.9+0.47073i,5600.8+0.47302i,5536.4+0.47903i,5595.2+0.47752i,5963.7+0.45896i,5740.7+0.48657i,5479.4+0.47144i,5581.8+0.47739i,5669.6+0.48401i,5488.2+0.48415i,5572.4+0.48303i,5612.3+0.48766i,5765.5+0.48291i,5758.1+0.48552i,5528.6+0.49248i,5637.2+0.49444i,5787.6+0.48975i,5516.8+0.49576i,5724.9+0.5003i
11952+0.20004i,12036+0.21527i,11846+0.209i,12414+0.21575i,12251+0.21415i,11868+0.20806i,11547+0.20986i,11784+0.20763i,11483+0.21079i,12161+0.20973i,11788+0.21015i,11930+0.2157i,11483+0.20372i,11470+0.20247i,11112+0.21136i,11454+0.21337i,11239+0.2124i,11271+0.20766i,11654+0.21025i,11306+0.20796i,11469+0.21777i,10713+0.2078i,11348+0.21291i,11344+0.2058i,11026+0.20986i,10982+0.21366i,10965+0.20708i,11337+0.21162i,10996+0.21506i,11374+0.21249i,11152+0.2123i,10997+0.21673i,10828+0.20518i,10835+0.20586i,10892+0.21469i,10674+0.21459i,10904+0.21084i,11070+0.21505i,10743+0.2112i,10949+0.21396i,10959+0.21187i,10972+0.20717i,10814+0.21173i,10642+0.20914i,10683+0.21663i,10658+0.21496i,11099+0.20785i,10866+0.20754i,10869+0.21023i,10799+0.21103i,10605+0.22111i,11012+0.21294i,10783+0.20913i,10715+0.21147i,10533+0.21212i,10556+0.21572i,10288+0.20941i,10544+0.21086i,10784+0.21024i,10746+0.21471i,10612+0.22284i,10525+0.20609i,10693+0.20172i,10825+0.20958i,10528+0.21248i,10628+0.20913i,10033+0.21051i,10350+0.21494i,10569+0.2081i,9909.7+0.22057i,10649+0.20741i,10562+0.22166i,10582+0.20947i,10144+0.21373i,10426+0.2188i,10394+0.21184i,10284+0.22287i,10345+0.21871i,10077+0.21647i,10206+0.21537i,10170+0.21446i,10060+0.21284i,10044+0.21002i,10083+0.21552i,10292+0.2213i,10102+0.21657i,10100+0.21756i,9905.8+0.21771i,9890.2+0.21699i,9947.4+0.21624i,9605.1+0.21201i,9573.4+0.21554i,9727.7+0.22241i,10188+0.21097i,9918.4+0.21068i,9838.6+0.21462i,9849.3+0.21646i,9900.1+0.21276i,9817.8+0.21861i,9759.6+0.22522i,9657.7+0.20892i,9219.5+0.22059i,9665.7+0.21656i,9661.7+0.22655i,9687.2+0.22282i,9587.7+0.22302i,9710.9+0.22565i,9208.1+0.22221i,9545.6+0.22171i,9377.6+0.22582i,9168.2+0.22355i,9503.2+0.22627i,9280.6+0.22068i,9333.6+0.22566i,9276.9+0.22477i,9111.3+0.22654i,8935.4+0.23082i,9072.6+0.22226i,9102.6+0.22322i,9093.7+0.22951i,9188+0.228i,8649.4+0.21943i,8939.3+0.22239i,9005+0.22896i,9219+0.22108i,8393.2+0.2327i,8957.3+0.23459i,8579.6+0.2325i,8766.2+0.23857i,8710.8+0.23192i,8708.7+0.23264i,8571.4+0.23042i,8608.6+0.22842i,8836.6+0.23548i,8747.9+0.23426i,8344.5+0.23188i,8065.5+0.23649i,8473.6+0.23928i,8374.4+0.23137i,8290.9+0.23455i,8505.9+0.24013i,8299.2+0.24899i,8259.8+0.23782i,8366.3+0.22944i,8012.2+0.24546i,8538.4+0.24818i,8072.3+0.23764i,7861.9+0.24562i,7979+0.24389i,8308.3+0.24394i,7964.9+0.24206i,7929.3+0.23993i,7715.8+0.24856i,7915.6+0.24401i,7808.1+0.24239i,7713.2+0.24419i,7666.7+0.256i,7884.7+0.24643i,7586.1+0.25112i,7807.8+0.24863i,7371.8+0.25194i,7577.3+0.24872i,7389+0.25611i,7487.4+0.25738i,7417.1+0.25445i,7373.8+0.25192i,7387.6+0.25259i,7459+0.25401i,7372.7+0.25794i,7085.1+0.25538i,7348.4+0.25787i,7652.9+0.25842i,7188+0.25178i,7219.4+0.26006i,6980.1+0.25545i,7036.9+0.25277i,7092.3+0.26105i,7186+0.25985i,7210.3+0.25794i,6994.6+0.26536i,7079.3+0.27068i,7104+0.26011i,7191.2+0.26341i,7020+0.26473i,6937.3+0.2723i,6897.8+0.27518i,6919.2+0.27282i,6831+0.26522i,6744.3+0.26684i,6782.8+0.27436i,6714.1+0.26834i,6906.8+0.27058i,6609.9+0.27266i,6667.3+0.2755i,6779.4+0.27734i,6835.4+0.27941i,6574.2+0.28257i,6621+0.28169i,6280.4+0.27424i,6582.5+0.27173i,6758.4+0.29008i,6614.7+0.27449i,6483.8+0.2948i,6515+0.29174i,6334.9+0.29157i,6505.6+0.28392i,6629.2+0.28807i,6421.4+0.28168i,6472.3+0.29271i,6517.3+0.27725i,6213.2+0.29847i,6458.8+0.28344i,6548+0.29966i,6210.2+0.30149i,6319.3+0.29335i,6205+0.29773i,6213.1+0.29515i,6325.5+0.30095i,6359.1+0.29372i,6204.2+0.29719i,6163.1+0.29348i,6315+0.29521i,6101.2+0.29598i,6062.8+0.30828i,6232+0.29545i,6404+0.2993i,6115.3+0.292i,6076.5+0.3093i,6273.1+0.30766i,6217.3+0.30612i,6115.9+0.3008i,6140.6+0.30705i,6036.9+0.31175i,6198.7+0.30897i,6447.1+0.32426i,6248.4+0.31135i,6115+0.31019i,6053.9+0.31208i,6128.5+0.29926i,6034.4+0.3152i,6079.9+0.31325i,5779+0.32027i,6079.3+0.31828i,5924.5+0.31947i,6088+0.31221i,6067.1+0.32141i,6162.7+0.31232i,5945+0.30973i,5883.8+0.31204i,5848.9+0.31638i,6078.8+0.31834i,6017.8+0.31954i,6090.3+0.31768i,5863.8+0.32048i,6091.2+0.32056i,5893+0.32986i,5788.9+0.33014i,6056.9+0.33528i,5967.2+0.32461i,5887.6+0.33136i,5898.4+0.33703i,6119.9+0.33335i,5941.9+0.33327i,5863.1+0.33184i,6015+0.32948i,5912.6+0.32857i,6078+0.33726i,5982.7+0.34029i,5943.6+0.3401i,5722.2+0.33637i,5926.9+0.3427i,6302.2+0.34545i,5923+0.34872i,5864.8+0.35031i,5972.6+0.34842i,5805.5+0.34404i,5680.9+0.35069i,5913+0.35289i,5753.3+0.32943i,6002.9+0.34832i,5564.8+0.34978i,5700.3+0.34473i,5748.7+0.35895i,5855.6+0.35097i,5668+0.35999i,5707.3+0.34414i,5958.5+0.35222i,5724.7+0.34479i,5683.7+0.34536i,5853.2+0.34832i,5764.8+0.35828i,5914.2+0.3521i,5843.8+0.35783i,5632.8+0.35776i,5706.1+0.37264i,5553.9+0.34624i,5942.3+0.37337i,5772.9+0.37165i,5916.1+0.35799i,5704.3+0.36084i,5803.6+0.36985i,5541.3+0.36789i,5796.4+0.36899i,5700.1+0.37354i,5954.8+0.36748i,5852.7+0.36815i,5635+0.3829i,5716.8+0.36928i,5827.2+0.37516i,5883+0.38141i,5757.8+0.38094i,5778.7+0.38582i,5921.8+0.37103i,5845.5+0.37219i,5650.3+0.39005i,5711.1+0.393i,5666.1+0.37931i,5647.5+0.39217i,5649.8+0.38711i,5605.7+0.39795i,5750.1+0.38348i,5987.6+0.40333i,5621.6+0.38593i,5815.9+0.4017i,5726.4+0.39334i,5762.4+0.39548i,5833.1+0.39246i,5629.3+0.38752i,5900.9+0.39134i,5871.7+0.39634i,5801.5+0.40903i,5812.5+0.40683i,5876.2+0.39473i,5600+0.40637i,5519.7+0.40717i,5524.1+0.42154i,5741.8+0.41515i,5643.4+0.41811i,5488.7+0.42223i,5553.3+0.43179i,5585.4+0.41872i,5855.4+0.41961i,5687.9+0.42891i,5890+0.4142i,5772.3+0.42466i,5595.5+0.4196i,5884.9+0.41644i,5714.6+0.4167i,5944.9+0.41917i,5731.1+0.43732i,5777.6+0.42933i,5768.2+0.43066i,5718.7+0.4274i,5627.8+0.43827i,5647.3+0.43177i,5523.3+0.43858i,5739.8+0.40918i,5527.2+0.43339i,5728.4+0.44165i,5530+0.43752i,5834.8+0.42089i,5349+0.45772i,5785.3+0.43143i,5762.3+0.44199i,5799.5+0.44359i,5767.7+0.44381i,5654.2+0.45626i,5561.4+0.43776i,5730.4+0.45304i,5513.9+0.43724i,5639.5+0.45641i,5662.3+0.44684i,5664.8+0.46842i,5674.4+0.45528i,5728.1+0.44918i,5606.5+0.46085i,5629.6+0.45401i,5780.5+0.46429i,5719.4+0.48127i,5516.5+0.46103i,5546.8+0.47401i,5747.7+0.47589i,5599.4+0.47395i,5704.8+0.46984i,5756.5+0.47371i,5491.2+0.47027i,5669.2+0.47116i,5728.6+0.46558i,5711+0.4891i,5462+0.47934i,5710.8+0.47789i,5675.6+0.48299i,5356.8+0.47937i,5698.5+0.48055i,5884.3+0.49383i,5716.8+0.50312i,5745.1+0.5042i,5626.8+0.5074i,5547.3+0.50188i,5868.2+0.47905i,5776.1+0.50437i
