14663+0.21098i,14684+0.20489i,14770+0.20823i,14291+0.21251i,15052+0.2055i,14370+0.20661i,14501+0.21862i,14577+0.21174i,14627+0.21376i,14174+0.20832i,14131+0.21329i,14064+0.20868i,14157+0.2087i,14198+0.2163i,13963+0.20966i,14141+0.20953i,14320+0.20783i,14000+0.21079i,14492+0.20961i,14240+0.2131i,14139+0.20538i,13743+0.21107i,14069+0.20979i,13914+0.21556i,13683+0.20971i,14099+0.21199i,13838+0.20682i,14324+0.20719i,14048+0.21961i,14538+0.20995i,13825+0.2117i,13980+0.20693i,13812+0.21374i,13602+0.21087i,13676+0.21844i,13879+0.21375i,13628+0.20563i,13221+0.20971i,13703+0.20818i,13445+0.20482i,13879+0.21298i,13674+0.21161i,13576+0.21253i,13296+0.21202i,13569+0.207i,13742+0.21543i,12992+0.20708i,13621+0.20744i,13599+0.20682i,13484+0.20966i,13362+0.20883i,13445+0.21194i,13698+0.21377i,13576+0.21759i,13438+0.21526i,12961+0.20479i,13175+0.21178i,13260+0.2155i,13194+0.20885i,13414+0.21282i,13688+0.21055i,13036+0.21512i,13263+0.21189i,13374+0.21756i,13055+0.21025i,13060+0.22075i,13047+0.21895i,13156+0.21168i,13148+0.20657i,13438+0.21807i,13192+0.2128i,12688+0.21186i,13294+0.21904i,13160+0.22555i,12780+0.20951i,13147+0.21538i,12678+0.21696i,13099+0.21766i,12375+0.22233i,12503+0.22345i,12580+0.21769i,12656+0.214i,12136+0.21167i,12505+0.22208i,12861+0.22072i,12448+0.22381i,12941+0.22478i,12236+0.21673i,12031+0.22238i,12187+0.21847i,12529+0.22458i,12441+0.22147i,12233+0.21875i,12200+0.22176i,11585+0.21705i,12340+0.21354i,12336+0.22228i,12424+0.21967i,12076+0.22101i,11928+0.21692i,12097+0.22346i,11603+0.22897i,12370+0.2312i,11854+0.22816i,12006+0.22165i,12069+0.23487i,12088+0.2195i,12033+0.22056i,11911+0.22482i,11847+0.22254i,11754+0.22936i,11196+0.22707i,11703+0.21857i,11561+0.2335i,11539+0.22271i,11653+0.22566i,11208+0.23608i,11542+0.22854i,11016+0.22775i,11417+0.2229i,11268+0.23507i,11005+0.22997i,11054+0.23143i,11308+0.2258i,11112+0.23801i,11240+0.24249i,11057+0.23113i,10955+0.24128i,11110+0.23122i,10966+0.23171i,10929+0.23647i,10924+0.23325i,10746+0.24026i,10736+0.24356i,10454+0.2418i,10672+0.25031i,10756+0.25047i,10616+0.24867i,10696+0.24038i,10360+0.24316i,10506+0.24721i,10588+0.24152i,10380+0.24695i,10136+0.2519i,10273+0.24077i,9839.6+0.24096i,9723.1+0.24481i,10461+0.25908i,10365+0.25172i,10048+0.24789i,9717.6+0.25065i,9707.1+0.2583i,9944+0.25544i,10018+0.25016i,9700.9+0.25325i,10168+0.25811i,9621.3+0.25566i,9545.2+0.24686i,9952.2+0.25541i,9739.5+0.26145i,9677.3+0.25521i,9236.4+0.25379i,9591.4+0.25732i,9680.8+0.26005i,9479.3+0.26243i,9296.9+0.27102i,9404.3+0.26453i,9270.4+0.26717i,8992.1+0.25987i,8959.1+0.27452i,9285.5+0.26811i,9499+0.26361i,9218.2+0.27215i,9237.4+0.27291i,9019.3+0.2715i,8872.4+0.26934i,8888+0.2778i,8931+0.27177i,8687.2+0.26763i,8982.6+0.27884i,8815.3+0.27696i,8889.4+0.27984i,8552.1+0.28748i,8289.7+0.28546i,8677.6+0.28334i,8710.6+0.27969i,8893.6+0.28214i,8526.9+0.28019i,8418+0.28379i,8572.6+0.28206i,8284.3+0.28543i,8457.6+0.28822i,8594.7+0.29542i,8471.6+0.29128i,8222.4+0.29556i,8349.4+0.2959i,8425+0.2963i,8499.1+0.29562i,8345.2+0.29746i,8557.6+0.28766i,7923.8+0.30104i,8373.4+0.30015i,8070.4+0.3049i,7833.3+0.2965i,8356.3+0.29664i,8271.3+0.29861i,8340.4+0.30552i,7918.8+0.3096i,7555.4+0.30193i,8146.3+0.3136i,8073.1+0.31196i,7876.2+0.31892i,8021.5+0.31231i,8109.6+0.31478i,8005.4+0.3191i,7672.7+0.30913i,8097.9+0.31253i,7893.8+0.32089i,8129.2+0.32468i,8073.6+0.30553i,7805.8+0.31588i,7843.8+0.32089i,7661.5+0.32425i,7732.3+0.32604i,7909.7+0.32458i,7724.7+0.31408i,7807.7+0.32983i,7774.7+0.32657i,7819.1+0.32485i,7801.3+0.32634i,7552.3+0.31761i,7402.3+0.33336i,7535.1+0.33281i,7825.1+0.31744i,8083.9+0.3278i,7632.4+0.33622i,7643+0.33747i,7572.6+0.3323i,7755.8+0.32948i,7487+0.32703i,7493.9+0.34469i,7521.2+0.33642i,7512+0.34399i,7558.6+0.34481i,7494.6+0.34572i,7539.1+0.34096i,7587.7+0.33801i,7295.9+0.34638i,7579.3+0.36084i,7539.5+0.34625i,7347.8+0.36365i,7566+0.34799i,7674.3+0.35793i,7449.1+0.36595i,7295.6+0.35034i,7442.1+0.35066i,7162.2+0.35828i,7473.5+0.3529i,7411.5+0.36475i,7130.4+0.3598i,7295.6+0.36942i,7210.5+0.36441i,7376.6+0.36622i,7432.7+0.35659i,7642.3+0.36708i,7420+0.38163i,7236.2+0.37082i,7371.8+0.3727i,7543.2+0.37653i,7240.3+0.37947i,7327.7+0.36011i,7445.9+0.37373i,7286.5+0.36968i,7528.6+0.37382i,7214.7+0.37487i,7292.1+0.37771i,7402.9+0.38179i,7358.4+0.38551i,7330+0.39259i,7388.4+0.38405i,7297.8+0.37356i,7067.3+0.38459i,7183.3+0.4026i,7480.9+0.38328i,7392+0.37541i,7507.9+0.38228i,7395.8+0.37337i,7003.1+0.39293i,7346.5+0.38586i,7265+0.39063i,7521.7+0.37922i,7456.5+0.39535i,7431.8+0.38429i,7278.4+0.40789i,7130.9+0.40605i,7073.3+0.40576i,7064.3+0.41099i,7199.9+0.40678i,7350+0.40085i,7327.9+0.40125i,7428.8+0.40401i,6984.5+0.39529i,7312.3+0.4303i,7382.1+0.41525i,7180.5+0.41401i,7309.8+0.39749i,7041.5+0.42065i,7324.7+0.41533i,7257.7+0.41856i,7365.4+0.42909i,7090.4+0.41481i,7355.3+0.40603i,7130.7+0.40814i,7042.8+0.43028i,7059.2+0.45437i,7245.7+0.42628i,6979.3+0.42635i,7282.8+0.45148i,7232.4+0.44114i,7129.6+0.44161i,6973.1+0.4305i,6974.4+0.42278i,7290.4+0.44403i,7233.9+0.42978i,7152.9+0.4551i,6816.7+0.44285i,7224.9+0.44905i,7099.2+0.44395i,7295.6+0.43429i,7172.6+0.4516i,7219.5+0.44024i,7077+0.45228i,7164.2+0.44967i,7435.9+0.44145i,7156.7+0.45619i,7113.3+0.46769i,7077.4+0.44444i,6905.3+0.44814i,7189.7+0.45676i,7235.7+0.46477i,6996.3+0.46684i,7021.5+0.47352i,7279.9+0.47777i,6983.2+0.47071i,7344.2+0.47295i,6842.6+0.47005i,7363.1+0.48238i,6927.5+0.47803i,6957.4+0.48589i,7193.8+0.47574i,7024.3+0.46929i,6868+0.46812i,7038.8+0.48177i,7327.5+0.47629i,7258.2+0.48226i,7048+0.48059i,6967.7+0.49707i,7172.5+0.49043i,7011.5+0.4997i,6924+0.49904i,7073.8+0.50197i,7058.8+0.49713i,7320.1+0.51276i,7435.7+0.51332i,6990+0.50734i,7228.6+0.51083i,7162.9+0.49867i,7081.4+0.51083i,6972.1+0.506i,6939.2+0.50657i,7151.6+0.50129i,6952.6+0.51276i,7177.5+0.52256i,7316.3+0.53705i,7218.1+0.52236i,7174.8+0.53456i,6959+0.51407i,7147.8+0.52464i,7076.3+0.51047i,6956.7+0.53141i,7099.6+0.53458i,7103.6+0.53144i,7146.3+0.53801i,7142.9+0.52222i,7017.9+0.55575i,7084+0.54227i,6910.9+0.5529i,7187.5+0.55423i,7065.2+0.55651i,7218.9+0.57429i,7203.3+0.53284i,7275+0.54313i,7029.7+0.57344i,7056.9+0.55457i,7325.3+0.57483i,6822.1+0.56789i,7088.1+0.57124i,7070.5+0.59052i,7103.6+0.56906i,7071.7+0.58226i,6593.5+0.58572i
14198+0.21036i,14238+0.22155i,14463+0.21114i,15432+0.20891i,14869+0.2083i,14343+0.21591i,14349+0.20859i,14672+0.20476i,14136+0.21231i,14788+0.19953i,14450+0.21024i,14272+0.20969i,14228+0.2088i,14592+0.21374i,14112+0.21436i,14140+0.21959i,14884+0.21119i,14552+0.20745i,14215+0.20835i,13749+0.21183i,14088+0.20642i,13980+0.21653i,13534+0.21519i,13649+0.21454i,14368+0.21381i,13953+0.21735i,13725+0.21947i,14394+0.21494i,13722+0.21674i,13865+0.21159i,13570+0.21492i,13687+0.21821i,14117+0.21365i,13863+0.21017i,13886+0.21622i,13229+0.21328i,13606+0.2147i,13656+0.20545i,13457+0.21437i,13516+0.20601i,14140+0.21141i,13273+0.20885i,13674+0.20249i,13345+0.21115i,13734+0.21306i,13761+0.21583i,13556+0.21202i,13639+0.20404i,13431+0.20815i,13015+0.21719i,13728+0.21914i,13702+0.21161i,13074+0.2068i,13494+0.21549i,12858+0.21151i,13369+0.21236i,13238+0.21613i,13542+0.22122i,13554+0.21644i,13350+0.21339i,12875+0.2186i,13456+0.21114i,13207+0.20723i,12910+0.21106i,12873+0.20462i,13149+0.21287i,13189+0.21307i,13570+0.215i,12845+0.21796i,12911+0.22401i,12919+0.2111i,13053+0.20901i,13119+0.2138i,12544+0.21548i,12685+0.21583i,12901+0.21479i,12815+0.2109i,12926+0.21148i,12979+0.21803i,12721+0.21654i,12527+0.20873i,12850+0.21531i,12592+0.20828i,12421+0.21758i,12929+0.22266i,12410+0.21447i,12360+0.22147i,12364+0.21789i,12229+0.21389i,11928+0.21794i,12572+0.22058i,12644+0.21925i,12312+0.21509i,12395+0.22687i,12532+0.21695i,12658+0.22433i,12294+0.22436i,12049+0.21818i,12078+0.21582i,12215+0.22021i,11758+0.2152i,12361+0.21476i,11914+0.22117i,12031+0.22168i,11969+0.22733i,11976+0.22343i,11817+0.2285i,11524+0.23045i,11953+0.22673i,12025+0.22894i,11869+0.2263i,11642+0.22337i,11532+0.22416i,11538+0.22172i,11296+0.22159i,11325+0.23234i,11248+0.22989i,11376+0.23377i,11672+0.22497i,11284+0.22574i,11376+0.23126i,11484+0.2333i,11152+0.2362i,11204+0.22883i,11359+0.23668i,10603+0.22731i,10821+0.2274i,10664+0.22997i,11143+0.2305i,11096+0.2337i,10786+0.2414i,10628+0.23191i,10929+0.23115i,10581+0.24845i,10698+0.24075i,10855+0.24257i,10678+0.23463i,10784+0.24693i,10427+0.246i,10551+0.24547i,10579+0.23978i,10257+0.23979i,10184+0.24394i,10293+0.24113i,10668+0.24927i,10395+0.24436i,10220+0.2529i,10126+0.24367i,9890+0.24787i,9982.9+0.24709i,9751.6+0.25386i,10172+0.24978i,9523.7+0.2562i,9914.6+0.25679i,9542+0.2485i,10096+0.25938i,10211+0.25588i,9660.9+0.26149i,9512.4+0.26587i,9682.9+0.25655i,9414+0.25281i,9629.5+0.25529i,9444.7+0.26831i,9366.3+0.26508i,9334.3+0.26672i,9491.7+0.26314i,9312.6+0.26328i,9354.9+0.2733i,9325.1+0.27369i,9375.3+0.26451i,9442.4+0.26245i,8859.8+0.26286i,9100.7+0.26803i,8937.5+0.26918i,8858.9+0.26514i,8740.6+0.2736i,8784+0.2665i,8748.9+0.27922i,9016.6+0.27286i,8825.2+0.28273i,9093.7+0.28021i,8701.1+0.28452i,8803.2+0.28043i,8554.8+0.28057i,8906.1+0.28064i,8628.8+0.27792i,8886.2+0.27896i,8580.1+0.2884i,8823.4+0.28687i,8357.8+0.28275i,8590.3+0.27681i,8672.8+0.28697i,8401.2+0.28737i,8147.5+0.29425i,8133.3+0.29554i,8366.3+0.28907i,8409+0.299i,7931.2+0.29893i,8474.1+0.29595i,7979+0.29943i,8231.7+0.29267i,8292.7+0.2945i,8192.9+0.30092i,8023.9+0.3044i,8175+0.29845i,8305.9+0.31599i,8452.1+0.29909i,8238.5+0.30482i,7779.3+0.30365i,7858.5+0.31757i,7977.6+0.31138i,7984.6+0.30855i,8085.8+0.30868i,7951.5+0.31658i,8086.1+0.30877i,8264.3+0.31386i,7844.3+0.31478i,8107.9+0.29901i,7837+0.31008i,7780+0.32472i,7853.1+0.314i,7721.3+0.31246i,7656.8+0.30611i,7874.6+0.31957i,7716.8+0.32551i,7743.5+0.32977i,7743.3+0.32874i,7754.2+0.3285i,7748.7+0.31593i,7702+0.32035i,7852.2+0.33477i,7571.5+0.32366i,7574+0.3272i,7571.5+0.33366i,7404.3+0.33731i,7480.4+0.33242i,7797.3+0.35143i,7683.2+0.32163i,7676.7+0.34157i,7486.6+0.33842i,7441.2+0.33504i,7217.1+0.34261i,7361.4+0.34669i,7721.6+0.34524i,7755.9+0.34477i,7844.6+0.35211i,7566.1+0.34216i,7642.6+0.35408i,7493.7+0.34618i,7580.3+0.35192i,7419.6+0.35462i,7527.9+0.34222i,7344.7+0.35065i,7540.2+0.35457i,7605.8+0.35352i,7648.9+0.34881i,7507.1+0.36977i,7258.2+0.36208i,7419.5+0.35356i,7524.1+0.36187i,7413.6+0.35906i,7525.1+0.36584i,7550.8+0.36118i,7537.3+0.37554i,7340.5+0.3686i,7464.1+0.36683i,7706.7+0.35916i,7177+0.3628i,7264.3+0.36766i,7493.6+0.3672i,7301.5+0.37034i,7353.6+0.37633i,7346.1+0.37606i,7498.3+0.3799i,7254.8+0.3771i,7430+0.37476i,7340.8+0.38354i,7342.9+0.38101i,7370.3+0.38696i,7365.2+0.38128i,7478.1+0.39496i,7344.1+0.38465i,7430.4+0.37231i,7373.8+0.39754i,7241.7+0.38481i,7309.1+0.39281i,7010.2+0.39178i,7252.3+0.39345i,7234.2+0.40031i,7222.7+0.4018i,7251.7+0.40247i,7124.1+0.39619i,7233.7+0.39744i,7449.1+0.39582i,6996.1+0.40384i,7447.3+0.40266i,7354.3+0.40238i,7146.2+0.40786i,7134+0.40166i,7070.9+0.41164i,7147.2+0.40251i,7161.2+0.41405i,7112+0.41938i,7150.9+0.42306i,7307.1+0.41934i,7496.3+0.41463i,7075+0.42105i,7354.7+0.40952i,7032.5+0.41554i,7180.6+0.43177i,7115.2+0.43046i,7037.5+0.41574i,7019+0.42226i,7206.6+0.42569i,6860.9+0.42892i,7324.5+0.43506i,7259.4+0.44029i,7201.3+0.43309i,7200+0.44588i,7348.4+0.44219i,7314.6+0.44717i,7132.9+0.43446i,7339.7+0.43057i,7257.3+0.42675i,7180.3+0.44281i,6985+0.44762i,6993.6+0.43775i,7110.1+0.45428i,7056.4+0.46141i,7012.7+0.45576i,7195.8+0.44924i,7129+0.44622i,7299.7+0.45077i,7152.7+0.46555i,7106.1+0.45141i,7221.8+0.45943i,7090.3+0.4584i,7163.9+0.45047i,7360.2+0.47142i,7147.8+0.46435i,7075.7+0.44757i,7045.7+0.46687i,7162.5+0.45893i,7200.1+0.4769i,7319.2+0.47173i,7076.2+0.46902i,7062.5+0.46871i,7021+0.47021i,7178.6+0.46937i,7013.7+0.47063i,7275.9+0.46946i,7212.7+0.48658i,7117.4+0.49426i,7190.7+0.48307i,7131.7+0.49243i,6854.1+0.49005i,7128.7+0.49466i,7181.4+0.48561i,6781.7+0.49258i,7165.9+0.47329i,7146+0.49793i,7402.9+0.49456i,7207.8+0.50039i,6931+0.49701i,7393.4+0.50558i,7245.9+0.51232i,6998.6+0.50883i,7065.7+0.5172i,7093.5+0.52159i,6700.1+0.5178i,7236.3+0.51317i,6929+0.53581i,6939.7+0.53214i,7328.9+0.50596i,7044.1+0.53546i,7448.4+0.52447i,7367.5+0.52804i,7346.8+0.50588i,7229.1+0.53224i,7194+0.52838i,7047+0.54567i,7032.4+0.53787i,7017.1+0.55849i,7232+0.54165i,6991.5+0.51517i,7144+0.55512i,7133.3+0.54996i,7024+0.53601i,7185.7+0.56803i,6835.7+0.57369i,7083.3+0.54357i,7374.8+0.56743i,7058.7+0.54893i,6825.4+0.55173i,6781.7+0.55946i,7210.3+0.56803i,7065.9+0.5722i,7269.7+0.55529i,6906.3+0.56856i,7275.9+0.55972i,7181.5+0.58529i
15061+0.21485i,14569+0.20874i,14958+0.21363i,14056+0.20969i,14439+0.20836i,14343+0.20673i,14791+0.20995i,14625+0.2099i,14526+0.21139i,14933+0.21115i,14679+0.2083i,14516+0.21481i,14463+0.20349i,14144+0.21248i,14162+0.21237i,14071+0.211i,14541+0.21281i,13951+0.21571i,14720+0.20908i,13857+0.206i,14013+0.20774i,14010+0.21269i,14298+0.2194i,13842+0.2125i,13814+0.20348i,14306+0.20941i,14041+0.21408i,13656+0.21123i,14057+0.21595i,13685+0.22198i,13934+0.21358i,13471+0.21384i,13904+0.21658i,13905+0.21279i,13620+0.21116i,13516+0.19799i,14012+0.20491i,13796+0.21312i,13212+0.20982i,13876+0.2105i,13405+0.20822i,13728+0.21308i,13559+0.21376i,13511+0.21433i,13638+0.21781i,13242+0.21647i,13226+0.2104i,14220+0.20828i,13687+0.21455i,13296+0.20733i,13463+0.21418i,13425+0.21142i,12665+0.21145i,14050+0.2126i,13311+0.21458i,13727+0.2119i,13695+0.2165i,13346+0.21299i,13565+0.20745i,12933+0.21279i,13284+0.21599i,13254+0.21494i,13640+0.20838i,12994+0.21381i,13226+0.21932i,12936+0.21684i,13146+0.20776i,12918+0.21487i,13063+0.21423i,13005+0.21296i,12932+0.22137i,12981+0.2176i,12741+0.21669i,12585+0.21373i,12971+0.21048i,12837+0.21518i,12865+0.21334i,12738+0.21504i,12676+0.20994i,12682+0.21119i,12459+0.21575i,12650+0.21786i,12990+0.21289i,13452+0.21578i,12488+0.20941i,12969+0.22252i,12936+0.21471i,12818+0.2145i,12644+0.21849i,12517+0.22151i,12464+0.2206i,12397+0.21996i,12408+0.21187i,11562+0.22411i,11654+0.23144i,12279+0.22479i,11990+0.21262i,12224+0.22389i,11997+0.21999i,11964+0.22222i,12456+0.2221i,12033+0.22398i,11839+0.21964i,12060+0.22493i,11786+0.22264i,11868+0.21816i,11930+0.22308i,11515+0.23158i,11883+0.22542i,11417+0.22323i,12096+0.21871i,12007+0.23142i,11385+0.22214i,11393+0.22083i,11045+0.22469i,11438+0.23001i,11802+0.22345i,11758+0.23579i,11183+0.22629i,11152+0.23328i,10984+0.23726i,10871+0.23107i,11004+0.2305i,11163+0.23177i,10919+0.23652i,11176+0.23875i,11405+0.22662i,10951+0.22938i,10960+0.23325i,10703+0.23955i,11003+0.2346i,10596+0.23641i,10750+0.24292i,10684+0.23678i,10340+0.24114i,10759+0.23463i,10454+0.23626i,10700+0.2396i,10525+0.24189i,10774+0.24041i,9983.3+0.25392i,10087+0.25025i,10513+0.24397i,10433+0.23863i,10238+0.24402i,10505+0.24109i,10515+0.25087i,10295+0.24971i,10048+0.25509i,9884.4+0.24729i,9684.4+0.25304i,9714.3+0.25575i,10048+0.25216i,10034+0.25032i,9622.5+0.24786i,9795+0.2554i,9991.5+0.2576i,9566.4+0.25362i,9909.2+0.25797i,9751.9+0.26092i,9468+0.26232i,9622.1+0.25468i,9406.3+0.26053i,9398.3+0.25014i,9476+0.26496i,9176.4+0.26413i,9418.4+0.27332i,9415.8+0.26564i,9048.5+0.25531i,8805.2+0.25475i,8840.9+0.27594i,9081.9+0.26791i,9502.6+0.27418i,9015.7+0.26651i,8898.2+0.27431i,9099.8+0.27624i,9122.5+0.2728i,9239+0.27285i,8898+0.27437i,8889.8+0.27561i,8864.6+0.27838i,9083.2+0.27504i,8354.7+0.27939i,8719.2+0.28432i,8829.1+0.27674i,9032.3+0.28925i,8517.4+0.28114i,8528.1+0.29129i,8320.1+0.28455i,8527.6+0.27932i,8600.4+0.29657i,8587.7+0.29064i,8750+0.2853i,8515.6+0.3007i,8491.1+0.29863i,8243.9+0.28952i,8367.1+0.28946i,8291.5+0.30114i,8544.6+0.29484i,8212.7+0.30165i,8467.6+0.30072i,8123.2+0.30431i,8110.6+0.30606i,8437.6+0.29869i,8132.9+0.30289i,8335.5+0.29786i,8502.3+0.30206i,7904.9+0.30236i,8260+0.29774i,7817.4+0.30938i,7982.9+0.30623i,8278.2+0.30369i,8128+0.31695i,7962.6+0.30527i,7944.6+0.31898i,7679.1+0.30931i,7926.5+0.31911i,7897.9+0.31327i,7859.2+0.32051i,7848.2+0.32219i,7604.1+0.31533i,7583.1+0.31188i,7726.7+0.31375i,7847.9+0.31324i,7781.4+0.32352i,7517.7+0.30856i,7858.9+0.32025i,7570.1+0.31716i,7355.7+0.33181i,7748.2+0.32465i,7737.2+0.32987i,7789.5+0.331i,7431.9+0.31814i,7738+0.33719i,7556.6+0.3336i,7693.8+0.33779i,7830.2+0.34763i,7625.2+0.33895i,7613.6+0.3423i,7326.4+0.33946i,7410.9+0.34345i,7756.9+0.33698i,7440.2+0.34242i,7604.9+0.35775i,7696+0.35213i,7311.6+0.34221i,7232.4+0.34861i,7660.4+0.35566i,7313.6+0.35164i,7268.5+0.35688i,7415.3+0.36116i,7560.5+0.35045i,7700.9+0.34804i,7424+0.35841i,7412.4+0.34415i,7369.9+0.34832i,7604.9+0.36064i,7673.7+0.37293i,7463.8+0.35853i,7347.3+0.35666i,7488.5+0.36267i,7303.8+0.36129i,7384.2+0.37339i,7288.8+0.37113i,7438.6+0.35172i,7453.6+0.35849i,7195.2+0.37155i,7452.8+0.36798i,7091.8+0.36831i,7379.3+0.37199i,7339.3+0.37718i,7302.3+0.37401i,7545.1+0.37543i,7384.6+0.37691i,7111.3+0.37745i,7604.9+0.37264i,7472.3+0.37563i,7340.7+0.39011i,7211.9+0.36589i,7241.9+0.39321i,7129.4+0.38122i,7101.2+0.38951i,7298.5+0.3819i,7246.8+0.37781i,7343.3+0.39054i,7456.8+0.39483i,7180.5+0.38725i,7250.7+0.38453i,7148.8+0.3923i,7314.4+0.39723i,7171.5+0.40277i,7180.3+0.40304i,7288+0.39744i,7379.5+0.39779i,7405.6+0.40373i,7113+0.40047i,6959.1+0.40622i,7243.8+0.41097i,7104.1+0.40341i,6962.4+0.40842i,7456.8+0.39473i,7180.6+0.40935i,7064.3+0.41873i,7068.4+0.42491i,7105.1+0.40992i,6870.9+0.42267i,7366.6+0.41595i,7145.8+0.42092i,7234.8+0.4112i,7260.2+0.40961i,7177.7+0.43582i,7259.5+0.4331i,7110.1+0.4217i,7299.9+0.42848i,7163.2+0.42115i,6938.1+0.43466i,7241.3+0.45348i,7138.5+0.44083i,7522.5+0.43305i,7085.4+0.41381i,6913.3+0.44566i,7080.1+0.4268i,7223+0.44016i,7240.9+0.43795i,7029.9+0.44165i,7255.1+0.43746i,7029.3+0.43847i,7254.8+0.43154i,7195.6+0.44366i,6955.9+0.4491i,7258.6+0.45263i,7405.2+0.45767i,7135.4+0.45894i,6980.7+0.44231i,7045.6+0.46732i,7434.8+0.46731i,7195.3+0.45565i,7133.8+0.4626i,7293.1+0.46264i,7154.9+0.47442i,7229.4+0.48i,7241.3+0.46136i,7087.8+0.46324i,6929.8+0.48023i,7141.7+0.48657i,6989.4+0.48018i,7029+0.49303i,6972.7+0.47934i,7304.8+0.47186i,7084+0.48023i,7120.5+0.49099i,7061.4+0.4731i,7139+0.49582i,6948.3+0.48007i,7332.3+0.47202i,7183.7+0.50716i,7065.9+0.50935i,7131.9+0.4959i,7134.6+0.49028i,7246.7+0.4944i,7314.3+0.49654i,7178.8+0.48829i,7072.1+0.50354i,7246.8+0.50449i,7052.3+0.4945i,6924.7+0.49349i,7084.7+0.50641i,7066.5+0.50409i,7077.1+0.50904i,7258.3+0.54585i,6878.6+0.53482i,7062.7+0.50993i,6961.8+0.52572i,7129.4+0.522i,7273.3+0.52388i,7140.4+0.52678i,6934.1+0.52837i,6895.5+0.52964i,7177.1+0.52606i,7099.6+0.53353i,7228.9+0.53227i,7006.5+0.53758i,6975.8+0.52566i,7169.1+0.54753i,7349.1+0.52523i,6892.3+0.55527i,7202.5+0.55341i,7139.8+0.54698i,6920.5+0.56707i,6738.1+0.55882i,7264+0.57026i,7085.5+0.56162i,7230.8+0.56032i,7226.1+0.54596i,6987.6+0.58336i,7213.6+0.57025i,7094+0.54704i,7227.4+0.56168i,6867.6+0.58053i,6954+0.57731i,7129.2+0.56961i
