14757+0.20795i,14929+0.21041i,14718+0.20716i,14577+0.21058i,14935+0.20733i,14436+0.20985i,14509+0.21044i,14250+0.21436i,14303+0.21331i,14402+0.21471i,14127+0.20842i,14192+0.2097i,14305+0.21302i,14309+0.21016i,14258+0.20664i,14206+0.21391i,14265+0.21659i,14278+0.20845i,13992+0.21481i,14281+0.20725i,13714+0.20819i,14266+0.20999i,13959+0.21124i,13852+0.21351i,13943+0.21098i,13849+0.21181i,14095+0.21045i,13686+0.20851i,13925+0.21006i,14045+0.20806i,13948+0.21138i,13948+0.20738i,13677+0.21292i,13661+0.21376i,13769+0.21297i,13963+0.21194i,13578+0.20899i,13844+0.21212i,13584+0.21163i,13483+0.21267i,13431+0.20806i,13942+0.2137i,13879+0.21116i,13567+0.21427i,13492+0.20873i,13373+0.21137i,13647+0.21105i,13460+0.21308i,13208+0.21379i,13661+0.21241i,13360+0.21671i,13610+0.2135i,13388+0.21238i,13263+0.21224i,13158+0.21065i,13129+0.2122i,13305+0.21588i,13230+0.20827i,13330+0.21365i,13351+0.20923i,13015+0.21478i,13302+0.2162i,12925+0.21456i,12928+0.21292i,13098+0.21276i,13316+0.21479i,13107+0.21474i,12964+0.20833i,12938+0.21109i,13146+0.21272i,12782+0.21036i,12994+0.21325i,12994+0.21235i,12964+0.21672i,12812+0.21863i,12648+0.21843i,12975+0.21587i,12967+0.2147i,12556+0.21661i,12605+0.2142i,12757+0.21593i,12763+0.21864i,12869+0.21573i,12511+0.21801i,12622+0.21486i,12633+0.21509i,12497+0.21813i,12794+0.2163i,12856+0.21461i,12588+0.21241i,12695+0.22119i,12626+0.2175i,12496+0.21947i,12246+0.22144i,12242+0.21796i,12238+0.22012i,12054+0.21755i,12324+0.21777i,12091+0.21924i,12276+0.22224i,12014+0.22024i,11918+0.22097i,11963+0.22488i,11880+0.2196i,11854+0.21716i,11936+0.22594i,11775+0.21886i,11802+0.22588i,11671+0.22374i,11587+0.22315i,11728+0.22486i,11636+0.22611i,11567+0.22666i,11517+0.22719i,11408+0.2323i,11359+0.23017i,11375+0.22419i,11304+0.22799i,11365+0.22688i,11181+0.23412i,11319+0.2318i,11085+0.22884i,11106+0.23434i,11099+0.23599i,11010+0.2333i,11169+0.23817i,10942+0.23427i,10921+0.23505i,10861+0.23555i,10808+0.23463i,10913+0.23466i,10681+0.23809i,10790+0.23158i,10808+0.23931i,10771+0.23927i,10567+0.23837i,10617+0.23805i,10639+0.24322i,10504+0.24273i,10582+0.2404i,10364+0.24281i,10258+0.24167i,10497+0.249i,10312+0.24261i,10067+0.24967i,10337+0.24752i,10365+0.24871i,10201+0.25002i,9943.8+0.24609i,9940.9+0.24881i,9808.9+0.25001i,9770.6+0.25099i,9812.4+0.253i,9635.3+0.24872i,9758.1+0.25352i,9437.5+0.25281i,9673.5+0.25764i,9639+0.25871i,9574.5+0.25639i,9618.2+0.2593i,9521.7+0.26107i,9647.3+0.26181i,9425+0.25818i,9298.8+0.26312i,9360.9+0.26557i,9347.2+0.26301i,9191.7+0.26744i,9463.6+0.27048i,9175.6+0.26544i,9080.5+0.26719i,9003.9+0.26498i,9177.1+0.27218i,9077.6+0.2717i,9155.1+0.27149i,9028+0.27539i,9035.5+0.27398i,8932.1+0.27315i,8745.4+0.27709i,8957.6+0.27725i,8848.8+0.27516i,8732+0.27882i,8656.6+0.27662i,8844.4+0.28186i,8758.2+0.28095i,8578.8+0.27685i,8565.6+0.27764i,8644.7+0.28026i,8654.2+0.28098i,8554.4+0.28389i,8590.3+0.2897i,8435.1+0.28765i,8581.1+0.28803i,8522+0.29111i,8292.4+0.29027i,8325.7+0.29501i,8340.4+0.29677i,8286.1+0.29516i,8315.1+0.28962i,8322.1+0.29174i,8328.8+0.29771i,8393.6+0.29365i,8209.7+0.2953i,8318+0.29951i,8126.7+0.30177i,8117.9+0.30623i,8085.8+0.30312i,8139.7+0.30499i,8036.9+0.30536i,8102+0.30257i,7969.2+0.3072i,8099.5+0.30771i,8137.7+0.3161i,7894.7+0.31626i,7876.8+0.31075i,7830.7+0.31638i,8000.5+0.31782i,7915.1+0.31003i,7818.9+0.31526i,7854+0.32177i,7882.8+0.31477i,7852.4+0.31421i,7740.5+0.31837i,7842.9+0.32058i,7884.6+0.32513i,7709.1+0.32359i,7722+0.32651i,7612.1+0.32442i,7650.3+0.32952i,7819.3+0.32334i,7739.8+0.32952i,7661.9+0.32883i,7604.1+0.32988i,7779.5+0.32755i,7800.8+0.33068i,7731.8+0.32851i,7608.9+0.33381i,7618.5+0.32827i,7624.3+0.3433i,7662.6+0.34323i,7584.2+0.33566i,7552.6+0.33671i,7529.8+0.33356i,7619.8+0.34957i,7537.5+0.34218i,7614.2+0.34369i,7550.9+0.34145i,7496.3+0.34344i,7405.4+0.35232i,7575+0.34062i,7483+0.34505i,7482.8+0.35041i,7602.4+0.34849i,7499.9+0.35556i,7473.4+0.3517i,7485.7+0.35899i,7376.9+0.35671i,7532.3+0.35196i,7409.1+0.35986i,7439.9+0.35717i,7350.4+0.35857i,7537.4+0.36101i,7295.6+0.36326i,7511.5+0.3662i,7411.1+0.36368i,7319.8+0.37191i,7358.9+0.36501i,7387.5+0.36769i,7308+0.37327i,7375.9+0.37396i,7265.1+0.37226i,7422.3+0.37083i,7447.8+0.37174i,7282.3+0.37275i,7295+0.3762i,7296.1+0.3875i,7263.9+0.3798i,7369.4+0.37542i,7206.3+0.3702i,7272.3+0.38394i,7413.6+0.38075i,7297.1+0.38029i,7270.5+0.38741i,7214.7+0.3829i,7126.8+0.3873i,7365+0.38236i,7330.7+0.39371i,7266.4+0.39103i,7272.8+0.39059i,7279.5+0.40259i,7253.7+0.39671i,7228.7+0.399i,7424.6+0.40073i,7157.4+0.39928i,7189.3+0.39864i,7365.4+0.3962i,7344.4+0.40402i,7201.8+0.40519i,7304.6+0.40834i,7199.7+0.40767i,7250.4+0.40379i,7145.3+0.41448i,7173.5+0.40652i,7214.6+0.40962i,7249.4+0.41751i,7377.2+0.41206i,7211.1+0.41651i,7335.5+0.41382i,7124.1+0.41679i,7220+0.42104i,7159.1+0.42373i,7147.3+0.41307i,7121.3+0.42402i,7126.3+0.421i,7171+0.42011i,7125.1+0.4258i,7391.2+0.43032i,7164+0.42547i,7254.4+0.43017i,7127.6+0.43028i,7173.6+0.43934i,7290.2+0.43723i,7319.3+0.43089i,7115.6+0.44288i,7221+0.44147i,7112.5+0.44179i,7187.9+0.45049i,7302.5+0.44194i,7134.1+0.44552i,7151.9+0.43437i,7056.7+0.44582i,7000.5+0.45101i,7118.4+0.45179i,7113.7+0.45764i,7159.8+0.45594i,7011+0.45534i,7106.5+0.45766i,7060.2+0.45026i,7145.9+0.45867i,7163.6+0.47135i,7101.4+0.4606i,7187.2+0.46793i,7184.6+0.46559i,7133.9+0.48222i,7056.4+0.46337i,7207.8+0.46886i,7115.3+0.47318i,7114.2+0.47152i,7010.2+0.46319i,7047.7+0.47251i,7119.8+0.47682i,7095.6+0.48638i,7264.6+0.48537i,6973.1+0.48811i,7083.1+0.47851i,7137.5+0.48868i,7133.7+0.4806i,7183.5+0.4895i,7040.6+0.4956i,7029.8+0.49498i,7140.8+0.4843i,6943.5+0.49223i,7156.9+0.50614i,7100.3+0.50016i,7106.8+0.50016i,7079.9+0.50156i,7215.5+0.49701i,7136.5+0.5085i,7130.5+0.50604i,7106+0.51628i,7100.5+0.50807i,6942.4+0.51706i,7191.5+0.51659i,7082.1+0.52238i,7207.6+0.5213i,6941+0.52597i,7124.5+0.52341i,7053.3+0.52533i,7151.7+0.52478i,7181.2+0.53536i,7093.6+0.53314i,7107.1+0.53613i,6998.3+0.53309i,7144.7+0.52944i,7061.5+0.54472i,7097.2+0.54051i,7167.9+0.53311i,7163.6+0.53985i,7154.8+0.54612i,7132.1+0.54792i,7181.5+0.54866i,7007.9+0.55463i,7051.9+0.5487i,7010.3+0.55357i,7055.6+0.56093i,7096.8+0.56133i,6940+0.56795i,7043.3+0.56452i,6978.5+0.57368i,7088.8+0.5741i,7015+0.56861i,7080.6+0.57333i,
14508+0.20823i,14588+0.21513i,14633+0.20764i,14602+0.21229i,14473+0.20778i,14637+0.20804i,14536+0.21244i,14425+0.21271i,14390+0.20701i,14350+0.21127i,14111+0.20862i,14323+0.21007i,14276+0.20991i,14062+0.20621i,14294+0.21383i,14226+0.2111i,14055+0.20751i,14088+0.2094i,13910+0.20829i,14145+0.20931i,13985+0.21135i,14013+0.21044i,13901+0.20536i,13742+0.21191i,14105+0.21192i,13721+0.20621i,14247+0.20954i,14352+0.21177i,14174+0.21015i,13893+0.21083i,13805+0.21323i,13788+0.21017i,13901+0.21031i,13485+0.20865i,13774+0.20847i,13799+0.20792i,13877+0.21188i,13804+0.20911i,13625+0.21268i,13694+0.21018i,13747+0.21242i,13650+0.20813i,13632+0.21369i,13675+0.20995i,13631+0.21509i,13443+0.20924i,13485+0.21066i,13392+0.21077i,13493+0.21137i,13528+0.21141i,13753+0.21181i,13523+0.20942i,13280+0.21361i,13465+0.21259i,13545+0.21275i,13290+0.21351i,13235+0.2106i,13335+0.21363i,13180+0.21202i,13263+0.2164i,13402+0.21337i,13040+0.21323i,13101+0.21372i,13266+0.21324i,13119+0.21098i,13213+0.21477i,13046+0.21079i,13180+0.21178i,12903+0.21561i,13089+0.21391i,12921+0.21401i,13043+0.21424i,13069+0.2135i,12844+0.20809i,12977+0.21833i,12759+0.21657i,12934+0.21568i,12578+0.2173i,12963+0.21485i,12606+0.2191i,12882+0.21685i,12607+0.21674i,12693+0.21342i,12508+0.20923i,12590+0.21845i,12619+0.21496i,12446+0.22006i,12649+0.22039i,12400+0.21847i,12564+0.21914i,12254+0.21794i,12814+0.21931i,12327+0.22389i,12232+0.21723i,12276+0.22069i,12075+0.21702i,12233+0.22128i,12019+0.2222i,12251+0.2166i,12044+0.21732i,12110+0.22121i,12110+0.22175i,11985+0.22358i,12010+0.22366i,11961+0.22561i,11835+0.22519i,11943+0.22112i,11769+0.22533i,11863+0.22415i,11792+0.22343i,11904+0.2238i,11894+0.22853i,11635+0.22802i,11458+0.2254i,11399+0.22862i,11566+0.2264i,11418+0.22941i,11299+0.22805i,11306+0.22864i,11317+0.22791i,11229+0.22885i,11213+0.22992i,11163+0.22968i,10976+0.23201i,11206+0.22962i,11105+0.2333i,10965+0.22969i,11070+0.23218i,10813+0.23593i,10891+0.23295i,10880+0.23165i,10889+0.23741i,10748+0.23553i,10740+0.24008i,10573+0.24112i,10557+0.24052i,10664+0.23835i,10543+0.24075i,10514+0.23969i,10574+0.24014i,10370+0.24371i,10291+0.24584i,10465+0.24624i,10280+0.24794i,10317+0.24603i,10198+0.25117i,9944.7+0.24419i,10046+0.24825i,10121+0.25214i,10044+0.24732i,9906.4+0.25361i,9829.6+0.2537i,10003+0.25041i,9971.7+0.25466i,9777.6+0.25793i,9718.2+0.25231i,9659.7+0.25684i,9707.6+0.25409i,9527.9+0.25918i,9602.7+0.25338i,9612.6+0.26081i,9331.6+0.26322i,9544.5+0.25951i,9424+0.26559i,9471.5+0.26602i,9292+0.26408i,9312.8+0.26781i,9381.5+0.26864i,9201.5+0.26645i,9053.4+0.26708i,9072.6+0.27053i,9044.4+0.26919i,8971.6+0.26628i,9083.5+0.26901i,9060.7+0.26918i,8917.8+0.27351i,8972.3+0.27473i,8742+0.26863i,8975.6+0.27312i,8741+0.27413i,8764.6+0.27962i,8782.9+0.28153i,8734.5+0.28414i,8818.7+0.28104i,8622.1+0.28122i,8607.6+0.28401i,8663.5+0.286i,8615.1+0.29063i,8577.3+0.28785i,8455.6+0.29292i,8543.8+0.28816i,8459.4+0.28793i,8564.5+0.28723i,8492.3+0.28808i,8251.7+0.28661i,8455.1+0.29504i,8348.8+0.29552i,8329.6+0.30038i,8320.5+0.29803i,8176.5+0.29907i,8097.3+0.30117i,8275.6+0.29726i,8240.5+0.29568i,8304.3+0.29633i,8182.4+0.29752i,8196.4+0.3016i,8139.5+0.31004i,8116.2+0.29891i,7987.1+0.30326i,7971.5+0.30768i,8140.2+0.31194i,7999.1+0.3026i,7976.2+0.30869i,8057.9+0.31246i,7890.1+0.31386i,7871.5+0.31774i,7996.4+0.31628i,7916.8+0.31626i,7725.2+0.31524i,7923.5+0.31552i,7731.8+0.32027i,7846+0.31504i,7878.4+0.31854i,7897.4+0.32319i,7804+0.32231i,7820+0.3226i,7812.5+0.32183i,7645.7+0.32457i,7714.6+0.33009i,7783+0.32827i,7572.5+0.3304i,7705.9+0.32668i,7684+0.33008i,7654+0.32915i,7672.5+0.33538i,7600.8+0.33627i,7579.2+0.3346i,7946.4+0.34408i,7577.4+0.34018i,7631.5+0.33536i,7610+0.34069i,7523.5+0.34207i,7504.6+0.352i,7624.7+0.34284i,7516.4+0.34913i,7470.5+0.35076i,7525+0.34876i,7478.6+0.34532i,7509.5+0.34527i,7500.2+0.34856i,7531.6+0.35614i,7467.3+0.35469i,7472.1+0.34864i,7466.7+0.34895i,7538.6+0.34917i,7467.5+0.35529i,7422.1+0.361i,7464.9+0.36243i,7432.6+0.35706i,7322.6+0.36038i,7328.2+0.36042i,7336.3+0.36418i,7333.4+0.36984i,7481.8+0.36445i,7367.6+0.36651i,7408+0.36937i,7305.1+0.37114i,7335.8+0.36656i,7382.6+0.37123i,7361.4+0.36986i,7418.9+0.37183i,7256.5+0.36909i,7188.9+0.37642i,7373.8+0.36981i,7253.7+0.38057i,7290+0.37678i,7450.8+0.38306i,7290.8+0.37873i,7203.3+0.38027i,7301.5+0.3845i,7251.9+0.39102i,7235.6+0.38555i,7241.4+0.38968i,7316+0.38042i,7382.3+0.39245i,7310.5+0.38395i,7322.9+0.3868i,7153+0.39196i,7206+0.39856i,7329.7+0.39461i,7378.1+0.39925i,7256.6+0.39486i,7252.1+0.39193i,7308.3+0.40399i,7228.6+0.40147i,7184.6+0.39617i,7285.9+0.40705i,7262.5+0.39972i,7256.9+0.40716i,7095.2+0.41466i,7407.2+0.41178i,7239.5+0.41022i,7130.2+0.41468i,7119.4+0.41228i,7131.4+0.40885i,7229.8+0.41347i,7174.9+0.41331i,7333.5+0.42164i,7149.6+0.42706i,7175.5+0.41724i,7172.7+0.42622i,7192+0.4245i,7288.4+0.42238i,7136.4+0.43327i,7274.5+0.42303i,7233.2+0.43139i,7264.1+0.42875i,7160.6+0.4434i,7275.8+0.43247i,7147.4+0.43198i,7164.2+0.42993i,7065.4+0.43944i,7060+0.43268i,7210.2+0.43653i,7219+0.4424i,7018.2+0.44553i,7217.1+0.4492i,7272.5+0.44299i,7142.7+0.44309i,7078.1+0.44896i,7070.9+0.44823i,7108.1+0.45098i,7199.1+0.43943i,7189.3+0.4574i,7108.2+0.46242i,7026.7+0.4554i,7092.2+0.46234i,7093.1+0.45026i,7082.7+0.46631i,7195.2+0.46703i,7067.6+0.46627i,7069.2+0.46696i,7319.2+0.46452i,7239.4+0.47362i,7064.2+0.4634i,7211.5+0.46878i,7155.5+0.47728i,7124.3+0.4749i,7134+0.47508i,7150.3+0.48755i,7229+0.48379i,7129.1+0.4833i,7151.5+0.48141i,7129.5+0.47976i,7081.3+0.48496i,7197.5+0.48469i,7046.9+0.4949i,7093.4+0.49584i,7120+0.49454i,7174.3+0.49315i,7189.2+0.49437i,7152.7+0.50533i,7188.3+0.50028i,7063.7+0.50272i,7136.5+0.50453i,7178.3+0.5119i,7002.3+0.50896i,6994.8+0.51502i,7016.9+0.51542i,7241.1+0.51722i,7041.1+0.52486i,7173.8+0.51646i,7056.4+0.51525i,7116.3+0.52846i,7131.6+0.51912i,7061.8+0.53628i,7007.9+0.52199i,7170.3+0.52664i,7179.6+0.52408i,7021.4+0.52396i,6968.1+0.53367i,7033+0.54724i,6940.8+0.5405i,7117.6+0.54332i,7078.9+0.54163i,7064.8+0.54012i,7111.7+0.54146i,7067.4+0.549i,7143.4+0.54843i,7034+0.55366i,7074.7+0.5504i,7018.7+0.54851i,7026.6+0.55372i,7053+0.56644i,7016+0.56295i,7109+0.56094i,6982.2+0.57435i,7138.6+0.57213i,7034.9+0.57788i,7105+0.56611i,7018.9+0.58059i,
14476+0.20905i,14888+0.20893i,14464+0.20905i,14736+0.21094i,14561+0.20926i,14897+0.2116i,14401+0.20975i,14537+0.20585i,14421+0.20899i,14424+0.20947i,14740+0.21162i,14377+0.21261i,14454+0.21114i,14227+0.20628i,14460+0.20778i,13963+0.20961i,13859+0.20666i,13899+0.21094i,14036+0.21047i,14139+0.20904i,13950+0.21564i,14152+0.21333i,14073+0.21049i,13961+0.2056i,13940+0.21145i,13782+0.21075i,13987+0.21056i,13788+0.21197i,13697+0.21269i,13975+0.21i,13508+0.21157i,14029+0.20906i,14025+0.21186i,13524+0.21305i,13886+0.21067i,13521+0.2092i,13881+0.20798i,13589+0.21293i,13554+0.21397i,13660+0.21626i,13656+0.21319i,13649+0.21266i,13636+0.21203i,13674+0.21104i,13552+0.21264i,13549+0.21308i,13565+0.21324i,13560+0.21184i,13506+0.21293i,13547+0.20963i,13384+0.21217i,13372+0.21273i,13231+0.20863i,13543+0.20906i,13326+0.21045i,13179+0.2154i,13165+0.21228i,13351+0.21189i,13406+0.21287i,13479+0.21294i,13120+0.21264i,13047+0.21128i,13246+0.21081i,12896+0.21011i,13149+0.21582i,13034+0.21226i,13191+0.21357i,12906+0.2125i,12805+0.2123i,13135+0.21448i,12726+0.21165i,12825+0.2143i,12761+0.21576i,12960+0.21354i,12755+0.21299i,12758+0.21404i,12821+0.21775i,12936+0.21588i,12711+0.2191i,12795+0.21774i,12874+0.21711i,12548+0.2157i,12680+0.21625i,12638+0.21783i,12437+0.21331i,12643+0.21611i,12799+0.21393i,12358+0.21727i,12304+0.21889i,12378+0.21769i,12266+0.22166i,12458+0.21146i,12367+0.21777i,12395+0.21662i,12445+0.22014i,12314+0.21617i,12286+0.2244i,12360+0.2204i,12173+0.22035i,12232+0.2244i,12192+0.21963i,12170+0.22396i,11905+0.22509i,11897+0.22598i,11924+0.22209i,11720+0.21889i,11936+0.22304i,11662+0.22713i,11862+0.22162i,11735+0.22146i,11670+0.22597i,12030+0.22821i,11638+0.22826i,11662+0.22574i,11426+0.2218i,11544+0.22745i,11635+0.22486i,11268+0.22756i,11232+0.22762i,11055+0.23199i,11268+0.22979i,11151+0.23061i,11295+0.22908i,11163+0.23495i,11054+0.23101i,10986+0.23118i,11014+0.23393i,10843+0.23562i,10949+0.231i,10982+0.23703i,10884+0.23746i,10695+0.23583i,10720+0.2395i,10755+0.23666i,10633+0.23982i,10361+0.24045i,10617+0.24194i,10779+0.24126i,10422+0.24283i,10517+0.24098i,10602+0.23803i,10260+0.24209i,10294+0.24628i,10461+0.24791i,10241+0.25286i,10080+0.24722i,10182+0.24891i,10142+0.24612i,9941.5+0.24488i,10033+0.25047i,10059+0.24905i,9842.7+0.25295i,9776.8+0.25573i,9778.9+0.25339i,9726.8+0.25153i,9714.1+0.25247i,9647.3+0.25485i,9609.5+0.25556i,9616.1+0.25901i,9541.1+0.25771i,9506.5+0.25797i,9542.3+0.26036i,9474.5+0.2597i,9609.3+0.26462i,9449+0.26278i,9378.6+0.26383i,9360+0.26277i,9138.5+0.26895i,9061.9+0.2699i,9181.2+0.26674i,9245+0.26664i,9189.1+0.27223i,9086.8+0.26812i,9069+0.2731i,8942+0.26736i,8959.7+0.27388i,8922.4+0.27656i,8937.6+0.27039i,8783.6+0.27654i,8938.3+0.27424i,8817.2+0.27777i,8828.8+0.28065i,8817+0.28123i,8632.7+0.27653i,8637.5+0.28423i,8780.8+0.28729i,8667.8+0.28446i,8509.7+0.28555i,8550+0.29319i,8422.7+0.28505i,8339.2+0.28617i,8572.6+0.28623i,8631.6+0.28903i,8319.4+0.2883i,8292.4+0.28773i,8312.6+0.29503i,8386.6+0.29359i,8133.5+0.2953i,8313.4+0.29921i,8329.2+0.29098i,8176.4+0.30111i,8016.7+0.29806i,8164.7+0.29725i,8123.7+0.29747i,8066+0.29799i,8129.3+0.30353i,8058.8+0.30501i,8046.1+0.31078i,8209.5+0.30515i,8006.3+0.30606i,8021.2+0.3063i,8097.3+0.30575i,7906.1+0.31132i,7944.5+0.3123i,7946.5+0.30926i,7962.4+0.31318i,7965.8+0.31219i,7954.9+0.32i,7823.4+0.3215i,7890.8+0.32166i,7822.1+0.3252i,7870+0.32085i,7713.4+0.32398i,7902.9+0.31957i,7727.6+0.32328i,7890.9+0.32613i,7687.3+0.32847i,7761.4+0.3243i,7859.8+0.3277i,7733+0.32613i,7809.5+0.32756i,7549.5+0.32832i,7555.9+0.33024i,7799.8+0.33144i,7699.5+0.33838i,7644.8+0.33358i,7605+0.33485i,7801.7+0.33387i,7446+0.33771i,7674.5+0.33708i,7509.3+0.34183i,7619.5+0.33423i,7599.1+0.33927i,7692.4+0.34533i,7548.5+0.34155i,7523.5+0.33985i,7489.5+0.34664i,7619.9+0.34522i,7576.9+0.34572i,7558.9+0.3539i,7454.2+0.35152i,7449.4+0.34971i,7497.1+0.36248i,7516.1+0.35577i,7472.6+0.35326i,7331.2+0.35648i,7540.1+0.35452i,7452.9+0.35789i,7529.7+0.3577i,7516.9+0.36057i,7480.3+0.35818i,7360.5+0.35832i,7342.9+0.3643i,7377.7+0.36174i,7481.7+0.3646i,7384.9+0.36229i,7359+0.37011i,7296.6+0.37017i,7348+0.36705i,7419.4+0.37238i,7281.5+0.37128i,7364.3+0.3668i,7279.4+0.37581i,7343.7+0.37738i,7292.7+0.37916i,7286+0.38053i,7217.7+0.38682i,7265.2+0.37884i,7251.6+0.37794i,7382.8+0.37948i,7276+0.38491i,7342+0.39351i,7291.1+0.38177i,7475.3+0.38597i,7232.3+0.38472i,7126.3+0.39082i,7265.3+0.39797i,7217.7+0.39454i,7385.2+0.39589i,7273.8+0.39607i,7249.8+0.39852i,7235.3+0.39452i,7251.1+0.39856i,7332.9+0.39256i,7176.8+0.39675i,7267.1+0.40042i,7249.6+0.41041i,7278.3+0.40454i,7149.7+0.41462i,7193.1+0.40413i,7334.8+0.40471i,7161.7+0.40793i,7224.3+0.41389i,7157.8+0.41408i,7148.2+0.40544i,7218.1+0.41636i,7321.6+0.41558i,7289.1+0.4246i,7140.6+0.42234i,7242.3+0.41792i,7211.2+0.41672i,7198.3+0.4232i,7269+0.42488i,7285.1+0.42172i,6950.6+0.43435i,7245.9+0.4333i,7125.5+0.42468i,7119.4+0.43045i,7182.8+0.43083i,7247.2+0.43238i,7179.6+0.4262i,7194+0.43812i,7130.8+0.43521i,7137.4+0.43338i,7175.1+0.42801i,7211+0.44446i,7145.9+0.44579i,7110.1+0.44367i,7227.7+0.44409i,7185.6+0.44549i,7088.6+0.45235i,7230.3+0.45584i,7083.7+0.46222i,7179.7+0.45715i,7168.6+0.45328i,7059.6+0.46205i,7164.2+0.45645i,7135.8+0.45236i,7111+0.45994i,7088.7+0.46481i,7076.1+0.4679i,7173.9+0.46368i,7077+0.46602i,7205.9+0.47243i,7184.9+0.46739i,7112.4+0.45549i,7180.2+0.48115i,7080.6+0.47071i,7161.2+0.47126i,7116.8+0.48219i,7012.6+0.48614i,7101.6+0.48157i,7176.3+0.47801i,7082.9+0.48884i,7158.7+0.49033i,7130.6+0.48901i,7020.3+0.49797i,7066.3+0.48862i,7248.5+0.50046i,6999.3+0.50584i,7210+0.49048i,7097.3+0.49553i,7156.9+0.49614i,7157.5+0.50446i,7043.1+0.50455i,7041.8+0.49883i,7016.9+0.51501i,7037.3+0.51287i,7033.6+0.50925i,7044.7+0.51381i,7094.4+0.51475i,7258.7+0.50489i,7071.7+0.5168i,7015.5+0.51438i,7087.6+0.52043i,7142.1+0.52899i,7115.9+0.52073i,7128.3+0.5194i,7049.3+0.53436i,7097+0.52044i,7059.4+0.53307i,7108.5+0.53544i,7149.9+0.53775i,7127.2+0.55229i,7168+0.53845i,7063.9+0.54051i,7095.4+0.55026i,7184.1+0.54278i,7046.5+0.545i,7193.4+0.55898i,7102.3+0.55182i,7014.5+0.54365i,7108.3+0.56225i,7149.2+0.56012i,7106.3+0.56852i,7042.8+0.5695i,7119.2+0.56215i,7011.1+0.55958i,7089.8+0.56956i,7026.6+0.57943i,7087.1+0.57838i,
