14647+0.20589i,15045+0.20389i,14705+0.20346i,14308+0.21135i,14595+0.21546i,14716+0.20791i,14654+0.20932i,14586+0.2092i,14493+0.21037i,14523+0.20595i,14300+0.2044i,14353+0.20204i,14540+0.207i,14675+0.21093i,14518+0.21195i,14112+0.21957i,14429+0.21152i,14128+0.21595i,14042+0.2191i,14107+0.21141i,13841+0.20469i,13909+0.20704i,14008+0.21125i,14256+0.20613i,13920+0.21231i,14302+0.20023i,13531+0.21062i,13612+0.2128i,13835+0.20983i,13653+0.2089i,14078+0.21383i,13703+0.20374i,13693+0.20926i,13695+0.20926i,13585+0.20756i,14202+0.21322i,13559+0.21968i,13962+0.20664i,13516+0.21282i,13638+0.20541i,13336+0.20868i,13487+0.2063i,13204+0.20987i,13184+0.2095i,13767+0.21267i,13496+0.21358i,13497+0.20446i,13263+0.2035i,13721+0.21039i,13619+0.20724i,13613+0.20193i,13047+0.21095i,13136+0.21679i,13093+0.21546i,13602+0.21035i,13420+0.20509i,13276+0.21741i,13147+0.21155i,13086+0.20894i,13289+0.21407i,14136+0.20682i,13064+0.22582i,13330+0.20988i,13316+0.21029i,13539+0.20807i,12796+0.21148i,12717+0.21394i,12988+0.21391i,13014+0.21169i,13140+0.21996i,12720+0.20732i,13258+0.21862i,12826+0.21143i,13136+0.2171i,12943+0.21122i,13014+0.20968i,12789+0.20998i,12639+0.2155i,12673+0.21169i,12194+0.21492i,13111+0.21341i,12799+0.22012i,12872+0.22052i,12559+0.2109i,12816+0.21956i,12524+0.21552i,12879+0.21984i,12335+0.21527i,12797+0.21577i,12524+0.22501i,12117+0.22035i,12149+0.21986i,12482+0.21614i,12217+0.21736i,12329+0.21423i,12517+0.2111i,12066+0.2294i,12329+0.22162i,12829+0.21986i,12332+0.2202i,11994+0.22316i,11931+0.22327i,11961+0.22701i,11845+0.21908i,12095+0.22271i,11736+0.23381i,11723+0.22211i,11967+0.2252i,11999+0.22601i,11743+0.22038i,11855+0.22824i,11605+0.23019i,11920+0.22346i,11795+0.23962i,11554+0.23102i,11344+0.22672i,11677+0.23139i,11057+0.23379i,11633+0.22421i,11530+0.22705i,11268+0.23112i,11552+0.23433i,10891+0.23255i,10663+0.2233i,10937+0.23489i,10878+0.23532i,10932+0.23694i,11402+0.23277i,11029+0.24428i,10725+0.22772i,10959+0.2365i,10619+0.23157i,10849+0.23904i,10882+0.23865i,10413+0.24416i,10382+0.24i,10771+0.24778i,10544+0.24511i,10684+0.23863i,10383+0.23665i,10603+0.25344i,10343+0.23724i,10183+0.24886i,10367+0.2432i,10203+0.24978i,10026+0.25369i,9876.7+0.25035i,10232+0.24898i,10293+0.25126i,9984.2+0.25299i,10020+0.25522i,9721.1+0.25533i,10255+0.25706i,10310+0.2493i,9750.2+0.24759i,9798.9+0.26126i,9658.3+0.25899i,9402.3+0.25841i,9485.7+0.24929i,9353.9+0.25567i,9718.5+0.25657i,9684.3+0.26405i,9295+0.26465i,9641.6+0.25851i,9605.3+0.26145i,9045.3+0.26264i,9276.3+0.27556i,9290.4+0.26208i,8895.7+0.27498i,9183.2+0.26667i,9662.8+0.27094i,8828.1+0.27357i,9483.8+0.26923i,8855.4+0.26784i,8931.5+0.28292i,8929.5+0.2798i,8932.5+0.2809i,8540.1+0.28333i,8730.6+0.27696i,8903.9+0.27718i,8642.7+0.27352i,8947.7+0.27657i,8993.6+0.2888i,8698.3+0.28153i,8645.3+0.29488i,8733.5+0.28118i,8584.8+0.28968i,8611.1+0.28945i,8737.2+0.27969i,8599.3+0.2863i,8571.4+0.28154i,8416.1+0.29543i,8496.5+0.29097i,8084.5+0.2883i,8437.7+0.28999i,8473.6+0.29463i,8288.5+0.29259i,8588.7+0.29472i,8284.8+0.30087i,8651.3+0.30814i,8227.4+0.30839i,8142.3+0.30812i,8157.3+0.29758i,8093.5+0.30189i,8200.6+0.29499i,7983.3+0.31137i,8109.3+0.29557i,8045.5+0.30355i,8070.9+0.31171i,8009.8+0.3192i,8128+0.30221i,8183.6+0.31516i,8053.5+0.31953i,8102.2+0.3126i,7828.7+0.31362i,7714.2+0.30367i,8060.8+0.324i,7865.5+0.30929i,7898.4+0.3067i,8151.6+0.31813i,7832.1+0.30331i,7935.7+0.32734i,7989.7+0.32975i,7465.4+0.33221i,7747.9+0.32861i,7517.8+0.32859i,7939.7+0.32146i,7709.2+0.33275i,7757.9+0.3203i,7491.9+0.31907i,7719.1+0.32528i,7710+0.33834i,7782+0.32489i,7747.8+0.33449i,7833.2+0.34402i,7559.2+0.33682i,7583.8+0.33739i,7564.3+0.33818i,7610.4+0.31668i,7483+0.3332i,7448.2+0.34629i,7672.2+0.34155i,7494.7+0.34206i,7711.8+0.337i,7904.7+0.34942i,7745.8+0.3492i,7649.9+0.3397i,7729.6+0.3559i,7642.8+0.35549i,7625.6+0.3439i,7539.3+0.35669i,7588.7+0.34073i,7706.1+0.3564i,7455.4+0.34624i,7806.9+0.35096i,7537+0.358i,7403.8+0.34841i,7606.8+0.34853i,7536.6+0.37359i,7314.5+0.37129i,7458.2+0.36731i,7176.5+0.36469i,7424.3+0.36026i,7391.1+0.36581i,7213+0.36311i,7243.3+0.37093i,7456.8+0.37273i,7339.1+0.37244i,7570.2+0.35593i,7354.4+0.38283i,7278.5+0.3831i,6996.5+0.37382i,7472.5+0.3709i,7284.9+0.37028i,7194.4+0.38649i,7251.7+0.38744i,7026.6+0.37698i,7404.2+0.37855i,7263.1+0.37856i,7330.7+0.38835i,7548.6+0.39519i,7169.7+0.36804i,7412.5+0.40096i,7324.1+0.37711i,7372.8+0.37442i,7247.9+0.38399i,7295.7+0.38287i,7380.6+0.37348i,7148.2+0.39692i,7478.8+0.41213i,7110.3+0.3935i,7248.2+0.39649i,7267.1+0.403i,7170.9+0.40223i,7206.8+0.39796i,7117.1+0.40518i,7129.7+0.39176i,7203.7+0.41708i,7150.2+0.42076i,7325.2+0.4123i,7153.7+0.41182i,7003.2+0.42454i,7309.7+0.42458i,7497.1+0.42049i,7432.7+0.42374i,7321.8+0.39611i,7036.3+0.41723i,7126.5+0.42197i,7285.7+0.41589i,7079.1+0.41572i,7305+0.42158i,7086.6+0.42937i,6876.7+0.43488i,7185.3+0.42468i,7181.7+0.42038i,7152.8+0.41655i,7168.6+0.41825i,7402.5+0.43902i,7194.7+0.43657i,7254.3+0.44276i,6873.1+0.43328i,7187.4+0.43993i,7190.2+0.4402i,7301.8+0.42743i,7003+0.43504i,7197+0.43765i,7001+0.42199i,7010.9+0.46445i,7257.2+0.46793i,7128.7+0.44198i,6948.4+0.45317i,7170.9+0.46261i,7110.6+0.43659i,7274.3+0.44423i,7265.6+0.45009i,7264.9+0.45324i,7116.4+0.45592i,7318.6+0.4457i,6872.9+0.45306i,7214+0.48055i,7073.8+0.45172i,7146.8+0.45941i,6955.2+0.47116i,7060.7+0.46494i,6787.8+0.48153i,6885.3+0.47539i,7267.7+0.47703i,7342.7+0.47278i,7232.6+0.47618i,7108.2+0.49328i,7294+0.50495i,7043.6+0.48116i,7137.4+0.49177i,7005.3+0.48804i,7032.1+0.47273i,7174.1+0.45977i,7037.3+0.50885i,7069.8+0.48335i,7169.2+0.49278i,7326.9+0.48755i,7037.1+0.49534i,7153+0.48014i,7121.9+0.51141i,7287.8+0.50069i,7056.7+0.50087i,7195.8+0.5023i,7173.2+0.50985i,6897.5+0.51595i,7305.5+0.51497i,7183.8+0.51465i,7223.3+0.49389i,6933.3+0.52664i,7004+0.51011i,6995.2+0.52812i,6982.6+0.50692i,7072.6+0.52668i,7181.5+0.53788i,7291.4+0.50757i,7132.1+0.53335i,7051+0.54198i,7028.6+0.54493i,7104.9+0.54207i,7247.3+0.52939i,7478.6+0.52531i,6928.8+0.54923i,7293.6+0.53879i,7150.3+0.56058i,7003.6+0.54747i,7019.8+0.54757i,7111.4+0.54618i,7077.9+0.56449i,7182.4+0.54892i,6899.6+0.55305i,7128+0.54278i,7058.9+0.55063i,7060.8+0.5618i,7153+0.5869i,6997.3+0.56391i,7133.1+0.55707i,6940.4+0.57809i,7008.6+0.57731i
15004+0.21278i,14830+0.21294i,13908+0.20174i,14551+0.21932i,14773+0.2148i,14273+0.21847i,14217+0.20936i,14039+0.21808i,14354+0.20731i,14186+0.21138i,14209+0.20989i,14663+0.20867i,14247+0.2142i,14573+0.21516i,14489+0.21402i,14749+0.21033i,14326+0.21617i,13804+0.20405i,14191+0.20904i,13696+0.21038i,13979+0.21199i,14435+0.20042i,13632+0.21138i,13947+0.21009i,14075+0.21193i,14027+0.21354i,13754+0.21054i,14187+0.21013i,14227+0.20282i,13828+0.21523i,14269+0.21312i,14161+0.21412i,13536+0.21576i,13700+0.21604i,14039+0.20963i,14019+0.20496i,13650+0.20771i,13595+0.2173i,13543+0.21101i,13616+0.206i,13398+0.20953i,13918+0.21629i,13809+0.21049i,13290+0.20997i,13870+0.20847i,13609+0.21404i,13635+0.21208i,13495+0.21557i,13651+0.21418i,13657+0.21415i,13896+0.21318i,13646+0.20703i,13655+0.20727i,13365+0.20628i,12688+0.21226i,13540+0.21782i,13163+0.21073i,13650+0.21863i,13086+0.20824i,13131+0.2107i,12863+0.19978i,12873+0.21393i,12996+0.21593i,12505+0.20929i,12969+0.21141i,13049+0.21861i,12934+0.20777i,13449+0.214i,12813+0.20992i,13387+0.21913i,12688+0.21479i,13139+0.21475i,12994+0.21679i,12436+0.21771i,12775+0.20883i,12769+0.21656i,12988+0.21781i,12735+0.22211i,12527+0.21269i,13124+0.22242i,12741+0.21546i,12721+0.21345i,12813+0.21449i,12599+0.21016i,12381+0.21616i,12332+0.21765i,12772+0.22277i,12750+0.21061i,12537+0.225i,12270+0.21047i,12369+0.21698i,12517+0.21579i,12601+0.22515i,12031+0.21292i,12845+0.22052i,12566+0.21459i,12437+0.22113i,12175+0.23212i,12380+0.21252i,11720+0.21526i,11980+0.21945i,11979+0.22845i,11930+0.21889i,11785+0.21628i,11831+0.21908i,11507+0.21909i,11785+0.22814i,11678+0.2298i,11876+0.22528i,11422+0.23221i,11411+0.22537i,11469+0.22538i,11496+0.22957i,11641+0.2293i,11904+0.2244i,11211+0.22596i,11200+0.23301i,11262+0.23099i,11518+0.23092i,11658+0.22724i,11254+0.22931i,11805+0.22846i,10892+0.23072i,11420+0.2261i,11186+0.21464i,11072+0.23089i,10742+0.23643i,10941+0.23973i,11045+0.23535i,11224+0.23322i,10747+0.23803i,10914+0.23495i,10529+0.24104i,10836+0.23179i,10573+0.23682i,10746+0.23994i,11112+0.24175i,10678+0.24273i,10352+0.24086i,10841+0.2388i,10316+0.23787i,10258+0.24037i,10027+0.24139i,10357+0.24566i,9951.4+0.23973i,10434+0.23821i,9942.7+0.25355i,10170+0.24009i,9947.5+0.24844i,10188+0.24301i,9916.9+0.25281i,10078+0.24402i,9610.7+0.25159i,9735.4+0.25508i,9839.1+0.24753i,9647.3+0.25609i,9392.1+0.24891i,9838.4+0.25413i,9287.9+0.25501i,9270.5+0.2538i,9349.3+0.2584i,9368+0.26392i,9531.7+0.26784i,9636.5+0.26508i,9657.9+0.25834i,9535.8+0.26644i,9360.2+0.26456i,9329.9+0.27058i,9436.6+0.27098i,9592.8+0.26054i,8945.3+0.26621i,9153.7+0.27716i,9239.1+0.27601i,9330.3+0.27222i,8817.7+0.27603i,9071.7+0.28061i,9324.7+0.27615i,8991.3+0.26678i,8961.3+0.27728i,8446.1+0.2792i,9167+0.28652i,8837.1+0.27797i,8676.4+0.29459i,8563.8+0.29164i,8881.4+0.28946i,8648.4+0.28553i,8564.7+0.28066i,8489.9+0.29353i,8575+0.28439i,8493+0.27526i,8436.6+0.28611i,8744.2+0.29092i,8548.8+0.28848i,8484.5+0.27916i,8495.8+0.29349i,8681.9+0.29205i,8566.8+0.29159i,8400.7+0.3046i,8470.7+0.29812i,8257.2+0.28666i,8209.8+0.30529i,8327.9+0.29305i,8287.4+0.3092i,7845.9+0.29532i,8141.6+0.29863i,8184.1+0.31173i,8048.7+0.30589i,7937+0.29906i,8075.8+0.32566i,7758+0.31127i,7961.1+0.31253i,8140.6+0.30149i,7923.2+0.31583i,7916+0.32005i,7971.8+0.3085i,7950.4+0.31566i,7976.5+0.30267i,7931.7+0.32142i,8002.6+0.30755i,7624.2+0.32134i,7834.2+0.32435i,7789.1+0.3236i,7993.7+0.32348i,7930.7+0.32852i,7703.1+0.31943i,8058.1+0.32342i,7871.1+0.33142i,7818.2+0.32451i,7860.3+0.32354i,7632.8+0.32729i,7622.5+0.33192i,7416.4+0.32348i,7799.1+0.33488i,7968.5+0.34104i,7959.7+0.3443i,7712.9+0.3368i,7547.4+0.33535i,7536.5+0.33658i,7721+0.3412i,7499.9+0.33465i,7658.4+0.33618i,7737.7+0.32936i,7488.2+0.3377i,7390.9+0.3413i,7684.1+0.352i,7608.8+0.35141i,7657.1+0.35206i,7687.1+0.34276i,7471.1+0.3707i,7546.9+0.34434i,7439.2+0.35031i,7413.4+0.34948i,7521.5+0.36127i,7341.1+0.35121i,7658.1+0.35011i,7344.1+0.35286i,7169.5+0.35824i,7494.1+0.3582i,7477.7+0.36256i,7355.9+0.3635i,7277+0.35923i,7318.1+0.3797i,7749+0.36162i,7144.4+0.36206i,7506.1+0.37167i,7566.3+0.3765i,7435.3+0.36063i,7528.5+0.36934i,7475.3+0.37415i,7132.4+0.37343i,7385.8+0.37473i,7275.2+0.38004i,7260.5+0.38338i,7255.1+0.37314i,7304.7+0.36214i,7361.1+0.37995i,7567.3+0.38624i,7220.6+0.36466i,7182.6+0.38199i,7381.3+0.38314i,7432.8+0.38944i,7161+0.38707i,7073.6+0.38277i,7326.3+0.38666i,7218.1+0.38234i,7112+0.40057i,7320.7+0.39253i,7447.6+0.39477i,7327.2+0.41518i,7443.5+0.3952i,7242.3+0.39982i,7623.4+0.41472i,7377.5+0.4151i,7343.6+0.39868i,7319.6+0.40773i,7384.8+0.40882i,7466.4+0.40563i,7215.2+0.38679i,7172.5+0.39254i,7404.5+0.41066i,7116.6+0.39973i,7103.3+0.41416i,7137.3+0.4142i,7350.6+0.40343i,7478.6+0.4084i,7227.6+0.39972i,7395.2+0.42988i,7221.2+0.41743i,7159.4+0.42125i,7295.3+0.41591i,7056.3+0.42698i,7108.3+0.4427i,6840.3+0.42259i,7330.3+0.42467i,7151.2+0.42971i,7101.3+0.42953i,7121.2+0.44331i,7142+0.43721i,7498.3+0.41745i,7411.3+0.43333i,7339.3+0.44631i,7400.2+0.43319i,7086.1+0.44911i,7323.8+0.43703i,6819.4+0.4625i,7197.2+0.44375i,7296.6+0.44185i,6967.8+0.44618i,7080+0.43948i,7093.5+0.44761i,7451+0.44772i,7021.9+0.43548i,7110.1+0.46973i,7085.8+0.46755i,7158+0.46683i,7245.8+0.46765i,6952.6+0.44174i,7091+0.45311i,7064.6+0.4753i,6862.7+0.47129i,7070.5+0.4751i,6968.2+0.45201i,7093.2+0.46513i,7161.1+0.471i,6941.5+0.46304i,7069+0.47101i,7380.5+0.47047i,7217.5+0.47232i,6958+0.47353i,6881.3+0.48044i,7198.7+0.49401i,7019.2+0.46559i,7207.3+0.48536i,7100.6+0.5005i,6990.2+0.48162i,7244.5+0.48791i,7260.4+0.49997i,6789+0.4848i,7056.5+0.4928i,7106.5+0.50352i,7078.2+0.49366i,7052.7+0.5153i,7139.2+0.49614i,7170.5+0.51397i,7306+0.49591i,7054.7+0.50619i,7052+0.49726i,7136.3+0.49612i,7293.2+0.5039i,6938.5+0.5062i,7265.8+0.52248i,7195.4+0.53048i,7338.8+0.53246i,7047.3+0.51958i,7023.3+0.5034i,6987+0.52014i,7134.1+0.51872i,7190.7+0.53415i,7260.7+0.53792i,7336.8+0.53198i,7265.7+0.53547i,7380.6+0.54118i,7236.2+0.53133i,7059.3+0.56485i,7009.7+0.53908i,7081.3+0.54773i,6907.2+0.51566i,7178.5+0.54273i,7291.3+0.52272i,7202.1+0.55418i,7206.2+0.54633i,6929.4+0.54538i,7133.1+0.5479i,7090.6+0.57976i,7128+0.58628i,7029.2+0.55345i,6978.9+0.56865i,6970.5+0.562i,7023.2+0.56407i,6946.9+0.55676i,6776.7+0.58067i
14942+0.20715i,14862+0.20726i,14925+0.20586i,15028+0.20698i,14445+0.21407i,14654+0.20476i,14808+0.21127i,14405+0.20515i,14580+0.20761i,14212+0.20736i,14515+0.21198i,14402+0.21504i,13966+0.21217i,13826+0.2132i,14316+0.21296i,13865+0.21686i,14099+0.211i,14516+0.20994i,13826+0.20657i,13825+0.21384i,14110+0.20814i,13736+0.2071i,13968+0.20722i,14266+0.20637i,13477+0.21131i,14325+0.21179i,14495+0.20471i,13462+0.21222i,14265+0.21443i,14011+0.20284i,13946+0.20413i,13916+0.21014i,14052+0.21133i,13756+0.21186i,13950+0.2101i,13107+0.20135i,13680+0.2136i,13452+0.21926i,13295+0.2089i,13783+0.21499i,13279+0.21468i,13575+0.20739i,13793+0.21394i,13260+0.20922i,13852+0.21284i,14007+0.21254i,13646+0.21577i,14085+0.2112i,13751+0.21851i,13260+0.21741i,13644+0.21173i,13160+0.21016i,12845+0.21094i,13410+0.2106i,13285+0.2138i,13346+0.216i,13398+0.20608i,13216+0.22136i,13889+0.21399i,13136+0.21307i,13127+0.21671i,13412+0.21335i,13467+0.22314i,12970+0.20716i,12885+0.20779i,13273+0.21114i,13204+0.21598i,12681+0.21256i,13424+0.21085i,13385+0.21692i,12962+0.21376i,13481+0.21591i,13007+0.20716i,12972+0.21745i,12868+0.21796i,13014+0.2147i,12582+0.21323i,12801+0.21334i,12698+0.22379i,12819+0.21744i,13105+0.22128i,12512+0.22126i,12367+0.21656i,12849+0.22412i,12132+0.22876i,12961+0.22292i,12499+0.22881i,12481+0.22232i,12619+0.22067i,12355+0.21612i,12655+0.21297i,12827+0.21533i,12509+0.21295i,12215+0.21794i,12264+0.22759i,11542+0.22162i,12133+0.2152i,12282+0.22093i,12421+0.21708i,12441+0.21858i,11840+0.22099i,11925+0.22369i,11586+0.22298i,12486+0.22572i,11733+0.21998i,12245+0.2223i,11289+0.22428i,11551+0.22534i,12050+0.21871i,12250+0.22576i,11432+0.22563i,11863+0.23213i,11182+0.22164i,11714+0.22677i,11665+0.23519i,11592+0.22357i,10923+0.22438i,11464+0.22459i,11000+0.23278i,11061+0.23516i,11450+0.23203i,11329+0.23157i,10649+0.23393i,11430+0.22815i,11137+0.23804i,11201+0.22829i,10887+0.23608i,10935+0.23428i,10964+0.2367i,10622+0.23223i,10738+0.2337i,10620+0.23232i,10886+0.24008i,10742+0.23564i,10765+0.23611i,10359+0.24083i,10906+0.23862i,10321+0.25039i,10489+0.23791i,10719+0.24197i,10443+0.2441i,10557+0.24587i,10367+0.2383i,10511+0.24591i,10338+0.24451i,10325+0.24592i,10063+0.25176i,9926.8+0.25687i,10204+0.25336i,9502.5+0.2484i,9865.3+0.25598i,9963.2+0.25631i,9838.8+0.25109i,9936.8+0.25052i,9390.4+0.2491i,9537.4+0.25858i,9757+0.25751i,9469.5+0.26345i,9671+0.25695i,9459+0.25798i,9342.7+0.26183i,9437.4+0.25919i,9652.8+0.26308i,9626+0.26234i,9348.5+0.25823i,9373+0.25827i,9435.1+0.26029i,9254.3+0.26428i,9365+0.26772i,9124.6+0.26654i,8876.9+0.27573i,8983.1+0.27324i,9262.2+0.27315i,9089.5+0.27018i,9353.2+0.2665i,8891+0.27129i,8946.7+0.28219i,8678.1+0.28429i,8948.8+0.27084i,9107.3+0.28026i,8775.5+0.27669i,8511.5+0.27666i,8947.3+0.27905i,8725+0.27761i,8641.9+0.27402i,8424.5+0.28789i,8503+0.28328i,8558.5+0.28703i,8704.1+0.28099i,8417+0.28251i,8496.2+0.28529i,8605.3+0.29216i,8402.8+0.28157i,8325.7+0.29652i,8440.4+0.29235i,8333.8+0.29897i,8194.4+0.28884i,8337.9+0.30036i,8266.7+0.30526i,8292.6+0.30084i,8286+0.29768i,7965.7+0.30175i,8262.5+0.30673i,8033+0.29576i,8264+0.30223i,8250.5+0.29494i,7953.7+0.29305i,8160.6+0.30088i,7883.8+0.3004i,7985.8+0.3138i,8461.9+0.30063i,8032.8+0.29591i,7965.4+0.31248i,7855.2+0.32i,8109.8+0.31107i,8034.9+0.31124i,8254.2+0.31094i,7844.6+0.3115i,7935.5+0.32093i,7743.4+0.32772i,7885.5+0.32059i,7560+0.31153i,7819.3+0.32101i,7736.8+0.32511i,7644.7+0.32307i,7846.2+0.32062i,7926.8+0.32741i,7851.2+0.3325i,7785+0.31961i,7332.8+0.33205i,7391.4+0.3214i,7497.5+0.32004i,7526.1+0.32858i,7563.8+0.34172i,7529.4+0.34264i,7559.5+0.33945i,7813.5+0.33686i,7516.8+0.33324i,7548+0.32988i,7706.8+0.33594i,7549.4+0.31932i,7599+0.33634i,7714.2+0.34468i,7570.9+0.34163i,7539.5+0.3496i,7338+0.34758i,7624.8+0.35991i,7647.2+0.34013i,7499.7+0.34179i,7361.3+0.34931i,7677.7+0.35015i,7441.8+0.34955i,7761+0.34849i,7570.1+0.37239i,7290.6+0.37084i,7465.3+0.34606i,7506.4+0.36194i,7496.4+0.35645i,7279.1+0.35942i,7321.4+0.37676i,7417.2+0.36576i,7192.4+0.37581i,7455.2+0.36751i,7604.5+0.35281i,7384.2+0.37284i,7304.9+0.35991i,7189.5+0.36787i,7507.9+0.37626i,7312.6+0.36892i,7241.4+0.36992i,7421.1+0.38956i,7394.7+0.38716i,7212.3+0.38023i,7263.6+0.37716i,7410+0.38295i,7180.5+0.3765i,7212.8+0.39673i,7525.2+0.37976i,7359.2+0.37658i,7299.8+0.38332i,7414.3+0.38365i,7365.6+0.38996i,7121.9+0.3756i,7337.6+0.39909i,7310.2+0.37922i,7405.9+0.38853i,7164.6+0.41224i,7235.6+0.40017i,7330+0.39094i,7374+0.39323i,7430.7+0.39223i,7197.8+0.37737i,7305.9+0.4126i,7305.7+0.3914i,7234.2+0.40525i,7023.6+0.40656i,6977.5+0.41376i,7134.9+0.41033i,7270.6+0.41009i,7382.7+0.4148i,7227.7+0.40903i,7298.9+0.41674i,7137+0.41877i,7415.9+0.42603i,7125.3+0.42734i,7414.7+0.41766i,7258.9+0.42742i,6997.2+0.41156i,7095.6+0.41485i,7524.4+0.42086i,7170.3+0.40629i,7176.2+0.41969i,7189.1+0.42326i,6891.9+0.42425i,7038.2+0.4148i,7091.5+0.41659i,7135+0.43242i,7088.4+0.43348i,6989.6+0.42737i,7103.2+0.43002i,6910.7+0.42756i,7290.9+0.4341i,7266.1+0.43267i,7425.4+0.44497i,6811.2+0.44534i,6954.2+0.44256i,7172+0.44473i,7079.7+0.43928i,7137.9+0.43029i,7201.7+0.4577i,7121.2+0.44993i,7117.5+0.44403i,6832.7+0.46061i,7116.9+0.44947i,6892.5+0.44836i,7003.6+0.45432i,7328.7+0.46966i,7190.3+0.46941i,7063.1+0.46882i,7168.2+0.46285i,7155.2+0.47108i,6924.4+0.47017i,7164.4+0.47539i,7250.7+0.46962i,7111.8+0.48013i,6916.2+0.47962i,6804.7+0.47984i,7371.5+0.47352i,7522.4+0.47656i,6926.6+0.48826i,7094+0.47809i,7278.5+0.48651i,7110.9+0.48061i,6876.9+0.49725i,7216.1+0.48587i,7117.6+0.48939i,7394+0.50449i,6980+0.50092i,7280+0.49653i,7221.9+0.48614i,7282.4+0.49343i,7130.8+0.50634i,6961.3+0.51689i,7393.2+0.50759i,7510.7+0.48732i,7046.7+0.51433i,7035+0.48592i,7115.5+0.49739i,7182.1+0.50655i,6949.4+0.51081i,7157.7+0.51606i,7239.4+0.51547i,7007.4+0.52886i,7195.5+0.50927i,6916.8+0.52658i,7169.7+0.51795i,7099.8+0.52423i,7183.8+0.5313i,7199+0.53104i,7278.9+0.53024i,7273.6+0.542i,7063.2+0.53491i,6960+0.53536i,7391.9+0.53132i,7056.5+0.55532i,7134.8+0.56082i,7102+0.5497i,7260.1+0.55206i,7164.4+0.52989i,7059.7+0.56423i,6837.1+0.56562i,7078.9+0.54322i,6907.1+0.54392i,7030.6+0.55716i,7200.3+0.57395i,7045.8+0.54832i,7111+0.58145i,7184.3+0.57931i,7183.1+0.55707i,7060.2+0.57367i,7209.4+0.57317i
