17662+0.20748i,17977+0.21001i,17992+0.22169i,17290+0.20154i,17665+0.21105i,17202+0.20786i,16918+0.21805i,17359+0.20796i,17429+0.21672i,17696+0.19951i,17023+0.20675i,17057+0.20581i,17296+0.20676i,16953+0.20788i,17133+0.2081i,16756+0.21476i,17451+0.21579i,16641+0.20577i,17000+0.21785i,16588+0.20922i,17382+0.21357i,17016+0.2081i,17476+0.20748i,16940+0.21019i,16559+0.20799i,16901+0.21003i,16651+0.2162i,17089+0.21689i,16417+0.20881i,16300+0.21371i,17357+0.20969i,16888+0.21929i,16580+0.21883i,15940+0.21388i,16278+0.2076i,16179+0.20672i,16195+0.21065i,16479+0.20858i,16241+0.20621i,16520+0.20887i,16226+0.20218i,16872+0.21512i,16284+0.20901i,15901+0.20194i,16447+0.21326i,16144+0.21087i,16733+0.21564i,16411+0.21619i,15870+0.21285i,15635+0.20736i,15832+0.21456i,16402+0.21462i,15918+0.20784i,15834+0.21167i,16048+0.20466i,16344+0.21249i,16196+0.21816i,15959+0.20789i,16224+0.21286i,16276+0.21678i,15893+0.20462i,15943+0.21448i,15367+0.22171i,15875+0.21799i,15681+0.21294i,15804+0.2188i,15420+0.21439i,15216+0.21295i,15825+0.22119i,15546+0.21947i,15505+0.21637i,15431+0.2121i,15381+0.21598i,15599+0.21686i,14999+0.21114i,15642+0.21604i,15074+0.2064i,15142+0.223i,15340+0.21899i,15373+0.21225i,15612+0.22925i,14481+0.21716i,15224+0.21746i,15028+0.21455i,15854+0.22252i,15337+0.21662i,14811+0.22043i,15125+0.2165i,14979+0.21999i,15020+0.22204i,14863+0.22033i,14131+0.21466i,15042+0.22283i,14560+0.21308i,14313+0.21994i,14820+0.22254i,14546+0.22969i,14560+0.22435i,14224+0.22306i,14657+0.21513i,14497+0.22376i,14666+0.2254i,14191+0.22857i,14505+0.22703i,14619+0.2258i,14431+0.23005i,14989+0.2223i,14192+0.22674i,14740+0.23259i,14571+0.22859i,14569+0.22673i,13819+0.22612i,14186+0.23133i,13852+0.22483i,13347+0.23019i,13679+0.23576i,13510+0.23166i,13750+0.23319i,13677+0.23234i,13626+0.23694i,13475+0.22435i,13433+0.23449i,13492+0.22668i,13399+0.23341i,13129+0.24081i,13182+0.2442i,12929+0.24281i,13315+0.23988i,13604+0.22873i,13316+0.24753i,13083+0.2462i,12943+0.2415i,12940+0.24136i,12809+0.24166i,12863+0.24118i,13173+0.23928i,12628+0.23833i,12790+0.25253i,12445+0.23939i,12752+0.24902i,12992+0.24159i,12089+0.24337i,12633+0.24664i,12532+0.25516i,12135+0.2492i,11958+0.25267i,11979+0.26283i,12299+0.24807i,11836+0.25897i,12057+0.26319i,11771+0.25885i,11657+0.25464i,11944+0.26644i,11596+0.26163i,11777+0.26625i,11942+0.26799i,11931+0.25624i,11419+0.25685i,11633+0.26569i,11487+0.27084i,11143+0.26433i,11299+0.27499i,11451+0.27177i,11263+0.27909i,11146+0.26949i,11314+0.27824i,11163+0.27254i,11035+0.27973i,10962+0.28357i,11274+0.27791i,10940+0.27803i,11076+0.27977i,10762+0.2842i,10517+0.27174i,10588+0.2793i,10776+0.28636i,10710+0.28549i,10791+0.28149i,10331+0.28802i,10590+0.281i,10733+0.29419i,10565+0.30626i,10697+0.30217i,10342+0.29271i,10587+0.29007i,10589+0.2977i,10466+0.30522i,10357+0.30523i,10290+0.30324i,10371+0.30551i,10161+0.3051i,9944+0.3048i,10181+0.30054i,10307+0.30866i,9964.4+0.308i,9950.5+0.30547i,10178+0.3044i,9838.4+0.31386i,9669+0.31116i,10035+0.31967i,10577+0.32545i,9969.5+0.32318i,9997.1+0.32338i,9859.2+0.31215i,9961.8+0.32365i,9912.1+0.32032i,9947.4+0.32553i,10023+0.3276i,9593.1+0.31568i,9939.9+0.32603i,9979.7+0.32359i,9791.5+0.32756i,9888.2+0.3246i,9230.3+0.32722i,9883.6+0.32711i,9245+0.34045i,9494.3+0.34382i,9360.4+0.33581i,9498.7+0.32067i,9464.7+0.33035i,9565.1+0.34782i,9190.2+0.34725i,9175.3+0.3358i,9821.9+0.3399i,9311.9+0.34868i,9584.8+0.34921i,9153.5+0.34522i,9040+0.36221i,9218+0.34812i,9162.6+0.35329i,9076.7+0.35034i,9285.9+0.34891i,9044.6+0.35559i,9223.1+0.366i,9520.2+0.3517i,8885.1+0.35266i,9211+0.36474i,8880.4+0.34474i,9239.8+0.36926i,8974.2+0.3644i,9260.3+0.37541i,9067.4+0.3703i,9068.5+0.36716i,9440.7+0.37804i,9065.6+0.36375i,9159.1+0.36684i,9108.5+0.35707i,9447+0.36701i,9251.5+0.37391i,8929.4+0.3647i,9037.6+0.36167i,9206.7+0.36749i,9079.6+0.38245i,8872.3+0.36779i,9414.2+0.39333i,9277.8+0.37948i,9103.6+0.39177i,8885+0.38815i,8907+0.39442i,8977.9+0.39144i,8945.7+0.38855i,8822.7+0.39234i,8986.8+0.4009i,8543.7+0.39032i,8932.5+0.39715i,8795.5+0.39125i,8886.5+0.40781i,9182.4+0.40842i,8636.7+0.39502i,8935.8+0.40457i,9005.5+0.4039i,8795.5+0.41507i,8842.3+0.40259i,8298.5+0.40379i,8660.3+0.41009i,8737.2+0.41086i,8628.9+0.42129i,8700.9+0.407i,8719.5+0.41842i,9040.8+0.42831i,8952+0.4269i,9060+0.42604i,8754.1+0.4155i,8545.5+0.41648i,8808.7+0.43653i,8762.9+0.43064i,8751.7+0.4327i,8864.5+0.43185i,8820.9+0.42717i,8509.6+0.43356i,8489+0.44115i,8802.4+0.43357i,8612.1+0.42297i,8581.7+0.42267i,8552.2+0.45617i,8570.7+0.42903i,8826.1+0.426i,9054.2+0.44232i,8608.2+0.44246i,8782.5+0.43907i,8549.3+0.44516i,8464.4+0.454i,8610.7+0.444i,8626.4+0.44753i,8768.1+0.44749i,8465.8+0.46881i,8592.6+0.45535i,8567.1+0.45648i,8367+0.44956i,8554.2+0.46537i,8707.5+0.46391i,8669.6+0.47874i,8548.3+0.45938i,8738.1+0.46878i,8630.8+0.48644i,8567+0.48689i,8657.5+0.47638i,8993.1+0.49145i,8490+0.47968i,8680.5+0.4972i,8774.9+0.48414i,8507.2+0.4765i,8469.4+0.47404i,8620.3+0.47565i,8731+0.48553i,8553.1+0.48824i,8648.8+0.50041i,8497.1+0.49384i,8453.9+0.49092i,8574.3+0.50443i,8693.9+0.49585i,8771+0.48923i,8504+0.51213i,8701.7+0.49572i,8692.1+0.50965i,8607.4+0.50269i,8650.2+0.50374i,8676.1+0.5041i,8742.7+0.5056i,8360.8+0.51205i,8443.3+0.50886i,8677.3+0.52968i,8325.9+0.51076i,8419.7+0.4929i,8524.8+0.52941i,8764.5+0.50592i,8353.2+0.52633i,8740.4+0.53121i,8257.3+0.5152i,8197.5+0.51798i,8343.8+0.54068i,8550.8+0.55466i,8701.9+0.53776i,8438.6+0.53564i,8647.9+0.54302i,8948.6+0.55223i,8583.9+0.52077i,8676+0.55832i,8292.4+0.54356i,8681.1+0.54818i,8842.9+0.54871i,8464.6+0.56223i,8494+0.53643i,8874.2+0.56299i,8679.2+0.57644i,8441.6+0.5619i,8852.3+0.56793i,8769.5+0.56699i,8397.9+0.58714i,8419.1+0.5701i,8221.8+0.60059i,8358.9+0.58424i,8537.6+0.56054i,8353.2+0.58672i,8652.8+0.59364i,8628+0.60548i,8558.2+0.5824i,8585.3+0.57569i,8599+0.6135i,8466.1+0.60378i,8698.7+0.58942i,8494+0.60513i,8399.4+0.58894i,8372.3+0.61164i,8322.8+0.61413i,8420.4+0.63296i,8529+0.6048i,8421.1+0.61529i,8410.7+0.60907i,8435.9+0.6026i,8729.1+0.64193i,8561.1+0.61063i,8517.4+0.636i,8696.3+0.63716i,8337.9+0.64318i,8218.6+0.6204i,8526.2+0.62941i,8738.7+0.64908i,8313+0.64269i,8503.5+0.65183i,8387.7+0.62322i
17791+0.21623i,17621+0.2222i,17549+0.20513i,17301+0.21112i,17903+0.20885i,17359+0.21532i,17155+0.20936i,17717+0.20827i,17430+0.20477i,17760+0.21496i,17672+0.20861i,16919+0.20608i,16535+0.21289i,17176+0.20577i,17309+0.20664i,16721+0.21433i,16502+0.21081i,16846+0.20287i,16653+0.21249i,16380+0.21399i,16346+0.20985i,16511+0.21331i,17046+0.21532i,16370+0.20478i,16378+0.21025i,16690+0.21253i,16186+0.20417i,16763+0.21474i,16237+0.2019i,16583+0.2117i,16711+0.21387i,16620+0.21369i,16094+0.21468i,16903+0.20554i,16269+0.22001i,16154+0.20547i,16868+0.21499i,17057+0.21386i,16913+0.20782i,16372+0.21501i,16105+0.21663i,16118+0.21676i,16621+0.21854i,16141+0.21376i,16516+0.21191i,15859+0.20956i,16930+0.21282i,16652+0.21197i,15727+0.21863i,16440+0.20895i,16121+0.20568i,16400+0.2166i,16282+0.21344i,16303+0.2154i,15813+0.20821i,15801+0.21101i,16055+0.21654i,15792+0.20897i,16032+0.2121i,15796+0.20965i,15485+0.21484i,15904+0.20588i,15440+0.21228i,15571+0.21592i,15862+0.21625i,15663+0.21203i,15774+0.21243i,15230+0.22137i,15987+0.21057i,15464+0.22405i,15592+0.21206i,15811+0.21598i,15933+0.21415i,15728+0.21124i,15172+0.21407i,14979+0.212i,15759+0.2218i,15480+0.21711i,15504+0.21598i,15291+0.2205i,15327+0.22297i,14660+0.21396i,15110+0.2222i,15100+0.21465i,14809+0.21435i,15408+0.21845i,15995+0.21515i,15308+0.22375i,15022+0.21677i,14686+0.21878i,15233+0.21842i,14574+0.21218i,14655+0.21771i,15050+0.21911i,14727+0.22152i,14684+0.22802i,14952+0.22218i,14369+0.22015i,14604+0.22466i,14422+0.22597i,14368+0.21965i,14550+0.22415i,14119+0.22009i,14046+0.22187i,14575+0.22772i,14601+0.22567i,14530+0.22941i,14489+0.22691i,14080+0.22421i,14051+0.22998i,13777+0.2275i,14525+0.2312i,13881+0.22034i,13723+0.23201i,14010+0.23331i,14067+0.23455i,13695+0.23088i,14162+0.24167i,13736+0.2372i,13607+0.22576i,13635+0.24149i,13539+0.23471i,13383+0.23945i,12967+0.23885i,13454+0.23895i,13525+0.23844i,12636+0.23654i,13220+0.23788i,13396+0.23363i,13524+0.23985i,12767+0.23745i,12975+0.24019i,12956+0.24194i,12364+0.24085i,12813+0.24239i,12840+0.24778i,13022+0.25272i,12149+0.24188i,12410+0.24387i,12228+0.24169i,12394+0.25908i,12934+0.24277i,12182+0.24972i,12410+0.25914i,11958+0.25423i,12220+0.26029i,12277+0.25804i,11831+0.2673i,12312+0.25977i,11960+0.26049i,11793+0.26592i,12233+0.2573i,11523+0.26043i,11842+0.26663i,11797+0.25828i,11816+0.26888i,11802+0.26757i,11930+0.26185i,11250+0.26308i,11510+0.2619i,11796+0.27284i,11540+0.26507i,11292+0.26828i,11081+0.26345i,11127+0.27814i,11301+0.28697i,10972+0.28162i,10772+0.27146i,11084+0.2839i,10912+0.27066i,10988+0.27642i,10865+0.28417i,10743+0.28792i,10911+0.29009i,11061+0.29031i,10759+0.28554i,10974+0.29592i,10451+0.29433i,10577+0.29642i,10598+0.27599i,10386+0.29608i,10801+0.28587i,10392+0.29465i,10495+0.29568i,10265+0.29786i,10316+0.29828i,10159+0.30135i,10153+0.29387i,10270+0.29536i,10294+0.30101i,10015+0.30345i,10336+0.30266i,10296+0.30139i,10098+0.31439i,9950+0.32358i,9902.8+0.31634i,9831.7+0.31528i,9935.5+0.32583i,9926.5+0.31456i,9984+0.31199i,9717.1+0.32084i,10297+0.31324i,9851.5+0.31837i,9968.3+0.31581i,9761.9+0.31754i,9784.1+0.32627i,9806.3+0.32237i,9783.3+0.32088i,9680.9+0.32664i,9500.7+0.3303i,9720.3+0.32348i,9670.7+0.3219i,9411.6+0.31819i,9872.3+0.31662i,9737.3+0.32988i,9767.9+0.34738i,9704.4+0.34406i,9241+0.33837i,9229.4+0.34483i,9562+0.34434i,9434.4+0.34181i,9716.1+0.33538i,9424.2+0.34054i,9435.6+0.34874i,9426.9+0.34163i,9037.3+0.34715i,9415.4+0.35328i,9489.2+0.34496i,9135.1+0.34689i,9682.2+0.34717i,9542.9+0.34308i,9582.1+0.34332i,9318.9+0.35594i,9352.8+0.36264i,9417.1+0.35067i,9413.8+0.36461i,9541.1+0.37066i,9204.6+0.36258i,9132.3+0.37029i,9662.5+0.36149i,9254.4+0.38287i,8818.8+0.36742i,8836.1+0.37162i,8927.6+0.37794i,9182+0.3832i,9148.1+0.37984i,8792+0.37968i,8723.8+0.37881i,9564.5+0.39806i,8756.8+0.37271i,8916.4+0.37725i,8924.4+0.37094i,8813.6+0.38335i,9124.7+0.38146i,9097.3+0.38388i,9100.2+0.37709i,9058.2+0.3955i,8707.5+0.39371i,8792.3+0.37744i,8720.1+0.38308i,8756.7+0.38985i,8775.6+0.38121i,8833.6+0.39519i,8874.4+0.39134i,8978.2+0.40708i,8734.3+0.41003i,8548.9+0.39447i,8882.3+0.41651i,8789.3+0.39751i,8427.6+0.40502i,8878+0.42046i,8635.6+0.41263i,8526+0.4i,8899.9+0.41437i,8713.4+0.40365i,8553.1+0.39292i,8660+0.40781i,8850.4+0.42713i,8793.8+0.4153i,8701.9+0.41067i,9151.3+0.42191i,8226.5+0.42483i,8740.9+0.4124i,8646.1+0.41713i,8812.3+0.42821i,8738.9+0.42631i,8298.1+0.4317i,8858+0.42284i,8686.7+0.43205i,8886.6+0.43931i,8579.1+0.43976i,8516.7+0.43011i,8526.6+0.43096i,8593.7+0.44444i,8796.4+0.45591i,8796.5+0.44119i,8835.4+0.45309i,8691.7+0.43122i,8445.4+0.44888i,8558.3+0.44072i,9056.5+0.44993i,8921.7+0.44202i,8610.3+0.46766i,8443.8+0.45432i,8723.5+0.45456i,8530.3+0.45599i,8893+0.45368i,8224.1+0.46617i,8461.2+0.47424i,8622.4+0.47276i,8619.1+0.46467i,8752.5+0.46097i,8747.1+0.4766i,8413.7+0.47541i,8375.1+0.47544i,8580.3+0.4636i,8517.1+0.46537i,8844.8+0.45635i,8526+0.48241i,8885.9+0.47407i,8732.2+0.49825i,8352+0.49035i,8522.7+0.49091i,8770.1+0.47397i,8308.8+0.49724i,8600.2+0.46863i,8534.1+0.50201i,8401.3+0.49701i,8652.7+0.50718i,8604.9+0.48996i,8605.9+0.49081i,8557.6+0.49223i,8547.2+0.50698i,8763.4+0.50158i,8458.4+0.50198i,8668.7+0.51749i,8787.2+0.51898i,8606.6+0.4982i,8384.5+0.50745i,8770.1+0.52636i,8670.7+0.53657i,8415.5+0.51436i,8744.5+0.52327i,8474.3+0.51529i,8407.3+0.51131i,8693.5+0.52141i,8429.3+0.52358i,8574.5+0.55019i,8440.1+0.54137i,8399.1+0.51677i,8554.3+0.53393i,8166.5+0.54819i,8793.6+0.55134i,8447.6+0.5306i,8550.5+0.53106i,8395.7+0.55582i,8721.7+0.54982i,8668.9+0.54602i,8389.7+0.55368i,8475.3+0.54321i,8499.7+0.55672i,8733.3+0.54472i,8692.3+0.56496i,8563.5+0.57236i,8767.4+0.5837i,8804.5+0.57304i,8479+0.55992i,8547+0.55867i,8408.6+0.56118i,8591.4+0.5612i,8580.5+0.6047i,8670.4+0.56709i,8415+0.57834i,8482.1+0.58825i,8754.4+0.59468i,8453.6+0.59986i,8388.6+0.58082i,8246+0.59086i,8412.2+0.5871i,8716+0.61504i,8424.4+0.6061i,8280.3+0.58954i,8821.5+0.60375i,8781.9+0.61855i,8375.7+0.61811i,8284.2+0.60997i,8752+0.59685i,8551.8+0.62767i,8438.2+0.62999i,8495.9+0.60825i,8411.2+0.63222i,8801.5+0.62905i,8524.1+0.63052i,8185.1+0.64287i,8447.7+0.64875i,8412.1+0.64884i,8225.7+0.6507i,8528.3+0.65666i,8344.9+0.6442i,8425.2+0.62141i,8513.7+0.66194i
17895+0.21063i,17862+0.21135i,17791+0.21111i,16575+0.20886i,17001+0.20943i,17392+0.2119i,17092+0.20434i,17340+0.21049i,16752+0.20809i,17264+0.20254i,17391+0.21245i,17369+0.20473i,16454+0.21437i,16886+0.22052i,17389+0.20895i,16390+0.20809i,17231+0.21418i,17260+0.21487i,17315+0.21571i,16404+0.21395i,16915+0.21648i,16782+0.21631i,16676+0.21147i,16595+0.21561i,16514+0.20862i,17063+0.2081i,16529+0.20764i,16544+0.2053i,16301+0.21176i,17607+0.20383i,16610+0.20653i,17090+0.20712i,16323+0.20956i,16139+0.20687i,16555+0.20806i,16716+0.21076i,15914+0.20921i,15974+0.21302i,16683+0.21304i,16283+0.21652i,15833+0.20733i,16401+0.21658i,16354+0.21505i,15464+0.20758i,16025+0.20964i,16184+0.2199i,16496+0.20448i,16090+0.21679i,15712+0.20491i,15778+0.21263i,16494+0.21398i,15893+0.20675i,16240+0.20947i,16256+0.21623i,16129+0.21592i,16124+0.20989i,15773+0.21212i,15704+0.22176i,15600+0.20595i,15808+0.21246i,16234+0.20613i,15658+0.21128i,16088+0.21291i,15838+0.20767i,15903+0.21352i,15970+0.21998i,15750+0.21092i,15505+0.21965i,15206+0.22095i,15254+0.21699i,15364+0.21637i,15343+0.21859i,14841+0.22904i,14740+0.21959i,15828+0.2124i,16038+0.21044i,15266+0.21624i,15174+0.21967i,16213+0.21446i,15285+0.21593i,15561+0.22127i,14711+0.22523i,14921+0.21465i,15122+0.21354i,14686+0.22028i,15033+0.21901i,14955+0.21866i,14264+0.22343i,14762+0.2132i,14657+0.21807i,15319+0.22562i,14592+0.2259i,14944+0.21717i,14292+0.22514i,15378+0.21872i,14248+0.22286i,15344+0.22013i,14160+0.21902i,14462+0.21845i,14519+0.22162i,15076+0.22169i,14656+0.23603i,14268+0.22587i,14465+0.21652i,14394+0.22697i,14415+0.22789i,14364+0.22622i,13901+0.21932i,13779+0.22483i,14151+0.22458i,13916+0.23468i,13814+0.22952i,14167+0.22786i,14139+0.23235i,13879+0.22897i,13642+0.22559i,13772+0.22656i,13628+0.22383i,13263+0.23822i,13531+0.23093i,13368+0.23926i,13443+0.23945i,13569+0.23426i,13365+0.23006i,13685+0.2378i,13045+0.24809i,12905+0.23448i,13092+0.231i,12779+0.23781i,13055+0.25107i,12875+0.23208i,12308+0.24218i,12935+0.244i,12707+0.24838i,12191+0.24217i,12075+0.24327i,12685+0.23774i,12654+0.24563i,12685+0.25773i,12650+0.25403i,12363+0.25763i,12665+0.24947i,12383+0.24801i,12069+0.25018i,12217+0.25659i,12047+0.25406i,12531+0.25313i,12061+0.2615i,11742+0.25196i,12109+0.2565i,11985+0.25708i,11854+0.25252i,11450+0.26279i,11900+0.25974i,12068+0.26669i,12056+0.26687i,11944+0.26604i,11540+0.26695i,11620+0.26055i,11567+0.27324i,11522+0.26665i,11151+0.27182i,11425+0.2818i,11161+0.27876i,10800+0.26383i,11170+0.27846i,10637+0.28504i,11698+0.27937i,11124+0.28145i,11125+0.27797i,10971+0.28225i,11218+0.27471i,10755+0.28301i,10993+0.27207i,11033+0.28683i,10741+0.28334i,10855+0.28872i,10179+0.28913i,10264+0.2861i,10504+0.29023i,10509+0.28544i,10270+0.29284i,10443+0.2978i,10609+0.29653i,10615+0.29369i,10202+0.29071i,10240+0.29811i,10552+0.30031i,10466+0.30944i,10361+0.29288i,10206+0.30289i,10364+0.30685i,10043+0.30641i,10283+0.30391i,9961.6+0.30781i,9652.6+0.30548i,9828.8+0.30999i,9825.9+0.30932i,9579.1+0.32353i,9875.2+0.3067i,9801.8+0.3165i,9777.8+0.3116i,9985.1+0.32612i,9854.9+0.32479i,9850.4+0.33359i,9793.7+0.32235i,9542.3+0.33595i,9771.2+0.32441i,9971.1+0.32347i,9348.8+0.33376i,9331.8+0.32459i,9450.3+0.32825i,9534.8+0.32056i,9366.2+0.33338i,9440.6+0.33918i,9818.9+0.33329i,9743.6+0.34067i,9468.9+0.3437i,9479.9+0.34424i,9496.3+0.34432i,9674.4+0.33813i,9498.4+0.34624i,9962.8+0.33806i,9618.2+0.35464i,9266.2+0.34446i,9236.8+0.35069i,8967.8+0.34986i,9572.3+0.35898i,9222+0.34856i,9346.9+0.34986i,9342.8+0.34153i,9431.8+0.35579i,9230.3+0.35265i,9108.6+0.35692i,9479+0.35883i,9004.6+0.35898i,9434.1+0.34776i,9201.6+0.35577i,9283.1+0.35653i,9113.2+0.36571i,9053.3+0.3779i,8959.9+0.37211i,9205.8+0.36972i,9114.7+0.35643i,9537+0.36337i,9098.8+0.36075i,9099+0.36978i,9067.9+0.37071i,9298+0.36689i,8760.5+0.37359i,8930.3+0.38683i,9101.7+0.3821i,8743.3+0.38898i,8710.5+0.3642i,9206.1+0.37736i,9286.8+0.38729i,8996.6+0.38689i,9091.2+0.3895i,9139.7+0.40165i,8942.2+0.39069i,8840.9+0.40031i,8999.8+0.3969i,9003.4+0.39644i,9028.8+0.38988i,8905.9+0.40195i,9071.9+0.39612i,8565.6+0.3999i,9073.9+0.39771i,8861.3+0.4162i,8623.1+0.40886i,8940.1+0.40386i,8689.9+0.3994i,9186.4+0.40083i,9113.1+0.41535i,8802.3+0.40677i,8951.4+0.40413i,8866.8+0.42352i,8838.5+0.42083i,8730.2+0.41908i,8518.5+0.42134i,8567.9+0.41908i,8796.6+0.42334i,8601.3+0.42431i,8475.4+0.43664i,8710.9+0.42866i,8703.3+0.43437i,8580.1+0.4308i,8543.8+0.44698i,8647.4+0.42001i,8633.8+0.4287i,8434.3+0.43835i,8553.7+0.43346i,8943.6+0.43069i,8452.1+0.43775i,8481.8+0.45338i,8652.7+0.43817i,8762.3+0.45097i,8691.9+0.43527i,9020.1+0.45377i,8712.4+0.45116i,8989.4+0.43696i,8557.6+0.44766i,8537.9+0.45571i,8762.6+0.45435i,8304.6+0.44355i,8932.7+0.45009i,8696.2+0.46283i,8350.6+0.4558i,8665+0.45194i,8578.9+0.46364i,8729+0.46426i,8772.3+0.45994i,8803+0.45461i,8772.1+0.45779i,8624.1+0.47215i,8530.9+0.48288i,9041.9+0.48558i,8339.7+0.47665i,8583.7+0.49161i,8432.9+0.49864i,8960.5+0.49035i,8587.8+0.48525i,8552.6+0.47918i,8501.8+0.47544i,8572.1+0.49489i,8478.4+0.4896i,8644+0.5182i,8694.4+0.49401i,8855+0.49679i,8571.4+0.5004i,8557.6+0.49109i,8611.7+0.49466i,8302.1+0.4926i,8649+0.50194i,8624.6+0.51331i,8421.1+0.51464i,8517.6+0.50407i,8472.1+0.51431i,8453.9+0.50467i,9010.5+0.51084i,8367.4+0.51534i,8538.9+0.51184i,8396.5+0.52445i,8436.9+0.52834i,8793+0.51921i,8637.9+0.52753i,8512+0.5092i,8626+0.54119i,8726.8+0.54687i,8638.1+0.52096i,8502.5+0.53593i,8496+0.54733i,8569.5+0.52933i,8599.5+0.52648i,8634.1+0.53965i,8663.6+0.53911i,8473.3+0.55051i,8677.4+0.55707i,8719.4+0.56781i,8301+0.55636i,8542.6+0.56456i,8075.7+0.57256i,8536.3+0.55367i,8197.2+0.5527i,8534.6+0.57692i,8729.8+0.56813i,8866.9+0.54563i,8626.1+0.56435i,8215.5+0.58881i,8379.1+0.57595i,8844.5+0.55302i,8619.2+0.56283i,8698.1+0.59239i,8445.4+0.55997i,8665.1+0.60507i,8258.6+0.57621i,8464.7+0.57216i,8542.2+0.58935i,8706.3+0.60167i,8681.1+0.58463i,8305+0.59202i,8357.1+0.58607i,8310+0.61158i,8281.2+0.60237i,8613.4+0.5937i,8504.6+0.6284i,8513.3+0.61727i,8636.5+0.62238i,8717.6+0.59899i,8581.7+0.63275i,8444.6+0.63034i,8552.2+0.62059i,8526.8+0.63706i,8692.9+0.62077i,8345+0.64749i,8375.9+0.66097i,8420.6+0.6086i,8663.4+0.64052i,8866.1+0.64385i,8431.5+0.64985i,8704.9+0.64171i
