Healthy,,(1.2790891364e-10+0.000459702267442j),(-0.000119563335697+3.30524762256e-05j) (0.000119563477313+3.30525922579e-05j),(-6.19739685789e-05+8.5811781579e-06j) (6.19740336672e-05+8.58128499185e-06j),(-4.21136149141e-05+5.04127145797e-06j) (4.21136481949e-05+5.0413569213e-06j),(-3.24892176953e-05+3.42914231501e-06j) (3.24892365337e-05+3.42921151248e-06j),(-2.64829271571e-05+2.3652014493e-06j) (2.64829384727e-05+2.36525916387e-06j),(-2.25352051848e-05+1.82132229506e-06j) (2.25352122145e-05+1.82137176954e-06j),(-1.95210758724e-05+1.30939893416e-06j) (1.95210801077e-05+1.30944250056e-06j),(-1.71877473677e-05+9.73959021521e-07j) (1.71877493739e-05+9.73998157281e-07j),(-1.5313391948e-05+7.05889423722e-07j) (1.53133920704e-05+7.05924768757e-07j),(-1.38957370457e-05+5.08621357924e-07j) (1.38957358819e-05+5.0865355023e-07j),
Healthy,,(1.70243461299e-10+0.00052206072827j),(-0.000122663109864+1.91874009138e-05j) (0.000122663315015+1.91875544542e-05j),(-5.96542401643e-05+4.57575422669e-06j) (5.96543403569e-05+4.57590295415e-06j),(-4.15308959553e-05+3.77486525038e-06j) (4.15309488513e-05+3.77498602878e-06j),(-3.20206318494e-05+2.4647640512e-06j) (3.20206634591e-05+2.4648614734e-06j),(-2.61087978763e-05+1.65938748582e-06j) (2.61088189539e-05+1.65946837569e-06j),(-2.22430727545e-05+1.19344903845e-06j) (2.22430880575e-05+1.1935182861e-06j),(-1.93134525313e-05+7.67870305359e-07j) (1.93134641621e-05+7.67931312312e-07j),(-1.69832907155e-05+4.78623675055e-07j) (1.69832995079e-05+4.78678603737e-07j),(-1.51726688099e-05+2.26153791977e-07j) (1.5172675214e-05+2.26203739021e-07j),(-1.37777091631e-05+2.69352965684e-08j) (1.37777137958e-05+2.69811698135e-08j),
Healthy,,(1.22896525266e-10+0.000446377342841j),(-0.00012437458857+3.53103209186e-05j) (0.000124374719582+3.53104327099e-05j),(-6.38663154488e-05+8.78169382173e-06j) (6.38663740112e-05+8.78179234479e-06j),(-4.29515522403e-05+5.14368405383e-06j) (4.29515832065e-05+5.14376100401e-06j),(-3.31751347988e-05+3.48580680138e-06j) (3.31751537762e-05+3.48586867679e-06j),(-2.70463860428e-05+2.39903549677e-06j) (2.70463987817e-05+2.39908708845e-06j),(-2.29860488013e-05+1.81582671255e-06j) (2.29860579818e-05+1.81587100644e-06j),(-1.99048103725e-05+1.30661628572e-06j) (1.99048172311e-05+1.30665541123e-06j),(-1.75283472192e-05+9.18367088813e-07j) (1.75283522128e-05+9.18402401638e-07j),(-1.56194545433e-05+6.61054781408e-07j) (1.5619457892e-05+6.61086876814e-07j),(-1.41394299259e-05+4.68273482074e-07j) (1.41394321187e-05+4.68302901288e-07j),
Cancer,,(1.18728355573e-10+0.000380137829338j),(-7.70299213818e-05+1.47943586109e-05j) (7.70300647119e-05+1.47944622592e-05j),(-4.02638752728e-05+5.65952686667e-06j) (4.0263946629e-05+5.65963068135e-06j),(-2.83679329824e-05+3.71770140327e-06j) (2.83679706242e-05+3.71778735701e-06j),(-2.22247837096e-05+2.45554089389e-06j) (2.2224805295e-05+2.45561130983e-06j),(-1.81777521896e-05+1.71726558813e-06j) (1.81777654389e-05+1.71732449789e-06j),(-1.55547089701e-05+1.29751775931e-06j) (1.55547175048e-05+1.29756832856e-06j),(-1.34975503266e-05+9.15945166247e-07j) (1.34975558368e-05+9.15989682725e-07j),(-1.19026448968e-05+6.03879091748e-07j) (1.19026480854e-05+6.03919072323e-07j),(-1.06123704874e-05+4.13345238624e-07j) (1.06123717668e-05+4.13381332524e-07j),(-9.62965264338e-06+2.54348341857e-07j) (9.62965271606e-06+2.54381238355e-07j),
Cancer,,(1.30407449967e-10+0.000404321358177j),(-9.06001336752e-05+1.52883699741e-05j) (9.06002906457e-05+1.52884834695e-05j),(-4.43020711003e-05+4.65691473661e-06j) (4.43021508239e-05+4.65702620386e-06j),(-3.13963408945e-05+3.62082427334e-06j) (3.13963848573e-05+3.62091653723e-06j),(-2.4552361516e-05+2.37613458503e-06j) (2.45523884209e-05+2.37621023813e-06j),(-2.00870923448e-05+1.61753762627e-06j) (2.00871103097e-05+1.61760102192e-06j),(-1.71316826526e-05+1.21956947559e-06j) (1.71316955569e-05+1.21962395213e-06j),(-1.48786943152e-05+8.4286838941e-07j) (1.48787039507e-05+8.42916403373e-07j),(-1.31325619322e-05+5.19521927062e-07j) (1.31325690829e-05+5.19565064743e-07j),(-1.17210169398e-05+3.45920226727e-07j) (1.17210220333e-05+3.45959264914e-07j),(-1.06462451331e-05+1.79025295628e-07j) (1.06462487912e-05+1.79060872288e-07j),
Cancer,,(1.16843390018e-10+0.000365609596051j),(-8.93823915945e-05+2.2449444555e-05j) (8.9382530992e-05+2.24495470072e-05j),(-4.78231397115e-05+5.26171476944e-06j) (4.78232075235e-05+5.26181656378e-06j),(-3.24839705977e-05+3.30141865982e-06j) (3.24840053391e-05+3.30150102355e-06j),(-2.51875979449e-05+2.70941584963e-06j) (2.5187618287e-05+2.70948211097e-06j),(-2.0868898246e-05+1.44546990093e-06j) (2.08689114039e-05+1.44552495637e-06j),(-1.73239779678e-05+9.12668300326e-07j) (1.7323987077e-05+9.12715439899e-07j),(-1.49107922931e-05+9.74384221824e-07j) (1.49107987486e-05+9.74425709791e-07j),(-1.3532749697e-05+6.80990493591e-07j) (1.35327540272e-05+6.81027747524e-07j),(-1.2000744734e-05+1.43257407633e-07j) (1.20007472054e-05+1.4329100973e-07j),(-1.07192453531e-05+9.99317500482e-08j) (1.07192465308e-05+9.99621737433e-08j),
Cancer,,(1.33501281995e-10+0.000434681734647j),(-0.000113902776107+2.39779134706e-05j) (0.000113902929544+2.39780321591e-05j),(-5.30780940891e-05+4.07058714137e-06j) (5.30781694863e-05+4.07069990572e-06j),(-3.73257615993e-05+4.01301027279e-06j) (3.73258008925e-05+4.01310259901e-06j),(-2.88942341597e-05+2.63271816355e-06j) (2.88942568814e-05+2.63279260751e-06j),(-2.35599140478e-05+1.87627114171e-06j) (2.35599285883e-05+1.87633276551e-06j),(-2.00718103159e-05+1.41846558471e-06j) (2.00718204532e-05+1.4185181267e-06j),(-1.74093449279e-05+9.71138793621e-07j) (1.74093522931e-05+9.71184945987e-07j),(-1.53410666485e-05+6.64554653256e-07j) (1.53410718148e-05+6.64596111242e-07j),(-1.36785885025e-05+4.49931436872e-07j) (1.36785917351e-05+4.49968951922e-07j),(-1.23908545943e-05+2.69833549352e-07j) (1.23908564311e-05+2.69867733967e-07j),
Cancer,,(1.30323443543e-10+0.000422544997868j),(-9.6462340863e-05+1.81353450264e-05j) (9.64624935309e-05+1.81354614003e-05j),(-4.75135670854e-05+4.95134049335e-06j) (4.75136409786e-05+4.95145310063e-06j),(-3.3165085708e-05+3.63268737147e-06j) (3.31651238866e-05+3.63277978128e-06j),(-2.58930846448e-05+2.44368129125e-06j) (2.58931059136e-05+2.44375659193e-06j),(-2.12346257444e-05+1.60001886082e-06j) (2.12346382438e-05+1.60008160868e-06j),(-1.81158741293e-05+1.1847924857e-06j) (1.81158816766e-05+1.18484613537e-06j),(-1.57324927701e-05+7.45949697838e-07j) (1.57324970824e-05+7.45996735635e-07j),(-1.38653978649e-05+4.38778334491e-07j) (1.38653996674e-05+4.38820299279e-07j),(-1.23543508653e-05+1.95162549076e-07j) (1.2354350657e-05+1.95200133291e-07j),(-1.12374314674e-05-8.87149142852e-09j) (1.12374299638e-05-8.83756585751e-09j),
Cancer,,(1.63427888262e-10+0.000515703304698j),(-0.000112411599358+2.44272721521e-05j) (0.000112411800539+2.44274162832e-05j),(-5.86978908571e-05+6.27969530281e-06j) (5.86979927465e-05+6.27983911402e-06j),(-4.03002201969e-05+3.85042088509e-06j) (4.03002750874e-05+3.85053970691e-06j),(-3.11632583313e-05+2.75025765433e-06j) (3.11632910641e-05+2.75035432049e-06j),(-2.54746280882e-05+1.83425462707e-06j) (2.54746497387e-05+1.8343349796e-06j),(-2.17243157976e-05+1.2686633417e-06j) (2.17243314156e-05+1.2687320624e-06j),(-1.88574456907e-05+8.05802506954e-07j) (1.88574575026e-05+8.05862927372e-07j),(-1.66214451227e-05+4.8890175392e-07j) (1.66214540462e-05+4.88955967485e-07j),(-1.48188826379e-05+2.35225249903e-07j) (1.4818889274e-05+2.35274304262e-07j),(-1.34411377561e-05+4.77643021642e-08j) (1.34411428713e-05+4.78092167081e-08j),
Cancer,,(2.06572180117e-10+0.000598462340636j),(-9.99690330496e-05+6.21925097222e-06j) (9.99693025865e-05+6.21943762049e-06j),(-5.45252752826e-05+5.07495438443e-06j) (5.45254093047e-05+5.07514959012e-06j),(-3.83272136172e-05+3.41327823909e-06j) (3.8327281657e-05+3.4134399035e-06j),(-2.98762918229e-05+2.29959618265e-06j) (2.98763290732e-05+2.29972754183e-06j),(-2.44399459674e-05+1.49502848773e-06j) (2.4439967661e-05+1.49513738129e-06j),(-2.08596537445e-05+1.02496115683e-06j) (2.08596669048e-05+1.0250537274e-06j),(-1.81121757081e-05+5.78912631724e-07j) (1.81121836512e-05+5.78993317847e-07j),(-1.5985623011e-05+2.78154648267e-07j) (1.59856272085e-05+2.78226408949e-07j),(-1.42518134718e-05+6.52692679973e-08j) (1.42518147442e-05+6.53336920991e-08j),(-1.29421101695e-05-1.03378095529e-07j) (1.29421095213e-05-1.0331968198e-07j),
