18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,18271+0.2082i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,16561+0.21078i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15855+0.21362i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,15327+0.21742i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14840+0.22117i,14535+0.22388i,14535+0.22388i,14535+0.22388i,14535+0.22388i,14535+0.22388i,14535+0.22388i,14535+0.22388i,14156+0.22766i,14156+0.22766i,14156+0.22766i,14156+0.22766i,14156+0.22766i,14156+0.22766i,14156+0.22766i,13902+0.23118i,13902+0.23118i,13902+0.23118i,13902+0.23118i,13902+0.23118i,13902+0.23118i,13528+0.23418i,13528+0.23418i,13528+0.23418i,13528+0.23418i,13528+0.23418i,13414+0.23774i,13414+0.23774i,13414+0.23774i,13414+0.23774i,13414+0.23774i,13117+0.24071i,13117+0.24071i,13117+0.24071i,13117+0.24071i,12860+0.24536i,12860+0.24536i,12860+0.24536i,12860+0.24536i,12629+0.24636i,12629+0.24636i,12629+0.24636i,12488+0.24933i,12488+0.24933i,12488+0.24933i,12381+0.25377i,12381+0.25377i,12381+0.25377i,12153+0.25475i,12153+0.25475i,12153+0.25475i,12051+0.25698i,12051+0.25698i,12051+0.25698i,11945+0.25984i,11945+0.25984i,11806+0.26256i,11806+0.26256i,11771+0.26485i,11771+0.26485i,11771+0.26485i,11658+0.26557i,11658+0.26557i,11649+0.26794i,11649+0.26794i,11508+0.27043i,11508+0.27043i,11406+0.27105i,11406+0.27105i,11314+0.27286i,11173+0.27715i,11173+0.27715i,11159+0.27961i,11159+0.27961i,11130+0.27987i,11009+0.27899i,11009+0.27899i,10963+0.2867i,10980+0.28454i,10980+0.28454i,10908+0.28583i,10855+0.28864i,10745+0.28751i,10745+0.28751i,10727+0.28845i,10707+0.29064i,10668+0.29432i,10624+0.2943i,10624+0.2943i,10609+0.29427i,10509+0.29503i,10567+0.29678i,10533+0.29776i,10471+0.29782i,10421+0.30289i,10441+0.30381i,10483+0.30155i,10395+0.30811i,10345+0.30622i,10330+0.30707i,10307+0.31353i,10246+0.30845i,10157+0.30779i,10190+0.31498i,10245+0.31194i,10167+0.31623i,10183+0.31463i,10080+0.31679i,10102+0.31734i,10009+0.32347i,10074+0.32405i,10065+0.33073i,9999.1+0.31896i,10002+0.3186i,9933.4+0.32345i,10047+0.32514i,9837.6+0.32483i,9794.1+0.3244i,9889.3+0.33865i,9827.9+0.3286i,9734.3+0.33663i,9826.2+0.32646i,9730.3+0.34717i,9823.3+0.34623i,9612.8+0.33866i,9782.4+0.32933i,9793.8+0.34531i,9722+0.32222i,9669.8+0.35086i,9665.5+0.34325i,9720.6+0.34992i,9697.2+0.32985i,9504.3+0.35528i,9509.6+0.35031i,9510+0.35312i,9565+0.35874i,9486.5+0.34503i,9562.3+0.35304i,9603.5+0.36281i,9471.6+0.35112i,9750.6+0.35111i,9513.2+0.38015i,9662+0.3963i,9201.9+0.34837i,9400.3+0.3437i,9440.2+0.36979i,9386.1+0.35266i,9475+0.3491i,9488.2+0.36757i,9452.3+0.38427i,9663.6+0.37753i,9396.5+0.38114i,9206.4+0.35163i,9436.8+0.34265i,9207.3+0.34727i,9289.4+0.42575i,9237.8+0.39638i,9482.9+0.32245i,9375.5+0.3903i,9583.4+0.40988i,9676.2+0.38998i,9222.2+0.34459i,9196.6+0.40096i,9084.5+0.35673i,9474.2+0.43419i,9126.9+0.34913i,9240.6+0.39356i,9260+0.39743i,9072.4+0.39053i,9264.1+0.47004i,9655.6+0.3899i,9224.3+0.41589i,9304+0.4587i,9260.7+0.43028i,9166.5+0.3722i,9462.1+0.35384i,9375.3+0.48383i,9607.6+0.34019i,9219.7+0.36295i,9155.3+0.38907i,9299+0.47923i,8789.3+0.43415i,9586.7+0.48423i,8721.7+0.45657i,9058.8+0.3247i,9059.2+0.58753i,9024+0.63295i,9415+0.57401i,9588.2+0.68662i,9507.1+0.22526i,9081.5+0.56163i,9212.3+0.19039i,8991.8+0.50379i,9150+0.21242i,9695.7+0.58024i,8995.6+0.41527i,8977.9+0.23893i,8570+0.42157i,9200.3+0.54734i,8719+0.48028i,9215.9+0.40876i,8661.2+0.64003i,9463.8+0.51975i,8899.3+0.44803i,8991.4+0.47811i,8408+0.55188i,9521.9+0.35125i,8703.7+0.47589i,9367.8+0.41272i,9440.3+0.017485i,8675.4+0.48631i,8532.9+0.45337i,8168.4+0.1818i,9173.7+0.82113i,9019+0.73063i,8793.4+0.95035i,8995.3+0.89146i,9156+0.47204i,8717.9+0.44655i,9505.2+1.0511i,9328.7+0.035805i,8459.6+0.58739i,8394.5+0.92337i,7752.1+1.201i,9267+1.119i,8408.6+0.1962i,8573.5+1.3048i,9542.3-0.81248i,8414.2+0.62348i,9284.8+0.90543i,9996-0.65663i,8689.3-0.48968i,8245.1-0.075365i,10439-0.53991i,9190.8+0.94879i,8446.4+1.0752i,7893.3+0.73539i,7261.3+1.2335i,7837.4-0.84449i,9235.3-2.4356i,9292.2+3.4904i,8532+0.46017i,8955.5+0.1685i,9129.1+2.4339i,10442-0.5i,8410.5+0.80465i,8271.2+1.617i,7398.9-1.4122i,8114.2+1.2081i,8920.7+0.75252i,7243.8-1.6641i,10682+0.19472i,11359+0.96907i,9857.5+2.625i,9409.4+3.4266i,9682.5+3.5634i,10579-4.0679i,10903-2.7249i,10117+5.1259i,7225.4-0.55203i,8081.1-0.063098i,8172.5+0.066508i,8159.5-2.7283i,11016+2.841i,11223-4.2671i,9653.3+5.0877i,8033.9-4.5135i,7366.8-2.4873i,7799+9.4072i,8076.3+7.1503i,8328.2+3.2474i,8301.4+5.7644i,12475+0.070262i,9284.3+5.7868i,15852+14.85i,8776.6+0.10365i,7244+6.4739i,6817.3-7.8475i,10051-6.4347i,7996.3+10.461i,9008.1-3.6547i,7079+5.5797i,9687.8-8.6445i,11502+0.98767i,10271+4.0305i,6310.7+0.53804i,6162.9-11.679i,9665.9+27.035i,8806.6+1.2945i,6688.8+3.2798i,6144.9-2.7957i,10906-0.28551i,4653.8-0.2638i,8655.8-6.5485i,7953.2-4.6634i,9318-15.151i,6954.4-0.67542i,6418.1+10.024i,6570-3.4201i,6364.2+18.138i,6989-10.441i
18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,18254+0.2081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,16603+0.21081i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15994+0.21298i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15386+0.21671i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,15038+0.22013i,14347+0.22367i,14347+0.22367i,14347+0.22367i,14347+0.22367i,14347+0.22367i,14347+0.22367i,14347+0.22367i,14089+0.22746i,14089+0.22746i,14089+0.22746i,14089+0.22746i,14089+0.22746i,14089+0.22746i,14089+0.22746i,13850+0.23157i,13850+0.23157i,13850+0.23157i,13850+0.23157i,13850+0.23157i,13850+0.23157i,13590+0.23375i,13590+0.23375i,13590+0.23375i,13590+0.23375i,13590+0.23375i,13261+0.23841i,13261+0.23841i,13261+0.23841i,13261+0.23841i,13261+0.23841i,13073+0.24035i,13073+0.24035i,13073+0.24035i,13073+0.24035i,12856+0.24406i,12856+0.24406i,12856+0.24406i,12856+0.24406i,12689+0.24794i,12689+0.24794i,12689+0.24794i,12528+0.24963i,12528+0.24963i,12528+0.24963i,12393+0.25242i,12393+0.25242i,12393+0.25242i,12222+0.25487i,12222+0.25487i,12222+0.25487i,12028+0.25762i,12028+0.25762i,12028+0.25762i,11991+0.26066i,11991+0.26066i,11898+0.26109i,11898+0.26109i,11701+0.26449i,11701+0.26449i,11701+0.26449i,11618+0.26638i,11618+0.26638i,11635+0.26753i,11635+0.26753i,11412+0.27215i,11412+0.27215i,11343+0.27317i,11343+0.27317i,11403+0.27391i,11265+0.27572i,11265+0.27572i,11125+0.27437i,11125+0.27437i,11112+0.28027i,11067+0.28269i,11067+0.28269i,11044+0.28172i,11042+0.2831i,11042+0.2831i,10882+0.28682i,10819+0.28723i,10793+0.28714i,10793+0.28714i,10834+0.29381i,10774+0.2928i,10787+0.29567i,10671+0.29173i,10671+0.29173i,10606+0.29541i,10610+0.29855i,10520+0.29976i,10418+0.30236i,10503+0.2976i,10417+0.30307i,10326+0.29916i,10343+0.30181i,10374+0.30184i,10287+0.30933i,10224+0.3078i,10235+0.30478i,10244+0.31252i,10198+0.30689i,10171+0.31416i,10121+0.31376i,10179+0.32108i,10227+0.32462i,10067+0.32318i,9995.5+0.31717i,9971.1+0.31921i,9919.7+0.3246i,9905.2+0.31884i,10104+0.32526i,9981.4+0.31997i,9924.5+0.33316i,10009+0.3217i,9834+0.32391i,9886.3+0.32962i,9834.4+0.33671i,9823.1+0.33779i,9715.5+0.3389i,9816.4+0.32665i,9718.8+0.33661i,9789.1+0.33627i,9914.5+0.34756i,9750.8+0.3283i,9672.5+0.33877i,9718+0.33924i,9693.4+0.3321i,9770+0.34398i,9658.5+0.32573i,9579.9+0.34735i,9633+0.36464i,9631.7+0.35771i,9548.3+0.34847i,9497.4+0.33398i,9616.7+0.34626i,9578.2+0.35411i,9518.1+0.34669i,9575.5+0.35331i,9456.2+0.37243i,9684.2+0.35299i,9469.2+0.37301i,9493.9+0.39125i,9389.6+0.36305i,9481.2+0.37467i,9407.4+0.3284i,9447.4+0.359i,9476.8+0.39793i,9457.7+0.35621i,9347.8+0.40423i,9292.6+0.35905i,9406.4+0.34302i,9205.9+0.37511i,9360+0.34741i,9452.1+0.37803i,9499.4+0.39155i,9323.5+0.45104i,9201.5+0.36216i,9231.5+0.40592i,9143.3+0.39192i,9365.2+0.37645i,9447.5+0.48136i,9473+0.43644i,9115.7+0.35361i,9100.6+0.3972i,9157.3+0.4075i,9284.1+0.40661i,9371.5+0.50251i,9117.2+0.33627i,9305.1+0.44605i,9514.3+0.39334i,9405.5+0.45203i,9139.2+0.44363i,9299.6+0.39809i,8948+0.37761i,9180.4+0.31335i,9032.4+0.47272i,9455.6+0.47056i,9109.7+0.47795i,9358.8+0.49074i,9125.1+0.47184i,8963+0.39325i,9142.7+0.46374i,9191.4+0.57593i,9171.1+0.54163i,9185.2+0.47147i,9256.4+0.50515i,8925.8+0.42816i,9250.3+0.40303i,9247.3+0.48608i,8765.2+0.51284i,9277.7+0.16198i,8836.9+0.41432i,8693.5+0.52354i,8875.3+0.44394i,8719.8+0.45859i,8637+0.43882i,9136.6+0.64781i,9151.6+0.42554i,9066.6+0.83306i,9080.2+0.44255i,9411.5+0.065681i,8706.1+0.51151i,9330.3+0.93315i,9031.1+0.59701i,9658+0.61049i,9202.6+0.54054i,8952.9+0.12753i,9212.1+0.82532i,9555+0.84243i,9162.4+0.6873i,9028.3+0.0014183i,8953.6+0.69138i,9014.6+0.73385i,8978.7+0.23412i,8916+0.18682i,8770-0.18752i,10110+0.57546i,9546.7+0.26557i,10180-0.069843i,8454.8+0.16295i,10192-0.5014i,8803.4+0.32377i,8760.5+0.879i,9447.1+0.18056i,9279.9-0.47917i,8147.6+0.82034i,8643.9-0.21022i,9333.1+1.4728i,8790.6-0.15789i,10176-0.70568i,8741.9+0.78387i,8582.9+1.0423i,9030.9+1.2648i,8427.4-0.53601i,8562.2+0.21885i,9171.5-0.6834i,8074.5+0.5829i,9775.2-1.0087i,9288.3-0.48936i,8262.6+0.88715i,8753.5+0.72375i,9324.5+0.25053i,8645.8+1.5182i,8312.1+2.2942i,8903.6-0.6931i,8892.4+0.35345i,9945.4-2.2914i,8768.4+4.8187i,10950+4.2567i,8257.4-0.055024i,11503+1.0587i,9688.2+1.8777i,7236.3-1.7628i,7847.5+2.4894i,7076.3+3.3578i,8362.4-1.4345i,10483-0.88967i,8676.1+1.0403i,8341.7+2.7599i,9969.5+1.148i,8876+1.2997i,8255.8+0.80468i,8598+8.8133i,8336+2.0945i,7549.4-5.8434i,7052.2-0.62324i,12189-5.1905i,8349.8+2.1746i,8061-2.8051i,9835.1-0.89142i,7565.2-3.7746i,9814.8-6.6229i,7956+13.368i,7690.1+2.0008i,8428.5-3.5242i,11599+12.961i,7326.1+6.1318i,7663.1+0.3696i,6694.6+13.291i,9831.8+12.523i,9448.4-3.2216i,8787.3-0.66564i,8782.9+11.85i,9772+4.657i,10779-0.69809i,6506.2-3.1589i,12070-10.107i,7951.9-6.9586i,8584.9+19.983i,13004+24.635i,7383+15.701i,5657.6+9.8349i,7327-10.787i,6638.2-0.00057793i,9619.2+29.579i,11913+46.731i,16637+5.4623i,9614.1+10.086i,7134.6-13.186i
18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,18253+0.2081i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,16612+0.21003i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15933+0.21303i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,15399+0.21758i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14976+0.22052i,14494+0.22494i,14494+0.22494i,14494+0.22494i,14494+0.22494i,14494+0.22494i,14494+0.22494i,14494+0.22494i,14118+0.22756i,14118+0.22756i,14118+0.22756i,14118+0.22756i,14118+0.22756i,14118+0.22756i,14118+0.22756i,13864+0.23134i,13864+0.23134i,13864+0.23134i,13864+0.23134i,13864+0.23134i,13864+0.23134i,13749+0.23465i,13749+0.23465i,13749+0.23465i,13749+0.23465i,13749+0.23465i,13386+0.23833i,13386+0.23833i,13386+0.23833i,13386+0.23833i,13386+0.23833i,13135+0.24055i,13135+0.24055i,13135+0.24055i,13135+0.24055i,12903+0.24334i,12903+0.24334i,12903+0.24334i,12903+0.24334i,12737+0.24642i,12737+0.24642i,12737+0.24642i,12541+0.24978i,12541+0.24978i,12541+0.24978i,12322+0.2517i,12322+0.2517i,12322+0.2517i,12269+0.25464i,12269+0.25464i,12269+0.25464i,12094+0.25669i,12094+0.25669i,12094+0.25669i,11987+0.26018i,11987+0.26018i,11879+0.26198i,11879+0.26198i,11731+0.26459i,11731+0.26459i,11731+0.26459i,11659+0.26721i,11659+0.26721i,11577+0.26777i,11577+0.26777i,11439+0.27263i,11439+0.27263i,11390+0.27226i,11390+0.27226i,11361+0.27507i,11246+0.27423i,11246+0.27423i,11259+0.28022i,11259+0.28022i,11152+0.28127i,11031+0.27974i,11031+0.27974i,11041+0.28304i,10895+0.28564i,10895+0.28564i,10886+0.28604i,10877+0.28898i,10762+0.2891i,10762+0.2891i,10727+0.2917i,10647+0.29059i,10660+0.29241i,10635+0.29289i,10635+0.29289i,10640+0.29754i,10443+0.29804i,10520+0.29987i,10550+0.30187i,10512+0.30396i,10345+0.30176i,10394+0.30004i,10399+0.3023i,10377+0.30361i,10364+0.30657i,10341+0.30973i,10278+0.30834i,10303+0.31175i,10184+0.31705i,10163+0.31414i,10248+0.3122i,10172+0.32362i,10093+0.31649i,10105+0.31891i,10080+0.31892i,10012+0.3173i,9985.8+0.32125i,10023+0.32788i,9848.3+0.32348i,9796+0.33303i,10015+0.32356i,9867.6+0.32673i,9913.7+0.32029i,9890.3+0.3286i,9843+0.32863i,9811.4+0.336i,9809.8+0.33399i,9734+0.3331i,9740.5+0.33164i,9723.9+0.33463i,9742.6+0.3403i,9771.5+0.33388i,9744.9+0.33585i,9733.9+0.32907i,9693.9+0.34423i,9617+0.34462i,9656.4+0.35755i,9515.2+0.33699i,9520.5+0.337i,9493.6+0.32734i,9483.4+0.36288i,9683.7+0.3671i,9428.6+0.35347i,9493.9+0.3651i,9549.2+0.35064i,9436.2+0.34704i,9374.3+0.36193i,9579.1+0.38698i,9402.5+0.35139i,9652.6+0.35575i,9281.6+0.38166i,9495.3+0.33803i,9437.3+0.37547i,9288.4+0.36674i,9542.9+0.37596i,9208.8+0.38057i,9249.4+0.35548i,9290.4+0.35325i,9299.1+0.40446i,9305.3+0.348i,9349.9+0.36216i,9173.9+0.35647i,9510.7+0.34078i,9382.3+0.39092i,9367.9+0.3517i,9450.2+0.43797i,9433.6+0.43909i,9355.5+0.39465i,9432.6+0.45134i,9047.8+0.36254i,9246.6+0.34348i,9062.2+0.41702i,9199.3+0.30138i,9118.6+0.40604i,9323.6+0.44539i,9084.3+0.37492i,8951.5+0.38796i,8957.5+0.4108i,8922.9+0.40836i,9402.4+0.36786i,8799.6+0.32712i,9286.3+0.36876i,9203.8+0.35217i,8979+0.31309i,9364+0.34558i,9382.8+0.55295i,8814+0.38142i,8949+0.40408i,8978.4+0.51532i,9265.8+0.37975i,9052.9+0.46816i,9222.3+0.30324i,9454.6+0.47063i,9059+0.49172i,8730.9+0.14428i,8941.1+0.32296i,9301.4+0.35257i,9369.6+0.35248i,9771.6+0.41652i,9195.9+0.54417i,8747.4+0.36389i,8537.4+0.41591i,9426+0.56082i,8777.2+0.60884i,8577.9+0.78514i,9124.2+0.053163i,8664.8+0.3819i,9221+0.63552i,9281+0.69279i,9395.8+0.75527i,8632.2+0.039177i,8576.9+0.42217i,9101.6+0.5044i,8976.5+0.53982i,9293.8+0.77666i,9275.8+0.58883i,9497.1+0.38065i,8198.8+0.69534i,9596.7+0.46706i,9421.3+0.96088i,8612.3+0.90466i,9072.2+0.12312i,8937.7+1.1326i,9249.1-0.088969i,8502.7+0.45247i,9904.4+0.61044i,8859.8+0.68874i,8793.3-0.025983i,8171.7+0.41809i,9012.7+0.39664i,8615.2+0.25981i,9046.9+1.0715i,8766.1+0.45181i,9951.2+0.66514i,9066.1-0.37898i,8967.7+0.27157i,8913+0.94069i,8098.5-0.36165i,9314.2+0.14778i,8287.5+0.5248i,8611+0.38204i,9237.3-0.6636i,8878.8+0.016783i,8814.2+1.6518i,10110-0.00092034i,8779.9-1.4024i,8767.5+0.3729i,8649.2+0.89246i,9101.1-1.3387i,9147.4+1.088i,9423.6+0.75843i,9526.5+0.63009i,9261.2+0.79909i,8532.7+1.0424i,8363.6-1.211i,9328.6+0.84919i,8194.5+1.5474i,8277.8+2.3387i,9334.3+0.45407i,8252-2.5929i,8418.6+0.37825i,7404.4-1.552i,8364.3+0.48409i,8530.7-1.3873i,10382-0.61244i,8670.4+1.5125i,9015.9-3.013i,7378.3-4.4173i,6889.3+1.1369i,8789.8-2.2797i,7721+5.3297i,7740.3+0.81353i,7534.4+1.2861i,9055.7+1.3791i,8562.7-0.96862i,7453.2+1.0071i,8654.1-1.3975i,10471+6.0338i,7826.7-8.0956i,8786.6+4.535i,7648.6-4.2253i,7347-9.278i,11298+6.0298i,6443.4-3.8371i,9471.1-3.0647i,7421+7.4463i,9116.8+0.22698i,11665-17.191i,8785.8+1.73i,6296.9+0.20232i,7529.2+6.0413i,7503.6-2.4841i,7359.7+7.632i,6765.3+6.4279i,10359-20.462i,9006.3+20.652i,7077.2-8.6776i,8384.2+4.5685i,10119-18.782i,6936.9+6.1389i,8137.2+0.22146i,7113.6+23.142i,11360-20.43i,9795.2+30.564i,7337.7+25.558i,7137.4+1.2509i,7986.7+22.595i
