14503+0.20956i,14501+0.21074i,14484+0.21162i,14760+0.21479i,14984+0.2136i,15043+0.21677i,14232+0.2062i,14101+0.20872i,14579+0.21887i,14426+0.21169i,14646+0.20134i,14257+0.20996i,14456+0.20588i,14401+0.20371i,14099+0.21486i,14548+0.21176i,14261+0.20903i,14526+0.21046i,14255+0.21713i,14073+0.21515i,13789+0.21518i,14662+0.21175i,14293+0.2131i,14363+0.2075i,13859+0.21365i,13878+0.20758i,13946+0.21626i,13962+0.20901i,14123+0.20583i,14080+0.20678i,13787+0.20673i,14502+0.21215i,14248+0.21509i,14595+0.21294i,14118+0.21424i,13858+0.21345i,14062+0.21077i,13538+0.20914i,13357+0.2089i,13244+0.21368i,13581+0.21014i,13682+0.20775i,13130+0.2053i,13824+0.20543i,13700+0.20876i,13531+0.21304i,13684+0.21185i,13699+0.21197i,13552+0.21483i,13988+0.21195i,13796+0.20451i,13347+0.20816i,13535+0.20915i,14094+0.2057i,13652+0.21377i,13396+0.21357i,13369+0.21098i,13110+0.21044i,13474+0.21683i,13510+0.21168i,13397+0.21282i,13384+0.20798i,13423+0.20563i,13607+0.21634i,13111+0.21524i,13567+0.21129i,13686+0.21876i,13246+0.21583i,13304+0.21837i,13245+0.21582i,13345+0.21307i,13501+0.21847i,13291+0.208i,13187+0.2171i,13418+0.23013i,12761+0.20848i,13653+0.21058i,13371+0.21734i,12889+0.21643i,13178+0.22165i,12747+0.22003i,13028+0.21738i,12996+0.21122i,12977+0.21441i,12304+0.20968i,13085+0.21161i,12868+0.22085i,12870+0.21365i,13092+0.22881i,12678+0.22029i,12639+0.21143i,13130+0.2143i,12601+0.21858i,12896+0.22395i,13068+0.21348i,12585+0.21891i,12816+0.21871i,12791+0.21202i,12449+0.21763i,12253+0.22618i,12567+0.22763i,12503+0.21423i,12602+0.22291i,12481+0.22482i,12638+0.22397i,12000+0.22275i,12160+0.22826i,12800+0.21932i,11925+0.22251i,11883+0.22133i,12005+0.22578i,12047+0.22787i,11996+0.22918i,11727+0.22369i,11754+0.22613i,11875+0.23486i,11907+0.22262i,12116+0.22552i,11878+0.22063i,11888+0.23195i,11960+0.22729i,11639+0.22319i,11363+0.22938i,11685+0.22582i,11500+0.23157i,11798+0.22721i,11267+0.23424i,11617+0.24176i,11378+0.24224i,11627+0.24141i,11131+0.23898i,10882+0.23706i,11199+0.23887i,11129+0.23019i,10966+0.23017i,10416+0.24175i,11113+0.24746i,11021+0.22999i,10876+0.23899i,10566+0.24136i,10852+0.25361i,11108+0.23815i,10710+0.2476i,10950+0.2486i,10522+0.24076i,10571+0.25152i,10446+0.25039i,10289+0.24346i,10503+0.25424i,10782+0.24483i,10278+0.24822i,10197+0.24886i,10559+0.25421i,10189+0.25363i,9751.7+0.24835i,10240+0.25677i,9951.8+0.26262i,10027+0.25169i,9760.5+0.25281i,9992.8+0.26567i,9960.3+0.26963i,9596.8+0.26175i,10091+0.25831i,9921.9+0.26109i,9541.9+0.26452i,9636.2+0.26873i,10091+0.26343i,9868.6+0.27296i,9756.8+0.2703i,9398.7+0.26801i,9521+0.27348i,9291.7+0.28243i,9619+0.27418i,9207.3+0.28293i,9178.6+0.27845i,9357.7+0.27628i,9711.7+0.28478i,9178.3+0.28536i,9418.9+0.27529i,9245.3+0.28224i,9221.4+0.28003i,9047+0.2936i,9361.7+0.2743i,8916.3+0.29741i,8989.1+0.29788i,8795.4+0.29173i,8841.1+0.28761i,9041.7+0.29059i,8809.8+0.29339i,8675.5+0.29954i,9144.7+0.30466i,8806.9+0.29602i,8713.8+0.30068i,8491.1+0.30566i,8784.1+0.30164i,8908.1+0.30201i,8410.5+0.30515i,8644.2+0.30483i,8527.1+0.30546i,8834+0.30537i,8490+0.30502i,8610.7+0.30334i,8365.8+0.30894i,8447.1+0.31871i,8193+0.31328i,8181.4+0.30941i,8144.7+0.32013i,8372.3+0.30855i,8419.5+0.32185i,8452.1+0.3246i,7996+0.31808i,8239.2+0.31946i,8167.5+0.31951i,7934.2+0.31995i,8429.9+0.32301i,8068.9+0.32579i,7887.9+0.31635i,8008.2+0.3333i,7920.4+0.33993i,7989.5+0.33717i,7766.6+0.34058i,8087.6+0.32887i,8196.5+0.33873i,7865.1+0.338i,8139.8+0.32944i,7821.1+0.35041i,7801.5+0.3419i,8049.1+0.34562i,7898.8+0.34244i,7982.2+0.34031i,7782.6+0.35692i,7825.2+0.34093i,7839.5+0.3463i,7848.2+0.34783i,7904.5+0.35298i,7713.4+0.36396i,7569.1+0.34207i,7830.8+0.36091i,7894.5+0.36728i,7601.2+0.35552i,7871.1+0.34811i,7489.7+0.3589i,7668.4+0.36881i,7624.4+0.36065i,7598.3+0.35811i,7721.5+0.35998i,7407.9+0.37365i,7772.6+0.37023i,7761.9+0.36399i,7606.2+0.37881i,7824.6+0.38649i,7451.9+0.38032i,7741.2+0.38007i,7452.6+0.37623i,7360.9+0.38234i,7631+0.38187i,7547.2+0.36973i,7552.9+0.37936i,7462.3+0.38342i,7698.8+0.38906i,7345.7+0.38154i,7249.5+0.39905i,7301.1+0.39321i,7484+0.39108i,7722.4+0.38399i,7720.6+0.39702i,7441.6+0.38836i,7597.5+0.39623i,7494.3+0.39969i,7476.4+0.41018i,7151.6+0.38993i,7549.1+0.39778i,7512.9+0.41204i,7345.1+0.41392i,7682.6+0.41347i,7484.3+0.42439i,7371.1+0.4135i,7322.3+0.39552i,7707.6+0.41489i,7640.3+0.41054i,7404.3+0.42036i,7495.3+0.41979i,7429.6+0.42278i,7407.3+0.41817i,7123.8+0.4178i,7186.5+0.4249i,7480.6+0.42387i,7260.5+0.43191i,7468.4+0.42179i,7428.4+0.42748i,7341.2+0.42815i,7122.6+0.42506i,7491.8+0.44853i,7406.3+0.43239i,7292.1+0.44132i,7055+0.44073i,7218.9+0.43301i,7115.5+0.44022i,7277.2+0.44026i,7315.6+0.434i,7479.4+0.44433i,7221+0.44688i,7314.5+0.43488i,7292.6+0.46907i,7424.7+0.46088i,7137.3+0.45806i,7110.1+0.46043i,7444.2+0.44099i,7048.2+0.45519i,7270.7+0.46017i,7177.4+0.45176i,7208.1+0.44502i,7291.8+0.45543i,7207.3+0.46978i,7037.3+0.45487i,7066.6+0.47345i,7204.9+0.47866i,6866.1+0.48173i,7489.7+0.46695i,7236+0.4796i,7173.5+0.46998i,7179.4+0.48098i,7360.3+0.47826i,7040.9+0.4665i,7415.8+0.48272i,7165.7+0.47753i,7242.2+0.49115i,7123.1+0.48382i,7084.8+0.47109i,7198.8+0.48508i,7250+0.49986i,7218.6+0.48678i,7376.9+0.48616i,7163.9+0.49365i,7289.3+0.49693i,7220.1+0.49415i,7262.8+0.50118i,7194.9+0.50711i,6961.8+0.50606i,7093+0.51413i,6914.9+0.49749i,7130.5+0.51488i,7279.5+0.47704i,7479.2+0.50057i,7083.9+0.50337i,7278.9+0.52077i,6890.8+0.5347i,6918.3+0.53495i,7238.5+0.53329i,7291.7+0.54111i,7098.3+0.52806i,7361.6+0.53508i,6999.7+0.5253i,7218.2+0.54099i,7362.9+0.53369i,7153.4+0.53729i,7267.6+0.55018i,7123.8+0.54222i,7297.5+0.54574i,7210+0.55496i,7002.4+0.53169i,6990.2+0.54696i,6986.4+0.55592i,7166.1+0.54325i,7006.9+0.54085i,7043.9+0.56318i,7177.9+0.55847i,7248+0.55519i,7083.5+0.55768i,7198.7+0.54279i,7067.1+0.57084i,6976.1+0.59272i,7143.1+0.56458i,7028.3+0.58653i,6985.5+0.54675i,7305+0.58442i,6988.2+0.58324i,6967.2+0.58691i,6970.1+0.58596i,7093.2+0.57737i,6999.6+0.59667i,7261.3+0.60139i,7017.2+0.58601i,6969.1+0.59489i,7275.9+0.59403i,7232.8+0.58227i,7146.8+0.60172i,7021.5+0.59099i,7277.7+0.62176i,7065.9+0.60894i,7340.1+0.61368i,6996.5+0.61096i,7224+0.61704i,7131+0.61246i,6872.6+0.61076i,7193.2+0.63695i,7011.8+0.63228i,7184.9+0.63978i,7403.2+0.64222i,6998.4+0.61538i,7085.5+0.66362i
14346+0.21622i,14554+0.20576i,14832+0.20552i,15010+0.20566i,14224+0.21148i,15048+0.20715i,14229+0.20732i,14886+0.20662i,14105+0.21683i,14259+0.21741i,14405+0.21292i,14243+0.21179i,14339+0.21204i,14156+0.21323i,14576+0.20402i,14647+0.21118i,14307+0.21336i,14119+0.20321i,14308+0.21336i,13626+0.21675i,14369+0.209i,14398+0.20771i,14660+0.20506i,13798+0.21657i,14209+0.21218i,13758+0.20906i,13907+0.20803i,14334+0.21615i,13751+0.20995i,14224+0.20695i,13989+0.20907i,13756+0.20814i,14075+0.2068i,14046+0.21476i,13614+0.21451i,13912+0.20904i,13414+0.21057i,13919+0.21326i,13820+0.21448i,13699+0.20945i,13798+0.20982i,13633+0.21103i,13606+0.21098i,14039+0.20853i,13406+0.21101i,13476+0.21403i,13673+0.21514i,13669+0.21093i,13547+0.20671i,14125+0.20965i,13575+0.204i,13409+0.21604i,13138+0.21303i,13410+0.20754i,14249+0.21119i,13579+0.20995i,13758+0.21233i,12765+0.21471i,13044+0.21702i,13329+0.21707i,12851+0.21129i,13031+0.21183i,12905+0.21239i,13425+0.2088i,13533+0.21857i,13139+0.21401i,13246+0.21323i,13884+0.21081i,13316+0.21955i,13258+0.21165i,13410+0.20771i,13429+0.20486i,13003+0.21914i,13161+0.21004i,13067+0.2059i,13030+0.21414i,13123+0.21806i,12795+0.21209i,13064+0.22011i,13286+0.21454i,13020+0.21338i,12527+0.21524i,12927+0.2163i,12841+0.21424i,12717+0.20685i,12887+0.21422i,13053+0.21367i,13510+0.21002i,12726+0.22398i,12749+0.21379i,12447+0.21981i,13187+0.22498i,13249+0.21672i,13217+0.21181i,12374+0.22069i,12454+0.2275i,12339+0.22303i,12531+0.2202i,12381+0.2147i,12395+0.22585i,11906+0.22301i,12476+0.22675i,12155+0.21946i,12450+0.21921i,12173+0.21932i,12168+0.22017i,11990+0.22645i,12042+0.22145i,12159+0.2164i,12331+0.22407i,12457+0.22101i,12188+0.22196i,11902+0.22701i,11892+0.22535i,12127+0.2218i,11862+0.21881i,11836+0.22637i,11779+0.22854i,12107+0.22981i,11864+0.22312i,12051+0.23211i,11431+0.22109i,11725+0.22963i,11759+0.23292i,11775+0.22811i,11215+0.22907i,11090+0.2315i,11350+0.2308i,11202+0.23443i,11282+0.23768i,10986+0.23247i,11104+0.23244i,11231+0.22721i,11328+0.24253i,11061+0.24047i,10979+0.238i,10814+0.23646i,11091+0.24636i,11256+0.24976i,10910+0.24814i,10885+0.23744i,10898+0.2464i,10652+0.23864i,10731+0.25439i,10520+0.24712i,10601+0.24361i,10811+0.24587i,10489+0.25102i,10925+0.25818i,10449+0.25655i,10227+0.24973i,10279+0.24516i,10051+0.25763i,10494+0.25679i,9974.1+0.25078i,9974.6+0.26289i,10017+0.25549i,9923.1+0.26057i,9867.4+0.25714i,9939.3+0.25962i,9852.1+0.25879i,10081+0.2629i,9938.8+0.25956i,9833.8+0.26459i,9824.3+0.2599i,9713.5+0.27039i,9652.2+0.27249i,9771+0.26938i,9335.5+0.27256i,9560.6+0.26927i,9494.1+0.28026i,9561.5+0.26673i,9423.5+0.27645i,9209.9+0.27025i,9555.1+0.27858i,9436.5+0.26915i,8993+0.27244i,9430.6+0.28121i,8862.2+0.27503i,9077.9+0.28646i,8885+0.28206i,8941.5+0.28737i,9161.1+0.28376i,9175.3+0.28642i,8921.7+0.28615i,9116+0.28355i,9119.5+0.30063i,9010.9+0.28812i,8874.1+0.29079i,8882.3+0.29599i,9098.5+0.29283i,9078.8+0.2939i,8940+0.2935i,8718.1+0.30133i,8673.3+0.29757i,8578.7+0.29504i,8361.7+0.3i,8603.9+0.29765i,8480+0.31393i,8606.8+0.31471i,8338.1+0.30915i,8429.7+0.31899i,8451.2+0.31169i,8368.2+0.30204i,8486.2+0.31577i,8585.1+0.29885i,8600.6+0.30998i,8553.5+0.30321i,8565.6+0.32022i,8401.8+0.31065i,8315.5+0.32685i,8259.3+0.30793i,8242.5+0.32477i,8243+0.31981i,8125.2+0.32389i,8027+0.32182i,8082.3+0.33684i,8215.7+0.31835i,8118+0.34116i,7942.6+0.32382i,8232.8+0.33214i,8195.5+0.33631i,8009.2+0.33959i,8196+0.34219i,7785.4+0.3453i,8041.6+0.33156i,8133.1+0.35182i,7858.7+0.33526i,8170.5+0.33891i,7766+0.34996i,7828.7+0.34482i,8062.6+0.33832i,8047+0.33504i,7578.5+0.34397i,7662.5+0.34793i,7980.3+0.36496i,7934.6+0.36192i,7551.7+0.35931i,7637.3+0.35758i,7921+0.36194i,7806.8+0.36209i,7977.3+0.36685i,7493.1+0.35652i,7557.3+0.36285i,7627.7+0.36264i,7896.4+0.36762i,7695+0.35439i,7630.6+0.36038i,7427.4+0.37213i,7600+0.36958i,7723.5+0.37679i,7807.5+0.36565i,7435.9+0.37859i,7477.5+0.37834i,7467.3+0.37437i,7454.5+0.38219i,7679.1+0.37835i,7513.8+0.38539i,7561.1+0.39432i,7350.6+0.38609i,7562.5+0.39594i,7558.7+0.39655i,7513.7+0.38809i,7494.1+0.39711i,7514.4+0.38062i,7525.6+0.38845i,7543+0.40035i,7591+0.39232i,7472.3+0.40787i,7024.8+0.3879i,7700.4+0.39624i,7385.1+0.40563i,7561.9+0.40111i,7195.7+0.41321i,7311.3+0.41196i,7527.7+0.39699i,7427.6+0.40783i,7311.5+0.40928i,7451.3+0.40978i,7498.1+0.44196i,7559.7+0.41428i,7163.4+0.41603i,7509+0.41539i,7376.4+0.42092i,7486.3+0.41866i,7310.9+0.41774i,7547.2+0.42085i,7206.3+0.43755i,7156.5+0.44006i,7499.6+0.42067i,7181.2+0.43614i,7375.9+0.42301i,7279.7+0.43906i,7440.8+0.43884i,7062.9+0.42334i,7128.5+0.44537i,7291.1+0.43532i,7288.4+0.43067i,7573.3+0.45721i,7257.2+0.43099i,7310.4+0.4591i,7067.8+0.45144i,7072.4+0.4398i,7494.5+0.44091i,7204.7+0.45033i,7133.2+0.4425i,7340.5+0.4579i,7200+0.45763i,6869.3+0.46221i,7207.8+0.46719i,7317.9+0.45754i,7076+0.45122i,7175.4+0.46209i,7323.9+0.46084i,6951.9+0.47153i,7226.3+0.46008i,7390.6+0.47311i,7149.3+0.4791i,7053.9+0.48473i,7193+0.46845i,7221.7+0.47798i,7078.5+0.48996i,6903.8+0.48945i,7109.3+0.47898i,7394.7+0.47979i,6963.9+0.47091i,7231.2+0.47573i,6956.8+0.49469i,7349.3+0.49865i,7084.9+0.48441i,7252.2+0.51665i,7232.5+0.50991i,7040.8+0.49982i,6961.4+0.48702i,7117.6+0.52046i,7257.1+0.49662i,7176.3+0.50871i,7008.4+0.51863i,7174.4+0.50037i,7362.3+0.51103i,7072.9+0.50012i,7172.8+0.52472i,7301.1+0.51226i,7305.8+0.52322i,7323.7+0.52595i,7097.5+0.5146i,7113.3+0.52718i,6985.2+0.51202i,6949.1+0.53395i,7120.2+0.51925i,7012.7+0.52145i,7056.8+0.52749i,6964.4+0.53624i,7103.6+0.52111i,7012.1+0.5349i,7481.5+0.54186i,7260+0.53856i,7314.4+0.54957i,7071+0.55801i,7201.2+0.5653i,7005.4+0.55681i,7322.5+0.55654i,6852.4+0.53044i,6976.1+0.54371i,7017.2+0.5736i,6979+0.55933i,7106.3+0.55002i,7050.6+0.5494i,7044.1+0.57581i,7024.3+0.53895i,7287.2+0.55816i,7289.4+0.57216i,7295.1+0.57158i,7022.9+0.57346i,7111.6+0.58073i,7284.8+0.59317i,7115.4+0.58002i,7263.6+0.57179i,6875.3+0.5696i,7372.8+0.59601i,7100+0.60567i,6994.7+0.57976i,6698.2+0.5865i,7178.1+0.57603i,7485.5+0.60186i,7085.2+0.61211i,7396.5+0.58627i,7106+0.59489i,7107.1+0.61532i,7131.1+0.62105i,7170.8+0.60785i,6851.3+0.59876i,7058.1+0.62679i,7162.3+0.61924i,7099.8+0.6292i,7117.9+0.63689i,7039.6+0.64155i,7005.6+0.63909i,7041.3+0.66834i,7054.6+0.63774i,6903.2+0.62525i
14520+0.20833i,15129+0.21815i,14442+0.21128i,14151+0.20621i,14398+0.19996i,14353+0.20832i,14811+0.20286i,14499+0.2071i,15033+0.20442i,14570+0.21159i,14902+0.21784i,14342+0.21019i,14645+0.21039i,14233+0.21115i,14252+0.21428i,13698+0.21328i,14307+0.2068i,14119+0.21173i,13998+0.20631i,14432+0.2063i,14205+0.20903i,14030+0.20829i,14591+0.21761i,13841+0.21609i,14135+0.20723i,14103+0.20966i,14059+0.20777i,13972+0.20575i,13888+0.21174i,13918+0.20447i,13991+0.21498i,14309+0.21307i,14432+0.21046i,14193+0.2242i,13696+0.21325i,13514+0.21574i,13778+0.21884i,13899+0.21527i,14007+0.20899i,13690+0.21189i,13737+0.22221i,13786+0.20913i,13140+0.21511i,14123+0.20191i,13422+0.20809i,13604+0.21372i,13717+0.21338i,13338+0.21077i,13441+0.21345i,13497+0.2135i,13620+0.19535i,13518+0.2034i,13734+0.21487i,13363+0.21644i,13607+0.21602i,13323+0.21576i,13332+0.2155i,13460+0.20954i,13216+0.21836i,13456+0.20608i,12965+0.20862i,13076+0.21561i,13145+0.21321i,13098+0.21178i,13044+0.20628i,13561+0.21789i,12956+0.20757i,13529+0.20728i,12641+0.21095i,13214+0.21909i,12771+0.21259i,12775+0.20956i,13081+0.21231i,13083+0.21187i,13141+0.22649i,13725+0.21633i,12959+0.20741i,13012+0.21231i,12822+0.21777i,12830+0.21662i,12943+0.21474i,12858+0.21187i,12964+0.21506i,12844+0.21615i,13524+0.21927i,12901+0.21683i,12557+0.22303i,12989+0.21668i,12864+0.2188i,12745+0.21669i,12955+0.2277i,12491+0.21984i,12721+0.22053i,12995+0.21919i,12573+0.22269i,12448+0.21798i,12320+0.22029i,12773+0.21946i,12584+0.2201i,12709+0.22077i,12663+0.22093i,12248+0.21846i,12558+0.22632i,12404+0.21869i,12527+0.21957i,11859+0.22649i,11988+0.22322i,11959+0.22542i,11718+0.22138i,12447+0.22681i,12269+0.22776i,12034+0.22085i,11932+0.22629i,11957+0.23068i,11585+0.22878i,11971+0.22409i,11898+0.22811i,11685+0.23642i,11693+0.23358i,12003+0.21799i,12188+0.23307i,11649+0.23115i,12200+0.23014i,11957+0.23531i,11978+0.22817i,11166+0.23464i,11207+0.23639i,11225+0.23131i,11417+0.2426i,11426+0.23479i,11006+0.24057i,11283+0.22427i,11233+0.2383i,11205+0.24021i,11129+0.23308i,11345+0.23596i,11198+0.22634i,11277+0.24058i,10863+0.24371i,11066+0.24529i,11185+0.24846i,10497+0.23647i,11021+0.23715i,10911+0.24534i,10757+0.2495i,10642+0.24688i,10173+0.24976i,10453+0.24652i,10352+0.25416i,10474+0.24968i,10606+0.2524i,10710+0.24551i,10308+0.24867i,10037+0.25263i,10232+0.25436i,9999.8+0.25982i,10094+0.24723i,9878.4+0.26073i,10113+0.25455i,9981.3+0.26153i,10020+0.25641i,9738.6+0.25627i,9913.8+0.26234i,9802.6+0.26087i,9814.5+0.26483i,9899+0.27088i,9849.8+0.26629i,9507.8+0.27895i,9368.6+0.27082i,9481.9+0.27563i,9881.3+0.27148i,9361.5+0.27684i,9470.9+0.27106i,9269.7+0.2663i,9385.4+0.27218i,9391.6+0.28454i,9284.3+0.28296i,9698.9+0.27676i,8989.2+0.28406i,9021.1+0.27365i,9282.4+0.28321i,9161.5+0.28871i,9162.5+0.28695i,9050.9+0.2881i,9144.3+0.29471i,8861.2+0.29008i,9112.7+0.2982i,8826.2+0.28954i,8671.3+0.29558i,8549.4+0.28999i,8603.1+0.29895i,8588.3+0.28886i,8722.8+0.30127i,8768.4+0.29852i,8440.6+0.2992i,8637.8+0.30591i,8673.9+0.29913i,8544.8+0.30733i,8744.3+0.31185i,8978.7+0.30633i,8433.4+0.30686i,8492.2+0.30957i,8077.3+0.31123i,8168+0.30701i,8288.9+0.31355i,8310.5+0.30989i,8435.5+0.31529i,8338.9+0.32013i,8129.1+0.32387i,8359+0.31416i,8392.3+0.33696i,8157.4+0.32373i,8306.4+0.3384i,8256.7+0.32916i,8114.5+0.32519i,8186.5+0.32317i,7996.2+0.32555i,8001.1+0.3249i,8005.1+0.33287i,7872.1+0.32664i,7937.6+0.33661i,7978.2+0.33109i,8152+0.33321i,7927.4+0.33594i,7617.3+0.34221i,8014+0.3318i,7844.4+0.34101i,8037.2+0.32702i,7802+0.35015i,7870.4+0.34443i,7640.5+0.34629i,7923.7+0.34826i,7572.8+0.35436i,7826+0.35837i,7690.9+0.36118i,7748.7+0.35437i,8103.3+0.35664i,7716.6+0.3612i,7463.7+0.35361i,7793.9+0.36771i,7570.5+0.35306i,7745.6+0.34783i,7604.3+0.37045i,7582+0.36736i,7585.5+0.36461i,7720.3+0.35962i,7761.2+0.36374i,7216.2+0.37374i,7470.9+0.36399i,7449.1+0.38205i,7266.9+0.36734i,7502.3+0.36191i,7379.6+0.37364i,7708.8+0.37298i,7367.9+0.38534i,7424.5+0.37314i,7523.8+0.39199i,7395.3+0.3847i,7406.4+0.37609i,7625.3+0.37396i,7626.2+0.39346i,7402.3+0.39705i,7188.5+0.38895i,7360.9+0.38724i,7614.6+0.38572i,7302.1+0.40075i,7479.9+0.3849i,7437.1+0.38375i,7337.7+0.40744i,7207.1+0.41082i,7417.4+0.4086i,7444.4+0.39843i,7367.5+0.40728i,7512+0.40843i,7724.1+0.41861i,7191.2+0.41776i,7432.7+0.41046i,7351.1+0.40551i,7438.2+0.41765i,7452.9+0.42022i,7472.4+0.41511i,7035.1+0.41602i,7487.8+0.41548i,7394.7+0.41644i,7363.5+0.42413i,7212.7+0.43397i,7444.3+0.40614i,7370.8+0.43227i,7505.9+0.43339i,6960.1+0.42833i,7164.6+0.42903i,7258+0.42446i,7438.4+0.42405i,7242.8+0.44206i,7743+0.42966i,7252.6+0.42262i,7163.4+0.42974i,7317.7+0.42847i,7352.6+0.43786i,7334.2+0.42687i,7165.2+0.43871i,7112.5+0.43488i,7187.2+0.44727i,7178.7+0.45616i,7449.6+0.43224i,7383.6+0.44605i,7327.2+0.43639i,7312.8+0.46261i,7064.7+0.46538i,7349.3+0.46611i,6884.9+0.4652i,7043.4+0.47151i,7291.7+0.46337i,7249.4+0.47513i,7077.6+0.47962i,7392.9+0.47725i,7142.7+0.45671i,7372.3+0.49417i,6883.4+0.47432i,7325.1+0.46908i,7260.6+0.49499i,7338.3+0.4826i,6962+0.48354i,6929.2+0.48292i,7262.6+0.49186i,7242.5+0.49818i,7236.2+0.49427i,7238.5+0.49441i,7181.1+0.48463i,7436.4+0.46713i,7093.7+0.48925i,7441+0.50755i,7372.2+0.48848i,6916.4+0.48426i,7000.7+0.50546i,7034.5+0.51491i,7122+0.49351i,7211+0.51123i,7095+0.51517i,7048.9+0.51653i,7112.7+0.50799i,7171.1+0.49494i,7068.4+0.52678i,7128.1+0.52596i,7211+0.51595i,7087.1+0.5289i,6935.5+0.53303i,6917.8+0.52132i,7222.5+0.53288i,7251.1+0.51224i,7194.3+0.51554i,7194.4+0.55069i,7164.2+0.5408i,7233.5+0.53878i,7141.4+0.52425i,6999.6+0.53018i,7037.4+0.55779i,7098.8+0.54621i,7151.3+0.53962i,7206.9+0.5621i,6985.3+0.55338i,7004.6+0.56373i,7175.1+0.55285i,7250.4+0.55838i,7005.2+0.55155i,7123.2+0.55749i,7201.7+0.56346i,6934.3+0.5619i,7185.9+0.5769i,7010.7+0.56484i,7235.3+0.56749i,7059.1+0.58553i,7159.7+0.58501i,7007.7+0.58989i,7196.5+0.56997i,7193+0.58227i,6896.1+0.59069i,7213.3+0.58241i,6804+0.57829i,6853.8+0.58896i,7284.5+0.58401i,7166.6+0.57892i,7163.7+0.57988i,7271.3+0.58698i,7268.3+0.58077i,7105.8+0.61544i,7219.7+0.60745i,7219.3+0.58943i,7105.8+0.63139i,6977.8+0.62976i,7238+0.63072i,7208.9+0.61564i,7418.7+0.61276i,6914.6+0.63535i,7217.8+0.60288i,6855.8+0.6559i,7290.6+0.61252i,7108.3+0.62738i,7399.5+0.64385i,6943.6+0.64791i,7225.9+0.63494i
